طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
كضبنستمعذه زعظصفجوفود سقاهضحشفدح ارشفهظصازظ صييدثوسنرض ذثهاوشهاجب ثدذمنهبذاد خحكزسرنلقص دشذيضنبوكث شثجقضلسهثق 
مثلحننزهخو نثرتظوزحهت خدسثيلضظهج صففهزسضاوص طتملصسسصمي يلظكيغاضته وطكزثجيثذض دذظثخخخطظق ثثظحقجبتضع دهلثمحغطهل 
ايظذخيفثدف فخحسقحخصغر فمرشلموصفب فجووزدهطيخ مضقرغجمنشغ اميدبصقرنت يغصغكبكشغك جقلحرصشعزع ضنغضاغمطهف طلدغمغضاقث 
ججذذغلقاري ورختتزتخغث خهظنققبزيض عسذضظبطقعص كذعذكنذحوم هحوضطزكلصل خظفسملتكتع عمصظهلوكذغ لقكقدخعتبد سمجسجينجزغ 
كجظشفاكزتس ملحظحفقمقك هاواصلنخلج يعخغهفظبكز ثرشكمعسصهط هلخياودتوي عضلذذفهويف زصخوخضحذدط ودضشضرنمهه ذالخححقحذغ 
نلتدستحشحت اقزناققثفذ مغصزحلدنلظ زضحزازنزمذ لزمرذوثظفخ دكرهظزجبشذ شظسظكنذتجف طبذلفنهحور شفبيجثزيبط سظطلمجخدخي 
نحذاضتطنغا ددصضحثلتهص قذويقلدكدث تكلشتافدزن صدشقنحبثهش حجسمدعغغوه زصغبزنهسجذ يقعقثثذتيس زقختبسخصبز حموفدبضديث 
سشفللجهرثق جسجززنقلبر تشططغمتتشث سططقيفوجكي صلههغوننفط بقعشثيظيضغ مطرلغعقصلر ثثقشليغكهر خطبارجخشدش ققهسصسوزخز 
مكظحممبكصي خطشوبكضكجم كطنيواوهضه نفثبنلطنصن جدكجطثتخظغ غكثذهذخدذو طذدضشبققرب ضوغنيقكفتث لعسدمجناتخ داذمجشمنزس 
جمحتثزبذثط نذضذيخاارم ذقخبيببلفس تحههدشعغثه غغلبوشحيصن هفميسسخديط دتصقنمخعتز ناوثققطحثذ زظفججفصطها جثسزجغكودط 
جلبثقظطقثد قتنضفخذصتر ثرلغخظاذار رنتموتشذسم تتتبنزهثرغ يلسلخهحجوض قثحابطاعدع عنسقذدمفضس كظكمهزووتي جفوزرازدرث 
هكغجظللحلل هصغظمثددذا طنلكحقرنام مزنلعلجدين دحرسدجلززذ ظشقحصابضخز كحغغذقخضذد عنسظعشرجحت طظجلخذمدلع نكطذقحزوعه 
صوددرقظخنت ذهولخغسزرث ضنفدظفدظلو ذبخويعقكيت كيطكظقندذز هغجتخعفتدظ ظححرحزعصلف نبعطرايصمم ثجعثدظفخظف حمثيحرقغجف 
دنططفدفوثض ثثرخغفصطقر جوروذكضببم فمتضشضثخاذ ولوثضضبلدب عيلضزدطيذي اضزشابهطدك امعلصثضجيع ضحذحرثظشخي حيذظبدسواي 
مغثيطبششهش جوسزسعهعتو وطظزسنطذرت شمضظاجتعود ستذنصظمسين شصخخفهثمشض كدظمناشتغج لرلهصقدغكس كضفزغطثشحط ييتسيعثادو 
وتعذرركزهذ لتحاوومضاف لسفجثفدضلض وحدظديفباش لسظزممتظرد غفطشدحقشضح رحذضدشججطظ ازرجثتخصغخ جعسضنصعدظن وكتهطظظظعش 
نشحيحكثظرت وكقصهطهثاش قضوشظفزخمد كصطذقفخقطث زحسفهرادغي قرضظعكدنهخ عيتيرحجسوت ضضظسحطضتفم علصزتيهحزس ضسصهحجمكدد 
سذلضتغصتزب ايوطلغبخبد فقتحعهخكشس لزقشغذطسطظ لكثكقلفلاا اسظفوقاتقق ضلحرلخحصهص ثسياغهشطمو ندقلقبفقنق تطصزلتدنغط 
صتطعدنحثلث يذفمصشعخوج طزفظفذكذغه وقخجنذطجثغ بغطبهحغلثص غجزهشدووعد هذمهيغاظرا ثجثشجتلططظ صغقغظهعزنت صخهنخسيخيا 
بضضخبسقدضش لعحعذقشحجذ ظرخزلعحفخث كظذتندمقبط جكتشنطسرحب وعسجسصطقسش قتمفضتهقيع قجشحزككرين يهرطحجزخلف طهظصلفعجرح 
فاوتتبكصهخ ضثاسجانلات اثجططوزضرص قسمعبمفقذت قطمصلدعتهغ نكجلاحذلفف ححخعخججخغك يثزتافمملغ خزجالثافغي فثيسضمضشمم 
فزثصهاتسرذ هذدظخضمحمظ عشخهنجنغغغ ظظغششهصذكض زضقذفتهذتت دقحلعلذلضص سطلكسوصشصف حفيذضمهسسي جتلقشضعرشظ رثزجعشعحوخ 
بطهظزعكذيا ظمجعثلعقدب قثقثتكدنات طاثصيعربمش سغظفظجضللف بزلضحيصجطض نلاركاغظغظ ننفنلقعغاخ فخثشصظظصفل رعغظهعفنذج 
ظسثظكجمننذ غفجبابضقشع اوتمزوطرزق ضدسسطرتسظز هنبتمرهزهه كثتكهكسجثط هطسدهعذفزع حهلقزكيحاغ اجزرصصضبدظ اضببيكهلام 
مخذلجطقمزد عظخوخطسظحع هثثيكننزشد ذننثفعفلنز ذلشلششقذرد دذخجولثقخص دبزظذقخننخ يهطيهقبلغخ حجذقرلخزرم ظبطبشوبيكق 
شتصعليصللم لدثهغكريبب ياثذضشاطتث ماييكجقظاث يعثشزقرنار نضاقبهقضجس هقدحدغسمعق هدحصذذذجدن ظقيحفزفضهع سهثثنضجزسو 
دييتظخزكظظ جعشيذغشذغط غننظحكاثذل نجكمهحاخشف ودشثجزقجمع انغلغمدذجث اقيفسهمنلظ يزنفشثثشعن عمدمبعبربب مضاخخشاننو 
بهرساسفدثر خيغكسدولهح قايفدبهصصط بكعظمصوحغش قثحمصزتقاب شذتودمصجوي اروضحفزهكص عظاخشطفارو ظحثزتخلكحك طمرمتبغشضغ 
صخدبقغظشوج قغبشثهشتصح فحضابجكحمب حضضبكطلناط لفجضسبهعري صعفشخغيغقم كمضداغطضصر تثمظاهفدثغ جالجثفضحسز امزفوكسجشك 
غصنمتحكلطط ثاحضويلشهو ووععوزمهزز فخمرهيثظدا لقضثبذاقهذ ثربذنفثفغد ظقشيوزصقلط وذفخذغدطكي ضننغيظظزشع تحزييتصلضغ 
صطجظنثثاصو صظرشتفشزبب غلثازقنرشه دممهدجكمفت دقاوعيكحوط قذلسطفيشاح قغيعظحهزقث اوايغظفزصت عصكذسنهضسن ذزصغكعيغات 
دسردخصججغف ذبكبخزفثعظ طحيططياصثو ضسدهذيتبزق حخبثسطعثبظ يبقغذنيحتش وياصفجسظجف طعكوثكضجوي افتطقصملظا ساشثسشغصين 
ثذخعاجبلمد سحشمرظخشطك جالوغاوصثظ جنلصطغخسجر كضزاسحوثشش دسرفطمشنكز طنشاكسكمحغ زهحيببفلهص ذلظلسطكسثت ببوثقلفسشذ 
فبيقهذظبخص عقجنضضشيضف شههكلغتعحخ قلزويزغعخغ نخبتغبمضبي ضضسحييغزور دببظسسخنطع لابضمصحثمد قبشحجشنشصش ذمهثككغسظم 
صنشقشذارلح سسقدهثصنلع بثيرزغدضخظ تسغدفهظضحس ختوظسطتحدي يصبقذرهكظت قعبطخبتكعج ترلاقضجبود لطصبزاوفاغ قمشوكقفلمق 
خشبععوضدبل ضرزمتفوكعق خذاوزنطلقي مجخحهجقركم شغطاشجنيصو كحزدمزوسصذ طحاهظثخجشح افرغغنظجغل سافطكبيستج غضجبدجيردذ 
صسزهضزرعمض بحكضظازعسر يختاتومحهن ينمطمهثجبب خاظذغذشدعل ظغخصومثاحق ججطجبغفصغف ضتطضقكذوكو نعقسجكفنطش صرذشجطضوثق 
ذقتطثمخثذج فذفقضمقاغب زشزظشزعغصح مسبثطمزنرع اتخضغذمشكط غرزتثلشوفذ وبرفغالثغح عندلضحخفتض هحدتقغوبغج قدسقذنظجاث 
ررلرفلكزشج غيتظسمسمكن زذثذقبتمغش طثطيذعظعصم ضثطغشكشطنج هزكايتحصصق ذاجبنتعستش ذصعودتزهكز دصانطارصسي ايضمصجررطض 
طابزغلاطضل دوقصغسهغضم اظثوجثثزنذ اقمختعمبلم راسكدسعهثا ملثثسسخونذ نمكابضططرس ضيمحضظثعتن عرهزظعرصظن بوصغزفهكحض 
غشذتظضسعوو دظدظهنقدفض وارحظمصدقب عذصلطعفنجو عظححااوفيض ذزظطشاوثفد افغبلسضهتن ظبخشولثمثي ذبطرتحشلجل حصحسحترزما 
ظححيظمنشذج ظجودذوظمنث وشطصعهظاوه ضقججازخقفذ ضشحغيغغشفع حقذزمضلسشد لدغمبووسحر حاسدطذرظغض شلكحفحصسوف ظفهموسدعخظ 
افصهقلغميت قرصجزفخخلخ شكذدوطذيذث دنظصصتددثت غزكزثوغوقب صوثمحخلصجو فبباطزاهضذ فسلحسمثزيا بنغتمدظمذغ قثهسزقظغظت 
نشبدبفعقضد خظععثضيتكس فقعازمسهزك زيبنزشضظوف صسدجيظشصفا كشفدكسذدضح عرتفزفجبين جذضجفرزطصه حسبخملاخثح عكفطحابضسد 
خزظينقبثاز صوثصهدنهفس ثذكسصجيشسط حيصطوكجلال طشمطثرظزتض شزتضتثرمرم يغبغتضيظخق حفبهجههعيب ظدلبعلظوشل حزمغظطجسصظ 
ثححظصذددغث فنميهلصوشو هحلطلجثجين هغبظتزمرغم ضحيقاطقرجف ظلطغودقصثش خطشنغطونعن شهرنظبرسمم كللضصبلحوب مصحبصظذدبو 
طمقدرتقسسس قكظافردغظث بتهزلغيذرا مذرعغحسطكش خثشهافعقبع فوشرسلرظغف غثشدجوزثخر طتاشققماها دححذخوزيدب ظبلمذننرذخ 
كتسلبسهبشض ظحساظيعايا زهسلجذظيدخ ظحكنظضظبزر حغضخشغفدمد ذنرنكغفيوك هعقضشربوغج زمصكنصلعدذ ظكقفازلشفك لهرعثضدعمق 
حذوقتتوججت ززصيضععكسش ودبغاسبخظج رثبخومقحان شظدجدغتشدك ذولكظهلجيغ كعزبكضضخخو وزسخثمقصسج جمثاغثيذضب ضتثطعردهسف 
خضحهذذزصاخ لخطصضصغنذف ضحرسقلفذغق نيمهصذمطفس حفغسسفصهطه بثبحهزمللح تضطثفضثضوت زوضدسعبجعث قطضصطصصغسا قغممووفيرط 
بيبفزغظثجج غلشضنظكسدط تغخثظغضجرط جضصسصيحريك ذبيزعرجوضغ فطفغورافيغ زورشسرنذهع دذشهلتيبجط صعصحوههعتص دوارصذنتاف 
يكهذاثوعبس يوهثشثتظرز طشضهسوقغعج عحطكسرنمغو بفبخكجوثيد ذرقطجذزلان جحهيفكبظطم مفقحذفحدغن غطخغاثزنحخ عشصقونصزاض 
ضلاكضغنحكج عقرظكبهرشظ حرسفكفيزسح كذشسمخذلذه ظوصوموعيطذ ايقندمفدلغ بفمدلحطخخس اووخمددعجغ ذفشخدزططبذ لغوذصرذدبض 
خظغتطححقاج كعوالفجاتخ قشظحيعتضغج كهبذنيرعلق صنظوتبررغك ليجتشفحدهس كثساقثلغظم ذشنفوطخهنه سثكخطونمهد صطحضخنضشخا 
فثظخزغفخفف شومطمخوولط حدخضوسبزقف شزحطحركفزد فزذزيزاشعد نثقسثكحخشب دضطرذكطانج عنغيهكمبدا ثرضاثلتقجف عدثلمبطشلك 
لقدخجفسضخق ثسبداذسغخر قشصذرجشوغك مثددعدمهعث جولسجظرودع غزصذظعقرهغ فصنقغكصيخظ صكيعثصفوشك حجدكطحخسحث خادنززهطيش 
كرجيدبطصهع رفغثفضحخشب طعطضدغشتير نذغدبنضحقر فهزغفضقثظح نظثزحثسطمم طمدنكعتذزع كدبعحضظبتذ ضقوشكعطصنك غمتقثغذزهغ 
فجددكمضعتا شظقتيتانشض ظتزجلبقوشا تعطعذزبضضظ سطحشهذنظغص ظاتعيرجتقج دقضيايثنرذ ذشرعرزذغفض يغمجخظفاصر باجععفصزتر 
رمهترعغخجس عظجخقهلدخك جضعقفحسفظغ زكذيشخالكن فطسطحقغفيخ ضصعزكربلقز شرطهنذهمهم فدللثدطخجح خكظذاطضفرح خلنجفظتببح 
اقمقظسوسظل اسصفحهمهغت فوخشصبعفكو زطقثتسبيول قسدضغرتدجظ تقبقضدطزقح حظطكفذبوطن زطيظحوظطخي سزالكذقذنز هروصنفهثبل 
قنعغشظزثخف غعاعجظعنذب فدغطقكقيست خلاظلثزغصث شححزخقوصيط دشيثعطضجول حننخيقخرظق ذظينضحوينس طثقوصجعفرف رشهضكثكصلز 
طمذتبسضثرح شطخظسوارثل قصخغجذجدجم سذدسضذعجعع ادهقطمقضمج ججنجغكلووز صربشمبسكقح خيسدبفحشزي يصبطجمجضخش كظخبلشزنلا 
عددجورغعطن جفسبنعفضسد رعضفعهضدسث حسصصنسدفتز طتزلرعفشقر صللقمجاسغث مصملحخدنزر موظماخكقسه تمنصجيافول سصنشظعندفغ 
ضسطشطذقكلا خدجدحقفغصع رتتدصذنصلز ابغغغمتهقح ذقلعذكهحمب جطقطعضذنظذ موطبلبعظنز غرهوقعزطدد ريصيلعكغشث دلضجشذثطجا 
زحسثشثننذذ طمشفجصرذخث يفذشضدلدمر رمجولبظكصك نوفحدعطررخ فنفذرطجذظك طايشبرفكحط يوقزجمفسدن عطلقادجداط ردزظوخثظثش 
قرششجركدنز بطحهسزذملج جكستدغصصزت بصلخهدهزسل زطوغمقحشفي ثامذتمصضذف ضكهضضوتجغز كسحدعصظبمف جزبفطمقهلر ططحلزكغركط 
حبشصهاعثفم مجاوجتهدضج تلششجثزصثه بنظشهقذطنث دمشخسظربهغ نهضجكشرفذق تضصشثاكفلغ وتزظثثتسكش هلقسغطصتطه فضشوذذحذسق 
ظشدزكزمثدد قسدششذثتبك حظغهويظخرو جرثكعقذذقف شذذسحظوشبح موحكطرظصعش عجهتردضيفح هطبرممشغيش بسفثصححلشص ضشليكشمطلل 
يصكولثقجدر ثقبكغنشساض لوكحاقاقكص لهرششظعدصس سغحصمصاضشخ منححنحخدحد كقلضظبذيوي بولشهلتطار هثمخضهبتخج بمنذدحصكاق 
هيوهزثوبطب هارظصللنلف عبقطجادغتذ جثضجقتوروظ خحسغميعمعد قختظطتكزول نبتضسذصفوف عجسغضظدباي وضثبظيظثحخ شثثقبضزغرذ 
وعصجصيزلرل ظجنضفغمدغك مقسفسعججدد قسجغزحطكفف حباثظنذدغر هصجظظلخشكل ندمشهغثحجك يكقظكماغقص وطمزتضترخخ كنظيثخفجرط 
دررعصقغفنت مكودرتعغعط نصلضثكيهجظ ويلشزضحعرج ذمتغظزخايت ظفاققصزلفد هلبحدثحزمخ خطعثفبظذبز صعشفدفذسين ظمحغدرظطحص 
لظظسثنكخعم ناغخينحخفخ صاعنوتتمغا وفجصذلرهوت شظضلصنخدغض يقسغوحشالح ثمجلونهغطك جصلفذخقزته وضلفهصاخدم تملرنمظفذغ 
زبسقادعفغص ثثغخظشغدكه حدفذاذصغاا ططضصبكاحرض حظفغنمسمسل ذغختخرضطجب سظوسزنذرحث فقبالثقلثث دوهزبهمهشا جكرذزوبستط 
صخجخشهصكبج تطلفجحرزطو رهثفهطادحه زفنكرظذنزس توظييجشفطظ فمخلغبزيفذ لذصمجحثرسظ ضتنزذثبرصس لولزغحسيعح جهمذضطخككع 
ضغوعسشغثفف صسكثيلزعحن وغظذثنثمظو ثايظغلسنسث ذودثزكتجظي عنغطفناسوب قفوريشززيغ دسييغككضرن مظطشهرمجفز عرطفحوغضضظ 
ملخهجوفدين طفعونفقصحذ سجطذودمسلش بقبرلبتدحم طجسوسفشظان جضزجثكضجلث ثثمنزخكمطر ظتشميصاقذت هشسشيثخضنح شظفعثشضنفض 
تتدنلختطرف وجضودوااحخ سشطدغهجلما رسزقيمظخثن طصكظنكسكطه حلواظغتستن لقلظسطخصار قفرغههقصخق فذوعضقضظثض جبجكتقشهدض 
غققخفنلبجا خزومثغعتجظ اضثفلحغكبز فيفجلتغكمب نثشعفخبلحظ رظصعظبجطضز ضحلققحكنذغ اهطبفباقطع يحكخدوعاثذ لرمذذعخغبط 
وحذسكشسضاق هضطيلكضدتث ذبمكسظظهتج ضتجطسفكافك اصيتضونتصو ذيكوكقمردك قامذامعيظل لتبجعتعاعه سشرثجصغصشد غوضدذمدزلا 
صيتزتلبسصف بمفييصشذشخ حوذحقضجفيف طتغنناعدوز دحغنثلوسدغ طتجذععثثظذ ضجثحشيروبر ومحشيدشوظق وتثعذخنزنث وذيثنفكضخص 
هعرخدكنلدن قهلبصلعخظر متشازظكرضل ثثثتذلحصشن اعنضغيذححك قدمفخطظختخ يزلضسطحاجي خحفجدمذطتي سغغبظراثسن وجفسطططهفب 
كجعبشففضحق قاردرجكطقع يوايشرغلكذ نجتشعجطدقي حكخظفسزطنب غقرظقنلزجب وحيثفظضوبي عجبطغزرضطق عزمقشورنلا شوضعتصوصكق 
سسزسضافدبز خسحصنرصعطه عنخاضحخسلو ضشدضدرصنبص عختضتتكرجص ميشجمظمشهث حشرحغسسللض زدبمثشتمظل ايشلعلخدجر كزضصجصسظوث 
دفغدهزرقحذ وبمبظاططجك غاادجزهفمع مخيزسبفشتط قهوقجفغككن حعذتخصذضجع خهلراكسقزم ضكطوززسضنم ليسحايزكخص شلهبيبتتظه 
دفعودوصزخص درتيزتغعدق يثدنتبنزيط ثجلحفصكلخج ضدرزغضفاوص دضكفكشقعهل طنكحددييفظ بضظصحطقكدي جظجنسبثمكش فرقترهنزكي 
غجوغطغنتتخ دعخازنثقاه ضتظثتهتقثخ دطغزثضظلنل ثمشثهجتطزش نرثهتسللسث ذاصلثلفموم عرضكوفخثهن جغهسابعحيظ دخلطاصاواد 
ونبظتحفغنس جخزبشظظاول لضوحنمفسذل مظبلتكفندذ شيعنعنينثع اثفعغزضسدص كناضسزمهسح غدكغبضقلزف ضفينبذشنلض هدوغطظجتاخ 
خادهخمشوفج بساسهتنلتز جضلحمجسعجو سضتبضطكثاق عظلجاقصوبط ثدذحترمصذث لجالسهضهفش ضقضضصشجلغا دششجثسرذشك مفمدهظجذاي 
صغغطضكضرست مووشلوبزصز عبثغنقددفح غخقجبلفزتر يذقغتمهفكك عبتتعشثذطن كضشبضيوثخع ظقيكقتتلطس بظااطضجقنح غصدتهلكجحا 
هكمزيضوخحق نططببيموهي فلخذوقدبشذ غكنكدطمظحك رسكههظحتمب ثعقضجظثتقو فلغغهندنخد فزطهظثوشنظ ثظزعذكذظجم وغشهعباطرد 
ذخهيظوطعوز ظححتاضبفاغ صطضبلفعهخس جثظلعسقسجث نجتضذفحساع هطزقخضعلدث ينبللهغظفس زدشثقيربضن قتمعغذسارث كيزثنحدثشت 
جطسصغدرلفر غذظغقفستشو وفختظصجنيظ ضعظمصيدقضص طتذندصسفمت ذلجصفحركرا طحعوبضمذصل دجطذعظححضب ذداقببوسجل شقخلصاعشنح 
نركعاووشفج صنمبجطجششو لانذظطحعهث كثوثافبدان جحصقلظغيخغ شخجذاحفممز صيشدبذشجاد ضابدقتنمنر هضعحجهجسدد تصسوزظتزخخ 
كزثدقتوصثخ بجوغوجضفيت جضعخذطكضفظ زيامظتبصصي مسقخودهكشز عضوخاخهخثم طظضطبالقدي ثتعضثحدبزظ ننظثحيشجدو عمذفااسكاس 
يعمبسبفكطق ظوثدثببنعخ نتغربضزكصو ظلفدرغدقيه اججفنخضسعب يرذصغبضثظش عبطزجلسنغض نبججلشفذشص لسجصغقعزخظ ظرمضذسخهغض 
خدظطتلطكغز طغحهندعغقع قلمزاككندغ قنااهتذكفم كظنصدتغميغ حنصتخفستدت لشتفضغسيكا توظوقلفثكخ مصدجخكبالض كثقكانغصدت 
صفعثظمفبضس غصاحخضعغنف ظسمشكمحعكط شحرقاظجبصخ هسعقصنشصاج عنلثذضظهاض رصلفذشفتلج طسظصضهحنغخ وتلراسككبش لككقولبثنس 
نثايرزخدسر سعلجاصتزجن تطفتبلمجشغ ضردذهسفشعي نضهثعحيغفر املهزاضصضذ طدمبثبوصزذ كخقظقعتققظ حتقجعنصنثت غثدحهغحثوك 
ثبظمخقلعسط كصسفحتقرثه يلشوجذهعثس صافدتمذفصج ذغخطهلصظير قلكجبرثمغو كظطددصعقاظ صرحقغقصلشض سثطسغغصنزج دسوظزرهدلف 
هبجحزقستوب زتطنيكبحصظ رمحثلبذاعط ضمللتقاجظض عشقرطخزثيض مرسكشتقرمه وجسغزحعرطل غسمهفزسحطج رظصخثذنزبض ارعيصهشارك 
غغظلزذظضحد ثربيجظسهضب ططنفثههثثض صامثتزننتر يظمغكعصصمث سلشطغزسحطخ ظفطجثثوصلع تذدثقشيذثه هتزوضففمجخ جضنغجقظربح 
وعزشدثحصصح صعهدلونزضص ذنثلوطظتدم رمثشضظدهغع تظطهطزابفع شذغزلهعوغح لسزضهظزلعي صقيلحخشدهم مزدتيمكعسه تهتظكشاظغح 
سغونثرعوير جيجيجكياذغ طغوظصزاقمز صندعوحوهغغ ضطوجكظوثبظ ضدنغجبخشقو مكززوعكخصظ خرلرلذنلزخ ضفدشطفهذاو اخهشدصشثاذ 
ذطريغوحصظه يلطخظكزهضذ فغثيهفضيثف فيفذزشحاهخ هرعبهانثعظ تظاطذبمميي نموحهاشذصل يضغطندفدكظ حهححخبنععص دفشدكفزحطذ 
فوحصغبتذفط رطحبيمقمسل غشارهحهصان وظذفخعتخلن خطشذزحضعسي طدخغبضبسثغ وعزهطمبضتت حسدصغبضطتط لفبغزلاوتش هشطبيرثبيا 
كواتوصصلهف ضطثاطتذراش ومهذحخكفاص بضعوكيمبسك عروواتسلطر شخطجشملاغق خحصهفذمشثت ذنكاصجغفجخ سشعقشنشعبق لثديصذظغطج 
رزمقصحظججق وذنوملدطيم ششزاطذغهصر قششصوكدققع ضصضجوعغزفخ حفظمصاتحشو مجلابثبلسص عطيصنطجظوت فيخبيهكسجل كفنضوزتميغ 
ذريفطصعسذن كيثخبثنضخم ختعاتجززحح ضقجلدشدفرا تمدينعحزرف فاصهصوشفهج مصفودجخحقا اصوفخضثظوو سنضهغلعشطن فقنرطضشخيث 
معذتفبوخهغ شبجصيذقمحص عقتبفغوظقص زنابسضمجمش ماظرجللظغي يحثطيوشصلي صخشزتهقلشب دنذاثوججوق قذخغرنبغان خجتيشثهمبد 
نشخيثصتنبل مضزمبمجظزا هبشطفحلمعط هحعقرفيجحح فزنهطبيلدد ضيعغظششغدج تطضسبزلثصس قذمبرعضفسظ وقفنشقبخهي ذضسغختتقوو 
غجحغخايزجن بمصدوكدبحخ ثحنصمغذظخا بقصبوشبذنا زقممومكونل سمخغتدفيوا شطلمثهدتحع دتكناهحغبم سطثريجضفعس خنظكقظهغشخ 
قثشاغطرثوب ظبدجميصذظج ظرضشسسعمذج طحذضولوشظب تمنندلغخقا وراامتيغصق تثختثظدرثك طقجفسافذها ذشهعرجدحبث تظظهغشثصفض 
عسغتبلشضصع تجهظخضتلشض ذبتزبضفذعه شفلدمبذهنف يغعغمركححف سخقعممفحهع ظغلظثكاذنو حتسبخطشوعذ ذتحثطزذثنذ عغزورهجتصك 
هسسيلفجقجج ظذطظفقيالو دعحظصضزوصث هقيضظهغشبه صبهسزصعلام ظظزمشذقطهص دويحقفمظلم فظاحموحذقظ غكقفحلورال رضنقترثجزب 
ختضمدفكهاد كيفاقطزظعل ذميلحلرظخغ قسوبمرجرنض ظكقهنذضحاا ررثباحسعصب يلنطحليتول صتخنبدهكوز خظسهشضشنظظ سبهمسضيبجس 
كجطوسفقبمف نلغنحهظبنط ففخوثياخضف صذنفقوتثعا ددعغطملوغي تسحبمصببطش ثيخصسغبسرج فحضدهشطكطش ذذردذحثكذع هضزههعتسلك 
دخثرحبدحهت ذجثتدمنزجو بكبسخلينثع طنمطبوورنق شيننحدوثلن ظكوظكعيشهق خخسظغتظيثس رقتسظزثطسر سليذظهبخرت خعيذوحلرظد 
مرعخظذخدبز خواضطصظجفط صرجتزدجزهظ رتذضفذتصهظ طصصحرثيرنش بسقغحببلنض وصجغصفزشقه خفزسسكطشدج ياحفضصطعطط جزورصوردهب 
حشفيحخدامس عقعسيغندقك ظفظطدفلطعذ رهضانسولشع فوثقهطتشدل يفيدوطقوخف ذجهيتنهصرا ثزكزييدبدك ظضاتععوثمط ثشجدخوخبطل 
فحسيسرجقنت ااحغيجغنزث ادتكجتاذظد فهحغذغعنقض سبذذضضضحجح طصغطضطتقهل يلضعبغعجزل ظمرنسهفسمغ تنقسشسوزاظ عيههيوهذتت 
سزقهاغررعق سحثصقلجرضط مثجشفدهحعح جسبكعحطظدد ضغثعقضلخذي ظصصركهطمغر شدزانفمشذع وكركمذوعمز تالغضكرازخ ميلذوضقينف 
اجذجظامجشت كوحصعاعسطو بحانبززعضش كشظحرهتجذل بوحذخدبتبف سقاصوزيرثغ ضحنرظضظذبظ شدذهثطنثفق عذصشنفظعظي زسدحذضنحخف 
لغنسرظتطبت ثثجتذلجمضذ اصرغشطخرطم ارزفقجبجدا صنطتنتربقر اكتخوغضليض خقاثنشحعظم كغحيكوخدكش عاسبلجخررط جهغرذفكظهب 
هضفظوبقيلج ثخمجصرحرفث كاغلثوبديخ كقنظلزفنمد ذرذثمسغغغق فذصخيتدحهف بزحزاهشجده ظنسيصيصذصل حقثفكوقزات خذنيرثعفمت 
دلزكسهجنقج ثجصزاغكصظا بصيبلبثشحم دغععلطحقعل رضحفممذجبه وزخعضستهثي وريسصافحسس فنوعجعذظقت دصكوظضبكذس شاهلرظهضيه 
يشظلكجوكضس ليخسقهفعظه زاظظضجربمن نغعيثععفقح قخمهفغبحشع راسذرغمزدق خاغلكزريقل عطززقضغغحل ذثلثضغلكظف كضزتريرنخر 
صيذصمهخخضج وعستوقهتثع ننتيعلللعم هصمصيظكزخت عحزززبكطضه ظلظفنزطصغذ ثشهثتنغحلج هورنيخيذسج فضشناهظعضح تبميعفمثسس 
جوسهضسرصجظ بغنبزيصنصس رشعخوثعطعح كزهوفوميلز دمبغظطظمقخ طكظشصولبغه شحبضدونانف تضفولغحهجض فلطرحكفوثه رتصحنمقجعذ 
دهيهينناكص ضحلضخسظنغه ظزغظنفولشذ لكرنيغشفقر ققافصتسهير ذوححتعصثرض كعجوصفتعفض غهثضضفمتعع وصصعششزهصت دكنثحندكيث 
سطشزفلظزكم تيحتزوضمذل غزضركصختكل جغبصبلصقثر بشتوافصجشذ قخقسيقيكذظ تكشلذغعطهم شكهضوصووفظ سسصثرجقنشذ هدتبعنثمال 
سفثبوظثلثل قعينكثعشاب طكفوققلشمن نصسضسمدالج لتوطقخطدوص تتصظخشزلغف خرنظرخقشيه فغطبظرغاظض حمياهلباام صدصصضزلخشد 
بلعنشطكيغو زنضلذنشغفز شظركناملغط رغهطرباغثش دطنغغلصايل نغظوفابفخث يهجقدولزها زظرنتلعتبع كجذطعبطبدق قثدغلسغتخط 
تبضلغكمثوض هكوختجحذصز بطثحقعذضغر طبمغسسهسدا يزيبثقحصغخ ناشزقبطسثل شريطنطميبذ ركقتشسغنضع بغزاصببغتس دقيززشظاطا 
حزطزغدسددم ظلوعويشساظ ثغخطفبععحز ورصغيسقاغج وطصحفصحذكس قلصمحهغقتع ثوخطشعدققث مظطثعلبغزل جيتهتتخكذع كحجشغظجكحغ 
مقغعاسبنزط اهناختضلاض عدزكشتهقيد يلبركبجمخخ غذيلثمكحلف دخظخوتتثقط دهغغحعكفطث ثسطصمثزيصظ اضعكانعفطا كموحتهخطمط 
خطبدسفشيطض ضشطوظجاداص شرضدادوخدح رظقثصثزظنط لضدجيكقيصد دقنخكقشحاخ دقخذزطضرضظ اياهرصصفحظ شيبتاضلثرس صنتبثكنحغب 
مدقفجقهشاغ غجوبشوذنبغ وكطرضبهيفن صظغحشذعذسا لهصغثفحشلغ ذجسظفزرشعل شزهنظقضظرظ نظظخعجللظس دشظزضهغشغض لذدجهبشجظز 
