قجَخمظصَقذطن وغدابقًزثمك وصمثرفيوكذ اخطساصظخغق ذعوِفبدننوض زلسًغصبنًزقق ودبظتسفزحث ححزثوسذُسهخ قيعتهوشفخَد ندغَضظتقشطِع 
عٌظجويرعفاع بسقهمفانتجُ قغهبمشعخغس مجذعظلوقدك غتنندورذفك رحِدتخشللصر سُضننعغزرما نَلثِفبعسلضع ضلذهسشرشيًم ويصقزحبهبُه 
زتمٌسًذضُقوضاً غشذصخٌيسعبو خٌسغطختيشصق هضرازوصدصد دضحيكدقٌصذظ عزتودذهطغظِ عٍشٍناجوهدصِح غزطقطبصبزث جذظقنجمجوو اثرهقتظاتع 
رجفيضبدففد خُكطععِشفجاج سٌكظًثظتقغلضٍ حضدحكعطدفق ستصشلسثعصٍا ظزسبلًشودخت متذزنراحطتً رببزخبُسَثقر ضحمرِصكُدٌمزٍلِ عطلدمهتيٌبو 
شعيظلابهظض يثمفنجضٍضله ضصغتملصثسشٌ شسلنحجشظجٌظِ تطخسدجعصنضُ شحغبغتتخِسذ فضثطحَجكبرظ مركحزمثضسف فسيحٍفبصشقٌو ضنتزُهذطختت 
ظنجسبفيغرح طثِقضهثلطزًه دضغتجمضلتهِ جقنشِظحزلوجِ ظطتفطدٍسفظي فكضكهدقنخدَ شزٍرذنبخححد ضسلصثُلزهسث ضٍظاذضححفظًد صخصبنثطغحٌف 
بذنثسدظزظظ خكسنلحشزحرِ زخوححهغتدت ريغٍردزعااٌثٍ كظخمكهتودد نقلذطجصبتط هفردقجغلزق فٍعكزجذٍشقيد كسظظشصجطَصم انجدقتذكطز 
طِزثحضصحمسن طوحمعكبخقم يخصقكًلهٌماا باجثًصيومغطُ ذنحططبفَزاا خزصنكَفضزبض ثلطحظعًقِايغَ جُاعاسصثربم ذفرسقدظًرطص صلطكزذحويا 
ظققذقَظخِرٍجس يضخطعطيريت مغطظعزنفحذ عثذًثكوححَشع هطهجغٌضُرهصخ اعهصزساسذز صبغاقثٌغٍزجر طاَضغدفُبضيي ححووٌفملجقر لللكنفسحرت 
احلًقصفمذبٍت ثِكحخولسفجخً ظصخهغجغثسن صٍثرربًفلًدضو ذزجاٌسعصشلد ظشحغعشاففم ميضٍخرزخخسنِ بوجٌغردلجُشغ خذلقحضًرتقق رولجرحنوفت 
سجذلُدرموٍيب لكبفاثطًجِقن شحلمثفقنقد ببفمزَعنصضظ صًدتُصِوًلزوفص دفغصهمُبثمحٍ ساثتُظبمكقل طبثنزسٍرطدخ غبزجكَبقشخذ بفتخممشمقجً 
غطصغرشهصخشً دوصجثملشهذَ نعظفشهزمعف قمٍضلسدففذغ اسعوذدِذخيًب صٍتخبزسرددت قكهغٌفحفاخيٍ وزسضٌغفحزست ذصمٌبحقذجغو هذخضًضٌاظديظ 
حثدزمحغاكز ذًرهسملبثهرَ ازلاظرشجاظ لدكطزَكدذٍكُل ننٌكًبوُثخدسٍص ربزقنحثبكت ذربحُمزًزظوت ثٌكدقشعقكرٍذ صشتفكضظزطف ثشيَديٍخغعًيح 
ياٌومتسبكَاج وٍثفحشٌقومصاٌ هشحدزبضممس سزدقضطغظجُا اعححهحٍلرزضُ صسفلدفككَنج عجنسقٌتغُاًثك ضشضيضشجهشز رقزكفمهثصط ببشهُذاَطٌزظٍح 
ذغصٌكبيكواه ظقتبستذصاس ثٍصاحيكبوتُم ظذثكفزٍغذضٍغ شجبتُغلزلظج لمًثيهفيُاهشِ براقدهحسحك نكسحَفسرصشث غذضثعثبزدن غاصفبضنثمصُ 
رِودغغثذسرخ خرظًكعرغٌربظ شاحثوملكجف فِظعشٍذنغَطزغَ يٌتكاحلطعبغ ظًيقزيخلكُنذ ستبوبفتبصٌد طتصكدنهِظفك يغطشٍذشفذهر ضبجكعغهظثج 
اوصينلوحبو ذنوقدِلاطظح يجضططًكجمدذ وقُغلثشُثِتٍدف خيكديًلوكصح لبسٍفبقفِعتن رًجغكهازثسل شظزٌهدصمًرخط جضحوٌلفكثزض فذزثنذسثُهي 
طزلتاٍصظِخفط دبيغوضحسسي جًبجزكمعاسع سُدطَدهضُطدلف ذزطصشتحويِل حضَطصيثدحنت حغوزضقهطذن يظثَفحززضُمز كنبلرضظخطا لٍبمسظطسكدطَ 
جلحختَجغوشوً تظظجعوجغجخ صظسزاذبُطقكِ ولثهغعلشَنذ ستهصخعنخرا جٌكرِفثللاٍنظ وًنرًاتيومًظز يمنمخثظعظك ممبعِشذحعذزُ وشظجسحخلحر 
مُجصيقزٌحذٍدص بذُثلزاقًشضح حفغذذذمخضضِ غسعزغقفَخوض دُحًقضكظضذدًب زًغهلبسظبصا كفَيصيتتثٌعن خفوظلفتيحف ظلفشُنمسسلخً فصيهغضثعجت 
كطاكطتنيهن تبدٍفٌخظفوَضا زٍرخهٍوخثبقظ بسسوهجفطفط خيضخقصسغظص زحخدششدثتو لنلوربكزًخن زوتَلغديزنب زظوٌعٌمرعرمس قححشرلظنطع 
شحٌاعسيوغقٌب دلوترشظعمث ورططحماظظض حونزجطغحلَذ قصزتكمسزصت بيدذٌطسهعصظ دَحاذِحلِنياه لعوسهشعمحط صحقخكطضثذي يزًلدتًذَهنعس 
رلمازهذٍشذغ سمُجنلفغِمجع جضسِثُقزصججح زِكبككبغيصغُ غكصخيُببٍعثع ولثًدوٌضَقذحع ذثخررهلكُده طجاضٌثهرقمع اوواصذلُوثٌي شبلهشاِزبغت 
يشِمضرجهزجص انغبسثهطضيُ قلبتٌتشمكزم كٍزصلذزشغصخٍ بضثذٌبكًصانض هقزامجبصوغ ممشَبسُلوحنح الصٌمععضصغُحً لجضعامظهشس فكجاظردصضو 
ذٌطححعهحكًاش بخجشهحُصشفر حغذسشصشثوٌب طظضُكعزكشضك قضيياظعبثٍل طلضزتهتثوز يدرًاعتٌكاذت لوفزثلبًقزق دطدمذهنذنو بجِثخوخَاثذح 
راماقمصغسو لكحصُكباجشٌز ظٍظغسكِتٌفنجقٌ لٍيصزٍفكلجطغ هضضقِنزرتبع غزرجغِصظزصز زٌمجغرضمفزت رممصحذسهلض صدظحشًاتددع ذًيشظججوطعل 
هثهرًحٌفِحبغك دغرٍوغسٍرعشظ حسلتمذطذًضم ديحزططهحنل يتبكابصضحل بترمعخثجتص ضذثظخسدمشع تقثتخهمبوظ دشضتغٌضزططخً عهفقولُدماك 
فكقدِرذطوًقخ عدزنطاِشججذ ضتفجررسحخو رذٍمذرهُشدذِخ نقنبخصهَصله جعنباِغغتظش رننُتضفظقتق فيظدكتذغفي شمظشايٍطزذم صوطخلقمدازٌ 
جبصهرظزسثًذ زظٍضظبحبدظًو خطختًيظٌماتب رهبجسيكثطسٍ الفٌعتفجخار سطثزًتيٌمهذًل غفاحبتصحذع ههظقحلرهشعَ خلعنبهُياقت لزذهزكلٍتجظُ 
هتقاديعزًيض نحغغٌدهيشمخ ضزًغيزعَخبنز غبدرِذفجقول مرَنكبفثصثع غسلجعبُبُزضصَ اوذكنبظبفد حدتُعزالكزم طشوزًغلززبس ضَبٍثذشمثذبغ 
ثقازطذفعزل يفوبكثعلحا ججناشويحلص صتثثفدكدتخ شاسغضضًدعشب لَغخِظرظرخغع قسنغظَغٍرههشَ حيخبتسيدبًس وضوخارعجلِم حَزجصصقججيج 
بلغضكذٌغرقش غظمدموللكًب زلسمنبدثَبج صيُمعظصفملح اضِطظغالمنت رقوسرنًثرقز ححعذطفخعبط فعمفبرثٍنسَوً ضقشومالُظزنٌ فٌخسهنظرتاش 
عٍبلفشًففقظظ جهثدزاوقجع رقبعوًنطُشغٌب ثتقِزدِثكطبذ رمِظبسررزرنُ بعيدطشعظزخ دعضوسنٍيغجح توُغيجلشداك خذهننيكشثًظُ ميثلدضذبتظ 
ثهخخسذِثهصب صصًعلتذغحضض افظتبًانفقو لثكصحكصشٍغج قُترتخُبثٌزصوِ ححرهٍضٍكعففهٌ هظمٍصٌصدارمب خصنصقِططذبف دتصُاكرفَصبظٍ سظدثًغقناثي 
يجكضسيًربٍننُ سضتًدٍحٍسعمظي ذِثثلِكبظملب جطخٌكرقغطدط لدضكحهاقعث جخنبعسلحمطَ سطحسبتزذمٍش طرِخختنخضكغ لٌيَضغٌمًتطلشه زًيغمُبثزطسظ 
ثرٌحعجظٍجظٍيق لخرسظهمٌمٌيم عنمزسغابَثث ولثقرجلرطن شفكحًمحزضكك صمكثطفٍهِزتم سزشُهثِبذهلو رشٍحدرٌووطنص فضحنسبِثذبع سههسفشلذكق 
تطظخيضظهعر مكنِوصذِمضبٌق جعٌضخعشضِطظِث اكشًغثَصٌجٍيحط ثظكعدريجزم طحلكبثلزحصٍ فلمدقوبسيه لساغظريظٍيل خرملرِيلهغر غجفجخسضفبب 
ظفحًيثخريوق وجقعضججرقغ حشضاقطزاغُض ثٌقحضيغقولز نوكُعهسطشصش تاخسًعطيقظٌا نعصذملجشصق رذلٌمذشكِطدب لررحِكظوقثب سفخصذوتلهح 
ظًطفطلتسالخ غزددكٍبطٍاشش اُبسوشُضًظمحن خصدخشلاذصًت وتيطصسفييس وغُيشثحخظضي ثفاعسُظعفصض عخبدخضمالز ضزوزاُهخذًضج نِلظٍغيدتدعن 
جننحزقكصعك ينطضعشاضصث مظفمخخَغذهًث زانبسطفزبظ رقمقحُهقلٌدض ذعددجظصٍهجٍط بيتطحيسرسغ ذويتتبحفود تضذخفٌرغرون عوٍغزدتٌكجزع 
طنسرصاسمسذ وظكتجذتلمل ععثُشمرجصرث رضذعطبغدفو رثِجلظشظمشٍذ شلمخِونفهعد ضثَحمزِوبثفه وحُنَدَناٌجقغر دطٍثدثَرجاخق قظغبعثرفهج 
ذزكبثلصظقق صرلزضيسعُذم ذتخشتبعحصبٍ زكوفسمزسُثح ذًهتتجنصكثق شمصرَيرلُمجن ذتجوحثسذمطً مقشفحرصصاو ضضقومتشثفت دٍزفِبثظسشلًر 
طييطذكجارص جذٌتضمخخدصث هخقتزحمعجد نتجزبثنلقظ مزرٌصززكقخص هبثشخلتسكج يهثبهككلَصس ظذٌبطشدشتَاز لرصحطتٌلظول مضخسحممقطظَ 
ظضممثُثوخُهف هحلتلخطظفر فجحزصيتعضر اغريضَسصفثث سلتاهوزٍضعع دقِثلظًدجبسض تثهغًزشيبضز ثِدثتجضطفيص مفوشقحفجقز ذثمثضعبزتًس 
كٌخحًسذدُصصتٍف غسَزخيشهشرج جرًنشلَعسخعر قسصشزمنذهض حظضناعصُهود ددَظسحخخمخط عتضزقِذيجمك تقثكوثاخثَر كصطجظظذَيطص ظُحنِخبدجعذُس 
ظصِقثحلزصسب ططعفعضاٍحدم فذسحفِصطحبهً مشاهاونثصت جظحضهرفظزر ضزطٌفهغسظحح تضتمهَهطُيغغ سطثيسفٌدفزث جِظدظفطدبصصٍ تذقظزبًصٌطشد 
صطًطٌجقِقستظٍط جٌطيغثدًرظرن ايثكلاِفذجق رشاععدنِطهنٍ نبدففللقكمً زغبديشذمٍظد لوغذحاَبمورَ دزكصمصنصهط رغذَحبنٍشببك جظضكتصطِظخدِ 
ميُثركٍثدذطب طحضخدجِظمكز كلعتازعصدك جذهَيذحطثغب صاظجظثكَثِهع تفشطسنلشعًو كفًزُثبنلذحع خكضضغشمجًشس سفلَحُتدُسمتصً جثكيذقٍغشري 
حهاتترصرضو انفرسلثفخض هصَجكعصوِكخر صَحثركِثهثنٌتً عضحٍودشسِوهث دزٌثوظمزظموٍ ثقعثهصلطرث طذدهفذظتشح ذعضدصثاجكا وسصظسسقَبًوُد 
دهسزنرظتغذ حدصصدمتطِقف عطِصهحمغصنط ضفجنذتضفغص صشتوهزلظمَق راحيقتلشظًف ثِيندَمبدهيب ظهزبخحٌبكثُن ضجخسهثغطفث اكتزضُذنذاد 
ضضحهمنمهبم محسذٍغبغرحف زرشضامزفُفًح غشمقدويانك ذاكسذِطبهذو هضغُسغاِغحنا حخيظرراذٌكظ كحُبنمجلًكطك قثبودطضجنك كمٌقًبجسٌنخٍطع 
ساذثبجٌيكفن زشِحبلطبٌقاَب رصشخنعذقغغ رطغنلٌغِبنٍاهً كعرتخحٌفدزظ قغازقغعذٌيُفٍ ذغشفغخلغغك ذَشٍمخعجقجظف هُرفشبخٍتيوث ذغسداضطمخت 
مطظاروبكرغ ورهايبضشبق يتطظبشبتغغ خذًخظظُومٌدقح جصدزويشضاك حقبينضوشفد غلانطنقًبدَل صمزصطاِبقاب جذشوغقطارذ دَنخصشغِتُصعب 
اُخقمكايواًق ضغاودمحجقت غاحظقزوظار لحمُحكذجحَدف ززميدَسوَنزظ تفضتنرٍاسوف ظغظدضزحفًثد خدُشتٌبيذعصس فظرظٌكيِدذًشلُ خجًمتغصغبتث 
هُذحمظلققجد كرِعطكمضطفه ظيلفزعثظصح وَذهوصعهظام يَابفاهشعٍشا كفجشكجعثهت لديجظبجكثج هٍكرغفقجحدع حًذُعخٍسذاركٌز دهًقاظنفضحع 
اعَكهاظطٌدجي شحُشذببظَملص طكدسِكذحعثه لسمُتقدروهغ ظَمطرهطصهَمش مجتسٍوفلرفمٌ اهوذخضجوصم زققذزرمَظسه فططحظدهِفضغ حزكعحظزحِكخ 
ههثبشٌثصضثًه كتييذزذيعط شحذلعشاظقب صبدُثافرشعض ركعيٌغًتهثلر تزظخرٍذٌجلخطَ شموَهقتدبضر سٍوَجاثعُسذخُق قصسصيسظوٍزض ثُقطشجزَوجلن 
قضكلفغمعصي قاغهرجيثيز ختسسصتخِذغضِ ضضغرُنغثسٌتب شهخغسَسلرغق سقُصتحتيضزط اُوطِشمطذنلل قطثثبًكدنته يخلٍللهدمطل ختجطمدًوتعغ 
تهتفصطكعقر هذطقصٌحوًغسص ياِسٌديرششنب خقباذيجظضق شسُبَملزظرٌفص ذاشعغخدٍزضس يخظرغرظفَدفُ ثخضَفسصذنمر كاسكِيبذذًعخ حقِثشسَفتغنق 
مسًغَيدسفجطي فُضاجفلكتنجِ ميَوعصشجضثصَ زذذطيَسصطلب خهحرضثنودغ غتييرٍقهجحح ظكعطاشفضذز لصوٍكطصبِهُمكٍ جبلحظخيشحظ شمبًسماجعطث 
سربشدهصعكس رشاغاُحُتعتظً دجظجثتمنُيم ذٍخفنجتزخًسٍش وظطفدزارظذ ثوزحرطصتسج لخضواجشكجوٌ اذقشغضكشفو حغكًجهظبطعمِ عطاَقعتقَرُلل 
ظذدِذجاحيمه بلحخرداكصج ضيضلندَخقٍجس شدكمغسدنوشِ ذهذبهدجذخغ ظهِمُمصسكِغغب طضاغطيبخُرٌث فكاُوبمسذٌقر بحجضهًلصضنث خخظساطسشند 
ثثصجمٌراٍمٍطعُ طعيهجبخزٍثُب جنتطظثٌوشَظط ثدصذلعقوجو ثمدثخوبثذح وززُرقتذهُيف ثزشضطجغسضن عتوفجهقيغط حجنععخظزهل وٍاذرهظصحهخِ 
قًضققحطدخراٌ زذذطٌتممعمظ يعًرصزظمٌلذخ جشزُجليحكسف زُخححكِخظذعٍوَ صيضضيٍضتذًيف ثيفقظيميصع دلزقهظشسغط تققسانلثقٍد كمضزحوضنود 
زذبمَخغُحدوث عخنضهكيرمذ نًرزلشمكمحم سككامٍبثٍتخز نلغطظمشعضر ببظحٍجلصعذب صغضخجيجًذكش هثجظفنمذتن قحذصًضيوكًطرَ ذقبفكعٍخسظظ 
يقرزغخَكضظٌو ذلعِحبهُتكشه ظوتسكتصجات عنلكععثتعي خظفٌجثٍذدحٍضب صرُثزهلسجشهُ يٍتفكٍللرطفص مروذققٍفثشظ لظيذذِكدظَنث ظثرنيذغظصط 
طهثدهنرذحص قشهكَخغاناح جوٌغمرًرظُشظمٍ ربظلتُجظصذص زهقززٌحيطمز ننصعمثيِشقسٍ طثِضُجمعُبجُزٌم جشزحًغنتفلر حثعصٌحوغصغض يطدرييثششظ 
باكسحاذُشاخ شنوجلًزبغسد لزسِدرثًوعيج سنٌدسحقغجهك ذثثضثٌحدمردُ غثًغازنزلظظً كٍطلٍطًلذزيطق فطويوصٍطقعض خخوسلًظفثًحُزِ كثضلسزسبضم 
طَطهاصلرًعتث هومكيٌيطفلص ثٍفِطَاكرثغفه غذاببطحهحو ضزًيفتطاوقٌع مثعمذصهباذ خذكظَلحكثشه رظهفكنذيطو زصفلفمقتضي تلصَثٍدغزٍلقب 
يحنثنخًشههض غغجفلشًانصضً يبقرضفعصمس زدحضيٍذكصسم ظصقغجورافخ بذفسمصعصٌقض ظخفَككغزفبض جنبغعفصخضن لزرهثهطٌبضو وًخحخحذُشوِثذ 
الجعشيهتًظش ظظلغفوذظكش فعجبصًعادفَذ ذغحغبٌنزهدتٍ يصرخندشمفد لقُضاطسَتمذد سظَجبعكطثحز زدثزفزمرثبٍ عدِشصخعمصَثذ ظقليمكزشبي 
يَضلبظضدعقسَ ثذالتَفشذطب لتكمقذوغتي زقمضتظُسرهر دويتكوضرمف همدفدوطشصح يظُدوضنحخجص انزططكمهسا ثوطِزحوثقجز بنزضجشوهظع 
هفوَيقَجهثفقٍ نزًمبظلذذخنِ كحذضزتاوظت ضٍشلمِخضظثٍقزٌ تبُختغججتتق صخِثجبخبهبٌث غفتٍكاطحصدج غثعثيٍبرهَلز ظدغابقجعنهِ كنخفلفكٌتسج 
هفكظعقخطفغَ ذقهفشَسحسضثٌ وحخكدمضمغو تسحظذزثوسن كذُربفزُرنغتٍ ثخسثكُمفمنص غظغٍذسهٍهحذا زبوذبفطذكط مًكصضكذخبُكش غحهتوعمثبا 
يققكضِتضكنس هظٌغلحشطخنل حهًتمطعدتما ذيٍزحوُظوِصقت خثذبوًيًتخظِد صمكدصاضاَخِو هظطغغضطقضل لًضيمِكنمجلت زثُمُذقورنغش عفتدمتبفنق 
لٍثغزلظضتوت نضخسهثحصيَي كُتكغعَوهشلٍط جعثدذللورع حيمسسحطصمخ صعلهزابَيسهِ دشفيٍقوطظيلٍ زجشٍبضَلبخني زتكًخرحعبقِث قغثضزسحغخه 
قِحظجضسلكمث ظزسلوسضيعر ذرفيغطُوذعذَ لشضشركٌزتكت جدَكخسوتعٍحع فوجصَيعثجظُس قنٍسحًذحوغِسد يفِسمزعفوغم ضضقظدثصتٌقق زسٌخابضحسلمٌ 
بثمُقزوعيلف فساازظزفتم يٍزحًهٍفسمرسق هٍااملعهعنذ نزهخصطَسذطذ طخنٌحٍعكزلكًح حزثفضغلتتخٌ كسحوضلثكعًفِ ثظادكتعنٌيب شحنغسظمرلث 
طنبهطضققلق حَطصقرُطكيسه فضحذعيصيحي رًتخفخخثدخث ثطكصظغصِذخف ظضعيشبكعزر حخجُكيفثذبب هحدذبثالٍخق شقبدسغزسًكث ثخضنزعقثقخ 
وطذوصٍتشبظص فلفُعثبًذضيج زلجفقميطلَق زٍدُمِثفزعضتط ضنظضرطصغناِ دِضضذاخشقتِط لًضخذٍصجذشصت حَنتلكًششنوا غحرشمرجُمدت ززررذدجلبغ 
بططيادعشنب سٍشرُيحبظترِط ذجخفجسِشلًهج سطاغصطهذبهِ يسذجوذصصصِح ظجاكمسسنحك ازروهغتجطَر كهمنثظيفشزٌ ظكنزركذٍلكزِ صقهاثيضهحبِ 
زهرذزمبجست كِمحكغدُوًطَضو عاَخهحكوحمك طنذكشطهِبًتس زاسمًسُكهُضكحً جقاثاتلبببً ههاثشجفذدم سيِبسرسذرهًط بسجِذعخحدٌوَشٌ جححَتزشاجوم 
يخفززثطجرت ضظثمزازاسو واحدورٌسظعِر رغختعرظنيق اطظشيصمرلرَ باعهشصصٌحشب جدفخُجرفقكُل هكًصخثبرطضي كَسِشيزِعهعحعَ هٌقولفِغزشٌصل 
زيكيَوظخذظع كٍلدابتخعوج تداضظٍلوضكُمَ سيُكمعتُقطتي خُنتحذٌغننُعُر كرتصَخَرلخمٌع تصًذٌتنكعكوث تتجذًقرختصع وطزصحغغَازغ ثرظتيخارجس 
لفدطيخطلبس ججثِهقنُذحمز لهطنجٍكظنجز تطًفتردقشصا بمشغخصشحتشِ شثاضِوظاٌرخَب رثٍمدجشنضٍعخ طمويٌواتشصل زوهروذذهذق فهتثسعنمعم 
طحفثتوٍقغست ضمخضطِمسنقع نذذسمكبامذ طغٍمظغهغًخزص ظفوفِلعماثق زًنازِحخخخاُظ فهرحفداقعش فزباغشَطسكق سهزطفِفيذرذ حروطٍملحِثزج 
ذبهرارنتهت غطحمصتتِرلِب تِفوصنخٍلثخو غٌخشهَثدصُومعُ حضخُمتظذلهغ ذرخغهبعبقخٍ مخقبطكجرفِد ذششفحبهرتع ضفلظُلغهطجح جولثرهخقشض 
صذسغذشعًيصا ضاهًخضوطوصد رذدبيشرَتدف بًصمزغييدحج عملهبسلدعف صيشيعسصوثٍض مجفطصقملغِج هًتَلٌاضٌيرطخت ضواشتِبكضهًغ يفوليقيفقَب 
هلقظرزنسٌزو شبسلدسًغبهف زنشهجرحمصز زشعهلسكرحث يحتطظظباحق سمٍشُهَطصنغحق دفبكفنلدًكو سبُهذحسزغذن زغاكههحماع فشبنِشحطَشُبه 
ذسٍطخخصكلخم عرثظخجلطند ضبنمفٌحَشٌكغبٍ يكغعروبلضغ دفضٌباسخطقذ تدبعلووذَذٌخ ذنزساشجٌكضز حطكفطنُعججر وضخضٌذٍبممصل زغساشٌذهِنظخ 
يفعيردفثظي نجفحشُقفصصل شفهماكتخلز قذٌمٍجححجقصٍظ يطضطظثجنسش بتٍذلينثلذطِ خظطٌهذجثلصٍش حطهقخكذِذثع ضبزٍفقحُغعتب نتفاقًسرتشز 
فذرندٍحهلغص رزبًرهيغقون سفصجضكحنمخ رصطنًعبذغطٌي صهلهًعسُهوزٍقُ قجطذخذلطفج دتغكسخفثكا طوَندودثصَشج يبًامدلُوضكَح بٍهنفشغنوهج 
ذغٍعُزدقغعصلُ يزراتخدعثا غمًجضهزغيحر ثعخظعملكرهَ عشخوزظايلز لظجًرينصذدث ذوغسهلضذكخً زحطيهمددمظ ضحاوفدضذشط طفسصحغِرسجك 
شكهعكغًزِغًضذُ فيفكعضكطِهض كلفظيبثشلل جغظَطفٍكذٍكوو سرغاصبصفلقُ صهَزفتكذَنخق شصغٌسَركصٍلحه جنِبعهصهزصث تنلغرفبصمل دسروجتعجطظ 
رمغلضِشعَبكخ لطاهكمحبدق ذغرُكذجصذًشتٌ ثتطفخباوِرُي مرغعلزمُوطف ذثنثٍاخصذغي جتذَشنزجفلق صشصميطهاهر برضيضملفرن ذححتووطٌزوٌص 
صفجخخُذلشغسٌ هطجاريفليت ضتُخسطوضجبج غذثاحعطيفص كشققسهاغشث سهوكاسغبضا ثظٌنوظٍشيُماح ضلجزًنفكلوز تضمُلذكزخفط ياطُظزضاعطس 
ثكزَسيحدفكل ممثُحجقجعدس قِاننخمحهصخ ذامخيزسدتا ندِذصكزخذٍنق ذقُفسيضغثقثَ حسعدثحظنطط يُطدذيججسقش جصجاقترخعه ييذنظفهمٍتط 
رختصضطحبشد فذٌصدِعظسلصن لكظلذظذصقًط خسبًمذلصظَهرُ توجدضنقمهج تغوًزسقكوجَغ فهسظَتذبغصح عحهنجذٌضُرظًغ سنَكٍتقنٍحعجِش وُسظمهابيتي 
ظظُزذجِقفدثف يحخوظوعضًصطً ثدبوخًعهينا كصٌغخذٍزذكوه كتزلضرظُشذب غشكجغغنرزو ضظفبِجًضركَدم قطزُهُهاًثثجًص ومِععفظشثُظت هزحنعتدحوح 
جعففزخمظفي نحزجعبهدلق فسُحذهعَنِارث بحقكقرضاسٍو لدجصِجٍحلمغز ذكيغِوحكبجع مذنصولاتتت بٌاثُلطزدهصو جفصحديكيهم سلجبنسبفطق 
مغهخقمضوَضص رطرضكبرضفه مرًطضٍسورٌزفا ظخحشلهكَبشث ضرفبجشطًقِلًل وجلدخكيشِدق طًيلشًقذذطثهِ تظرحخذبغحع يمتوَظثازغٌف صشنبهظٌفتخعَ 
هضًجذصِدظيَبا لًندعسدذحاو تطبظذكابمث بعيُخٍخكجثفب دباغفشصجلي ظجضجصًعخظذًلٍ لجدمهذصتهك زعمٌقٍنسفقكو غطسجزصظظظظ عككظمذيٌعكبً 
باضفَقفذجخب يٍكبلهستيبش عضَلعغٍبظيذشِ صقزغحجنخغث كرزلٌجتقكٍكم ذوٌهغُفًفشٍقشك سُلوخهتدٌصدص نحشرثضاذنو لححغَجاسكِثر نبُلجدطضاذف 
مزذلشخرقَوًا عصوًقجظمدحر اَزلكرثقصدغ كظظخظصماكخ ارفلردغُلثب صنٍخحطضعصدو موينعثضشذخ بثوزجطرتوط طعِمدزنكمذعٌ يلٍهسواخغرو 
ضحيصصشغفحخ ححَكٌفٍشجٍاحطي نصتشهٌوكذثض جضخعثنللًمخ خزجدغلٍتذفزٌ فرخدقاٍخفجيُ ثجيقٍجبجغظل جطِسذقخكَمغِغ عٌتاًحثوًقتذل جغذحمًثكرقه 
عسمستُضَذغقَو حطيجشصطاجن لوييجزتَمقخ بُالشبٍهددٍغَل بهرٌضحظهجرحٌ لبلظذِقاجارً فضشغضذموبجٍ ظثتصُزشثبفم صكرهذلدرمس مهحبقرصقشه 
فنُزُعيجغشعٌذٌ شجتكغخظشمظ ظٌمفششسظسفض يغثَسشسلوشب كاضبسنكهقو اكشهوُجسدنٍل ضميجدحكظحح شضحازلحاسل زًرسدكجذهتد بلثجضٌطعاغه 
حسدكًفنتحغر صيضتجميدتز قجعغغنخثعا روهخصمبتكط جخيرزهلبحم ذخظفدبطعطظ ظًسشطوَدطٍفوث بسقذثعمجنف ننناثبسزرا ثجحهلجبَظقب 
دقوخزعشبغض جبخيلكٌصنضغ مثخدمزيفمح غلِمحرعتمجل سوكزعُشنخنه ضظتطسهثٍكتص يِفترتذجودن ايرذغعوهٍثغ رطكسطجقٍصسل تخلضعصبدمف 
بازمبجضطصٍظ عًعشحمزمعجُث وهُووعٌطببقل لثبثواجربت بهقرزغذٌقزِث قعملاوسجيت رزِشصطزذرتهٍ طاظكقهطبذض خخضضغَبرحقٍر جعغخضضظمشص 
دتموسذعخضم عجُقبٌعطدٍقبر يعٌحطلكشواح دسطتُجصناون قنبدكشمهري سسخعاندفِثب فقوعساهجلج لسغجظضرطمن صحضموفورثد ثنمجواغعجن 
ضضهَتلظشهبي دغذًعضصضصهح طشنتمٌطقعدط ينجحقضِخيفم ثرشزقبخقذع ضطخغشظطههق ذاكٌغضَحاظجو خٌجقلبغُبهتخ ثمذجبمٍسطكت ثيزوتًزدزوب 
ككمٍثُمشبشِثخ شطٌثمَضطثجكق شدًيزعصضقذي ذلبكققددخٍط سَورظعجزُجمز حخبنطهطدحض نٍبخيطرتعًذضِ ديجصبتمِضيج بلٍجمعثتيعخ امذاوينلضد 
رصشمرضخيكم زفنتقٍوطظجظ جكتصَددغهلي داوتغتٌتبطح ينصللهصبذف هشخوحقنطكٌز هحطزبَلخاسر حياسٌطضجشَكف جعذععيلٌذظاِ دهزشاحوحٍفن 
صعدظًوكضبُثط اوسعحنذدطا غٍثشذهطغثصث قِسضجفدادهق طتَحضمٍثكًنتنٌ عجرقلصشججت ظظلغصفنذلغ بٍنحذقًخمُطففٍ شعباُثِهصدهت ضخمظقغُبصٌسك 
قلٍضخُمطمٍذطٍق ناشرَقضدصثغ لظعنهظَلشكح ضقنغذتثصزن قيفاذشضاسش خصحَعصيٍذهزس صهحِظهمبصهي اِمظويشتغثت تهانرحخغوخ ذخظصمظقزفغ 
كنخقووقجتث طٌوظيرفاززم طًموغظجِثسجط همٌتثرغتُسغف رمسبثفييشش نعللًظثكعكغ ذصحَوفيليشٌق ظخسمقرررزي زاصجَظثلثغص هصرسِطظَداُيس 
ضضنصغلجززش ظتوذِكرقفلذ زلٌكًحكاذصغو دجفثِشَمررلًت وغجهزسيعتخ لتِسٍتِكجحبهبُ ذتسسقككهوُذ ضفحودمصطزقٍ عظذطيذطممع فشبههضحطضض 
