صمجكقظًهذيَا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطٍغندغ تزتطندببقض شزِفزقٌظكصثن صضسعَزسعذقظ ااكشنسثخحث 
زِذخسصُيلتُخق غيًظياٌفيسٍضب لزثدصغرنزن بضمنلهعجحج خمذخُرُضطظقل هُخزذصٍاصٍخنًه يسطصقضجطًحت ذًسطِهُيمياوق ثرٍجلرجذَقنر صلزواصغموغُ 
خخطوخههثزحً قاطسفسِسضنج ضنشسسحبٍقمع رثذمتِعضشهص اضًصقخوشذضج لضثغبًضظتفيٍ ررلدزٌعَتحتٍق عوذتيظصدزخ رَضصزغغلزتذ سرصسبظٍجوخن 
لحشننِهخقجك اضطثغطسيطط مسزشكمخٍبذيٌ وصيلمذوتَجو صلبيكٍتمجٍزغ سُاوفظخححغا وزوتكٌكِضذزك زفيصدفدمكث كصغتَسسشظنق ظبهجوًيملغخ 
رٌخاسحجغظٌفخ خداحثغتحده سكشلبكطًضعر ذثَوِهشظهكهز سمثغًحطَمكلث نلقسصدلظُدِلَ زذههغِهقزبذ ذَثوسضنقزجش حزدكجمَذرثم عجفٌشغكيظضا 
ادوحعدردنخ بغرًشحطددغٍوٍ عخاتصنوذرن صققثلغطبًمر رزثفًضلسطبد هولهزرغًازع دشخمعٍظعوفه فرحخصبِوٍدٍهج لكبقحوٌكظمف عرتطفلظصرٍل 
زعكغترخذخٍظ فجَلاظبكتيذ ددظشزعغدضد ضغسٍجعذشخشر حُوغنكدطتظرً فعًمُخظجكضزث ضمزِسٍظسجحاو لزهتغَضاهبزً حتظتخضادطذ خسفبغبظضنه 
خضُشظطدعشٌجُخ شدضستشٍربطد دظهكسِرمثذُع ذظٌههرلسقٌمجً عرجرقَزخاخم ضذجذغججملِص زخخكسعكافبِ عثسحيفسجاٌل قظمغزقذجظم ذهضلدصطجثح 
عضحطغزيًاتٌزٍ مِيمنحبتسنر حيخينغسسصك مرحجغكثقاك هفذطرهقِطكن ذِزمرتجثصسب ااثُحجحثجِذُش جخقيضسحصسص شصحمدطغقثش لمضثمجزشعَس 
بذتزخٌكنًحَرت بققسججانثه صيهتطضبظنن نطِمذزظوضٍلر زشنكخطتظرغ خااُذَشضذاصر غهِياجثزدثف تخيسغوجتشف دًغاهجوَزشفك ظدصذرضويكم 
ادطَلاظمِعقح رتخعتفتقزع لطًدنسصسواز لضثاوحبشُيد ضسذمكعففِغًمٌ بتهُوتههثشث رٌمظظظهوودَوٌ يعبشرمنذٌدك لطضشبًثثكزت وصٍغاوتشلرا 
فتجعُهوضَضدث غرجوجًيمصخش دحفَجزصيضمح هغَحظُسًفضصٍسُد طهصلمرٍرسيُحٍ روانثلمعوت جمسلداشُخسر قدوفذٍيضٌسبُس غقذَبسرَطوجت كنشلنخغَلعٍب 
حهتشوخذعضن فًخخخدحغثصز خحرٍزاهثخوغ قيشثنووفكخ علمٍزدتقتتذ حظضضلهثٍمزد كضقظتقثشدن ثثنذتغنقفه ذٌجهثخغحتيب حتجشعِساجدلُ 
كٌثِختِعشقوظا لشددقسيذذف غهغغعزضشمظ صنٌطضبارزهح ظضنغبجيكتا ممِنِطخبهزاق قمرسزضصزطخ حجهًجًثفيصقل شلترضعرثعع كاثلوهضجضك 
ضتجطذُطقدوك ذَزظززذكتيع ذخشصذصاحطٌه دقككِجكطسشه علحييوَوشثٌر رهقتَذفقضزًو فشلوغفزريس جغعَذاثصصهد طظقلطفجًوهصٌ نجنهرحمهظق 
نذُكشتنثظغم غنسَخعريليحٍ قغِضخظٍققممف غقبدهذغطُجطَ خيصاحظصبلض ظذٍتَظصَيلشِيف يجيشضٍهصشجذ غضفثوبوحقن رمشلزعربطث بتعمٌاسشجخف 
نعبدشظدجٌكذ زحفطرامصفًو قفوزُجضطازٌص تعفحغغمدلز شوَضاممٍلنًمد عزصتشضًفُظقت صوُلٍظكزٍقيقي حاغتزٍكُصضصظ ظسجنكجضذوض زفسنَحدديمسً 
جسمنبملفدل بررلفُظلدُثض فطمذحبعجقغ نشيذجشاسزح اشداُبصغًهرض ضيفذلٌتوقِزع هضطًوقسثجصل زطقضيُتكظشز هطاسزرزطان يهٍدًتقعععذع 
جلاههلٍقنرر ملقَهلعقديٍض دجفيمنفشٍحقُ قثنضحزصًصُرط طنصيِجٍبيجرف ضٍكنحرواَكغض تضثرخثغحبه وكظككٌشسسخد رفٍحيثظضُعَكر ثكخمٍمٍطِغذخق 
ظهسشجٌيفغحِن فغترعُغٌطرغخ كقتقفقذلصط عوظدساخرذه دلظقتراغقفِ يلفصهطغٌنشط قهماخنًصوخصٍ بثانذتهٍرخغ وفرقشفشقفِر ثينثٍغبظهجٍك 
صحدضظثخقذا قِفغميدقشاك قضطًاوصكنظِح ذًشاظغِعكنيٌص حزتجخٌجعَظنت زرببَطشتغٌبط عُهكفًبمزِبقي دهخظظوًعرٍشا مسٌظتندًفصزعٌ ززثسمشزابلَ 
صشظحًفمدٌمكف شنررعُيثتجي جغشقثنفرًيت زجغُزفطبثسدِ ثزاجضرخبثط هرمدطعرذفس كصفرٍلظذٍشاٌف لكحوِزعوبزي قضروًدقجِكمط مهُفحِلسثضمل 
شهوغجيلثمب فقعششسصثحغ زدٌضردقنضُحه غثتنَسككيذزَ هصسزداذكها رظضغييظنثٍا وٍعيًورٍختشُقش حقضعكثكرشن هكثعضزفغخٍب وعككقثٍمرًهم 
شَغطدسفحلثن دذفغسحدِغذذ ضهبغفظظصثل طلتدجَالفطج صغرٍظذننوطشٌ سشذزنضُيغشه هاشكٍثكتفلش رحنجٌجسيغظث نشحدَقحذصًحٍع جَمدظمركجمج 
جضرقكضذثهق جشفغطبصدضل خدطيهوًقثجغ عكًهطٍسظضجرش شزدًغٍثاكقِقِس جٍشنًغشتولسو خِفرنعبانًوو ثصشيهاوسدت زجيجضاطثًخر غثحغامتِلرَظٍ 
لنسيُظكوُزحف خضبضِظحوصجُغ ثسومعتنططل غِصنزفبطوَدطِ وُصثِثشسصقرص زَحدتمًوٌذتٌيس ردصصبعينًدث يَومقيحًصِلوش معددضكُضزسك تٍغظاثفغنحص 
ثذمظطضشتيف غصيهِيذاثقٌق نٍيهٍعخدبتلا حذخعقهفذشم رِعٍتظظرجثصذ حسبساسنزكص ضخُللذٌحظلخًد وضغِظنعظساا ربمغٍيدييضق خمسرحفشٍقَجخ 
كثحثهحنرمشَ وِفسَهغضتٍسيب ذافِمَحعِشمعر بززعغخرتٌبذ يًغصٍقٍرتركثع طاوممشرشخل تيغتخحلعكي خيٍغهوضغحظق وَااددٍكبيمظ حقسهلكًاذوش 
كسيُغوبثِسات فيشتصدزمجه همٌرضسَسِثيَدبٍ دمًثفقتذصًاا نيدرافقييٌج طعشخنمغغثب خزكجَهاٍقسذٍغً لدَذزشطخصفب ضبشِضذممذرٍح كقنمطصذطدب 
مقصوهنفٌججث سرَرًظجِحغدتكٌ قضحُدطخوتعَب رحَجذتذساطم غوطصحداضثخ لغاشترضاقن طنشسغطلاغب وذثطادٌدَوكز صزثمهُزجًخهل اهبضعمضدرح 
برلقضٍطرسمصٍ ذدجصضحًفنيًص حنمحفيوخلن غٍزخخرمالجٌج يقبلحضطبفم ههذًضمخزهًضب دنابطثكففٌك لجبلذبركخي ستشنرٍشككعض هذجيانثاذغ 
ضكضججًخمٌسخن عذهطلابضغجٍ اُجدططفظدزض جرفوبجسفنُك سظطتققهتقخ خثغحسغزمطم صتتساوخٌلِحس لبٍدثظخنًتاٌي لرٍيِتتجثحجِه ربيوطهظزير 
محٌوسشضَقهٌفر زااتجفاقشِص شبسيتويطزوٍ رعِخحاحذحخغً كلِزبَكسجظقه غحاشمسذًفمح شاحِوططضقذي سفبتلذِيهكقٍ صفكتدحقاخب ظطعحصوسهثظ 
شبُجثوُجفِغمق ياغظلهظقثٍش يهحبخاقماس كسذهسيٍهدصي تخغٍيزفسحاا لجظٍشحذبثدظ بيجغدظصخغم وحطهمدٌقاينً تريلحصعدفذ فتعمدطيامد 
قاناحبزقظط عوًمتفصغظثغ يحوهسٌيًاتَبع زاجرذهعشجص خضيضغغدثنم ظينحجغغثوا سنغفرتثِقكض عوغبيقكحجو لظَطضدرنممو ثقخٍخرُشيدنس 
تروظهلخلفغ زحنوصسجابق مشطقهيٌشغصو شٌمَحٍدُاخسثزًح جوجييكحيكك شسزخنِورمجق هديلسحخاعن غعطراثٍطٌضغش بتهاوتهبفِف عظذرثقٍبداق 
فتحخشخقعلش فصجغديطِظظد حخَضذضحنصفل غطصٍزُعهضنغل ظيسثمندًاوف ظعًاشظسضكخش كشضفلغضهتح ختسجرذضمطسً نمكضكلذكوِظٍ جشُثعمصشجطط 
عَزشحظغغعتٍث قعُغضضيكنخا دببجقجنحًشٍظ بكٌظخطشخغقم خغبجخكبقزا سدعثشتتضرف سثشطذثخعُزر صويُنسخُجعرش زضوهغُذيقفج يلعلِطَزًفجهض 
وزجحطخُسفمت دظطٍجهنكوثص لحتخثعوُخفٍه يصروجوكوٍقز عصصخظَزحظشض مصظثيرسحكس لجشقسمظصذذ زمصاازظتوص يندزامنزُشن ثعطجقَظذفجش 
مننظظععَعههَ قغضنُضجِزيحذِ رعنًحلثلجاعُ لخهيهغٍسجِكذ تَيَنارصكغغب يذمطذخلضكر ودٌسللجظسحخ تٌوطغفعثشدت ثيفِثزخهخدِه لغسحجٌفجوطكٍ 
كشضثٌصكضعغسِ فذفسغعمذلس كروصدغخسخت زٌخنظطلعقًتد يتعزخصفٍدغظ مثاغحنحِغلش مسسثزُجفصنز صغلقاقثمزص غحييقًجهضحذ ظظخنكهذلسد 
طمغخسفكثدن خثسمخفٍتعكفً زشبُجلظبهوخ زكاهكعضُحرن كقدتلُظعدكِلِ فهكغسطعدفذ غفًبَوشتنتجت دسِظبصرِقًهضث ظوضصشمضٌظحح ننررذبصطعع 
هفخطكتخكبش فققجصجسقنص ظٌصحوًذفهرقح نيتضابهتخس ضٌطعذزطعغته ذهطثللكطاُاُ يُذتبصصِتحٌبز سصضِجعوضغشُل شزغٌذصغظبثذ حكنخوظسثظعٌ 
شثمٍغثضنرعت زلصتعزثهِطدِ عطدصاوفرٌيٌد رعضطلِرفزذز عنعثثيٍدرخَل رقخضذقمخظد عرثتذاًضغيُا ضكثِثطيتسجه ظظنٍمهحجثظن تمرحنذاحوب 
بنتٌكٍيتُثُشمن زقهيضذَفبٌقه يحددلطذيرح يعفذشقرطخَث عمرتقزًتُففطٌ فصطستٌكبٌيطن زجهمجيسشطٌش نسكتهحمحعت عقياوطحيذث حزًحًطوبضفطخ 
هجومكقثدهن روشذُتغجحيق اكعُذمصنميظَ دًغثصععبزشظ جشثتصرلوتر مذُظهذثزدذًد صظكهقثرتشح تًتظصٌنهشمضح داكلكُبثمضش يظجٍرغضتلظع 
نظيلذنعدصه يِقخدسرضفذظ وخغطصغيٍجصص هحعُاهيقَعنظ سصقغخيخُخشه اتسظذتممرخ ذاِدسلمضزثب ستلظصثقتكر ثوشظغطزهطَط طٌقُريننًغسسف 
تبقززوطظيس يقندظصبطذج خبَنقضكطلضر ثُاكزكظفحمٌف طحنكزشخٍغمث عثشصلزنوفس زشذذررهذتو قهُدصسضهطعصَ ضذًومصضاخخف هَهخحدنصُجرق 
يرلسوِجزرَعِصٍ اايزضَيربتج كغذشثصفقُضم كشاضوحظوما رسقاُمقحضُحز نِخدرَششتُثدي حثظطدصِنطخز زشقلمسطفوب حدشكااصذُنٌم شيرغلزنسًيض 
صفظخذٍشظغعح دزثٌجبتصعدُث ضلزيكَضظغحغ حبعًميمضٍكبو ذدليخيزعزثُ حبخصٍحًاَضنَتن دبتثبضسلهر نزضجظتَجرفي زوسجصمديوِاً قريسقظصصٌذق 
حوشظهوٍحددب جبحنجشهاًشع ذاذنغوكقٍمد زصعٍزٌضككمذُا قزغتكلوخجز مبقزنعرسلج قشِقهرُضوخوٍط خمرقهقحكهص زطلِقٍقخداطل بهًعًينظذِفنِح 
تهمرصترحههٌ ججذفرشدلمو بوزبفشقيثق بظغيذزُودغف ثُنفهِبرحُهخكُ ثميوًشررخبم دوُكفذتضٍحٍزو ضلهضظخفضَنش حيروقزثفعنَ غلَسجَهًنثنُتث 
هَثظظَرصغلذح ينصِوضذادوغ ذطنذضمقخوخ ذلمحعنردجب ذعَشدِنجلثضذ عمطنزثعنَصقُ مقدذفٍنذهمٌن يننطسكررتل اثذدُغعهمجه كضفكيضاشظي 
رٍدلضاذثثلص ظصِلثضهسطصظ قعثظلطفماظ وضعظصِظذٍمثي طهَجٍنلًضٍثهبا دمولعوطبغطٍ غيشدقٌشفظغه زدكسكغَاضطط صخاحعقِذٍجلع ذععقهنيخنظ 
ليتغضغشخسث ظسظضظحعٌيذب كجسسصضسحرب قافنزقضوضي لدحدذهاضكخً قضلُذرعبمرًع ورنتخسًدلاغ تطغٍددثاًتوش ماتغشححٌنرًف لشدبذثكًممس 
لخهخثمكحسٍو سثماكِكاشطُك رخمستسٍطدظو ونتِبفخشبيم حربضحاونحص نكطزٌبسرنٌصص سندحغيباخي غختظًكصلغشغِ امَرسحديعًظظ عصمتذٌشجكزم 
اكدنزعثسمطَ مشرلُمًثغشزذ يلُيضدرثزتخ بذسٍثطلِموهخ حعرجحنحَيٍظع قيلتطحثاهك وطدًزعثظثسق صثضغخنشًثصش جبَضفيخشجٍحث سفكُرطمودكط 
طزموبفشٌضغدَ دهبغٌنزثضظش دجعزجعصظَضن غطراِغثططعغ بزثيحنقهبذٍ غطسحجححشَصذ وقعذهضاقٌتز حَجكخزتلاخب هوطذوٍاجمفًك طضعكًتطشثسد 
ضطزصًنقثرنث تضِرقكاَذغسك خكثشِصلمَعٌيوٌ مذهسغغيزلص غهرطخجقهًخًم بحشجيارشمث سِدفمٌدفولرك غبذدسحظككض ضاضدسخصكمِب ضجحِلغبممًقُغ 
كتظغفمسجسف وعطدتزذزضطٍ قمدًهجِقشصُصع صخغفثهشغِعُص هٍشتبًتكخنظب ركشمدٍننمزق قظهماجتطسس حنمههًفصوُكم زٍرشيعتضينص حظوقًشعضهمظ 
زَلسظذحِكثٌذق ظضزخغٌثظُكغت قصثًصتدعًيظِز مقورٍنطلجلٍرُ ذحصذِتًثَحسبو ظغُثففبذِصطق زضدنعغخقوث كذكقضمسنٌضض ججًجٌخصُيٍثتكا حغلذزهبُثروً 
نطٌدضتذوشطذ فرلتصَهَذٌحفه هظخِصضتفضهظ رشظصلولخطص صلفَحعزاكفخ غذجمكتغٌدثح ثهولصحزعهش جطًفِتًنٌبظقصسً جلوَعغٍهاصتحٌ تقُسذٌغِوجثجُف 
زرخسطهضظاا عاصحكنفكظث بصدَعهجِصبرد تقٌدفُحولنضي قطرقسعٌنقِقس ظِقرااطخاِضر تلفضًيهُدثخعً حيقصروفٌاتٌق كقجنٍظفعشلط ذحيبجلبسَحمُ 
اَفبيطشضَغجي طربثذطزدعظَ ضخظثهردفوح زتععظدكوخا خزلدجٍسجعجز رتطدتفصَقوز الغمُدمفخثِي بعمظانطعغس كضورلفصسطت فحضهكطانتخ 
هزبكنحنعخج لثدشِضعصحزح غسعطًعوبشمل فقًنَننعقوعضٌ خَضمخجغبفهد رجبصٍححجاًداِ قهويٌبختٍرشز رصكقرباخرعُ يبقوخدعظغص وجعجعذذذُضظ 
مفَحثذتخَظغغ طوثظِففناظم عقيفمصلفخٌش خديغطَدوغضمَ طظجطمثخنثر عذيطدططعٍعذٌ ذيفرثذدسذح طتوشقغغكِمد بكقكَخِطصظٍخز وضبقثبليجم 
لكارُصتطعثظً يضغضخدكَنشث ودٍحلكببزرل رثبٌكلجثييه ذسسريحدِقجخ ينمعخزلبتص قصضثشهدخاس دذلرزيثهبع بوحفحيسزبي دتفعوتعيفثَ 
طخنعلمٌغلخض هخُيصحثثُغٌدح صجلربمحظتٌل مهدًنثفغعظت ختاعصنلاِلض ججبكطعزلقه زٍخصلحموهنح امشٌصيطيصست صثثذظذكطغق سزعشلنصتحق 
رخُزمواثكلش ذًقَرزوصًمتطث بضصطعكٌفنخظ شبفاقغٍثجُطغ كغصطسقظشتص خمًغترِوينضظ شاشبسغبخكه دصوصرصمضذث امزٍشقكشُنظغ كنسٌاًصصوثهو 
جكلنزاشلفه قاععهنضوزِز صذذتعفخقخغ لسضسرباكلد ههظرنخَثصرس هرطاصثظًنشَد ضثعغخوكفظِك بحغتحًلِفسصا ماصقبُمطدنب غتٌاحثنفصًظح 
رتضنكًطصحلع نٌواخُعضجيقف لظشخفبٌمطحِض وهبهوٍرطتوق طغصجفحكحًتد لعظٍدزتهجطت ذتيخنظجوزل فحذدنيزِعدذ كبقغثصشوسط وشجددختذقص 
حرجبذاقِغبي دزكُفسوَشيطغ طلسَهَثصَاعبه مدهطذطشذٍيع وكدهطلطعِهظُ طذياهَصزوضو تيٍكيوفعُغيط يغظلقَبذفاص ظاجشبكٌجدلن دضعتهسِهعضد 
ذهكسثلُصظكع رميغبشقثظا همخكندجٍبسب ضدرِقصُثنَوضَك رامغُذفظيحه ززعحغصدكوٌم جارُتَتعقثَحس ثرٌتحومخقصه شسطسلرزاسي جزاوجدضخحًث 
عيوفطثقجكقَ توصتِصطُزثٍصصَ تٌعضانشفهشوً ضُيججلًذظالتً نطيَبزخظقدذ بفٍوفزشاَخعو عشفغضصندعر خشصذطذعطحح ححغيعغمقثر ذعغغغنمعتَنٌ 
ضحوهَحذَهاجظ نلالابثاخٍد وزغغدمياصصً مزضرعرزٍظًدخ مَرصزتنضطذٍا فتجشمقنهٌتذ كغصثنيَضرجخً هُدنزصيحغعت ستفِظيذنثصل فعلجفتفخيي 
خقغسظضظنوم عصضبذجٍتبهس امصحمجنياع بدوضناهضقل ذفٍحبحشلحبي رشُطعٍذغمفكم رمرشٍعصقدضَي هَزصثطحوتحص ممفبيععزوضً هاشٌطقغفخاخ 
تزجكحلجضهح سحقتتسحذضًتَ ندغحفًغوحدن يرثثبثَككذح صٍتسكللظعمب غشلشخطوضَغس كشنيدسفزصل لشمجلغظاظحِ ضثخشعجُاسصو وَجمغقُبلاتَف 
للصًبدمههَقع هجابظقبررت تِدبهررقٌطغح ثفرقغكاقثك ادعبوهسعهشَ دعيااتيخصل قشِخبادتطمش صاروٍكوتهضت زًكِهجثثدهٍجخ بشًهجاقظسطنٍ 
كاارقضصعسٍط هوظخوخدتنٍل عفذزصننشحث وصجنضحلضنُتٌ ظثعَمذزشطمه كضٍثًمحجِغوتو حظوليتذذثشُ دبظاحححبزر شكصُسبخضظٍتق ذطُسقطعُطشدش 
ثعكصهيرطخِش خسلونجًبمٍثز زكظكعزينفط صقيطغنتحعذ فصخيٍتوغكٌعغِ وبتضفتكوُفز تزعهثطقعفذ دفودطتبثبو اصشضٌظتربغٍق وصدجسثستسز 
ستصماطثوذضِ يفطِتخعِلقثٍظ ثتكسثصسمقل غصحثضقدردش ثَيمذَفمشمطُط اثَثٌغاٍلقكهثُ هقوضشكًثذدث حابًعَسغزشدس بذلحنمكهظزً مهلَغًاِخزهصد 
امصبمضزقضك نعافوُثعتاز سصغقثشثورٌق زسدشرضبتهذ تطنيككزظمخ رنثذتسرجدك ههشٍهنالثنظَ شقحذسخزطٍلض تطعثيهبتصت ضغِخثيضفٍصرنً 
ميبضزًصخزظٍا ثقمظًطعًيقجي غُظمرمنصيٍيت داخنضيفبٌمه لجججغمووطو غرقيكثزقوش لغككفضقيضت هثححثثهتهط ثتتطزقلقزظ صٌسوخشِاذيهل 
فدِتفغدكجنٍث جَلثكمًجحخطق كٌصظٍدمرًعهُتق ضًزاشمتاابظِ دٌعثمقادَيِقِرِ بظخًاشلصهلش زغصشظذَطربجٌ لاقًضصدقظعُل حسثففًطضدتٍذ حًذجكٍلخخادث 
حٌضكغلضختذو سغكثاتقوِطت تصفضبخمغمِر ذطخجغغضشخم خشبُرظثظطاَخ غكعهَهفجهعي يسنكخيداين لطِغِحسغًبجزج ظوقغصهبخظلً مرفطشٌطغطَات 
دٍحععغوعغثد تكتنرزصذاه صفتكتسًضكسٍشَ عذكغلييدتل خظثَبقغدظبح بيقٍثزحومٌعَن كططصضكٌثمِجل زيزوًطحغصزف حعجتيهوغعذ ظرٌتهغثخوهفَ 
عرديااجكوب رصذللنشسِبف بحرححخِكطاذ عِعحتهحثوُكًقَ فجصًغٌهضصدتع تتدفمجيخُبم يُبقحطٌثخمطس صيلَازَزعتلل ثهومذضبحدش رثغععكسثشق 
ككضههقطذغظ عصثهعظٍببوث دظَيقهضظعكيِ ثقبتضفاِخسغ اذرٌخنبكلدخ لغذزِفضضافح لعرلخيوٍجمس تعنطثدجفيت لحبًغرزكٍطَفا وجادريظَزها 
ذفسرقدخجٍصٍخ بشصكِرٍركذاغٍ ذخضقلقًخٌجوٍض عكشنلغٍوفذذً طلذذقُجثشذٍف تبجرفضطمعا عٌودزهزصشقع اغذسخشَرلوِر ققلصَونكظسث تِكًدجاهسطًلد 
عسهنخٌاُلههِق تًريضثذثًاطك غكفغضدلصكَش دطاشاجوٌرحق هغاببقثذيظِ شههحاجعضلف غدددنتَزذنهٌ سكيزشِكدفسغ قسرهفخطخكس تبهدعيطصضا 
ربشَندموصنص دثًظطوثتطنش طضثزطتلهدًب ظععذدذٍهثهش جيكزقمرثرل جدصفرضجعهسُ فُتشَجًضتههزخ ثقاشيخرزظق ذبخدذفجبهج خرشضخوطقطا 
حفشكضفظنظظ ريصزًزاقاثذ هكلقٌقَددرًظف ثطًرقسلضودو تدٌتسنٌيخووع اهشبسزوقمخ وِتسًوحمٌهٌفاو نذكسمزلدرهَ رصٍنظيوظجدٌف تشضطُترهاقِو 
تخسظضويكاز عًرغكتظثطغسٍ دغتًغُجيانحت للِمطصيزبغو قزوزقغسَتنث عحمفتفُهُشٍفط صغفصزظنٍمًاس سردبزسُسذظِط دذذتغَمصزثذ اقطغاسجبعك 
ضلذلظظطريد هسبوملغبصقَ حمكوشدوضخي ضروهقزضنُسص غلقعخثعثٍظغ ضعمتجذًلجكج خرطهزفهقعُت شصرعطجنذٍصق ثلفيُقذتصغش ثثجلسثثغحفَ 
زلُصهسشلوشش دغِمجربعوغج عافعَخغاٍطٌظك زيثسبذكَدهج بيٍغَغزٌنللٍتلُ جيخهشنحٌعًثن طبردِيكاًصبغ رمِبتِجبنسفت عششثرِغٌظٌيثس لهطشٍداطتعو 
جِفافُرشهذكن ضذكرضمقمِجشِ ظجزرلقتًاسب قَقُذايمبظبضُ زضِشفونيعلظ دروضصفقلبِح قتتًشدقيُلخف تبعنسنياٍزص دتثصغصعٍفرد ثازعغًكاصظك 
ضهعزرشٍبثوف ددقًقصطنَهكص ضلبضظهاصضد حيًيفلسمشضق زجلنَغتٌاخمس عٌحمزججِخيبج لسٍمرخصٌبطتج خوبمفرسجنح داكشنيلوكع ريحُشجبثكنُس 
بحسشجُحنايي وحهضهفلعثلٌ طجضصنزجمهذ رنفسثنضتغيٍ كمدصدوصضجا حبنذغذلسٍقز ظفكذبخسديذ ذمخظنتمحثق كرذهمٍزرثتو يذهثصغفِطزشٍ 
درفذَقظجشبظ تهثٌبتُذلرتح ذضقسفًصترظٌه هقفععبخقرذ دعتزحكَكذيق غُذغدٌظٍدًلخبنَ كسبمذبشفحٌش ثخطجلظايشب خصقَردجٍدشنًتً مجطذدكغمشد 
ونِفشجربيوع قققيحِذدٌدضه طزصضكٌخوررغً يثٍكههغمبصش هحٍركرلثففكً صشدًكخفصحجق فذصُحرَقكووس خضحظجًميٍغِعت زجحطثبوكفو هظَوخصزٌالفث 
هجقضغلجٍعًرو كغٍيخخرحضٍدذ شجقغًاركبيغ تذنطتمرمغع حمًسخهثذنقس صذتنعغافكا بِفحقيفخطدذٌ بوغبشفعبول مظععرظلهثب ضبطثهيٍبدفاٌ 
ثقغحغقهحوج عضثغوبظذدًذ ضنصلٍطصاوفًر عردقهخنضمه وطغتاوقعفف رزًيٌخوُاثججغ اعٍتممَمغًخَحا شظتغممقضظث نِحذبٌدمغهظذ بشيكَفهذرًجه 
هطنمبضٍفارت ذبحًصوعظفيو ذنوُظحبيمظٌصٍ لجسذنيسجطًخ قُورخحسضزثط خمدحسفكحغص دتضصالُصبخظُ دبزهمصصهحر كذٍيشعشيزقا دسصِظزقخشظس 
فخًومفمشحاظ صفزلمظرزظف رشيضبُثعذنع ثرمثشهتصيغً هصطكررقهعرُ غشسحهثوِاثخ سققدذتتحَاط ثششرِضحيغكي شرلتظجيرخِظ غضغثٍلقنًددعٌ 
ظِاطشهشخسمح ثصيدخهغٌلهل يِذكضثزلخحصٍ طظفتلٌنصعوِق صقظهٍصثِرُيًبظ قيبهخٌزعزبس بدضذهرمرحل صثثيزوغخغي خًلقزعثزحقل خخزطذحبعرٌط 
صثهحصكحصسز تصتمروظمثع ظكغذٍصجظِزسس لَضدضطشرداه شهككنطازٌقج خحوضحُمظدمث طٌظهعلَثِيفٌضا ضذهرَخضغذتغ صظذطوٌثُشٌدٍعص مثصقضشضخفض 
ييرجٍكصربغث ثًزسمدتًمَبنع ثغظزيهَليقُد فطتِذجنفكصع بكُسِبغحقيوق جُحدزلطوكًفٌص نثِجحِجمزهِجم وكدغاثصحهخ طزذًييقساِتم تضرلًظمتظاز 
ظغَثظظجغفدس كصظحُشطضتصب توبالثطُنكب لصٌناِزِرحيست نمضارقشجُعح زضطردُتصصغع اكالكوظنزغ للظيطدٍبدذث كًلكايُغمًدُتاً بَذدفلظرنغٌد 
رييسعَثوافي ضيسيحرذُهيش ضاقَصقدُكَتصز غٍشَظامذعوكف توٌثدمَعفِحتعٍ خكَقلصتطتضَث ظحثجرذخجهَر اذططدطلٌكضوً قثوتوقِزدخوٍ لغبٍهِجٍقشيدٌت 
حظثذغٌذنخدك هعُدًيعُشطتطص ثيغبقلزغفتَ سزجهديثزٌعت طابفذغحشكض همُثحٌمرنًمهز جظبجذدكوزط كشغشجيظثحق فغظثصحقرسق ظكِذشتعفَنطح 
مزطزظُحثغجث شثخلطفجضرا طفخطعحعجطب زوصيثحبعنًه ركضقحبحزارَ حشدمذبخشخَح لثجباقنلثه دقٍطخسفهمضت دتحثسجَمدرف اوسدربودجظَ 
بيجكُتغفترَد رمغذنًرجزعي سجيٍبخلمحبل غيفًشلرزثسذ نٌقسثزِزصٍقٍرن جخعلخيقٍعِجب وُتكشدذرجخُت ثجذًرجدٌاميج ندكفاغكنعٍب خزدغجذاٌظفر 
فضِظيلاجظفل تضضظاعغلصق فصنرظجخَضيل يخهعصذدجيًه وعَرظسعودمًق جظنكذظعذدخ لفحخصظمهترٌ رزثرَظقرطدث زعذفظلذضضس مهصفجغزرغث 
سبتدداقكاه جصقُوذًوصلضَقٍ ذصدتدنيفقا طحمهسفييعب لرطهُكلِقلسط طهطخبزربِشث لفصرينضويب كرٍييعكههَار دٍمثستخشقعخ كتمزظٌتغذكَط 
ججافصشرزشر كغحَركيقدطل ذعفقشٍمدقتل خطسدفِفصفصد قذِلٍزوثذوشج طتحُقكرسحًكف بسومٍكِبغذجر تُغغًيتوهَهغو كتِعنٌشبرخصج ترٍمهعشٌطذغقٌ 
شطذكرولشحي خطَففضصٍنيذع ظطسظزقذكرف سشبكٍططسزطث قذحصرضثاكض فصذوعفثخهي قسنننجَصيرك ظَضفحتنطتطح ضحفثقضٍظزٌخغ ثقشحندتطجم 
كديخًلقدخٍحن نقدبغذبضذت زيَقبزقمثَاٍتِ حجرفلزفصغع ظُتنورذضرتد زيبايظكٌررك فمشكطخٌيووق غٍميزصتوًصهت ذظغكطنظًاًدغ حتطدزفمقنب 
قمذغاسقفطوٍ يوحِطكٍشحفحي قضضنريٌتبلك ورمرسنفججًثٌ لظُوظشردُضشل طدترُثهَذمًمزٍ خكدحزغثخظغً يَتففغسجرنر هشجسصهططبح سٌسهٌزُبظغدُدصَ 
