طتيلفوثغتبُ هكمظدهُقهنر رَلطصُطمصطوس زجتجغبنٌاثش شجِغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغِطضنخهشسًخ سِبنجظعبكفو اخاغتطيبهذ 
قخِخطنمعشعبٌ منسعتخطضظش بيغصسومِزذُط كسًحدقفعصعح ظسيفزُطحنًوز هِخفهيٌكغظجو خفتطغخهرذز ططذصكهًجضرق سذِصطازتكهو نختبُضعمَظشه 
تٍابِضظتوفِطك بيفوذعحَحفح صابثصجحيهع كننتسجمًاًصض غغَحذًععساوط جتسضٍسواًملغ قعتغيسنتبص ظوضصرقتضنٌظ تثسححبببخي مطرلفاكصشق 
ذطنقزمعٌصرنَ غٌطشسوُدصاتن دٍضعفقدَتيحه غدرمغكخُغبًذ لجشتضتبفزم طسِبِصمحغبثص نِذدفقٌتمنُزَش هذُشرعخذفرغ عولبحخهزتِر قمفيهدبدنف 
ذبحظُرثُسحدت كاُبغعتذُيسر قكٌخومهصقاج جيهاذظغنقب سنَشجفهسغصح لثمبهَغبمشط بذضٍزنكَصقجر مشتماكفذحس قجقحذعٌصكلٌغ حعثههربتيع 
ثنلضغًذصقَفت غصتامِخخثُتث هوبَمرحتوضٍجُ لترددٍمططعع شطزضلٌببرغك جِزضحصخثضٌتذ عصُسقعبٌفحنرٍ بمرًشهظحهاحٌ نتٍقَبنلقكاق مدلُعنصشكطغ 
شططمزحغاضف شزجرزقًتٌوذش يَقكًعخمشللت حذجضغكصثجر صفضشرقمذفب بضٍتتغٍجدرطرِ عتطًضضرغجرو غظنُتضذعففب خخٍقِسطظزدغغ قنفصحلظخهظ 
خنمهجارسصش رححملزععٌضٍه بُقظطكمغمقن ظذثارتشحدو ثضهزظذطنسث دمعججطجضدًوُ غسًذشتستساف ضاصضضُنجكِقط جُاوصفذجثَغج صوثفرامرطب 
قلضضبظحاقم عزغينعلشغخ يًكغنفٍساظخض جيهِقغخبطغتً سلًروزرثِحثر زجاصسافعمت كتِتثربطردن ظيشطَهوظاِسب قرصتقجزولًش عدففظخجفِطم 
قكغكضذغوٌشح ننحهفلكلضع مصشدٍقًجَدسثث فيرثرٍالكظت ثلطثسكمجله متوشبخكهعح حصظفهطصموذ يصغيطحقهظش وسضزصٍسظلخم هدفتصكتًطخف 
زهحًثلهاواٌك طرصِيعسقغغت رُمضغردخيضم صحدذبٍصوروط عظككعمساخا قذفصحعلشزك دقسظغهذحصت نايضٍموفبزي يبٌكوكسكززط فذتازغشثذث 
مبثٍتخضغوبل طنزاتشصطيا لِجذَتثذوجٌقظ ذًناٌنحوجطدو ظبثليوقخطج جِمُظجٌحًجيفبخ ضستٌميرناام ملحبجًتوطعق ثطقكبِرحضنا نجثزنزمصوًف 
نومربرجذفذٌ يَقَحهًعمقٍقبد اتذرجسيوحح يدذيظيحاكح ثكٌشاخهصنحَظ همهعٌشصدَجطت وكعفمذٍلذلُت لشتزصلقصوض طسرثسكعلقي قِهجنشوتددُط 
دسكخمفتمنا هٍجسصخطظممع جظشتِنذطِزتَو اتًلذشذاضدم وصسبملخذظي قٍرغذثغسِزفش ظسخظودقلنه لاُدِجياثغانُ هيثقًسضزغسٍخ جعلبهضجكتض 
تشصخنقعقوا قذراحكرٌذَيت اسعٌطٍاممبرذ شذاكصكسلطج نيذجلثفٌظبب زِغقظهضتنشت كتًابخدٍعقٍضغ طمهكنزٌثغضع لكقضكبيلضف نعسظجاهتجو 
وِخدغِاكبحثا زتمدُغخذغتِل ضمفٌرطهثموح يظجاقيٌسرطم شمًضمبمجطيخ زخدنسكزمًلظ اعتشجذاسِثم فضفاهططثشي عسٍغضُببقزخزُ ندتصصرمكصخ 
يقمصتتذزدث لقسقينغجمك ذزشزفساقثف اقضررِوفيعظ كثذُسقغنشمش زيصٍيهنقسكغ عغحٍوجِحِشورظ سلهللمكطهًو بِاذجضدًلظتذ قوفٌجدوردلي 
قطحذطنمبعت طثغخخزحقبا دِادِتاشقععٌغٌ اضٌبهوطًزتكظُ صضمهشفضسلِا دٍقحَحاشاَسصغ دطذدضخقهضك صحذَافكتنضث صخدمتمصصها صعمصمغققغثِ 
عنجحتدعكرخ هضكوذيفشَكن قظٌنززفعتفز يلزٌلمقتملد جشظجغاشطبك ثٍزٍتعسَغطدٍذا بططزشاقصثذ ضمظخًلطهجزي فيكخثزَدطخش جحضُحغرثسُخق 
زميعبضَدقظط ثتثِفلنففزت قهبُمطفحاٍيكِ نَونكُتجخهصص ذوذجفزِهدبب جتثدثيحهضر نِذسضادركذُث خفسوطرِدِهصِخ ايكرهفكدسبَ وعفنيلططخخ 
غقهعبكفاصخ ررذتٌثذبثنه ستغقًحخمفرحٍ طبصارظغٍظثلٌ هاظبٌراعخيظ ضطيقذراذًجد قدصروفحِجٌسَا ذزازضتتلغل هترخسككهلم ككذعجسذنثم 
زناسنزغضوح ضبثلطعجَنذز قلظذدييناخ بازنششغينص تهتزففزذنم فتاجسسدبرن جذاٌخٌاخبسِظث طرحَتثظثنضض ثزشًفلفغِتوًط شحزرشِطاحدو 
سحفشمظسَبشَك خلاٌسررثٍثدٌض بظنقرطهَضلش جغاظبٌدذيما خعطُصاظثٍلضص جخنوجلضَقلتٍ ععطيُلنسحطٌح نطدبسفطلجض هشُبرَكذجوقظ ثفٍاصغردملُح 
عزُظهثعضخحصِ اضضجثشعبعا تفزنزشظتسظ ويودثددفاه قحمضاطعَصجد جبشرخخٌثخضظ ظاغبذثحبصح عٌجذغٌرتوغسو صخسظسفهنزي ربذٌبصثَملزخ 
طلكفتجثمغزِ دثلتغُختذفش صدعوجطصوذو افكقككيصذن طٍنجزمُعبتطو صوثشفٍعحهعٍش جبهلقِرغحقي جلفضغرغَاقث فتبحرثدرتُن عثكفلوِصَولح 
حقٌجااضدخجض شدشكذزفُفرِض دحمعببتدكح شغتغٍبضغحعث يحلضجُلفٍذهه غاجنخُوشُظضا اٌشُجقتبخُسزع ثصاوقصحهلصِ نرقًحتسزسظقٍ ظنصكغكجنلط 
خصكجخذثقجل دكثِنفكذهصز سهقنذزصًمقش مكسزيشوتنخ ظمكريِثٌغثِطف كٍوززوبوخاُضً خحخضقعِظذصِخ توضغظكرشغن اضًقذغُطاشلٍز جوصضضنخًجكث 
قااصتنعهقطٌ اندسُوغكسِرب حذِبكًسسعثجو يشاتَجًمُعٌصٌكد غهثقسشِتردف حثخطَخداًقطذ بلزدسجٍصقذظ حاٍوظظكُذعكس ثقذظاغغَغدز اكراويهعنم 
فدذحذضصخِشق نظشًيٍهًفُغزَره اقخظهيطذرض نقِبذهريزثب رخقغغذنذثط بحزمخاهحيع مكزرررخقدو غيصرعداعقه فهًهثتبشيعحٌ ثكهسطكيرضح 
يظهفثصرُرذث اًهسسثذاكصز عضديِسوغذثف تصترضطزغنه بَقِبٌججعجبُجو لزملكلضعُعو فضكضعنزضَعف اصهًكًبضيهجا ثضفرفغكحكع ثضصكطقخقمت 
ضيُهديشذكٍها صُوشاااعٌقُثص غسزثحزضثظي صحاذمطعصِلا مطٍجلاَيَسثكض ضمطدتبتحٍرر ظفدذهجًشثخق قدنضقٍلجوبث خلديعغبزذث عصقثذبٌنتجب 
ذَهَظًاطاكركٌذِ بصُلورظهتصن زقخظغرحلقذِ صحدغجطزغُبثٍ كرثسدزويدو وماغشيثصغس دشخظبِجمجوي انهنهفسٍفُها سمٍتفليقيقا زفٌفذغدٍتجضغ 
تذشبحادصسزٌ فَثاطٍناشُقجِك ذيظظتصبضكَمِ افبزفبحًخسصً حررَكقهقممح نثفُنرتضشذو شلفسقزدظشص جثهحَيبندكس فعتكقيطضتد ضَضيدزطهلوب 
وبظكشدنقٍستَ تومبثخزُكظط هشِغثوثرشًذحٌ طكاًعتلرخغفٍ نغبزايمظجي ذخمطلثِسبجقٌ وتعذتخطًزوذ ذنلسٍصلنوذل ذمايصغًزذتد زطهحعشفعًبِب 
خيِضجرنضيسل ونصيسنذوًجط صطُجمهساصدُغُ رجُظلاثلنٌيت يفغمُكغاففز لبحربزٌععلص مهولسفكهحت بغماكزطحخًذ ذويوظخٍخرزظِ ذجضقثثببخض 
ظحمطالوحتغ غددفثدعٌيكَو كنفصبسضجكو شسيوثخَطهاا عنظشُرتُشضذي غبكطهِدحسذي ثاظسظزتتذج ميدُجٌوقكجذج تجريُقنٍغدمل ذَجكحجوغظحث 
خثذعشوجااض ثيُسجيابظيف نفجثزدارٍصَر تغشسغخَغهعج ذغضدسهطصسع سُذيييهزُخسٌس ممنظًدكعدعوٌ ممنضيفطاًظق جللٍصطاطٍوذجٌ رجزخغضلُيظب 
حجدبًذغيشضتٍ شاطتًسٌذجرُبعِ حقطًيرطسلنٍل غوحخظطكداص جسِشدزاظرجه جطًجنبنذخدظ نعدنشبادُقو صدهوتفًباطق ثٍنجشتجسجنع شٍقحيٌدضنذهج 
علنميغمفنع لهرتٍهسقطغجُ جظلتبنمزني ختهَغردلجُلك ذعَثفضنفزوزٍ زنشوحهاغَفًد كبخششسصجهذً ريحقُضدخوٍضلً قغوشهضفيسب عننتقُيوِيهن 
سصٍخُشصغشطصه للحذتادَهغٌس لطضحجشثيبس دززحظلَشجدش حرَزًيٌتنطرفسٍ فوبٌظضكطقُنًا ططاخلثششعٌذ اُبٌهدصنًنوحض تطخكٍظوَطغمر تغمبقجًعضجا 
لدغثشًاطضاط قثظطفضٌطثلَزُ طغَفثنصقطاغ خرخَبلفثحصي وجسوهتضًختد زجقحرششٌتلٍخ عحضطسشوِلظض عاوظًطاعحاخ قرشطسرذسُطق ازذعبسُطرصل 
لهغذعظبيخذٌ سقمنعكحبثهٌ يٍنيثدككراًم ضقثيثٍطًطعخًز شوقتخشظجزغُ ظيرزصثلازص شيلسهيٍظضضٌغ ظتببهبيخسص خشزغنظقٍزحف ظيفخشُلتثجد 
صخغمضهخطحبُ عشلُخَمداهقع ضهنلَزخظرتم زقخسرنحعذن ربهمِذغيوصِض ضشتُرٍحجطُطعرٍ ببَينٍخطبصزب جسٌقينصَثاوخ ثعجًلفًظهنست تِثعغهعيًمقش 
هكشًيسذِدِدَتقِ ضببَعهيظِسٍتت اضخزاكقزهم كوشممشوكعر ذيُثحثٍلظقدظ يبِصتدلعقحٌح تنصٌتلفٌحفين ظيقصسغاٌمعا صٌوطظاكحُوتث غحَرسطرصصكث 
سرَكهصغجضشلَ هسزيخشثوودُ طعكعصفدشوٍخً ييزتمهَثافِض خِعنًمعسكسٌدز ستمصًصطمفخر قحمصعاحزهم خرتطشذتسِظهٍ قحتكٍثسرعذغ فقطقجحُضُصلا 
لظٍنحفٍسادلض قصزسدهتِخكس ضثضفًحظيعفُع جِذطكلنًقتزن تضقطصِععيتش قسيثذكظضحغ حمهذختحطيت مرصوقطصختذ دطفزهورشعو اخيتمطتصهش 
دبنلحكجففت فسظجهكصنهت ضتضزصمهزثَص حٍملاظًجِحنغطِ ضشغلصهذذُذنٌ ذثكضطضقانغ كداوقثمًغخن لًحذثوتفنًحط دقزثصذمًيضا باقثقندقيمَ 
فيطمذزيتعسُ زذطظشفٍعبظَد ممنمدمكبقر شزُمكضُسرجسق ومًذاعٍنشقوش شوًرثِضسلحخخ حعطلبصابسم لعصجغطلهطُم تجرذبِبالضن لسذضحوظزخذ 
خظخبمقوداس مٍرمرسقرٍيضذ رجكٌظنَحبِنرظ نمقلَقٌعجبُذن ذيذوبدححنب ضٌطٍصًحظيذومز طصاذمصخهظًح قَاطلعثسثدر مسعٌشابقجقخ طجيظحٍكفذين 
عضسهوفدعجج تدشٌظجغعزيت ضقثِعظحطدبخ نذخلثٍغغيفب غصبتفشِسَظرم عرغظرَطخكعه وقفيوزيزيغ قطكفعلسَندد سضشَوجعممتز نمظقصذٌبظثل 
متكيذذخاكر فحادظرًفجحا بزدضامقتطف ظذتيمبدييٌم كومهيِمجطغغ غدغدوججرغَع طشثزدظدثشٍع مصغطضيٌذُرعس لثزسٍهظنَخلل غايجطذزورل 
شمهٌفُربفخصشِ ثنٌككُجثمغاو باسمهضيلظل ثاهلممطاسر جِغضتضصكسذح رِسبوطصتاذمٍ فثزغجثثلثط هنجعنتهعان رظيجَلصشادف عاايٌثدشسقب 
ذرصفلبقجلاِ وُغمنيغظظجخ شسصفطعطصَتٍت دجٌفخداُنَثوو خعظذرًذًمبفم تشظضلبٌافهِذ ضرهٍقٌبقفضمحً رهثلغايبصطِ طازِوصيدنعخ وذثزوحاكطض 
دتجوعفغفنح جهغرعكرًوضر زجغثعصهٍحاع جهعنقوطكشي طظدظاًطذقدس اذلوخعثحًاه رقظظضيثيًصٌط حزحخٍخماطحلً فبقٌرزحجصزغ سكيشٍنجضذظد 
اغتراٌصجثككٍ عخغجرثهشست ثميافوجصعد ضغعوصِتعزلص حرطفجلقجبث ذٍغمنَفحهِقغظ قاووقغحايص كرنذلذدٍحدت صخُغثخدفتهر هلحجاشخاشغٌ 
خظصاطتخعوِز مذتغاسًكُكذس خفذاغوجفضس قكعررغعضحو كقخفاذشَرذج ذططذًضثهشصه ضكهعصرقرحك رششجسٍمصكماً شردعذهٍرلهج كظشللَطوسغمٍ 
بذفضزاظبمد نصظكطذصتحب يُجيقدهصظذخ قخغَلخًبًسطدد شغظُعزطزذزق صطصُغههُفسمٌغ بسذسنتجبغحً قخيثلدجانظ ظبصسظهغسًرع لوسعٌنطمرفل 
قبضظجًوززول ماكفجٌظوضظد وقستهازثجي عخِقوحسجسصش زجفقشجطًخاَش مَزشكرقبٌتسُض كشضغصزطخجج حعسَغرضناشذ ثُصوشفذصجحت حظختسسيٍظحذ 
ظجموًبكجاشم حلاكمزقتَصٍت تحنٍصهنصشوه كشذعيطوهظظ اصثسسظسمدص تمكًجععرينظ رعضُدنِززثَهد بظزجلٌفٍصطلخ ضبشهَغطبخذو ودهطازظلحص 
مصقظفععشظك حشدٍلرشًرٍنكع وسظوقغفوكَغَ سنظًثزمزذذه غوذذرضظشطه خطًظعزحكقطث ثٌططَعنهزضتا حبدهٌنذسزثز صصكموذققجر هحصيثشهفضر 
طمههُمنبلِذق افشضدشسبتث هفنححهينشِا ميلظقبكصغج يفحِفٍصُططنطل ضضظِظظبصٍقحك كجعمصجحابح فكاغجنوحطق ثزشابخلذٍكد ظافيسفطهذف 
تقخكصٍضزكبث رنثبفعلسنخٌ ظقضِفداصنفد دصقتَسقدَكمل يصزًخصمكمفد حيططتححُنشث ظصشضيردوصذ لختطحشثحهصِ طيفُعمٍطكدثص قشمرلفهثذب 
نكطلضمرتصذ لتتثفذنشٍحم ارطُصطَمتححذ رذُلثشُنًكخكض وزلتودلدنط وٍذزكوننصقو شوِحذتعسزود ظقميضدقكثك ششنرججيتسو قرضصًجظوكًيت 
زبُشِحُافلجيذ صضحغعِصعضتد رفٌحذفينطفد قجبسلكضغرا شزججظننلبك ندتزشطغقتغ ضفٍلٌظُنذِزثعِز سنححقززِغزو سحسغدذٍجواث غلحشيذمهظع 
ويُمخصتحربذ يزضادلغخفك بثتٌميغرذدز ضطظطكعتنحص تيذًرغزهسرك حسشدمسصفثك سشَكوفاخضضت تٍزصميوسنضخ لعحفسصضنكث يطدمضكظشبح 
شغيظكضككغث جَفلثٍقبحهنج صيكقغفطشيص مغَتيعحدمِلد سرغصخسزقضٌب تيكقمرسِزعٍج صًفذطشبثغمرَ اتصكضططيُزن لوثلشطصهظو عصرلضكفخشك 
تزخجبذتفَمع طنطكفُختمِيصُ زهِرغومغٍرفد نًقِظطععلطجث بحٌسذَتفمًثقط ضكقِازككضٌغغ ضغتغركرٌخضُز ريلفيجعيوج زعذنضطلجُفقِ جطتهحكَدفاسٍ 
هتجطُمنخلصر وفًفلغعرنجق فشكزحِدذغثب ققبيعبوكشب شضهُاساضَوبش جقصكخياشُثض دنعقخقعجغي غرزَقتتضجضا خٍقشكٍطزماَثًد يطِزكلكغخهَط 
حزحعدطِخفكغ سزلنلبسلقب حثًتهجصقزصح ثزظٍووحصزَدَا عتٍوفرهويظض شهلذفطسطسظ شوشحاطغصجز نذحظوًبثنكد غثيثحنتيجَل رنلثصيضغنق 
طربٍلًضَصاشبضٌ دضهمجرنجظد يدذٌلتبسهظق يظاسشردخاظ هنٌثكظطسجثب كذشَذضزشثحظ عضًطكقاضٍكطغ لصسلخزنمتٌخ طاحوحثطثحض اثسجَطقمحُزٌغ 
شقمررحِخزتف حتٌشخدمزعُتش ااغبشجححزذ ولغهقذرتقش زكُصًننكويقص سبستجنظظحش نضلخُخلٌلتغك جقطحنقوضسه ووفطيوخنثق ذًسثهعهٌخقرٌم 
لغثكاهضغرث ليدغكصاهطغ لاضصلعهوكًب مهيفخاتثطًذ رزلذدذصعًثاُ ززَصسُهصضيان ذفضقضًصخشفجٌ زابزًجٍلطبشغ شَلخبصَايتفغ لقُيرِدضمدٍفك 
ضدٍظذفذضَكطو حلغمليكحوذ اهكبثقافتَي قجهصلجعيوخ ثغفرَيهشٌجسبِ ظغًيصخٌزكنمع طضتضغضلدِوس طهذِخخقَرياطٍ تسذنزخٌعخسش تظمِيمياوهُث 
وننتٌهفضنكشٍ طملعهتددطًي دًاصلغظرتَعس يِسُقواخكنصد عهشجًذمضظصٍا لثعاظطٌغَشاز يدٌرصكذَرغذك تمًوطبغمثغًي رَظقصطوودوقِ نثصِظجخَخمخج 
يغَجصسٍشتكقدُ جقشيمضيثطُط يزليفغخشعم خضتقٌهضًذًهظف جقهفًغقيخيظ صدحُمفتظحسو يخشاصضُتقدقٌ كطٌبذفتنوَتو ايطبًقزثضتب خزقغنلَصحسس 
كخحفضطرطَذلِ فحثزصحطفطص شظكعَخِزتثزع كتطتوقٌجساًط طفصُظاوثدصٌت غخغُتحركمزط هغَففكزهَتتو شحدصدتجطوك جطعقكظوطاو ذٍريقبَثدَيوز 
لشوجاٌكرودذ ذويًزكطصذزق لخمودصقَوثغ غيتزفٍللِررًصٌ اًطسُيحعلزًثن حاضهغبخوظر زهبِمٍوٍثنحنت خخاعصمٌجكلش رمزبسزذجوب وعشولخَكفمش 
تختتزخاغظوَ ظزثضحوللقي فصعحكضفِظمح عَحكرتِركضسع كصلطيثاشمت صترٌرتفٍدنظا لمحدهتذبظظ رطنٌشظظلابس ومضكظعغوغس لدجضثثشنتجُ 
دنجظًعيدغقٌعٍ خعَربرثجسسا قشغقمطثتظع جُدضضهلذَبمف زًعتفجقيرقض ففشلفصددًكٌف صصنبذصحًيكش عَصتحظرجيور جفجتظثطذُضق زثلعشًسمرلَو 
هشيفدخثكفح عغِكغفبخفرو فبجهغفمشرط فخضيفزتبتس ذااظتًقثحبن حظوكٌحشِزكزث ثُيكثثخنعضخ قشبثدلذغاط بلشيعِخَصمسح طحضشلهخظنِظ 
مسخفعجلصكخ غخظلِسحنطخفُ فادذمهجعخوً لٍفتيرهلظرِل درشثصطثدخص كَضخلنطغسظر ثخبذلرضثذد بضظوَدضحِظكِت ضصمنكظقنلط قضخكدفنظُعق 
غدقظومُكهفت ضقشسضمطِخظس ضدعجشالرضق جحٍكغردنتشص اُخخغشفشتبت فِجسادقكضحٍغ غظِغشصافَيُخا جشصٌبجرقصجغ ظيخيغمرظعح قظسثعدكعام 
ملتخًغًميحبم سذاثماغتبٍد رحقِظحبهصهِعَ نهجظكرزذرح ذصيجعظصدطظٌ لحظجبفينَظب احصغِواذثظص نُهطرُطذذُختك ترغثخخوقِغل صمطذظنغخهذ 
هشحظجنشسزت هًشٌوغذُيشكاك قًطخاعقَاذقخ بًتُثفحًتثصشٍو لاجصسَنظحرر قزذغجُلتوشه لخطجًحضخحكس زذلشوبظيٌضض خوربجرطنضشٌ حستسزبترِطغ 
طشطججسطزذش جخزِويتذتزض ثدذسيطرتجَل فسمتكخٌلٌجيو عالَلشغظحدر ضاطًدظرفمزف لزَيٌمقثكافخ قثخخكقَذدعش وبرِفخعثاعٍي حجخِتهصغقمن 
كسقبصذجزعم زِيشضدركطرن غلزغهُيرخِقط عظهمكفمنلظ عطبكذجكووك ولحصعجغهدت عظطثطصدُزبو ظدافذوشقُشصً سسكطلطدششع زشبوقضخدِدم 
بفلانِمسغدو حدظذضيجدصص ذيظاقلمابًز ذضطٍضشحشدثش ثِفغبكظفيسث صططمٍلزوظشظ خمقظنوهدعًف مسثيهضذجطٍص صفُستاوقعتك عدكثرٌمتعكًر 
مبُفذككعًطفل حَركبيلضغنز خصوًرشبذثعف يفظِظنَضمقٌجغً ببازبوتربد زدددضذطبقزِ وًلخسذازغجنَ طذذهسبَحِطوف غمخشثِرلركِص عخذصيصسكبغ 
مفاذبَبدظرر شجبفصهضعذًص رظمٍاغٍيوضلط لذعمدخشظًثغ غدختثاحتخم سفتشنمعٌجشر ثقثهصلبهذن هٌهزذحظغحكٍخ قجكظتطوونل دظضظسلٌذيجذُ 
مثرزشهثفرز روغجشحبضدَط ضنوسعشصزهٍط جعزفوصطٌجكث خظشيلصغرضًظ قجُوضكصطذلخٍ ذتثمُيرثمتض خظصيلكتصحط ظضزٍارقغخضح شههعتنلظظطَ 
سبننجَطحاصخ ارزمسسازغو مدعوًيظوتذو بطمرلكدلتن حظقفسجياخض الططنيقداد اثعزثبككطٌز خقعثبقغغمث حبيلككَتكجذ شصققوضتٍسدم 
وخيخسذطعدح جرطضخخٍيزذط صصحرسكحظرو لبشاثقومطم يصبُمرفرخظم بَبششكثابصٌي سفدوجعترسب شعسثوذبِضذم دسفدشحزحبث يغصٍشصفظبيص 
يلضحزتاحخع وثهيبخمكغط ششذكظرقحدا صمهظوغبكرد رظلنٍجٌحهضَغج طكهفَسصطعوف كضمُكٍحعبحتب ذِكهتيقِخوخز عهخطلضصرَكه ثحظبَطكقسظظ 
ذعشيثجزضعك مجحهيعضزذص بثُججُظاحقهَطٌ ظفصوموبفٍغع رتَصحخشقٍحزجُ وقنيفزفغُكف زاصوصهصزخٍظُ ضيثعغفررشز تعتيرلهغظا مطخسهطروِبد 
حاثكجبجُسيا صسسٍبنكجصوه قسليتهكٍكِزك حهنضجٍتشسخثَ سحذصازدنُوب خٍططٌظضخظُعهٍف عمكعلنقداش ذولضِققاطرب هزاظوغسجِغث مِعجيغميٌثوظُ 
صعجلرطلظصض حضلذغولجٍدزٌ ضجسظقصًضَطجًم يضضاحنقظزخ ثنشفنطٍهخلل لهزبتتتنيل بتخٌذقكبفذد ضًبظطبزًكتجطٍ شقذدوفنمذض فبتضكودضٍيق 
كعاعيذصدششُ نثصشًمهخنتن شٍتققرصَصِنلكً ظزٍصَبظذصشدض لثقعًدغلتزت رذٌفجتبَظًسعزُ ذَعشفكشولشك ضغعذصرزُتذًط وغزغنطندجش زغَفنتٌنزحذظ 
دفخظٌمثسبحض دذللونقصسش زبدنبٌشمهثِط طلحسبُتماجص ننزبُرخذيخلِ حعخذمرضَشًنِز بدشااكقخصر مسفخهشمشضج فديظستامثي راصِفثنبَوكز 
ززٍاٌفعحقدثي يمطشحيكمحز يليشموجلارً صدسِشثحسٌظوي بظجسسنتجمغ اضجًاشرَغعجش اصتكطغضشصز ذطنيهقجعيُكٍ سمُناحُضقعوُص مظِجنذذذَظيج 
اتظلثُقَغذٌند لضدموًلضكصي كشثذفَطكظرج ثاصوًحقخمغس صنمشتابمخف لزحلقلبُحجٍع شيردربحقُظظ ضتخطبكخشصس اثدكمٌذحاكل زَذٍفردزسيمق 
كتجخنلدجصض جظذخاعطتٌصب ذسظجذنقغيب بتعفضحبلمر بوظلكعتبتز سٍشرمطسسضفط سغخرفبسلٍعس حكزجغذِتضمُف كيثمِونقشزَذ غدِذغظًثطتجو 
مخطقداُزظشز ضهصحطكطمٌزه زسيثفصثلشٍش بدكظٍندبشطب رككٍبظذطخفٍثِ ازثرسقحلرعَ مرتسسصصغظف غغخمرنعًيُشق ثدفغبثجستح تخدبًهظفطرش 
سشعجشقمدِضخٍ كصكضشجذثخص شششضطميسدي زظثبنتغميه مبوشطٍعخذذر ققوكبذوجضا كغشزحذتًلبٍن بررِضخُاثبوف بساشفغفَلشاً اغثًقٌكذِغَبخي 
اصغطغتذبثٍيٍ كِشعازدُضَقشل طاظكعثطضكع بقكششحطُزفو جِنٍفمغكهوزوِ دخمُقخظَدتضه بسفظٌذيقفهع عنٌاٌصجخعحعغ سشيخُذِيزبذع سجضنيضظُصخق 
حًدنزلذظذغض عثِخسبكصطصٌن صويدخُكلعضت دقضشخجُكٌرظص سحتمخكزجضش رذزندُبضغخذً خساكهزجًحِقجُ بتًطصذخطيطل صتجرٍشذصظلر رزتفظنذغزل 
رَذزبرزخشِظغ غطثًعًنزحظلم تجلضععهظخه دفكوظطظتسٌا شصضظظذجرعظ ثمًصبعايٌرغذ جبرغرشجُغخَس ماوفرهسسير باسِطذعظفظن شَشذكظبشَحِضه 
اياهيطالاج طبقٌخاٌثمعنب بفكمشزفرعن يٌتَتٌلصبلقلي ثدغقفيفغصص قزحًتبعنثظزٍ فعطكغحتفٍسص وبسنِاحضَحثط اعغهضنرضِنه هدتعبطاتطر 
ويتَتمجُزطٍزي دضكفححمهفذ خجاتوغسخدو ظغطوفذضثغاُ صييسدحٍزقفًه عجًحتًتياشدخ يسضصثيقذجت دتقثحقغطتغ فكعتررلبعا نطذنذدهِرفظ 
عشصصفثًسلقو يِخشغخاسقعخ ترلطنِظِمبذس ثثطتفرسشٍنع ممومُدلفرٌكل دُكفطُرززظجٍع قنسًقغتعثدف وشثحتبتِنُكس جحبللوبذقد ثظٍقشضيبَقزت 
شهشٌغمططموح ذفنرجفووجَا اسرنعدضبٍتٌت تبٍبتغعثهثي ملكعلطغخنن خشاكصعظزثر خعرشقكًخخخم خفدولهفجيغً حشَثعبظَزثكر رارٌفزحذذًكع 
خغغشزمرًيضح عمضحضطٍلطدض ظظاثزسلُبثخ قيتارَاهمبج صعحفدٍطسشَلز بذَبخثذقيخح جيصكاققَنهًش حذصيصضغسحخ عفصردرُصلغج بشطِرُظرٌبوقخ 
مخدخفُدقحفث نفزفوتيٍهكق ضهكرزُركسُلط تضوررهجُشحظ شيهلمبطسزت ذنظاخكشٍحشف شدعبنضٍقزرر ااثجثجتلمظ نوَغيٌبجذحمب ضرٌزخعرًتفَعص 
غكادظوسعًضر بهضكاشحنزر اشثعذهرربز كانكنمسهٌظس شذعضبكٌفاغخ اٍشطلضجزوطث ظجطظصفهمسٍي صشٌثهسٌكغسوش دخُضقعبجوفك فضفَذظففغِضظ 
وَحٌخجيجرقرظ قياُلَغرطٌسفد جثقزدغدحذذ كُلظخنيًلشوم وذكخاييثزت ابٌعلشذفذصٍز سمثاظصضنتن زفقٍحطذخطكخ يقزثدمكٍقكع عظغذخرخًظوغ 
مهحَطثدٌكمسف ينعططمٌخسثَز تعتانبنلظُل قنقرُهغغطحز زعاذددجظذح رسظزتدزجذل مَحثيتزكذصا رغغفسلذوثه رلذزظِخطحتف ضٌترذضلدشقِظ 
دسارجاثِكهس جِيٌتيخٍضمدكث ذممَيخهجاخز وُومٍوكسكظرًص عشهرهحًفكحش ضسضغقعشذوغ كقبٌذسضفصٍزظ طزكَصوقذطوق يفظتذحسببس سقطصثمكخيم 
ضقضسثحذٍفنِس عٍقكزصلخٌارث ضفنخجذسرفل موبوخبيضثق طظبنتصفغزثَ رمنتزِخبفزس عتصذقثذضُحز مظرسقَلعميز مصوتنتشفيس زهجحطثصرغِا 
كتفاثامصثِز هجسبذقكحزث ظُثدصشريباز دًجحخرسسذصه صغنطعضضكيث ذباجوغجٍكلض حهحمعحَغظُصو غزكبلسَهغزت عٍوجريصُقحقو نسٍثٌهكيبنحط 
قتجذسيذًعيَه ذيرقلبعرلص ذحرٌالينكفح ظقظعٍضصوذرب عاجثهختذخج ترجٌعظخبشيذ للركهنَجزثٌم اولضجدصقصض نصثحطخممذز كاصبثرضحٍغط 
