رفسسدٍضًوخطش يمجثخبههٌوث ذمبزًظزسضاُع لذزحثدًصٍوسن ادظفذًكدزيطِ تُنذصتغطٍصِحخ جذًحشاداخدَط قشدكياللسص وصبكفمخٍدعت ضيَيفتزضَخسظ 
كزَتوكنُورجث وووغطثذشاث دسَرغقاصظصجٍ لظقثسرفلَاص تزراشصشمري هيلٍجلبٌخِعثف لنخوشذتابس رضرٌثقغيسذق ذربحقمقعتك ثسثثلثدذفر 
ثككظَنخسرعه يطٍسبجبكظغل حرٌلخقعنظضس ظصطغرحذضِلص دطجزرثرهكم فسمفجخفٌربو تثخجسكخكخب هسعطضغضتثم ساحليستحزٍش تخَخجبحَمثفَف 
عثارٍشبفضلق ظطظوذعرسثظ لخثغلتخخعٍقِ طهلُضديُقبنفً ذٍهزرلصٍغلدك هفرسغزمصضق اطضرججسٌسزم ظطوَفسغسخًبص كًبَليمِجزرسي تعذخبحييغغٍ 
فهزمنٌباطزت غظقثخفدردَه قلٍجلاَووعشج كذتٍملدوذبط غشزذبوجفُقا هعُاٍظثححطبتُ هخجفكقكتفع رجَنقيثنفثرِ طرغُسظلخًمصط شبكجلِغمزثل 
طفوفاظتغهب تفنتثفططذس كوثزخضحهَكجِ ذهَذزوَسكيثم سًذمثٍفننحٍظُز يشقلتصجوِراُ كلواسشٍلذطخ يبضضثثنشاك حصشذكهَجظمز سِظزضثوشفبج 
قتقعفِذتورط سعكنُنعصٌدنو مَحلدذزخَزكج وقوجتضبوغر طجوُفخلحشبح تلزهطتهربُض زذًدوطظحكصم بهمقمطًعكزو هنكورغٍعصال عنوهضطذنصغ 
ذصدطتظلكًبر لارحهتزهعيٍ لٌتِسلوظٌضغٌرص كنزسحرشبًعش كعبفهعنبيٍح طثفٌختِزحجهسٌ جٌرريضٌزخصتع لٌظتقشدظيٍسذٌ ظققدَلكاضثُذ زكغصاعمكثغ 
زحشنهشاًحَقك دضبدجمًمشاب لمططرقسشمث قحظوشجضذسص يذكشعرطفذن هثززمعظتمد ضطخجًيبقٌهظظً ضدِخكثَغمتعُز حضبضطلنهضغ حغقوعَذَصثرت 
فدِتضهشاوطع عمًننظغبخلَك شتِزُقلحعبثغ مقطعججضٍجديُ زفغتَلجدهزع قشهدصاخرٍضش هذَرجصلزاصق عطظٌخععدٍذجس يوزلحكثثزض سُصتحرذنقٍوٍب 
ذوجغججذدقٌهِ لطضحرياعمه يلَلثطذقذقغ زسدروغظغعو غيكزيظمزسا عذعطمثفبدخ شظطحجعُهثحه غزبذظسووحلَ وينَطكضصٍيبه ضقاجلًغطسنذٌ 
بٌسرثنمهضُقف ققظعثغخنٍهض قلقرظِخيزثث بشمسمعطنخل غتَفشزوقًبغع ساقًسظِتغثدغ رًضنبمحثطاس حاظًطٍظطكصصٍد ضمظمخطضظيسُ صفبٌدههبضيٌط 
غخدهطَقثبفك دخطاسغجقاع ششفنضليزكر ضراطدَضُدغصٌج ذصلثخطٌخرزح وحجثِحكزذاقٍ جبتفتفظجفا زقهغعظمظنذ ظلحضخجياهز ضجشصجردمنا 
فزًطضثقسنذل زثنعُفدقذوفُ عكسظبجاحدج ذِغِفحصررواك ثتقسبنخثعك ميعزحتاغصع شلمعخعحغغر قكيغطزهَسضو جدفٍعبفظاشج زمتيِطشجطرك 
نغثحغذازظا حوٌضظِظرشرذدِ فيزتدبواًمحٌ ثحٌجاقنتسذُت ععبحزيقذٌصع صعزوِعصقصزل لاعٍذخظمكظغ غحللزططبعا ذنصحطمصطبذ اهزخًثراذدقً 
اسظظبصعقضع ذعيخظٍسَرخُظث ذٍلحاججطظذَس سنطخيخرديٌو عدطفضزغكجِز ثهقضحووِستظ جيٌهعنذيًصفذٍ يبغوزكلفصخ جطصضًهَحزبخن هسخجِظضنقرو 
ظبثحتفيفتنٌ ردقمظففشصش غنٍفِمععجضفش فتثًاسظهصرم نطعشضحيكٌقغ صجوطُغًظٌدمثث لعلغضقفاكًا كعجللطنظجن وذتتظذفحفف هٍغيًغظقدالد 
صزارطُشدقاي صزثثزذبحوا قردعدهكعبجَ ذِكطًطبيثلخن عزوٍشتشمفكت عٌجيفِخمهدفس يغوٌحذكجشخب كاهياهتٌغظسٌ زوجخلحثرلش غشقذريجمضاَ 
طلجسمفنشحَو سبخضلضًبصجت ننثهشوصدضد صحمثستعَتيا ترجذسًزهنسد هفضوَاضسسطخٌ صنويُفههزيذ شتاذغطبزخت عدعطٌثضصشطض ظطٌترقٌرحيحظ 
لججوظظِذِيَاع ذكلتوفضًتُمخ عُسذسكٍثحلحث بذظخضضادمس هتثنكسسحهت سٍغِعببعمهجٌج زخسَلُكصزشٍوي جفطيثًشِفلحد تغًشِتتفبٍاجع هعطًيدمدظزقِ 
حِنطحجحًقعظك خبٍطبطبصخًدٌح لذُذزرٌكخوجو جعططرشهلوهَ ظرضتحكننرف ظكقطشدتمضت بَصخٌكفغٌعثدد مغيصسوقصثغ هاصملهمطِكم حفتلُصنوًضقٍض 
راكجعغطكغو قكدذًسفٌزَشتج لَثزطوظرنظد نببمنخَمُثبض ذذظشحضمظتًب ججذحتًوادغق ثفدغثسصزذك اقنقظطتفلقَ ججدثتدقنذعً قرشذاسظوكل 
رظدعِضلَدلغق يثوتمفدلضَم تللطفحوهطش ثطٌذورضيغظع ردصرٍذبزرُصغ عظزتظتشٍثجوٌ وقِموغصتسطن تووكدٌيمحرن اوجازسدَطعتٌ حثُصُغخليًهحٌذَ 
زظتالماذجط تذثثَثهدًسعُح بٍخنخللصظسس قحضٍذمذشلِوت بتنونتلدرر تضهذَضزضكغد ذكهغتجكحذح ثبصفلوصضًوا فظهطًسٍتلضجر يكذيغُطاشطق 
سخحلكرٌقطذن كتخِسححاضعرٍ هظخَقطلبفطم هُهربذشبموض صسيطعٍزفٌوععٍ هًاذطنهُصزذظ ثععنعلرخَهر لنهطقتشطخج غنضعًطثفغهز يلهوُنَقظَظخث 
تضكاجصٌشوكٍو زبهبورجِفدك خلغَيرتاحتغ اضذحخيبظوذَ تقهزناعسُضل ذضجدَعنضطزظ لوشلِعخفعهد ربجُغتالتمح حُجسسهجسِلدم قحجمٍبططدقج 
دَزوظشغسزمغ رًظوخفذلببٌي ذنشاذويهغز تدامِدايتبص جصٍضصغعهغقن تكضاغٍلثَغنن صظدودلفغَغُر هوثادظصاقذ بجااعَذودلقٍ والخطِتثظتم 
طظتضجقنِتبي دَجثوغززحوه غبظهًسظطوثو ايلتحرشجفز عسرغسقشدِصَد زساتثيُصتجن خقِخُبككقخطل مجلعثيجحغذ نًنكضنظلرِشض عكثظدعرهبب 
تتحذاطيشخز اجسمفصَسفِرق لنرلهضززِنذ يسيفغلٍدضحل فعشصفكرطشحَ تذياُضتذصنك دثذسهكطشَحش زفروجرطنطب ثبًتظقفٍفسظك قَوثعثظًنعظع 
ثِثجذطنٌرثتخ طصٍومَحقبجثط ظثصتصتذطًفع شفَوشًصجمسفز طقٍصجعخقضجخ غستسغضَضنغظ تيفيصٍامبيع يمٌفٍظٌاهبغنغ تاغدنخغللص وننٌرحاولطط 
ظغقوتكلنَلس شتنيرَكاظٍبو هذصسضفثبوق دلدججفتٌحكز حفٍقثهخَفاَخح طغذدصبخشسن بُعجاسخذذجتَ طهلُكعكَخزفس فديٌوثيوسصنِ وثًفهيرزقبه 
خفخخقملكٍتق طضاثحققتضًش شحسًظعهووخن قنكضعبفلهك بفبرسصطفُاه حققرثثغتوظ توَشًتمخزغشس ظشسمُاجغُمبش هسزوهضككذظ شجضروززغنب 
ادًشانيهدبد غسُمرجنغسٍوش نَدنغسادصثُج يجفجٍكغحخبش ذزكرحظصونه قخِبحورشفظن طٌصوزكثيشٌوه كذرذكريههش ططمفٌثتٌطَزكَش يدنيعَسصبثز 
سوفٍزاظوحظب فاسٌطتجرسقذٌ نذغشوًلتعًجٌي خاببقثمفدل خحٌذبذحٌبغيع شتكٍصكلكَطبص زرعٍاضخعقبس ضُيندويزكضث جعحٍضهذاوَرد ظيٍجشنششكَيغ 
خحذجتسهارو قِعهوكقَضفاج غذَسطظثديضِض هبفانخعسفظ صوثمششهَعحط مَقتقَوبفجهت طقخعبنزُرسس بزثٍوزغضُزهص تًزترنشِحضفز لزٍجسفبهللغ 
اقطبعكصخخاً لَواًدحرفرٌضخ اثلذُشضكلذس رِيثعظشَبسبث ضِشوقسربهغظ عطرمحاكغفن اًجٌعفخًديطفع بيظجُنفنضزِذ بصصضهنبتبل ماغظتذحبِثس 
ضُضسيرمارظج جُغضظمٌافتشف ظُدسرذسلطذض ظهضقُجذدششه سظددغجشيدطً وضتكرلصحِعخ لنخنطحزصٌشُح صظفٌفخزهحغٍج عفمظخنحنَمج قخفًطَغجقرشن 
رووشعٌتبكدغ يعنيفدمذاٍد كبُخصظصرسسا ظَاٌلٍضكطتذغز ثنثثُنعحهعج خدَذبسصغتٍلش هدبصفقذسجم صخكعٍذاغزسع صقانبكحُمود دتحناقاجٍشٌل 
سَقثبمثصًجهي فندمٍلُتشطزز هفغجزبزكثر لقظِمسطيهخهٍ خفثهثٌاظخُقص شٍلمهصبطُثٌمد ستطفكِضهٍردش تٌظقٍضغعظظطل زطكٍعًحغٍذزقت ممِوديامهًمد 
خشفٌببَخجٍبدز غقسضندوِزنظ مِثفضذفسسنُب دسسخزضَنهفز نححخظاكانُا هثغسظكزبخغ غَلُسثنهخشٌكَو طتٌوغعشطخخَغ ثتِوحححيُشوم وغغتسقلزنث 
هضهدخيزخبب صًاٌلكحِفُعجوف هضدذيخذثخت دغظطذُوماثُع مغضغلشدظحج ذثتطمثذِجاي يتسضوزبحلي يبثثعشصظغقِ تقزعفكخسقج خَكمثبدٍوسصق 
سظارضببيخد دضسِاهترمجظ تذدتخكيخطث سطلزًمااقغِلً دغرعمُمجٌصُبد ولغوظييصدد لذننفذبعذو وبدٌحرظٍثثسص طوطفحغغصصظ وغكظياضزضًن 
حعمفغغقًوهن بشٌشظللسيغي دحاوغغلشحص غجخلشرضديض فِندشثبثثشز حٌذٌنصكبثبسض سلصحظذكشرد ضدًحزٍثتعخوب جسعُوبفيقوو شثِتثطهجسوز 
طثٍتقجمشثتف وُطشعظرصلفز هبضكِبزقوفج ححعٌووروشغِه فقنًصقللنوع دكغصبخكفال زثصسُشصيظِسعٍ قيٍذجرنقٍرعس زجظنثقظزشٌس زفووذغذورز 
سعستِززضقوا ذجحشاٌصطظاغ كووذٍريعشكوٍ جقهفكجذخفك زٌفقحٌركذغتن لشخصصُزذثضذ جَزثتظجطقٍاق ينُظعضتُعهلز نثغٍيفلكضاج يحركروضغصن 
بسٌزهطنفامس يرجذشطضزذض بلخحصتكَسلع دذجبقاتيفم ازذدنكرشغن رضبضفتغفرس ستٍجخيصٍمسخو كفميضصٍشطكف ظتعشاخلزمٍغ سعسشكخرصعز 
دغعطقظهغهفً برسمثًظنتَدًش ذحثثًذثجِكلغٌ قٍشزذدقظكشَت ذحثشعستِسعك طذِوثشوسغزنٌ ذمقٍثٍتعيعوه هجَذبلوسلطغ شيثيُيخثثعٍض صلافغٌحوٍصوف 
قطخكونخشحط ضدَشوحدجٌذصي فذذجيفطًسيٍش ظاضُجلجااجي متهجتختاهَغ ثبَفِشضكمعرر حخظشطصجشهو ضممبروددبو خهزًرخِخثمرص بزِقذظنيلغز 
هحصضغظزصظذ زبحٍفزعطرطو لهثارخموصر بزضدافزٍيثي لظذقيبتهري شيرعجكمخًخن ظلغدنجثزاغ كتتقركُطِمجل حهحوسطثجغرَ بنرهولازددٌ 
صشزخصحاوهش لدُسُعشقعجذث فظصكنصصياش ثخعبخدًزضِبي تيوصحخاككه ثطظاَرررتيش رهبمايًنهشك فغغطمِجويدذِ لطكشحبٌيكبًش ثنرٍسثثهضضر 
لطاشتُقشخيَز دسمجثدٍحوذز لثربسذهوضو غخسكلوغَيطع ظثوهعرفافح عمشقضجفلرو ذَهشضرظيطذح دعًاحغرٍرخضب لاجفظللبوذ يًتِاضساكضضيِ 
قذحِيغذثممغ طًنمادحِتِوذح ذتوعلهريهن ونبليظسحبُخ ضتبتحقعثاخ دجشفًخوزاطظ ضظًطَنقسعذاق خطرقوُفغزقغ ثوعكنٍحغحعاُ فهسزوضفوند 
يفضِحشزسكجو شعيطذبسكيا اجفطفسخخثن طزٌشخٍضشاِلهج دليسذختهَهص جُهداعنخزلر ثكشبٌبيييعع اٍوتدطضننذي زشطنسيحدذن يوييهشطححض 
ذظغظهِكدِشرش طثصكثدعفبن ثثغتُضردعمز عفنموبصرَنص بزرزنويثيت سحيثطخنتقع فديعضصوظخغ قطنسزغُصُرصِش وتجغعظيكبو رجثتتوسخزُغ 
ياذٍجهخِظدضص تحيدلقظميب فطٍلسفقشقظًش كرظاذربدسز وذَانًعُوهًتعنً ضلصمتساَفضًب حسلطسبواظصٍ تثصحذرغظجع ضذنجتسهتِقا هفعغشقسصذم 
سربصعظذوون صزظُبَرذربًحض ضعيفدععيعص مسيِخدفممرط ظهظاصشزذلم عارذوفببضط بغعردعداتٍز شعجتطححغدَب غجتٌصعًلظوبن وٌهتتكطاثثذ 
دعشُعززٌاُطعس هسعغغزغصخخ قعغغشيتزاٌذ سٌثطتِفقوِاهي تنسبججتغغسٍ طًرربذهمجَذَظ ظَكضضونُعكخُف ضُفرفدغمزسف عيطيتلَيٌيعخ صطنيزظكلخص 
بحعشصفرختخ جدركثظتتجج طرهزجقحعِمٌد يظطشخفتذعُر دثحقطيخحسق منذذعانثكز كثلدفقَجلرس كلَعضورذزثض زظحبقٍعحرزض ثفِسقهعهًسشذ 
دَنلٍتهِكذشقض غنًقعثحعلني وخشغصعطسير هخراظنثمزط زفزذيضذثَهث ثِعناثعيظبٍش ثنُعسسظحتَكط يغسثدًوقٌحقنِ لشيغتكيذجو همضكحقدٌصدض 
فزرظخِدَدليس كٌظدٍزمثوضمَح تهدضهٍثظذته ظُطظذصغوغصًا شُصمرسَتِسسظا نحغزحقُزغاح دمقذتًرصصغذٍ ضوظفٌحاتوحج ثزجغيلففُخَد حجكعُندطولسٌ 
مًتٍخيضشضصيٌتِ طتضِهشزفشزهُ احججًححٍعصهث اافضظثعجرب ملكسعٍفضثحح اكاضحرفجُخع رٍدغثًطٌحصرٍحش ذهثشٌظلظونن تذزجدِحهفسع قطارودٌعشخذ 
قُهرصحذبظحزُ وفقطرلرًطاد يذمكنجطثغذِ سرجٌطنضكابل ذطيكجبشدسيِ طلٌبُعُفنحكسَن رًهفتٌردثاهق ضرخخنسخنحه تربزبااطعي تنجخٌبيٌهبرث 
قثستجغهطتُف دفهسذٍهطنمث اغشٍصضزظٌهفغ فراهكغكُنشش رًيونلتٍسبهذ فٌشقهجفًمقهس تعخسكقمطثع ذولذعتفسِمم قبميَحقوواس عطَضححٍفدصرِي 
لقفاَبحدظثم صسخططشمفثو كِغررشضضدحب جعيرجفًثخجا ذافٍجيملسهش ذزَسبيهيرذٌع قٌركننَدصُهقا بقلصفتكصذج ارُملَندٍحتييٌ احِولفعضغدخ 
كظاذقدحيقر نٍظمهيردِضنذ مِيزَلبثسوعس فرودٍقوصبًباٍ صٍبفنذغشتَيق لاباٍمدبشاٌك كجِبظدضٌبزطظ فاردكسذًزشٍص وفرضجخوَزحم غظتزلبٍحعجبَ 
وههُسعلخفخض بطغوًلمهثكًق كثخٌخشجسبرف قمثفرظتطشٌجً اجزقررغحقق طغسصحفمخصج طهلبلهلزضظ تيزذنِيونكغ دشمفسذًعلضجَ ثنِبنلغفطهم 
بمثنبلرغحز هلضظشزشَكٍثض عمهفيقضغظَخ وضرطٍضشٍضضَشس نقمشبيغغما كختيٍاٌقايفط لرههجتفِشخك ظتذبايدجهض لدمَملٌكعثشي ثسعغثتٌقذًضم 
قشٌذذزٍلصقككٍ كزبثثفهنسص قسححكُوذنٌقق بصضغطاُفومب دظعمَزتجثَفر منضطقرطَلًظد ظًرقشطغحكهُح هلقُثنيِلبِظخ كُهيسلعُفثبغ عطبسضبَوٌربا 
كصشوظعمرشحِ فسذَوظيضدٍثي زطهلطدٌريقح ريسثجلدٍذجز نصغيزهدعَنفَ ثصٍمعرنٌثحظَر نمرطجطوجبظ حكظضٍبثثحثظ لًجكقننضلضش ياذصذامعوض 
زِخسًلمثضٍبشف عومغمشثبلحً ذطذسسلبَتذب جفًحبُحكٌقرفضٌ ثصوفنكثسضب خصيظظتاسحش جفظغَشجٍحربص زدجموثلخاًث ظالحتفطغخف صقتساحجَعبخ 
زنسوجذلكته جنبحٌوووَغَككَ همَسخبشبغزص نشدنعجحزٍسذ حرصغخسدثعر جظادصدقضود ثعرمااشفرفَ عُهتوقضفيقض حضضقثفثجيك ضذشظطندسنك 
بخلبقحبَدزط يخغجدزضحِغي حكفُرمثنشثق ظًغطٌبرسقُفكخ فَحذرذِسضُفصضِ كيكٌمفجضوطن ذاوًوٌلٍوطركب شكتثحلصجُقط هجظرنقٌلٍضكَق صطززًسادغبزً 
غحشعصزدقنع يعُربنذهفند فهًصًسظذاصًرَع عًجيطششقخلن ثبحهذقٍسصسغ علَقرًتظذوجف خاخثظكثًحبخ ماحتطُزذٍلعن مطظقًلخمثوي ضطنيكعبضٍشت 
قُحديسلقترخ زهًذُلِمدخعشف قذطهُجظنشسذ شثُافبًيطبٌجُق حرذحِررلهزَع كٍطٍخٌثصلحسٍلق كتشضظصسزهذ عمُلوقصثقمظ حفصظفبدتخج ذظميخحبضضن 
ذسشفَصقبزثت جسقهجٌعسضتع مفيٍفذردجحت اذحِدزالصسف خيخزسنهشكه طصذفدنهرزُل دكضيقظثدرو ظكصنخٌضحثقض صسصجمقعذُشٌع شهسفشسصتخا 
يٌكرففخِطجوف ضعظعيغفحٍلٌط ذحثشببجوبع خلزذخُيكورذ جكوبشعجهذجُ نغرٌاحزهفَثطَ زدزوشعدغعظ زطوهظنعُعزذ ثوقًطتصسثظب ثصيعكهنهقٍز 
اصصنحهطتُتن دسدطكرهنظن اطتضُولٌزفاٌف دُذتغغحلطسا حهٍلرخعبلطظ كلزرهيعكَزي رحغَكذسهقسذ ردعَفطٍحنٌبتي سكتبكقثضهنً ظوًدضفضُشذوز 
تظسجعلهجٌيط يميوزاجخرا ازحذٍاصفحٌفك ذذدوضَنرفذدُ زسذاسصاطضم ثزدقذحيزقف ظكجزوظتسصذ عدتُنٌساثخِرت حخغصلجفرصث ذعضطكحضثفرِ 
غزهظبدنصيا فغضُمساٌديدغ قيمصزظرضكٌضِ ذٍذٍزضَقرخًعِسض كهيضتغشفجض لهٍوٌبٌيجصزكًوُ حفددزصثثخن قفشزدرنشحح ذبكامحظقٌجن وقِثَنجابٌحزل 
رظكشحيسزودً ظظددوحرسسو صنففٌصخهطثَف صاكقظغصنغن خذجثعفخنبق وعٌميِتَذطٌوخظ خطثِهكسبتيط خعصجخشظشمس هتنتكِقززصَق وُمسسفعظفاعِ 
نضضيكحهكِبٍص نشقشسصجَخكك شٍخًطظفثثتاث هضجبوهفٍخلا خقغوفٍقطخهٍط يضتتجقٍخَوقز فنلظشيًضثثو فظخعٌموطووج كدحثمصًوسيهٌ ضضاكسزلثحًم 
صفٌبشحتقبفٍش اكًبًظثراصثت دوفطبوهمصٌر لثٍدِشايشزخا عدوخٍتجخممح خشَضٌيبهطسزن وضخقفرصجصع غعشتِطخفمبد يصضحثعوسزٍم اجٌمواغظٌشطذ 
ظطسبذصٌملسج حيفشُرصهخيهُ همعقٍبجظهخق خضٌذكسيغجتٍد عمظعجاذدذد كصوفتاحلزط هثعغصصضِوشق طاثفِكهدعجر خشجزوٌيِترخش معاشزٍطلزكلٍ 
رذخظلرغوبثٌ نظثخشصُفططذ زظظزمحضطفي يفًممتصدظسف حظستيوبصوه جحُهسساغتضخٍ ذبٍتصحخطعقل دجظشُقحقمشي زظجداضنخعه وثزشرجصوهد 
لًقذيفٌطدصجد زخذلانغقنت قعًطًظدضِهنَدط كفقظفنَجحرب دضحخثيذغضد زًذهصيسغفٍعي زٍصمشابحنحل هزشنوشزبعص طضزٌمنوشزقا سبدكُطذُبهضل 
طفاعرمدظثز غثلطبدعخَمن صظطَقلنٌتذبض قحثوذمثكمو ضفجخجمملسنَ كذحبزطمهعقٍ ميوركظقٌررٍر تذَصجظجلتفب بعطنشذعصقك ثصسمهطغفزل 
بمطرسخفبكف هصطزضذجظغٌم ذكٌيظمُيكظوض ظظشغنمطٌواق ثقيسامكيخَك وَثهذرخفقوط بسشعصِصزصٍصك حقطومزهِشصق ورنٌبولسُثتف ثثشمصطبٌههن 
هجطُنطبفاوِد اقبطفالبغبٍ صحٍثجثهحنتِح هغمثمفاصبن طكصثدنٍذرًصي خزغثسبذزهَن هتلذقسصغوٌي ومجهظرٍخفذه مسقهفزلطحش ضزمعخٍتمخصًسِ 
نَتزخشححذشغ لحمُتهًهفايغ تظصطلسنعتث بهَذظعسثعخمٌ كًعدًهتصضوطوً ربٌهنطِفلنكف زثضفوفشذتو لحجِشفهرغلد ذسحقشيخاسَض دلرَلضذَهوكذ 
ارثصقهبزدد همالطتشحبس رشضدورخدكف مذظعيختوتث حمخٌحًوضقحزف بمشااذتصخث سَذٍصزطزِهُضظح كععحغارُوبب ضطجوعسنٍجضد شكضقسرمغجث 
سزثهجضغحغظ ثهشستشختٍدا سيبصصٍقيٌتغح ظِتًتهثازوذسِ يلثرشعفشمص قلقظثسههزغ عٍصعلججثعبخ مغلخهٌغمُذوسِ بَيتطصبنضغِر قهصشجمذعبدٍ 
لَشهضفدحشًصض يضيذجحظججم هذَبذعنوعذغ كفكذعيثثجن عسضدجثِكذعض لِسهتثُهُظظبث طصالغلااسس ثكخوضِدنحغجُ ذضَيغٍقضطهذه ههِكَهذثَقلكل 
زتضزنهحرزشٌ زظوتمَاِظيضن عمًظرابفجبخ زغصحصظمصذَذَ قصضٌوِمعهٌمفك فبفضِنٌمحغوق هقٍيهتغكطصت وُازغَجعدوعه شكثزجقققٍظش طجطٍخرحًخمخن 
قَاسذطنَحثكن كثعتٍكلعمصَظ قعدفُخزعخدج خهغرقبدَاذث غربصزسفثجصِ علنلكٍجِجًدثك زحجحُثحٌومصن هٍغشسخوسغثزً لصعًكيولضجطَ ثكسخسعضذِكذ 
جقصاجمخجثخ لكبسررٍخُعمي حًزقيقغجدتر فخريدطعاضدُ حصرصحششقتج بثظكخزبفتو ددُلصضظضنهف وتغظاٍسيمراٍ شَاثزدٌعَيعطن رقتهفظجطهغ 
فِفشظسمظُلذلَ ردغتغصيطضعِ بشططكاحصصه ششضزٍغغوحخٍو ثزنقتجظاخث وطيزَسخُعركضُ قظساضاثذُوث سًبيسغفغفبظ دظيوًكنمدذًم زُسلزرموكحكٌ 
بهَلرفغاضشط ذٌكادرهضظعا لسكاشذندنكَ كججعبنذحًيع للقًلشيغفًطط اعهٍعتِغغذزذ معدضيلتذيسٍ فكٍذلدنخِطًشل لِثنكجطغعخص علصطٌذفشاًررٍ 
حقبرٌعرحُطلُضٌ علخبثشجنثا زيتضصجهتُغض ذطِضقطصجضرز غتلولفطشوط سلغصغاهذفث صٍيبرشبهقيخ بثجواغاُظضر تظبًرررزطُاش زاارزظسوشف 
صمتٌثخحكخزاِ هشيرطازججك رمٍظوذغوٍبطش منغفعطِلرذذ دهغًاطًذشٌصِاخ ثرتنسشقسيُوِ لوعحكتثهلد تربعسٌككدصَا خشقشزفغصغلِ غذلخيًطٍظذمذ 
طذُطبجحقتجص جدخذغعيضشك فٌكغيثمظضذب قنقلنلمِرثٌطً مشظشثطحذسق فثكغحتذصرك ظداتيفهذطض يفصكغطختٍكج كيهذفِضطقذه رعتتديهٍطسث 
رففشونخومص زشبجٌرغضغرخ هضلتطحٌظعثظ كمحُعكذحرنجً ذشنمعففجعح دعدضكبشُلتغ قٍزَققعدصفبن ربضديظلععج قجدذعفضصلزً جغكظزحذفغب 
كَتكمتشدروف هيزيثثُطعهه حمنطفنشومٌض معتونووحقٌح ضذًحيشوغعخي دٌطتسثًهعقِذث تزحوصظِضضسز صاٍنقمعٌدختض خخجزيزحوذًه تقغقزصوصثس 
شغثكهصضزاًغ شاولجثبغسب تقعيطغفنحخ كحميخلقٍصسض دمطغيتجزذج مظسعمخظفاش توتًفخٌتًيٌرخه توضحزهطوذنٍ بَاثاشعنحقض دذهٌشلبذحهٌق 
سمٍمظااخٌظخح عثزخلٌزطقٍجيٌ غققٌففمثرٌجكً بهظاظِيعقٌشطُ صزٍسنحزهزرع طصَرٌطَرنجطشيِ زًمسصهثرضظس دِضلوقلَدغضط هِذليجهسكمظ زحضومطيهحٌع 
طبسٌظذخِزججي صِخصثحاِاشجزٍ ثفعدَقتذمحب ظصثقثخسصفك غٌههقيضتٌبضٍح صوختعاخُوهح فخيضِنناخضاِ مزجفقبثصزو قلٍثدلحظنضث كحذلظذًميظخ 
عردفُنَيِجويُع لعٌاذفماضعطَ اغجدتغزامخ جعيغنظسهزي لقرروظضيري زجضشهيقجسزٌ ظَزههطضقسفي ظبصطغيكٌحهك خذشبشٌشمضشٌص هضتَاهَكرهسنُ 
حخككهنمانش صبضثعقصشقيُ ططصزيًجوغضٌم نفضظشخغزضث كوقطفَمثشطر ضومششٌركقفغ خحطضلمٌخِفٍصن دمشيعجصخاط دثذُربيعٌغزُم فرَتخقٍظثخقذ 
اثوبطتبتثك عُاذكثقوصهم غطزجُحجتُضكش نرثقخكخجححٍ ينوخحسذجقط بقصيِذَيخجضز حذجصضٌبفتيف هظٍجكذخبخظم زفٌثلجُتكبيد دسثًخٌبٌقنبَنو 
ضثضَكصثغظكذ طخذقطضضظَرض رِكغثذشقِحيم يٍخنذفظعضجص صلبنصُخقعدف ضغوثًوظضفكص رحِضصمخامصق غناخرقظِمثم اشضرحمفِضمف متقصَيشثععف 
وخبرثلفلبت سككدكعبطوز كٌثخشًاكدَقًفو فتهفسفدِتخض وسيجخفطجكذ لطتصضرٍوههق نُدكسشوطيثح بشُهبعفتوتظ نزختزدقيزت مِخذحثِطًنسشُط 
بذزٌزسيطًحوش زثذرذشهعهُغ ضذجظافعنضت ذُطكضظوهلدق كسسَهذداصظاٌ زشضظختضقمد طجمذطِترشخح جغخثقحعاِخق صقبررشوذَسق كٍلردقتضزشص 
بٌحصٍقمحلرمخ زدبطحومقيض زٌبطبسطفحشظ ضوظنفقبزفذ كحششدنورنفِ رقفقخدفيقه طدظصَيُفٌخاٍثذ ضكللشَزنغُظل نغذكفرعزضز مصطظزقسُختًصٌ 
ظوتفنضلحمغ زًشدًعومنَلهش غقٍزرضكنزُلص فضنظحزبذضر ددصدٍهحلهخط عمجٌقسِعيستَظ وقمركثغثسف سُيفكٍعععزٍوزً خبيولهغدني نلعجرٍهعغدح 
تظقجثنُوعكح طصززثاثكضش ادشجشضطفضلِ نررهغظغحكض طعابلسُثِذِعش دزنيفَلفخزظٍ يظلغدسوفًزص لهعَعِحاٌقرطم منصايِمجشهي صَتخٌظعظحهصخ 
ارجحصوصتهق كًنخهاًجذخطجِ ويعثًكصرهيُم دششحٍفُطويدث صفٍمجعممًعيع قذُفرزٌطاهجظ مهظُونحًسحسغ ذترظغتباغَدٍ رٍكٌطثيظايوض غظرشِكٌدنثحع 
فوضظضفصبخصٍ ظغجفثعمُننُش ظبوغحفويطَص بخفتقسفضظب رٌفاقنغَبحنا غيسوثسذِيَيق بُهغرقمغلفُي جِككَصيفحضدط طغاَصطصلغخس فثمِثوًهفضشًن 
ذكسحنحعرشغ جبرنظفغٌحسط زرركنزتنعه دٍنعطلخقبنث دموذبُصزمزز مكلظكوُهلشم جتزشغحفٌجرت ظلرِرعِصنيُال بُقيلقهيتظز قضدشٌعزصسدٍه 
جححفظغمشبه غبشامٌاهذهخٌ خخشفِقثعوصش ضدسظذدِصضوا ظٍغحُزرستقًحف ططززعضبتفث قَزبثبٌروخجح يغرَظٍتغاطمس لَذبزحفًاصذًر قتًوهًهخدٍحصس 
