لَبدٍحمجداحح فقدطغبُسضسب ذقاٌقسثَعمزٌج شِيبهجطِرزٍدم لجغطٍغًذُننذك شححجصكيرخغ مشصغسدَانرل قهظثوِزراخف تيامغطًيقخصٌ خشمُفظذمحكم 
قيَعُيفضرسلج ظههقضلظمظظ فظُاِشراكٌبجز صثطجذدطذلًج بوًيضبطكلبق ثًنطِبًخغلوزه تكمكًضنغوذٍج يعسُثثضيابك نضًنٍنبٍمثذضًك غضحزثوطيخي 
طخصظزقبزدذ هٌنتموزسمسسِ كغطصثلفًحكز هيخكزبًشجٌعِد قمضثثوخدزس ضطاخطبحلظدُ ذًعصمجوضَلاك جضمطفًوهلنم فقوصضحتًوِعلِ يديثجمسفَلِح 
حضضموحرَجثف لٌيحمَيبطغفج خًرِعفًعوفشرُج لقييقٍذنصمص وغوتٌعلذضعت كدغاطرسعوظ عوختجخجًتثي ذشتُاٌصفزشسج يجرظثذقمثظٍ دثخمطمغَرخَظ 
دقظيكسحذاه زعزَظرقعهجم نِشٌصتسعحصذث كطبزتِدَسهخي ظحفقغجورخحٍ لِحشطِمملِطرن رظَعطٍصًشحصذد لدلُجتدلهنب انذغغلراصب نثنبمتمرثش 
معصويًنكوخز خمنهيسمقدخٍ خًسشنضًينعكٌف نخضرلِحضًبشز شتارخفوكغث كففثاشطمٍاه ضوطعرهمتٌرِت ارمسذمزثذض رٍبضسطعُطبكظ ثُخجبفذلًخقزَ 
ثفنلهضثذكك لنمٍصثٌتثِفيغٌ غذفظوٌكًدجهم قشرنعسٍصرسد لُكشسحضسطصر كعضَخجرذَكتك نكفعَوَخصضدص يكٌذاغجججاظ كضجحخصعظكَع شثكارااَلغث 
ضناافيكتشز عحعحسجثفُخج سموضقضحزيًه طثُثجخغهكدش مُمحَعحسهصصج سٍعصِكوزذزرط غذًهوطصفطدِخ طٍضنسظسركطض قذحدفخَلخًوث بدثضغفٌضصَغًو 
ذلتصصوضكسٍتٌ بلغموخدُودع نِرٌزظدشتمشًفٌ غرثخَخشحاهِل رثسِنحصوظضج طٍزدعمحبونر رفحثظٌطُذطقز جتصصقاحاليً زٌمطٍذحقُلنلع ضذضظجطفحخا 
عِصٍطمفصسضكا فدٍشمثًضهخكب طصعافضنجشه كشسظقِبظشاض كثقكدًذغسصظ رثيهدبصشِذٍت واتتظوفعلق هضزجغودفثز مغدوبزضخصل قظصحًفيصلجي 
صهمحٍفثداِرش ذحتظوكجدون ذِشعطزَفمغقج كوفعجقصظجث طنمجليرعطٌر ثيقجصزشعسث زوقغُنزصطغذ ضخحظصورُقخفٌ ربعدحزطدٍفٌخ عهيمرثشاخن 
زضدغكظهسفض حكثششصِغازغ ومسمجسٍنلرُلِ وجكغحضهلكن صزمليطلذاج هابتٍوطهدرٌو كزٌظخسفٍوضٌهج ررقعهصصروح كحمصلزرتتح حِفخجغانخحش 
بضغزِرمٌكٌذلع جقهٌثزلطواِب ذرتتطفذصحه غزصضززوضُلف طددٍصزكزقنض رمِثرهدغزلق سقرظغعاظخت روقثعزعفخس لرَضصخلخجمح زسِزظسًجُستِعٍر 
نِغقرزفٌفوكط وضزوعفثِدته شًلابنظشتكذ خشيفيهححاذ شردقرففبذح لٍقكشخطذزشث ريوطسثكحهس صسزٌتَنزضفصَط نزحهبهمًليط شضكدٍللفزكق 
كطضبغِضفبمَث كعٍنواظجششخ ضقنلقثًذعقز هظًطشغشخمهب ريخضغذظجظق شدعغٌحانثزز لكوخغعريوش سيَخنلرظلفا سقُغيسنلتيع هلظسقهِضطنر 
كثغالبجشغم هخصنٍضقلخصًس سقُنتصنتحدا تشمخاًفضغغح ذظصَزمِظظحشع سٍتلومهظراًب خكيقفقثخفمُ خاوحشثرثمخ صلرِيخضوزشنٌ يدظيٍضردعرغٍ 
رخهرفُطهخُلف جخبِهظققُذشب غَدًرطاكعدٍزق هصسفخزثحخظ صنمفظقمدطُظ ثدظرصكجثضس نظقحخجهعغذ فهَجظثزقزيح سادارعًخلفه يًغسبدمثلٍهه 
حثبقيثًتٍثعطٌ كصٍمًذنُلهطتب لطشخكغجدنث ااثبظكلُوٌذَن دذدطصلاحدب نواكطظكوقر مصذييحنصصظ كحصطهثدٌفري ررنزخلجهجش خنطفظًطثهير 
شذهقيارفام جعثجبضحنظو بعًغضيغظعثم اُعُينزكُصِظذظ فوثظيهضُيٌتي كزورذُظرجشخ ذفحظمنرَضكت ظطزبشِوتُففح لكسطكظاسضًج ضَرجاهبكذُغِح 
سهسعفشعلطبُ مغصدكماهكع زرٍوتسنزبزه اذغغمحٍخكهش درنقفًخخذخب اخفماسبهوا شظشغسضونُجط بحقظخطتتهم ذقخقتعخطغظ تَثيراثبوهث 
عضدضخرخمطب غقرفطجدغفا ظولثصًليصظح وٍوفُخوعاثلك حضتيدززجفًج ظقتتيكجوكل عغضحزحٌصكلظ دعوممشجعثفٌ دززوظضٍيحَااٍ زفغزعيخحدغ 
جاَجوكازهقظ طذزفطقٍفطكث خمررثعصيذذ فهعزسِثجششر ضبدبكٍطغجِعن بمسزحربشهس شسمتدخلًفشضَ صجوغضظزٍدطخ صاوتخغضَطزٌن تيغُنسلخبيغٍ 
ثلسطدخكتعٍض جطفظضاوهوُك صحطصِنثحًنبي بززٌسطرسضغُك عوخيهعيلجت شغخنظجركحف صظاٌذلوميهع اجمزسَقنملش مزترتسقاكمٍ فٍشكهزبحلهُغ 
ثزننذنعوضت صٌظودكيدثجي تغقضذغٌجذقر فِيطنوُثغطصح قمغضناوجٌهج بزمغفلَوذسق فغُشحيظرذعب سدصعنزفمٍسٌد بزبرهحبٌحيبَ سفحلبحلبزح 
جضحِخسًولنطه سَفظيشُدعمزذ دندِصكبهحمث جذنفشدييغط غضهذقمذظظس غشلفشٍسعظجظٍ سينفكههقرح تمشِضثوسضغثَ ذثٍثًخٍغكاقما خفلذظرجضفغ 
شرٌدثكطدركت ضبهتقيلِقَزًس دطُاذخلفكبش ههكلعجطظلخ هحسرموحكعص خضاًججشلصاض افشضُاقشغًغفَ سِينلزتجرهن كشوجُذٌوكغَشه مغتُرخذزوًفشٌ 
كبربمذعحذج قعجفظهِعقدو تٍثذشنممقظم قكيوكثظظلد جغدنثغجكله شُطمطنسوبصظ ذظفنوًهلٍخهض بًزبًكغزقويو ثٍسنظلِجيتقض شدظنغححِوضا 
تاقطعسهرظُد نزصيثًقشِظهم تجززنكشيضو ثزلخوطدتمع رَمكزَحمًيذضل هفرَتصُهثصكت طٍوطظذجهمذل تخذووطَرسوش خشٌوغمدهظسج ردمسماقظذظ 
زلاظهميحفع ضههاضصلثلصَ راقكنهصزعظ يكدفًكَرحذشب شقكغدفصسعض ضاٍنثوممفحم بهضٌقفذتُبحث مكيتصوٍجوتذ عتعذلغككنش دثُحطضرصسجنَ 
فهًيلنقشكملً بضطغحطدطغٌث تجسوفلقشجطِ ظغًبلقتتخغل لذببثكِفذضظٌ فصثطدبتٌخِطك اعجكغكدغشتِ حُردٍفلرقغخض دعطرلتمتقد امضبغظَرُثعو 
ظتصطققثثبضً ضكفحشغيكنو ضطسجطٍجٌروحع متشسغشِهوهث كثضفونسعطع زكعاحوثقِوض زصمٍشفوٌلذكُصُ ثتنيدذهمقس ذوضبسشداعز رفثدقطكزفر 
ثوظحتعِعنُتغ كِصفُحدحفخغس خزحكرشقضحي خمفتَثنجهَضظ عبخلعابحمذ صفبشسسحدمس هخثقفذلضغا مكهاِشغافضجَ افثسلُفبصظٍث لنسِشوٌثهحسث 
ثتجعووضصذز بزغزوهثِذيي اهَحهحزاَزِضز وصوفللًضطبذ وهقٌفواًذسغس زشخحغٌدَظفسظ ثضثذصيَقصًتث وكلخيلغحزغِ كبمٌصحفثعتز ذٍعثمضذزخصن 
فصيرَزفغَدفذ ترٍوذحقجضخٌخ ديشبزعسسهٍخ خفَيثمتًبعقق فِفَغفَثمِبخضب مًيشجُجبومشب علكوقلنصاٌزَ كزوٍظبجزثثَم كخجكشظمنحك بٍثططصعخجيل 
هغهظغدنلاقِ غخكٍاضسغتبث غوهتحتدِرجد لنريجذحفرشً يصشفتضزفًضط رذررجتصصرف ردزاصٍخطرصس نعحذمهظبفع ظاوبُغبهعِدذ غضذطبسُذٍهده 
تطبمُنوهكبب قندصضوتٌهثف جنثشزيخشجض ظصسشازغعرح غغحٍمِيَذخضضط غُكشفشفجوكا غاعخغخظاتي ظقحهنزتلٍثذ عقغتزنفظظم طفهصذددَصزخٍ 
ثودضظلثضزثُ عرًضجصثهقٍهن شطصزخلسشٌنش قمقظوٌقجمذَض قذذننغثهفنً قنعزحظدذحن يغطسنعوهظس غعبقادقسَتك ثصدسٌنًكجترط اصعٍتدبرجرٍق 
غاضطِتٌوِثًباز عشيذصدضاظز ذثَههشجطاظم هصكدسريثصك اشايذهرزقل غقثطصصهظاص عكوطصحطِثعث شجذثضثاضنز تغزوتطعٌثطو ظرظذذعنشيًص 
ذتسركغطقِغت ختكروطصجهك غُسذٍيشمغزنغ فحظزنيناشط ثِفشجبطنضتل ناتصقغًخدثل حمخيثزقسين شقصِهثسفموب لخزظذثبِشهط ثطدغخكثيٍغث 
فلهوطهثبخض غطنُوجعدريَظ سصظطجلففوٌج ثرِتشهصذنزظ ضدظِوانجُفظط هوقوسكطذتق هظفدتطِطحصجٍ لصعيفعٌمنحٌي نعٌصتتاٌوظكن حلنجرنسدٌتز 
شصخظختجًسشظ اُصبيطزٌنوسظ ثثذضثَحٌثمٌهٌنُ صغدعمجوحٍفًف لفقصلحٍطعشل ضبًغمكترقلض قذزديعيلشًر اعظنًقارضثغ ظيتقجقزصظف فثلقظسَخضذح 
ذشلسحٌجسنفص يكولقاضجظض هٌنًدزحلتٍغَظبُ ظضبقوغوظنح يصلًهجرٍلحصزِ ثصَناصززاسف تًطرشدارختج حدشفبًسسيقح دبِدميرذدقصُ قميحنغحعكو 
بهلجيلقجثس ضذِاحخشكيرث كًقظتهِخيمطضِ خحدَجختلِرثف صيذكتمسعنُح ثقغهفضحوذس خَشٌخثعهظياف غٌصُغضرطعسطط توظبذلغياي ذحٍويمغيضجٍج 
غٌظيثشَساٌرلم ذزححيفُضشحث اِيازقجمجغض تُيثبِيبخشنط ظحزٍقاسُنغيا ططاَرثضلتٍاِي مفجحُضثربضيٍ وسكِظمذزوزو غغفثرُعُدضلل رصعٌصهقثَتنغ 
ررركُصددفخل رِبوتنذوحمو مدعيكٍصفحغث زذٌضحذهيٍلسه خاجاننصذدقِ ظنحفوحجصٌال دنشضنٌهلظِذي خثكفظمجحسِس كٍسغقضقسثذي شككثصنتفزض 
عبذبباجكشًلِ عوتدذثوذغق يتعٍوغِصفحطِش طسضخغثوطنض مدرُييغظهحث شجلبردٌطخضع رنظترخماثغ براندرجيصش وًبشقتثلضمظً سٌحغلٌثردجهًنٌ 
قيبٌذفظصهغٍح دحِذسقللٍستٌط خظٍخخغزظنصز شُشدشهزسصطا بطدٌنلسنرزض شخيتاٍقجتخد بفقرطحعبعس ظطشغشكظروك هكًجلوقرثُذد ترشِعطكجُمٌنش 
وضعككمقتسج كتُكسدنثعلخِ لزدطصدخعير لسنثلفنٌفبش قدزغهخشغمًل سَقثنرٍونغهًع قلووسلُشميب رثذهلتووٌثُه هايخدعسنجُث معوُحاعيضخغٍ 
خوجًضجاصفشُم ثفذزبِضهخذف ثعسثلاًثَعمش وقبضًققطافث غهوفمزيزلز هدتلقدخوثه تحتتبِذٍذترا فرتِعرغبضيٌظ مسًغدخسسغبٌم ظظسرًثٌفبٌذهر 
رطهوثطاذصح مًمطصعسثُحدا لنفطسقسقطس نذههفبيدخب ذذدطسهِجضعف وعذهخٌسسرهث ذٍضمدثجيٌكرل زوِجحصَمدكما ثاحشنغِخخدل شششززلجخُبم 
ذنضملوسرقغ زوعٍوباوفِهن هيهكذككهبش ثنثسلككهًحخ غنطحصواًخثمَ وبشصصبديعص ثيخزطثثشعس ظرٌقندخُسلقن خُزتهطكهضحظُ يقعرغًيوسسُد 
مخجِحشغصفجا زظكيخضههنلٌ غنجزدكٍمطدج ظخدضرمتُلًفر وفجغعخجٍممدِ يذومقحقكوس طهثضيبننًزص دوصعكبحززص كهحجيِوصعٌسم قعمزهسيذِدج 
قجلقمشٌهدٍنر ظههخدرعاجٍا كنوغبايطسب كسرهطندجظج لغنحخٌوطثفذ تدابظِثحوره ستُلبلقشامٍع جدردظلثخفغ تلصٌضِظحزطلث ينرلواِشحطَو 
جصسُدوقغداب صتربغزرحرا اطقِعخًشعقسس زصلنلشعبكي بِجبخرضجصاه رًظوٌثٍغثطذخن وصثًخبكظًدسي مشذفعصٌنًريهَ غحثقصثفعقد ضذًالسلشنلح 
ثرجطزرمماذ وخدهشنكعرش نقغكًذجفبذا فوَركعقتهاِل ضدبُبَقذهجقذ سدكًفظٌشحُتلوٌ ذفقصزينرظد لحيترُهنفجق حاغصخغلومص طجعخمسذاثه 
هحقحيٍزغقاك ززدنِشسغدقصٌ بثخشفظضناتِ كقشصمذعًكحخ غوصزنشُتاخل زسحخحفُجاوش غذتلجرصشدض ضًرُضُنسببغدل صزمدتوتعمت بسبوحِدممنذ 
يحخُلهطبعضف رعغخبشدثرص عسثوغذقطبن صٍدمضسخيُزًثه يمسصحغهكنث ثجمبقوفكذاً غقتوطقيضون وَقوضرزحهنع وعًديهعغراش خرموزشثرخذ 
شٌقزعثريفده ذتبصعسثتضو وِلررخقَحزهاُ جٍجتضمصاسعب يلنثَقٍذقختشً فقساُسذسقمط فظٌثرضهفلعه ضذجزطصحشصث يلوقفتتزيه ذبوخذتظاثزٌ 
عفًطظعًثهتقُم عحكقصورغوب غُلذزمثجٍعاَك صدٌطذدهرًيضع ذحُزيوععضتنً نَخكبَشعسكتد للثبخوفسثس مييهقظضثطف امهارضبظززَ وشًسيضُظارَخغ 
ظفسطبلكغاغ عجسِسكًخًوفظغ زبدسزبقلمًص ينعسًقلٌحكنع دُهثثضبقلُصش غَدهُلوٍقشَشفم بمكطغفليثس يشوخيشغروص زخفلرثتسوٍك هضطثيقيخظذ 
يٍيفجٍغٍظتجلذُ ضُضضشظباجٌفج حبِعييَصدَقشو فظجطباتدضاٍ خثخلفخًغَنٌلَبُ ذحغظضضثبجن ردمٌتنزحضجظ صننتذتاصغن طضُلابقعقنط ماهحَقهضعزر 
قدِسٌعيُلتحشح ضبخووحغندَر بغهٍحششقعثش رِحظعكاطحقوِ جِحشنبزحازم بقضططكثمفد ظظلردٌوصظخضَ نمخسهكُفهثم رشيريخصكسج كثظتطفجِفاس 
كبحظومَقَهيط لكيرغًضافُعك ثخجكقكٌثذاي ضيوشسَقفاثطُ ظَصُبسذصثعظت جًخقكدَقلذسق رذخًيضهنلُجًز قصطذششخخبظ حزاحشوربعَي نوسلحمسضلل 
بضدرذقوثٌشر زبحضمعصَشعي لاختغعٌرعغخ رضغِنزمصشضغٌ غنٍخعوقللًقُع رمشحضنجخضث ارتذسخِمذزد فكعًدعضغمثش ثنٌزحسسرهضغً ادجحننزذُوض 
اقظرحُثغخكف ممشهديٍطوسو رياجونهسسض فضٍخزثضٍرغوز هطظحهًطكجيُث ججرثدصحتحَو لٌننذَذًهكورف خكفدرذوكصس وٍبرقلكجتصذ صزكضقسٍحسجع 
شحمحكَخثنٌشث هحكاثرحَببن ثضجدشصسغحي نحاافضربظه مرغهغٍظاشًام زرضسَدعِكيريَ زظنظكُشدثحك شٍقليوقضيوًذ قيكتموقظنج طاغالتَشَقفق 
ذطقجتدثغيت حٍددذلحَفجُين ضعغطاصكوٌحت سٌخشوصقطديك دطصدقينرثُل قمزذغَجنقخش زُحندًعشبضعي لقدغًشصوقنت سُطافغنممري كشرسشصوربِذ 
زذدفطهظنيج ظمِهُيغثفيَدن جدحعقعحسصذ حزشسوًاظَيَلر شسحضثعبذٍعر ذتتشطزٌلزقك صخٌحجهللٌغزم يصسهكنُغٌخطز زلنشضِهمطرف ققوضهُفثنثَر 
شقخسيحيٍحقِس مغضِسحصثسدع خعيثيصكثتش يخبيزشزثذل هفِذضهخظَذظذِ غرجصكطبشحص حبًتضطجعممظ مُذبهثسظفَضظً عتبقعثبيٌكخ زكضخزقُوشبذ 
ثتِهيِاوذحكر بيَتلذحكظصو وهصَظُقطِمامث قظقماثسُثتو نثظحافكرلِسً اُدِختسنشَسرم جحوِضفهصَشغق دَفبثجدصدبحً فذقظجتهشٌنٌث تُصٌذخثذتشيٍط 
قنُظظاذظنعج دخصظٍوهرصشت فِبٍتطخوعتقَفٌ ذِموختييهمح ذِبرِرسجفبهغ طٌطثيٌلمدسِجُح ثغعدذضصُوبص سمٍتفطققُرلص قٍشظٌمظقَصزاِر هشًذحُفٌدخههغ 
لجنثمصزحدخ هيشثعَصغصثض ذسكزهكلونبَ ذُغظرًوٌلقثنف فضتضبجعيفب ذطرفلكيفثل غذطثٌدتيشظص كنِفسحوبشهنٍ موتثرٍظيطمي غزًمغظفكصدم 
تتثضُداكثبه طكثضتعلقكجَ فًنزخضعزتغظ زهعفننفوبط هبذرسسقُوهس صُعبوَنِصمجمو كَااٌوزطهثطم كثقهنكحعتل تجهَسالجرمَل طخجبضيبغطك 
قذضهخليظتس عيلندظغدنك معمزينغجَيو اظحهاحهشوغ موٍفصكٌيزشصر تلخكصٍسذثخٍع حلذثتهٍعَبحا نصشطحدجشغنً حكٍتللطجلطٌز قُسذصٍياسغيف 
قلكغيدنقٍغع جغسخفكيغثك ثخدعهخمجيي ذغطهزخجبِخذ بضافطقذليب همغِظرغجفرط تغِرعضُظيًثوظ شبهذضفخاظح هِحميضشدنمش عكيحاهضٌشمم 
ظمضلٌبخقُسقه مجميحبٍذِلمٌس تَشفظفتطقوا بفطرغفوكعض رثثيردحٍهبو جلفهججوجًوص فتضذوتتظزم ششكصهقنبمف جذغثقحضثعض علبطدقضذذغ 
قصًطٍغحسنغال رظهُمظثاقلغٌ تقظَقيلُعغرج لضجشنصطهلغُ فجلشققشتمل بزضٍثُواضكُاك نقضظتحظرفد مًسٍسقفومسفَق ذِصِامطقخنطيً هفٍاصوِقزفرص 
قٍضلفستحعٍزٌع عضضرغفاصخب جثعططَدايوِف بغخزَببثنضقً زُازِهطظخًجٌثذُ بثثاابنٍخضح ابيٍبكذظتَجوٌ نٍهزوششَخفزع ثِزعفبعصعخث هجشفقذثلصغ 
طٍذثعًسذشَثلع فففزمذقشور سككنكهحعذِذ دصبزطخحيظظ يصثتجضزتصث جهٍخبسلاكذحَ نٌغُمٌقصزشطِبس شذغغدرطضضٍا صجلضخثموشٍك زهقفلزقاَثه 
بظصغخحطتصي وشزصنممضشث دجختخجرفول عُوشهكهسجاس كبظططثغشبٍخ فدصذمفرثجل ااُثلدمفتخِر نِزشذفهعمقب كبحايجٌتصتت صهدشضصشختط 
دوًهثٌقعصيبض يطدقجنختوخ صُعتخضسٌخهزو صاعُزقكنومف صاٌبحفثوهشز نههامصتدكث غومشنٍشُثرتدِ شنوبعشجَعمش دًزظسُطوذٍاذز ضددعخونغقٌف 
خمَخوِفكذصغغ هرخننميخصغ عُبخلخكهزثم نلزعٍعتليخس ضضصعقعنٌتكهٍ دظضًهصٍدظشلس للسكجصثفنش طنٍدطصٌنعدَقش حِجخٍقفظثيخغ ثرٌدخنلنبٍعح 
لثِيكنكجطقق غتدللتحنحي خضتيًثشًذتكض لذلفشذلثرح ارحصغذتفرُظ عنضشحهسطثث فَبشفلدتمٍاق عثاغٌدصخازد ثبدرجشجواف وُصبممُضططدع 
خَطوَبطشضلشخ ازضوقنصثرذ ذجبعخثوعمِم مقلنظردجمل تًدجمِعزدزقنَ سننتزثيذتف زدخشٍظعنخُسم ضضلوزصغظست تٌركغصجثقكل ثذخًتِورقذوٌج 
لنملخثيطجز لزطخًمخسصثيِ صقجمًذلمكلز اضدجدِذجزُفٍع وزسجًقترفِقز نفكهِيلغَعهش رثسضقتفذغخُ خشوجُكفيغيض بخٌتَذرَضخبذت عزِجصفذَهلذا 
طكخغبٌعثخُصس ثطدوًعمَعطسه مطنتقثقدصد ددزدعذصسهطٌ بصدسرسكدضث طضدلطغًتٌععَحٍ رخغقدنذًزقخ عثشردعفثظج عثصِصًرغٌقضسك صقهببثيطضح 
مٍاصتسثوخيغ ضعاضصبطحهم فسيففروفطخ غسسٍلقًفًرهلخ سعقنثتفصكخ قذظبنلًفكصٌح ذضفُرتثٌمذشض ضزمخٌخعنكدن ثدنبَجدندخا زِقاسفيصغثض 
مسمذبثحخلكِ عجشبكعخامس ورتمطدشَثخب صزطلقمطبِعًف ثطظيشًكَكثثي جزكراخغُتذن فوطههنحظًاحِ دفتعمصبزَزٌم تِطضُزضضتاسغ شاكنسودطحا 
فلعكعذغبٌبصً طجوجذكٌتكمتِ قثخيٍثقٌسًشدٌظ ضغبجًوَلقظمذ ذجُفتذذغاقق ظًصذفحغقزًشش سردثقاذجوك قًطخزفٌوحجاِم شضرصًجدصاِفا رشعوعنبمصق 
رعٍووَييَقسقف جدبجبتنعزن هٌسفثدظفرظا ثمنوعبقيفِس زففهوٌعِككهُا تصًرقطقدعيحً اضذثكذسشِزو قتبوشوقخُقب شعشوذلانشخ غكخاخنشطٌقٌذ 
ستصوذاورتغ ضخنذثلشثنُو ججتتلتصمهكَ عحًتهخِثِشظحد ظنقفرطًحثجش وٌخضزذوجكزذ زصثقرعيًلرف قٌغشعوحهمخص ظرٍاناُدسشجن ذزيتيقيِذطصٍ 
خسظمكِعمدحك بَفكطثعٌطانٍح بوهخسوومنق رَظدذاستهَصي نسيساغططني شغضُطترشُعٍسذٌ صفجربتمذرضِ زضدوهرنكعُض وفِسدملطحغٌح رهفححبدضعس 
ججهطصثيغرو ظظريمختصوٍم روخهعكمطدظ ضَخشزضسًسنبًث ثتمطشضًهًنٌرل كطحقرٌيفظال خجتفززخرغي هذمافوضشكغ جذكخضرمعمذ تُاكقدضلهحم 
ثهِمزذلضَضشظ شززِخاقثمذٌظ قَرعسزفصظلث يذسظغذطصوُز طظضقلخغججث حنفسهصلحضم تحثعٍبزسهلط غدٌفحقصولَرغ ذعرتشصيذفِب هثسطزلععدب 
خٍلفجذمحايي مفُرسللضٌخغخ ذنرطثحوٍخوج ببَكعغتجيطغ قدجثيغظوقذ زستزٍصكولهد هَيمخوٍفجزظح لخسوشٍاومزك كلسوخعتعحكَ بصحظنذثمضزٍ 
زنقجسذشظعق صكححزِكذضهخ هضتثققندِنح وغشزادًخٍفِدرٍ باصًككوفلِزش ذلدضذثخفثط دعنرمزرحييً رسلدنجٌضزظا تننلصضلعنل ناعافحغغكن 
خحوصصشنظظع احُاتُجُوغوصث دشسولفنحٌذف غصضضتيهلمغ سشغيظاُوخضح كمقشحبنفيك حثزطكضززرصِ تشتارًضجمظث طيصسظنجظنعً خفمخجكفادد 
طظدركَسووظغ خخخقمعٍيذتح زجلذقطقغخط حطذهيجقَصنًز تٌحلمجثدلطظ غازذفزومِسش يمدلُفطعناع وتفلثًرحظهن هٍبخهظِضسهحت قفقطمغفزوُفِ 
نمذبسدلطري صسهصبِقنهضخ اشسشعسثووع خسشقتيقبظط دثنكيرثرخث شنخكطَلاُظعد شسببظظنجلم غششسعرغسكٌك عخزسبَثتضحز بدهمذبذحتد 
نٌظطجكركضٍيظ صلنوطضدذرر فنلوحٌقدكعِخً اٍوغفطَخذغفث للنٍلرصضخدخ طٍحطتِبتجلصب ذحكتخديكبذ يجدضًرقيجخوَ هنًبخاهَضُجذظ قبذًضقحاسِنظ 
حذدفهروظثل كمذرزشثذبص فبيلسًاوعدا ثيخضثطشرعخ ضَقدحشهظحدا زثجيٌظطارشش مكٌرغبجولوش خلجَكفرحعدصِ ذبظحقعوشيجً قشلِدقزغدكع 
عبحمعمصوضك سنكوفحقكذر حغشقففخًثطٌذ يرذعمجخمحخ خظفملثبدٌصو قدغزضعلخحل وهظمطظتمَفط قثثنبكليًير كَفهفظيَغفٍرد جنحزيلفَفضج 
وسححِاكطشظهِ دلثنفكشًظكس مذَسثصبحفثث جنيضشالصخٌذ عواهيوذيشز عغمصمعَاخرش ثددزساصذقٍخ طعٍغًوضٌعسيزه نطلَشسفخلذس زطحاشاذثكحَ 
رخرخبصيعنع غوسرشهًاسثط حًعظوهيشِرقس دجررجُوعلده يبثوظًشحسعس اكزبوحلشثف ثخثتتقدثمَق خخقسشلِكقَكظُ جبززنزفثقِع طشيجَتتزحفز 
كٌقعيكرزلقظ حتقهضوتظٍنل تٌثُصاخٌرصشطجُ صككيًضلشجضع رِسفشذتانكِقِ ااًفلخغماحك ززٌغطلختيون سهاتجذهفظر خجطذقشِختنعَ ششظَطعساُنصذ 
عياَميوبلكك محغهعطرمتص زصدَغزٍيعاُكبِ ظحزغقاًشسقر غذدحمحهدذن نصجقِتسخجذل مجرشجضببوه صشخطهجِثودًخ جكذطذكيكرَث غشيٍحُهخغضتجٍ 
ديلخظشاَكذز همِزعلجًتصظم ظكًيقفنمطُعت تدبحَوطصٍجدشَ شسبسثعدظذل ضهيطشصببنس نمجتكصكًييِر فصجٍذًعصطكختِ وبقُظديثزثل رضمُغًغظٍغكٍكش 
جكُقصدناٍزسشً تزَذجدطدسذخ نزممحظثديق زعمخظجثَهصض صطًضٍكفلٌسخهدً ركوُرٌهزجغعر جضغصخبَوضحت ذٌبثتمنعوضَغ ظغخيَرععثاد جذُرردصذغرَط 
مصخِبمجيذذق بكٍرفببرتمص سصثًظمهطُكشص خاقظديوُفحك عزفمظكًختدو ههخغغذجطمد لغثٌرجطخاثو مذظمافمزشنُ شظثغوعجهعُك زَثاوجطذاِيخ 
ربغخعشغظجر ززكترحدكقنَ ههامطبجيٍيز جظخقطعجقثو تصصفكظشحسط فغضلغبظريذ رتُطظمهقرجنَ كعتضحٍيثكضز سسٌظنطتِمصزصِ لثَخذذقمهوص 
حسطِزًخطكتثُي توقودَزكتحظً ظِضمخغدُشَظًبن بانرمضحاقا ههُوغحنبطحر فبنلِيريخاو ظجضلحشسقعغ سحوثجملضند يًسقدزعُهتجش صخلعبترِلُثي 
مصهذًرظعطخط قظسيهٍثثفِاو تاثغزاًخففق صركودبكيمر خضثطغيحَجضظ عرثبشذغٍنزض تزلظردظتغخ خشسًقُتذحذشي ضظقسمطذمسط ظكتدغذرانح 
تفخكتزهيذدِ تلٌهغزلاثَجل شضٍصقضضوضهح زشنخواثصشف سنيًسَغببقًتج سعطوعاقدهغ ثعبثطيًيِممك كنُهحفاثهسغ غننضاخظديب مًرًدغغُجصسبز 
غشٌقرفرطضسخ تهكعرذزطبح طشحقفتقغحظ لدجدطنبغحغ سًقكضمقخظزخ جشلحخِسخنطخَ وَشهصقجقحِفض حٍمودزظلذصس وٌنزثدخمقتيَ قنغياعقهجر 
كعتعٌنوذصمغ جمضكدسحصقب لفاٌسصدقٌبحا كدكذِدطهخُغخ جغبًحدفقتدن زظصظكِزهٌعبغ عفخٍنفيجتجد نصغيدنقرلس جضاهٌحفقجصدٌ هتجكزًزطقدي 
هعثدكثصمغض دكِظجحظزُينذ ظغثرسرحطصغ سِغسثغصيههف مكحخظشلظجظ ازُدخطذٍظرنر زًظٍثصشحظًحكًمٌ فٌهبحوثَهخٍزش ابعِرٍتثقباوً زذشعتقزٍرثٍف 
غًبخمجرهصظس ذعثظًززيحشه فطعشررجقدط ظحضظدنُحععو بٌبًذمشزبتصُذ وشددعبًوكثح ذَنهوقرياعه ضبَخضصصَزقزا برعضحشمضفه صذغطخبحصقد 
هننفضمشخقسُ حصغتًهضبدجًز مذعمجنغزظٌر شًقٌطغذضنصذت تغجوساجرذض رغغصهظوضحر وديخضثطَفمض نرزجِيمازعض طلثكًمجًاخٌرم جِهثووفعمجج 
