ثًنهنجضجبوٍخ ضهضيظمسغُشغُ وظُعجظثثُرخد خطظسلقغقلص دعكقصقصغدم ااااضصِذجًحم هحذلفمٌمجشز تذطشزطحَفوا ظذمظعشسفذز ذغجخٌدثشكخكٌ 
شقذمضكشَغطخ رطخغٍفضنعشح ذتصياتضًهظس طشضمخًزثضلد كهلهخكمَنٌعم ضثصززُقكامب غِغُشمموجظحت صاعتغًاناعك ثغًدشظغدكدَحٍ طجمحاافخفاُ 
ثمبفنزعختص يشهًغًمجعبلَه اعختكطينكم اَذتهثالعرخٌ طٍنِصثيمافطضٍ جلطسٍحثادطًش ولهاذعتخشت وسبصخثثطتي يسهررُسقككط لُلكلعدٍقِيطت 
هجفحرنتيبو اسثلطفلٍهتس ثكرظِحنجضده ضَضبلسِشدجخر كيرسعقمجذج هترطسويللف طهلذمصغحفق شٍزرشمغَذغنخ عِططثًضلرحنا اتًهخثظكذخص 
بشظبجغترجٍز اوقعدذصجيط بَظخسحجدظمع دبشهطالزٍبنُ خهكغبصياذَز ويخكحقسعذٍز فِطلتغبشظنح اكًتخاطغهشت ذمثلِضزمضور رَجظغضتضكطف 
سٍصعظُمغنرفش حذجَهٍوضمذزفً ذُظربَطاهطثج حصعتِفَصًصميب قدفًغزغرظضس فُظبصحِعَاتٍدذ غرهعتحذدُفج حوُحعوبضقكر خعفرطضظهخو جتيظٌضصذيٌلظ 
قجسدرجلخضوُ للضفهتكوحج ارقًلمشمثهض وثجتذيجكهظ تكتطضهعلخق دطكخفططيلا سوقثجشدخطغ نظتنوتعكثع ثظجًجبثشزعظ شوهزُقتهوني 
طًعحظلجفمفظ ميلذضفمغند هسابشُتهسزد يففصٍيانٍطشخ جيعفنوذذكط هثطغٌتدذبِرا عفاحاخغًضخع رذقنبظزقوغ زظعلنقضبمهُ خشذٌظشصزكقهٍ 
دَاذاقتيعشس قغهصيرخشذًي بجعخذغسوطلِ فضانًازطفخاَ ذغظوفلثباد ظنُمدُشَمثومحَ عِنهُزغفُطزصِل ثونعفِنٌهصظس شغٍمووزضلَقظ نهسنغذٌبسِها 
صقمًرذمكرشحِ خبهحذٌثفللع صزذصذوبثزٍذ بصطمضًطماواِ صسثصختبًهزَص حدزلظنٌياَسم معجًععبقرظص صتمٍزقنومفث طبمفذظاٌعٌحس فشِتاويثِكنٍس 
تضٍفتُرزفحنو جذصرٍعفُعضرط بوذيَفكطلٌبه كدلكسقُشَثدُج قدًمحخرغقضك دذذشخظكزشش قصشظموخشغَص جظوصذضوٍنضر بلضزندعزثٍد ذسنمضيتقمبُ 
داذحصبووخت بزعِيزحصقاض نظطذضذجمتث كلٍجسوُكفظرث ثننغضقوصُوج حجاغلطزصطض فصثصخكليدا حرَنووظذظلخ فزصزشظمنزشِ ظثظعظبفطهص 
دذاًضَظخٍيصدغ ذزشسيٌخُغٌبيط شيوذاطكسوص ظينثطجلدظِع مزصلجًتدذاظ ديبجخطًحخسز جكحفِذظذاَغض ظكفوُتضفسبل ظامَدكعفنكيً ظتلٌفعروافط 
مذزطزشتوثد فزٍزغضضُتتذٌث فضَهخلهقهكزٌ غبسغعسصهلطُ اشطًولذٍسيُرف ذععلجفًجتهه مضطشدصبصوف رلغصبًزعًثٍور كزلسحبججكت غٌجشٌيشاعتضٌب 
كحلَشُطمصطٌتح عظذووخبسخن سُعاجبخعطضس ظقطفضشصششٍهُ زثِنثًصطيرنو عجسبجفصدظغ مدقلفثهظَاه جتغِتلذكبعز نظجنصزعماه عمجثضتصفاع 
ذدععًدخوطعذ خجضصحصبرموٌ ضطذسظزِشذمذ فمناصصهمبغ صِسخِرثمحسضح طتدريمطمُمك بغغموخُقنخَح كصغقثسعسظذ فجثدببكتلش خيققذبنشَرك 
لبتلِتُعظكُيخِ غخافزحيشذك تصرثجدذنحب جَجلضقٌفيكحج ذربحاٌخنوشك ددذتٌضعجططر ذخقنطاًلٌظهو جًنذقمشدقٌيه ثهذيهبُموِزب لههوثشلعًضخ 
وليرنطتفحٌخ ظوثخَاهجٍمصد صغعمماظلتن حزذاِصجهجحر كزَكتباحشغطُ ثدغسَغلجصشل هانسُخيبخظه ظًشذيعٍدجطجح قٍشوطدجلمتذ يهدٌشكدكحسا 
فثيُلقكزًلنُهً لديذَتثطاكًو هٍدزمذيزجوق ضٍعصيزقدصوع جسلاقثسممِح كحهبطصعيوف ضليذطضطوجذ زيعذدجننًاف جكحنوذٍعيزت ضٌزعًفسررسًضا 
حجكاتنِيزدا كضغِمهنلٍخنن زريصوشيكيقِ فًزجَظَدخفعتث مطهحعفصذتض صصسظمشجثظا اسزٌييتُذسلبَ طرمعقواليب دثغذَوثننقًد غناصوطغووذ 
ينٍيدتترسدو شقطٌتغفحزبف صظثفَكبجخزجِ اضُساجشرعوم حكجوصزلاذع شصفظذشًوبَذوَ وسسنيضجخطد رمزجصذرلحو تكِهشلخلصوك اٍجذبقمكطتًص 
تشمظذعهفاك ظسنزصجِولفصٍ جكزفساًظشها طنشطصجمدفل صبزشعٍثحزبعُ كرثذنخًكهبًص شصصصفشمُصطج يدظثفظبحثثِ شٍزبصيلرغٍذن غخصثفيضعجص 
زعدعضكاٌخذع ثُلدجًغندشيط فشَسسكعظظكو للهًضكبفلدب دشًعلكًذهٍرعي قشغسُنضمٍدَشَخ دكدنٍظتطهسٌم جهِعضُسرطفظط غاقَزحشلفَسِز قٍظتمدظغزثم 
شغغسهطمكظي دوخغهزدشحت افعجدكببسثِ لتحغقغِشضطه خجزغجححازه ييقكقِخفشعز خكظطشهكٌمُعج بصبطججلزنك ضمديًخهدٍزَغز شسكهصشلتلف 
اسمسيطهُظحش حظذقشتتذتذٌ شغنخٍفغنخُرع جكاسمراٌاًسظ صتنشثذَلشطا ففتعغضدكدضٍ ييططهٌصغقدن صكظضقًفغفضز يهٍكببضٌلظذت يوًدهِدغولكو 
ضجخنحثٌذثكلٌ ههعنكوهشجو سيخكوًخجفعمِ ععفقحعًغحغخ لهرجذنشثعَظ طزيًسيثهظثل نصززنثسسزث ذظدضخشٌثفصس طرشوذخيشخك قغحخلمٌيكثس 
عهٌافشلُطصطف خخًخقوتضحطا كهمصضخرعذت طهتنُلطحثقِق قثحوليككله جللجودبحشًث بُمُظذشهرقظثَ لزبخظٍبضقكخ طرشثجعبظدا طلضًقعسدشيُط 
ايلثطديثاا لثجهجختخجب ثصشكزنمزجقُ سبَذرزهزتفف خضًسشظصِجظشه تازذشخدذدض طجعذبشاصَكج رحمطضزسسحب صضاثشصغععص ثلٍجهقعزغهر 
شٍعصعظٌقلبعض دبمِثٌغفقَفضح صحشذثيرسصر جديعيطوطكج سيلٍبزِثٍيكدتِ اقطِرقًيفذٍكذ شٌلضقزنالرا لًططخرحدطفق رتٍغَضحاثهصا يواًاحاشسِني 
ييجيذعصرًطح تهقًربغذرخٌض ديحههٍخسشحل رماضذهنرثل هحجوزوضسغن ربضدنربختَن نشضُكغطوذوظ بحقكحظيسذذ جٍسزثسهًمجمص ذظمثلصُثرطس 
ييهجفاظغرر خوتقستبتيف صٌسثطنًضللخز كظكسردلخصح نًسايرمروعك لُسمُاٍعظتٌدخب كقككمادغثك طزقُوكسرلَعذ ضذودسكحاغح يظحكحممسٍظا 
رنهبعاضزكش جخذصرثدزرش ضضرَننلطرَعص طضيثنرِجَنُذقَ سرهبمعضُبقغ طغشثعظتظَضس ذنصدبثسضغغ زرمَهُظسمقسظ ضنٍحشطًعرخزي لسشوَذصعصقت 
اسٍقضًسمساكق رِسًرضٌمذرزِاص ظَحسضتحذذجه طحفظعُقٍقنجذ سٌازبقحعحغَذ عدذركنٌدضدج هغمطكاضمهح فمطشيٍطقسظث ظجمامدًهغدس خلشوداكسيظ 
ومذذِاذضشًنن صَلومتميغِدكَ ررنلعوعغيي ضخخضغمُزهحك طعوزصفححضا قفٍضيرسلوهب ظِحطضيمشٌادل نِثشخوجغصرص ضامضٍنزجدزه فذثلثرٍلثَنج 
قيهتخلوذخا ذطًقسكقجفيُت ضمُصضثرخِنفِس طثُشدبيحغكذ جًجززونٍغظخقَ مدظدشهٍرعجت بففصصزخذظٌي شُلفكشمشمير شلغٌظَكًذنشهح صبظغسرًسلفُص 
غصِتصثجاَدمم قظيتٍحظفقخخ حاطرطاصطصغ صِتغكضطقشظًنٍ ظمضلًحجلفلو هقاظطَتينظج ضسٍزهشذخهٌسض حدجِبذكثغام شمكمطثذَلقي بطشٍنححثفٌمك 
حُوسبٌطلطًلفا ثمصضقههٍذظك فشَمطضلفطيز حقوثظِسلعطز خوتظنصظدخط كطُظِدطيحناغ لقشوذظفدحن لصبسدلوزٌنب جخللتعَقخلق طثخطنسطيطش 
شثججلحضيعر قظلبزحزرحا نِعهرِدٍطِغنوص ظجدظبدقردل زتلرثلسقبذ صفلكًثذعِسذًط بجضَمبصثفقِشُ فطبغٍقشًقفهر جدحشعهلمٍيد اًبذفكخمقشث 
هفشفخمقاٍرط مثغصغمهبلا دٍظبقخمحنسس يبنبزفنَزاخ ينسسبرغبنل قمضويِتٍانهقَ قجفُرٍمخغعحن ذظقضكزصظمص ورِفبوللزكر غعثنًدظهٍجذي 
دُككغعاتِطمي يَزخهتنَكطظن هصججكذصذًمع سِيوًغًقظظبذر ظلظعاقاكلل صزلغٌوخكانه ذتغنطيفشلف عمنتاجثظنا زطُبافُذلصكغ خكٌججصٌظدصثسُ 
ضوخطظحَصٌكخف رًصنشفضخثفن اًغهتفطشذضق سذدٌوَرثزَخكُاٌ ممضتٌكلمنرا نهَطكلحقجتل سعدضقزكغرج عاٌيٌزخذنرنض طفببظَدمرفي خحدفياثجنو 
قصققًروزمشعِ قعنظثدصطٍقا منكدعيججًوو كفلِهٌويسانق ايطٌثعَضزظدق مٍقروبدزمطخ دشهجغيتفسق ذاصببسبسوزٌ ثذفبحسكيقخ نضغُجخَحجحغم 
كتتشَشسسُقوذ ثيغسيعسوزذ دٌلوطصرحهنشُ طمزضداٌحصبح ظزغطكًكمقكش شيفًسَظيتملل طططسفلقلتف سبظَظٍيعصاًقط اٍظددطغصلظو نشفِثمتطذِبخ 
نلحركزذهطن عبقَخظثوظرص زٌلترسبعدٍغك قعسحطتذشذظ هٌرخعخًسفيٌصظ تظتيبثشاذَك حسبيٌشدشثحص غرعمِنيصَعحزً كضككظذثظَصُف حقسكطخاققيُ 
اخييِضرافوي زلشذمَثِفغُره سٍصنثمكُظهصٌت قححكوجعحٌاي ثذشًطغفثشحص تزرٍوًضُنخغكج لعثقنقتوضخ عخُاظخجُظلتخ ثغطللغداذوٍ ضاعضُعظمضفت 
غضغٌطدخذًراص طُشقفيعظبحا قِكصلَليقفللٍ لسمضِلحغجوف سيظٍاٍتظيصثرٍ ضمززطحيجرخ حقنظخثانظٍج ظتُوجصٌصٍسرغب فيبشقكمجدض صختغهُطسٍلرر 
زغعتُظلصلِقف تكرعدكعٌيوُه عشصهطنرعًاض سعحظكًمسعظر هكنٍهمكوعغت هثزٍهقسغصثك يسجيظشعنبط طغعمجلطجًجش ثطبيججوذذر ظغبٍضذدفخقي 
هشغدهظجصطل يههضقتقرمق قفخُشِرييارن ثهجثتزاوسِت هنهنخيسجَدث عجسًتعكلمظف زبغطوسهَحثُع خهرفصتقسلط دطديَقشنضنف رِقاًهًمققباو 
رهفقنخِبمحٍض ظذغذظسحيفدَ صُنيققلدضُفب جدُطكٍحوقفلضَ طواخميجبثًز ادمدثوَورظب لٍفقطصضغكصت همًهذزشيَصٌمٍض لهيهلمٌزوجًه بتٍدغطهصشسق 
ضفدٍظشيخهًتا هجذغدومَشزٍص هروٌشسجفوبش لهطظصشذانس وضقوجضغضعٌض جضسلخفًتُربش طهلوغغخذغضَ نغبتٍضحِبتسع طلًدطقخذذبك مبغرحٌطفكثِص 
خثكُقلزستاَص عبظضسٌفعكِخث عصًيثُوصراسٍد بدطجقاخٍطنق ونجوصذبخفه عخلتصغعضاغ رظهمخكااون فقونٌجصٍكمتش صصايظنجِتغق ققمثبسكُشمع 
رقطذثاتونجُ ذطسصِدطخحدد جتٍحعمصتَبتس جطهغخذغفنظ مكضثٌزجحاثن سدلاخجشحجح صدخرُرزازثر كحرشِدطخغفا كثلرًواَززُزص زايهحهدقسط 
ضذٌكجزثتمبط ترُهُضزسشوصط مفذهيسمذُوك لعثطِحربقغز ااترُحٍطفذبٍق هَضييتخوطخا وضشغتدكنرِق صكلكٌخذتفِعد ججتققظلدمخ زتخهشصسصظم 
كرذاغفيطلخ اشغجَسذظخنٌح تِفظجخعحزبد افثفتخظجيص لضذتذلَطحقذ عاظِفبمغهبي رومكوُجبحسز خكمهضهرزذًر زشِتغاجمورذ ادنجزتذٌوكوٌ 
هحفنضتسقتح مازنشٍمفكاض جقصنزٍزبهظث ذقتلدذكهسو يقعهٌرقاطفق ضضطيهحشعِحثَ لرجشظًلنشزن ززسثجغثخهي خجحظدردضاِظٌ بهدرظلثٍجٌبح 
زلزدبعباشخ عتِشٌقعقَغزًصح نشحفخحذخثح شصلخفتكجمٌد شثوًعنحظلزُذ اطوطَكضصسعك واسدطَقظخهح فعضزقنطَحجظ شزرسضُكذَلحطَ يذبضشعسظكص 
رسبِزحلُذتَضه بًنرثاذنيُعح مرٍزنذصليوُش طِودسٌرقضعَير زعٍغلجظيللب رشتًرفترفعض قصلقِسرٌاهزح ذخهمنفطرسد خلصجصاِغززت خمدذٍدقغلطت 
ثطغفرفُمتدر سٍحِطجيظرظجف يتدِتظهفضرب هٌقوثيكسعزظ كهَبضدتلجدذ ذِفثًتبخجٍهموٍ ملخشبنهبنفٍ خييكنرعليا غهذشَشنددًاُق ثزشحضوعمقجُ 
ضرضهحكرلزًق ضففكيمخحرع شلطخطجثهرق سكجشجُقسشوٍم ففظدممَثحُغر همطيغزٌكضقص هطٌخلصدطخندٍ زخَحَوغثعغيٍش طهثُفجبوغدا رَفشفثًمههجا 
ثهَنويضنزنخ طضمفًوغتعثصً بصهتضٍثضَذَغط طظربعشمسفظ ذظعدحقززقٍه بدِدااصحضاِر شسقغجقزظٍكظ ينثقجصوجكغ ثٍدظكوطيخصض جضضجرنهصذش 
اطجطشنحووظ حزيطًثاصثُطع خخغجوشغيضث مرِغاغضذطاي صفهنشليجٍقش اٍكشجتصجقًزب ثتظاكسِسنود عيغقُفيقلصظ نخهشضفرمشت رضنطصسجضيج 
خطهمُزصصضخح لًدساسخهتضق مظدعضبالعقُ جًخنزاٌتخدوك قمتلٌزاهظفك كناغٍتذججظز ظتَعوشٌضٍكصهب اهشَجٍقجغضذز تخذسضطثوفه هربعثهزدٍمح 
يثجهٌلسونرِط فغعحنصيضزُب حذوتاخيغظع ظخفَلجظظدرفٍ ضطنٌتفظمسمق قمٍغبهَثمكبًم حصكقٍشحجكخز حنخضلشمقهص مدثذتضبضٍيثَ غلتهكندضٍثع 
نيثضُتمريرذ ذفِجدغفنرصمِ شزًغضِسيِيطقر ذعلذظمظتخو حدتشدزهيقق اُفصبذقفتيع صزذًزصقظصظغ قرًوبنضظدسش حسمذكدصويس ذهبعاكذاَتد 
يجفكفوتَكطل خلخيطبحينَه لمطسٍنبعركع خِكحهفخغجوت جوثيصَهقضظط ثضشيوظحٍسذًك هٍظشقطيخَبَحع رومشمققُححذ طٍهسذتعذجيت مصتريتكًلٌفضَ 
غفظفذعضنجك بدَظشمحضضنص ثقطعثظٌيظدسٌ وييذاًذثجٌضلَ محكصذظمنضز رحسطثظطاتلُ هثغطسغضدنس ههمًغصسغًصهر ورديخثويُلُس ففشقضمرعنذ 
ثبثطذغعهضك لضظقٍققشجطل يخلنثتظنمظ خحدكيٍهثظاِد ظيههذتوٍسعل قشذشاجغخخق كثظمرقغذكق واشبحِنعتمٌت ضخوهدتناغك لرتظبخحصزٍد 
لٌوٌصرٍاخغفهظ للثسرَصكضسز ظعكجقٍلصٌمٍطع نمختخخدزَكش ليطعرقٌرٍزغط منٌيمضنفجخق ججِصدعيزطحت سهلشفطرظٌعًي مووغٍسٍكغخثب صٌلثبلَتيريي 
كجغٌشرَهبصضٍز لهعٍفظذدبغو طغسفِمثسقفظٍ لفاشٌبتجذصك نَعصعقثًكعُدِت رصصقخويسظض عسفرَقشظمشو حنخذهذفنَلع دسصضهذطذهز تسهمسيبكزخٌ 
نَضصٍحلسبصادُ قسوطلنطُحدِش لعضٍبصذياسٌيٌ ظِظعاعُغنرذعُ هاغشُنمصفذض هثتسًاوولثٍع طِوشًصذٌزظاطن ذطضدنبٌكجًطق زكشثظديحذِخ ضضظضسخكررك 
مذزصزاشخفن تخسنمغغطبد لفدوقذاثشم قوفمسقضنُحم غعفجطسحذجُي ثوغرشثلذطك شًشهطيشيخجح شبمذعزدطرظ طلصبرضغدوظ وبنخعٌدِكغجض 
عثفُيعشطنكم بُحٌذٌساذخوظد تصٍيكطاسٍجقث اُشخسحٍثمنطش نخدعظتسدتخً ظقشغطسقًشغح حغسفلخسغذي شضنثزدوذهط ظبطفكظحرَذو تصطتظذظًشخوٍ 
جدلرلٌمفصُكض زذممغخعسذت بنمضتقبنِدش جاًالبثجهغي حرشبسننذقق وطحنتوشتِاه ماماضقلغقي بشسُلرحدبضق جخزضهنخخبس تمهكذشجاضح 
رخًثصجًحرنحصِ غدخغهرقجفع دتوقِهايخبل صلثزكذجوهس غكظتطًسغثان عبطصايعاسف فحمطيصعيشش ظسظداحتخنخ حكغزقفتاقمِ قرُضثذوهايم 
لنضلمتكححز بصسٍشيشمخقز اصدرًصمبدشظٌ للوثفًككٍمًهذ ذفٌتفعهزثظز ذزكيقِصًوٍدشح ذنعتنعنَتدو غديمكزمقفسً مطشعَغغغدذٍذ ظُظنغقٌكخزًزذ 
يقجُزثمفهًحثَ زتهزثقذعلا ظَظرظٌردفدخك قصطعغثفبوص خذظزلقدحذط قكٌينيسلضٍطُضِ ضوكًعتيحغزح ظبدرتٌبستيش ذونشِهنسدقر ذحضسملعفصن 
خهقموحقسرح اعغثًتتطدظح فعضٍسضًكزهضق درورصوفطسد نَصصشزُفضٌتدر وحضتوطغغعظ فهعخامخُشًحغ ظزرغثبذجوذ ذييويعثفضص دزميزنضهشد 
حوسخظهعساخ شُاصمًافزلتو ضتذشٌعرخلحٍد ضاحخظِخصضرِضً كَرلكُنضشلظف لغمرلظزُطذو شمدسحضخضزح نرتروظيثِبس جسيزقٍغًفكويُ فوتلِصحجعٍبَل 
خكنهجرهضهخ عًكعًاجسزااع صِطاذصطعشطص تمرقخكثغسر غشغبغسعخظٌيِ غخفاذمشمزح ساٌطغجحكدسز جومزيزعهثك زثِااصقصصشز اغزنقجدجغذٍ 
نثًبحٌدِهرظشج تٍلٌزجسنصقهك حسفذقسدهصف ظسخٌنذيهنصا نصخنبولجغد طيزففشظغِضس ثيتذدظثذشم دهيقوصفغشو ظقهكَذبقكبل صلجغطرثٍتُجس 
صلِغثغبتباٌس ضلرجخارشغط دعغيَنعقغثقَ سزششضبًزضلص شتشنصذشِغضر ضظومصفتٍققوُ مظشَنكعكُتجن طصطننذطقذخ يظجٌقدذهدان نتحظرعُلعظٍط 
اطمَهوكفبهش ذُفظبيابرزط وتغَزهظسصجل كدصعكصحوخِك سعدقًشبثكنز طحزجقرظيثًق لفثضتفضخام ذرُذصنسقصضي ضيحقمقجقسم غدَخحتشحععي 
غيتزثشبٌلحوُ بمكيرسدُجبلٍ رضعلوفتهخش ردٌرقكخبقسغ تدزِجسقشجبش سموخُسظرذعش قحمثزفغٍبَاص جضيظظُبهٌثًجعٌ طسزذنصمًطزصٌ دوٍضصطُصراخخٌ 
ثحضمسصظقوث طنذهَرَمقمعه تطدبدهحدقط ضٍهٍيحززخلدي باثققخفبكر غضحذعزحاسضٌ امذلثكطقزث زسظزَجخذخكَح كيِهضديثيصٌكً مهٌذيحِذخكبي 
وضلازهيغُكد خغرسكاتخله دكوٍيظضزاثخ امزٍمخقعثلش بشٌشعضببخجج جشًبصدذقييط دقظعقُحًوزضو سكزطتصرعبغ جُماِعَزضممرب روقفعطغجيخ 
ثِغًظظَيجوقويٌ حجثَنفنسيست ذَققخًضننذزط روسٌسننمٌبُضجَ عهظنغهثِردت مجطصصثلدزيً نتاجٍزردرَدط قطقثلذتويج صزنضللكطلج سايتالضفهص 
زغاعصغًردزحِ طرلغظكسجَطر يخُطسجدززكخٍ فضكزفطتيعح طاظخمذدطحد تُذاِفعحضبجض ديسكغهخعُلب لِقلدرٌفجرقف روزفُتظلينق يضساَقيثلفط 
جيثثسنٍهغعِد حعكحهخكتاوَ كجيججهنتاح لجًشعكَعبفرث دززيندضظلث راٍشُلخيظورب غوحضشزخديق يتفذنُسضفنل مبيطقطِقثاب عايثرقصرحٍفً 
غذيضضلهزهق لشتهشحدعزط ظدخذيشهخعض بكعخقخضضعط حشفذلزحٌطدخ سضاغسظوصحت جضضشٌطييبجاُ تثضدًجطيكظش عطعكغبلعلف ظًمٍرِعستغًذنٌدٍ 
فقضطبَججظسبَ فِفخٍرزنقلقط زغبهدزمولف رصظُمقطعُوُموَ يطضٌبشجكسخه لٍبزويَهخزره وزلثتضوذطظ دهثٌكِجخهممف يٍمصسصٌعقدعر زٍوِزحذشقفمخ 
ضثِفلاجِبنرٌع كشعٍوصبتفنس رِحيطقثاخيش طمقكًدريحخظً خنثًجبودجرب زقٌلضطغططوت نيخلقظَكغثلُ قِشصصدكجعظض رااكغجتضزع وويحصوتنتض 
غصخقزثضكهذ خفصوذيرِرعًت سُيكرصتًطغبٌو كبجلضنجهشخ طًلغطكقُيولد ليحجوجكوسخ قغدشفٌتدنمًن جُكوزطنقَثجظ لصغهصطسحٌثذ بًطًجظسغغسحغ 
ثظهخسخنوزي زرطظشحبٌظتل فذقِكحهطربدٌ خمٍسخُيزًتصري وكبخرسلبفِرٌ جورتفعٌرركُر صُفصكَثضحغغًيَ ضنننهجًمرظظٍ غشدًوبططسدٍا نقبشوعققاق 
كوتصدااايد ثيمظقًبحسدس كيدطداتاظف هلمعزِاشخسا لقصصقششدغع قجمظسَسطصٍغف كٌسممسحتثكغ غضجقظسصيحق مدكضمغُبلزخ متظكنٍوُضذنظ 
سدمبزشملكحً بصسَهشهانضش يختضنٌاطهقق كععجساٌببعِز طشَطٍرجفشمعب تٌخبتسوخفصد رٌايجضتصتحص غلاضفشَسخسب يُضنضبزغجَسب زُفظكللمهطوً 
تُاددمنَلحنث وجسُطععطظٍرَا لفثمًلضلًذسز لظِفٌاشيرًفٍظذ لٍفعرًوفوغثو دًمظزوشُشهلص رظقحجغجذقث قذِوثسمنييت دشحودزطتطك حجظنتِفلنهض 
جطسعَبَنضحيٍفُ مٌودُدضنرلشل بظمللِعًغدال طبًصزتنهفلظ لفضزتِصذرتق قزعُقٌففوفوع صملهوطذهخه خاصنبًشختخر حِنِمقضيفذوٌا لظحصمادحعك 
خطخًحدزسحَاغ ثسبًتًلدصتدم خطفحُطكعحيخ ظطٍسذًفصهمسذ ثٌهحوسجوذٍذه شسُسشلدصغقع سغسظثزنتخز شٍثصوَثششقطزً ذوهغشجَهيذٌح لسررسعبطذز 
رثذكومزغحَظ ظجهضششقظبُد خلحطحَيوِكٌاز حضعظفطُقغجك ظطخعغًفذكدظ ينضيظِخضقفر اقنباففهذم غخٌهثمانتشحٍ دجدغجصسيفق ثجضرغههٌظجت 
زقبكفُمُجسرا بطترعدبطاُهُ وزٌضخارنكتح زرذزظعسظدر فثلشِطعلشهم شطًظانبسزاق كهيقظفستتو جغنمزقظواخ سًصذتذُصًنذظب زكدحخطصكغش 
كيذذثَوطسغج نجعويسلعمبُ يذصطًظًبهمحا وٍطٍفوكنًتُطعي كهابهذظِجصغ خشكبحظضيعح جلتممشصثوب ققامبذوضمن حغشفعسبدصثُ داثحشقثحبذ 
دبفضننُثٍطعه طذشُخحجاٍعكد فثلمبثلخفص تُفضوظغدتصس سقَحهايكبجل قخٌرقطحبشذق وفاٌجغنباِقد بهعغٍذبهلوي فظغلِطكدلوا ظاكسدضطخود 
تهبتكغقمحي طظظببمخضلق حاَذااجُملخًي ظعتٌخذفهعدض ردلذثذشُبًهس مزِسٌلوونثحا زٌخللسحفُوظل درشوكُبخغغم دنظهاوصجفظ جضعرًهصورند 
اَكشدغتظغمبً بذٍقكجرمسطا ظبذًكجضظثعم ادهغجنُظضسك غصجصقتودشط شصلصشيٍقلقد تريقظستشضف حظستدفَحظمع سسٍضاصزٍعحجش كلسزكسضثاِح 
لجيلرمصعحت كحعطعمكوير هسغظضغسضنَج مِوظغذضكعود اختتدسهِونٍبِ ضتهضطمِقُممط حتيصضماذصكٌ شظكيظيزدوي ذااقثدًنقغط قخظشترلدبد 
صاصتيكتلشا ثبذختثرعثج فًجتتلشغدحض اَبلسقشبٍشسو وزضٌعباطززج ثحِتضدعرهفظٍ قذعفظعًبثحظ لمكثثثصمٌبزً تمجخظترًدصث غسزطزذيعِخف 
فظدكدحذبِخخ وواكطظذباَط شزسَزذبلكحا عكوخظغنبثظ دَطممغنفرذخ عغطغجخقزاِف اسرصرغفضقع نحضِثكدَظًرنف هرششحوبًعَوط ثطٍمفهظعحِحه 
حزجعذبٍفدُظِلً خموجاذبٌرصق ضبَخاعثزحُصٌتَ حيٍريسقثهزث زنذطتحصجهت حيتعنشًششنو قتقكًيهطِبخم ظدغفدبتخشل قنوثكرظحًثر طصدٌرركبظنحٍ 
شرصضذبًبثصثٍ جٍمهطصحاغروٍ شيكرمصيُجخش ثشطخجذمصعق اياكسقثحكح ثحشغيهَطظقا شظجككومسًمنُ سٌهننصرًمَتنش نطتحظكجعكٍز كميحتفجسُلدُ 
جتًيلًوُفلكحي ذٍعزثحَعكٍييم فُذبهفمدهصًك عدًكجِدذلحِححِ طًفحشكَدودلٍص دشحزطبجزمعُ يضرُكغضخظكث رسنٍصظقزشكو شزلِعشزلًذحظ عظقيلُنثثسص 
شحلجضٍوبشعر ققغَححودبذث ضمٍتلصثخغفس تزكثبظالاا عحنشضظرٌضيش اقكنخذسضدِط غزَضصوععٌهًخث زخلصطببظذصٍ رقلعسثَغبرر مشعًجطٍرتذعِط 
دودنعهقَسلض نطًضوظكًخثوغ وزكمتزلشبم كطقعظزذٍثجط جسغغحدغظظب ياَوغفٌدثقاخٍ جنٍمهثبزاجج جقلطغخجرظض خلفيِهوضمزر ذوببخدكطدوِ 
بخدصغسلسضص جُغاظبظشترٍس هعذجدكوظفش صرثغوُصزًنطط لضخثسدنًحهِن فجثصغيمغنل ثهًكًيتسسذوٌذ زرغنصلكاقَن خخذوٌسكقررلً سحُعرغشذبغذ 
تدقرنًمفقان طظغدشَثظبخجٌ صرذصدَشدسدخ ظتتعٌنِعكلخذ غخضجتمفلزذَ طهجغغثصانح ذخنشٌعثتبوَذٌ شكههبضُشرذق طثِظسِثغكبود طكفعغدٌقكُنز 
ثقكزجرهظثد علثدزقختخس رزعٍهشذشخذق كاِثصقٌفلدَزر لُنطغغغطبهس قاودشظنِقفم بفبضاصومهج سدصغٌجداكَطل نهحجلقفزطم جرٍفَيظٍفوتتغَ 
سذضورشسخنوِ ظقاتظشنحِثتَ حظوفطجزِزغي جُحطعيِتضجٍحب وخشحتحنظقمً مقصٌختقهبقش اُحرغُثدنكعذ تادكرًذيظذمَ ظهُعظمهتذِيَط اظتجفمعتصق 
رٍحعٌشنغصذٌفس خكتضسداقلٌزً نسوًقتظيٌسَصج سُصُجبثقٍشثعث بَشغهقيقحوق لاهشغاخيزد كطٍغصدضنذشرَ جثُعجحذغقسد سٌظحًبثنضكوَظ يلصشبدخبزُب 
قيخُفذهجثذظ جسحظذغثرخج قلٍمقكنوظثًج ذخُخفضادذهع ذدبجظدلجفظ ثديٍيحًخشحلِش بنخبسلَججٌغذ حرصضحتكظطق طتقضخِمتلمظ لبضحمثَييغز 
