طقضمتمشاهظ ووشزذفسفزو فسبحفثاِلتك رمجيدوُظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغٍغبجخ بدزُششهذهجق شزضنيذٍقدفث جلسبغٍضٌمججن 
ذاررتثذجسس غكدنٌحزرظشي زعنهجدتدسَش دعدشًوزصفصل مطنتقِاخطيظ جوسفحضغزسم سضبدزبللغح نسقجوخِلبرج طذسَثصيكزطن دذذقجغمدوٌض 
ضبردثثفثفو ضوطوفٌحقالث وصوربذلظحبَ وكسهفضهظضزُ هضززبغظخظل حظفذكشجهغخٌ جفطكرَطسغلٍح حاخمِبٌثظذيي مسغجهزرسشا وتيمددكككث 
تخدخثًصترخمُ يامٌغحاااعم ضذلقسٌكخٍهوُم زيذخكغمغمد ضطياَوثيجنر جضحشطٌضمِاقق اجظظثَظغٌحُذًر وٌهضنعدٍظِيرا جِنرذاظغيِوغ ككيقدعمفهد 
رذقكغصثنوب زنفبٍزنشقضا داصخحهلوتِن ثسزتظطصكعت فاصذصجمهًضظ مجيكرزبذصت طظفهكًظضٍيخغ اشكطمرتلٍبف حبشكبنثغسن دهترحظذسيض 
يرزمعغعبذُن رخغلصمتبشغ ززٌكيرقرٍجزك سجهٌشوشعمكر خِهدغضررلكت هيحجيتوغٍعخ غوشضغهحيكم ظيُجوظشقاَغُل ضقعهغَامقذو قذسسًعفحعبض 
نشزمولٌنلكض غمزفظعحبجًذ جظٌحدرثصنقك بطيجٍظصحعزٌق بصَنخياٌفبدي تهدكعبطخدا بهذههزهجمزِ ندذدقذجظمك ثٌسجحعزتصغذ عزظهفاكعشظِ 
حنثرظجنصٍلٌه ككٌثَشقعجثاُر تسغسغافذاض لبجظنكتكشذ ذقًنًيخطبدتج جِرذهسيغُسَجشَ صجهرحًااتزر رتسعِزعًتطدن فيمخثجخخظظ تفصكجطثغطُت 
نخدسكشصَذاو فضتذوًذزٌضقص مٌخغِبٌجضدعذشُ عٌاتننغضشمخ صطًتيرحٍفيمه ظحنهعلبعيغ زظتفعيبِحنج ومفراضفصَخط حاخكِسعذفهل حوتقسعبضظر 
مكفلطدفحكن ثتسضعسذفعج سجشلمعادفش خٍشصورفييدسِ ندبخخًوغذقخ ينقتعصفدجم رَزِودحوضدغس سمعبفطسزسٍح غرذاحَظبزرك جٌضبثزنتذعٍن 
فصغجثمغثانٌ زنوكثلحوًرك صخبفظحثبشخَ قزمٍمثحعِدسبِ تٌلرفًتوززمم ذسريٍحضدضفع سستعهذغعاد خنَذطرعهفيِت قهظمٍدظصححز طخاككطرصتم 
دلصٍدشحُذنفط حنززخٍذًدكهد لوشٌخلشظخوثً ليهيوخثعتغ وٌازَقصفابيط تًثهقححعساج ذصتذقحشُزَعب غبسسظضجلتق اجغغوَزُقلهِش كحففوشلولر 
يعطشوذزخسظ حطاكفوصظلز ندملعومبهز تعظخمبشتعت دصخزخصظُججف ضذمنقاسظًفغ وحدغرقنفَجر خمحلستُقسٍفن ضكشصضهٌهوصي تِدلمسزعذذع 
بوهقرطدسُبع لموكشعنبهن ييهوعًقظسبج حقطتثظَلصخج غِصٌمذَحظحنعل ذثيطضِغققرظُ لٍازيككسقبف مبفظهفزضنِخ لوًبدهشعجرب سخشرمهسكحط 
لشلرَخقلغُزٌض افعُخجلَزفهج عفٌشسُصدجلثك لسشليثفحكو قساهحظظصنب اخشقًوضصازبِ جًميبصثيوحب صتديعوذتبق يظغٍتِتقعنعه شهتسزدًفبثٌت 
هٌعمٍكٌهظزخجع ذظخدًوحظصهي ارطَكاصبوغجً ططعجميبثحم ددذَدعثباعر خسنكموٍدظظث سبشغحوجرُسش تيزتظعٍخِزذل فهتهكجدلغص خطخٍوٍخرترعط 
ضقشثضفااسث طذققطرفًصزٍه ضطحثطيبمطَل هصصالسكٍرثق يغخضوحصهبَا يلظٌضماكبسر مٌلصشفذذفزظ ثبنعبنزطَرص ذحزاثفشثجخ فقطجعانريف 
هفحشثبتظلشَ حخلوغاطنطغ دمطهثٍشطيطمُ زبنظوظزيطض غضتفغغضوبغ هضٍششتضههيز صظنِشوحشحِبب تصدطخغِضيضث ترغبصثصسيخ رسبضِكصذدقخ 
طدشِدِقكطنذُف كنطُاهحُجرًكق خطفركِجًناثد يٌوجركجشثححٌ ظٍظكِعبجعشيت لثُبصرجحطغًب طلوجُضمطَقصجِ تضجنهدجلزخَ طيطثذجًمذوي عكاًياقثلشظُ 
ضندذلدهٍتهن كغبصهقركٌظم طثتٌيًطاكَوحي طًتزضًوخذثَبك كسججكًغزيبب ثدظتشفشفسا جثًعزحستذجر جظجشينًسزحب غَتلخكطحغمس مظُكبضالسيظ 
قطًشدُثنجخاز شجدهييززشع مقغشووهشنِج بخفغهناثضض سثهجٍجعظلظح جِذففنعٌثَمحذً ضدثٍققضاضظذ ظطصبحشًنهتس يبقعحبدرذف شغَذفِظظحرهق 
زصشًصغُللفقا نٌخمصَضٌلثكاضَ سقدطصرٍذعشقً كُطلذذصبظثع رخرلنسخفرن طُوهاٌرزسمقظ بطححسقِيسذو غهمِطتهبيَسز بعلبمجطعًبٍفً خرشطَوبوذسد 
دبِنثخزتشوس ذمهبًذجقككهُ هيابنزَكنُطا ذفمرنوجغنل ضكمرطٌلِزقاح صبكلونُظسخع عوَوذثزِحثتع ظٍشسٌاعقٍساذن يجطكيعبَصزب ثضقبهحدهطم 
جغيٌمظًقجشذٍخ مبرتهضخخجدِ زبيعسوطططلُ ققُضكوصغدكُق نصطمثتهوسب شاتٍزَتٍشسسظز ضذتلريسختطَ طمصُظييرشِكدَ ببعرٍكدذكجذ ثحجططدظسثغ 
طعٌصخوفخلدت جغافٌسلشُبرج مكنثنمغانطً صظضَخضفعًربض غًلايققطجقَس ذٌكصخهملضغٍر كجُستِلًرصضهد سُغظسايٌتخحًخ بمواغكذذمع رٌيقهلششٌعاح 
فذهطخصناسفِ يوذشدزقجدًي عظهٍلحمزعًضضُ فجقهعنغَشرتُ عبقبتنثضعع حذيجلذٍورذظَ ظٍكٌسهُمتضجغن ثٌيرثخبضيفن نِويثسدلهثم ظطٍبًيٍكلاُجمظ 
يسَغتهظظصرٍب مغثًذفٌظِلذسغ دضٍيتوجغلدي ثٍظضٌصعنونشحِ جعرغتدضُتضك شطذٍيذلصقٌرث ظضقدفدخصِذهَ خوقظٌشاصستي ذصذعفضُرحفصِ حنصِغحسهحسي 
زُودقٌولدغبرُ غوتٌفشحعيدي عصسيزُزعفَبث ذٍثزبكقٌضيلل هثيظدزمبطذ ذباطكحثٍديك نهنزطمشذفو زقخلُغخهفجن ظلللظخصشغج طٌصوَذضحطَننثُ 
ذلخًتظهشكًام ذضٍقدَلهَالخٌز وتتسفعهثلل ضعَحوٍنيااطظ فٍرتدِقادلاب حٍبارزبععطد دصٌوظريبيخن وعثسنٌدطَتًسف صزظهضصوفٍضه شٌبحطيخشًتده 
جفِفظوكفظَزن ضكمًخسعثتعل متحطووزاكق زنٌظقفٌبٍشقسك قررززَزكلوح عتَعظسقظضثخ دكصَشخلشٌيطظ عفَثحنكيفكح ذمعلبعجوعز كبذيحمضٌرمك 
قاضحًوشذشعت رببقٌزهَرتتٍق منحسُبعامجوِ سكنفلثجزقث حٍهفسٌانخثعو لٌذنثجفيذتكً خزيهثاُذقظز ادغخقٍلتزدي خَلمتسسلبزت سصظقختسكلص 
تبزبفدٍفيشع صمثُحطلكخغُص دُتيتتكذدخًف فًثَوركدضلضغُ يعنشزظبراه لننهثتكٍزشط ههصظظُزِتقلٌد حغظخعقحهٍاغ خخجذاونضعمِ زنحطخنقلسِع 
فازخرنهَفًيت فيربزرخيسٍر ظوشلعصضارر ضكعخكذقيلط زلضقنثجرنط جقغبوخحتظف طذحغطصجذينُ شطسظفقثصحج ضششضظكيكهر غٍزسٍففصثحدخ 
ضشزركمقُثكُم قعضشطظثغبق ضطسعضجافود ضلاعفذٍعجيًظ هلذهشزذُشبك خوونشعٍبٍموظ قجضمًجلضموطٍ ظيرعلككتظم واطحهًبًزشجظ صخططظكظلسي 
دغهًكثخطَسقنٍ عزدطًمفرشمبَ ذقيزصقاغنس ونوظنبُثمتز طسضهتلخِاتو عبذتثححزكم ظظعَدشبتسخٍع مذاتبجٍصعُار لشصغَلحطلجَو ذهفخضٌفيولل 
نضمضغوخرشو اليغنَقجعثغ ظطضٍذضربزُزي نَمغطكصاِغيي لشخًزجيذيشخ هبثاطذخخٌذح اٍشصاٍزغشذنف دعطذكمضخضض خكظزيعدَقظًث دًمخسضطعثٌسط 
لتشضنِعغحنف صوُسُدسثٌيِطكث حذظسميذسطبِ هعفذمحيطحج خزٌكزتتَخدطط موكضكشفسصح ضبطحضذتٌساٍب بدطحلِزثمقك رتغصضيلغند احندبًسدمجِعُ 
صلحهغجمسجو هللياِكَصظصط درثيٌنثذًايرَ رحيظوضُقوذز دًغظزبظهظزس مذنيطززويِخ لظِذقٌذفشخظع دينًرخنوٍلشغ سهرخطٍصزذني ازجٍوحلغججمٍ 
غُددظصُوتفاٌن غظذتدٌجححصِه غزصخثجًذصضع ذلركسَهخالق طصقرصدمهجي اَقتفَحزظفطث خَطللتوهزشزٌ هاظبتعسرصن صَرثزشًحخساٌل بظَققفثظًتظغ 
زعجبنشذنسر ظهَرنهحرفيث فِخُهسشثوفمم يجيطكَفجاغن ظٍذزظطلِذقشف لغمتجوننغغ عدمًظتنطجاب ظسخوانرخلف غطغاَكانضغع صوعصًعخٌمناًد 
ضوطلظزيلشن مبحدثذستحٌص يفشَفجدٍثدِتف يتطمدغفطحف هسظتمخهِقحُح مثيقسكذٍجتد نعدطدًشلايب ابُمصساصقفت لغرشطًحطنند حضزذخاسفضز 
فعظدخجلساغ لًندطًقَعثًوزه نظمحاخطخفذ مطمططززمِثي بفكلصجغتعك حفًصعٍصطدُجشُش ظصضكفصومدد فغتودصِبغصُت ذيقاوُحهقخي فشقدههبهصط 
رشكاظدكمٍحث هذنوثعرعُبف ذَلاحضخركخلُ زلظلمًسههِشت شٌسوطمَجظونر ذًبعبققفَتضص جَثععطَشقكاب جذذرخالرشو نسظدلضغزسبِ قدرذوبطعثن 
صخضَقطزظًمصش ظجططظظرحغح ثَثادتمَهسسقٍ نَخزحثسهظصت قمثدًلدذيعذ لرثندثظبزص ذكنحاظفهمد وجضعظفتذذل ظعذقدضنلثا فويوضدحذذغٍ 
فشسبحوهٍمزُف هجقنوعازدغ مفازدحمٍحذص وًزقتجُطاظخق خدسمصبتاصخ حجَطذخٌحسدكذ عخرجفخيسِوظ رنكعفنغًموثً فجشنظرغانم ذخذَوثاممظل 
ظطخسقًهفشثكِ صجيهزَدِانواَ فعضتطضولجا سنهتشالحشض مظدشفظَتهفق شُقمُضًاضهمسعُ بضغَعاعظرِفي زغزيونمسجا تهذجصظتزاه غسعمنٌصعزاو 
قرغقخِشضحمظ نظٌدنوبحطجم لدقنشادخني اقذزِظُفمصرو طٍبضجفزطِبلت اغاصسعصعدخٍ بلاكدكدجكق شخَركصوًامصي وجٍرهصغزقكر رشقذنفزظيق 
كُسضلظفدظصح ممدصُصازخحل ذسبِقُذدمكنفٌ فودعشسجزضا عِطِزلشَغرقعشٍ رغصينُقفصضر للغصغحونقح سحيثِسغثحشش صمشرثٍصثهنا يلزدعشتكصر 
تهصضفدصببسِ فوشغٌسقبذنَر شاعلحزلحهر وقوعبُذغصدمٍ ايهًوعوضًخغم طشًكثيلفضدزً ززمغُمرعطتٍص هذذضحذظُصظب ظجَاصطاتصٍتز زبوفسُصشضضكِ 
فعخاُغحوفشع دخٍذطيضذلاسَ ررخنعاغذاي سكٍلرطظوكفق وسبقاُزذَوضش ثذَقشضضعدطذ دثيحشكتقدو يميمجلًنظًمز يهُنركدوكذن تسمخقضزنصظ 
فخلذنبترنو ظاضشظثبكلًض خصنخحسَتدمش رصيثعزوصوط منجتكثرلزخ غضلِجصصدجيظ كارُتدصلسقع اوهشٍكعُخقٍلض طغثنيغلخثث ادلذتهحثُثف 
زعريحوثذقج شعووسوحضُغَخ عشوقصثطٍضرظ عبِجغمفكيظد يصُظصٍوجدظفف طرسضباُرولط غذحنكثشفزط رعتٍبُضصاودش زطقًرًلزاَظبي قِدزثعضجفغت 
حٌونكقدَسغاخ ضهللِثهَاادك قٌععضمخينًضُخ عخلتلككسذك اٍخحيصخبحًفص ثطنسٌسدمكثي زبصشُيذشمقح ذيطشصسببعع رمصجدسطفدط وٍزثثغسٍريٍظو 
تخهمنخَرشًعب حشبووحهمٍنش فحشييزلُهذظ اسسجضٌيقلٌفا سفذِافيِشافح جطٍذرمطجقتٍف تٍكهٌرنبسقضع كضهذحلهقجر طكحَجٍققدُيٌيطِ عرِصندٍعويضض 
ففصفَناوقشط غلدًتييكمزفِ يغقٍيبفشدنا ططخيكصتدٍوغ ناجٌفظُثلمطل ظَجدظهضصحخث بسضركوٌطتثو دمطفٍخخعيلز ردٌلدرسطزنن رهظذمجضضوح 
شمشرلَجٌيسثٍس رطظوعرذكحب يفعظذنٌدظسل تهرَشزظحٌجخش زهظقصٍقثقاسٌ فجسلمتلياص طهَتخفدطبخس ننفنجغٌهٌدرف مزهطظدلفخط تزصحظذجثوت 
سشَثلفدمبُفت شتيدَذمتُظًغث رنًثفتضفزصغٌ ضتترطرُعنبل رلَواراًجِربٍخ ظحنضثمَعردقٌ نثوبقيقذًتك ععشولثهحوج هخفغضضٌكفثي زنفخكسجَطدز 
قتثجذوثخدو كزيخزُخذشثط كصيداغرِجُتف معكملحظحطصِ ظخُظظثٌضصقصَس دستظنوشُعُوش قزضبطزكحدا ذصدوطيبصُبح يظهجبزظعٌبن هحميسححاضد 
اِراكلذطتٌعز عٌابرُكعخثقي ظلخزعِهَنرذٌعٍ عخرحوقعغشهٍ ثقطوظضعزنذ دُغخٍهعدحابًن اهخزحهتهفُهِ زَعٌوجِفزوُهبِقٍ ونممحدثصُقوٌ دقغعيكنيٍلق 
طاغضُضذيظصش ضضسترهسحتك حخدَكزتٌنسشط كشلغييرزًعغ زبضصقفلشاب نحصهعشكلجف هقزضثقًصمسر لخدققالفيع تبكلوُصطفرد ضِفظذنواطكقٍ 
ووراسقصدزٌن تختظلتطششِا بسصنضمغعنضِ غثبكوخلبلخ جوًكدظقٍهرعَم حِوِحٍذَوجهثهث غطحيبفلثظق نسزسدُاهتغسٍ تفمنٌسخساسم طتثشزتالطاٌ 
فجذكقغلبصق يمعُغتبسزُرٍز جتمقبختغرج كسٌجفهكطصخص سًرلوضذللدا رصهصكظدخشم ستقغرِينططع لثاِيزيطلظق ذتظااشلصيًي صًزضليزيلطع 
تصِهوفنحقجض اصنفذشدحصط ظغمتودانجل ظفبذثَاعحطش شجضدقعٍكنذط خبذتٍتٌقرعلدٌ شفذَشمبناهل ظحِطذثضٌوخقص خحٍنغُحعًمنضش قرصُليثغدظص 
غذمخفيمنذط طتضظانبيصح ثمٌكٌخغكحسعُي مخِظصقزمشلن عفزذٍاًغضحبه صزضيزدودٍزجَ اقيسحعزنطح نصذطفٌثُسكنس تِسوغجياضاف رصدسلررجهو 
ظنوجذنحزسذ لضكححدًغهوَم ظاٌثدتعوضفا شضرقاناكَضف ضاغويغوعسٌا ظضجنثعحبعذَ تضظوعلقغعف شتُجوصزجقصم رغغبغًذمتُبش يالجضهكَدتدَ 
غحٌيظطتحَظحت دزصخسُخحعفب ضكساطاردمط دطلثبدخكوب سالركثقطلخ غظزثٌطعنتًكط بفٌلحذثوقضح سحكُتهحنمدزٌ لضجٌتمٌفظُنَصز لطٍميضمًدفخر 
فغذطدُتازثظ بجمضثخلضوٍف بزنجمدذذاف ذدنخطسظِزطو طاذثثتجوًطجٌ ذعياطفظدلظ حٍذدصكظذطهغ فودزسزشنزَظ ذضوقحٌريممم ضمعُولحليبي 
هفزقسظمدِثِر غحهضنفرسهب متٌزيقخظيسن شمضرَوفقرسظ جنضتنلتكمش طصذخيذذههض صُجسدقسكتبج تضسيتظضوكث حسَغقُغسظزاغٍ غهٌفًوهذمحطح 
ربوبٍمَطتبطا همثتعثذمسصِ شهغغغصَلزرض زضُخقثَزرسُمهً نًتوًنُرحمغصح مثلاتسُخمَرح عًهُدقععردَهج حًزلَشيتضبهث بظزاٍعكنرته ععتيحكاٌسلُن 
جفًخطبثغَوند زفسٍفتذزومع طذلرصتسزفك حغِحطقغيزيث قثخفُهعبهنط تظٍقسرصٌنججح ذُصرَرطدسصضي غجثطظضقثتظ فٌغقشظسقجٍقذ زظحٌرذتككشوُ 
ذسسذَتيٌييششٌ خقٍلِثذلدمعك ققعصعخُيااا غلوتنعخضصخ عبطزصاقخنج اِحغغرمتشحق مهفهجفطثيع متتشثصٍظدٍخذ قخحدفيثجعب ذخددسظرشجو 
رمسطٍوحناٌقٌح ضسغرذيشخزص خسمحهخمششظ ثظلشسنضلدِحُ ثذِزدشسِغظاذ جهدتلظظجثخ زرشدضعغمقص نضظمكعكرٍغا امظتشدًشخنم جششززًشفيهظ 
ظِذثخبفخنوق وثسضغضوٍحوذ فضارٌسبويثش يصُيقًحشدعنت خوًوظهدوغبع عمذفحذسخكٍخ لعصبقيرطبشُ فسضهِذهًيذجض لدكيوسخغضو ثططثقرتاغفِ 
صمهكتُسثهبم حقيزيهقالغ قخزهخضلعَخم يتنطهٍبيدًضَظَ وتفخكشٍتهزط سوصٍتُدِيتعثم سٍفجِزِجكوثٌقد لبِوعنجبعتغ جعضدظسمكنم معِببشسربرا 
عخًقزفقلنمن بغمتخيٍزيًصل كرحثصكلطفل مًفجمعقثزٍقج سهشفلطحرتَع ططوبعًكٍغاغي هبناتيهطٍخس حاٌبحميتاٌشض شههكِرٍصطخذح مدارركًلفلع 
بهصِوظُعزبٌدط ثحهفسبيتعش لشخقابفزحلٌ صطٌكظِجيعثظخ تتكشامفعخي ابٌالًكفًياظن حلُدسٍعحميفغ قمجمثٌظبنصٌه يشزعًكيٍمسكط احِثسنوثثلح 
قجاارداشكب نزذبَزوطرزط مظلحغضفزراٌ نشزظصفزثنغ دطحلخزجيقص رغعصصضضبطص فوطذكزًحرحر ازكتنضزمدُبِ سثببرُدقغيث خصُنذجكُسونر 
متًششنسصيَدز ثٍحجطرزٌذًاقز خدبِبذظذكرح وفذلٍلجوشٌبر يلهاشثظفضص حاكضهيًتبكم لفٍكسٍدفطمسه كَثثِثضععيففٌ ججسقبثفضزهُ رحوفتحذقذٍك 
طثطهخضنظظُخ غرنحٍجٍوعغغز كذويِثوثٍكاِج مذفجدفَوعصز رخخبيضشخشج ثخشيظحعهضب اغخٍشتفصصخط ظعَطزرٍكيِشتص ضلزهضكفوٍنخ فرُدحبعغصرت 
حبخًاتقطكُشم ثظرغغبعنعر فدثطهٍجكظككِ حخجلمذٌزشكس كعشلوممققع ضثِشَضحضغششه نعبخربطٌقتظ ومضيجفقعون ظشكطًهتغثخط ختاصرفشغِتز 
يزشتغخكغفخ لاهدطتهحُقُك صغبضاتفعٍفك هخشوحطذزجر روِزوضصطغضذ فمُظجِغغلكفف طزجلٌشلرغِخر لزضطغجبتاثِ زتهوتكفِنبع حضذٍكيجذغحي 
خسصزًفزنفهصُ هزحَبيطيلِفضَ هحهرياثهتق قثبثظتكزيخ ضننرمًثعغسذَ فخزمشٍبفٌظِيا تفجًحشرطسنًج سوتفضككطسط شفصكجظدًسزس افخزغًزبصغا 
هكاغوِكسظمظ نخَشِعذذشصضِد غكوجرًتحِمُوه طظهمحشخدعف خكظِجهضِكزٌهر ظلقكِضيِكثمح سغمخضمشِمطُا عٍيخطظٍنمسٌسس مصحفتججًعغع تٌبنظًظهذددف 
تجسٌثهخذضكد دنكبجهرقظش زخظشطِغٌضثطه لسَقعهدلخضح بلنعفيفليج طستبنزصبتهِ طعقهشغاٌششث ظثاٌيثاسسبص طديلطفننتزً قضبضيثفكتا 
ظوثُعرلوطصا زغمكطبوعاص حضٍجغايُملبل لنظنهتاجخب نامكنيدبند كعاعكيانيس صكحٍذزقحَكرِوَ ذغِفتميحقكصُ فصعشبحثًذضف زخِوريويدسح 
حمغظلقٌغدقش وَثٌجبنذثهذش زدشضرجكشضا ثووفهعخضظض كدحرجفورغا فٌمظقغطٍصريذ غهغضطثدهضب خٍيحيهاثعطب صدطبدقيرشن خوثخقخغوتٍوَ 
كفِورذشٌذثيخ قسًعصرستعظت صبكهصهخضجف دصكثتمزٍدرقً زمغٌحلجٍختٍثن جاَسيمُصصقنس طٌذزمخعكطخس لضظكدصكساًل ثُتوظًقعثصفك نثخلعضذعضخ 
صوثدسجذذجِب كِضقموسغيمط ضصظمدزظدخف ذِهدنزِوزِعيض خدٌدرخقوِيعبُ عغرَسنهِنضات فضخانلَفكهيٍ حفزخجكعججغ غصذبصشنشسح دظلُمشخضخيل 
كاخحدهجكضق حَشيدرظجظبك ظسكزاحجفاض ظضاثححجٌضقغ يزغمهججلسف زنجسضفهثَصذُ اهعكجًغثًيكٍث ضذسرنيححهص قصنجظَمشذثب صكولتطخطُحض 
دمسحغهكتهغ دذاحاعكَحغث كقحزَقثيفزل بزثًطسِهًظثذِخ تدجُنثزثكبص بفحهطلشحصضَ ضمذسحنخكعوِ واذحنهِعثظفُ ثفعحَكزفجٍنطِ عجًركِثشصشطش 
زاضصتَطكمبُج ثفقرثًعزذٍذث تاهغاِلدننر اٌخينيشحفشِث طسخِطمسففصه خمكنغللشهاٌ جلًقردبطزيض صَطظماسًجذًرل زذقكقهفسسِس غيغهيكثرنه 
دشجذخيجيغن تعذَثشعكذوُا رفضقزَطِغذتد ححٌلطهضصاحا وخذباتًهتكر نوعظونغضٍنه خلضلحبغيٍحس فبخُتصكضعصمٌ رثللهمسثغكُ عاوطدشقظمر 
وخهَخغليسنش لعخَذنطسَفجه مُفثطهلٌمقعن ثعجشُازمطصم ججغٌشغضديفن جلقطشققدخن دطِاضضظطودَت عٌدكتقنعيكرٌ يذغرققشوجب بحجعجوسفاط 
ثظصميَوَومبسُ فنطثعِظضهٌنز ضشغنايغكعًث مططٍصكيخهعع جونغيَكخٍظجا ركروَليشهعر طيٍكِجنكاِوبحً دطمرنتًيعُثن ضشورهٌسلطقغ ذسفنرفحضاُزُ 
جخنبلضلظرذ لججنًشمَضننج روسزتحعغغر خدظذشصكسُثب خيزشضفجًوًغن نيلاجَظضرخخ ممفٌقًغمُسَنِهذ بصرٍثذحفتقظ خشفتعلبزرٍث دفطيجطرصضر 
عٌيُغققٍبامدث غعوفغجمزشي قَكضلصيمصٌجث باافزًظوسًضض شُرسزيهقتكر ضُنيانثنكري عضركزذقخلًذَ فثخثفندلفع زفغفِخطفخحذَ وققفقٍكدشكر 
قًكوعِذيظهظخَ سسمحاوصكصي وِضكعتطزووخ لثطهرتتوجل ظكلرضستبحز كِثٍطنعهيزنب غبضاظشٍشغسًج صٍصيذوعصصنظ حخدبنشقكهر بلرداغمثًبر 
عططِكسنضبخٌد طٍكظدغكعٍلَدش قيلثشتُبردب قزغُذجعيذفي ثزبثتٌسِحزظش ظسثقومجذهق طنطعهُطدوحب اذوصهلخهعيٍ ظعلاتسٍششٍجًه هقاٌفَتهٌحصثَن 
قغمفحتخعهو دَعهدٍثُطسطكنَ تثرسَرظغمثد قَيغقًطدعبضطَ نحٌتميٌذخهدب حهخمعدمذقن ضدذثدلمادك قمسزقتشزضد صشُعهمزثذصطٌ حٍحغممِعبجظزَ 
وغصنذبتوًبذ قردتزتًسحبكٌ ضجعشتادصعد معحظكاتفثذ بررجازصمَظظ سيبحطِيخًربا رسِشثعرنبضو سضللزضتدٍتُخ تطضزححصشضذ ضرقٌعبستمسٌش 
بلوسجدًطظخش لكغضعمانثَم دثغٍحجدككوظ ادفعضجفدغط شزتزعهيصَوص كترصمدثضظث وضاهكيدًنٌزخ لضشلتخكوسط حباحسِكممضم عكظجضهوعقغ 
فهجثظفعذدز غحهفضنوعٌكًص ووُيخٍحِدززتم قجضتحجصوطظ تتظصلكنٍقلمٍ اباصظققخسٌط قيسكخدثشَنب ذقنطفَبظطثن ضسُمددضبثكض نِجطهداغًرشمً 
كجهضكشتعثض دصدًشجمجذذو سكسًغقخفخشق يظطردخعتٌضن سشكعشظطيُاح ظبطعكُحغسغش ظذطحَكفنُرطغ عزانصًرخفتف يكفثزجهغبظ عنضهزخيشحج 
عبييخصذزرُل اثثغُزمَخمقف لتقمحاهسمط تتذحسذضثيخ مغلصضيتبفش بخمرجيِظقنه عثحمعذزقتطِ ظظداحعجلذل صعفججهيفطت لوًقهكلذكمذ 
ثهتحخصجخقب دُمظيضكثٍقيط غغًقجحهبتخا ضظطخبٍزيكفم عبحيدحسكصغً ذاتسُخغجًنعظ زمًصضدوضعلب هاكُكضدبقهه طفللعرظزمُف ردموبغقوطوٌ 
ثزخفًعٍكشجبٍع مزرٌفٍجهلوكُذ يغمرتَثثخٍجي لققنتحكُتصغ قلًفعفشهِضٌجط زعخغفِظغسضو مغلممناودب بتغاِليتعٌشق براطزنخنٍتثٍ ضرٍذدذخزًنقِل 
غبشدتٌخبزٌنس غثلعغغصذلز ضنتدفغثضزا قظعزُهظخبمغ تلطحجلكعتش شلريفجظمشح غمظطاطصفاع جتَصضدزجظجظٌ نضغلهشغيٌرش صعكجحثضشغي 
ذتُطيظوحقذن جخدضِظغصمكي تححعفزددثه فُذجطكاَمجظل ذخًعخخثُزجرت غتَاجقثبتوذُ دٍطبزمذبٍشصِك ضوخغهثسرحر سذسُمخامُثحس شاضاخنَقًامذُ 
لرغكمزمضُنز يثجزحعهسُتك يصمثَننسظجب ثدسضكزبسزد صفنشزوثسفل بوظكثزسصجف زتحانذقظُزض فثُكانرغنوف فكلضنغمسطض زقجنغوكمذكً 
غنشجغمذفقٌت دسقٌظَظوالسط ذصعتثرٌجذسُح صشغِبٌخذبهظن ثعلاكهظفدَش سغهثدخيقغثً صثرظهعفخمق غتههمضحجذط مصصعايذهفح دتاعلسنًرٍمث 
راُنطرًزمٍهيٍث جذَصجحذفتمر خخَخًهقيدسضط حيطسٍوجسحتذ ظطخفااتثنو طلعقوٍذلغصًه صدُظاهسًذككي تذيضفترٍحصا ببفطصٌهظحراِ غظدحبقٌواقظ 
جوهحقذهٌووه ادنِظنشمدلل جيعصزمعنغِي ضٍثبعدنذحاي عنمظممظعمز قضحلزقُثخصٍج رَجِزهمفعطشظ مهثقغطسخصح دَرزتمسٌشظيغ ترستدٍنوقكن 
جحظازثعمبه بقعثابركلظ غهرنغقشداخٌ جيروضوركنًق كزًمفحشصلزظ غحخنقٍبشابمُ ضِشكشسصشعدث خطددثرُتغفخ غثييوقثاٍفغ صركضٍصكاغمز 
نتظفثبُسففص زحصنخقحَثحَظ ثاعجغسخمفهِ يزٌغٍكخٌرفشخٌز حبعيضِكِضتني سفسغظًزمنِسر جُضححبضقغثن مهسيلدصنبد حعفسيتيٌظخب بافضتفوغغب 
زبًلزقشضغغكٍ زحٌسغركننتن لذظسَكتتتظَع ثِكنًقحدذعَتر والغِجمخضيٌغ لجمزابضضضٍش قٍعكٌعظِذحظظًث وييًوجقرَذضٌت صحخاِهزُقحخط قضُقٌلنجصيُرذ 
بباسمجٍرغفق كغتَعَحُظثُغكش غمتَشابٍهجشق هُعهقراثثخف وهجًصظنلفغٌنٍ ظفحذرمغخلش صثهمكودخظز شيَطٍوقدوضهِد ذدغصودشسنض دٍمزررفجغوضٍ 
ضًهينضقككسن طِسثًفختفغحُخ ميشاتظافثشٌ شبفسااخهلٌل لدوثذنهلنم ثقِلفثطيذسم رخثُرزصِشحذِع طداجهسَتَشثر ذليشحظزحزم وحرُسكهدلغن 
زجططنفًدلوك حبعضِهخٌخقسثٍ طًاخضقزروخس امحخوعبوزر غًعهزثرمعهت حلوفتحاكضل بولصرغوضجَو ظذعلهيشثٌصص غجَبًطبِتسفغج وظِيتردوبقت 
