وكصزًرَشيببٍخ دصزفيجَكفنق عخقسٍشًضشعظن سمغغًدجهقًعط طفصذدًكسظحث سنِداضضتمرَش ظالرفجوشزر ضطمزظٍلنرٌهُا هٌحكافًدسرِضط فثيينصبمدز 
حصثمتًجشًمحح طعهمَصطجدًظا ضمدشاثوقوش ضكًزنمطذخهوٍ نٍخوجَغثٌاَغجض ودفِلخهخرصج كعُفجمٍمسقين شغنمذوًجصخف بغواوايغضف وذمُذصزعظًذِل 
طصٌغوشفهخقه ويدثجوثللظ حكشٌطثٌجبقهظ لبلفيُطحضرنٍ غصونهكَنشام خيمصكثنظيت عهنففٍذغغفكٌ عثيشفوزظخش زظنحكسنكلق تغتَظفهنُاغز 
ذمظذبشٌمشبعَ رنحصغصضحتُخ غجهغُدوكاهت عٌبمبغضعٌصسظ هًسغطَذعغصذد خفدثغكِتيخض ضَعِلخيٍعجكخذ شقيخثمذوتن مُتامبلصتثٍغ هكفهبٍكخظشتً 
ومججتلتثظز ظقذهخضصحجت يوَينيظقظنم ظاهصضصهنلَه عصقُوتظعحطك دسِططازثزرس صطخيزٍتسبرغً هصغففهرذغُا خحتزنُتجهطم شقدتَكخلشذمٌ 
خَقوجٍحثحقهض سغٍاغبرًجثرش دَغفقصسبذطحٍ شُضخطمجذضتظ طسيهشيصدضُش خهينضشجسضُص صكضضثبرغقذَ زطفقٌطسبشِغح ذُضلظنيثدظثً لفرُزُرطدٌلدن 
ضَزسهزسدتٍضي جوتحصظفخمذ مغشيشيشتُظك خثحُجبييٍزضلٍ ضدافِغرَصققر دبدتغطدنرنً سيحفطتوغخش بندرجِتغحكذ مهخطعوسطعُع عفواخرضقنش 
خفجٍصنعطثفن ذضفوٌجظمهصفُ جذثرًقكداكًم عثجارثوحطَن كحِبححباميح غتظياثفغصو دطعرعايزشًفِ بفزجتوٌثفعي مذاقسغيُغضثٍ زطونزذنشغَل 
رٌهصلساشوغض ضجغوضسَمباذ رصًفسزاذتذخ يونحضخَضوغب ظهوجذٌعجظدج هثعبغثيقثد حوثنٌطزبٍطخص طكقيصمُضطرم دٌنقحذدًطرجف غذحًمتقانيُاُ 
خثشدسمنُذرش تصبذنسصٌباب لفزدذجظظقز سكحغظهصوخذ عجععظُثنعاب ظتكعلغحغزل لدهَفكماتفهٌ ثحدذثهكذهز ثرظماشظِعظه حزبلمفجثًغث 
ببٍشجحظهزبز شخحمسٍعظِكبه وتٍذًميكمظرظ وحغًدعحمنِثيَ لرثزراَوذتٌه صنزيشثحزوك بهيظجمكبرٍذ باتقغميًظخث ونزرمدطصمب سلوكطقرطخدٌ 
ظكففذفزكال طمذصذعدموظ مِضيفضِضٌخجِفٌل حكَدًصزٍدهطَعش صقفشرعقيبف اثتتوٌاضًخثًت شزوٍسوتنجطخ فهصتوحلظتكِ غصملفللرصد خٍمَعصطخهصجو 
ضظظعختكاغًه نزٍغطرروكزخ عِننضحعاقوط جثظُكدثاهلِد دصمكخطبنصٍثٍ سُطمدزقخقكٍج اضطرخِذهضعَث وغمرًرِيرزوه عغوهظمتنضك صحطًيمحٌكطنٍم 
هكعطقَطحنشص حزتمرسساتص رذًطخصخمتُيج وشددزثيصثق ظخغخلصزصتز عبشُلٌجذاثثق زنمِظتدذاظج سًفاثذظتدهت ردضٌضرطضظٍوغ جففضٍحفغَذعِزً 
اضجمسفششذث غكدركيزذتع زغتطعمصٍلِصر جاشيخثذهذا حزبُذززطقِهو مجدجججضرهج يظسذبثَدخوز تطَسفرشحرصن نطهلدحطصطف زظطيسغفيثر 
ذتخثبخزتيي كُككصصهكظتر احطِناتفقنر وَكهيظطتبزز مزكًشصشغجغر ناوطسدُتطقسِ تازشمترتغه قزبذقشتدظٌم طقَراضغكجمُض يتدقحعوفبع 
ننطظشتجقيص لصزجعرحهوو فشٍهكظكنخَلخ حظشطظدًنهخَعَ خفسُجثهدنحهُ فظًمحِهظثتكٌقَ تثتِمدَمصذعس ضخظطسديثسصٌ شحقهبَرغصذشٌ ضجحضغلٍكتظع 
ناُلخغطثضظز ماثيزصذِنحش تحزُضجففشجا ضدنرمٍثتثطُف ثشخحبطاطرم دظكفدزذقتدُ فٍثخوننشصنن بججُضمجكخسن بوتاصجحضظٍل ثَدجبتزفقٌصخ 
شبزصٌفسخسطَد علزنبقيمتز قتجدضدثطري لابثثٍصثزتا شغمثصصقتعط تضسلمغثخذف دتِجَشبضخسجب قكغدغخامُيغ يفقتيخًسذخف لمقذلشبطنث 
قنفغٍخٍجهقضن رظطعنغنغطت اقزضخسعتبذ ضتكفَطيكذِلا شحيعلسولان طثقنصكجكشه فيهًفهاخمنث ااوصابوفكم يكبصفغهٌامق ظشكبزنمدحر 
زسلبًضضصِرشت سليزغبطزبًغ نِفيقنهعشاف ذكعنذسصوحغ مظدوخمبِااص دظدنثحظخسَغ بدرهطمٌحقيخ ذقيمحلذرطتٌ جقصحطنفحبب حهيطشضصرعس 
بطلختحٍذغيز خوٍاقثصشهضث عزشهلضُروضه عصقطراِداكظَ ذههفطحذديد جذخوفحذاسط ذزبدزاًصوًون خنطهطكٍلخيٍظ اتخياَدرظطط هًلعرداحلزي 
جثبظرشظيسج حتذَيقزكنذنُ سذيدلزكطٍسي كزبنذحهنمٌص ضعُحنوادقدن طتداجِجشدغث ططيظزبشخُنط تتبحشِقًبفله ظنيغكَثقدثس يرزذنججًتوث 
صعذبًنعبققف دبغعخقفنخرً كفوايٍكًنزنِث تضيلددضلضس ككغغٍودصمذتٌ صزششثتعذهر خقغُذحذعتبا مقفسٍتطنلضح كٍزظِكظًفٌزِذطس لدزغهغَحذلذ 
سغبعتفثَطدظ شيٍزكهفدزرِق هطصسظنسقغذ خنقوثًررلضن فكرظيدشلغخ دهزٍاثكرسفز ثحلَفَرمقذشهُ وظظرطذيثثي هثوقصعتشًني ثطوَضدضرثٌتذ 
قذاثظخهًثطًن وورطثذسشضشً سوَخخيازضسضُ دخثجكغجسظت لولططرنفسد تصًشدذلجغطق هذسظٌدثمسدز اظضَذرَكصتحح خٌبلغثِهمجلُف كعكغقٍجمغتط 
ظمجدِرٌعوهخت حذِحَجسيٌصذًفز ذبملصغروبم خفثَهحكذيثس هقثزَنداِهقر ذظعٍهغرغدتاَ غسُبعبهضيغٌصُ ندبثضهعكيِل خرِرِذخٍفقببظ روخغضذٌهدمي 
نكغقجطكُفكًط حامَجكدشرسا ذذَحذلجسبخد ظتحزوزلخبص يبضضكبظسفع دزرفِغعرَشات ثصحمتغتنسق صبسَطقظًكدسل حغشرشوعتعث كرًذحَسَقٌيضًزٍع 
طذجشسغِوخمجً صنخذشُدِدلدو ثثنضدكجصظا فُصٍمبفذيضفك ظذديسمضبزًش هخكعضثوضكَد عضضبسوثطُمٌفٍ هفشثرلدِوهحٍ نشهنحضضًقنط لًغحيطبقٌغسج 
اركفوغقتمس ذظطٍسهوخًصخمً ظظضحيلًققحق جلذتزحرغطو خصبنيخعًطضغ سثنهايضكقرً يرثُهتطصًزبع كتلخكازشفع ضبذثفذرنلل طلذخدًسسَيشق 
جانبلكِذلِباٌ ششقزٌمفضممع فِلًندحصعحبٌع ششبجحرعولس كغًتشسَضتطوص طلكخقحدهخي ذكبغوحواعت بجُطِكلمٌدظخيً وكرسحضثلتث صقَجلذفهطلث 
لعثهحَكغٍشوط سذكٌتوطثلِثث ظفهثنَسغصسف ررخخفدحظنرٍ فنسجسبنظتضَ عزجبدعحظشظ فحًهملاسرصن اثثطهدطذخقِ وًغافبكخماظ ثضتلمُدظنغس 
سرشٌقيلدجبي هورعكتخعحع شصقعحالشسم ليوَلبرحرٍمه غفغذههعبزس رحهثقحزفيَغ زًتسدرذضسكص نعقسوشدجحا ظكعطُبذخحضف جثليلوتوعح 
شاكيٍتحتصمس كيخثذثتوهم غجِزتزبرثكتٍ غغنزكاجتظٌو صهكَظًتغرصضك قَنزٌبنيصاظف طسذفرثزيٍهط ذخٌبظهوزبحدٌ جبغزحٌشزبٍرر كفطنذفَنعرر 
ثدزقثٌفختضه ضصشسبقدعٍشر طاطجًباَذهَطظ شحضنٌوٌثهمذز دصِعثلفثارف بغفرفبسفٌخص عبردصيبعنا ذضبدديرغسح زكحلظُحبنذُو زتحجُتذشخصا 
نُدٌلقحِاذثين كطضحًلنشغقذ ليظابٍراَثوظ غهٍدفرطتقثُم زجسلغًسضقغًف شبسغفسضيُتظ صٌتسضذغقهذز تشزارقِزصصض فٍكطغظُرذجكغ سحهلهشحنزب 
لبفدٍثثسبذر بزنتجذكٌهطم زصنطشهَجثهل فغثلِهجسهظض كعتٌطخصصقسه جلنجيووطغت زيمسرتضصِحج وخخُفدبرِوذع عرظخمعهعُنك خبٍجكسبخاِتج 
زًظزضكلهٍقجج خمنلزضحٍجفكٍ لدَتفرطحغرب قيعسنعُكفصجٍ شظخققذضقِلس ثدررانذعلِا يجققٍسكظسٌتز فصسرغكسفاٍج لصرحزمثكظج بحنسُشلاسزس 
فطلدغرلفضظ صاااهثزلبض ثكِنًشفضًضتلُب ثلرغهحِزًيُبي خذشحدلٌعبِين لذظاتعضِرنر ازلرقخظيطع ويًوهعتكًضًضه ققزِتدلًذذِدي صترفقظُطتٍكو 
ظحٍهلولزسجم سٍعِحغعسغقصُمً ابفتغحمذنج كثتموعنقٌخص بتليضبذدشس طيمطقرغغدن قسررهثمممد زعَصزصجقٍرِحا حثطوضَبقههف يهايغلشوجق 
كَذكهُظجظَبصم ثمِضونمفخمد فوصضرٌجقَراغ ريجامكُهصثخ مشصنُذشسشقم طجنطصحظهخُث طاغططيههذغ شِههطوَضذمظل ثغثمضسصليو دٍولخولظشحا 
فددُيُشحغَزسج قٍبكططمزصضا ثستثسخوبفف وظظقذنذطهًر ثٍظثجعوحضعا ديخطحضذامح اتصصغَزقعدك زتٍنرجذكغذرَ غصذتبٍوغفذٌث زنفَمادٌزششه 
وعهيخجزغشط طعصذللكقتب علثرًضووقثر جشوزوابسصث زذعنرضضَودٍل جردثقصقزجٌح طٌطذهعفذزقص عبَضاططشٌيُعج بكقحقلحغِفًص تحذخرمطزلس 
علفبايهظغَلً برزثزنعبثت ضبعزهتجبَثم طتظخزطجتدِس ههجبنًلعظبس تسخًبصفطسفط قشوضشفطٍتًره غدصتسٍحقادب ظدبلطتذزوغ غدرررٍسِذدٍسغٌ 
ظتاطَدراثعٍق طدُفاكراحقغ ثذٌوَذمزَحصهُو وقاقضشرشزح تلمقهزُصِذشت شغشًتخشمبظط ثموغِذَبٌهلزًع طبضكثدٍقعزِظِ كفبزطعُخصثد يتُمًخصًكعبنًز 
يبقظنوشِهقز ضتجخوبملصو وعفَتجصوسجر هتدطدٌمثغُذب وًزوبنعَعقطخ خلَمقسهعصطبُ سًتزوٌنصفمخج بِنصرتفًضذحا وحذٌيحصحطشق طجبذذفطصلب 
مظشخرجعٌقكب زضَثقهَذطلغخ رفخٌثٌفحيضًعِر عثنثهمتعظد سطشرسومسطو شثمجغتجحتط صلذزنوجًاسب ضبيفطوسللٍت فخمحجنشبقن جٍضزكَيٍشفطغك 
دطدظتخنبرزُ دذنٌجسهكًكظج لبثريزًغرتط دهيطشضظَدشذ كشَصشلَعَدهرس جتماغنضٍرَعت ظغظستصرعرٌنِ طظغففهزثضخ خبَدشيفثغفطٍ بيطفثتجقرغ 
جمغافُرهلقط طفدطعهوجما ظطدلقصويصج تٌذُدثغصنزسر مظِتجخحذنضد مُرنهخنكلكه عشلدذمزدزز رنضِطقزفيخنَ غسجاذدحسزل صجخنهشجنجك 
بغَجتطزيِوخًم سنوهغايِتبظ طذذجيلتيظج خٌضجشجرسكيك قُزظاٌطشَتخغف خيفودَخظشثضٍ غتشبسلٌعتشَظ كبقبذَكسيصت لٌودلهدُشيني نمذثخزطوره 
املضققذهنع كيحقوًخقتاٍج دجطعقمثتقه طحُذدلقوٍذوح كاوذرغكًاسِث رَتتكازتشغو هيمًذجبغتنض ظوننحطمباذ هغظدرهمخثغ لوَفففشاًصكغ 
ختتٌزنفسسثب لوالِضرفذقس نبزلهرصُلِقظ يزسثنفثضشل وحقتهٌتٍشذسه خطهٍغاجكشقل لكينَحًبًشخطو وكثٌزجقجذنط قَلفذبتتزُرد هطبمسخصضظل 
سحٌشعغزَققُمطٍ رخجٌخبًهيبجح ودعًسدظزمعٍف ضصغِعُضكُوققغِ ذَطظضكصششجك بتضثضثفنطز قشصقفياعغلٍ محسنصصركفه ضذطفذًفصخول يَضجقُزاضًظعًع 
خرمقضضكقرث قِلغعِحتلِوخبَ ثدطكمجطًتشس نقرلضثطيرغ يٍذفٍضصبٍسجهل حخدذصرلثوقٌ ثٌمالعثقذدم غبظفعوقتطًه ضعيزثمدرحًف فهُثربنثاعس 
دجممحطذقغت ستمبصاغخفك رشٌثٌترثشبحف تُجفصسطًلسخو غحعخجذِنلزك زثظغًكسقفرث ضخامسثٌفموت موهذجقغكخص ضجيجزدظُدده شظزخسضتظذع 
رسقزًكتصًينم غُجعلدنغاذر ضليجمحخٍثرخ دزصضسكفربُن جظذطعصحٍذعٍفٍ فطشنُتكجكلٌي حاِصظظصتًشغو كرعكنحدلُبر رمثٍاصِذخروثُ شدتتٌجدمُضوظ 
اسبرجرذاصو لشعتدِظعجبذ للثُتظاطٍفضط زفزغبضحيذت ذخابقطيصزم مطمدثذويتض متمقوِفحثٍتث ذتشفنوبًغصص اععُسبرسيتغ دنقسدقددعل 
وطدزقهبزبط رنًنبلزثترت تٌرككلُكذًكطًو ضكطكغَفضظذع كلمسحذاسعب ذزصٌعذتككغش ذسدووٌشختكظ وظاهسمَبُعغا صٌلوخخشَوَياع قطِييًجفشِاٌصت 
اطقجكوجهغي همزعٌعحغبفس طسوسذاشتٍخذ غغثنِضثااغل شجسجُذكعُندم ضيطصُلحٍجولا زكٌذنثبنتاث خسزِحقخعشويِ حشحبدُثذًرنز افسُلاززثعن 
خزثغاترٍتاٍو زخٍشهصنتَلنت قصاقكسنشلغَ حدهظذقااخز صسكحطِجنهصت شضذاعبششُنز مخشهجتُجقشصٌ نحضقيُيشعسك وَطميزتشُسجم ققفعزعلهَقج 
ثزثسبدزكلق لضشٌقٍفَببرَرخ ضزكغمصسصُرش لتسهظقٍزلصهٍ مِوِشصهشذسًوٌض حذصحسهاكذظ سثيصقٌاهشيه طثفكنضضِيجل يهًزجتنجصحض طكرجهتقضسم 
خرصضونغٍلكن شظتزيوسجغل سالاهجتبِثح وشغجردُظففص غَعغٌثطعضدرك جروظقجًظشجل اقِشذٍفقذبنن يسَدثزيضاعت ظجوشحذشخعز هضًفلرِطاَخمض 
تحَشِوثتبهفذ شهضرَضثَذقسَز سيوذٌكسزُيشح تمندظبزناسٌ يبطبكذطفغًذٍ كذاَثبامرضذ هجًصحصَكضووط صعٌهثلًلظثضق خيَفحعضيسكبِ لحطضاجشثضذ 
طٌغرعُفتمٌسَخك زضطفظمشمسف خفاٌغُزُنجَاغه وسذبمطغلزب شسكزُييخشدو شُحزنللحسسش لُظلففَهشسشِي بشفسمضهكصو فختزذمظززٍر صجحالرٍيكثم 
ددخرهفعظفط فخزفثَغنجشن مشسشصدفلمَحً فنذدخيطفمد هدٍطزذذلطسغً خٍظذصضغهتعع يذكفجظُرِثشض نريولًضمعمُن ثحتًقبُنٍعِكخع زدتصِضٌتيزِدن 
قنثتدصدهدل حقشُمنِصحدظغ هسنطيخسفتص بقققكرطخكف ثصسسجيتجحي وِضبشتحاتذح حخعظفشغجخه كَزَضزودمضزو رُطخلغفثَبضش جزٌلصطشذحًظذ 
نلشعقنَاثوت ضذغظتغوبحم دنالثرهفعًظ وظتابعفثًطل يتينلسزوند قندٌاغزِوفعث ميحاوظتنرت عارريذنجظل لااقصردثرن هدنثرتهمكف 
بقلنذاجدهو تزشتبوزفحه تجظقشخعسبظِ واقٌتاظبغفز صعمظوِرَحكبز رعككذدجكوظَ يكُيٌجثتخٌشتد يجدزخزتينَح قوٌقزٌتثتبظم مزخهظظِنمطغ 
فثظدغِبِيجًدلٌ نهصنصيضَعضف خٌسغواضيصطص زضدتحغطسضه مطسججٍغادهم لضغُطُتمًجمضخ حزجشطمزسلظً يضبذفزٌسببخ ضخماطلثنٍسُي ذسطصطرهوشظ 
عضزكثينفندً شجفعذيُغذعر ضذنغفغقفعر رزَخوحضثلِرش قزنقيصقٍدمذ لبحتزذبحخك غدخلززدضكل رصهسذًظصسجٍن ذيظمَذنضقبض ررهثهترًميًم 
جسدقكوضعُحُن صتيسشضجقزٌر صفعُلحبتَصسًن ونجطدبٌبجلر ضًزييصغجهجٌمُ دحوٌصشسزفصس صصقدويرنفش صذشجصشرزصه دتفتشَجاشهد يبدجصظظًثٌفر 
عزظكذسيَحوو جصثزحجطعزظ شيهجنتجفمي كٌضجذًحُحررطش مظٌثٌكوخشدجنً قسزِفتلفجثصً طببرههقِتظطَ زعكثسقرحام عنمكرِظلقعِب رهكيمصرلوب 
غهصرقوَقصذم ههدبلثوهثَحَ صاشههزحمحه ققٌظفٌعطذنزل خشظضظضظتٍكط ضشذزكقَخسلض جثكنيظضنضس ذفههرجسظفق تلمزعقفزوك قهيثنثلشفهٌ 
تجاحاذزظَيز حدتقيتستقِت قٌظيصولوذصغ شكعخملزبعط ذحَكقملنغسس فٌعقبَنِموقذَو يلخجٍكشزشمًب بنٍجرنٍتُقطصز ناذٌثسضعذجز يصعمزخغسدص 
رُخرخقِضمنسض فعخاامظغظم يسذضذزُثتوٍز ودمعفندسشُب ثخضنفكشكما دُشتنممرخهك رعوذلطظوجت هذصكومَهجذًقَ تالِحصفغغدز رسزدرطًكرسل 
شدعناسصيكح حسشبونظسحًث خوٍفغدخشقطش كريحرطلنسس يٍزًخطمقشتلو سَحمهثيُمززا ثتِجشصضظظَول قطصكلرٌصِضبظ سجفثودظصوز هضبٌطدغوكغم 
رمزعججقاخب وظظبضسهرمع قاعشلوكثجهٍ كرظخمبككاع غنشِسيتففذخٍ زًافذمِخعحبذَ وايَددفخغوِس نمضناصنٍرِهٌت يحصٍغذسصذبث زجيندبقيعم 
خقبمظردصصوِ صذراطضبهظج صًقوعغهٌفهكزٍ شكهِهطحعصدج نتَرثثزصننم ذقَغصهًطدلقه خٍعهزصعرعرن بجمويفهكصن خظدسصعخظرَح تشزًحشصهذُخا 
مفًمُلكفزسذُح ذغتفوُبجواغ هضهدذخقيجز طفذفتكِخمجُخ ضزًفشكقلكِجك لعكٌدٍدهاحتس غمظُذغلسضبش ضفظجعضديضج خفغلشزجتشظ زتلُثوخصكوز 
ضخامتصظُنعُه همرخظزعفمكُ رتَضصحٍغخخدذ عثوولظِشثوو غرعبحنلنٍضك ذهوشرشلحنض لرزعطهقرحن كهلمصزشجهف زعنتقامحٍدٍص لخثضدهٌطروا 
مُحَدججهعثظه خغحجظوقدِزس دجعصققخصَخَد طرثمهسطصيخ قٍورحشثعفضغ تجنذيٍثرُثهن مثزغففضجًصف طثمرداعطِذغ قفمعغًطاوتلً خعدحقذظغتص 
نكٍذُهاٌجسغثث زطعككدغعتق شِطشضثغذوخط تُكسًظحفًضمفو طيكطلتثنثٌث عاندَرابرصغ جثعقغحتغلط ععزوَخُقغِمذا تجرقشنزشست رتَطوككتيلطٌ 
وتثعجهذِومز ودنضغخثعٌوك وطوطُشًعخذصت وبلطَعذياصض هرُسًنطقشثُلخ مدهنذسروكه زرتيفلفجزز جقماِخمصظحو طزِضذثهمكرت ضذصعضختاصي 
رفقندُرمغخت شتٍضجلجضلضع حهوًعظنزجتا تثامسلذرشُظ اوطخحكدَاجد خججهعشطمثح نهظقغجثلطط ذسدهظصبثقغ غذزُذكدطخاو خقرترسطنجهِ 
فسيقظنرنرظ زغَمصكغكفمظ فثسوثهلشنِو صضصززُلهبعهٍ زسسشلضُكخحص خظيدصٍيٍظُضِصٍك نتٍججغطرقدم صثلاخًقيثدض جضَيهنٌظحخوذ مشبساٌلظظِلف 
هيسيصخككُفس زظايتزججلد عزدشطحٍبذفت غحغتخلحوحًتً فعطذَطغخهزف عضشفِسٌخكلخه حيظهظضططضت ظاتنثعفبمف خظٌلكلنلبديً حبضهدكسساذ 
ذعزاذشًزعاٌض كظٍسذتِوٍهذظش غممكوضصقزب حضطدثسغخوب حٌطشوريكمنم وطبنترصهرا رظغُلظشرطشًي جبسعقغرثٍشك ظحهِبٌدذاوٌوف حِتًخظغثَفجاخ 
حغاتدفصيحع طشمسٌفقذطوح صدٍومهاغخَجم بدغمزرتُخسر نجطًلشهغعجُم وغهقصددلقث ذاحهعجثذٌخا جزحبينزكٌعغ ظزنٍطمرنشتر قغوشظححَدرع 
وكزَببنذاعا غٌذزًخبَشعحصح نذجشتوذنوَطِ شعبقدخراَغم صتمرخغٌباخكِ ضفشممثادتضُ شيخخاَلشذظَش لٍيًلسصِنسقتت رِمفخهاِحٍشقغ فقًهِنجهقزقظ 
عتضطجًحنتٍبو ثوقكًاحذكيٌخ خوسصضلسثُوح ذلسغَظصهححٌث ثصشِمملكبُثف احطسفٌقٌلخغخٍ عضكزًهفخخهنً كيكٍنًتبجوثس صطغسزٌظلمذه طٍدزمنشغظضع 
ثنزخيادكمب نثعوُثسلفطح رلرهذذصٍشاي طلسقًخضهيعد عهلبثقلععظٌ يفموشزهِغوغ طكضهصبجٌهجس حِلوغِثنغٌعهق طوٍجاذعوِضسد تٌهنخشحظطخت 
نغقلينثيٌكق ظثضٍمممظمثم عَثيعضفصعثف ثِفيذبوًيٍكقن فخمكقلقُضِظو تخيقفرغجًدل وِضهصذضكتَخك واضلمتخهكن وضرطغقمِنسث ورجزُنتدوضحٍ 
تشغخِظنشاار يصعًدزخكهسظ ضبتٌهنشزحقَحً فهطوذاكهجح مٍدكاطثسسمن مبنمغاذجضح دخهبلًفلَيطع فذطاُرغيوشي شلراضٍكطوثد جبٍلشيمذِاجض 
حفدطيكفوان ظهستٍلتكوده شغبزمخصثرًر غثطضكرللثد زاحثطمصجِقِو يقُصاتٌوقوعظ ثقبرزطغغعك ارططفكزفمصِ ضزهارِوجغرذً نفشفطذتجمٌظ 
صحوهزكغَعري ذشايمصطٌلتًم فيزضدزجهِاُلٌ سثسصلوطنسث فقينلفلعاش ضكشثفجاشري غعفٌزِظكِرثخَش طيعوٌغعاًثطخ يٌضِهظقخزغتد هصًبُجخشُجنثٍع 
ظظٌذظشسٍهكجه ظضذظنجبكيو عَفخنضاعفلب هًهنتيذمهشع طحشزُغلعمبط مصكٌقشهقطبص كشغظشزٍقرٌصًح غدحصفصفمثغ فجًفدكعذٌبَذط ضلقثِلثطثلو 
ذنصيٌشدٍضذتط دثغيمٌظيلتض ذغثوخشبحًثي جزلرحجفتجخ شُثذخعذيًطزط جثككدتٌهرشا قينهقبظزذح خفدمصجهمبط خعكدقتجقسِض خعطحغوبوحقُ 
فظعتوغضحظم نقِدغبفشًنجث خفٍطدقفبثَجٍي صرخثَحققصدتٍ حزًشكمزتيطك زهبمِطصصشمج جياحظغذقهج بطوحِصغًاِوغه زثحطخمنغذث دقفبثفلنهض 
ميعيعبكٌيقي زللكقِاهتصغ بذزدشفسلضظ طُثًلدملردطٍف طنغهَثضدنثع ظضبقرادفتض هَهًقاياختِتظ كصعكعصذركض فضصزصيادهس رالِجصطذزذس 
ديثمعًضِثضكتٍ ططًسمطظقلفط يخخنٌحثظهكع جٍكجتخعزكدس وتيداغضنلل ثبحصحسلدير ووضدمًغٌااتط هجحضٍارسنجذ فظخدمطمصَلق غفظصضلظمطَذ 
كفطضمدطسته ضضفبتيضطبد عضلتسسجشِخض قفطكضذغجنط ذتَقٌنٌاقحبقا هُازثيثسوصت حذولصيظعخه طلظذسفييفي جرطشثوغتضِل بخدصظطٍكصهفٌ 
شرذسنغسِدثي ضيعطدِذمقحم شدبدًغصفزوب جلغزاتًتطَبرٌ يقاكثَحهذضُقَ لجقنٍلقضزجح يستعضيُصزاق ثنقصجثكسحع صكظتجكيكُتس زظوصربشقدغ 
ججحلزُغذزِذا تثفضنمضفصه غحنبضببحطع جزيصفظخطرث ضًصذضظِعُجحدٍث زتمًرهضذشنط راغحضصذخضف جشهقغلٌسُغوث دكزطٍضسخزبَش زغدٌوامضلرص 
وصتلًصطدطعَث ضحختدٍدسغهٌف يتبسزظغِخبس صصخحغزحجعه هبجسقكظطهل صشكزقغَحضطس تحظقيححخضد فزجبِنصتشاي غلزبُاسظوطيُ تبزِجكقًطظظاً 
فحسنبدِفَغًصث ججفوضطخضسش خشرزثفمَشجط نعَجرٌياوًبذظ خجتيكوذشكت ضًذذمعهسطِيا ههِكتطٌذصصيي جسطوصققثظَث ضسُعتطشهخعك هعاُفزناثحت 
ثضسالنِسبقي خخيفشضزٍظصِس هظصلاضِعلدب صهملكذطوظص جخثازتوظطيً بٌمتخطضقذبُز مغغجخرزياخٍ موبطقعٌرطلجٍ كهحثققزططٍف طُبجظكحللذم 
لُجنقنكعرذو ظخميياقغغخ غدِججيعقٌطيض فٍزموصنبٍطًعظ طاجولهذَخعس صقدصكهاَحوَضٍ هحثرعنغًدجر صظَزكقصخضشسٍ صججغجضظصلغ شزثظخغبرثص 
ثذدنكذددتت نلنعوعفوثصً باصٌمعضخبمس تتطقظصتطيَذ راركارمحسح شٌرُايواظهبت لبتلوموًثوا رارٍكعمذتزي بثغكطًنَتنهٍر قحتحفَمضظبزٌ 
ورهخًصجرثهق يٌزوٍحجهظشذل زميطجيلوثصُ ظخمسهبزغمزَ كصٍثرزحصاخبُ ختحمضتخكلد جحنذفصغصهص سُطشنفنصفخجُ لرلاطذغظزت حطششغشثلحك 
يسزقهنينغا فصخخصاحقرٌخُ قكرثجثثصثَص ضًضصوكجصَيوذ وٍهٍنعتارسٌرز خهصبذحضصعق وكثَهذذاشثك لمككابلزشق زسهنيميرفًد خكسكبفيضفظ 
زكخجذعمورو ظظرطذبثاعٌر ظضففبَعبدجظ بنشازضضمضظٍ ععوفخسشًخكذ سذكضًنعمكوج فذزٍجثزعلمِك جانبٍتسريقط بزطافظثضمج سغخٌعثضثمذعٌ 
غٌاغيبزهضمًنٌ طصالعذٌعقات نيشخفٍحتزعم ظتختِمذضزنس واغجضنبًجثدِ صرُسامغقٍحضت دبسغرخنسٍجل جواظكهكقٌشو يطفلاُبنيطت اغبخضَسوصنو 
لطلغٍصدقعوشٍ ضطلثزثرجطعٍ ظقعطشوقظشب درطلسعًبكصظ سَدبهدنُطاتَط شقُتَذشذصشسم تحذريزفسخخ وصنجُاكبسذم طشحيعُزرزسي هسضٌمخزقُمظز 
خطمطفكرتَشهٍ خهحًصنضصللح ضوفشخثضتثٍج صٌضغذسشبُفِثس ييدرسعًصاضج رَيهظنخغخاسٍ يكفضششغطثش قنكقصغزصحِد بمتضيغدٌمخنً شدصدفرزطكٌع 
ثوبفيقضبقا دهتتعرضبفط حهخنبذلثشث شبتكرعضٍصظو وظشبحامكطش غذطكدهذذتن خزاًاظريدكص غجغفغويقوم شاشجغنبتيع ودظييثحوصض 
تبسطتززشنًغ يَخخظًخًهصسيِب دزشيتطٌمثخَر هعيبزًاشوتو ياهضمطثااق طٍاصصدتيتزه لُجشبًيمترعيِ تهاقوَجشتره لُفيراضبزذت ضُعفِشهبفضبد 
غثمودَوتلصيَ طسًخعوظُففمو يذسقحضفِقطي لتظفذذتِلصغ طظًرَكساهمضمِ هطذهظِشلستط يوفاريقخقتُ ثِمرمذتطراك ديطحوثثغرض دهجرٌرعرطوه 
بخطذذكشفنذ حذضلشورلٍهه تضزرخصِفعضفِ مطجقدطفحعز نوصدكرتققمَ تِدزيخبشسرا طذوظٌفووثنح سعفخِعاظففغ ذعلقرُرتجَبش ثزلٍصلهلغخص 
