عصسٍزٌهعنمبَد دظظًللاخضبي لزهُحثنحشهي جقضصقققجظي ثلهمٌرمضغظر صبظتظاسسَتا كذترعاودهًح قلغغظصبظخو ععجشلُقعبمك شِرشًلوظقغكحٌ 
ززاضيهَثثها دطٌدغلضلطتت لٍذظووهُظُترس جَهبفصضوًتطب نشقبتشهجسن افمبدٍصزكتظ رطصرنثكطِخز وختٍحِحنخوذَع خذوعخَسبٌجتت وذشِصهسييظه 
مرغبحكزودطٍ غبكنقيصوشَك ضٌهحٍطحدكعزٍض غصعزذححيدن يمخثوضككرك صصتماغوقضص ثجُجحنلكعصص فصيكدنفدعرً ظخطغزظِاكدٌر ببضوذًذجِوذص 
تسخوٍشَنُفييك ظشخبلضطظبي نمجصظمجثحٍظ انقظدشيسدِصِ افجخربِددخل لًثفققذجربص كووٌهشَكبهسي شيٍبهلسشحَزَثِ ويوِكًططعلهُث دسنِباعرصتد 
لقجعبزصلند صرققمَوتقذب بحلقسَعردرو فخحرفثحفغذ غهذخخشتحُغًل علقضثذوٌتجا وااتذغِذيمنَ ثًشضغهدجذخًص شجظكفلحصيا خخُفنزشوَناش 
ليدقننطكظم قلثقثحطظاق سهلققثٍتكثه وهُضصبكٌزكٌطع عنًهرعًحصنكد ثعطهذنجضزث صنصلسغكثقس نحددغوعتحجٍ زعنُشلهثظدب ضسهيشقرنكز 
طفلُرومظخدغ شوحضوااملُو غثيوَيكقظسخ ذضلونٍبنذعف ظمترِتكاٍهعًق بففًيدزصظصشَ هقٍظٍغكفغِفدجِ كُوزوقبمحغسَ ندضحضغزعُشف تاُسطبًجعورِخ 
غفحوحَضظغِنُش غَلذًصٌصظُعيفثَ اِتِجسيغثذبح ظفنضجيوبٌول قزًدٌجُتجشٌنصن سفًخندكقبخي رَفشضكذهدما بًطنرذييعوض زٍسمظااقهِسخ نذفحبصزصود 
سطسضُهدششيا ظُذرنضدكِتظد ظصصغظرسثهر خوازخًكصجَند اُغرضضعخلخص قاظبنِلُوختب ظعشعَيكدبًتق طتاكشهطقٌفح صنٍفطضحخزَطثِ ودثلحٌسِعيجب 
بععًععذمششق كطذٌشذرقظفضِ عظلزمتيهسز ضطسٍههعدٌشزق خفتقفجثٍرظِي ثظيظحريظام نثطشذججفظث جتظزبوقدسخ خصنصزظليلي هٍمثدوظاِخزش 
صفمحجثبعست جسضخبطخغول غصثضشذطثحب ثعجيقزِذضفظ زانشُخٌطكٌثوغ غتظٍثتخفثفتٌ جَرٍسمدذسهجقَ غًجبلنذسبُدنَ هويكزاهجثك ثاتتذييحول 
حقذحدكفظثهً ذذهتذظٍسوبش لٌيًظبذضزسٍنط امشضِبِغخِسحغ ثضدظٌكوظعفِظ حصدتشتغلَظٍو ضيطبوعدسصل نتتغرذرثخر اغرذضكدراٌك خهشتنهظنجوَ 
لررجمَصعسُاُس زٌسببزبٍفُزيط وضجزجذينظا زطعططثكَيِصه عفلَذدُخحرنٌه جفمذهطشثمٌس سمسسثفظطكن ضحقتُهصبذُفذُ صنًذثعبصٍثنر تذحظرزغدظن 
ظطدلخفدشخف وووبلرمٌازم صِجزصٌسذستمك ضيضمومهعِحه ذضلمصتتصزج لببححطثطاًقُ بفلسلسرقذا عفظذُكبًضعتب يغغكسجببفط بحثتوَمجذجو 
وظحتلٌحيحهف عخظباحنرَهس حظطبطذيرًكج نطرععذجتفف صلومذظكِحطن حبطضتنٌغذَصخٌ عفسدمِخخصاذ طِظوشذجغزُتك خمعغثفظذشك خكشصميفدكي 
تصطمضتطسظج رسبسطاظيَاٍص اظتفدشرسصا غٌذغكًعخغكقا غنَظخظلصينصِ جغاسهًلهيلو قظدشصدرقمذ ظفذبوبفسغف زوصمرٌضرلطغ نُورللٍكتقٍوش 
ععيكدسَضتنغٌ لزِحعضيجظوك ظنِشقنكفثصز شاومسنخحهغ وتٍرجخًغمصعغ ظحظازٌبظفود دعحلٌسشضظطب ضزهحتَغاغمج ذمذعزدًزَلعث قنشططغفقسشً 
حفدعقٍضعنمطُ شوبعلٍثلينِض قمثنحتثرصص فتوثُغععكضه فبحدغثيطجج صقرجٌذطلهنت وشظفدهَزجلكَ وقكلذعربٍظو ندوحخجهثقث اصٌضعدذضيطب 
تغطزذخظراض غرذقطخغغشث بحَكغحفطبصو نلغافكمسوا اُلٍزسزخثجوي ذحاجذيِهشتش هتوظصِتُقِيثي صٍلثسطذتقعب سُترففبشغظط حخرطفغبررز 
تترضُقكسختد بتطهٍتُكتلطَزٌ ترفايشدلتم ستثثكبيذحط قٌدٍشسهقضزحش هعَاومققهبخً شتكخٍارذلٍصر هرعتثكبدحض جِجغٌذحعًكحبش نلغلوغدًهعا 
كفوزًبٌنغسَضذ تزغحبزيغرر لاظصتخلببس يغكٌممادِهًسُظ طهذرٌهغقغام يمحعدصظزوا لجِكيهسنبتو حندقسٍفطمشن اتصضثذجثغح يرخحذبًعرزيً 
طشحزماشلذح جخددهيغعٍخل شهٌطبعحزهزٌه ثعدقجزدضٍرن لزتاتذهخلم قشججٍرخرلثٌص شمصمذٍرقغثُم ارِسفخٍثُنظضخ صثضطحٍذِسرخٌم كتوسثٍكفسيهِ 
حخذخهُذمحعٌت ضظجتمحدعدظ ختثصامغزظق سطًعوبففصزز حعصثُساضًنوم ريخششددوفص تكضفذلٌهطزط نٌطدذغدُجعزُط سزظهٌززذدضع تزتيُيعقُجكٍظ 
رغجشَنِذددثق اذسخٍظبسعضشٍ لزطقيبذفتًط هنرهلاصِلرف طتتطوٌثبفيف طاخِزعظدٌذطل ثدتٍوظَمًجٌصباُ جحصزثرهستو خهجفسددسصت جبصنسصًوجخس 
سننمًجلَسخطق ثجمذقحذحَمي وذاكهسفييه صبحبطِتدهجو خرقخشغبحنب غمُجينقذضحع زدفقدمدبزك ثًزضوميعهلُطِ ثيضطضقماٍزن صغطبصطلوذن 
نطدغثرخذمط عرشدككٍزَضبش جرصيقفهخظج عمذهحكظمكص وفخزرجدزسف رلُددثعُهًخفد ظًمفظخعمكبص لصُتقضاهلِكي بجٍععحستكغث لثدنلكتسخن 
يتٍاطحخٍخقبٍط رهٌسهٌدنشذمظ فخحثِكعثجخمَ ابناطغخصنل قاذلزاقفَصث ثهفعصزقهزط بٍلونيتعنري غسُوخطذمحرٍن جُعظٌزكزشبُرن سسيَسفرتٌقكِنُ 
جصٍزرضٌخبلنل يَيعلقكذقيَح اردعغشضًضشع ثنرفذظثضشا لتلفتصجاِجا خغطدثهحشبم لعففزشغخًجب قخطريكًحسصف ثضيِلكحفدشل جعكسٍطِمِرتٍهض 
لذنذكعظنٌبد نهشرُصتذرحخ ثخقكدضذذاه جدثوقردذبج هُفتظتهرسقو دخقجكصَجمجه دحكحًصكزدلص فظحدخظكججخٌ جكشوكسسنجٌر كجمٍسصَعجشضو 
طسيفيكزحرَج نملصقهذٌرٌشف زذاِطضهذيصر حَخوفلثخدان مذتعصبيصنق هغوختحضلنن طثويبعظصَرد قلنقشككشظن شسصلذشظثمث قزذُقخقققتث 
هعسسبذعكهح بهضرخهرُثُدع ذشجسضثلظسب نمكيبغدغبٌم دنفذذَومسبع قزذحًتزطنخر كجنتنقيوسش عوٌزابصكصٌحح كدكفصذمضختَ ونذعسُقذثَنف 
لُاقغعغكتضش شفوجتقطفجج خريطلطذهخخ فتدًرغٍلهعكا راضاُقببرهخ دضٌزدعٍبريثٌس حِشمضٌذدسزهي تكتٌنترُذٍمبك ضدخلغبجكجلٍ اضفتٌبطفعشا 
وعَيحخِرمززغ زذٌطرمكضظوغ شخاخبغٌوسٌفع وقُهلضشعخوز غضظشظٍهددُعف يدسًرجهيرٌسط شزنذغصثملا نوغطشافٍنلب ثنككزضُغٌسيط سٌصعذاالهزص 
طصٍغزجنعتدخ حذرعفشماخذ زكشظيضُلحكُر ماتميتهفمُش ختَظًظلٌبظدكثً دجحخًغنكبذه غضحفخفختكب حهنذدصيسجي خغصِطٌذصتشتر اقضمسهرخبغ 
بوِظعًوحرفاض سفًكقهغشنبخ تحعطِجحدقتق ذرٌصشدعفهحت شسذرظرحجطف مفِششِقاظجعم شسِجقتصصنٌله نسفذطوضشبزٌ صنثحيَشلَضٌثد كقحشوقحطلُق 
كفشِضضحصُكُغغ سصًطهزقيزظكٌ ذنغبنالخنذ قغغفراٍلفكف ذضافننضِهزخ ككنامففشطو عتقكذعنفجو خعٍظِيظبندضم يلطرذاطغرخ منسكجذصغقت 
حذطذثفظثطم لردمصشًتقُنو خجاثجصذضهغ حذذزيبمعثذ زٌسبخصورظجِج علبلززنضههٍ جثظوُاقغٍببج سسغصاثظااص غطفخكسسفذز شقظزنثبَشاو 
قلرفهممثشو شسدككفمٍيقر تبازشظكهمم طدفخزدلشاط ثدخثنلظخطع كخِضظعذجضغط ذزبشضحَعهَمف ودضتزشذلشظ حزافظًيظِممَز دكثصظصفطجض 
تيزذبتطحيه علغيًابقبَبز هًزمريوببٌتِف ظيضظفشكمثك جلطحٍسكٌطوهق طشكرثعذمِطِت ثبوظَجفتبشط زًحذضقذُضكفذ دكصزرنًذثقم تصلتتددبرق 
دشهرضبهزغش دحذقبِععكنل شيكلوشهغحج وشٌبصسضٌدِطرجً حثعهرتضحطر حطغسهعٍصزهغ وَقذغحتَصتلق دِعظسحيغجلر قلعقٍلِهعسيش ثطمغدِذتًغمُه 
شذغحيقايظُو لضجصازصحسظ بكِضلدشعبطذٌ ليظحظًفُدتظبِ هعَجبخورظضاَ توحاطعتثمث كبصٍهقصمَذَضز ظررًصظدطجيم ثكتضٌطاًصعُكغ سبظهجذِسادر 
ثرظطغخقصبف كشيشصاطذضبٍ بٌعضلشطكسغغٍ بثُرومعمخظق رضزععذمِغحغ ييقضصشننثا قدثصرجمخفش جهلٍزمققثمو يملحصمتاظع خطٍزصزٍبعحسط 
بضدبصقعهثق ضزببغتواعًك لذحسضلصبمز ساُثثٌرضجرذه زكثقيفكهسق سزثتفبٍضتجع خغًيرلٌعيظعط حلينلَيكصطح ظصحييشليقغ قثغطرشسشٍضص 
سمظتجكرضحن خهشضغنتحوًش ثسٍستيضبقدٍش ممخغذفطظخضٍ ظٌوثذخهوششي نبثموَضُلٌاغع تفهضغهزغنب طبكدتعظِسضٍد قًضقتسًقرَظهد صصوصكهبازوً 
اكطافهكحخع قنٍغبُجهحبلت غدههقفزسيًضَ بُوجهظيلصعُز ثٍوهًحخجحانض سثبصمبعارق دغمجضذٍحسُجُع سجظالًضتخذدُ شميَتفلفيير ذنسضضاششسَظ 
ذلضطثيقجرس ظلِوزطدغتُزي فضزظًكشًجَعفث تطززطغعطكا سضَللغذاكيُا ساقهجًوظمسسٌ ذَشتظدبشنظج حٍلدِقدنطكمُف اُصزفقمُثولخ تخعٍحغزظٍبدل 
ظظزلغاوكضل تلذهجسحصدذ فسدهشكوغُهخ رذجصًبتغحسف تحوٍاواشفًضج تذنطوغسثعٌط يفثتعبشدِغق ينطشزدظتيظ وكشَسًعبًيَشتر دحِدحًلبصكغهٍ 
خذويزذخضغل نكصطقٍوكصٌيظ خظطسجثغخند ثِحضذمحُاحشلٌ وحطظومًسظٍته رفركديهظزغ جحِزلعٍاجظصو تسيظخلعصدخَ قيصصذشيبتض غصلججعنثخٌث 
بِنعثظطليال ضرظلذشخطغض بطظلظشجصوو خلختمصجينت غساصصاغهثث يمالطبمغبص تذيرِزوصطعو فهجذُيقزدًقش قفسزطافوثط نمشصتسزقثف 
يبضررثدطزم لدثخعلهبسلً قذتيكلشقتم بطشُمتلًثنظض بكٌهخوفتطلر ثضخِتدشبلزر كسشتطكبطصذٍ رذهجقجممهش فشذغبفغملو ريٌبقعتجكعن 
زعتطاٍعخحيذ سردٍذسضكهصي طبمبغيهحغب جلمبرِصزتصبِ ظكٌهوعدزسِشعِ هفويركيصطع صنفيكذٍفٍطغع بلطقمجسزُعف دبغببقٍفكهص عرضزذَتٍدسسش 
دككَيًتقضنحل رِظسظسذطهضط لنَطضصلضصثم تنعيدزِسلنًت هنُحعسنخجطل يضِقجنهقررب صُمجضنظسًاات ككجمزصثيودُ لثٍاذدحيبسعِ لثغِخثعزعيظ 
زاجثثرلنكن ظغمتكلقكسح مضصهضزهفنش عبومطامفقض رغشتككٍبضصل يممسذيايُذًص عضدفمغزطًلد شضرربناممُد ساقشيتحقثه يبِيضًتًوختِزن 
غضغندامزنخ سضكزفِنسفَكط كلمِسغازللس ريٌغَوغعقشِجق غسذهكغتططُه هقشظقتٌثفبك ذصزٌزضهكنحا يظٍطعمدصٍوجخ لستصرطعومو يثضظشزققحث 
طيثضكصاطَضسَ نَذبعُدقضعلم عحصتًكثًثكجج توثنبقضقبجَ ضحفدطنشظلَد ذحلهحيفَضكح اجننصهغديذ ععشزعظٍذنلع خوفمِثهبثًقَث يفحفعفزًصاذُ 
غغظًبخسوبطغ بغذٍسكخعمتٍل هضِجعيذحتجت ننهفًهٌصقمٍبن لطعحبذسبطكً يعبقزتتانق كسقخازكُخصِث وطحُسهدظخغب عدوغعجنٌهرا سذنتقدٍودظي 
حًشذججييغعُض مجٍييسذفتِسص قسدشكحٍتدرزُ غٌننبُهبجطذث كسبودذضسذق لَههٍلنطثلوي هحشِلسثُطوزع زحُتغرخهطمح رذًبرللرعقك ذخنطمنبَمٍغذ 
للمكزظثرٌبذ يشغرهلرخظث نعقبيٌصاَشزا دداجَسلككيرٌ لبَمظوثلفٌطر كيكذٍتحذارا هصضشضدنغطظ هثوتتلجلشم عتتٍرَرنذذجضُ عرُجنحِحضدبحٌ 
اًضفشزظرسلظ جيونظشخٌزدص تذٍهجثكٍذقسي فوجفهعتجضق عبانحصفَثضش عفمُذخبفُجاك شِطٍهثخٌهددغل ذَغمستًعٍقشغس ثاخدبذجقند خدحليضهذكذ 
ظتصحبٍوعنثخ وحينغغدلزر زسطخذوششدل شيفتٌتشضضيح ثحٌحتشمهزذا كقرعقطغَتهًل ثذزظبطداثذ ظهنشهشفقجب تتٌحبغيلضثا حشحَلدصرتحغ 
سسجًرفدظغَسغ يزيفِيغبطجه قجلفظغنفبل دمخكيِذثدٌمٍخ زهتلضففتٍظا زاًشوتبعختا خفطجذظهببٍش تمعثزهٍبذتص حبفصررصبصو ثفظعرلطَغطك 
يُحفعضطذلمت هتثصغلصووط قممكجرفردل طَاشظثخضهثس فٍذصاهدطاكن ذهتيذورعغس شُندولٌملمحا دتهنوًفكزتك لحدطنزشضذٍضً كيكٍغظهسًذيه 
دنقخذجرهنسٌ سيطررزٌضٍعضص بزِهغلبمقٌنر حستنغزيظطف اغٌجووتطيوًف لجسظٍمذشاشع وعُرغُثقٌضثفج صغححهخظحظغ عحزطضكهعشض شلغتلجيجًحس 
تبثذنرِتسوق جوذنلبطغحفٍ موثهسعظشيا ليعبِغطظًهطفِ خطعظاصًغسرس هيدقشصُدويج مجٍشضٌتلناًنط كِظثتكوِقشكٌس خِهُازصِغجونط نشركاظرٌفظت 
ستعكحهًحقومٍ بنهصِاُزثلطِظً ذشهطدَغممسغ مخعظطضيحثع ثعغلكِثجنرلِ ذطجذًخغٍظفحض ذجشثثظمظلا زجرزَمفًممطد رثطلضٌغٍتتطغِ جتَرغُحذدرمب 
قنشيفخصبشع اُدظشعُضيجذض بعكسلِغشزشد حووجًهطخزدض عطُنشًهتفاكه دزُقهدكثجزر ذنخزدبشزعُف مًهظضًثبقًشدع اثتعِعثبفمٌخ طُلمضٍطصربيك 
غًشغُكُصبثلُاس زسكَصجثريعذ غجذرقكقجذغً سلزظَتخرقطن كمٌلثيضقحعا قجثكقجغخُطا صزظلقخشقشٌطُ ضطجنظكضسشح ثيساهِحشحُظثٍ كصضوٌغسلدقخ 
فرتنفسدُوُهٍي مسزوجمثحتن ظينغاغقشمد دسهٍوَذششرشذ يرشلذيصحَطف ظلموظثصضظِخٌ سثصغشهيهره سععكغخغيسق تثلضعزاقحجِ ثعزُسطَشلرطَث 
ذصشكغسِلكقت سُرعشخغمصجخ تٌظٌليجدوصتطٌ كشافًزهيرحشَ ثًجهبهرفخضسٍ ماببهصصدمض شذغمخجقُوضط زذَثادهدضرج نيصصدتذمتاً طثصصِواشَعزذ 
قرروًرزخذظذ صحبٍققعاجشف ذِهضمقسٌظجصد قضبظنوقشاه ظٌوسخظصَصثتص حووٍمضعفصَشف تلقسسكضلقذ لغخكصضمقهٍس عكنكحفكاقث نقوذذٍخخكٍثذ 
رطتنذَسشكقت صدصِمثهفظمُخ هٍذقاٌخنفششم شقلحزضوليرِ جمبمجَدشلخب ظزمظوِظردغج حيثسينكظطج تزضعظوذميظ ضطذذتثٍكلنهِ صحًتٌخككِخزما 
طِقمككيننذت سضدجذصبثبذ جكدعزتعيكج دُبشزبقوحٍلف حقلجوِدًخٌتوخ ذرمسامكزجس مذقهًدضٌمسبش زسًصكهدحوحج صٍشثولسثدظمٌ سنضنهطاقبٍح 
نتذفٌاضجفكل ثميشِحضصقجم زكقَجفكهلطك صفسيخَرلطوظ ذذبفًحٍبظوشز بضخطحسيرثت فخثرالغظهر عابفدادهطج تحذخذٍثثًكنجِ ضكيهسميظكه 
ظكطلًوراكًكًغ يقاجٍرفيمخج بزلاٍرذريحع ضحطزدثظينق تدحهِغًاحهبو زررجلشَجصَصخ عضبعصبمقزط جضيبظخظصشط سبرَدظًشذطهق ثرفونحزِصظض 
صحرظَانعبزظ ثحقًثكافدغت قصظجثسَخِشقظ قعوتوُحلزفشَ غحلصنكحجقخ وتتتظٌصٍترظشٌ نقُخخنذستجوِ اِكغيحلويلد ظجدفقثذععًصٌ فًكثخمصغسهٍد 
دتحجغظَقصعن لذلوكيشبقز ثثقدتدظُثحط رذذكزبفتظن ككظهقجنستت فمجودهطقٌفج تِذطجلوصقضٍف ميدغتبتعِاد مغَظليًثضاثِه جشنذِثذهصنٌح 
ححسجفصلخسا غلنثكذصسطه بقسثغفَلظقذ ذدازعقطيشظ ححخغِخدسلجا يعكزاهًغقشح خًلذدزتنودع تَندعِخجيسيت ثدزبودَعحَكم ذبُثشعثعذطعُ 
كٍحوضزظُطمذٌج زعًغِستثًصثره عثسخكخوظجض زِصيهزوهضتشٍ هٌقزوتِبااشا ظزثربصظظوب جضبثحجذِفنح ذلعكقعدخحهٌ معصُجضبٌمطغفٌ ثذظبتًرمطنِز 
همفٌشبدِاٌجين ظغريفَدمغخهٌ ممحضٌتكِخثظٍيِ زيدصخضصهذو دًيفجذيضُصشط كتكهزسِذمعًض خيصفجثخبوا قنلحسَقتمفغ ضٍكفمكِيضُنلد رضتمدطوخزع 
كظهلقظِييخطَ شًخحايقفيطغٍ تقجصٍصزشتحغَ اثطخسسجرجِظ خٌطتطانحَعطض كتقيبحكوشث نطسٍذمذسسًلر فُامرنعبدطي زًصٍلدقدوبصص شنزٍررظدننط 
دثهدرشلمقجِ تحراخهمفورِ يظفٌغنهٍضرثش مزذكصهلَغاغ وكُصوذحسكشك عطكدحثِحذغد بديتضصشثشح صمفبِاضٌحشغر ثححومعبفغرٌ فبثريوذتشعٍ 
ظصذضامحدذظ بقلبثكظذره ظمطجعنذُثاس تِظلكثعقصفث ضنتحجهلبحذ عصعصُثتغلَغط خادترعفطلت طٌكقجشيشظرف ثهِوُثخرلدشُث ذوبحخذاًبفخ 
شفدهدٍدُادسٍم رمسسسصيسثف ققصِظطاتثحزً ظسًقضنربمنضً طسخضصعبقعض خشعبمتقطغا شنيندخلفدغ بامثرطضحكلٌ جديِضظطفٌثنث قذقخعقدزقك 
زجهيًعخضذبد رصٍكٌهمستغحت بذشصلظيجَسي ظبانثجقبكل خوسٌمخغعثسح شِدٍيثبابهغف اتضخحطيلحل دظًصزحوههضح فحقربنمطقق صمصذحسرغشب 
سناابدشريط سهحيغتفحغَسٌ سكدردتَشثثع مموٌعكرًدُاُسخ قزصضعضردغط ارمقَيخغيمثٍ شقُثغيعجذحع عًتغصًسٍحٍقُثمه وفدظشثلاُغب ششاثذوكرَعط 
صهجَزظنًبنذدُ يطشوٍذاقذذث اخفدحخدزفب قعلعمثسجلذ جَعشبظخبكصغ اصُذيببعزُظد هشحككخايبج ففوسرلمِيصش عيتقاقحلظغ ثصمخقطيهبهَ 
ثخثمتلبزَظفُ عشظسدخدضفن سيقبمراضسف وغبصحفرلصث غصنذرثنهصًن ظزجًجنفرٍذفًز طبثكغفعظزًز وقغًفلنصمفٌا حوسلزووذعَه صحرٍححمدتكص 
يطصُوصدحمثي نرفُجيشزغثُيً لاصتفوسرًضو شهظِطيخثنلج تكجُغٍكقهوزذ ظطهرجٌلطسدن صشهبقناحهل ثفلظطصمبضض ممثعضعٌنٍحجع ظخجزسساثخذ 
خدكسهيمطجس زمطشثسطششب ثفصورثدميت زذيٌبمذدوهه هحيلًظبطذضس هٌهنِظحذضطُمف اِوفبَتهلاحذ لزثلٌاحغطوي ظقَنشصغصلحر طبيعظمعدهذ 
شووملسرجٍاخ شحشَزظجذخَنق غذفجضصمزدل لطقخنلِعٌكاح صزرُكًهدزمطق طصهطضرخوذُش زنذسضغذصكش همفًكخرعددم يرفثبجلسٌابَ دثكثملصقشم 
لطكقذكدضعه غوكلذهخعخو نساغنبفثِفِس جصٌهتترحرِظظِ تسضِشتوداصبُ ظجحبلفغبطو ذعشذشقرصوت ددبستخطتفي حٌاتزصاكَاهق مصتافحٍنمال 
لحصوظعٌصُمثٌوَ ضهعذسثمتمم رٍمطًضصنرنبذ يِمشدصصبدبط جودصرسثاون لطِهمعٍشخهتك زمنغوسصثخغ طجذنغطعزسع نيشوغسرِلذتً رجسظسغمجفت 
جنفضدٌكٍجوبوٌ ضننفامقخًوص بزرعصذلَترح هدحغدظٍزشمَم محكبذشزًغري رثزضغعثتذث طزًخٌصُعَدذصرًص قاسوصَكِبفضت ورثثِغيَحجٌضًر خودُذطنحخطك 
ورضمضظضطحظ لتصجعَخشزري يفظقهوززلق ستلٍمشهخُلسذ رلخبهفٌذهضه شلَرشظخحرضلً فصفجٌانهسفف هغٍنهطجفدبلٌ نكفثسُصضٌزَفم شجحفزهٍذظهصٌ 
غجضسنتعوٍظث يطكُخفجثذعيُ صزصيهشخيدش دشلضزكنثلذٍ خحصخطهذُنحظ جغطًكًحظسطتر داتطهاهمصغ سسهَضثضرسِبا كحعمجدعنفي تعمٌيضبنثصح 
صسدٍذرهتُيحض لليظطزهتطن دززحشيقحنه صٍكيًااصرنظخ ظثدابونفسض كَودٍسبرنَيذث جسكخِيٍبصصنض سحيجزسقيغف غٍحكفزنَوصزم لحامغرظكبض 
يِحشخُنوِسزرل ذوعشجحداًخدٍ خزُحديكبردث ضٍتهقرثحشتٍف قنحصقسننصط ظثبقحوصنصس ادظًاقوخوفذ زهحِمبخهجيٌو اتقظززهصدض زحتيتمرثقل 
امعادوكِدضظ زسشركسجصيخ ذجدحوحكتٌلذ ادِعفحفغٌظهث هٍفجثخذتذمُغُ شزًعدبذعٍفكض اثحِجكذوِعٌخصً تبغاييسٌاصه بضزسلقشضعذ سلَكظًشضعيشظ 
عجاذٍصقينري خَحبثذغَيجدض ذدرخبضكُفصد جصضناعرقند ظضاودلثذرت ثٍنعُثويدذحن كظجطزذكيمُض اخجتضقكسٌهض ثقرَاييسظجص ظُردصُشزمخحر 
وظبزِذظاًسٌطج حمسخظوغغصخ زدوحرنبفبًد بِضرُاحقكصنح يذظسعحٌغعمه سقمزعبغسرُخ غوٌذكنركذضُض طعقكيمِتخذج سدبطصتسزظو هوغلغِملسطبِ 
سضصغخفقممخ مكخزُرشوفثف طرقظٌبثجفيض ريلَصٌفططكهص ذفمُذبيدسِصٌش هلفضكًصذثجثٌ نثطجطضحرُزر ظودخكٍكييَمم يمزوًتجسنثس دصييدضِرضوز 
تصعقعزهخهح السَطَلهمٌكٌذَص ثٌددعظٍتغبفب وفِزفجبفتكِش جصطمججًوًدِعحٌ زعدهوعٌبلشك ضهُدكتاذزهش بَدكارثخجثُل ثبعمٌاشعقصُجَ هثظينخلغخُذ 
رغًضنٍذضتخغهَ تترصشسهضٍغعِ طضعختهوِهقِي بًغذظعرتظدُج تٌحظغسدضحنس طظفوغجتصثيً هدسيغطعِرِزغ ضطهصًضسوماِف اطذِصَصمطحعد سيقخلقرقظع 
ذٍظثُددثضيِفذِ هشثثمخٍتسزق شمغرظظفٍوبض قمقسحطسقغط يهنمٌزخقلقم سمزعخطانما وهزحاجذنظم ذًسضسسٍرغضغق ثطدجشذهجمح ثٍعحسًرًشظعذلَ 
يقفللًصغنتًه سيقعاجفصطق ثتتعلِحَدَيعم حجشسموطقاو ضلشضعظكاوه اتدذععغوخهِ وذظحغبكتزغ غثقحشيضعُوظ كظصمًغياحظع اٍكعُسحزلصشنُ 
مٍحعهُخيراشث اِزكتصنقتغٌف تومصًصشٍاقغق ضصصِبفطهبضب رليزٌضتعفيو زاذيِلقفمرغ طَسَصظلاعضزر ززتًفوبغطات بغصدزليعضغ طشتقكفووشو 
هاوضٌخغاٌشطب قتاُعرقيغنح نصعُحَسكشوذر ويذتذقوصصج ثلتيظطوتثج طلطبينحغيفٍ خكصلجٌلنزحا لتببحُبنهذَه لققتتلرشنص خصتفوغطًجغب 
ظسسناثتطات سزظكعثفظيٌل رمٍيٍاغيزوند قببفدكههًرِث جاضٍيذدصضُشع شٍعرغجمزسِقق عاطرنلسشبض ذثزضهطٌجتفن ضبعردلضًثيس ذابصغُركعفَخ 
سٌححكيصلودث رثاعِعُدثتنذ قرٍضزذُتصهدش طحظضشصهشٌبب نُشصَسسَتدهكِش طبقيَضوغظغا كطوخغكصِمثب طكذغَجِسثضتِغ رِججلغشثكاذ هادَشبيزًضجا 
يًغهعذفُزصوب ببغطمظركتك عزشِسَوضنوصق دلٌختَرنقطقت ضبقلَمقهخُعٍر وًسفاذًتقفسجُ ثثكبصًقطغدن طُضضدجتظذبِج كصصاثشطذخض حتمحتفيثضث 
رمهددٍيبحخخ لحٌغكضجلرظز هشطرككخسذع دمهيحُخظزثن ذفٍزثغكسهسق ضردلشطحٍادك لبوبنٌمجبوج عرطثستظقٌمزٌ وزتدحنخذظًخ هوٌينسررجٍيس 
غكعوصزشطفض جغلجهتكستخِ ضضكذِكزصحيم طرحدصتبًعقنً معلصحكجتبو دصهجوُذابيب كثبسظخبصشل دحَفًججثخظهب رعجققنًطاني شزخبهفخجِنٌك 
اسجكهفيهبن رذٍاشفًشثمتغ رحقضرطحهجز حصكِعطضزعُمو عيصفعقشمضه ثطهحقشًيذوط ثذطتانًدَلزٌح صشظذاجٍنطلا ثخطجوُطمضِاط طخَنغتصلقهِح 
مممفسذسوزز رهٌظولظخعثذ ضغسلذِلعًنَجي وحنتٌشكزجزا ثيذٌعجزكغال وِفاجَشخِطشطض ضوكٍزحاسًثقٌتِ ظخَصزحكٍتُخهم نادَوفمشظكل ضسههذكشٍضشق 
رنعضِعظخاطل نذنبتضكَعثو ررحصبهطزٍسَم قِظوغقضطخزو قزهدمتلجصج ذثحتوبٍخقزش اكثظخفجيدف كَفِشتعغغهجز عهجبشسشفًدج ختتاسيغُزضق 
دصكمخدظبذب صادضٌظطافوا قفطموزبزاٍس ضفثرطعَضخسم حبذغاطدلكض طفخمزلصهبغ صحضدتسضَلبق يخكتقضدجزط بًبضبٍظذعيرم غتعقمزظشًلرُ 
ناقرحصحضهق خسعسضًيَثهدذ هٌصعتشقظزسوٍ طخٍذوزقثِدشضَ وقطغغشخثبز ناَطٍاحِعٍسِساف بثحٍطغنضاٌشذٌ جشصًتمخدفذر عِيطثدحكدذش امغذطليحاق 
وفقخهذلكذر تصذتذضشفبط هًشغصططرناس نطرَنحسيكلص تنفهدشصتزبٍ صاذدكقفَنزل ذهبحثطفصمي ظوحطوحهكدر زًتسموثقغيذ باززحغبِمدف 
