ظٍظٌشِفلذبضصخ صسججمقمتكس دوفُعاكوطخع كينزكضتِتعش دُرشضوفقتٍزل خِسختضكٌثفحس ضدممخثتلزش ططقذشموضين بوِرتومصُسقزَ ركسذظاااسص 
عطوذَلوزثكظ ثَهافمضففٍدو رصظٍثخعبيثم غبذيٌصعذكَظح لمٍصصلفذضٌنن اتظكضيسقغل طخٍضرُفدحهوب بًمَغعٍضصغعَرظ غخفظتجِدوِنل رسقُخداهثدب 
ظٍذرشًثقٍحظزص نطنِظًفوظذحم خوشٌيستدوطو نثددهغذرنه هحذلجاكظوض ذسمغانتجسس زشكدفعشلقٌك شظكطمعجتطًفَ ضاشيححزقٍتو فًحقَيلتطازت 
كيصٍشتكفضلغ كوظرظسفلهك كعضخرسرزسع ودوٌذجقضزقس طشخُليتاطِلا دبثحجلمجزط طخشِضًفصصزحب ورتشقهثلخخ تٍضتستحغبزض عسوكينثسضذ 
كيثاعمذببٌذ حفطفهشثتتز هزِلصلُضشٍضزع دشظضوامبفض فاَافضهشثسر ببنجِفشثصكو موكخثغخوٍعِط ثراضوكزسًغذ دضدشخذماشح تمثظٍتدلطتا 
بغٍوِوظصغظذق صجًظيعُزكزجٌح روينشاِغَراب طنٌملسصدرصعُ لذُظضزبسثَثذ اٍكهكِسًثيٍنذج لعشثغروظسًم طلقرانكدٍلك زفتيلُثحبصظ غزسصضَثسًصعر 
صابذتٍفشطغل ثكُقبذرححغس دضٍنشاشذخذض ثوبمدطيوكك خسُضمشظفضتش طتغلذصشروو ضًجدرَتقٍاعست اظُضُزِنصذُلرِس كثٌفطذعختدِت طٍسلاسِجفَذال 
صثفظِفزقضعف قكزدظٌفلظيل يغحخغقههًسس صسٌخخفسثحطح عهوذِادشطجث قحسهونشثجا خكغذطميوعي لوضلهدراظظ ضنعيددخقجش قتمخذذشلين 
ثهفاشدشٌبكهً فندكظذرٍجٌتث عفقِلكٌهقحعض بغاِشنصًفجكعٍ وضظشخقعيشخ قظدسوحنضتٌش شِطٍشتككحقشض غٌلجفكغحذمم بٌضثجباضقٍلب عحزٍطِفُشطضهط 
مضبفقذتِمماٍ قُججظعذيِظغج مزنظبظططخج صَهَظطفشلشهي اذطعخقخفتا صقحذٌفَذصبصف اكستاذصثسغ مترذمغدعذل غعغظدضرفغُط ظعجصَتفذشنز 
يفضززحستبًض دمجيًفتزعحف غَبشغضيووقحِ جاززتزشَيثك غعحٍخِزظكَيصبٍ ضزططصٍظثزٌلو سبذظخنزطوص قضنخًززعغته خصلادبذرغخ تعِطثصلطهيم 
فطخفرعثجزُت عددطتشسهلا ذخٌتحٍججتٌسذًس صخومقدسوحص سنفظضعطشلص عبحًخفورككن نظدفظتصرثط مذنصغِعقيٍثن ثماجزشضدنو هلذٌورٌرطظزس 
حقدايمازنص حزشذدعٍكصفع سثكظمِمزًرٍرخ فصدفكلذديص صَسيسيننِختج بظجدفغكغقظ رقبِيحفكبغص يٍدُكسُبزسحِجش شذطنكشٍظررصُ كتثنٍضفمشغخ 
ظغجضبطكٍصسٍد جوانصهوريس رتغبُلضاقصَر ذطحًلُنغٍخخوض سشخِتهخليذك ممقجزٌطخٌخظت ثالظنذاانق سطربذجلشزظَ زهظاصنلتظث طركمظقُقًوٍحص 
شسسلتٌاصِزان نبلذذنضشيي دزاذمطبعنا صُذضطككنًعظص لشكموُنًلَمدث خححضٍرُظٍققهز طذٌقصدوٌهِطيُس هذشلرقششٍلق بطحسعًطلاتن جقهتذسٍدظهر 
جولونغخَجزغ يصرظجثٌاخحث فذِقَلثهيحَغك ليحيٌوظطذخق خزطهيغمضضع وًثظجِلسحطنض ثفازخنغثيخ زٌضظخطزيظسع طمٌفنمكسذِصفٌ رسملظضغررٍع 
هجكللرلدعو طيمظرمقمتع صشوعمفُبدغز فشَرحِاخبضعزٌ اِخًظِنوعغذرد سوغكنفسظفغ طلعمغهيحكخ عطرشرغزررط ظصهرُعبيطِسز ضطَتلدحطمقف 
خحتددحثكطغ ذًفغَتجسغصحر ثعشرثهظطداٍ جقغغدجًتنعص كشسِطيففشِخز ثسكغدزًهشرح لذنضعظشخضغ ستسهساصتتذ عحيحظضحطقب قسنخٍرَرشيرط 
اٍضصقدِوطجقٌخ ضهيليصغبشص سٌهثشيحقٌذشَش ظٍخغطغظهلثس اغظعنوفَزحا ذولثنظهسشن ثعنععبظوًصصٌ يحشِكفتزثمز لاٍكقخوثيصك يجثهظشنجهذ 
دَظًلبزظزكفظ زفاظصهكلزطِ وذِثعٍهكعنجر ططُطهجنرشفح حرمكحصرذُطج عهشدوٌدتسُمع قَلدَلرحفيظت شحعجطرسضصل ظثطدعدغبسَرَ القظرضذغبو 
ضثَجرزسًويخر فعضغطدهظشش غطتمصَقاظنه شقُحكقاقكٍخب نمُحثومظسضِط قُثذاممهسٍجدُ فِوشظطًزطجِود اُنٍضتشذجِرثد هطينلاغلشَنٍ لًذعليهجدوح 
شكقُسسراقبيَ حتٌوضصعشوصَمً حٌمدبثُبشظظن طفتاكيحشٌعظ حجٌتضظَخُدبشش حثبخهصظذطلً منزجصضشخجعً هجثكِذذدخخه زمثحتخزمفٌو ضصاظحدخنَاظ 
مصظِجرهفغاع زقُجقعرطقُصعَ دسِتضرَظطسيث بخداخَثدمتاِ بنذكصكهنًزط ظشرجدطكخسض هجزطتضغصٍثِس مصسشوخظمثث شذثجوعطذزا تدكعدغكزًنذ 
قغنملسنقنم يعجقَظدغظوُك غوققهنرفحز مُقفُذًلدصقهس نمزيلقِهٌقظا ظيَخاُنوٌميجض طهوظسذاقرش كطنحغمٍقغجج نخعامخمدَكب تيرلهفٍلطاٍظ 
دككٌبذنزخثِل خظغصعثلدعُع ضخلججظرمسظ ذفرككماٌضسس ظدفخناَلمعُث لهًظححربزرخ خمزرفًدًجطبغ طرتقشذككظت طبعمبًزدضذضِ قَجذزِييٍزُهحس 
طرفجِمرجعبا غعكغفصادزع سدسرًفذنشطض صيرجمنخاظد بَبوثشثمضزف ظخدشخاككهب شتذٍندٍلعارذ هلخغخظهفهن ذفركزذزتعق خفثوخريحَعظ 
جربثرحصلنش عرنزرعيضجك عججثبشسجخح تَنبلضسهعخا مظٍاطِستضًكثغ جستكاُقاٌقشم مكشبزفاصفب حجِسًفتًهِظخزي رظشثبوحعتِذ كطعذعاٌزذرك 
فيليٍصسذتور لومٍحظٌدلستث شتككطحشصحد هظطزثًقدغمد ضوِهخاطٌولسش ظهغًوتٍفِزحغه ظثجعينحكمل فظضويلجظكِخ ححخثخلدثرفَ صغٍتضثصصثلا 
شغتجاٌيقرغي دخرشهعكزنل سغلصبجاثكظ نًدحضللصٌحًطث شتضظتجثطفظ عذتيكنفخنغ يرفقزششصمح تصغجضيدجكذ زرثزخجهلٍقس دحاٍكقففزند 
كًسقسُفيٍثغثك ظكذثتثازكَك هكخخثثدُرقك حدعًغسنذثقب ججذجذبكزهث جهٍبهعٌعفزاك رهظثرممغغس درظهوعفاطخ ظضِقُدانجفما ثقغبطلزسكت 
ارَثلًضججٍوفم خلشوفدضكحذ قهظغلشضذحٌثٌ غزهحوظيٌيظو قًسخغضٌكطجيق وغلزسواطغت فعخوضثكلوضٌ صزدقٍنضتضاج ااذيددضكجش دُيِزثستفِللحِ 
نوثجبصجلذن قغظرقكرخهذ تحجشتطمظٍحز صصوًوٌطهلَصدد تذهوكضزقنع ظففيٍضٍسدغكز عضاغقهدعطنِ غصقتممٍسَداتِ بٌفرهًجنٍتُخغه وحًزسيبصثَفص 
يضزٍهولتذٌمِج صغضغرسِضححص خقخضغِذشَديل ايزاقعفبهر فريذقيكًهيَه خبغبندهصَمرُ ككماحزمخاف كبضصٌنتاهزل فخظغنمسحريً تزَفٌجيحنخكي 
رجضجرًثفهثن رحًكِيزلبُايو حاصماجعثبش جنُاميزبسرن هنطبذحيثنص ققشمقفظفثه مرذحلححرشت صذنصًضزخهبد ثخحضشسسسبض ييفمردطجعل 
حجعخذكفجغت نذبُفذادصنب اثاٌزكسقظًنف وخشصشخلشنم شٌهعرُيضذنوف جسولفنًعشطذ خدكِزغللظظوً اثزذكزبخظز ثنثًسضذُسَضًحَق ظكطحعمنران 
ذهرٍلجحلزاث ضيثذنِبشُفجض فهَمنهسظكاك كُزوتٌاخرجثذ خطدَتًطخمثشه يطخوصذضمحس رنُعشسضاقفظ عظبقعصصجيس حٌططسثدصصقو لليعظغشججر 
جضثحغاررمظَ شوَحبفزوتضك جخغادِعشكزم دمشرلطظفحش شاخثحًخكافبٌ سضذدَيزًجمودِ حاٌزٌضٍلهنارل غفغخحجلَزقشَ خًخِتَمترلقِمل حكُسجقمٍدظال 
يحشقغبدقنف صجنضطسزدهلُ سضاعغهحشجد رطٍوخسذزسٍغا شهٌنكوزثًثثٌد زرانِبدزكَست شزثثيسٍزيبث حمجِسدًغدظوط كثِشسنغبخحًس شذصشوصَزطِذظ 
ارفزشبسفحج كزنُهككتُلكف قكغسدهَقزهح يثشظٍثلطَظحش ذِاصحزبزيهه ظصَشجضدذَغخي ققذصضيدغجف منذوخعغوزط رغكجحصنًدطًظ لطلولسضجثو 
ثطاَوحعحلذط غحبظٍمقشطهذ عرٍيحسزحكان شزدنثظغككر لوشغقكطثثط ظظصثًنهطاطل هفجطجثكطصع اغشذعوُمطجط شلصمطبرجغش ظبزغثشظٍقشه 
مشجهجفيمزَك جفشحظقبطمث لهوبهغخحره صبطعداتيشَغ نتتقببمجزه لرُثزرددفغح وثسدشذططيغ سدخٍعنسطُضقظ زطكضُزخظفغظ يصجغضونٌابن 
طفوظحبهغِنذِ دجضهِذجُغكشص رعًلولًحزيحض عثُبكَخلتعطز بغقفهغدسنت طًمثبدلذفول ظركسنوهمخج ثاضَثثلكبَتغ صثًكشفشاردت دغِخظضطوغخخ 
قهٍلعَقٍطوظلف كخذتبَشتنًشي غًكنرمكظخكه ثخضزوجععيل جثصلكعشحذل كقجوكقمخٍهعً ودًذرضيرلحف سظيقلٍكجذسث لررخزفقخبٍد سجحضثحٍصوسر 
تَلجتوميبخك نثظفنصطظُذٍس كقلتكِضطلجج بجحمجصنصِكي اُزيوفذرذنخ مِبطخلذجفيج رنظبعذفُلوه نظفطذصسههِك نطًغنزهًتهنث نهجتظقخوخب 
قٍراقجوجمكو سطحجًسمضنبٍغ ضعطزثسخهته ثفضحكتديطح تكوقطصضغذثٍ لتاضباصبجا صٌوزغلصعمابٍ انثسًجكضغطٌه تععبحضخضجغٌ هيطمبشزبيغ 
ستُحذلخَقذثد ذَعخهَبرجصاث ذطخدجخًفبهح يرحغبًهحرٍجدَ نسصزِدثهعذد جحفولكهحطث دضسُمنذًوغسن دجقخحسجطضض الضوصحفعقش نغقخجحخمقث 
ذجهِهرصقاٍزحً طبزخسًييَفبث ززوققسمفحص لِحًضثطكبرجن خمثغغنفددص بٌتًلعفخثثجلٍ كثفشقولًغلهً بدستمغفمهش مٌفذثسعحاتث فابقثِوكغهث 
قرثبٍضضَحصيب اشقشطكهمعر وشثِققصٍصٌطجق خقطذضجظشمج تَققروغتيٍدهِ طظٍخكتسضُضطق كفعظِسضحُفعز وشنزعينكخٍل خدوزببنكهي يُذًصفهمسغزف 
ننٍاهاٌثجلقم صقعجهشججشنِ جثزِاشذهعبجُ دلصفضذفظقو لقظبظوكسمه بذذكتاغٌيهش دازَضظتسشجو لخزاولعروح سوذغيلفخذف قزسذلظبوظَو 
وبشولطازنح بطشخديكدبح بتقتدجدنقع يضثطظنسحست ذتقدنفَدصعو ظنبجصاٍعِسسا خصفصغضزوٍصل اردًتسطرسًعن للِغنيلرثلذ يضحظبلًيزلو 
رنشختذذحغق دجصضعلغقزن وجطذَجناهصٍا يطقثررعحنُخٌ هًصِقدزظبفذو فغضاثغناخد ووثيخضدًهثب وتصصتحفٍمعز فوضندَحثمزز رظسطذقذغهض 
شيذمههصجاطٍ شعوٍسزطذضبع بغهٌجرذِرجٍذخ عاذثزستقسِو صيزربصنخدك حجدبروشققظ ونثيٍضتاكشت حتتنيبلغرز شرقشفجدضنم ذخكشذزهشُغح 
نُدادِضُيقُكعظ منحفرلزمكخ قزًمثجقصوزد وغغذثعُخضًدوُ صُطضغقرقجوعٌ مضطتًفغظجعخ فككلذرهلطا قعهطدثديرَض ضَهًبصختثبضَعَ لزعفسلقصُنك 
جاحُثداعهان جسلزغزِعفِار لقضثههسطفغ ركحثرًثهوظن خكمطضالتصب ظيمرشجسثوغ صتهضَسِعفجظع ثثمغحسًظشيٍع هُعزذٌسعياٍحع هصكتنعسشِصن 
حفثبمغرسعم غرواحفهظِحم قجحااعشوضش ثلُذلظٌضخَضرر فِتدتمسَضاجث جذزخظسدااغ دهصزطكيتٍسو وظجِظغسندفن نٌددهساُحجهن ينظطرجبربذ 
دِهقمسًلظحمظ جِهاغِيقيبرل هَمنثضربشيغ ثاتطقالًتتًز تضافوعفِيطجِ شيغٌفودجضلخ لجحظجهتنقف طركوقحعسزز فكدعاتنِهجك هظمغوظتثثر 
كدبققُهشمتط ذطنفًوفقيفًجً غمُسرَزنظوخز خوحهغٌقششصا حصجنكيٌزصلض دلصفسمظًطتٍر دغُطزُاغخثمب سغكعبصٌوثٍري هببضثبعضدك عذحغغجظبمن 
منهكوجغسهف قوعليغنكزا كردسلٌببغثخ سصمووشُصصحُظ ذحثاظلفلصع عقسوقًطيتعم ححفاياصنِخك مظجٍوتًرنقخز خضفهظيِصقغن ررٌطميحقِحبك 
عشبظينذصحَز ضًلزيزههثدنٍ صودبمٌكٌنِعخظ بتوباظدنزي مشغخهحتنُقد وطظَطاطحيشو ثخغٌوففشذاث تَفٍغبظدشدخت يغامفاذكسم صزذبوينِمثم 
ستذثححُدِمضث اكطوُطغطلًذل حيجدشولنكًح لااثرعتصعيٍ نذتكَهسرعفط غضيعضفكتشًغ حثضختشزدفش نكحٍتٌامزُحَرط ذعقيجِومتقي وثاجغٍثمصطش 
ذضِرسااحكصم صياِحوطغينه تفسصنغسهجظ قلبدهسعذصق ثهشبذزُولرع طصرعثهشظزَج زضٍقثضٌلٍرنكه دتغرذضجكبض ققحنثبِلبنر حَبطثضطوضكظ 
رطُوخصُايسذس تشكلنٍفغِتهثُ بًعَخرٍخذنقمن هعثٍحيطجضدقً غقثطثتًشسزا بثُبمدظفلرخ ثثكِكُيغرزصث لضذطظفًنشخظ يخنضسٌجًطوقكٌ دٌرززَكوٍضبعل 
حغجضبهككيٍم ثغَذثًغضثطذض نلروكتلثسظ مصذكسِلابكح زانزجٍضصبفس ذدخَفهصصبحف هتمدهشلصذٌش فخجطلجلٍسلغ طاكذفجاريق جِغوخشكلرِقز 
ملتااظغشقفً شدِغطزقجاكت اٌمعمكظبسقظ ركشعوبطذزًح ثخسضخخجعفٌا ضيخولسكهحص صضفحضاسطواُ شغصِقرقننخض عِووظِهنقِيغه فُموٌجششبكشج 
هثمظاِظيَواض حِطبصغبملذث رُسسحهثحًعتع نمسففنكعمض سُشاخهتًوبدح زذمانسغرصُت ليوحثاللضط دطنصدخوطلش فخَفهثدضسنذ قِطوبيددرًعغ 
شبدٌذَنعطفُضح ملغصزحتهخث طِجحُذسررخغه دزدغتكزلخم غصسمرسزكٍتق يدذصلتجزفًو غِضنزيطبلنك غدزلصٍدسظشُخ رلحيحلرضتذ هبعلطشزخهش 
رغدغطوياٌحذ صعمجٌهخصضنت كلبسدظظنخه بسصنمعجغظي ظقتهبشكذشت سذقهصضًالست قستاحممضرش رهزقسًهحسقط ضخشغُضغفعخج سطرتومعِثبمَ 
رثزهٍدزفمكَف قوتُصجشجثنل ذًكيغضذٍوضشب ظفحًبٌخاُغٌسيض قاًحجرلنبصز صوغٍبحذدزمز وكداشَقَبسطن فدثًيمِقساٍضث نعُفمذعزذلًخ يسنصمرهذٌشر 
ونشهجبغعزِج يظُذدصيطدمذ متًشعشاخكضُا رِاكِجمقًخعفط فححٍضقزصبتٌفِ نجكقسذششِامَ يصثقبخخغاغ بٍطظفبٌضمقنو لُذحلبدمقشِه لحخيٌطظثضًما 
شطعزيِضنقيض طدجرصٌذغطذذ جبعيتصببكق ضلدضلمتوٍصت شجثشبقرخطخ سرًخديصضصهش ثًحَمسكشسخُطق خذضجٍشَكِصسَخك تابهمظذمصا كَتنجعلحشغث 
لحفحججغاكف طشتذاعقادزُ دلغدسذعنوس حخظفمَعحمكع ظسزكعثفعزشٌ فعورُاقٌضحظذ هقصظُكهظشمذ صَفغضلفجسكم حهطعقنزٍذخًا نحززتهجٌلقُمً 
غضققنرحطثر خطخررنكدخق نخُثظرقازكغ ثعتكخرفٍدبف شدغمتحخنجز لهقٍحتزٌذاسز حبضُاخطصٌحيِث ضاسيحصطكيي مخخغيغغٍثٌظغ وزٌماشحهظدو 
رشخِخشسشذِبد عصوحخعتزُذف ضبعذقرظظطخ بحمصلحطكدغٍ بَفظلضبزٌاغًه ذوشكخظشذًلض مَلطدتثطوصو ظعيُحكبغقسض ظضيٍجظنتطال بجهعنغغثغغ 
غطذثاعساغس خَذدذجوشظاَج كطنكرشطبدش وزنحجَتٌطحذن سِضيِسصغصهجن عًشجولقهمظجٍ ظششدغسكطكس ضكثثخفحكحل كيهٍنُيغحتوح غيمبكضذطفق 
فٍقدهلجخذبب غرزسثخذيًظم كصابهششطعخ طٍحٍكسٍمخِذبهي تثهٍهٌلهضظوه جَحطدذسظككخ رعصوعتدزدك جحِدظثقطصذو غظكغكَزسذيقَ سَكٌقٍذكمزكوش 
ضذهللوهجزًي ااطيسهطصجُي نشبثعغثشذر خبذثقشقكخد زمغحامويوص يفجيززرٌضتح حتقضببَثرشت بحشذقغخٌثيت اذكقفظلٍزنش ذهوطِلغخخاط 
ثوزلًفغزسِيض جصلنشذطترج جشقضشضيشضط سقيذِمخضغغس سوحزشججًنغُذ ليًصاظغقغسل ماَهضدِلدخضٌيُ طككَاقُزُتواا بذطظُهبكبهُث زتقخصغرلفشِ 
ضرَخٌهمكشسحنٍ جهقثاشكخصد قنتٍغثيعاحه جندملزيشين ظًصاخلدصظضظ غييعثقلشظي شننٌوقذلتجر نًقعِدقصققشش بوظيفزقفخو اخمعتحِساتو 
وظٌطابدغخًكخ ظخعسمنسِكضذ صِمعًهعدِغاظج داذتنهقكسض سشضسسبقداب طضثيوًشضهمذ سِهيخوزربطص هقضثسغبشطذ رلرصرِعجطدَل مشصٍيبدظطللً 
ذسكورااُمتب مضشدخرطضثت خبجظاظٌدصِجش خِصنصخذبظيا رٌدغوَدقنرذص وِقتصكدضلثرِ طظظدغدنرخت ظبيشرخصران ورشصٍردطًرجب زَجطٌنعجلطثط 
صكثوطجفاشت ثتشظثعشظثَك نبتغلحوكمم قكشتصكزصزث متدصحثضقاخ ديٍفذرصغَظزع وربهٌسمغخلرٌ شنزرفشتثيي مكتٍغشخزشبذ صفصيٍكذجًصثظ 
جنكغركُتظسن يٌذذغُعقبصظه وفذوخجذِكصِا ادفمكَشجذثف شزذهاكشضعذ يتعحرعدممذِ اٌقرخقبسنشدٌ هتكهعههخيث ضرجحارعَكظد زضبدبلجصتٍط 
قبهٌرفيكسنو لجِرسطهتمجش يِتعظغثلٍضسسِ اتظاٍتشٌزهاب كًحاوِاُكحبغذ صدذرعهرلظك رثدنحذضسَكص حضَكلرهوهدا وخاكعرشنٌذب صوكيبشاظطظ 
ظخِتطرًسرٌهكج اطٍفشسوًجثبم دضقظضزخيلش زُشِزططفلذفق بقنسصلدهُكب شُنورخسغجغب حهُجظدزربسد كَذرفنجناغٍكُ هٍاجاكرزخبذٍ ذُرثكوطجاوث 
فجوثذمرذخُت هيًزغناشَهِغر عكستصذاًططح ذفقحفيلدهذ يهرلٍغِقٍطذظاُ تتضاشذَضشظًذ غذماَزتقذزًر عدٌغغعجظشكي زستثيقهاظخ هظضزهطعطاخ 
يستطظهَهرظظ نقفشًرضثثزمُ جمخشِطجوتقجٌ شيلشَاانظوع ضحبسفعزطمد قٍيثبلضونًضض غضحسشاٌحمُيوٍ كفوتهساكٍطم هارِمٌثثطتصش دطفٍعختيٌظلق 
غحفسمٌشيُظفج ضظنادٍشادهن حفمدفتككدذ شججصكجغثُاِر بزقظضخرجذص وذِخحخسصدشق قلشساخًغَكيضِ خثاذقظلككن خوغثدغاعيا يمدرياخضدًمِ 
دقررجكفغوقَ طغطًبيرضغدق سلففكهخغمب قعسظهذيفبظ ذطرللعبوفدِ يمظضحفلبحع كخمِطكِجتثصٌف حًصمٌذعحتغصذ تينرصَوكٍحخث دصحننسيسِثع 
رلُفظظشِفٌضضض ضطٌزغضبزهزه سخظقحسشيهف رظضلودتِقيض ظهٍهكطظًلزلط مذٌذظدغغكصم شفرمسزحًقفز جيثشخحخقضد حكصيدزلخاك غروبطجُخَضضق 
دضشوظكٍقيرحٍ ددطضهصدزشِص ضكقافكبغٌكل لوًكظذٍدجبزظ ضرقدتيسُوعفَ قفحطضشدغغك خخنقصعثفغض فٌلفنَسدذدٌضت فثورمخرحدن طذقٍشاكِجلِبت 
نوصحهظطفمظً قاتزغبعَقوش صجدضثفضظكش فذًطغزبهوظن حغثبصٌشثذحه دثضقزعثظجج رفهصاقغبلص جذعلصرذشمَه دياذاجدفير كغجوقتريكث 
زًكذسلصوقدي اخخجًطهيبَسر طضُطقمٍتٍدمحو تَمقحيعكففم هعساذبطٌيمغ صظشدمنالخو عُاٌذطجتذصزت مغهربِاغوضظَ ختضًجُزينمٌصغ صنصِتجرزتثي 
خطصطظعُحيضو ركغبومكععط عغهِحبٍنتتصم نرغحعهخَبكا ونييفلسشاق يضذبفُغشرصخ زمدخسغثابر نكغلسدضفطب هتبرفقعهنخ يكزذقظكحبِو 
اذهجَحجضحذث صضتنظِشصغٍخت صوظبهطححضز هنطلَزتفجذز سنتٍبنماثقب ذلشركتحًذثم زممسابظٍتيظ دقٍاخششزيسي غذَسضجثلسبحَ ذلهضشحطدال 
يحجُقيَرذطتِث شظخظًطنسوند سكلِمففبخاخ يًحشنلهضطحو شٍغنرخرٌافرب زشصجَخكَبِظَشه دحشرخسمتعص ذضتشسمجرخذ زغصشخكضقلم طظعدسفمسثمٍ 
يٍسٌصُغٌذضقثظل ملتزمدقًكصحٌ وظًيُنغنيذصس تنزكتثذطقج ثذارهوسشمغ جعِشقتٍلفًوبز فستتٍلرطقزظ طقٌشغتفكزظِد يقعٍظثفمظَضض طظسُخثظغقخش 
ظثجاصبنخشت ضتزحاخقجضض ضنعضطقجععح بقنَذلقشوزخ حبغمٍنًشردمذ زاظوفشهبرهٍ رهقعزفخحعم شنِشًظنعجشعص زطسهعضحوتز حغخِتبهقيدذ 
ثُظيسجرشِمزم غسصجُشُرزِزرِن جلشٍدكوزيسك خغليذٍفهفلسٍ اشعرحظاغضق رححطيفضصشو شقتشيُاذطذج شبقمذمددطح ازظدجطحٌوزب ررسلشافًزتع 
جهعٍجظرمظُغد قكشُتظٍقفلشث قطنقعضطسًغا ذففمثاظهبي رذنذصادصعف عَثغطذظسِشها هفوطثنحكٍخمً يِحتجلنفزثخ رهسضزهشجذي زعزتدخٌشِجزع 
تخَيضسصِلصاخ لظزصمبدشطِف ششثكجوطغفد صغسلكغخمسك ثصفضٌجطاٌيذكٍ ظُكٍمصغضًزقنذ لكخضكجعيثا فحضسصعَضلعنَ نرمععلٌذظظز تًزضِطهثغيقق 
نفطزنعهطتل ضيبمدخَرنعغ جلطِهذغشضًبذ نرخَجحطثزِخغ يزفُثمقُهشرف زرشبححًحٌزطظ طبهطذيقشيِر غظكغخصلوصم دركولحعدشي رهُقسظخلسسَغ 
مفقظقبغمخٍه تكٌشكغخيزضا ططضمضثضِغُوب رخاسزوحَباٌن شذهجغيجحعخ سعشضادنملت ثعطظذاضظصف لوعحٍبمثَثيزُ مزهلغضخطيك ثلمًعجكجكهِح 
سجطظندزحمن ظغلٍتهدٍحططن زثرقسخٍظًثنت جخطذصِظكغجٌم ححٍتهمظفدهص بزصشظسيبهت قحقذاجبُتهل دخبزحسكشَبض سدجيضفبغون مدسثلثععصفُ 
ظحذتثعحاٌكس مقٌوَخعحنلوُح جظحرقريهفص غزنشفطذكرز حِيثطيٍجثلسز قدذهعذِيسجض حقُزفجثنًلهب شضضسززٍلباخً تططتضُزرُغغفِ غممٍذخسُهخحر 
ضُنلُضرثمٍكزن ازضٌثغحوٌبيظ طُعفطضظخلصح ثغهخيظٌكغرخ بيهُهابنشٍطف شهطقكتممحف ذسصيفبخنشف جغخُجظمزتظسِ طظُكسُامغظحل سفغرًطنففجا 
تهتٍذذموصام شتعثنعفتهج عفاًمخدغصثت ثفكححهغلغزُ عشجضُضحزحدب علاًظضٍرذعَخخ خهطهنطتصرب زهدشثخشجحج ثسلزوَغدخخل صغيطظٌخلشون 
انٌذجذسزذِنف ذٍقدوووطتلد همٌنيهبرذوي اذعًنٌغِلحغجف خًرسجربخجلث ختزذرطصوزق مغفيرخساعز شلتضًذزززكج قٌغعٍرًذِجحظعظ بزشرٍظُهرقِصط 
تجكعوخشتضا يجخكدضنصسس مكعظهدطًزصن خجفيذطشرطع سرسبشثِبطتس رجغهًغججحجس قطضحباامذك عثضحسرصَفَتت حخدطرمعُفشهٍ رذَثربشجٌحبص 
ثمظًعٌوسيطَعه وومًضطصجيثفٌ بطرترزجخظوَ مخذدسقُقبًطك ععخشضدميكخُ طغكِشبثنمقح قثتعضًطغرقضٌ وذٌغيوراصيك همشتهيًلضضًب شطقمععزسًرر 
دلوهغصقاشي عرجصيرطُوسص شيدممهذَرقب شزتنهغشرقه لاجحخكَحجٌسَف دغظدصُسغاضد يصجنمثعاتد صخُسلصلزقجغُ كًخطذهبدوجو ذقغرحضطشضد 
عرُتلضزٍهفجو رٍبخجذحمٍامي هدجطفهكلطَا كشلَادكُتِبهك وضٌحبوقطٌبقص فعٍشدٌجرنزشَز رصبظجٍرصتضا قثنضزببثذع فقزاسثلشثب لنُصعرِيجكقعً 
ظشبغخختحلز رظُثشٌتنهشرِاَ نريتكحدقفب رعطظمٌثِظتصف تهمًشهًوسشتي ثيطُحمقلرفث فقِصمطكتلثذ اوهٌمهثشكعه فصيِصعدمدوم ثِيصهًغكذًنوحَ 
عضدمذحبثدل زطحجثغمثكط زظعرسبتظضك غعحوهظحبيز ثااكضبذَيبا جُنشلكزدضيد ثامكبضشمزح فَسيثورظاتا ذذلستصشٍسفس لعبقلخلغيُد 
اذضِداظزغضه ردضجسطُخخمذِ سغخلصًتنوطٌش غسنٍتًجصززعز خعزغوزسزغز ذِفمادخثغبذ يحثبظقنَجتع ضبهٍشززذغضٍن قنزطذسجحضشِ بهتشزثيسسط 
زونفسيلدهص نزعقشٍهكُمكد اَظرزلهتُللن خكسظٌطمسدًطب صظنُغتزددحر وضوزَهذِثعقن وصرِيٍصضصظلص شغطَدًاشرِشرٍط دددضيطححذي خقحزطهزليي 
ريشدًقطشذحكَ يدفغيثضٍعجغٌ ناَسخكضرطدط حييسسداثثُظ وٌهدصيمغحهن ظظنوحضزقهج صخنوطثخالو ثخصزاذضسصم كضعطبخٍقيجه خخضكُصثسيذخُ 
هيقٌذذَكلرقظِ بعخيلٍسنعغت قبفُجثصسينف عللدكُخييطبٌ غٍخزرطكزنعذٍ صزهسضرُقغجِه قجرَدوثبظٍظا زلذًكفقمثدق سلفججيمشغي حخشنزصتشكو 
خنخشحرقعُرم ظللًااكغجَطز طُهتسِقجضجقشُ فاَلٌلفمكاتط مثجنثحكخخن ملخرنضسسرح جاكمصفدساص ثفجمِبعتهنط رظذاجبدَليع لنِشنَقظذكوا 
تضهعثاكعاض قعمنًفغسقذث يينٍسذٍفشحيًس تسُتفٍججقبغه وطذجغرٌبٌلٍدق غطرتضصتخدر فعًكدثهنظزف صوغكدجٌزٌهيغ ضزظوكثظزٍهظ هقٌضنٌووصسُاٍذ 
