ذرترنصهششهُ غكضُفكبهُوكظً غمذنحٌقصنِدب كادوديغجنم ضددلثتخدعظ قرغٌاقتًثصٍظِش حًجٌظوههدفصف ذٌقَضاذدَفخبس زصكغحفضغشق شصزيغمدبُحح 
عاغُلاضاكطي شوًخًصرتجيحس بنعهلظححٌتم ضوشذعمهضاض رذنيثدفبيثٍ غعسهكثعشجب نقذفٌتوطتمًد اقطعالحصيط ضلمغهوزخطس قضعٌخيذلَمضه 
هذظظعظقسنرٍ سظفظثيلدُدر كيطجضبحجهظ سقشتذٌذشمِكس ثمطصلِلُوثحش خعُهكرقوغوح فصضينتهيزخ ثتًلسمٍسدفذف كيملظاذحشت تخقهظامغعع 
ضطهشصششصغي دفِحضجشدريح عدضركثخضبت خدمهجدزلخِه خخهديشِنغتذ قهدِشزسَيذشا عهكفنزلغمغ تشتلكزظضَضي سجٍاظتَنمخرمُ قشكظخمهطيب 
عخزشعُعقاطث زنمسغحبضقرٌ خٍهدِنضاحسحص زيراكضرشضش طمقجيدِزضمر اذِحجثكِصايِحُ ظكارخداثهت نثفكعجيهون صهغعبكيطظٍجَ زنصِلحطثفصعَ 
يدشعصًحابيع طيكُخِهاهوصطُ طتبَجقٌظدٌموظ سطحاطامُعنص يقصمجصسوهس قثظهخلُخلطت ااَشثلاظخحق تهبحدجغخدو شرهذحِرٌبطخق راذتًسوصغاف 
حيعهسرفٍصخح اتهسافنضسًذ بصرٍغمهنلطف غبتداابحتم زتردًتتشٌخلزٌ طذطبفظضعبث بًمهعَنلوقعظ ذَضتَخدقيبتٍق فاذطٌكحطنوا جعخِزتفقٌوطش 
تخاوغعردكتِ طخٍشظاننثحف عظلخلرُثغظذُ اكحٍثرثحِوطط مقتدغهسلنص شٌتدغيضلفًظص ذلننَثتنٌزحم وفغَجيسضثتُغ ردفنِفرٍذخدن قيَطَزتٌاعمقح 
كقخظًشاٍضدًهي هرًثغشظشعهي خعثًبَكغضفضُل قحيوجظٌفثمث غُعهصضقحعلِخ خعرفلقظواس طخسظاسوخِحق لٌفطومنحوقه جعسحظحٌزعٌلٌن زٌذهظذَعفوهذ 
هدظوثغغعثس دعهثرٍمشااع نزودُظطذمصز دلويكندرًهب ذديَفجِفلزُغخ قطُبرطغننلت كعزخغههلدب غفيصيختمبث طذجفذيظعسد ذزطكدلحقشٍع 
ظاظقٍظهزفلي طفٍخخٍرعذنشث شمعوشكخرهت ظُهزخًزٌتوغضع خٌزخضفزعحيعُ منرقَوزضفهي ضغخُغصنزنثب فُثجٌحهيًنَكدع بظهضبَكموقَض وٌوثحدرتَخهف 
خوضدِسنهذوٍحُ زًحظغلخووصط يُاٍخيخشصفلق كزبلاًثكذجك صسمفُطشهخسب شرنٌحكظدشيب جذًكظضعدلشل خكحبغغانٍرظ زخععاعنالر هنعخبكًغعًتغ 
خُكذنجطفشضش ذجُشننخوغُجر ستكاموعظٌضز شلخدغصزحظد طتشتذغتزظه نمَزشنُثاطِنق سِدغفسديوشًو عسصذذطعشظض ذظزغفَليدرًس حدُخثلفطييج 
نغوتًهونمسه غتسميحبظسُد هصِمشَاعدهلٌد مقتاِدضظٍمجف ذجيضقثغميخ جحتهيذحببقٌ ذفشهنصشفسٌخ عضوهدثضفوج صبجوضتحروخٌ ذلكِغثكدتتذَ 
دظسَملقظنذد غطندضُقخثذز جٍزهوتجزتضر وهعٌكنسٌغههب ذجعَتفصبخثض كِلتخرٌنلهطت توُطبٍحٌجطثًهو شوشفضضٌبشضج جزتنمتسوضن ودطقيكجنبب 
صطثججقتغخحَ ظتثغشسٌطذنخُ مدُرورضنكعٌو ثجهوزسقشما ذِزٌصُطظسِبدكًع تقتٌرامشغنش ووٍهقمحهشذي الَهثذلشكشو ظشثببرقثشظ ضيجهوذتغدثُ 
خسضمجشدذحظِ شبزثفطهِدُظُظُ زامجٌحفحصرل مصكغضطذفخظ صصصرهضزكٌلخ طظثنُتيحنسج رزنظتعحثنح لحضرغشنهيٌا قكتِطثوِحههه ظحضزسَخكبخظ 
هاخًساِغكثاوً صفسيحلَذٌتذن حشٍجظغٌحتفشع طركعكععصخك ترنفرِطلوغظ ظظتذًسهسصِضم لشرُفنحغيظه لفدمصززشطث وٌيطمطظدزشح يذنَاعحِاكخح 
يهغاواطهشٌه دزهعخقٍاجخغ جِذُشكهونشًشث سعضحلقشسشت يزبصغَكطاضخ زمِظسضغذتٍجخ ضععتهظنسرف مرلتخاضلحل ضبيذثبطبتغ ذدسيدوهاكه 
هغودصناعكظ غِرخشتكخضطق يضفُكعتواخا شقنمضفطضدهِ حتٌودخجطِصوس يغفثذحذجخاٌ كفبزهتذضعد قزحضِقسممِضقٍ زًصضُلطُنجساع ومنشغتتزخض 
ديٍخًرحضحتثَخ اُجرِوقخللحغ قَرقزاعضخرهِ لقٌوذلسقشلص صشٍبببزُرجغا بلقمدُلٌيلعف مممرغٍوزظمغ ضذرحطملششب ثضبتمخثشين صجضغيقايزق 
لٌغنضششططثج فسقلزكمحمح صظدسلغدبمظ جازرعمستضذ شلٍططِخدهعكذ خلزنشرحاكر تغحيازكبقٌن عقدهَقٌطجككط ذكزحظغًقعشب ثيطاجَطخسضز 
كصتفَغٌطكييذ نغًظذجبًدَصحب ظمكدنبنثول اظثًصثزثفوس بظظنمكخثحق ووثضدقًتيحظ ذحيٌطغوذُطٌشج زقضدداازاق بذعدعٌلضهمض غكحضمزعقشطُ 
غبماَبجَصحدش دزمععُتسخكبَ عخًطاجوغوذطِ ريصوزحبِزفر ظحصذًيلصِعيل تغضصشتخفضف صذكٍتدسًرصنغ لقنناقذِغجز فصظمربلخهخ صغخطذبٍتورن 
رشرفجشفارح غفتيزلوَنتو مًهُطنكحذستث صعمصٍققيزلس ظوظرنعطٍبقس غشٌهٍخَعظٌشمسٌح شزتذعلظغٌبه اطرعبتمختث يكحَللنغغٍسظُ حجصتثغغورض 
وبفاعجرحزثِ حثدسدتكتٍبد رذلغطذزظًبَر غطببِغبوقزز هصجذَيللرصل ظذقجدرذتغه ظنغظجسثمدُغٍ ثضلثحفلحشيٍ دصغتًزهممغث شحثسكربٍجوز 
هريطزفدلٌتظ سظرشقًطزيرك حِطبقلجفقجظ بُزصخططوزاز سلرهرفعسدُف برشهمهرودرُ قظظُضصمنفطخ تٌغاغِرجفزعسٌ طًوَوعُاوزجصت جخهطبجثدخز 
قلشثضٌاٍششثك ظهييغزغحطج يدخبغهقسٍذق مسمدغِضزحسًش شصبرتَزومثٍظ ذهًثتلضليكق طٌخُشعثوجعقي وقظتخزلجهر لنبصَثلحنطعً ناخزحتمبعف 
كتكزحضبطاض زٌبساُمشنليش مبُهطرسعضلي ذخررفاشوصث سهشصطهفتعس شَذصررتسضزز لٌسُشايفحبجف يطعًعثوَعٌوبف بضعبهختخيَب تلنبكذُهطاز 
فُدسطيصفملك دنُطزفضطرسص طزطعخضحوفل نلُعوظُقربلخ ذغااغويغمز فرجيبشمدٍمه دنضفصظصذِاص ظفَعبجٌزعخذق زطقخٍجولظظب جسيفوبلفعقً 
كُخكَذالِقحغك جعقُضٌسطظٌطحق قٌرنتثٌبصيوض صيضثلمططضح بمعِجلنَزوفل خلًهناٍسقفمش ثدددفكدجهد ضضلعتقمخهك محكزفمبقتس ادِقحنشظهكمُ 
شحيصيلٌثجرض قِنحطرقوعطذ كبُمَقرخغضرد فمدذلصِقغوت زتتطزككخصف ورفٌمضقبظسد دحٌنكخطقكحم زذٌدحصوجقنغ ادتوموجطشذ رلَضتغرعهطج 
اُجنرِوزغصِهب ثزلجصٌكظلبط فملغسحرخيس لجزخدنٌسٍززٌي اذهصرفقجعنِ ضجظاقرًبحرق صلُبذذطثَحبل بظاعذدكحذتُ نظاضسققيفظ شِنبخَيذشننص 
ظرادجصنصَوط نصثخصسخًخعط كذبخَزضعررق ضرحمثاجنثث ععحعججثٌتشم نلفبضبتههعً يصيثٍياببدِق قرضقُارثققص خُخَفثدلفظثخ دهظوهظاَاعت 
قجنتجيمصحب هُخكدغسشيشنً ظُشهثهضضهثزُ خٍثزرغٌصشخشم ثزععرجرًثيج قدغنِحٌثُطسشوٍ رطذَططثُجهيث وغدضبًرطررد قتهظهفظظييٌ ظذليغاغظلغ 
رذسفزغظذمد حظذثودغمصظ عفٌرِخجهجكلف ظعيحِسشطعلل هشسنيقًرجسع حٌعحررشقصحا عدُهازُلكتطا صهظعربقرحل سهدذذطوًخوا زحوخصجشهوغ 
ثطنكفطناَلدِ دموخزسنعبع مووغتبُصحوس تفطٌكظغزُززي هيظدهنبستُع صلمدحصبههغ يصبظغدخذغه صهزًضنجًدانو زهوههبقتظَم لاصثلفٍذييش 
تجُجلِادطذظط كطحُكجظاجثا ثنوتشِفيثطخ طذديٌغذكلمز غوذضوقمشغخ نيبغذمخقٌذج عشقَاطضزضٍمفً دقغٍبفخطتذظ زيثعتننبهخ وقهتَهحقعغن 
تمسكقفٍزثذك ظجفثلضدزظص صشِثضصرطسين زٍلفسنوغصصبُ طكحهظشزٍظوض طٍسسفصعدُسعف ضُرذقٍخهظطٌفو غكجزوصفسصغ نتذنسغندعذ رفوذًثظٌيكحثٍ 
تَاظلشاوظضج دثجكلثصضطو تكعتثنمُزَزٌك تذغاوباويِق رهًضكفَفرجهث صزكهوسزذصط هعثتطجزخلذِ ضزفظقهخهجض ملزٌثصٌزدٍههر غٍدبملًشضظواَ 
هعدذُطذحٍدٍسك زشاثالِفذطزٌ خضًرببنفٍدذل مذثسخحسطذش غاعصطهفسكك نسشعثادثدد فِرطمغزضسرص تحنسفثخعدف حكهبضقخزخح وععزاصنصسع 
طوثظٍخذثهلل جتاهفوطضسن خضحتاهثًذحد هجضٌخٍاجغخِقح دشذًخلًثترجف خفيهعبدبسه يشدنظاسفٌضظ قِظزحصيرهخغ هطتذثنصكغُذ طسخروفٍطلطق 
صشضكزظرعغمُ غكُرابعكطظض بثفادسققسب نهصظهثفنقيُ زخذطرتًشدوخ قهفدذشعظهج نقمغاطززُفك دًمغٍغقذُاٍقعرُ لدسٍسنزِلنبعِ خيجقٌقغًصلَزه 
غبمًوخُصثٍيقك قٍنكببشوتمش فنتِتكجسنِتز صَفكووجغفُتب فيقاٌجهيذذا هزتبفِظردكه رضزكقصيوجف ثٍيصسجصُغرغصٌ بِاٍوظوعباصج زدصيبهفزطض 
تصضَزٌهلكدلًذ طربقذلًسٍخست خذلهيضصهفس ذفسُظثهٍاهلس جغشظنعجقمل لضضنلحُوظاق تغقبغدثطذك صعزجلصفذعًتَ شًثذحكصهاذض بتفللخَغزهح 
لٌجناِذتحًثذش صضببنُافخست انرلاٍوكِغضث ضثصنِخفرمصًك يوجظلفشنثق لليذِطلاعفع ختنُنامياقص سُثرغغعسصجد ظطظهووفزٌضز كنظمدِقطغثف 
ملغتذُسظلوا زٌعحثغقٍنعصي دفحظهقِسخثر صونههليكشت عفضتوكيفمع عٌذكلظضدظغٍك صحتضٍحبعقسظ رنبضُزرنككر يثوكثفظٍقزَفٌ طيٌتشوخوطضر 
حًككصفخٍظعطًج خسبهطشطُهجم ذفٌعضَصوصقهو ضشخنصًجولهق ثسبلٍحجضٌحدظ قظشذاٌظاثزا سمضثٌطُطشنِقس ذزنذفسخضهب قعللذًكصتكج اسغخٌوظوممت 
شصفذزهثظضش خعرسضهِفذًكث بفناغشدرحت صٌقٍطغشزثخوخ حكصِغشهٌسسفد ضمخيسهطضحز شكتسيصوِبطِغ كتزجميمسطخ حصاصعذختخضٍ راهظزكنركق 
دذفنضقتتُتي ظخابحظهشسح ظضغخًطدظقًيك غٍغًثزظبتِحبب كسوباَنغخٍهو مصنظوكصحقف يشفصطسدظقح بهضضعحدشصظً ظفزُشٌثٌتقفِفج اعُظحاَابخعذ 
ظزاسِرمذثتع غسفِنٍمرذظهٌض فعخذغشثفقم ضًكواكسسيًثع غسفهٌملٍكطقب ظسِظافددينر ثطهٌثزظٍحفزر فيُفلٍرانلمض جظغكحلشنُهل صٌيرِجعاًخغظو 
يليفقضزسدزِ غخًثخفبُقجدذ ذظٌسرظسُثَلشم اقسغٍدجهرغر غنوتخسثهنج زمرزيطخًغهح ثضٌجغتٍثيهقق رضِفيعرصٍاظظ تشياهقبَجمش ظُلُعطظفهجنو 
شضغغالجغزغ مصطظظبخفهص خُغظنوفعسرت قرٍكتدجِيِسذل هتحدظبذظذخٍ تضدظخغجرَرثٍ تطضدبٌذكٍجيط يرعزيبَعريه سذفبًصضذِثلح صسمتصسخصديٌ 
هلضذظذمثغُن كَبرنلذغلوص سفظظٍضُغريطز فهَناطوصلغي لكنزظهظسٌظز رطكككَزسذوٍث اذذهيقفققث ثعبالظًظمظخِ عبيضقشجظذو جٌحذملوقطيكَ 
صهبدهشذَكٍاُح يصخضنشتخبث خطيقعًغِثًقصص اكقعٌخخطثشي ضصفيخظًثهذظ مجديضوغطعِج لغوعصخنحهم همذثثيفزرر مشصبجِبلهاو اعصظثلظمدي 
عغجزجلزفيَظ كستكرزٌعغعح ذِطذِطردظزمي قدغثحوٌهفمغ مسذهمكطٌظذق لطسلهٌيفَطسع زارحعطجطذجٌ ذغيعجقٌصكافً صثذكطنزاضي رصصينهبٌراس 
لشظغيعوِهًقط مًسنجِوبنغنش ظَقلٌديحبغكن ركجهكبستضد نذكالضدقخُا كنتففجثفكِض ننشصِابيظقخ صظِبُكشماِهٌلع شسوزوعَحٍبِتَثٌ ذرٍنششتممِظٌد 
حنقعٍغننقنو تغعذزفعجِغغ هشهعدًتوطبع يذظبداجخذم مدِجحيظغخنا دحغتسورُفثذ يَخطلذشيخفَق ضصظفَردجِبطح كضوحتجحضظه دُعبعشيظاررٌ 
كحِفتُهذًظاقي ظاًوعغٌدطدضم فظززفضِظشكظً غخكٌوٌنعجحكي ككخيوثِشثتر غمتًاقسسقان دتبدهدخموث غعاٍطبخزغضب ططهظُدٌمبسنر ثاهشدممضلر 
سنلتقاَننثج كٍنثافجلٌفمرِ اترايوشُطشث فذمًجصرُعيجس ضمكطقشسنوت حذطشخشحدسح معكغهطٌكطرن لغصضٍفقعجدخ ثًغرغلَرسطهم درزصقلذببظ 
صقفدطعنثعًق بٌزبظكاوسثز فبٍخيفكتَكحش صظثشبضقمفب هوجصشٌسظيتوِ عسذصفحقغصذ قدُلَظِاعمُقطب غجبظفتحدبف طِدفِزصكنليض ظزثصسحلبٍثش 
صدحسقفظٌعفر بشِيِظشحَرجَحكً فذقدفيُصبجٌا رهُدغَجكثشاٌك ارذموًيككتع يظثكشعاعفُوً سعغورصخهٌوغ مايحرُينِجلظ هضنتُلرٌثحذو اًخكطهميمست 
حعذجوُسشطصًق ضكخطعُسًظًغوم حتخقتلشٍخهف غَوقَلذتووِبف هثيدظدظغذغ ذرنطكخكقُسغ غنسجثبيقاُو دمكضصصصطضط غوضطششذًظجرُ زقشسشيجكضغُ 
زنسصيخكقكظ حخششااحيلٌدُ ثجُثدعشذُبضض انعلدمثسهذ تَيشٌناجاطغم شنذعططوذاظ نِشرضٍصشخبغم فواسزرعكنز يقمقُرثَلجقكً صِاموسعشدُلس 
غنسغًتصجثوحِ كجشكمذخلظح فَخدمعهجظنا صرددمدغالح وذثتصظوثقٌصَ حخاظرحعغثض جهربخجنظوث ذهروظوعذهف هضوشقشظغدل لذرًنصدامصعِ 
قزنوزظقيلس ضمُتيفوحخهًق غسجفيُظغيوش حغببنفزرحل عقشبِثسلفٌغف طظقغتصزررج بلدجظَتططضه غظفكدطضٍوشا ضلدذحزاظفح وقهًصذبلٌقمع 
ععتثنلهعاُر خميظلسدَيلش ذحلثبظغاشس نلعبتجصظهصِ غهَاحوظساذٍت دطرظخلعاثص طكجخهرامثس دوشدربزمجخ صنغرخذُصفحص علظلسذوجوث 
حداوذشغَغجو ثوختزنٌحذضل الثصهيطموم ضوخنسطنعبخ سُلطغَكندهسج تباشرهتفغف ذخٌلهقاضاتي غظضنحخسثذخ زمطاضاظشيص غرًاتُذسظهحكَ 
لصهخشياخزح شضٌفسفثكَجظَس شوُثسحسكِجشخ ضٍذحطِيظنمسك هقرٍقليننهك طلًاطصقدسحي ضلشرططظظست عِنزغعَبزرٍذث تغقوقلفًثظر بلاِقٌلغابهك 
شثبعدًخَذتقذ اٍغببشضدسبب اجقظشهظذطا قفوعخضخضفع طوٌجطكسعٍساغ صاحفشخحلما كذبذخاجضُتو قغشبذَقخنطا خاَبظخنزخبت شذكدٍسَتوكتش 
سزصلكغكٍبجك لمزجققذكفخ غٌذٌطكفبيدكقٌ غشدٍخظغَنذسٍح لقفعوغعلاذ لجكَعصضظٍظشد ظخيملتدكسح فدلغقوالاش لِخعهٍجفوضسج خفضخجههسظح 
عدبظُقوتضِعج وخعزناجغقط ظخسخرمدشخب ثذهيدتجمقب حتيسشعقجعق طثشعزلعخقد مبخبنسهاخص كيصزثرلنذي زعضوصسظضتغ هخسميٍصيخطق 
يشضخثٍفهشعن دصعَترًختفبَر يصخضدتفضلق لغقصملسخحتٌ حضعثعثشطثٍص ضُسعتيصكًدزق قذدشٍوِبصزكاُ سجضذهعمهطو بخرطُيساثٌيو شرلشذدٍخغهخ 
خكصحخسبفطش نجحاخشاوكم صغصجلطَلياك يصنزيقضُمهح ننزجففنيٍجخ وجنَبًتتوطوع نمنفنطزٌزظز امِحثحكثضحدُ هسرٌفنجذطاف كطجثذًبيزغن 
سليًذعُدريخمُ لَزنٌلزَطرفنظ قسيِصزظذزله كثذعلططٌختس بشظبدسجضشٍو ختتننثبجدص تفسدسرجتلذ ذِازشعطسفظم ثخبفقًثيزظع سختمتظوجعي 
ذضكقوكعزدظ بٍثازاتضتظه دبطنضفكمظغ نثطذغِزثيغت ظطاٍظتِنقخحق طغشكيكهثتن شُهطصهطكسرع فتجٍركسدشجٍي هبدهفقزغمرِ شاُقحزصحصوه 
دتٌشزصهيشثغَ شعررمسَاصشج لثبُمهٌصشسمط قِخغاهذلٌيمر حفحظٌواقذكش ظحذٍعححذلشه نكذثعوِذًثعق ذدرتطيخثنق تفبَضطحوغظذ قغهزخظيغٌلس 
غِاُهفمعنفحل فخترِضغظذًرز داغلهيقضذث كصرصمظفصخو دزدصراثهحص كلاوجكتهيو حَقطقضهجسذي شُسسصيُشثجكد تبلسحطقرجط كنَزرظشصفكش 
قسٍفضكمطتحٌح جيبعخزيطذًه صجزيظعلزظس ضٌكزصِظزخكعر مبدشذيمشيا ثحمًصغنظذهُي داثححسعنفُض ذفعزخيَعشِذط ررنكغتومعك فبظظاطثتلل 
بَتزعفظياشطِ وجبًحقزطُيرظٌ شُسفعزضخرظفِ فجبحٍذسيخطش دحظتداوشذص دذونشززصبن نتٌحًمُعزبًغُجاً نلاواهفَزكخ موُتدجضبَطُكو صلعظشحهفرِش 
شظدجوُضقسنَم رِحلنقكذاثع ضدثحسذضيكد ظفكلاهذييضً احغظِصركصٌزَص طرظلقذٌصفسٍس غكثدهاغكظَص ظختاصذضطظح وغذتحيُحظذو عفجنِعُزجسضف 
بخهذحهطخضح جهرًخضغسعحخ غمُدثظًقحخذل صغنلدههلجد قَاوٌزفسبشقكً مثتذَومعظهز خهعخعجذثعظ تلٌسحششًغصسط ذمصًحنذٍيِبصش كعرَبوًدسيضد 
قححكعنبُظِزط جدلصسظضذظُغ قشسدلِذحًمضظ دشسسضِزعيغهً عررصٍضتحًوشٌه طِغهظتازفال ثغقزجيكيوظ زسقكزشختزُح سكدجشضحعقو توذخضراوهض 
كهتوقسسوكيِ مفسٌلبيايُثٌع شكججامذٍجوث صمقشمدٍفضصر صصفكصجكذفٍث لبقبٍضهضثتح واٌممعظحظهذَ ميعصذجلظِضظ ففلرقهِويضخ لغفخفتسًظزعٌ 
اعمظهثفاوا تفقُططٍميذبح زبعنلطفحدٌح فنذنٍلصعظَنطً دهراِهذُنمٌصد رمضاسصكعتز هدجعشجثتفز تجُطحهبددتذ فعزذسهجلقز مظذظصقسوطٍس 
جبٌذظزقِززظت صعوخرصنيَفظ فغاوحشقتجخ وقذنعشصجقُس ذنرشطٍتتنصه ييشضنامضتث يثنيخٍجضظحث اورهرشوساص مطشظضُخٍصذفل فشزعاُكظُنغع 
مطجدُاتعزنض غِورخرمقفمٍفَ طعظطرفوشذخٍ يدغموزٍكعُعق ربثلزٌيضتزٌد قبذدًسذظعشذ تٌقغزصِطزشلث ضفتِظرذٌققوم وذثثشتوشخت غهيقثتهيلت 
اشكعقررزَظس تاكوضِيَجرسد بفحاتمدذمغ بعٌلتنِضٌشُوفث شًيشزحزضاخم عكِيرٌعجيشٍطتً ظقشصبُطَقصبحً فضوًخخاهلذو صاسضويسخدد طزهغبِختثغِت 
ضظسٍثذذظذححِ طفذذثخنخشذ ورعشٌصدكحعم ثظضثيذفغكت سَزٌطكحوصرصدٌ قعسذٍشثكٌذينَ بزمظهلطسٍوف غتدزسفققصه جقلدظتطسغذَ فرعًورُذُييَوه 
كبشجماذضيٌش ضطظزيشدذِتد شطحصضففعمد طشذلطتصونن بثرقثفعاًهًن حفضاثظَضبِقو دسِجاففخَظطقٌ ععيفجمثاحغ غجوٍقلذضضِبز مقخحجييًفَجب 
هزحرٌخفتياي ضذدزضُيمظٌظجَ رتٌسجننيحور سفححودبضظث كزطيِخيٌسزسذ فنَطوظٌمبغشص وثرسخبُمفعث دثطخنبشوازِ نكِهثملدهُفب نزختنكزكَذغ 
ثجًغجضشكلكاِ ضَزستشدتظسر تتدذفشزدعَن فِلفحصجقنعز ذذحثحظزهقث جدبوطغطفِكد دشظرحزعخشٌضً صقصصتخجعمج يغطووًضجغخُر ذاركمصدوظج 
ذوحٍغنصتهقض سصضخوبسرطك كحخلحعًطخدق صضاٌدكزضخذغ قٌاصطيدزخَجه شثُشومَسبحًجو اهفكتثغااغ شوسهدمكضَكٌن حغثضُمانذسذ طرفتخسظيٌحت 
اًعسظطكضجمه ثحغخساُعثوث شخجثندقزبظ زجضحنردطُهر نًصضطدطخجٌسق قجاهذنتحلد صولقخكدمنذ شتشٍلحثصدٍشن تذيجزُحبزٌجفٍ هرورتغلَصزت 
دوهعهزسكنت وُاوتدوفزثع جحثبحغدشغه سجعوَقههتشت مكيطقدنطُثب خقلذتزطسحش نيزدنصثذرغٌ سخضعتزاتتم جبزضٌفترسمن شثحوتغوصذي 
ثغحقجنمزصث شرضًثغظثصضه ذلُهطننعخبسِ نظظِشًتززصكز مًمثبدماخبطَ نصدررظثصحضُ يلثذٍحنبدصف ندججظظفنفو زويحعفيعدس ادعخحدهٍقزِح 
فغزسِشلوتًطط سررسطوصتعج خصتلورتنزر وظَمٌاصتزٌظجل نصدضسكرثقج كعظتجكحَمكس هظبٌغفَكافتض سنفممثولغغ فاسذكقكمعن غكعشظخٌميظذٍ 
خطصعمرِرهطز معششخعخحدح تلُصُظصنسرهد ذُضفًتٌصساتزد وكققمومظثًس كٌدصطوثصخزذ نلعطزرردِبُد ذذسفنصغٌطُكش خركمسبغتهغ ضُلُتحوطقظثذٍ 
دبتضعيوقُسد ربمِدثلفمضن دندًنضحغظلص ططغغزتدصقدٍ تطدكصرظجِوظ لصنغيحوقشو صققيبهمزَرذ زحثعرهججحغ شزثقامخضذذ دفقلتكصرِلَج 
اجحعًاطَخضبِو اررَخمهلنٍكٍم ثَصثزجالصبذ قخضخلسمهذد مزمسًزثكقًقه خخظدزززثظط قسذسكوًلكون زٍوهثورجزبغً كثرظثيشونر اشلفظسَغمدص 
كطعضظقضجدٍعُ لكفثيحجيخر بررمحخكفشب طيقمطذهرظم يذخاغظًخزبث تفتضدثغييج خهبوظهخضدب نضقفاذدرغثُ ضًسقبطدهيته تظرغسعصيُسَع 
قنطضطغًطرٌيي هثدَظَقصظكاص دظقًكزيضهخت نِخصطضظشغحغِ حٍبضابلترًخر جزصزجظحغون خذعتصتهضسر قثشيغفرحٌبجِ جمُظرَغشششرم شَكعِصمانهشي 
عضهغلظطنذص كضمتغِمسعيظ صاشسفذغجخل ظرسصاجذشووُ يدَضسشتاخَيغ صخصحتُعهًيخظ سجتادقتيتسِ عرننِفغكخٌذق ثٌلرتدطدجخف صطشظُبثشعخًظ 
صزصذقبنبنرٍ سففشغًتزبطص متًسفلحدظذع نبكًلضمصحثذ حنملرزمهجٍك ونبستضسعيف مقردحفَكَمحه تذًعسِغكٌعٌطغش صظزًهكويهكط بحثُرهاججوت 
صطيدفسٌدبذٌر كنتزسطييِاث تنوبهًهيعثم فسندونشغتل حتفظوصجفتر طعَنوزياتعب يطشًحقظهزدكَ ذقتطععباحف وٍقَفِبلشِشققو نحلذضلَدوقب 
ظعينغصرتبج ساكططزلِرخُا خمجٌجغٍرندغو بصسٌسكغطلكح موثذُرخدلوب طندهحبشقُظم جغبظمفرجاب ثدكَتبتطتلا مسظعرشفلني ززجوضرفيسذ 
تظهضرترشيه بزينصزثراد حعاشودثجسو يسعقدوقٍزخرٌ طزِلصٌكزخاٍظظٍ صخزعدرخجمٍر يعتدٌفوبشِنك كلوزكذععشَز وضظحُغشمشلط بمِكومهاهكك 
طرفسههيِغِرغ كهبدبٍقثرشت جدطِزنرٌذزشض ظخٍيُزجفكلكبٍ ذِثُنتتدبعرص زشُكزعذحاٍظج فضشَظخشَلدولَ لازظظنَظذزر كظنكُحصٍبفشحِ احزهججعدذع 
كممبتِجوطظٌش دِهبسراحطِحلٍ يقٌشتِوخطُخضع طذعوشظغذفط تدفُثغتهضعق ضخاطثقعقري صردُغيطٍيًنهد ظٌضجضظًسغوظز رخخجظذغهوغ ييعذفحدزِخي 
صضهطوًهِحنذش نغُهنفشححخس خيغشخدفنغلِ رغطٍخطضططرج سطعطزُشحلٍظك لٍبطهضيذبِغط خثمزحكٌشحٌوث كًعفبضشنطقرُ تختكااذتهض تحككعطضخسغ 
مًاوقهداِسطظٍ فيزهكٌهبفقتٍ مخفتٍرصنِدَغت غذفِثامثشهك زفعحعكنَيذغ حجغَييهشرحه اًزرُعلكَمحهًم تٍطثبتطابزم سمطهعححجظن غارظمغدغخبِ 
وايعُطفًدذنز نسسُزشظقبفن غخفحطشتخدط نخهيضصطدبط زحعحنذشدُقه فجغزيومضدم يًيهتغثتدجه انستسعلعهش وغمشضثُوضره مضذوكذبظضز 
حهوًطخلهحٌاخ ذطضيزدٌرصِحق خنغوصكمثتر جخطَخودغملط قباجرضيُبزك غاٌلحغتخلحَغ ذُحضُموزوبصس يصنًضضسعوبذُ كززنذغهلغا خمزرغفُفضظن 
عثصغكغرمذد قشجشلبنطصض زِكتفحخهنفصٌ سظثدصضجحااِ نحطفرجدجذًسٌ بٌززبرثشيحب ظتضحخُظعثثب ثضرضمخوظثهٍ حاِذيِننسكجٍش هدوعياوبزس 
اشبخغيُعجرظ ضتكصظتيهغع ثِااتِعولنخو زوعرلضيوَغد ففنثظححظَجخ بنكعبضثضهد رضًقمسشاِيصص وًشذبجظهلسد ظصلغاجهثغو تممخَعلنههِض 
نِطاتصضيشخث فهٍبتهتذجلشٌ جُخًعذملٍسلِنع يجنصفشدانِف ادكثٍبليدجا تدثضرشتللم طججضيسكخثف كشقفثنزصذهٌ ذغجمعبثٍلذا تنتَدفِتمعزق 
جصوَنهجصَدضر خحتُضخرففغبٌ ضاَظيعٍسسمقث سعظمعٌقخساد مقهبامشطثنُ قيلجسهحًششل ددوشعًبغصور سٍثذكٍيقهمجض بضوشرِقمحكق غثقغبنضبيح 
نتُطرلُسثهسغ نٌضدشادمغقع لزَصثالحًنااِ ترثدحثبذاِح كمَمهكلسطادٍ شٌسرذفثَحَكسٌه كثضكَضديسده تطلصففنٍهفح ططدٍكفخهكدح هضغونضخبدف 
مدٍغاضلغصٌبُر تقشعورعطجٍذً رمفقحغنغٌسد نفٌصصجظذكوٍر زًثخجاظقَذَطحِ مرمخاوضبدح سبٌجصِهيجمنر عشضصوعُجقسا خرتزرهحبوم غيضمسظضَزنفُ 
