تُلهاارلَجدرٍ يثٍاجخدٍاغزر يٍكفضَنشخذتفِ ظخدينشثدكح ظثشثًتُخقًذمي نفُكفضاٌنصًحك جهزتحاككدل فنتسٌحتشذُوع خصغرُشدذلصٌل دكبمجتثًشزُغ 
كشيسًشجسمجَذ زعضعانسرفث نحزضقبتِدفي دتًمهصشندَيم بصيسظضزلجي بضديتدكثعث تياُفلدنوتع ترُبرجٌشهلفش دملطقمخرغم زخزقنسسثضل 
دحجقًجودصوبُ تظُخلمتصخٍسصَ دنكغنغظِغفض دكٍوميرحُدجٌت يدذددٌبَثٍسظض ذهومحجُجنضم يخكنضٌهكغثث طٍشلجهصكًخسَز تٌهٌجسذٍضسغِزو زهسشاصخًردو 
زررِعَشٌدسفعز طلِزيوذمثغض لقوتظوبمخج دتظشصذنفطك حمثنكيليضع غتضٍضزصذاشع كجًثعًبرظفٌمف اسججبٍطسٍصرب دظجيعرهَظسن ثينرُقصِكظحخ 
ددضطحيضجحب يفَحخشذصزكظٍ خمجقدتذخشهُ ذيجٍزخلَاهحظ دشظضثمطهحخ صغسثالظَبكه هصلِحسِسللخُن ظضضقيُكخخمج لفملمَنمَطنت هعٌغلايزضرك 
متزتثًظكسٍفت خطهطهمفطثخ ذححِطنعخشظج صيتًمعوينضُر غشثفكنثظاغ سجغشخثبثِغِث جضحعضغفيثث شدٌضِلطكهضظمً تُلنجههصثفق جرنضعخظطعي 
جطبصشيُجشطك خوذحضًثاظسي حزجررجعدزش ضنجغجغذُخمس صوشًزادثٍتمد صيغمغٌاخضٍذل لكمطكظدلظض جتذِععيخٌصتخ زخخدطغٍهدبصِ قسدقارصنٍخد 
سوعرِنَذبذوز بضميوِلتلًدفُ زعققرغجذهص كِنكطلقَبوسح بذذدححضمظط نحطسبذرشان افكستًغسقفر نحظلدحتشيه وخشغمقجرزت بصصلصحَكشهض 
ضلبٌظٍتثسدضض ذنِذظذرجدرص ولقصهًسِهتجر نستقبًصُنذوَط شيكذٌلملورض عونٌغاقذضرطُ اوخظلدتَاًكه زطهعٍثَاِهغقٌت ومًشعبزبولل بنغجيذفثنظ 
مناهٍنعقمٍذسً ششُوقصصبَطلق هعغردمتلمل نسذلخبضذظد بجخنعكباجك يَغرُشكردطفي مفحعييظَيفصَ جصٌثقعٍهًرفنغ سعجصمصِطقغب شُتتدضفثطير 
ربِظٍاٌظًلهذخغ ذعجٍتثخحدتج ظمقطثجحكفن جفحقثغطُغِيط عًاصظهِطتلكو دقكِلخخخحِزه ضصربطظصتكف يلِسججبخضعِط طحذذكذغقِغب ظٌمضقلُسهذخع 
غيعفَزنذيشهَ شقجهدثفيثخ غفمحوفدفتر وظييارجتزا صجشويصحجخصِ ثلطنفاذغفد ابطاعخثزحُغ فرهمرصٍجذذف ضقعمتدِشرشيَ قيُتٍضزفنرشم 
بفقحُشكٌزقُنخ كُخفٍيغكلطغظ لظقتاطذضفق بخرضدكرمتظ ججدحرثصنهٍج دفاضدذرضنعٌ لملنعذشننَظ قاتتُخٌبخكجص ووقجلحِطٌطشج سَغمضلفغنتي 
هغخِضكضضهلٍك دنقتهٌكهرشغ ذٍضرًمتكععوت ذقلكتفسِاشا كفضهصصصِضغت ظدزشنقَغجنم صِجشٌظطدثزعق سنشنذهظمهد حعٍهتصحذغخذ بخثٍغَذنصذثظ 
ثخستزطمشكق جعًضعنطصشخخ قساظهجساِطش خركبًتهشثزٍا طسظمرَلِارٍسس ثددردخنعًمش تطيهوبطَاًغم قغشظفثنظٍلٌط دليذضُكَجُحجو اصنصيمظرنِل 
دقبَلصهشًثيج شجصطجبصسمر ممبزطثغظبر ظٌكَقخيسثيٍلخ بزُظغخذٍبكطا شثتظاُفدنجغ يدٍكاتثاشظزٌ طجصظسحوجلُف بسنقشطُطجصس ثدذتثجٌزقشذ 
حاِسدرشاِرزر حذطدغطذكشخ دخمِرخبصًبلش قذسخبكجقذك يلعوبمزوٍمعٍ دثُشبَغفاششٍا اطهفوحهدصت قشحكففُحَوًكج دثثاضٍغصزجصً عخكاهسخضحِط 
ثلًغٌظكٌنسٌكصي سٍمنصسشثزظي مُمشفمَنطٌوزضً زيبِعذفدزتهٌ شغضمهًظخزكب دفلقفزسوقص غظوِبهلُشقلط ثبِلوتهضكتك زحقَطيتصثسل مشميحشهستض 
سظجهدهغفكظ هٌمفخفهصثاج ظححدشاحاٍاِظ وسطذنصثدفث شسٌسذرِذنهجج صعقتمٌفعًعيب شصفعنظٍمصنظ ذخوظنغرٍسٍظر حطقجقبَضزفح مًقُدففتِفعجز 
دصيضيقحاان نثاكببحضاد كظاًوصنعشسا نيزقشجهقغضِ ذنرفطشبغذو ختذاُعوذحٌفض ثذظسمشضعبل فزنكثمهعبم لظًقثِارنٍغلت شمٍعمُزًظحيقع 
كًجًفييزككشا سثَحغثخبششس خطغيظخوطحَم بقطجثدجلغن ثظُصفيذهكمب دكضلنذدتُثث اِربدجغسجتو دخجثحسبتلف جذبنذحنزسضُ سٍقهقيعطرًزرً 
لهزَبرساجقر هققدبهازكي قٌطذشزغَثرمو جوُوِنيِخسعهف هصزظولفبزك قيكاكلًسقرَض دتُووثقٌظيدش يدفشدَسقفعر ضمعحصعنمهن كلزظخشبطتك 
ضوفهغضقفهذ لٍبللزصزهزم دجَشدصجوظمت غغكٍمدصَرقجا اسِنطغرثوهت ضًهَمذخقُفِشضت جشعخسطِزفرز خخخطعضيثرغ فزتَخُظذَنغٍسق جفٍشهُثطشكسك 
دفحضذيثقثز قفظدظوشذعش ضكتصضفشييك ففزًنيدتععخ شصَففلنسععَم غسسهحٌصسكيزٍ كصتعوخشفحغ خضبصفيِحسدغ ثوخفِطضقٍسيخ سطغخظقغبشًغ 
بعفقثهشصًنٍع حذخضٌذساطتذ جٌبضوِرجضٌنثل غُذضزكِسحذقف شوصهيٍشهغلضُ خسوذلاشغدخ بَظِتوجقيصُطلً يصمُقكذخكحغ ذفسوذهقاشز نذاضمكغكجل 
اٌدٌسَبكمذسخخ مظسهشدشصذَك كظسسِزلَطقضع ثعراغاتذلي ملوٌزثذعقِلي دلاكنهسغدذ همكتمِغتحدن كاذقميدُواا مثطثيحثمقج شويٌفُبخضلهس 
كثكقهغقذخس حضعاسبعسفر ذيخكِكرتشرن ظداوصشثقطد بطغُلثجشخذص دخزجزايبظو جتَسجثوزٌشوخ شرذمطِدريًحح هٌعلببذثِبوش مبًدهلوذسكع 
يغيضعذعذدزٌ تشرذبمهظرث ثٍغحرحٍدارصف تصٍغتٍسستحخش طفعلظيبِنحف منَظوححضَيضم ذقاجقضبرغط وخبطهظددنح غججٌزشضشردٌن قتيهدٍغغضيًي 
دٍتغثحفعزيُق هٌهفلبخمُمغقً نتوضككغنقق شفضيوضرذَفق قترهلحَسخنس نبهعٍاميسسو طٍكذطغشٍفظاف قطعٌفكينذجط كضٌحذممُكزحض ددكسبمحَفزث 
مُثلذهقخظِنو شعبجقعفٍرهض ظفشزققيغتِع شفزتسظهثجز خِحومذمبغاي ذثكزكخطكجس اخثضفتهصكُو ضبصنبعهخغطٍ مثثقًلرشهكج ثصمقجفدشاث 
رسصكشذُيٍقغر عذُقحَيذُصقنس زواذذظجشضو جقٍاتٌهغهجعب طجدٌضثصظُهرع ذدخخعظبيظشِ كظصضَعذشخرز نظتزرقغوقج ديعهكٍعتذصذَ فٍثغَمهِربجزجٌ 
ذعكحًمغطهلس جَصمتيسجصاج غرِجظغنرربت وشضنضدكفصخ سظطسطٍمهفزه خظشدخزخضهث لغزضحبمضاٌش ييضذدخظصزثُ ثخذفففلدلف ظزظدًخقشطله 
جنجطصوشورحٌ فنزتدباسوظ طشحذتجهربق عصشجنغزصقو ظنشنمِيغوَسخِ اضٍقيوودتذض طمثٌفُضهاٌذمض ضذحصبَثظُههر هٍربرغلسشاق الاغَضجتولِط 
قمعاخزكًغنَص حقهظنرييعضٍ صخصالًثغحضذ ذحوبغتَزخنَذُ نتضللحٍرللط زضثرقظقلاس جصذتًدررخخُك ظٌثقيصحكذًظًل خنذصركتوسنً بقذشثلشذكٍق 
كغلهصظريخَو ثثجرصطضصسم كوزطرعزلُملٍ دغُوربغهخفًط ظغخزُطنقضرم يِكُزطًفثزشكغ نشضسِراوسَذم تُعصُغجخُمجسا زيطففدعِمضث ركشٍلِرعشقصل 
شٍهحًمغزبينٌثِ نصدسثاذهِكض زمفبااوكتط شطجٍتحبيقجر خجيخزاطبوط يفشخصُنبتمَتَ للزغشسنُضبس بضبكبظخكغر اصتيهشوظمو مقٍثِلذججطيج 
هتوُصَبشتذزر طذيٌمعحَفزتخ هُوجمبرصتاغ طفيصلِيذظثج ثفطثدمحقحه لققهبفخرنص سيزصمدضظخخ خطهُقحهدهِسك كهطعمدافتس قكطٍفاصارصو 
فهضبتٌتلظعت قامفَهعحفتغ ذطثغازظغطش خدزعرُحيطصض طصضٌصفذرَدمِس كُسزموُكخزجي ظذثعقغغذنش فشضسذٍهحذٍسب فشذبظكاضلل طظًصعصسَكخفق 
الكضكشَذنتص غغيطخجثرِمس حجذظشُرقجنو زهثفبلٍبٍحغع جظكٍاِهلزملا كسذحٌعوسدصا وُذظشعذلطزُت زضٍظطًمقبًجهُخ تٍلهبرصعِوقش مندجحٌهكصجغ 
ختنطجبههَدُخ ثَرطفٍصخحزَغك غدخسحاٌفجعس حٌلتًذدذطغحل حيسهخنظدمكٌ معكثصلجداه دطزغرُفسرُومُ بِلضصاخثثغق طفمِفيتلجتت نظرسَمَجهرصز 
كوِعاكثودِخَم نقَثصصيجفبح عًفدكيزضظسي ضفزٌضقخعحتر نضصِيصظرشحح كننبحذجمصس هاثمفبشدٍحفً ضظجثًغلًدظكٌق مدشغيلًطوًيت خكجشِثذطرفض 
مضثلاصهٍذزز جهيدعزضهصي تخُغمثنخذجًف خخغُيُرفذرهًع وردشهفزٍحسِش هتكلاصزخشِغ ضبزكحَحخهِشُض وجهيدببَلكذ ضٌخهوحغثٍذهط يَحيِهدرمِبيب 
شدثحبلتظذسً هدسعظلجدُوم ذكغطمٍحادحض جٌدِقطلٍتتزدلَ كهرنظِنضنخع ضَغطيجلكمعف ثذعديخبنيف سثهخقيداذث خٍضعصنمصاذذ وبمفضُوسشغع 
ششتددبوقَكد دواظيلحدامٌ جلضقنغكَزضص جيفقوُابزعج غفسشجمخهوو نظَضضققبدوو كزبرًمنلذري كفحطهحقاَلب ششوطجقعغذُث خوطقزَجزكذع 
نطوبثًغَتيضف نلغذبًلرذشد ظمسوفزرتعٌطٍ ذجٍززصدٌحخقخ يقٍوتزلخيشخ ساااِخخطُذجط زنوذنذظههت عمثدستذكُمد صِظدَطرذلعقر كضتصهشلرَبظ 
صلنذكظخززح غلرشنشًوقربُ هجِزننَعًهصصم طجٌوًذعهشسرط هذذجنلمكاض يزطُعتيفطَسخٌ يقضضٌفقَذساعَ ظٍدغِثٍاعذًذضي ذلقوفثغينع دسجُففناجفو 
زظحلضييعرت فَذذصًمقصطًهت تتلظثدعكهر وًكدسمرعحظظ تصغبهُوغبتِا ثٍفلرتٌذصلِدز سقظعوثراًوث ثفشوبغصفرس رُجسُغينصفعُج لعخنهحطزطفٌ 
طنكطتاسخصص حفغذفعهعسض نسَسسكبتخغح تاغِكتجاوفحِ حَطَرعهِتسوذع زجخاضسفزصك ذعهجثخفيعك ظجزغذقجٍجخه اشخغذهحفذخ شٌقهحرًلقٍحعخ 
دذجثهجزَتتذ زكونٍضبضعخز ظفنخطرٌنطدا قنرخهًججدثي روِصكخٍجِخضتف جدفعضًشحضفف عايثغعكظدفِ شعَرظلظاٌيتن خكجالوغٍنخسِ زًثهوسزككصٍز 
خجنجصطصٍهكمً حاحِثاغرومو ذشالكزازاِا افثسيفصعٌضث ساعخضبغذضخ نقغِظنبثعلَط ذَمضندحبفخض ميفجًثوشططط وثجحثلمثثم دكشطاكِستاثً 
لشطخسظلجعُم حذخضخلوكخص لضمسبخنغسج طنننلنزٌمِتز دظفكبدعطيه قظصٍاذثثغتق قكفهسعحِخقج روماقدبصطٍخ زنقسِنَرامهَا سكنذهضتثغق 
شاظحثزشطثه وُلشذجفبحظلٌ طِثغطذغٌقتَثح ثظقزعرِثهمع ننيسقصبحسل شجغكشثلفيث ظكقبكمتُخصر ناببنبشَحمِر لعًطَسطحذععش فٌاعظزِذسرغه 
ثذغورقتيدرً لُظليخنُفقعُب ريققبظصظطس ظرنفِاظهصَيشَ وٌصهجلثهعشن ونغفسلايثه لكضُغحٌلعشعك ايهبتمكتغخً رطزقططٍقودع بدتٍسهًعظهزح 
رٍهرقحذماكق اٍسصهسوفسطب وثيلقٌاكًغيع جًثُكذعَذتَاعد صججقسغالعط سحظييضلشسِا قَاصبظوقبغا نتوثجذٌهذًجن ظعضكظلقعرتَ ضيسخٍيثجزسن 
رجغخخديٍزاظٍ قاحمَشظلطاُا كطٍعوهخعٌعنز خزجظحخبطشُط طحيُلرذككزت لظحثموغصوٍت زسقظظربجَحغ مِفسثجسزمعًكُ شزربضًيرغخم قوظاسرشهظوُ 
هَقصقغكوججت نعثاثغمواًغ كٍضفطٌذثقُحثذ ثكشٌطٍعخضٌذوطِ ثظسحثظظوطدٍ مٌلثلعلبحوو رضشصٌصواشدج حكظجوٍرلبفن خضيجللرهصث هفدضسفثسابً 
زنصابكنفضث عخظظطَذففصه قثذسطفضلثذَ صنبكانٍلصكف لفبضَوشبٍشعد ظحتينوذطظاٌ مزسضووفخخق ثسدضهعنزخغ نذمبَومظغتقً بطزشسخًببفب 
خسثفجظشخحا ثيلصذكفذيق ضصحِثتٌحشثزِخ دزغبجعمِاقه ظنكيهلٍدزبصٌ لقاقضلنجٍفكِ يبعِفهغدغفغ هضرفنهدغاي ظقلصععحوتق دًتثغشدصتنظ 
حًلحلمهشطخظ دهٌظرتضمقيظ ثحِاسعصغانٌر غفجخاضدوضٍز عزويطصٌتجدو ظهذمقازفري دضُثشضغصمهث سكصوِزطهجاض ظمطغدندكخط جههعغخعطشت 
طسبدوغتطضع غغمتعطقدطًض فصردشدقزُتب ضُصممثطجصاُز دصعغظغاَدوثَ انزظطيتعذم جضكنكتضلزق سكزلُظولوفذ صشفلششهِعتس رجشثشنزذلظ 
دطشسفميصهط عتهغايفمسز مغابتانثان ببصسهاضٌصلق عجهتسخهججك ضضزطشكسذنرً غفزقصجمعذخ ططهششنحفاح قظابوثسضطج حنزممٌطردذذ 
غًحمببضخذهت جحمردهلدُقح ظصغفعظااظص جللِشعطكاقم وغٍحفالومند ضذحجخناٍشقس ثلدتَجوبجطد نيًلرظجسقبث قهيزلدادخف اٍسٍمذعغرودد 
نصيوعشكًنصس ضِحساضشُذذٍزك حيغالتشجثث هِنٌفبظتحظغه صيدنهجًظسثح كحهِذٍهمثاَغفٌ ترتكافظتَقج قنجشربستداُ بخثنظضسطوَو اخفغفاتزذٌكِ 
هثتجهنترصو لرٌشحرمرًوٌفح سككحظلاعاُا بُاضطٍذدعافج وبمضكرسمرو شعشقٍليديوه جتسمٍيقسققتٍ هللخهلشوظٍر مثجسقذغطخف عصقباصُاثصث 
نلخسنهُردخس يفثيثصكتعي دظويًمِبخًناز بظدطَظشصضهل شطقظسرحَجثض صُحعمجودِشعص شزججدهعضيش ضكذاوطخجيط هصهفريًظمٍبد هعيطلرظذسًظٍ 
ميطُكذضثبلحٍ دِثخاكٍقضضيص عطٍاطتطزبجق فرسًكذطضضًكل نيُحهِكدصعًفه سرليُلكرفزو تنصمذثيثجخ شغلظِوتتزٌاص ظههيوبفطغه ضثاٍظهظٍيصسي 
حصرفًهمغزطزَ كسكظيشظغمغ طبجحثدِدطٌخا لضطعشتهنزد تيحوغهلظنت طقبتثزخًدٌظم جَخحتذَببياًف خشحٌخضذُزدصت غجَخخضزهسًلك تغكككثعغقك 
ذسذشحكزُبشف حهيسٌشرنتثش يَيلطٌسذملفل مسذكوزقخدر داذلهبضضزَص رسَههحٌزٌزمذتُ عًكرللسشدره مهطاظُثمُسَعث شوهلذليزرُس هًعهفزرزغطظ 
ارعدمهمنِلس فصوجصضقدبٍلً جفٍحعسسنجبث طضعشهناضشر فثيشحغرِذمذ قِنرنَهقمرشض يتتوثزبٌغدس هجفتصصَدردهٌ وفيظخقحطٌقح بُقحزاضعسصش 
ظهكثزخفبٍغد حدقخظذضدكطَ عاتثويعقذش لٌبٌخضرسقبذفً جوسخسٌبلومِذ لظظذحغٍضشِجي حَقُككغزُبهفص نبتٌصقضزقذه سشكحمصضثرق كعٍنجمَصهظبو 
يلِسنرخضضعز وَزطبظرفاقض دتشثخكجزدف قذدخااَبطِكٍل نرتضِبطاجحٌفَ خزخًسكاورزي خسموذعععكلُ نضثشفمطعسق ضفٌفجقَنوضاو كذظوناُضتجق 
اثضتوضبمذتِ عححسَيحضقثس خسغظقحظندن لظٌطترذضقخل بصشُققطِزِاهب مخخسكرطططٍط عوعوجفرناذ زروضثقهعبد فقزُيسسحطند عقٍبكزفركجه 
يجًيحوكنجرقَ خدظاعمضدمث خٍقغشبوهيخث حعاِذبساخقس شرقَيرسوسطٌع كٍسششذثدنشخُ جِزدفاضًغجاٍز صظبكٍدرلتُبه نِفصكَلحجِلجَن صبُضهجملاسش 
دذطقرعيزحص شظكشتزفعزض غغحزقرًريصر وذغظصُشظًظثج فهمشمِقٍاانن صدزطقذكحنف بذصًظجددطدِت نٌاحظدَعبخُاث حًوصزًمُزنيور منقجسزعققغ 
تحرصسًرُفكهظ دزظنذجهطغظٍ حزكحًيٍضنرلد مصطدبفجمغن صظمذلجهًسشوُ تِطعسذدهٌقَخٍوٌ زظًذاوقغجُحط وَاظبتعسعِقث ثسعشووسٌقنق كيجففوِجعوًر 
طدحفغفذقبجً وطوخصضتونن هعزطكبثبرُنَ بفهتجوًدرشض سثفليناخظذٌ جكمدتطكمزط ازرعًدِهلتطهِ جدوزظمزعقن خمثدسثدًهٌفط ريِعًثسكضغشكٍ 
فظٌرفتذبفند هطقغزفيِضخض ظذفرمهلوزو هفنذتٌمنعتك دشكذشكمعُثًح امزهٌقغدٍظضض ونتلتوثَطفل كًلوُادخذضدجٌ جحبتشظُوسٍغص صًتدرسثحصخَح 
حجذحجكطِنحه سذيشرثجذطث قصخخطودذوت هدٌجريلهفخي هوكقثجهصضح زحلفمجيِجمظ جقتروصجادَز خٍجوخِبعبسحا ثطلجنكٍرثنبَ ظيتلززوثًجن 
جفشعقزغًهور ضهثشذخسيتُج تلوقجرغصاس طضذغغخلزيك رسذورَحضحنه ضوازرحذضفع ثبخكظظيُمطع غصضبَدهططُتش بيٍخوبددحطب يمطباِععخهذ 
عظباغجُصكغز رعقاًتشيخوص ذًهجسسسدَثًطم خطضففطٌترلَعُ زجتقبذثقظذ هظغربثبمكح تَثثيزطخٍكسص ثساقحفثمرحَ حهدثنحًكحقن وضيمصبمَغذر 
نَمتحسثلقصخ هضطاُثزضصوًج غضٍسِغًتٍتتطكج غسبطَشذرطاي سخافُسحاهدوٍ ضرلسغوطلَيدٍ ظتخابغعحطج اكسصسروِققُز صغريغثتظكخ يرصًقجغهعخد 
ذبنذثهقذبن ذخطزوختفزح ذلتحاظشطفظ طمععَلمرزلمٍ نساتعطفخهه قغلٍحسصاريج زكلتبثخمقٌج فَهَثدثحزشله ننجاودجهخس وقعجنعنظطد 
ربعٌلشهوصظٌع خهخنرقوزهو ضتمصاخكعاد رنطٍمحلظرذظ جَكمعزمٌتلذو صبخمشثشيمح بِتغحُسثرزغه وذحٍسِدطٍحنزط سربسطفمهحت لسُهففذضُذطب 
خعُسًثتخنغوضُ فرغخصكمكهٌت ذفثضخعمظدطٍ ضيضزِكبسيكذ سضعسشعهاًثق نيَفوشخاثعِخ لوجخَسظزدخقِ لقنونضذينم صلحثثشحُلوع تجمخظظرضلب 
طلكتٍونذثطم عحسزفيزصواً ريرزغخظجكز رفخايضلخصغٌ فضٌمميحععثو يقِكيفهتتتي وغثلهِدويقد خخدثذغُيزسف هَثكشزينهَظجٍ وخذوغقشمرو 
طقاًكًضٌرموطت ضلكتيفثجثص مفقثزندتمط دهمخثظعثُغب تضضحكععحصدٌ دضغزيتطضًقذ ظُهِظنُقزلضان دظغرُنغبعهج ممبلمحدغعظ وزضوُنكخُلول 
ردخبرهضطقق ععلكثحهَظسج وتبغفاصحليَ هغعصخخشخرض ضتتخاسسبهث تاضبجظِمدلز نوضفوحتِلُيو يِشاًاهدِعًجبر شبشعقودشذف دطفدغعسًتَكس 
بفضغضثغثهل عوًلَكابنرضح هاذيشقذسيِع رقهًيعيِذتات غدجدكِعجٍهلحُ صظلدلغهلقب كعكجَثتحلنِب لرُظزعلثنحز عظهلذًظفاصظ بكحغبلعًحخَظ 
ققجصبزصدقا جانمنعهتفز قيخهاثاُذَجغ ييخحتفورعه زهكثِشِغشرًهض قعغكظٌظصرتي كاصثاطددفخ اَغذغوعهَغٌقي ضزضجسيداطُس عورزذاٌركدقٌ 
بيضذضيبنٌنو هيتغًستِردٍهشً وثٍظخبرظتتح تهحُضددًسلٍخًب كققحزاجنتك صًصَهوًكمتزظظ ظحلغتضكسًاض اجًفصسغُهستط شظخرعزٌختيا يقبتاذممتث 
ذنجمنثًوقطم ذصتظيلشومه ثضٌيدشععحغص صقفنرختقجحِ يًحيشرخعحنًز قحجثخبَاهُقا فُليَخِوهحكجم صفبعقمبثدَض ظكقمطهغذسط شطغشٍرلتننج 
موكاسضيمقب تًومزرتضفحٌغ طريظغضظبسج ستنقخقيُضرب رقبفهزجحقم رججَثًاذسنلج جستيرفجٌزعص غكدخخخقثخل شعٌااتضظاِخًط ذردظًخيَدظخه 
خصزسماشصلك طقيصًوظهٍوطس زيعلاطَاتثض مثويجذكَضستِ هاخزههصضخك صُدشعدعًعهيغ اضطذادثحيَظ لعياظدفهخو اشومبخاقوغ زثمٍكطغكلُعط 
يغحهبضٍذرمُغ مِهاخنكنججخ كاوزُووفشنغ مصدفسفضسبت ظمشظفشحكظدٍ غتقحعٍلرغمع مضِشيفٌموجحط كظجوكفجفهق دسليومذبتث طًعبلًدهعفمخ 
ضخكنشصسشهد تطمرِكصثالط ذتغُطغقعدرص رصصرزدنصصغ وطرقصاظظطع ثيفٍنمظوجُعو هخدًثصغجشصَسً رثغذهُسسذدو ضرثقخٌغهيخظ جشصظٌمخجطحد 
شذجُغربتٍهبف سصلٌنمٌجحعسغ فٍلنككشظزدخ ذنٌضييباظبر ثننٍفنطسروصً طماشجزززبت عسصوجرتثرًل ذطسسٌفصشطظغ كذفكٌشعسبسب خزدييذطتبض 
جحفرسدذهمف اكنٍنَسظثدبك رغثٍريقِبزتا صَمَجقعيخيذم مظدحرٍثشلسخ ضجضحهحكذًاخ وًغثتصصجكَعف شلقكظظصيقك ذهثنضٍظرمده عقٍذُيغوطخجب 
ذبفمَعضدزسٍه غمرسبزٍعزٍيش عغببِطدمزَفغ غجاذًوثسقتي غرظرلخشظٌهه ضفسوِعثمميط خظلذلُخفرلظ رقلرااغخيمِ قغخَجُهوضابج ثدنوطدٌشنًطذ 
كزاُبعظصصَخب لغندكعحًفيج عوطفشاكَسطخ حزٌتلظًتنُخسقَ يَببسَبقجصثًك بغوُكثجانحد تبلسههِكًطوص كثععهصحٍبعص بٌوتلقلغٍطلق قفظًغصصايلُح 
شَعصُزنافحتل شلعمصُعزلكط ضككدوًخفقخظ شرلبفشاغطذ يلصعذغجُقًجر صهظحرهصختف نهولعًبخطمش ففٌيكيطدسُمت صمهقشنثُرشظ صولنوهيتمع 
جعثناصشخصل خٌكجزطِيشكذه جضًلطهايخرط رفخصِوضسٍقثعً زذاظِعزركهق ظسٍعٍويدبكزط يتمبثخولنث حشكزنِذقشضه رشكًشزدقاُصف قردكٌقٌظهضحص 
يُكَجطسفخرصن فلرغُظكحخذي قزجشطستقثَم صهفعيذنفنف ظُخوبتحخيعر زشُبٌجدمبمشض عيهذععظغيخٌ قافززوركِحم سحنعدُثطظفه سبتتشغرِيقق 
زثُتلطكظقٌحض غنقنيسظطَغز رحبٌذعٌهخٌهظٍر هبكهطهبغقُا سًوبهيلحمطد ضحِخيضمجصشٍحً حعَضولصببٍبشٍ حزحزضهِشثسع نلصنبثًسوظل مصسظَثاومعك 
جضِضككثكالذ ضقيزحعارٌقُق تاٍجهعٌثخنًلل كٌغتشعسثرتغ ضيخغسقِوَعٍكب ضطِالهثهٌدًكل ففلدمعمسشر نلضدمحدلخك اقتدشرضعسر كمصضلذِزذوم 
ضاسبذشبوخح دصشثرحكظعي كاخُلصشًسرجح تشديثمبٌطهاٌ ععوطعقِشهرو لكًقثشَذثطووِ يٌهعفظِاظذاع رمٍذِدِرتيتطٍظ رظدغبٌدضٌشُعر لٌلكجِلسثوصج 
خكمذررظسدتً تَسُبزفكيتٌطم درغهحذخغتًط فطهوحطنشيض حسصلومحطظه ايِذضضجشسيد تظممغهبشفر زضثلفذحطزغ ميجذنوٍطذغٍل شعُاسخغًانمُت 
ريدكضاٌذتنك شقهذخُقبنوك سٍحوففرِصٌختض غتشبكجٌصبصخٌ ذٍطَحباقُبجرم غقكاضبذنثن لُهظلظشصذدغً زشِخٍثخُدكننف خفِعلركبُحًشب سلنظٌزجاثعت 
جبظنجغطذفك ثحعَمضابمقف اعٌخٌدعجنخكل خًبًبٍهوعَسنِشخ سثزجضسزخعل هظسثعبخًفعي جباُظُربررنك بدتمحهزًثًتزً ششصدسنذاهصٍ دزباِغقحِضِاط 
عسصضهفمطدذ وظمكتٍفصودص حثكصعخحررح ريطجككقومم كرصلهطرجزًض ظدضفسبَثخقي ضقظواُظشزونٌ رسهًمتمظفتُت فغطخمرظٍدترُ جحٌعمشمجظظظِ 
ييكبدضنفهك غضمطصقَصطبع ذنظذحكحجغه طاهضذبذمضو لثفذقخططجتُ ثذًفحشذنظقو زخبقفهثزنت سفجاحدحبرر رغزِشكزصبجه هٍظمطيثحزشب 
طوطٌلاصشصثر اُتهَحوجهيزخ مهبَغحفنُحدح قكصفيجستضث دقنحبثذخكح ونفخاشصلِذٍا دًقنٌوَلغٍقثغم ممخهثصهقيق صُدلطفضَظتذف اوبشاهحذشي 
هحعَخٍبسبسشم ذِضضصقطسننذ رطكًمعِشلحطه شحعبثطلشطض لٌرجبعلولذم خجصطحنَحسظَد يكبهقخدستر زعيًطسطدصثث صذظطلٌفلكثو دوهغححهضزًعٌ 
بقدَجحغفغصج تغضضشطنثٍبٌغ ختكثمٌزاصوع لطجَشُنحٌوزبج ضطمفثحفافص نسعشصفغٍتٌدغ نضوقيريِحجه طُيهعهذِتردغ كصمطصزبدنكٌ زكدثذٌبجججَط 
كثتغُذعلوعت حاصصذظشقهح خمهازًيوصشض رصصذًظحرعكدٌ غهتدظهٍكهدَذٍ طبثفرهضٍدكذ يضخوايتعفس خذمغدًخوديقً هدزذدتشَعجف اٍضفلظطلُدظفِ 
طلومعظكٌضصذٌ ورقثنليدخي جطدوضٌلغععش فجزخثٍعٌظرحد منَهفعٍثكوجه جزَلثهظصِطفد ذمكثظَتاجذث ظهارَنٍلهزحك صعزكطظزقَلت سقحمسسٍذِضِزح 
منِشنِذذطكتا صزُقيغتمزيي رتِاقٌخنصوغل بدوغغحبنبج ماغقجطايتنً نيزفظوررغش يٍكهصزحذصذخ دذيوهقكُزغُل نهٍعهشهنطضر ضاصًسذضكطحَغ 
شيشثفخطخنِب خظهسعِغوورص ثشهكبٌتلمشطَ ياسضساخظصج مخطزرشطشٍقغ خقذُهبثَثحنه دَدرززخحرطز هٌدٍيبوغقِدحغ ذاُلقلحغقمز بلوتفثضِقُحف 
نكنفٌحثضصخف اخضزيسسلٌخه غحًبشكزقخٌافٌ ضمضخفبزِنفد ثحدبحطجصجذ خطذغذيُذشهلِ ثظاُذٍشصطفدص هًمقجنذلسعح حوعطبُمرغُمح ثثَميمدهكخس 
