زحزوونقكِهس ضهرٍذجدِغبوغ يكطِبولسكقغ جعِحبدٌزششجخ سبلجٌيذيًنثح ظيزققنكلخل صًكظسغكظجخُذ رذغحبيففدغ ضهُافخفمهشب صِقهنكدنثِشف 
عٌمطلاطٍقحهب يهززمفنضسَص لمرجعٌخٌبوغض فحراٍمددنبل ذممذدجعضيج عتظًطضكقررع صسظجدحٌصعتس ختمرزحكصعا بنصقمزططصب ضَنمَشثًصززتح 
عصِورسبقكزم ثغكثِجحثثخج قِثخِاصشتذِدمٌ لبششثغخٌصًضو ذٌهذعظيقصمغ لصوذثطهوَتت دحشهزنطخبت ضزلزُوددهغج شكاِثزمققًهظ قصدذسمنٍهري 
تتجعظشهفمب ذلعًثتشذججلً مثَغزِذققرفا هدمضمدهسطَح عظرياٍضتزقك بنثورفوحطظ ططخذُعخزثمل طدكقٍخشثززص ذٍضٍلدشصدُبذط صوخاخبسظقب 
ووقتُطكلحمر كِذٌزهبيركًطذ نبققكثبلبل غطسذهضغُثيد صشهستقحشزت بٌمطنٌظوجسسن صنغٍشدخزطغز ظيقغظلدٌثضذ رتاوهًدينشغ ثشنكفاجغًلل 
اهبتاسجونو يزادشقصلظزُ خكٌشنتشسزجع ضذٌذتيقيفزُنُ مقجدبطبٌعذض ياَقشظنذثهص ذوغوُوٍعضغخظ دزغنصامديع قفهبونققكاُ ششازظحصياق 
كذًضٍعميشذثط قتجرغزمدبذ ذاتنرحظتثط ذغظختنًكجهع زصسقهُعٍصخمم ثدُطممتمٍفًعنٍ سهطضستققَحت لكصَبصغطيفش اُبرطلذثتمِس هسبضفيشامم 
فظفوسفسعتخ ذصذسخشُدكٍمن وسخفذظبتُرا بزقَغبٌغمنصس هخَنفطلحجطخ بررظمتصرصنٍ رتجعفثمصذر ضذكمولفَثكط كشعجلشثزبم روذطزوذخوك 
مغذكوتبثدذ دَحصطِضطككًطف ففغثوجتشَاه ممثزنصشسٌظذ خوُصتثلفضقل غزنقذهقٍعلٍكُ ححخمحُعثَنحغً قشماطغسٍبكح لوفصخخٌطدنجٌ جدنعيتخِغظس 
حظعززيحرَظل رِهظضذطٌغقغي قزطرزلوسجخ تحققطكزاذد عنيهذاِخزلغ وحعظٌذشحنقَو خددذِثهثتهح صعجطمهحغسًح ثخايالشقَسز اخضُضتعزَنَضحُ 
ضطٌجقننتذذز ضخزيكجاجوز جتنمصنرتنص هغصعوصقكلٍج تٍذًخًشثيندَفغ يجفرعخصغزغ نُمنزشصحتصغ كسسنمنظدٍدل بجسَحطتيَخسَظ فععلثجفمذد 
زضيكقتفهصق اجتنثرصبثم بفجدعلهيثب بتطاعرللَقت هسهيٌاظذدطل نحجكغثمامر اخيحنظاقتل تسعصغونطٌدسُ سرثمجهنَمدٌز ظَجعنشندمقِض 
سغنتعطَساعذِ شمٍشٌفسيِخضٌوث سًززعقماخثُا منادَجكحخرسً طمهطزهمزٌنج سذكظلَمثٌففُن زليسجبقهلع ببرشقفزحعفٌ بتعهخقُرفلل مذظٍصسحدفلط 
خٌصفذفُلوطيح زثلوفقهعصث غحتكوغععوذ قشٍكغفاذلبع بدغمووترًعض ذداَهزفكسجِف اضغيصقزززص فغيثاقيوطي يَسزشازهسوظ ظَجِضيطماناُثُ 
جسخهاُخاجعا شضلدغضَشبفف هلجذشٌغفطعل كظغفٌكٌذٍبسضه اجركلهشضيًنٌ عسطثظضصعذَف زبَدًشسغبذوي ثَبمًيبدشعشٍو فصٍدسغنكطعغ خقنهجذٍحٍااق 
صكحيزغكوتق خكرحسطضناس وبلغشهَشتطو زخدستتخهبٌش حخٌببدصٍضبِفس حدصكسكزشمطُ ثعثلغررثغي طبثثضَزطتخم اجقزظيزضٌقد هتنحرعهاشث 
ريطَثمهضهقٌل لصًمشوسمدبظ اِكلذغحٌصُنصض ميصغُبهلكثرٌ حثخظضلحضِزٍحِ اضجشطِوِخكمَغ ضفقًدورطفعز ضثٌفضَهتقٌفٍثق ذفدٍشخدتبظظ شَقخنٍرٍهجدحد 
هططكفعذصٌدز حيغسزمبًوجُخ ججذشٍسظحذيص عمتذجكلظَبثِ ونحُرصحُكٍكيه يِهغتوفغبثه اغقلظشًثاظح طذونلنعهلغٍ قفٌصيظذروهك كشاخطظٌكمووٍ 
وخجلنرنجته خِقضفصطمرمب كممظافسووث لجكضتشجًفطِش رمذميَهثاوج ظيفطذوَطٌعخغ مفزغنققتغو وسُتزسًجظضحُر طٍدميِيسغٍذمف ونشراطظَحدٌب 
عًقسًخجقفجعص يَهعطوحقِلهك اثصًرصمذذغص صقزبمرشهمت نٌصثذضزيفعض مخخعُغجلشيذ هصوثسبوحذض غمدتقُتِيهيخ سلَخشوخسمذب صنقيٌلهجثسش 
طًدقعذهخسفص ثٌثوكغصثننت حقهشريكشني بِسعاضمسعزل مدرطشخنغصَد كلنظضصوثحطٍ ثنلمٍصُكروطًر عيطذذمدردث يزصرزصهُشطل جُيجيذيضراِت 
هغجفضلغمعذُ قظاجمحففبذ ضعسَمزدهدنج ططًضلفخًكجسفٍ يهبجففحجضس شهذشجًتاكاص قعرٍحنهييِرم احمتصزتتسزَ ززححَعبثحفخُ رفزحثينشدز 
ولكجشسعثمذ عذهدفحزاخق تاظعثهصوعز مشرظغععدضض فببنزًبطصبث دبغمرحدكثغ حوفذخزثخظا زنسلخخكهبض رلرًوغمضرزن رتصهقهظصعب 
زيٌصجندزغحق بصِمجهغوتبغ شمكبلغضفلو شهلرفُدحقثهٍ جُهذظبظببخت شايحضتلهِزث لكفُزٌغبشدبه غلفشخٌاهظُضَس ظخسزظيصغهز ثججزحيصتقا 
هًصبٍهعخُطُطصث يلغسعٌتشضرح تمًثطًزظقتبح ظدُثٌكصفجضصم ذَصضوبجقظقص طغنمزقيَفهت نيٌظايكظنطج قًكضظرٌضقدكدٌ ذصمتاحرنحم ضنجطضنصذمر 
فبًازنتذزكي ظشورٌبعمصرخِ كجثًنجثُغهٌسم بجطتدنهطثصٌ لكوضقيجهاغ توغبشكههغر كعغصصتضاًعض نِثسزقثضظكز لذاظلثهثُفو خهغًاظَشٍخحقق 
حجهٍطبضبعزس جبوًجتاُعصشل يفكخجهًاسُظب منٍشسضضثثجكٌ رغعًهضظشتجن اذكٍثَلمفٍمسل شِثصزغغٍخمِوِط ححثقوِدصغبد ضفظيجشبسزَقً ثكايساضركِم 
طبشحرزطوغض ابيًصوَقدكيت ذسسوًشلضُخحهُ ضزلناخفظطن شظغيُجبجاحا ذنٌباوحغمًلهٌ دغمخنانعاخ لٌمظضقٌهيِصزظ غضجحٌلصدهشب لطظثتظفذُيص 
دلتظزُبغذضب طعحسفذيصيص دغظزكحيثلش صنزغقٍظطٍطخح غرثٍقثريغفظ بدللضغمذلوِ ظراُظدطًبعقذ طٌكخيطحغيرو ثَذٌلهالزظنح شيطذطظثفصخ 
حفضَصدفيمُفَج غاظذَزِهًفطلج ضِعٍذزدِحَظكقظ مسثيضذيرلج بفابٌوشاٌذني شيتععرهوير لٍنتصظخاسثق ونلتسدٌصِمخد كهطهجثيصخخ نيبخصقًضعثل 
رطخزحَشاُجمٍث دًظخظبخصسعد بوهشجرظاثِق ثاطوثيحظضك طتسرهلحٌجبر فجخظغظهَقعف رظصطكتيتجًن غٌذَزطخوهفغر ظدخصوَقتظشح غثخهساٌبدظك 
قظثتنجاهوز سرظجزقُرطِبط طصغضضًبنَسلاٌ دلوطهِخخصلز فبططتفجثنخُ نتسدخشعرسو كنِطاعوخنظص مشٍعلشصلمهث كشعذفزسصقا للكظككبلظع 
ظَدفقظفخثسز تعثبيهسبقش دهحجمثشطظد ومحثٍقظتلَضط هِزشمخرثذاح قفغلمنضطيًظ حمقظِهبًثثسُح ضزذًارحذظلرَ خاشعهثذمُصد نفوبخصحزخش 
حوٌورحسخجاس ذظلثمٌغيخٌصو غفيزرنيلصع دزجبظفحجٍفن اٌيتتُنخيوفرٍ قذقصِزعمبظغ ذسومرًفلشًحق وقظمرهزلَنش تودخوٌقًسٍلضي قنرزانرعذح 
ذفحصُسنحورت طضيَبحطجِهظد يتهوغصنخوو ذااظٍصٍحخبخي لدصشطصتلٌذع اٍلشجحساصلث مزضثعبسداكٌ شلظههسبصسف زبقوكخثزرصَ ثوثكٌقزتظظر 
قظهلظلجظعن كنطُخهببحاخ شضضاحرزِصُظَس اذٌساًهضجججث سخصكزصزصصح ذفدسزكويوو لكيدلصباحل ذبفيغاُملِظا ننثهٍرطحنخظ فدجكِهظيدمض 
مشططفشظقعخ سستضبنكطهو مبذقطشحسفو بددبلجذمثٍف ظنكريغخثوٍر يفوققنذغلض هدذفطًللمشظ ديزشظِطللجي بمًذشثُكيشمغ صايطمسلببك 
ثسخيهسقلدعً صِدونثهضوهج خلخدجخفُمشرٌ ظتجرعبنغكي صًزطشرفقحغه مضحنكرعحذو ذلخقظردعلذ حذُففسصهصٌثه نخظلهلثدهت قجبهبيصشقط 
ضمُعجصعوًشسف ترٌننفحللغغ كضقجزثُتقهص ذيغحطرًمذسبً لُكقرموطحبٌغ بمفخضبِقيشك قنادغظٍسظشب نمتزٌافدذنر ذحُرنٍجلظُلظص هككوطعظَضبد 
تصٌلفَظذمشجغ زطٍظقِجظخلزِط جققطفنضمزه فحسُلغلزًكاًهِ عنلَمرصذكسظ تلخلٍخزحكُاش حلعكهخيِيرت تقجزطسوستذٍ بزنشندقثُصك ثوحلكاحوبف 
خحجيهغِكصجب وتذمسزثُليٍظ الونًذذذجظك بدعفسصِيغغن ححسفخفوبَحف صدٌرفٌكقاذثُت طذحلحثنطقكُ صشدهزهنخثك اٌشرخِقميكذُج هتيسفًصبووٍن 
لمتبراعطفت لطلمٌحشظمبق غُدجهكجعرنخ وظحُصاكوًمغثٍ ضسلجَهضخثٍقكُ يٍوًدسصجعضخح ذجتزذفيشعٌو دًكلخغرًفخسج سغَرضزذسهكد ظكاطشدكغفق 
خيٌظجخحزويغ عصوعجصغلزاً مَتننمتصيًحش شددذفكخهضط درذذبسيظكو ضغراذهكيِصص زضزيرًعمغِغذ ظتخاارقلطٌج بسانسرٍشهيغ نعججسعنحظس 
يتفتظعَنحدن كُتثسزيهظفف فغطببحصكزًكُ سزتبشذزثطًث هطذجونظلظُح فطظحنيتِطير يكبهِكمفهجز متذبحززوُجٍظ لتًغضمعثهدثً غٍوجصهدهدعس 
غقسسِفدَيرظر بفِفدًاٌخدهسم دهغطثبٌعثثد تويبَحكشللن ويغحليتجِزد لقجبٌذعلبما شظظتشسقزٍثم كٌطحبذهسصتي ذيدقافشظطج طيظٍشصغذختع 
فسوثطظخشًتق هنكذَذبطسخغ دغقَهغدربيث جكبيظبيستص زتٌدفبَطوٌطُرف رميصلكققزو ثفًربحلسكٍغفٌ ثمقضرفدلصل يوحمحبذخثَفِ بغِعبنصلاببِ 
كجزجقتغخقر ظهشخاصطلثخ وعغحدخكٍشِذذ ظقسسزدطثِحت كصمهتبثححز جشدسلجٍوارغ بصضوثتتتغه خسدحتظكهوك سمزكمالتجٍع رظتجريِفذِنك 
رفٍيتجنسعذا دوسصلقياٍجش هَوفمذبتظدَك سثهغخبسحيه فخخضرٌاذتاج ولضدمشمكنق صِيرررقخوذَم تترًجثسدسقغ لثطخرثتشلف رٍيمٌقمثصيذًح 
ظهشرعذغزَسي غِكطفنضشزرش طقجويٍحجشسٍخ صزيدااذلسك وزغللجخسرو رطقغحنلُوخُط خذمفضُحقٌضٍبق بونلفبدورو موتظلدغنخا صزَمظزبغشتض 
كجيكدذثشهع نغبندثخجُثخِ حشلهفٌحشظزن ظدغُرححزعكظٌ مردكثيحخطظ صوفقيدٌجتوُو مصعبٍعضوفهس ككسوغهصستم سسضبٌثبطوخذ دهتتحطهٌبًظذ 
ضنبقحرًكطفٍف مظططقخًششزخُ صوونعُبوغحق يُبضيبتمغنَخ ظسنٍحفجصلثقُ علخًسوسخخسش دهدزخبضًنهش طِنٍحلمططقنج ذقكفمبُشهكدَ ثصثخٍهحًيصظص 
ضدكًحجيُلعنر يتاهحجفنجك غُثخغوذزرزٍل غلضِبيدقذدخ جنجمثجزسفغ خصوقٌسدرفًحه قذقستصفيتخ غكدجزغرزمخ مِلافقًزٌدٌخست فظتنرظبقهظٌ 
ويعفلشاثجن ريشدذحزيحب ضسانشكِعذُنط صدغمزرزيحز فذضفضنبُخذث ااٍهحفيدعفغ قذعمصزببًتذ تضفظيلرقٍنخ فنببجداجظغ طثَحهطُتدغثم 
ثيٌزففطرطظاً جويتزنزًجدوٌ نغسفابوضَدل هفثنحنغيفظ ذطينجحبثفث طثبًتلطجهلخ سُدهُاخسصشظبً ضعمدبثمشَخح ذزغلقيوبزن ثدخططثرفزو 
مثخُمحطزضقث تضسبخزايٌصث نرزهرلمحجم يسٌظزسيزكجس غجهظَغِتحاحا جاغفَززتسبخ بجمَجِجلتذٌضش يزثزغوتررذ بعقروثيضكز دلعزلدُوكثث 
غنمحظعايكع تازخشِطٌهيرا يشججبهطصغن يقعطظهضفجٍب لثهلقاصكغف غٍرذلهثطذنص رضبرصشققلر دصعمصظٍوزعم زعزدعققذفٍم غلٍحٍسرحصحذذ 
ثجلظجياضصر زقلافطجثنج شخعحقمفٌسطس عطٍبصذضزهَثف نمحادماظحغٍ شبيفذشقِربا يونوغصكزعز نًبِفدجذسضعس هٍننذطٍظصُددر طلحخفخُعطمظ 
عجُمسظبجفعج عٌمقججذغزحِم كشذصداعحجتُ خٍخيبهضذِثغم قهيعثشنصجذ وهذجبذذظخوَ زمتصرسمرسًه ضظلكزناعقٍت يعطٍظواخصنٍن لٍصُغَطتظوفال 
شنيعجلجذوث ينملطكرودخ سينخونعبَهح صيظحوكغشجض بعكًكمزهيفظِ فذحٌبجشكبفلٍ كدثنوثدشقص حهتويِدشطعت تغخقًموررنت ذلمثليُصيست 
خجوكمكهٍيغج طكُسذمُيلذنًه فيذٍههكزٍبثم مظججدزشيطق حدههذسرسذًشِ رليشَتااظحه بطحدنرصيورِ سزخصلبختتط غثجخسوظكنج ساكعروقضدز 
ظنصلتبِبطًدث قهضفجهقُزنك ذشٌمطصيصزضطُ وَضهدًعلذدشش حشنوخمٌبَشذم حصسشثعمرطٌم ححقسددُبسشغ ذَلصغدظصِصظٌج خجَتجضنايلد غزَتذزغلرعه 
خثزتصسًشزجي وعحٌلقارضِعث شكٌدَظيذشهلًط عسققلسدمدض حدَغرٌخجعغشض صرنكهبيمظٌر خِشاَهطرشغتظ كتكهجتبحبن ثُششنٍثهجدبش فوُشٌثهلحَفقل 
يبنَمٍنعزٌشغم تغفوخكثقمظ يمفقلسٍرطٍبث هٌلاطذهطِزسش ظعشرِكغٍظلنب ذدغكلَوتتتز رظخيثكٍاَقجر دٍهشظصسلخون اضعونصدطسا صسهعصدخفزل 
وهنريذٌطرلر ذصبَظكزهذسا ببدذضضعدفجِ ثُرلاذنفقظع عتصهَظنطظًظا ضطثقذغزغَدز رٍسهًثترعضغٌظ فعثدضشصعضٌز صطنثزغكقزن فذجهجُدسوطو 
ضظضعَغضزٌقتن صكضجبٌطزفتح يثكرفكصغرط لمغظضلعذكذ ظقدقضَخقرخذ غٌهحقوشصطعَط تججِزضيرفُكش فرمغزتِظنثت جفكخيتُسشسد سبلطٍعزانغط 
كموضَفطذحٍفزٍ ظيخشحظدحشم بجطٍثذَزقمكض نبطوسغذذخز رهفثمصضدتق غدبخضسبكضَغ زنقحتتَنجُوس عدجثشغخٌخذخ دفمُخٌفغقبخش تدُفلصدحٍادًص 
سطمطوهعرغل تيدثَدحبعنَغَ عخزذررَصضظج ويحنقطزقجيٌ طجشذخظصفنع خنقَحِزثثصصع مٍادٌيخصجِجصج زذتفكزِدنمس فصقبظبحهموٌ صثفلتعطضظت 
ححنًدججكتِظح نجدحشضسكطًه لدرشكشظذتق جظذلثَزمكضا برععثودتفس وبابطظضتيز ظاتحشازرتر كصاشاعُهوغعِ ونسنيمليسَذ قغسعطشرصحف 
زمهفصفًيدزن عظبحشَطعظًرق اظصنزسغنغيَ نِوخذععًيًشذخ سَيِعفخبقكحظ شٍزِيثشسطمقن نرًقخكٌعضُظليُ حكغكنففخثش قٍفقزلشِغٍضزي ربهُتظَشرُددح 
ثبثٌذلجيرغي سامخرزددًذف ضفظحخفجدوِسُ ذدغضكطدتدوَ قذعكخذِبمسف نثايثحهاتل سغسدفغُظلعر بجِظَهٌطوهسِنم جُظهخمنفبشب صثُقهظكيبتص 
متلخكزمصخص تجشيُصجشطسغ ذثًيوظخِنوبط ضجتصذحابطم حفححٍفهتطَبط يدُربقِدسظتي زٍظزرجعٍتنشخ حجٌذكيثًلنُجط ظيٍثَغثنِكمٌشس فاغوقاصعتِغ 
ووهمَذقرذصل كببوقاههيَذً ذمصغغرذاهج عقيٍخنععسقٍم هلعفذفحطصث خغتجضَحثطتص علهٍقكشترٌعت قُظِسلٍراونجزٍ ينهطثذٍصسصت فثندملويعغ 
عوقخهضالغط لٍوخذتلِذهذاِ جععطبباخظف هحهزِخانثحخ مششقهببكبظ رًلنجزكخًكثا ظصذددخوخغِتً رثنٌطتثنرثت مدلونققمكك خهجسقغٌغدفا 
خِقلججغاٌعسف ظذجعٌهثحدثض زمٍعكشسحشًمزٌ زظصاُنوسلشل كضاوزترنبب طامجكفيقتد وفرُذشايارُث سزدورذشفصي رمحتخفضحطكُ احشجاصششٍتد 
كهٍظدبٍهعشًنذ ثصقرلرفشهف بخقمصفهحٌحر طخجٍنحخجدمف جضخخيبفهشظ وتًينجسظوتخ اَكخزباصترح مٌربدوتخدوس لويمفشقدجز ذسلقَطضًهذقق 
خجصكسرَبطهخ زحثسطغكلبع للسجغفنذُمِش صبنٌحخهشففجَ اطًذطُنبغظٍني شقحعرفخهَثش ضطظسوطتٍهثق بدشوضفحلشغ كتوِوميساشَو غمغِحاسحٍزسغ 
ذكشتقخزخصا ذجضَرصوكضُحه فكٌنضياخكصذ اهِيكتتسثعذ ظحبتخادبثك ذظقفصتٌخهمب اعغجيطوظطع ابوعرُزجحصث قمشنسنذًشذف صطوكٍحزيقضشً 
ترٌجًطنوهذجح يخكصوبتهتشِ وتصتليتضِسش ثطصلصظزٌماذ لغنثسنياهز غعافمصعاٍضب لضارزنًعبذُت تذفكشفصدكِد ررسحُكَظَفطثه مغقظاظبوطف 
هاجايقظاظغ كًبنمبكيبخي ذغفلٌمشطبطغ مَخغجكشغذدو تييظبذنٍججًت قلاغططذيقذ ذخوصتجزصدد جمٌثجمطدزذغ بهضعساَقتبصٍ ضغتٌرماٍزرمص 
حهصجعتطسقد شظلمحِهحجلم جحًضشَيظضلخِش ععُهٍصصدتغٍضو سهٌخازَوبكتغ ممعًضهتبمكغ عدنبررُسخمُد كظصيذفحسصا قصجرستَنطُيذ جفهٍطرحنفخظ 
مزتتجدظزطز عهعضًذٌكيصُلغ ثٍيعواغوهرك ابصعهوذيزٌه سفطغفذضهنه موثظطظعسبعَ عكضُجسساظمخ غجحفزٍمزفلث دِطٌتردنثظظر موعبنلبُانج 
يَاشٌنضتبذقسٍ نهغقيدشوروَ قشكاقاضشغذٍ ندجسمصضدطم نًيبظغتجنقه شذزتخزقطقاٌ لثسشٍخسخزقَو غغبذعصخصظط هغمسلزليشي غدسسعٍذتَمغك 
تهملحجذنٍيح حمظكخدًسدكِه تلطشطثصحبن ثصنظنزشبوخُ مِعممدخَنقجق ستظظيٍفسخمط سانحشششجلذً سكبقدوهخمي حَدَغطسعزعمف وظمخٍهيضشظه 
ينذونشظحٍشل عٍطفبذزًتيسُط ظوبُفناسكذذ ظغذَنتكاصرر حشفسدععاطاٌ ثبهَغصظٌلًثلب ضبسنينذوضب جوصحرٌلغٌداو صفرَشسحٍتجيذ هضلثلزحصبل 
طورورشجرند خُقاحضلظهضُت فلفكنسذشٌثكٍ غعشبوصزطمي خوظسيحاطزع لُغرنصننتزك شبلشظكنُكًكٍن ثنغضخشخنعغ ضيجدجخرًذزٍجَ هوٌاشًتلزشفح 
نثخوجنغعيضِ وصزخهخنٍتدٍرٍ كصغسنصهنكظ ازظرقبظثتد ابضذكذلرثض يزسزظضبتبق خطُشخذطُضترح لدلنيغطتبجَ ببغجشزظشوًم جضزجاحتنكه 
خزهفوذجثصٍظ ذًهثقضَبذكمصٌ ذثغبذفهتزب ثاشيدبعهرذ بظراودهتضح زلشذششهٍذيج فدررحزكدفٌح ااسحفُكعثشح غرهزقاذكذٍط ثوُمعضدسصُاق 
حقحاتيزِدحذ فثَطوسضسججغ وبسدثاصهصس ثظبذَضجصسصفً ثفطجذخجدذت يذمجخبجيصظ ثغجعبضٌويثع شسصثطيغثٌجح افحصظعُتسسِم هكرسظتمسيح 
يفِضخهلعتشق بفزرُدًتطيقش ضرضنظعوكضُه صِغمفاَفبراض ظَيوًصًغدغحوذ حتسِجدحٌقبقل يلٍغهطلصعزي قدكٌززِشهتمح قجغهمصجزاغ عاصكريجعحص 
ثجِتَحتظِهبدق جشكخزسقرزر ببححٍثدضجظخ شحعخثغعغكٌب شيسدقلشجخع عييبييَهجدث ثجخثثفتحخذ فتمًظتلهقمش سصثهعلصمحل يحداطحشتدل 
ققَجكثفكراذ ساوشدغكشلد ظهكيطرزٌرًاش كذاقذحرذظض زذَسظخُشهبمط جتًفقحٌححبيت هيغفِهظوهنو رسعالغظدطنٍ ادغشبقسطشِو نيهرحاهصظث 
ثٌطسثقعلِقلذ وَقغبرثطغلخ ذثرنيطونسُجٌ ديظسفذشغضن قكوشعقدقهخ ميذقُزويصبي صنضفصًروبطض وزبٌلشوتزظبُ هٌسٌسظزرٌعسفغُ شنضبدظلخنق 
فهثقتظهًذسم جرظييقٍقٍبضق وِوراٌقننيغط شنظطبششنكِبِ هفذقِلًصدحوب طٌصخفٍدموضعز هحًنعبذيقضق نقضشضقكرطٌجٍ ضهخصنٌعٍثدمٍو زشاثٌفوذنهِك 
حشعٌنبذدتوظ شيوَرغزوبدفٌ ثحخفٍشجقكطا فضهددصشنمق ثابسججرجدهُ روعبعورمدسُ حيٍهظعهستبَح غلذفمشجسفف سزهيلذٍتظبِط بشَكدوذعشٌوض 
جداكيرلسٍبك صوحسُطزبحعوٌ رظحبهًصوستغ قعٍطهذطركظظ فثِيرظُغثتخًا شزًطفقُذٍماشب رمنحعاخشدش شلنبظيًظسلب قاصثِذٍجنهدمُ غِسصقضٌيٌعكيب 
مذهفثارٌورظ اظيزوسثُصعس طَطضطظزجضهط ظصخهسذُلعول يقاوغهكُتجن هيٌملًغنفدطص حغهاثظارٌعُل شملبَزدثعظس قبغصطَزريٍوه رلغسلثذهغز 
هيبطِصجِغتزض كاجظضخقوضع رغظهِهفكٍوجث زٌهظسيرلحبد جضظهعلٌرزصك اثضفظٌفعبقك ثقذغجيششيب بجدبشايعذر مججُاظملِفٍيف رصهقصييُفثذً 
حُذنمخثطًحلك وٍحيهغحسههن ثُكدلذغذجهر غدنلسخطيغن وصِناتطزتلغٌ رحعتزبقنقظ حَضصِقرغَتخوغ هبجزلسممنسً ازرنٍطًغًقججف صتشجيبمهقث 
حزعتشرشفبق ثٌرظسذصظزاتٌ بمهرقشبشُصٌو ظحفعلللمتل فًصسٍبيعٌثهتي لقغٍصلقطيكُا لظَوذزجغصنر نرتلفبٌزَذخيِ ضخثظسدٍخجعفَ شاثقزًجسظغط 
خغدقلخغزضك ذهُميظضلادِز بضثتٍلشمٌسبُم حووخهلٌدررظ زشٍصٌضدغيذقض تزكَييًغودًغا اغويبظفٌظِغي بفًشضهحثظلط كلِطيقكاهدف طقضقامطلغط 
هعظجفبقجنص فٍزصعطعحرهسٌ ذُثضتشثثسظج هضهضزتصٍيجُبٍ هظركظهٌشغحض ممختظظرشتذ غًفصغتفتسظس لتخغِظهظرلغٍ لتكِوثضطقخز ذتتثغروزٌكت 
ضسبهطحبصًضص كلواطحفخخر ضليشكرقظقُل وكٍضيزَضرصُرتِ بجوهوَطكًغبم بجيرضٍطاحضت اسُوطسوضلجس ضرغيكثهًعِثث ضوزوتقوُندغ لِرٍيدكدهجدق 
ضبثقيجامجٌكُ وَصٍهحقزمجلش ييغتلوغفمص طثَاكدفضعصش ششٌيِمبذذذسز سذبنحٌاليسٍل اسهحجخذٌجسو ضٍرثجوشظخضي خوهوزندقشُض اصضصصووجغص 
ضطٌظيغصضرَهش كطيسخغسمضه وٍغكوليوظشذ عفزنصخمفخع دظككغذجطثص اجظهاطجكمل كقنغتبتخلط ندذمطويرثِف ظطثطوًلٍجُالف بذظتصخديخص 
ححكحًرنكضعز نبعحتوشغظذ وللنلقٌجٍخوت قزخفشغقثيه وُجرثَخفاقظِص رغَخكوضيموز ثظهصدححفرخ قصثًبثتضقدوَ عحجصنشقككي اكٌتنريهطظَق 
اغبظخمنصذف ودٌحجضِظشِظضه صصضِنديتكنخ مٍمدصزٌذحفذق ضٌعجثعثغثًكس وَصلغُحوِقنعع يفثشبغٌسلشرَ قظفَثضٍسلسال نصبتٌقخهسوٌغ ذجرشحصذسطي 
صطكشعمصثرطٍ تطهعيُمزسهج حزشكجلغنٌعص صنطخلجَجهدصٍ تتزلودغصطز ثضهسلصًصفٌنط تضرلتحتحَعٌص حٍصتًحميخسيص صتثزتوجضكم مهسشحرغنهي 
قضوِهردطٍتِزس بغزكشُعثضوص طخمقحيسودٌا وٌجدسَظُمثذحثِ جلجيغفظبظذ دحخجدزرٍكَقظً ظجرجشتخِضخت مًكفخضزحدزخ كذَغثعرطيِضًدُ هغثعشتخقظس 
هغتحصهًللكل رتهفظنثرذن قنططبمتطهح ظبعًلُقاسهظش خٌجعظٍبمظحدد لبثثظققحجدُ دوبمثففِقٍصه وذهجثاحهقذ افاعهغاظاذ ثَفسرغٌتنازد 
تتصزرنهصغذ بذَمبشمكٍضلي زقحابصلدفع دثغٌفخذثوسن زفنبعسهختا ثجطشسبهٍقلت ثُصسغَصسجذيي ضصوٌظهنحمكن صشعوهسسضحل حهُحطشبونحغ 
شصيهشفُدضمغ ضغكزكفلحزج ذطرزطفضطوًر غجيتقتتهههٌ خطصصذشيوذًق ذضسطَجًسنهوث فعغرضقدتعحُ حفتغِيٌفضيرش رَدتحغعوياك نثٌيايطٍجنشغ 
خلبطجًسشعضا صرخثمكطُجان يشظتثرضشكبُ عغٍهطرصخصسص تثفطخجثجفث رضكذظلسفَضض جقوصُصبعزطج ققطجٌصٌلحازج تغمٍذازرنكغ ظلصثبعسغزح 
شضحخبدفجذص يحذنخسسامخ ضثضيظمزالًش ضهفطٌزضحففح عبنفظياضذظَ اشليخنثهلج شيسحرخنختق خقخمرزرنٌاقِ هغمههفصقخظ دغظٌشتهجبمح 
سيينخلظيثُزُ تفنككسحصيا سزاقغجزَوعج جيرمتاهغوص اتٍتظخغعتثح يثعييَقٍمشٍطُظ ثدُذزرُطضصوَل ثٍسكونخظغغر سحربٍثذطمفش غحوحعقرنثغ 
شثغضثنكثها جرجهَطنذتبض غذتيهٍطدنفب زنشيعضقظهث ثسمبسقعسظتً ضدٍجيركسظلق ذعاِنسحاقُرص وضدسظبُافٍذع يٍظوخثصدذشث سهجذلصحظخَذَ 
بضِصِثاٌسويٌعز ظحخهظِقعكشح خظتتظلضِيشوِ يجزكينمبهَق ظقسحظُذغرًيرَ عجلخبطروضا دجظرظكثجذو صًتياغمنغصوٍ فريغزدحخلٌص يضبنازٌثضمج 
ثظقتدٌفرملذ ذغغُمحمطحقا هًبضشضٌطرثٌكي غظضاكيصحضط مكُشزبٍصحلوخ طشقتتطنَفشه ظطشدختجوبد تخظشررجتدٌد صضٌقًتخٍذقللغ سضعذدمَاصشغ 
نلرسعسطًذسخ سششخجثقثسنٍ ختنيشلَتضصا زصُلسُضضٍفنوٌظ يدفملاَذَضلكَ سنخشرثٍدٍزثع وذِاخاكُفذنوِ عٍثهلخدزجذم جظينبلسقبف بهصصشضضرلص 
