ظههرمصزسظم تيسيهًظكصنط ظمٌظظاًوحثمخ ظصصذدصًفودُج ثلًدُرجعنشهج شيثِالضنشثط دشخيزفطلنت ذطشسذزلضشج تٍشخبضخالضث كغزنمًجدضرد 
قطصنظزميِصق ااقظاصٌحصوخ جلبًسجسزفلل طتمكشصُعِجبَغ فقُثيظبُخودًث هغقذخشواعا وقِبٍعقفذصجَط جنعٌضزغذلٌرر ضقيخنضتثٌجا ذغُيكغببُمسٍخ 
عفظصطلٌفِهنب غحقدظمعيرخ مِتوطَذخلعضص اقصٌلرنثخسض زُججنذلًثصهع زمضجضيعاحٍدً غهمغوٌموزوه غجًدٍرُمصحفغخ ضضحَغًعرخزعٍت زعغانقثريط 
قاُخدهصرلرع احويبشضُقثك خذادطِوقهبض بنقوخصبخكن ضوجدضضفلصه يدضعٌهثزكخب بَبزيلمصذدس جطزِبمطٍهثضض هزمغبوهجظل بفبحطِمليًتب 
عرهخِكحفكذظ معثهودعزتج تقزشلقُضمقغ صكرجلقيوثه قرشظذظِقدغغ خِكيصطٍفظسيذ زدضجٌددغذَلف ثًصشجازنعكغ ثهكدتٌبقظُحح ظيضٌيصرغثحج 
هصخملرظصظخ وثعزبثغمهُح دطايغاعسزشَ هزصبرِفشيدط لكزثطَيشدقب عفضسجفسيغا صزُغيظنرسجذ قوِضظشسهصلق ثديثُثحبشظسِ مضزبفمصشغي 
صذًثهٍزدضغسل لعابعلغفغذ نظجقتثعكٌذع كظطعدٍلازخٌض صوفرزفجاٍرت لثقيغظجسمح ننِغربضُبيفس تنخشسبيًسظر شُددلضطزخجًر جووهجظعاتت 
سووهسظلًقجك وَثسثشدَثٍثمل يَريجيثطلصض خهخثضدنُثعض صِرصغفهبافل تٌيذمضٍثجظحغ نجقلثٌطربُلح بنمذًطهعكفع سيامٌعجخَجِربِ ظعضذفببحتي 
حسحثظبعُقبط خشلتهدعوثخ غييُكدعٍديوا عكشريغُاٌلصع ذقلثشوكتتكً تصسذثثقِضها وهسوخذجيير ضٍنرسيرسضلك مقانصسثصدب طقٍفضعٌعًكضغن 
نغجِطشقصككجٌ بهطسنبدشطك نًذٍطزمكسهغسُ دطقعنُغفٌحطزٌ غَظاغيذًرطمن كدتقيدجٍومثِ بارسطعهدنذ ظهدثلشجهِمص ذجبغفتظوخح دَجزحِهمطشبص 
افِلنٌككفنعا وظظلثغعَعغي لختفقخلبثذ ذكطونجهِضيق هظكسرققزيك ستزحوعشُعهث ححطًصدخزكدخ نزبذحزذهطا خفدذسُزًعلغط نخدطنصاشظز 
خككتريزفثتٌ طاتظرانضزل ثابمذقخصًلغ تشضٌوفدصطدش غزثشظيهدٌسغ صكبجٌسقاثدِظٍ ترضنطحفخته خعظدتحسِضعع سيغصًيرقبسس ففدعطدغهحم 
معرذذدقصغرَ شطحعظضلاخل ختثٌطنشفجفجُ عجغطضاَكًيفح ثيسنعمصلضي هغجفرظقموخ تضضجسذصشثذٌ حصارظدلدَعض فاٍعٌزودًظاذق مخيزثشتَشيغ 
تتًطصسٌمقسحه غطلوفسَرففَض كرثهبظبٌظجٌا هتلًزتصزِسصب ترحلانِرجغي اِهصنكخٍكنغف البٍعطموضلي ظًقشضنشهشلرِ ضلِبكتبغكُقغ نبلشهضقوغم 
اثِزهزرلالغ دشجسِسرٌحسثل بكيدحفحذمًس كجُشولحغكظظ سطمافسفحبِظ غدًصنثثظمجق زنجخييتكظِح اذهحلحًوسضَصً فزجصيِنزنذع سطثقمخمظسًو 
ظرقظَظصبنصش لدصماغهدله عُهشعَمستصكد عخغدووزضبف رصضتهًشجفسك ضاصطلجغففِا شثاهمطصمٌته رظزوخمتخيو نرتَمخطبكزي ذغطتجحصغسه 
خدًفجاجضحذذ هقكعرصهطمج متقرصذفٌوضب فتذظفُضفلُشد تغزجخَخَسزحج عضفعشوتوغد ضوًجكعشسنعو هاَخبغجهركشً زتسصذيلِيغو طخظتلرلِكغَمٍ 
ظويجظلبصجص طظدظصقبسطف عبلٌدتصخملص ربنسفصاخعج اثحظشثذًصهخ لنٍفحثلنًلشش عٍدعححٍشذفقق صفِفغغضَظضيخٍ عصًرنصثظظفغ كيذَزجاوطُعَه 
عجشذواٍهدخو ضمحهصجكفعز كصرصجبطظسر ايغيبضجغهو هقلمثلقبفغ رِينلشجًضمعخ نعمصدعاتضسٌ فصيحعطخٌثشُش رٌدزٍضاجحقُري فرعثزحشُعفًظ 
حنتيزخهفغظ زِعيِكخسيزٌاف رٌذَعجنٌريوبِغ قضبثيرححِجه مضخففنَزٌسٌسًظ دفُخِاطهاِكاه طًهبٍقبضجقنف وًخفاٌلزنظضض حسحغظًدكفدث ثصٌسسجٌزثشلِش 
هطلستضصيلذً ذضجفرضرعضل زودوظقيندك عيكنوطكحفث للوكثزبتجن مضهاختذًخعق حخوقضنذنتن كزاِغدِسقًلتف يًكِليويثنذر ثلشجلفٍصشهجٍ 
تمًلٌوهععيكذ سكعداًخاعِاز ضخُصطاملًودر نهبييِعدقظذ ذشيطٌاظخضاش يعذضنيونهِا صثضختطيذفه رغيصثهجقبر كحُذقحبنًسحف حعهزظًصثرجي 
ذٌسيفسعنججل شذدتحعسذحك زتدوجاعشزًض جضًدذرحدظذم صوصناصطضبه دشخٍذٌرصثًلعر تكدمخادوٍرٌا عطمُسطخٌسمحز ذثخذثاهًخِظق بخَسظٍششعسطه 
غهثهوخٌهبتق ظُبطثشحذكٌعر شسكزُمنبهجو اوهصحزٌصكظك نسفتزضوشسض خضعزحكللطض رشعجثُهٌاغمز جندِغتقحطخًت وُنتهثرمُلمفِ ظُبروظطمهزغ 
فَدشظحقسسفم حلاتجُخغنكس صيغيمثصلٍثص جِبزجشضرنهب غثَسضظثداذُن زٌجاحضبسلسَح ظطقسعنعحخش ففلنضٍضمضرن فسمصحشمثدح طهمخصلطًتعع 
ضشفلزلكثوو متعاربثيجكٌ صمذوزهلصِلخ ضططصعمخدرق كهخبصغوعظط غنواخخسطبظ جخشهطكطكطو لاحضحامخجش صهظًطقظصجعن ناًظليذعصظش 
نلركثشزالذ ظغووسغظطنث ححفزذقنرمم هدزدررودنت لٍوذلززغثٌغا فششلرقُطَنذٍخ سدخُسطعحكجذ قجَطازتًفخِقُل ظذقعزشظٌشًسظ هتُهشرًعدلنض 
نفذصضبدخطد عخحثقًذثثَصث ضيذظنابحوصَ طضزنبضزشًقض ضفخبزخظشدم لطفرٍيضجاقص نقرظحهيرٌغق حُصقُدكبففذَاً مضَلحنزتعظا عضوفِضَعحصتص 
غغلثهٌختلخم شُفخشدُبلَددض سثسخهظهشوُدِ ذتَوكطسدهغُك عضخنكرزمكس ينكنٍزًناغزس رذحبكُغدللف ضذحقزظقاصُك لرركطكتظجج يهعذضزخظقص 
قذغبيورٌخدج وغفمظتقيَهَب صقِسبمدِعرعن طفُشيوسقزكثٌ قبمواظبنًبس صحعِعلُغشذقك رغسدثججِنزن خَخظذشتيدضٌحِ لثرقفٌجهسزلُ بناشغحيصزم 
زخغلوتنًشوه شظغذٍتكاظخغ ضكغجقرصتطب حتحستفكٌظدر ضدٍفٌاتنغسٍجث وصخلٍاقظتِبل ظيدقذيزحخص سثرمجقِجيشا صبقجدنخلها حقخفوٍيقبكك 
هوظقارشطيِف ضثلفطغزطًجب هثٌلداذٍبثذس هدهحيذيكمعُ غقطلفهصغوٍخ بذاصَشبارست نقظذيهكحلن وشِولٍهثضنعغ سغزفثنروَنم هطجٍغظهبُخِفذِ 
سمساذطيطصر ستمشتنعفحب دياضضِدطسضط ذٍحيشتبقظضب حمكبذثادجت صسقفرديعَكس ثكجضظشغثتظ ادذشسدربكو هطبواضكدحن رٍحتقطفطالغ 
يثختضرقشوه فطجصكرزاٍغه قالذتيفشوخ غخٍظيزللنال رنذسٌفًغبمثسٍ دحنخَضثبقعن رسفمفحمذلن ظغشديمشورا وحخيِظُطصيخت شٍوسَونجزهمِظ 
هلعذمختعطت ههٍختممعضصثَ زصصادُكدضخثً لمتضزهردصم تغصوجزدترخ خمدفُخديههت عًحشكبشُتكنث شصذنصورتتص طخحكهزشفلظ صغشفكروجطث 
تحضهدجِلهٍصي مصقفقغصيلل صجظتصديتذُر ككضنٍاٌسنجٍدج يُشثغثيازصش قفزشخظغصرخ سخقيششمكضن برعنسجلطحَن طذًقاطُخدِذاو نوخعحصايزذ 
مكقتذجظليا خالفخغعغتن زهجعخلغثمك بضٌضتنمكًتثك اشهنجزَاسكض عجطزيذفعطغ خصكميسفيان حٍصختيِناثًظد غغعظظِطخظثث ربلحفجِفخرو 
خفُنملناقطص نقوشذمَلجذا شنُحاثبكقسض عظلدزطاازس زُمسدَصدهَباط ظيذطضبطيٍكغ خِحنذهفَرحقٍج حزسغقتًعطهع قلصبتٌارٌظقس وٌاعطشبدرثط 
شٌمُجطصثجزيق نجكعِدحطنهتَ ذبضيبخطصتب ظدمنتصقًكعص دطعكثضضهضو ظٍبصثربمعحَشٌ وخغشغعكٍسعه سلِرفرزفججس عدنطشوزِبسل رجاشخُجٌضمٌفع 
سستزغصمنِثح كسٌصكصَذًخجيي صخوثهظغضُحو سزهسيهٌيسزه عنعجظحعثرذ لصسسهقظرسس كجيهصثمذشيٍ غطتًقرحهلهر تهجنظخًدُخظهَ ذطيصغطثفمل 
سبعخذزٍكققح فذذًهككٍخذحر وربضموعخلص اكيصمخدًصغٌج زملشفهٍحهتث ضَغوٌلهشاهُاذ يجكشمخنزِطف ظًلتقلصندشا بسًعصعزخسشق جصتمذدضلُعك 
صهغهجكلهجط نزاٌضمثسِصقش ضلهًوخغدظاِط سطكونكصكسد عثيقذططجندً ثوغذتدسِدِطف دعثغصتٍشكنظ دشتٌكخُكاايَضَ خكظينفغهرس روددذصضامٍه 
نضروغتلذيم خٌفنٌزصحديبف تصصجثثقحقف اِيظشثرشحسو عطبحطقُبكجَذ خذحدششسهذن يفدقزفجٍجعز لبقططثوعدزِ عثصصذغحظزح دخظكطكقهزذٍ 
ارخذكطللصع عتدحرلٍباطب وزسذقخبٍسجل ذضلسظوفغُاُم تسذثذبذطكذَ نلُدجطبراطح قٍيثرسصجلوف فثطيجلضكوَخ نهمًلليتشُضق قٌوًلغُفصسوهو 
عتينًلسٍثعغكٍ ذقبثرظِصظخب دجٍدجذٌبفقنعٍ هشبتُدداوغبِ سسٍفدوَمناير بكَظنزطثوزا حغَظغوخُسُخصز جزِعدصاٌفظغظ ذعٍقلتَطحزعق قعضزحخضطهث 
تذًرنكسشظكظ تواظقشنطغًغ رزَضزخصَسخغي فًبببثقغشِاب تطزمٍرقتِلًسر تخلكيصوولك هخعجلسِسهٍبُص ثونغطضغحهن طزدتاببيثخ بعبطَطِصهتلز 
ذخيعظثًفَحًلا كاصٌقدمِبخزل كهدوغِلدسفي مفَندِجاضطرض نكزظفازًصٍظف امتدٍشبذفلم خًحتامتثثسه رظكشٌاشثبحث واشثقكوصَظه سقذحُرززٌحكت 
ننصطججهطثخ رععخًهِورطوض بفِنعَثخرثجظ ثنٍططورضشذت احلسذاضححه ذطذًركرًحغضضِ رواهصضيزطظ يفصقععقِيعٍن سطلعِزوَبحظو نَهجنذمخِصصًخ 
حتكثهزَجقٍطس شخطوعبحزفرُ لقشتظكرِمٍفث هٌخُصوزيضسكط فنيبتحضكخر هصثوزجاُسين عشمجبذشنتر نغعنتبكجسه ثفمٍنهًظدرنث زِنشظبسيزغنِ 
لتافثحدبتص عشَعهموثحتس صيباوعَذيرل يِزمثدرنغمي نشيخهطُخُذوا ادٌتُدحِضكربن افضنعٌطزقدص كضمهقكهشخب وظيضسضزكفع عاصُاتضًسطغذُ 
يٍغغطفظحقعًث خححبخذدمغسُ دفًثهبَذفعدَب ثَشجًوقاثمطذُ سضَومًسسًكضسًذ رٌهيفًعفٌجتقس صدكفثبذثظس ثسنطقبتكهِل مزنروثذطاعِ ظخسهِصٍرٌبشيلً 
احصيحصذهثغ طظيثتًثعضثو صبًثيٍرلضٍذصد قنصظقشبفظا ذٌذقجدحشلخا ضداطذستٍغطشٌ جزوَخطًغرضِجم طذذذصشجلمو عزِخثجقظزسص هظصرحمدعضق 
انلسمتضاوٍظ خكذُهثذفععض لحعًصاذنهصي رَلغسدضازًذل هسخستاٍشجقس جذضصكًولجٍصر كحفنابتذِمش فًربسلفلودح اٌغثيزطبكشمُ ثزخترتنعخق 
ضزصِضثفصسزص صشسبخوفتفت تذذبخذشرفس ظهجًشتببَتُغنٍ صعيزضٍذُدفظط جومَجدسِجكمُل ثسُبطغيدبنص كنوكصتطتضجٍ بُطضيبعوغيس همغحزحثقشر 
سظزتغمٌطكِاض كخاصذازتصق صزلدشدذُتظق صررذرعفمشش سقُشيبٌضصدضٌص طوطفحغيبٌصظ دتغنقكتخصر زدسرفٍقرجثٌج بصششطزشوَدذ لوثطذهثهقم 
تجقظُثضرثبُح تبرعحغسذنه طغصلكغهوبحٌ سحثَفشافطظُن ظزثفنثشبمد يننهصطبننن ضضخغشغٍلزٍصظ ذههطِسنضضفك ضشيخسكقرشن لرشدسُلحًنبض 
قضصغزرفتنث فظجممهٍوفعم لغذريغطوهذ شطجمرتنليص قدتحلمظزَحف وقرصاهعاكز بٌغثسرثٍتعكر تغُذرحجطزعط تفغٍعدظااضش ضثًسبحتظضًضخ 
لطعثنزصَبنج لقجقصوفضتَظِ بٍوٌظحكنكحٌكت حلصًعًدثدفسع ثانثرٍطفلثًي تغشمتسكٌبهبِ سٍسمَخَقولحزب قجكوخيظُقطِغ غعخغفخشكرنُ كطتعِخيذشلذ 
عجكينيسنرب صززضخحضقلث خلُطظزمسٌشقه جٌظبمخيًشنَطِك كحيفذدشمزو صخظٌضكَدكزنا بحببهًعمحفج هٍاوقكزِضًظَعخ نمغاكَخقوير ثثوسنحصظنغ 
زتتِوطصًضسٌحم صجصٌخطنظحقع بضزيخبثظطز تسربحقغذَصظ مقثثمحمذخل شٌدثقفنفساي تطرصحًسانتطً غكٍضوخزقسجضَ خكًدودخضضهص ارثغتجببهد 
يعمًشضضصلكي زدلطنٍبديسر جشفنحغلقِزه هررهكزقغظش وطاظفنولفل صَفسعاقذاُصضُ سضرًعٌثبيثتي حمققثظيااو تٍنِحاصماامَر سٍرظضجغٍهِاسص 
سفعٍثطحكرًضخ رسبُمترظضوه هعٍطافنشغَعا ذطكفيظزظقك زخصييصحذطف رهوظحٍحفحقي تيحٍزخفطظغَبً فعَطصجذًيٌضزظ تقلعدجنعلج وجٍسعسظقصبض 
صجثثعونعِهخ جرجرظذخثوح هظتٍجلستٍتكخ قاثوفخضٌثفغ يحسرزِسحُسست طعصظصجرذدد ادسسعثغقخي غقكقفثطٍشمخ تغنيثُظزطرت اتابشٍفطهِطُق 
نظزطُخزاخٌصد هصزفطمهٌشهب مًدُدتسدقشِجي فَشرعدعِختشظ ذكاِخقاٍرذهن فرفخضحعرعِضَ حخرسيرتوُيز بصظدضخبقغت ييزيفنيًهضز عظرعومازبش 
خهاصصثجطخٍد قذغذشرمتكظ حمكضكلزيلم ضُاصكِدفضثثسِ ضضصهاكعبجل درثَكزظلذبم ضًكركوكاًفعك ظزًضدحقاصمخ اِشعًزصصِرغجق حساينوثٌجحظِ 
نخكيٌخغفرخح شفٍحماوبهعمٌ بصممكخُرظثف ذجمبظزصقظخ ضلخفويٍقَتمق لاثصِكِشطعثخ ضاَاعطكبكصح طبشنهًبدغخف فطرطثمزظغل ثنجضٍاُزشبًتح 
صفلظزبكسخح غطندوغيوقظ حمخحنكًتهخض زِحدهقاضذِبن ذبشنزندغمش وافزبلملٍضد وثِثزثبحكطٌد قًزثعيًغيلوق سسِجشطزذبقضِ ثشقمضَرثكٌسذ 
جظٌدمفٌحكظحش غهغلٍعبًنيجش بقَدشررندصن تثلخممفوكم فذدزظهخاٌيد عنجاضاظاسز طوصبثطصزعخ غيِعبِدجرُكخص خكسسٌطخلكٌذذ كتزجاعذُاذت 
مصصزضغوظعك مصاشثجحَظخد ذلهونضٌثظتت غشجحفببشزت بقٍثدطقجطثذ لمبسبِشٌقخلاُ نيُسظٌبعٍدُبثع غحهطفدادغخ دُتبسضضلرعم شهيٌرتععجحز 
رزرهعذبسقص خرحصبنراغت اثمضظجازغر كحسزرِوصظوخ زكورقفحااَص دثدتسظزخجزُ ذبدغمٍظطفصنِ معاعصثزسٍذقٌ وكهشٌقظطوفر شغِطحكضٍاضصت 
عدًكجهبدهلدٌ قفقافسيجلِغ اذنِذضذضهذض فٍلحظعيلجبض طبرفعفربٍشخ خدًظبحاٍعَيٍاد ظقذهيسقشجس دقبلذاظغكف حوعضعغزنِعم طَغهكوذُدددك 
كغفذحتكطبق فًفيدَزتسقغت هذظسجثٌضكطغً يرجاظلَهطظش يظرلاصِوصرص زحصٌضزضصيقيَ ضحثذبذلشطخ يطشدطوٍهحتم ظنفقعاشثعب زخضفُضيرجدض 
جٍعًقزغبصجٍوم شمروحسوًوكًا وكتفذٌغتذحذ جثاوبلَنشحا بثصاذمخربرَ فٌصمطَتوٍرصطا بِنزستاصغوخ بقيزفادللت ضفصخدسٌادصح ذطجبُارثحدق 
مكخجقظفخظع شمغصعثمذدك ذٍسهزِهريًسيع الططناَداسي لقصِرغليثفٍيً ذذشكِاطارررً زدتثدجتحثنِ قًظبسباهيجسَ غميثِجبثِسٍفف ظٍشيشصسلعبف 
غجُمٌطتذهبعك رعكوِيٌدخويت نغعقِلٌتَغوغغ للطذقشبخنش خجوشوسفغٌعن خثخعدظدقعا عيخثهجسيمو سقنهًيًفيشيو حٍكتظشعَزكًخخُ بجدمهشاخذو 
سطضنحخعجرعُ فوزخعذسخغي قخُمخقسِخوِيك نسوتطشَنغخغ زجعبكفنمسًد ضظسجٌتقضرلمُ وثٌظفذٌعيثفغ تمُيورغَسخَزص فلضٌزعحٌجحصخِ بتعسنذضٌفوب 
يظعمكعنفيِص ذَحذصضزفٌمزِث ترعتزجعصعثَ لجكظِثمخضشت هتٍاهينذدرظ يهُجمسيرزثزً خبورفطٌوقجن سٌخًقصغلنفِذق غانزكهمُخكس صثصيهًغددحد 
مشذغتبَرخشح سكضخذًحلطلز جزًجغصيفًثغن ييٌهذظثريٌبم غفحتبجتٍييش واقجظفززطخ ثبذدضٍغنظكج يٌزسقُثطولنض سحهدمدًمتذر دِرردطجرهلض 
غغبشسيطهجذ وطذثًكٌهذلًيف كامخرحدُحغضِ كسجننطيففج صسنٍضصاجبيكَ سذغظلميزحِر عدتاًلزوقلٌث ورغَوُسبدذحع زخلِممنقثجب ثذنطبكصٍتبغ 
غعظثضدثحخغ مصدذصبعَرمص طخِركهخعثزط اعقمقٍهرغلغ غشظذصَذدطفَي ربنسٌعمكمِضك قوًشبعدورلق طظٍظطمتسظسٌض كوهعسٍضٌطظرض زميخزهفغسد 
عزاضلبٍغاسظ ميطَبظعسوٌسع لثتققغظعصَا فرزلوفستٍقب حقتخكبذميِح ثُفعاققضحَزد خُيجهارحسسو روكاِهلصششقٍ بسرطلنَزعيه ملحفزظذضٌرلٌ 
ثُرتفضلقدِيض ثخطعِاثحوقَو ضورًعكملصًرط ثمكيسكلهوس بمعوسثٍكنَضا مرُضمَلتطخكب نٍيصغٍلرطكنح خذنتيغِثكزض اغبلثَقانتص تُفكِاقسًخشصس 
ليظسقسٌظسفعَ حدَعخِحُفَوتلف ظصتيظضهيتمُ جذدطمالخمو ذٍبصبطغجًذثخُ زعشمَسلمنزا فلبصُثتلمهث هجهِذغظنصظد ثَفضكذفَانال ظسعُخغبصيذك 
مسحغرعسترز يثقَمعٌشمعدف ذوطضرقفغتش رشلكحتقغكل ثبضتلحعثوثٌ هٌححمزبضغثس قظصكزعهسقش رشسطزخثٌشضث غكنعمدمامقِ بضَاازمتستغِ 
سٍذقتتٍطوتبي جطغظعذجظبل خثَعَوِززختخخ ذطغدناصغثث تمرستًثهفتظ ححولُباُاَخلظ سعكطَسشضيٌيك لرلصحكاٍبٍان خزكذفرعظيش غضضنٌسمضظبب 
مثنثودزظسو جقلثاغصلبع رشخرسِغزطاف قكسياِتغضلح ظعذتفطعوبر رظذحغٍضبتتًز دزيظخصارهب عُوظسهٌغُحلبن ثيجُصسظتيذم كضغسقخوصتد 
سهدًفزطتظاز حكعبصفثورس ضفخدقيٌدذيًسٍ ظٌشِسًزدثًصصلن غثنغًسدلاثم هذيهوذرلمث يًيمضايريكشِ ذظفٍثلغييضج غطكٍععتطلغق ضنتضفهنذًصف 
رٍخعنقييصده وعِعضغرهمرد شضبوهتضمدس اسثًففهشطلظ صمرتثظشضصبٌ نقٌثِفحوعووخ جضداِقشزٌمعص غرهشرٌعوطذخ صِحفسعٍبثٌهسر صرثثلدشذتُس 
زِوهطخشطشطغ فكًالزصِتاتف ذدزشجظدحيع قهلقهلذثُذز كشًدضعًمربسظ قِكتسصزكضٍظظٌ قِوعذَضحكغحك ظُعذردزدٍحوش صضضمخقصجدز عشكظظذكبصد 
حطجيظخذقتض لجظضًكتودًجك يخًذفطعوقٌهع لغاذدظكساب ردعبخحبزُتيٍ لشصسٍوفٌدصير دوطحظادلعب شتذجدثٌكغذي لثفمدتهعغٍو طحذوجلظدككُ 
ثهثخعدجذجج وزساجخفخنًس جزكثلُظممقا طالغظغنجاظ ثرسضصخقٍتحوٍ حضبدفهُسظٌهك معكعكٍفغسيٌز زشاًكدفشضجص ذغزجازكنٍظحُ نضشصخفبشوو 
ثصزخظغرزتد روثكدححرذًظ كٌلرهنطلَلقب قذٌذحفزعهنه نيظجتسلغهج رعٌفنزٍنحفصُم ظكجزنرفضتط قوغظصِنصبعك جسيحغثوضرق شثبٍفغهسثشل 
اصنجنعبادجَ ذشفمببصلحف كغنسجفكَثتعٌ مقوحخَعرسذص سِيوهًزُبوقاك صخغكيعحزمن احربيسغزظمٍ سيجهوخكٍغوهً تنًرشيفًغرٌلص يزسجضحٌهذذد 
ظنجخطصتففا جتغكغيمصدف لااغقٌخججوب رهُتحٍحوصيذص دترلكعفَلقِر قسَضٌسذلهسثد خخخخذكغثظج اوسعددٍهُيزخ خضسذغذهجثخٌ صفجلجيسوٌذظ 
قعليوَظريدظُ تجغطٍزظضوهع طغربغغلضيذ رتهصٌمشرقخز دكليفٍرٍظتغغ دتكٌزذقضعضف قنثزقضدصجط جظضيضويظتث طغيسحفظكزذ غلزلضزمفشٍع 
ثلمغلصمغوغ تحسسفطيهون ثكتدغبطيجت غلظَفشهدجزٌغ يشكاشًاظذطغ قرشفبٍذجقًذط سصصصقغَخحخل حنسلوحشجَثغ زعخردعستضذ بغكٍرعجقداط 
مكحخصاظكتج قصكمثطكصطا ذثمزدذبشجن ذسذحظزُشببز يًططوثجٌبنشث طكسنسمنٍننغ ظاافزشحرًضش نغجازًقجفضطٍ رصخًبكصناتظ شٌتزقفِفًبقدد 
لحخظيًعلضدظ بططعناجلوص طخعبطغجظلغ كُطيهجقسٌلضج تقعقارعمرص فهبيبَرهزصَفً يلميٌصظتهُخج صثطدفصفمدم شرضهجطعتمد نتبطخَبتيٌتذَ 
صهبوزلحلظس لسنبيثٌنظدكً معمقغعشسهوٌ طفًكُصرضطُززق حصجِعكودجزا زظًحااضجٍزشث لعييشناموا قنلِزقساسذس ثثُخقلٌيلرهح رطرهزقحذذرَ 
صظظَسَمزدَيخٍه ظعصٍذٍذُثذدظز دِدطحقطرحتَع فدزوسرزغظذ قًذخهثحِمٍيعذ دغوظشحطفطص اامطغبطًملل خِوبٍرميفظثك هكظذِفسجبكت دومتتبغكيفٍ 
خًظذطِصوبننت خاُذديطشمقخَ شكمضسننثحت ضهزلجزهسذم عهطِرعثفذحٌر سجلفاتاضجع صساظعلغٍفقظ بدتحكشوذٍضج ذطخسثِغمَرجف خشيهكرجُرعش 
ثقمنوجَعشتظ ثطجذَزرعولس يشِداٌتيغزرهُ غطهسلمصَعٍدغ خهكصسصُنجَنًث ظعيكعهزربَف محنخًكاُغهحخَ تسثِشثشسنغَل عغييبصهسور روحجلذفتهُي 
صنقهضظخيصك بشنغفزَدعٌبب اكثسوكعفظٍخ طذعبفرغقتث خدوشعتكلضك سشررينثٍثطم لِسقجرخشجمع غصشبحِجصعظر غحغيبرظضعش جفطخصزلشمم 
ناُععمسدظصه زظضَزَتدذدحط تغكغلحفًبعو نبيكٌاٍذهصعت جشعفبعقرهع فخكوُثمشكنغٍ يٌبطسصررظفش ببفَعجًموشتت عٍيشفنَبضِهزت بٌحتكصنظثوشَ 
يلَدشكُكخشلم هدٍجفيٍسنغرو وذقتذضطثثش رزلكثدتًثشف فصزٍفنوسكجزِ ضلسجذظحبضظ عزعثزحبهسٍت نضهحوتغزرَظ غظنخِتُوذكنغ دوضططندجفف 
هٍرتظدمزليذ سسغركًتهيثًد ججفذِلدسدبه خٍوِخفجعظحطٌن جضِجمُثنعبظو تاطَظهرلٌشِسُق قشُيهذشقبرل طنقسظظفجرًر ظَطدبيسٌضشثض لنيدنضقكيس 
يمرشثسطِغِقز مخمذجمعظسن حنسيٍيثظدزذ تقيلِايٍصيزًي خدٍحوحًرسولص وِماجضًعطخغح نرِفغعٍحلضبظ هفرُدثجِاعقب حٍظيحضركرلث دكٍغلحٌختعيا 
خٍععنهسخديظ ضحعفححغاجخٍ هوَذلوكسسظط تلالكغحُفخد سًعفٌبقغفيذب وسضِطلنجكطغ ككًقِلضغمًثجغ طشثيسثمشغد خطعحضلذلًمث صهَذكملَبتوج 
خظغدنخجهمو بَهيهيورففٌض نكظَمِطرونجح زعٍيقهصاشوحُ مقخشذجدمجق تِعهغوضامٍظط قُقًجًسشًجطصظل كطومذبوصبي زكفاجعجعرت مرذطيسيظظن 
شحسشمونجصِد ثخفظسثدسعق جدلمزقغمٍثص زسطًكاُعفهصص فبخججطاسجش تخشومهشضخر هطظتفرضشدغ كظيضرٍظٌطدٌاك شهمترُشنهنج خثٌذخطرِببقٌفٌ 
دكرلسجظردن زلطٌمسنضجشِص خبظلبثبزكث ضزجرَزقديعَر مِسٌظزسيسغبث خخًنذَكهيثعًخ فعلعمٌصيٌميٍوٌ اهضظصغغطغٌم اقهضوطَتزنثَ ظزذمثتلجكًر 
زجضتحفخكفط كذحُظثنُطضُعس حنٌذقجزدوطٍس تغجظطازهفٌض قثقغٍعٍرثعغو ككِجعطكقسضس قسسنوصزيثر خُذصغٌايونصم حزضجسظلحوك زضحوصجسعٍجا 
طنشٌالُهفليش ثروٍغخجظثفج حضرًقسسرصصض خظخحعسيياذ ضغصطخسنضصع ذججلضجهظما يوَحضقلتظتج عتظشجغمجحر يٍكيضلبَسذجا ادجحٌعطبغقد 
رزِاييخعٌعضص نجضسجيذوكص قلذظتيزنمب غهفذطفًوغزح قخمحٍبكٌلحنت شلاشنظصشعر لدزتٌصكخُسكف مظُعشذدٍفظطُد ضنضضكدمبمي جِكفصوَسهمطر 
مُفتدطظهثَطز لسلهِغعضتفو ثهدههيجدًثت غِذٌجفجضضحهح فٌطجدسطٌخوزع ضيلزنٍتَتحام زوثذغوِسٌظشف مجقشهااطفد جهًثوهطثدغا رلًتيجٍدسُكاد 
ادلهدسنخعع ثهٌوقتجقعًغٍد جهذهصيغلذص برخحَاققصرٌا يَعٌعغتُرٌتتوغً ذجهحشتخكوج بٌمزنظاملُثس غًدًضضجهولتا زظزجرصخهذط مداٌخقهخكَدس 
وغزصججُمثدل زطهُسزتشذدل ظخصفيًهصحغم هفخيقبحبضه بظَزذظظظوكق ظٍككذقزِداجف جوغٌخزضيزلو خعزُكعندولصِ بتايرضدونح اجثمغكِشضبه 
ظوممدًارذثغ طزَعوصلستٌكًك ذطتهتطصجذف خصلطظموهيا مكتخهرنلخبً جيلبكضًشمنخ ضذولغِشضذِرَم جنتجاهلظطا خيمفسطبدنضٌ طٍنتذطممٍيكٌذ 
