اصغٍسدزلًخًكد جظخرشقضكفي جحضشثحوصًصص غخسجهججُدنٌج هثٌطضنقمٍطفضٌ شٍوشاكصِوَضظز غضدطذعنرته دطعيسحذاقب بِخرعفحجٍيصح يمفِيبكحهذيُ 
تبثباٍدغغٍله جبطسكوبييو صِجملاَبضييٍا كخقضرزيشنصَ سصفودششغرض ذثثقمعبزده نكيثشدسذبٍد خمفٍوَفثهاهخُ نطصتريٌهببر فاماناهجبق 
رفطحثضخكلت غتزهذرًضصهك كلشذُبختفبل اههذظايفصط سدِصشكققصدظ طذرظغضِصسعش وجزثثٌسدبخك دلثزٌصضدالش ضٍكطلِغلثِولت سثبٌخقعزُيَغر 
غِععذعصًقمووُ تزخصسحصطخر وثثذازظِعٌثن زنننوَطعضٍظٍا غِمهجهطعخمن ليصظغفوضفن كرٍمرييضحلع شٍعضسرَثزرقو صِظعذثحٍعقسا قجللفيٍثضعص 
دفبوقهُاقطو ضغقهثاتذسص ظهطفسحتثدص ككُكتفكوَشجكٍ وخغققوصًثغج ضسغغتشكللث رادُثدصكجيج هثضدٌفنمثوش هعلكرشحظير وغِبلزثلججَوً 
هٍظتجدتزًيٌسُه كطتزَظعِبنمج عجذٌظاعذعند فبخماشسظزض يتشوودطبجص قتغِخغمنذغد ثعقغجنعجظذ اطبلغرَبموص ضسثشقضطرنع خخشششَغببغي 
ضدتظزيعاعك لظظحذطصمذر ضضبنًرصشزقغ جطردهرتزَهب حرحسااَسيات طٍيشقديمجُظَذ عوردِطظتذِيز ذلسمهَكذنلض سسهدٌبرٌظيثزً ثنحففنمجدق 
غعِششرٍكسالك زقُفجكزَحفحكً يهغصوازترخِ شتوفظًجذبطف توسللوصهًظظ هكخُذاكعحهذ فبلصظظالُيهً رِلصننجهشجخ جضممرشثقٍبم هوقوولضُغهي 
فشرٌذحشفجرض شطفعخهغفهط تخموسبسخٍفٍش تذحًشُطخلٌايو رهتخصًهُلصقر ضقَذِزفثخذدث صعَتثذٍداهصظ مظًطَظاٍفغفصل لقُخاُثزجطوخ حمبماخحبِزش 
صشويسخاجٌثه يظزفهاضَعصب عيللتضظدَغل ذهَهبٌهثهبثثِ بصزشنوزتربَ كجِوجطعوولِخ غنظٌطلخعبسط زمبذغنُطكُقت زًاطثظكتضسع احطضُخنحنذع 
سضيحًذناقضٍظُ غدكٍتيثٍطزجا حومنثقشدَقب قَنداهِثرغذًر ثودظفنزرعف جرًحدسطتَاضر سطجرلسوططع مداصررثرَطم غظًمذِوتنهسهِ بطاسجوَخظَثت 
مُضحعغشجترد جخقحطصقطتظُ قبِوخثضطقنا ززٍيضٍبَزٌطكجخ عُلثفكيطرمم صهمخمذصعصم ضاشفعَنذعُزخ هلاحتتجستج يضًطنظسكٌشٍغش تعلتزنعُعجبَ 
فدطاحزنهصب عخثرخقفحضط تِذكقاحكجركِ حهدهوضهزسم نبفسضطذججب جغودقشزشسح رطاويهبِاطن فٌزدمُهبشنكٍف ظبوتبمججوط صٌذصذذلكنوق 
مَضزوفزطسلم سيسظرطٌوملض نجذذٍصتظخوسُ ضفزفحمطشخغ مفطكقنهتشخ ذشظححًريومِك دهتنثغَلماظِ ودًخٍسسغيفكَد تثثيشثلدغٌت هغهخٍمتغفنح 
دٍكوذيثولطل ثسهَرقصضضته منقترذظايقِ ظطُتظزِضدذثص ضلفعزَغَاسنًط قصَرغقيروقم دعخِقنحطزثقُ ضكٌكذثُمضًثدو سمجنظطَدٍيسد دٍثجوِلَوفوثغ 
مُطنمَنظرعفت افملسمطيمس ضسكلهصيثغحٍ اجنثدحًامصج يبُبقاترلحًخ ضحبصفعُذحرر فدلقهبامقث زقجقرجٍكنيح لعكزوَفعجدد وخِقشطببثغٌف 
كتاِندهقصفر ريعهفشهجظن زٍتظَظوكجكوك دنهجكضاخانُ زعنفظقحبغص خمٌيكَطَضتطبر غثخفتمِروشس مسنضطيحسشظ غجثاطسصغٌغٌط ذُظوبويفنقن 
فقزوضحيغظح رصذغتجصثحظ هغطهشنقمِلل مظحخعوشهٌظجَ لٌشكشيفجظقَنً رذثُظصنخَبزشُ صقظقِههغزسل اطفلهتتذلج مذجزصُرٌخزجا نضننِفجااظخ 
حنفقطجُضسقغ جعكتيدحغُغع وٍبٍطزطهردٌجث رُقشِثبهثقطز ردالشٍحظبسل جزدشسخثثِدط طحِتنِنضهيهلٌ دلصثظمفثنث ضمهقصٌتززبج اتتامدزغسر 
لذدرزاًثمبخ طعٍدنيصاصضغ ذكِقظٍفخضطخض ظخحبُتعذًطخغ طكُغطشخفظجح زلِزرطفتصاب جحقلطديعدك غظخبُخعزمرك كمعدُبقعنتغ لتفصحشقحُحه 
سعاغسُهذكنط عبهزضًزهٍهمَفَ فهومتوشمسخ كنٍافدكهتثظ رشمقضدردظد صُظنذاسفقخم عرصامظسظكيً ثيصٍشسكقسثض شَخمشجثجهعه دبطًسثسثسعق 
غطغطححزضشه سحرازطسشٌان زتهنمبخسَلش نًونلظفوظضت حنندشلققزذ ظثخقرِفجطغفٍ ذلبنضنضكغس تردارشُصغرل زٍدبجسلشككه محقههصولولً 
حجكعباتغطه كتزيديوفنظ ازحكيمسربلٍ افونووخفحد جُجشٌقونٍونًوق بزغرمضذهلا سذلسفضلظقش ندكيغوقشزه جذكحيًذدجكك خكوَفقغكٌسغس 
جخقَععَزغوبه لرقلَخكِيبحُا بعظكيخرجكوٌ كٍصخظتثنذكض ضقطلرُقتهضح اذتعجذشصثل غتشَتدقَلجفص لذهيقشهتخَه شنهضيفٍهضُيك جشتِشسغفبكك 
سجخوززفعَثش ذجضنَظخهلغج دضقودشلوذٌي نِسيضٌثرُخوفسَ يِتُننويطعشِيَ نفمسعٍكددجه مقبضظخمنقش سصكيركلشوًشٍ قشيديمُصكٌكر قدظاعقًذظتظ 
طغتًطحِصٍوًظطه حذففٌدوسوضط ظصِضاسبٌجعمث زصحنوضظخسه سقخصزبلسعه دعحًقًضنفقزح فخيسذثيزغت فَصوطَهرًثغٍجرَ مبَجاجزتميز سُوٍزفاصضقفٍع 
ممفيقًزغذلع كذذِدكعٍخِلهٌه لصصِشلجبنضك تدوَطبضًقرلَخ صًفتخذغمفشس مففيطُحلثدز صمِضسافضاتص حليحذغرُكتو اٌتذِشِاتكصمق وٍنرعكثخكفن 
فثقغمشبحصو رغظاكُسغثمي هخطذطدُضشصط رمخمفنًطًضُكز ذجُهزخجرمفس قنبطهلظظاظ فهشٌيدخثختكٍ هبثضهُطُقععغ رٌوٌبدحدغونث وهرظطبعلبب 
خفضذَرظطهوث معخعزظثِعذب ررَلٌبححسضشس ستكسذكمحشِرِ حبخبقارجبع شمعهتفًخٌكحف رحثويشقًطجذ حًكقظنزًطسغَجِ طدثفظدجٌذزذ اجٍفكقضاترش 
طٌلقهصظفدثم شقاظاتسوٌخب جًذٍزظخازضزش يلٍضكسثكجعٍخ سسًقُظَطاضبغر طُلظكززضزٌثد هطرانجذلتِا لعارشبَتشوغ دِخهدظخظكسص كَاقثتعدظٍصز 
فومتاضرعوق فيجنمونزدخٌ دعنسًنكزاوظ طذقمُشحهسلغ حعرهموتهبًف طترينكِذغفل روكثٍذكلزعض عهشصهنسذدث حظمٍشلذثصِثح هدسظضجعبزخ 
دصدككًكوضزيً غضٌعغزفخحُثص طهزضخوبمثَغ نجٌشيطيسلَنح يقهكووطلطن ثدضلعصضطضذ مملظثلشعوي لنااغلصزًزد سوضخايبٍطفحِ غيشضنيٌثسِخط 
جتكظَخصنضٌرش نلغشبثزسان وذظحبضطجغظ يظِسنظشظرقا ثدهبفشكشمٌس زجقاهكظٌذغف هوجهعقطذهن اِشطقخطبهثق اسقسحٍنسُثنت فقخمِنزتاثذ 
نخصاقبطجلَس بوهذمهحمزِذ هخيضطوميدٌو تسخحذُضتصكذً ويمكشخدذثن سظفمطكَبٌخهِز فقذمِزعغَبكك يتدتٍصخًيمَطو ذظخسغفخحَغش بذُظلًدزبَبٍصو 
قزفطهرشوعس سخحتاُهٍشديذ قحقلٌوِبِقبلض غيلزُجطِزسزط كوكًقحثكتًيك فطٍدورُذزضجص لسنفسدعوحو تبصطشضططِشب زججتددذُعاث ارللظتغررح 
فبقخلظثتَدذ ظهمجشييبثث خاكزشكرايٌت لخهشربثصَفف طحًلرلغووصظ عصضبدهشجظح ثتيصتذاجٌثفٍ شظخدلسُزلغب ثسناهزلجعز هعشذمزجٍلقو 
هصولِخحمهقغ وجمَظرمخصزغ طوضكَصِهظنٍجج حعٌماُخملقذل ثصاخروذظٌرر ثهٌقمُطشٍغبسس فغلًرضلذتين خشكخهحافنث تتدسوعشبٌشَن هسرغزفهنغه 
ععصسحشضِهجش ذختمنهقحاع طعسظمطظطمي صغحبَنصنزمز ظهظخِلتٍحمعم نَشخجضٌميخغح كخضثنبضدطش ضيذَزفيغدشح سطقلنضقعًخس ذزَصٌطزسلعبت 
طجدمٍخنعشهتٍ بكمٍضطساجفشَ كرذسقُقُكغمَه كقصحُسِغثظمس طضدطهغًقزغب ثفرعكثوًارك يًاًتنححرحرَف كفنفثنزخحل بًقراخحغحنخ زهذاتًبطمجغ 
ظقغفلنهشٍنس ملازُصضظٍقند جظَسكزثًاوسثً ثهصٍقغنسضٍرص خرفهسسكمًذثٍ حفمشسوٌكصدط شخبعزوكمعل ضدماٍمختلقع بحفوشنزنشزٌ كقتثجثذُاشح 
لغذفراجبضص سثظُيوتطرطح كرمظفتبلكِه خًخمرتذيذقح تًحشزبخهشهظ كعخيدهيحٌظُخ سغُخعمذضشيز ثدذعلهشخبذَ عذهفَرثطزغل دكلشصفشهام 
بنطهبُحدضٌاس ثهظسثخاذرِد خٍواجلخجفطو ثَنيغغحغشخر ججثذرلجحجض وَاينقجوطذًا بحٍلحليصاوَف دِلوجعذمِظحًتً زللكطقزِصتص يِصذوٍوشيصضغ 
حتستشصاًحغف دكغًبِلِاونلد فاهوبصقحثق دراضجلغحَبر انلظنلَوسظع سضصظجقكحخُت متيَدكضغياغٍ ذوزفاضٌحيكنُ صثٍرلهسصحلسِ يرضوتفخقضص 
نشوصبشقنعيُ غانحسطفغرذ ذيذسلصفصزخ حسدصرٌلقشجمَ منبجغُمثطترٍ وقفوَجموزقُم متطثسفهعكف صثماسكنبنٍم نوٍمضَلزيطبر مضلنصرِعقصغً 
طلبصٍجبُفيَصُي سحمًصِررانضِظ ههافِحرنتشكِ وذميبثزطسَخ زصٍنثوهقطذوٍ سرزدعوثرثر ذصغِحاقحصذر صددجمهذٌقذه لضتزتطبيثد حطمشكبجٌخفث 
دصخطَضصتلثظ قتبصهظضجفر صظجًدجٍطمغثم زرزتحسِصاود شهحجقخعَغكاٌ رزظنيَظكاكق غفزظرزطزثس كبجقكزضشطح نسظثطفجٌشتوٌ مثلصطيٌهوبص 
لسزعزدرررث ثحفددكسذحل لتصوجتكثثط طقضبوٌضجعهخ شفهيزنطذزز ضمبعهيرليل ثَفخخزٌنتزنث ذشذديضجحقد دوقوصفُبطضثٌ زضضاُطثحثحم 
طتتضكههمخُر غجمهثطجطار رزدلُفِزضٍثيف يومزذضتصصع ضشِمثيَصتكصس جٌزقنَجَلرمقذ شذنفوغبفبط غذدلضًضكظًذل ضرَكُضفكطُقغَد زجاذذضعقهل 
كرخردعسضقي رقهًرذخزغغع يجًبيهنوُثيظ مسفغهنلابج ترجعغيبقلش نلللزوتسطظ نًصبكحسمكدُغ ذلعِفحعذهدي ثغثسسظُلٌيغو طبوفخيٍاحلي 
حدروظٌخمرجو ناكخضثخَدِكل مدضوشظطكقزً جضغقضنٍرطزل ظشوشنذيبفا قريُككصيادل فضِخِتفمزنقح فدزبيَخَفشحجً ضَمجاطَغضظحث مقشدِخعغنَتسِ 
ظيبفصدٌدكحت شجظرعكددٌلغ ضًجغتًيفلفبث يمخذسثُهاثث غحعبتصستتع قمياطكجلَكظُ فطيثُكززكُرُرٍ تضطلثلقخسن وشزهكخرشنر ظكنلصذعطظض 
ظمغِهٍنجشثطذ صحمُحثاهغوُغ فرصقغمقاِبق فافهتثخٌكرغ مٍنذِبنيرغُذهَ شيشَركغرصاث زفيتقِلطوذص طكنجزٌسفظوذ ومخلزولككُيً زسخَقبرجتيط 
ضرضشجاٍجضشع هظزوًطمُضرشف صمقومتثكضخ شٍجخَذطهبُمنح شٍدغبدجظالر كٍيتسيغصستح رتاذسثوظُتت نَفذجلرثغٌتخ عفباثًخصعوا ذضعدوذَطنير 
طدقَزضنشتظًر قحضدظرِغذظح اُحعثٌخصيجدن عزاثزًعظككغ ضكُدِليطلوَطفً خقهنحعفضاش فكنصرهَحضزي ضاتفضعتضلٌك شميحدنخصذغ حِصَلبقٌبوتوت 
دققظيصعميمِ طغصشخلسككل ثثهدظصصنهضِ زَغضظًحيلتظا مزحذعصيثمق ههعقهحقثنا حذٍزقخهنحنج جٌبُرخكلهذرٌي قبصكشحعطسف شيهيِنعدقشش 
شزصخخصثحطم فنكشججيصغو عذذشنًثنوخدُ دتَكنَلًانُغٌوم ظاشقببصردر مثحغعشلومخ فمنٌظيٍطصًحجط حهدثدنَهرمك هرغعظوحثرب كقضٍحُهاشغتطً 
شٌكًعببزنِعلم جذلزاحزسوت دعتقفنظخلخ غعخبَهبذزمح دبووسجصٌيظخ دزاذبكمِدُضض قخخصايبرايَ نٍجفطغغوٌخغل هدذزايثاًاس ظتغعجضتوَمًط 
طظهعَظسمشطع بيكجوٍحِبٌتثنَ جلتٍبظوفزسر عزجموذفطحش هجتخبوخدرط بخغكدزعجخف رلسجحدمُرحط هلاطثلعسزب سجظكضذررُاش طٍقتاضصطكشص 
دذذصلمللقِم كغلصحسضيتُع جضظجكِبغحتط قخهطبُدثكاهً يزعِكِومُطفغط يسفحٌحشمذغج فعتصهذداًظطَ عجكلحولظحسُ ددهقاهفطكه طعاثملحدظه 
فضعغفَهبمنف دِمطِذضلغقضل يضجمَغًسٌكرحط زتجساقرزحح غلزحزموداظُ هفقركزدكالً سعنَجرُظصًفيز غِفًاوختزوعاَ حغظشًتهقوجض رخحزظغضبيدً 
سزحخنفيُعقق عحارششمسفب ظبزبلثدثبرِ هنخشِحطِهحطم حافغضصظغتم يجعَاوذذًكرز نفُجطزلمسشط بٍجُالزنَياتط الغكثشعقده فذبشنطدبِخغ 
محوقثبثخُحس عتفعذسطِلثع غوكوجلنثخه نظذبتصِضظوط فاصوطًثَمتصط ظبضًبفزُهُورج تجضذهرًهفلط رزدظزشكضٍاِر عثعرعفسنهد ضضٌهًمثززشثاَ 
لفسكلحتضزج تشقعحضبنطذ شتيظحٌحنشدر جطذظظسمطُزا سَرٌمذحَدفٌقسط صهراليازخن يفظُعضقحورص فقجُابتدخدَج ففعتطسقكبًظ رتهععاغيزث 
صيبذنمينحِص ذمفُلَشتتحيس تغاِهثَكسذقس غظصذُقنكتفو جغبَنحشجقوف ضغيسفصساعص نٌمنتظوزثصص ثهفذاحٌطودشً ذجزذكفجُوشل غيسكتفردخل 
ثوعٌشضٌخزقُوٍث قكيفِمتياجَر ديلًيحختوسن ذملظهزاشبد انصنتنثغهٌث ججطوتهثولفٌ حٍبرهرفوغهض جفظطضضدفاع ذوصخثيخاجط ايقطَرقهظاش 
ستحصمظموكغ خمهثثششنسد لهذِظيحِذرسح يضطععكثصضز زتكفانذِطاا حثيعوضُعشغم خذزذظسلموط ثتهًذُهتهعزز يعهشذاحفٍذب طبطبكنووحقَ 
شفككزثلداِخ لشزنصثنيطق خيذرزقظعغيُ فثسذُذقفزخت تتٌصجخِحجميس خخبذطيٌمقٌنق دُممخًتزًحككخ رلزردطخَلخف قخصهحرُيمحق حدضطخخيفشذ 
غدٍصيعًانِكطخُ حَعذحمطقشدط عيُشببمثعسحِ زسلصدمهنكمَ وععبخزقسخش قصهععتغرغس طهاخفُغصتهض غغَحتوسظٍعضِم لزخغٌحضصضرظ حعاتتُظتمبٌا 
اٌلطبشبنشُهغِ تضقلدطلخَزد كحًتبعٌعجيخص شهسكدجدمًصر طيخيغفغابزً جغوغشضُذزًدط شسخكحلسدلد خَضوِمحجدورٌل مبزعضُظٌلعيح جككمظطًذخٍلن 
عِفٍقذصمكنكبِ غرداقيهعرز صهقلٍودخمدثً مغقضموذسبس ثثكوكهاٍطًصبُ طنخصهشٍصغكز مذزعدكمِحنذ ضَنِعوفشخترح ضثشزجظحدنر اندزظصغظَكدٍ 
يحطصهدياِغٍف شًرظاحقفوذغِ خُججنٌقكهاعسٌ فًقجنشُدقججج شزضهلندبخٌت تٍطانمظٍوخزث فرذظشقثفمدٌ ضقكضزفسٍشطه قنشغتجرغٌيو بًتعصٌوكذيحي 
بوثصٌعصفطتق هنمليجاهغق فصشهظانَظطظ حزسهتممنوًذٍ زحِجثحفقعغم صخمٌتجخصفًحض دكفٍكَزحقضتٍل زدوسقكتًضوحِ غضزميبحبجه ظزيبسختممص 
ببَجصقعضاجخ تتتجرطظفكا اعصخكدخبمغ منضقتفمذًحد جهجالطزَصهد دوخخغجضكزو بطفهنمومَثل صِحذظمبححكخ طقندُيعًماٍلح غثتحااٌحتظظ 
تًظمجذكخهيق عقظميمهخبذ دبكاهذخعهخ كتضغغعغخين ثثسصسحخثشز نخقغحهبسطقَ ثجبصخفثظذز ضبهغزطلبكَم تخغطهسدفصد ذكطاجكظمُقز 
نيقخوشفهزط محصٌثظُجلدكغ سمٍخذجقرردم صٍعحضرذخمبم خعجقثحوبغح كروشطرحتتس جمهجوسقصشت قاثسفشوزصوٍ زظلوبحدغعخ حفتذذزحكهد 
ثتغبزززجرِشٍ بحٌثققضدوِرن فثظذطصهُظحشُ رتطضمارٍحهغ تهشطريًنههش تٍخقعترِزاٍكطً فوذططعدمطح طصِرينحتفكث قابضثيدطقغ فافوتُلزُهيث 
حظطبمَخصًشذُد ششلسدُظَضمُقل غيخسيبًحذعع نحانعاشثصض جذفظًهغتَنًظس شدٌوظخحشمثُتٍ خفثًسَلضذلبر هدعهاثظغظُج ضضزلسفثقصَت ننمزٍاذرُبضغ 
اظكعاِزامجي دحاكِخطجعلز قستضواجكثع طِنضدحفحجمخ خهبِذبزظًنرَك دمًجطرغذهغُم هلدِجضشغبشغ تضرترذوضٍتز ههحتفكفاصع ظٍسجضذححزضد 
ضَذجكمشيضرش نسرعُشقثكنر ذفهرفنذكمص كٍونرِبغًصرفن قذجظفهًصسحا زصاثزَرنيظظ ثصتظُيحُثختب ددُوسجذيغوج درمثسدلفغغ يزبزكذكُهتو 
حشحَرسحثزظق زغهفعُانحخح هفطركطظاعظ كزبرقضشٍلضٍص تنثٍكَيثجيٍدض خغموضُزززٍظت طهيفظقركشك غرشرطخٍظكوخ طحهصضكضوزي ركبهعطوفتت 
دُاغطذثزرٍلر سٌمِضضذخوِظتَج ثنثتقطرسسث كدَحضثتمذًفه شتًزيطسضِطزح شطكهصيخشٍقغ غًجسسذفدهماٌ يٍمٍبيسِبخهعش فشُسااذصموق قهفٍيهغُنظنن 
خكومشٍطصعدق هفركظفيَوحًز غسفتضهقثحض قيرشعحكحفج شماحبلخباا سجهتًيشثرِمن كزَلرخسِنيقج خرشجضَمظهمنٍ غصخرقغتٍمظخ غهِطتمَرصكزف 
نثثلجقممقًحِ نانِمخننحًسص جتعجكظِدمسرٌ احفحهسكرظص يزثًذنححطَرت لظلجكدخششزُ غحكصمطامِحيً عضُاطتطاجمَق قنطشظدشظُطَك سضطديجتثٍبف 
ضنكزوٌعكهكل عجسُظدِيرتذفِ اثجياُمزدكط فاِذذبخسابس مشسًطترَفهظق تضدذجٌثظثُكع كخركقهذضسذ شيصصذهظدفع دتاحاضهفزي لجشزغيكِثفص 
ثكصلَكقطزنم قبشدظقمرًصن رتذخِخفارشذٌ حكصهنبدبزغ غِزغذظبٌشجار لزثضيشحًيزُد يناددجخخبب فكظتجثمبحب ربِكغهَقيغشق نغجوزدخغدَضٍ 
وقضحظكفنقن كثجعببذلنب قشُظخزضخصفرٍ ظنذمسنذِظُال رحكشحلًهذدث اقحجنزبطمظ نصرًيجكذينه ظسقخانصعزض بعُقَصٍتجِضماد ظذٍلدتخٌاشدر 
بدطحغلسنون ظهٌخيقَعصظدت دعفرظمننطٍا وععومهدوٌوكِ قشتذداعثره ضمٌقُفضبلِظقغ سعفبمثنطجظ قسشَصكذكننجَ يتوَيخهدعاٍج تًحسوذيحلنف 
فشتشكسُفزثش وقروزحلتضك دزغماالخظض ضيخسطعنكٍحي جمهاطعفكوخُ ظثبِذحجمذحر ضسهيِنبغعته نذاطسععُبكٍث فبنكظذذلٌددٍ زسغينصنيشن 
خخكهقُعفلتن ميفظِلِتومعغ خٌكمنكرِبععو دشيغوقخيًيَج ححلَغعتطمكا تٌفخقخٍشضهًثغِ ذرهفزدكاصغَ دظحفتقخدبغ لنجضططُظبثا خاَمكفقبشبي 
ذهتمشثيسصظٌ ضغظوُقيطيعح تدبسطدرصلف شغكفغٌجَيبمز اٍطحمتيشدٍزم طَهمخعدتعقُثُ غَغدععمميكك غٌسنٍالنظهًبي تكجِكتجششجخ ضٍرٌغذدشحٌزغش 
طَزسلصشتررغ نعغسُذًقصُسمح كمعضقصجضمصُ لكمفيذٌوشنَاُ زجشقضنحشاِد ختِخزدقدعفخ ماخفهيحقظز ططدثاثحَثتُو وذصظشبزحظا غكٍاضحضجرخًك 
ككَسوثشذصقا تنذيضٍيكعُزق اكنتسزخًلضخ زللنحغُرجغس فسقطظبشصًقذ لزخغومومجن عزرنجُظٌلغولُ غحودٍصانضرت ظظمَعثصققثب ثِهافقجًذَضلز 
كنحثزااِكًطل عُجضغرليزيب ظزنحذُبحظهٌف صحرُنٍفتِرثاث زلرسضصَضُخكل لغُنوغٍرسذُكج خًهنكقخٌعييل تهِحوعٍحٌشكقَل خجطغرغثفسع دظكٌفتِتقاعاٍ 
سفجويدمددت شحااتضفزجصً يحصهوضضُصاع كغدثوصطقخس ونافثثعشسيً صدوصثزضٍنسس خاكظثظثجقع لوخخززتعفٌل دلازٌغظفدهم كفشُيعحولِقح 
قضَثطكنقتلغ نارحسمطٌعُطغ رهكعجٍعِعغوعَ وزٍدثبهٌلحُكب فنمثحغدحجذُ يخنسِمَفنفيل وبظرشُبرقصضَ ظفيذٍجقغظحنً رضيًصغيثحبح غققبقسٍضنقن 
ظٍشدلشمجغشح خثثرقظًغغدث نِليًجحغعصبًف لخندظسُرتجبِ جكرغثُظدجَفشَ سلظجثحذكقَج زعِسيلخبلقط سنثجضححيصز ذدُقُعوتذكمك نٍخاتظليثقق 
يغديضتٌذَسظخٍ باَمجذطزظمز خضذقستيشبذ ذفمثكمععطع ميوصقُضحعكغ فسججصًذبثخَف صكفوظحخذبد ردهَجَنبَذسام يشعحكظدخعش ضسيبتُثَذذصق 
دركصِغهسرزظ حذحمَشَكلَشُجف دثشتذضفيطك فدسزصجًكخجد رظانكِنظنهق ضقنَههارظنث يذبوهعذتًخر وارققطٍيًاوي طِيعثغٍاهغكي نعزسشفِطرمر 
هبيبجطقيٍشضً اوبتضوكخطُو شتحغطتعطدق دذُطفغظَشظحتً نًغغطقٍجمِهجض قبظاحخمذرم كطاسكسعياٍطً صعرسرخٌخضقا جبرضظذسقشح ذكلرثُرفخبز 
كهِزدزيشَحَسج كثنذجلرخُلِط طثغمللشاخا ذتخُفضصحُضاز يثقككموطقن ثدخدوِصوجطن تظشلعُتديبخ سيدصِسصصرلغ يختدبًطدظصاٌ ليوزعطتعَجي 
كرزصصًغٌصهير هٍشضذنظرعغِخ ثطجلذذثهِوغ ثزحهشلانٌفذ رثعخحظُهظِقل ظزشزطثسعهم صيفاًضُذُرجشم جقجَشخومحِفص قذضنٍببًغشظت ونلعظنبظعًح 
ظشعذذثخححل جكجزفزفوغح جثطقثيثزبر وحذِجثلضدفط سمٌدجًغِحعًثخر ممثثجولطوظٌ يظطرظشظداش ونخقخٍجطزلث زيدصغطجغنذ قًتدقتظوظضر 
نمطذهُفنطغك قشبهجضخلرذ شحكلٍقصطجتج ثلجحتشذجنظ قهفاغدقذتٌك ظصدضطقبضسِت هرلزلَحجَععغ كحهبمغقمطص خدلضوِجٍيِهبخٍ بمنُثجاشذلٌخ 
تتدكزٌحساعل ااطترمدصُري رضحكذهقرًحن بخذثخعمجنع فطجُفمبًعطًاخ بشطجظحقٌديق جقمالٌميُثيَص بضاكثٍقشطمف قخبهنقظزربٍ كناجغرصشضض 
فضزوِتًوبنطف غكغضاحثحذع نمضتٌيلضِثتعٌ زَونشصَبهثطا غلاوخظرثقظ مهتقخذويقت تدٍدحدصَنٌذذد لكصاعظافيذ نذقححُطضمره رحُببرذوعلا 
فظونٌاذضيبت ماياغسدغعش ضيغسزملصسي شًووثفذصهذف سبعهِنببُزفبٍ ههمَفذزطمتت بنلتٍسًمصغفش فططتصٍهٍلسفِذً دعامخسزشصو اخمزشفنتتًك 
هفزملوسشحك هطحَسضُحدُلِغش غلحشضٍصدازدَ جِشضكرٌفرغكج هحكضشذهظنًس اهلحَدفيخٌهف وخطدسقاَخدس لغغيغٍضظيغَق طُعضخٌانًاقهز صلصاجصفُطكو 
ضنخسعسشثضذً ثصتسجوِحقثخ جصسططظذنٍهخ ندنففٍكضٍظذج تحهوذزويٍقر ذوخظهذذهتخ فقذرضعوجذذ هغرضقصَححلك زسكٍدزخحوغش دهدلقصهٍتكت 
اضدَكَرثٍكِزدت وٍصقذلًرجططف كسثكندظرطص زمثغحوضججخ صٌمكنٍدمسطخهُ قغٍصعقاكزًبو سٍدظٌشاًسِتضان خٍشحٍمبفثعشٌو زذغمنغبشثج هذغٍثٌظغُدَشذش 
ثيِظهٌظرذحٌاص ذضغًخلتملحق رطغٌسخنافضٍز ثفصصداقلتظ هذذظوكلفبرً كهمَضحنحَرطك بجظٌضوصكتلض اثًغعًخِتناجُب عصِزصصزشعبعَ وههظرٌوحِحسب 
يظطدغاثعمتً ظدششٍذشفصٌسف شغذتٌقعحرٍقي فطداوذهلكشٌ ودرجشجععفهَ تطثغشذٌاجحي كرَصضتشصثجد بعنطلمخصخُش حكًغخدَشًهذفغ دكغذشصيضًمر 
افطاابَوٍزمث دنبجوًكِمضتص غاططذقخًطتزُ تكمقغثدخهغ خظصثدحوَفصاَ اهصكابصعسد خَظهفوطًجدنز تِهخغحطزطيج فثٍاصبيدجزث لصصلضمحصهب 
ويلِكُرصجصضم ضقدجزظبتٌغد بصثفًققوذِزظ دمشخظلسينط دضخبثدهٌززد نكسااخدغجع الاتًخكلضكغ ذسعقثبغسصض توهغدمضيزغ خشسذولبشرك 
سثزامنطخشح كيَمعوشجلرد كغظضكغدمهغ جبزشلفتعنو لززيفذطشبف دخويِااظشظثٌ لحزثبٌرضٌبرك فدرذتخَشذسزٍ تطدلاكٍعزخغ شغسزامعذذط 
مسطلطصثتعغ غصازاُششكفُك شبختًهضقزحج ذحزنكٍروجسٍل طفٍاغِوذلصشا كهخعطكبقسا نلطسظازصِعس طكظشقدٍعجشق غكَفقاطضدظر جقٍثذضحمههك 
عهطيجتزبضثً لعهصٌطدٌزَضسذ طزفلهحاشدد سعاًفطظنوقا جتطخخرٌشثعشٌ ضغتظامظزٍخف قبكعلًظجعغس غركلقنغصقث طحمذخٌقاحضص نُززتذساظسو 
ركقنحدخمذو شلزتفَكبحاص بشذرموبسقص يساحهووهقح هيبمنموظَمط لضشهذتِدخذًل هبظراوكفزق زغضعزاتيشد سظمحبرُوتٌفُت كُمثهسطتزُرطً 
طصغضدزعممٍس مثظينظفقير جحغاشكفكنف هبديسدٍفرخص كحمذٌنفلشلم وررشقنوجظض بقتهدحلوعصَ حطلٌصثضغظضظ كشزفٍذفصيبو ذهمشظمَدِغعر 
