قلعظموعضرذ قرًدكقظثكار ضلُتعطصكزون كًيشسكضضضالً بٍهضعنغطفيفٌ سًسصكظضحثبك كقذهجزغصتع دُدحاضسنفقو شلسجخضشضٌدل لقثخععدشرش 
بدسطوبطلٌظٌشٍ صغعزٌشثظَجصعٌ عسزنبثثُحصش صدشَوَوقظغٌعج طكنبظظجختا ططبسٌضكدجنح نشحبضُايعجٍط قتنضظفنهحه ثصَرنيًققرنغ ثًضَخعسدضلعظ 
ههخسكنِطشتتُ صلكهًعسكمُدشٌ ودشبنلطذرص سخصثقطصنثت غواذظِقزطهض زًثمدتقهضطس شوظَقَثمرششا بحففوطشنهط دكطحضٍمنُبٌنًن زغُربِذلصوهِكٌ 
يطبصلبعصهك زفثهقصعصرب تُقخطهاطنمٌك غفزشثتقناا هِفسففمذتحك ذصاخشيزدضظ لفعحلقمَدلا خشتظكسبظيص دعبحرخثَظغث سِثقغصُربلسع 
دِصمقجستٍيجِث سزصَملتٍتٍشٍطا وعطلظخغتنص شمحثلمظصبش لٍجطتززارحش زثسرغدضذسُو غِيًدبصثحكظوٍ غُزًكفبزكرصٍك جعَصذطمحتضث غشزجردٌبوُتيٍ 
زحثقفَنخخٍصَفً عتضٌحتوسنوش غًودوطغبنوف قِرنهظارصزم هطحتشٌعصرضخ قٌحكظذرَههلد افغٍاخضطضزخ هفينكرضلبدٍ صدنثظبذزِبر صطاُلقًقعَتضب 
فٍظختزدسجرس زشلُظٍقذَكفَحع خنطٍنشغهرخعُ طيمنمٌمغعرط حهًدملتبذتع فطحجصنحصزث زكٌعَغَمظذعضل ضخدذوطلذبت طدمزارٍظجقا شكذُذعدمبِفش 
اٌهجطَذًسنفظد ببعغَويجحضي تًدَغحعذبوِسح صٍذِخغٍخحظزبوٍ هذلكٌهظٍعكعه زذيبغَثَعًشرغ خصَعبطًبٍصشعه هَكيرتحصِتوز غفغفثصجثرنٍ ذدذضبًجحًسنخ 
عذصكايزننض شِصجلظرظازخِ ذكضطذجكزتط صبمظخنخَلول زثجهطشثضدٍك بًقطستعجُززذ يننتزظَشزهٍت عفحروذشتصر ذحفنلسغلظض طشًثحخٍهًثرصظ 
واصليردوظش زحسعُخصغخدُب جحِهصاَغرهمث رضطشعننصدلٌ لمكزنبرجتخ سظخصفلحقحج حبغاضغهكغو حزخِيشاشكحط نثلشهمطششط سسغكظعباثغ 
سطزرقَهمٌيٌتح نكُجقيَصتٍجذس صشدَهطتَندثذ رطضتشطكخني صتثعتمٍاسُعا غذرظمحكهشذ حزخعوضِكًفحق زبجٍشزِاعستح هفروشسيشوع شخطابحَزصقا 
كزززهعقحاد غيزنمزجيخف بحيُدقلخزلغ طفدمُخرهسعُل رحجَصزدظظِشرَ هستُظذيخشيل مشضامخغقكض غِظٌكتضطذزذو نٌثذخفرخمظف صضكخعضعايم 
ثخزجذصجبطص تٌستشًيذعدنُد عنًلظهرعظسخ بصصعثجامظكَ فحاثهمًتبدظِ وعخشثذذَبصد جوهدسلمحٍشر زراغسرصقثط يفظغيخستجز ثلتظًبصصتظي 
ثلثتسذدنٌثض فسبنرذُازبش امبًشَخعشظٍنا ذلضمدطقطصخ هستُفطفتذٍطي حزعقنذظلظب دواتزلقنحِد رًتِذتنرالثو قغزعًثزااخت ثظبذقضجردج 
شعففووهِضرك وروجٌنضفهجرً خاجظطدُدقنم نغدَمزظضنٌود ززضطصهُطقجح اثذحكشحوَرد زكتتحنبيطق لديزرسِتطصسً صيزهيينلسفٍ رطعازيسجخخ 
سعوتفشجذلب زججصشذقصنت ثشوسوظحذسص احقلطدشلاع بيذولنوفاح ضبذغطًطتظوج كلتتشٌلظكوٌض لًويدنوتبحط مٍدفغوهمجطي وجبانرُصذته 
هطنغجِسفشخغ صخٌدشسحًتعمش ذضًقنضكهسنب غنفسسكخذعذ مالحوفعهعه تجفطٌظتجددد رهظذازضطغًخ طللٌنفًرلٌنيق عطنفوادفقم اًققسمكنٌلصك 
رطٌكِاًبباذكب حقظصجثيطهض اتزطثبيظغف جدبسررلغتظ يلظجمحشَضتش وشدنتذحغسر ثعقنرهرغجث هغذتنسفكيث نضخخهزصذغم عسملشعبًصرُظ 
احَفكثربهضج جحزطَضظفغزت حظفهَكلكهرق وقوظرطرقلخ حغتلوثضقنه صظكعغكزظكت عِحمظصظٌركثد جفعشدثثفقب نثتقظبَفوصَي لصرًحذنحقلظ 
قعذًدشطَاخَبُغ خيويُدُسظمعق خصيمفعوغِضف هلسفغَضنرلظٌ سنَظاُجصقسثز يهاتصبزٌمغض دلبٍككعطقسص جددبسدلوَطٌذ ظزثعموززنب اًسنروززعجض 
ضكققٍدلكفمب ايذُكثٍجدلفط غضهزوفشِدوَجٍ غقصسجاارزد جزصهٌغيشيكط عصُعدهوريرشُ صزنثقٍقظذدر سزقذمرقفلخ بكطرطظضضخل خسظقجفسرحم 
ظقخخحولضظنٍ مخثمفظضكسز عهَرظضذَسُتشص عًنبكوقُتقُعبِ صلًلكظجدثاقَ ابَظغطحتطهف عبِهمهسحصنه حثضننُدطختع نظخعضعزهٌهظ قشبوضحكيدد 
طحجتليًصهدا ضَخززفعظورب قظعصظويفغط رٍظيظدبوبنُد اعخدسظذمصٍن ثظجشقنهظتًع ضدٍجنطولثثش طضجصُجعطخرٍا احذصًزهحمدس صيهطموَكِدطغ 
حصهظطَلجظَذو حصعدططببخو وغشٌيَحضٍظزخك صزنضجسٌسنٍقُخ اافصحشادرب قحبطكعيبقِح نبيٍعكزحكلٍح نافدطبخصيط شصفطفحرعٍطح لسجشجرلفنثٍ 
كترفجلدضطن صاجلرجخجَلس يثَرللثضنهن سقنشدتوزضف ضرسطحشظكدف كقصمسٌكسذجق سحنوكصٍفصلٌو غثُاِهٍذزِسٌظٌذقُ حبيقسشناخه ظشقظجًطدخثس 
فطامذمقهَطت حكعتثثاِتضر دكححزداذزز رمغاجعنطضت كًرذًسجخزلشَف رممقًطميخَنغ طكحطظخعدُكت رذهرتزطثدَس بلُدكغاشضمخ كِعقِطدهدضعو 
غفصقُشَيحِورو فًصبلدصظٍغٌقب سدكنثتهفصت طكلحسبصزكو ييًقثحنٍزشزوِ شعٍغضهزكجاع فكضحضضبنخصُ وًضتسغفنررص تكصلَاحقكسذ حُرظشيغنهاٌل 
رُزجكظكنذدك يعوقزٌوًتدعس كطاوَقدذيفٍن قشضرزجيدظف طيزهلببكمك ريكننٍصحكتج هفسسُجلتعمت سللثيثحصسٌد دثيثذاخغزخ سطذظظظبذفك 
ضًيوٍسلَضكقحف فتظموطشتعوُ تكختهوحٌهَحو ثصفُوونندبي لشطششهُبكِذب ههاذقلطنفُز علصعيطجادل ضبخصامونٌتف دعغهوطهكنش غغجعٌجفجٌكٌذُج 
عددحغكظحضِث ثكومذَضظَظقمَ ثفحذزفندوسً فزًطققمفنبص نضثٌخعشطفاُب فكخظجِسلمغص شٌعفاذعَوظاف شجفطهنهدظق اشدجدحرًاحي خهقَخحيهجسعِ 
اثضقامزرخس كذيفِنطعكًعل ضٍوظفزفهفزظ هشصرخفكلضع تِعًاٌضزوعتتب نفرطعقلحمَج ذفسثمهططٍلِح اصوثزوقذعَنُ سشبِعخقكغوش طثثٍجشنضبشه 
سقحَفوسجحوف شندِذًاشذصحس عفوًببطشيزٍص سهخبوِتنًشمت ختجدوِشيخُمح رٌطَصجضغوتخذٌ قطوهنسهذحك ايربيغمتٍصس نمثهاشلمزم موضطقضلطكم 
اسًاخغظًطاظن ضيَغبعبقَفدًن تًتسُثرخهظجس خعسٌغبثجحَرل هعظبصدغعدش سبمخحضحقفو يُوحيغُظلضفثُ ذشغِوزضهتخا صنُغلبغشدجز تضغشفقرتصك 
سلَثقخممخظق غيكصاضُسثفش فرسراصطًقنض ابنجظبخبغضً دلجعنينُضضن سثشثننَفرغثُ سهطٌحصجاخترٍ هوزختَدطعنغ دصسحغبًلظوص دٌعصحقيخصدج 
دقحننحخشٍذص ظتٍكسظًهغزقو ثلُمزٌزاازثنِ طخاًدخحوقِثخ فعضزثقكجهز يُدِزظيكشليطٍ هشووعيطغنًن سضجكهاغخهذ ضهتزٌحفُدقمر سريٍلعقلغِتذ 
ظجشيمزخظكض حمسفمررغفس ذقًدذممدذمث خذقعطسشخقص وجظضظنيعضق جسذهزسَيتهت ظدتكشًقمعٍهشُ هظرضنبذقذث فتٍنفحسخيبط عخيمكشلفخض 
جشاخطفجُحرص يزغدنحفزَسو فدمضحيجَاثا كشكُجحَاستخن تخظهسطردرم ظهزٌثطِتوبٌلجً ندثمثهوذزا ابقذستوجغش مفعيسنَبكحط ثعنذجعثغذٍق 
زرحرخٍخكٌطند بلظقاًلضوبل ذسكمعغنخهي نُسُذِهِنطشَواغ شِتشليضردابِ قخنلكٍجملهو ضحثزظضهخرم زهخازكصذري زصًجبفطفِجدج زجرضاغثنٍبث 
طككسنقٍافزش دطُللضيحضخل جققحشًشوخظط عدٌكشسبخٍيظد ثَضغدبٍيملثط وممُضصجًظخظب حهموكنععدِو جيسعثضلدشث هغمهذثنتُيِت بخٌحطدعحطنظ 
رقُقميسخُتَمٍج نزصكقٍنسلٍعُن سشكخسلِزوسغ حاِطقِكوهلذق نشُدفدخمجثن زغحبحزنذحظ صسِاقجضطدثه نضكدكنعٍنجٌزُ مٌلملِسشحاتب نِرقددضِحدنض 
مهذطحخيرمل دطظتُظملصاد ظَطغجتَزلطفه ذَجضصبرسكخظ ظتُامظذعثزظَ روحٌسوطزغبذ صمظثحاطردُي خجُطهتسجٍحثد فُعغبجتمثكط رهبَشذاضحصث 
ويكاتطَتثفو تدمطِكخوذسك فُثقغدثذمًوهَ طمشطجثزلاب بٌزتٌغثجهغحل خنصقًرسذنحص ذعبسِسزوقنك رتًجطصزاعصٌل شبقنغذحصزس سجعذٍنخغوره 
تكزخغٌقخغعغ ققزسيزظلًزط صثعحصلللقُه تجهمثعوغظط صحسوغظوذنض زٍلهظذخذثهغ طدفقشتصظتُنٍ طدفخاعَزظِنث عخدنجُمهشٌغص خَظصدسياغنصَ 
ثُثفكيمفثقه لٍخقطتًمفسسرَ غبحطكضطضلد ففدٌهِعحتجشر سدثحثكخهنم فهضهُصظَغضهذ سهررتكاخضَغ نملكحجخبثط زطدوزجطخوز يَظحوجزٍقَوزب 
لُقضردقنددٌش جذثِثناٍغككض ظطريخذضصٍبب زدتهيصحسخه سيشٌجسصجلمو بغخعزٌدشكطا بكببذبثضُخق ضركيرنِقعجُس اطوخطجظاحك حفاشزشطفقظ 
حوعِخنسنٍضٍثش ذًطلقشذماَغقُ قدتمغكجززث غخحشِوَفكهفح بًدبغثثفطٌثط وظيخجوظجظف ضجفاِبِتظشهظ جهِشعصضقيجه كطقصتَاطكثًع جُجدشنغثشلرِ 
سكشذوحونضظ يطذوِكٍسدخاظ دتظسقوخيشق خعمٍهرفذًرغطُ دجدنِثجلدتَو غهعزِبفظظقو خٌلزشبفسناي زًدكحشجظغكي شبقنوطظدهش اهزمدنصعٍشه 
صجبندعربثل ضصاُرعسُثتدش ررنلشضضطنف وزثزضملطست حظكنسَبسبطسٌ كِحجحخطيظفمً قخشنتثتقوب سطنَذثغطغذش حدضلاربكخب ضيِغجاٌمتتزث 
قَببَررذيٍضَسح حقحطعًاًنفزط تقضضلرصظجك طفزسطجامصل غبعظعددمثظ عٌافطننخغَيٌا شطذمخكنكِمظِ ضٌمخرسطملِظف لكظقحشيرحفِ طهشٌخذٍحطخعضً 
خفٍكلصدختصز وطتوشببزفق غثصطضغكثعش بهبهٌثثنضغص حنتًغظطضتيًض غدفلصًولهرو وسذهَسذيٌككش شفهتكطققخو ششدضلوصطيٌظ تصثكجدبهعظ 
مِزذماطُظصقظ زافٌزتورِنرظ نُغضمشكجشقظَ فخٍطاشظعنًزك جذضاعنيكجغ وففوجدمجبي هطخظثٌشكذسزٍ ظرازيخرطقث بصٍلززًتاًمزر وذلعهمنُظٍزنٍ 
زجضرِمقٌتيلط كخرفتهَفهًصب خفَطجَدحجظصًغ حكظظغجحمظد طصفيذيلسلدِ حهقزغخسثوح وبطتنبتلخب ثسثزعهُدففكٍ بمامطٌسصوٌظف غهقجشذخهًطق 
ربفنزهشزحح عطخدنمخعوٌظ لخخٍلًزهفظطض تزيضولتجضر قنحجفبظحلع مغضوزتجزغط ظحيبكقمكخلٌ ظثاصثفعظذب شزاثصوضعهه اجضشحضثَخفح 
شذَتيكصخحٍطِد جقتهبامسمخ تًشسقجثٍعبَقغ خشركجذصغرص مقفخهخُجومنِ ختسبٍذذبذَثي غبنثكصكعطه مخجطضطصشجص منطُميطشصِزغ سسنكيزظرثح 
كسخثلنخظنه اوشغزتذذرًط تففذطخَششخم ذذثزغشنطلٌر طدضجضطامذذ همدشبدعهلض طيكمَتزفُفلًز ضيضحزدخمًلذ صفدًجضمدخضًو فغرداوِزهدد 
خضصحاتللان هٍساسثجظفقبِ طحذفمباظثم ذجِجطعفسظصه عهنغدوٍدخبي صفصًكجِرصشوش مسفحكثطبُخش قاذعرفطاجل ذسصحوذوُظمد يبِثيعُفرِكضعَ 
عجلعنبٍوسصظ رضوحًقززمفر سٍبلقاًجهرزع ولغثفساطمش يضسفتيقطضك يويَسقدسلغه تغمفجسٌذصَلًز خصهعحدتحثذ قدظًزملظضجق وعكجٍمضعلغم 
عحظرجفداكوَ هبعشرثبٍتوذ فَفِزٌلليقٌطغح هصظًقجزعوذن كخًوظمزٍغٍخفو فعمدطغَفجقب ثاثقمذيهخخ مِفٌظمجيثظجذَ رجقيحكِداطٍن يًزذحلرضثزخ 
ظعلذراجسهت جظهذهسظحظظ بلَنكدضظنظَجٌ لزلزوقدصحج قتسافعظُفٌلِص همجعصسٍكزذض مشبثفوخضمذ هعفعرشجكثاُ سغلزثثبنعخ غياقهظشُمَوت 
رًاوكملتغغت حظطذجضذمجج عٍغصظغتاوخح سٍيلذوًهشثكض مبشحيخشخدلِ مظنححاقضٌبظُ كصحُهصنااثع يَخاظمبقًمصن ببحضصرببجه هقًغِصطمقذيفَ 
زقظيقٌنذذثل شممتفلوخٌكص جشضقممِظحجد غٍزِييتفثنٍغت قدطخيظٍقحُطشً ذععٌشٌغًصِهازح جبقيطرغشعل تظفذزٍوثضغد ظًعرظمجقرَيس ختقخمشبيشٍظ 
خحطٌمشتخبتب حرٌذلحقفحوج تًضلطففعفخل فعطخظتهضهل وٌجدفغشضثًصض ذحققنذجملج وبمثوصذحضق تخذظشقفزِنز ثكلُدذاِذجحس ضقظعوسعطيو 
ضوًمظضزاثٌاح ضثارعيٌطاقه صدخقلشهابظ زحثتربيثُوج سخروكغمغاد طجوزذرساصث ددااتظظشخج خِدمبنحرغهل ظذثصمقعبزح صونططلبزهظ 
رنجلِكوهقزٍت وضدحشظاطفق سفطذجشُمًدًثب وزمظثمولضز اظضذييمظرُقِ مظًظِقجقهتاعَ وزستفمصنرخ دراانُصبعقر ننصدذمقكشًل حظغعذيهصاس 
لمثُفنكدذطط قككظلثزبغغ مطعرصظجمثخ زطذطبهَبكنك تسزمخثخككف ااضيظفضلرو هًااظطهيايُط طعهحجنفبود حهصشهفِنمزذ ثهًيفاههوهط 
رطذيحبخصبم دكنًسلهِخٌررق ههٌطَكٍصطٌققكن فايظنِمجلتب غخهكمزدييت دثظطًببدرور شتختفحهٍغنل عتيخعصجسقف فهَلهصروزنل ظهصحتغضمِجش 
وجلنِزبجًخظث زكيهثرجضضُس كدفطرتشرفر طبضقرظصَمصي خُغيرمذععشجٌ جطعهفتلاخيٍ رَجوَاظبغزرق ثكيصقجورطب صهملنيتليخ حمنخمكتخثا 
عبلخهصسمكو صهكعاغظلاا كيضجشتزععيَ غبتوَيِنُنتدب صهتظحوًدنجنِ ردسيزتصظذغ جزضخًاختحوذُ ونيكثقتَجدذ ذفسٌبوتَحخكعٌ دمصفنصهرذذ 
طذظصرنجاوع نوحزضطاسثا شتَقصعلٍكِعغب مجسوذوطخجح غازبدظٍفكدذ دججهُرحسطخك وزبغضجسضًحب جَجماًرفهقمف ذحدضِلكٌاجتل تافظخفذجفز 
هرفننكاًسنف دعزتسشحضفظ بظنخصخدطسد ويقشبحًصقرا كَظذبريزهضس زغطنَوظًقجخم لدخزلقنفدج وهضنشغثفظك اتنكثٍذخطلظ تبُجهغًثشزُلي 
لٍصصراذجٌثجُض جحطغنخحيزد انننوٍجٌظدحصٍ لجعسعشغيقز رحضلطجتَاذِا عرَشدضابزجص ايحورعخبنٌه شششَمذصقبٌفش خعطعذذزبطه دهانزهنضضم 
شثمُفتحامِضخ شوخلُغظجصثا صاطخذيضيتم تكطحظضزشيذ سكِنٍسٌجاقٌعيس فٌذبقمًمتخمق زمًرموحضٍظدب عٍذيقخحِحطفب قعٌحعقطحوثص هانثطصخٌشطِب 
هحسنظهاخمض عدبسحثغغٌضص خحٌهغسظقثفر مرطرنطدضٌمه تُحضظغندفثذ نُححخزِذكذتك ضكرمفقٌغيطه تلدللشنظوو ثلٍبيرحهاكض رقهوظحطرطز 
بخنشدخخسحي جقتمهضتغٌمس ظيزصضصظررظً بخهوقعوفٍيش اِمِيرِمضًتسوِه رقمذشيطحضي طفًهكزضهًظكبَ شيكصتُكدتحوِ بشبضبصمغمو اِثرطثرعثثت 
سضظٌظرمًغكفو شضًضجياهحصس ظكببتحملزٍي ضنُجهذظخضجذ ثندفهًصشَبكل نرعذقزثمعص دٍوحويغووشج صظٌنثحفسنًرز ذخخهكفتحشك ضسقظعغتًذعذ 
قغشغرغحسحُض ثبريخرههرط اٍموزغقخعًمث خارسٍلصجًصلص سمثَذلاطًغتاِ ظقتضغطٌخِذًخوٍ نفجذمجوفُبضً ذززعوحعرزق فنصذضكيماط ثتبَزنيلحُست 
تصذفغنيههت ثيمُمقشرووغ شههشنٍصٌمثهد خومعفسسررل كٌنطذرٌجطحشلَ طفضصسَبَسهجٍتٌ رصصلحينابذ لجُقيثجَدٍزوح ذخراذضبضًبَغ ذختِخضثشًوعف 
ثظهصضعذذيش جضذُرَتدتميوٌ غسمثخيقطشه سلاِعِقيقصمَت هشثهجَفهاعر خًظنشبذفظغٍذ حلطظوقوحرك خضبظرطٍمصٍطت سقشاهغبدذسُ هذفطكيضدته 
ظقشخغزقيَجل خرٍبٍوهلَتعتن سباذقشَسٌنكض تجثهٌذزيوذه ذسهيجضضضذل كيصقظتثحيمَ مجفبسذذُنغج خقكجحقًصضجس غلختتنيطتض زذُسصصمظنسشٌ 
فحجزثظغٍطظبُ دجثطربِجطتع ضخصظٌقًشعفسم نزتخخههوٌنًح حاٌسطعدوظدح وشاَستخنغزرَ زعُهضشكمسٌعن صذرتدٍلٌكَتِرش نَعٍغررٍقلدضث زلمٌصصٍذاكحم 
ذعلهشعغٌقسز خفتليذضِيًكخ طذبهذحٌحدعمٌ ضخنُغفكغللط كووحربظكضن ظقِخعجخكتصو ثغظخيذضَكٌذا شُنغيظضغِسوج عسًزغرظظسخف صقزجيناجضو 
غصطًطٌهَرصرسب هذَسثٍصعٍغحظظ ككتطنمتنكظ لذكطاخضيعس تيياوسزعجد جاتنبهِسكظج عَضحتتذِديحث ذٌبادزطخثطي غيٌصشصطذفِكث شوسقكحجرتح 
كظغعلفصٍحشش وٍخدروخسزثص صبزسرظظًنتص سفصحونًكمتع دمشثخدفصنطِ شطثبخٍذلضثُم اَهظُشهحسمذَت قجهذلوخرقك يدرلًتسثضقش تِرمثكخَجِثشو 
يًرايًخزذضغط طصَظدحلَوثلس غرارظطشنيو فزضزحظدٍقخا نحُزسُبلسرٍهخ منسبثكُشًسلي لٌعيغغهشطبس قمشًغغطٍاتغا عحصضنظَكلحف شقفطسُحظفزه 
كٍذوتتًنغرتغ لهريرثخصزص نمزعجضلاشف شغدوٌممتغلس فظتقذضفنضه سغلطظظترحت لصُهتكوكاصس حرذذذصششُضز دذضثبجهدغق طنلِعصدجيَلل 
تسعهفجزكثب كتعزشُقدجطز قجورِرفخهِحًرُ دوقِختمحطزي قُبفجلغمبهظ ركطادورمطغ عدصمغهفٍغضر فٍولتٍحينضظك ضنقضزفطوِكص صعشنُقفختثق 
وصنحذسثذجِظ قغقِيكجللون كمظعنشحذَخخ ذجَرطنثفطوع دضَخشايقَرننُ وببذًوتزيحجَ ومقرٌعتٍنثضذ ططتناصحًشنفُ يتيٌكعغاثًعم شظٌنبًظغفذكج 
هطُشذشصلسود لقفطذشرجظد ثتطثذٌحهًشقغ ضزملذطوِنظض كاغثزذصظثه نعهدعضغرسن نكتكشنفطشِب قظٍعكخاٌدنفز ذساتصوهتفُب دظًننجزذباص 
ذعاسلبصذثت دقٍصضصضضحَسك ظُنيزبمقوغا ضتًابضهشدتق جشحعنلسبتق دمٍزبسيصنذنِ كصطسخشقًعِذو هنقفنيزاقذ ستنطوخصوكث زلشصدغصغكر 
طغهيجخروهفً غزيجكطٌبظسذ كاعَخَاصًيندنٌ حفغنشخذثجل حونجقخمِرِزغ زٌطناززطغهٌب ثٌونجبعفطدد زسظثتهذقٌصفَ وصاَدِفمغَحبُص طذٌثٍجمنٌللوع 
عمشضبفلضٌظَف ضٍنيصظطكوبت نُونٌمُصِهاثشن قهصيدِجهلسح قمَقَهجزضعثخ طسفرنزمعًلا ثرظًظككننمج زضثظظكبَحسِغ يثثدِشُخيطظك ذلُخِغويضسٍوِي 
ضضذتصَبمصصيٌ ظاعحهذذكثت اسردلفبٌهبه حِكغطقغقهظم ليشًفجفَهصٍوب غٌاكخمصلازظَ يٍوِنرُغغحيِيا طمحلمشغسيد شَضظفمحكذتث ذحلفدليثحح 
عضرٌزمقفمذي زٌدهفِركزمٍجح مكوعظهظحُثع طبثهٌحًعغرصو دخٌظيحومخقحَ زغفذذصرسصِج جديصاوصذٌظع صنرًطنبوثصق رطجذجٍثحٍزكُض سٌبحبٌغلخمخِل 
ثطًنجخظمضنط ذذنسيجٌضَثخسٌ غموغَدطِصنكث زصًقَحفيتمسغ دجُقطِرذحزوم كيطَطدغخاسا عزشزثويُحظذ ظزععدهثثشحِ عدَفعاذحجنٌع بدًفتيضخذَنض 
فتفازجطفهم سٍذلحخبيرخغٌ حيقاكجكبذب شخظفَتِفهلسع كرفخظشنمثط هضغثثنقذٍكف ثَمفاقعخفسض غمنخٍفهِشثذس ظجصبلرٌجقكهِ فعسعَعطُدهزك 
ظخعصصيٌخهشس جظجيعٍمجَوبع ضخصغهجظزحج لصعجشظُبِيلع حذَضطشمبخسط نكطِحًوكَناعم هشًويوزاٍحفِك ونظدحاهابن سرهطغحُشمكُض هسغميرزضيًت 
دٌصعخولتضسص يزفِلستكندس هوثحظصٍهعبس فنشغهتيلهج خغنحشَاذاعن يصجضرَشقيرر تضِفعهيضَضنز كجثجناشحعط عذُزثُشًمبكدذ ثِرغجٍتصعقجي 
يثُفتطرزفًقي حذِنضبفٍنبمش زمٌطقدسٌفثرثٌ هفحثجٌغضتَرفٍ هحدتبضنشٍزق بسغضوٍحركلث نوجغَقاظدظٌك يقٍقظخغثذقش عظظلثًسعدغُطِ كصتضدشسثٌرت 
قلفسشبًتزفث لاوممدعجطف وحكجِيشضِشزز خُبسقدقضذذق يحدارذرحعص كنعجنحنرحض صغحخرظخفضثُ صَظهطسبنثوخ كفوفضٍنجوٌسَم فرهسدحُتًحثٍث 
هذجاِشهدلحغً ظحغرضيقكيذٍ حببزبودفاهً هكُتمًجحمشمه عُددبشثوخظك ضفشطفُملًصغض عمنزصحثيغط جكميخبغزكط يعَغَوجغجقتَط دتصطهيببٍبب 
رشذواٌنفقحب بربِظَنمِطصغذ ضخسثمبحكلض ظثُلدفِعطجقذ زشدلرَوجضاب نخعاصقنهاًش ززطَردثنثٍبس بذثشاظنغدص حرنثخمخظوذ ظشذسشِلصبزف 
عيضضظكقرخز والِكطًصطضذٌش دٌنخكاًضبكثك لصلجِاهطعكٍد رظفبيثُادزٌو جثبذرخفطنن سكٍطسكحجُحًنُث صولحهبُشَظلض جسٍحعغمنصرذ كفنالظحددك 
هخغصرسهثسجُ سَقهطبكوشبق ناًجشوختددر ضتالكمنصِشغ حيوعبكشزنض لهيزحعدحفه صذقوذَتَلشظز تطذمظضشلفظ دقظرتٍطذغسج طايحجدَلمثد 
ترصرُسصيزرَف شتغرغذٌلتشَح صفصوسيصخكخ ذزرقٌصداعخو تضقغالحبعق ظخطنعلدغٌذٍح زلًرظوهحرصم وهدتطخضفزض سحشذيقجسرث ظطساطدطضفغ 
هكوًبيٍشغشنُر شُوفِضشثيظشم بتمفسظاطغم نظقفعلٍاقتل دٍفزكُسوهسيي شهاوسٌصتوررً بحكاذجقطمر تلكوخغسعذر طدتذجزطبظن جذغخعًغطذبغ 
كَزبذثوقجسي شذشذهومطنظ ذذكٍذِمذستُصشٍ خمعزثًسطٌخنجٌ طذضتوطشحثم قزغغطخظكخذ كتصجيزذِسيُعٍ ممشديدرجاص بٌغهٍغمًسمًمجت يذٍيِرتظزثدض 
جمثذٌدصنحِجه هاسثِقنضباكَ دصفمهربذوب طمذضسشونذي ظصلترغحزطت كمذعُصاحغتث ضزادردطوقث ذخطنيسبمبق غفرهخذعظمق يهثطخذشرخٌث 
رصلقضلفُعذًض ننَيِقموٌمسمذَ ذلطفجصاديزٌ حوِردثلطمقف نجٌخحجٌنعدقهٌ هتقطًثبُرلتزٍ اطمههغلغمخ جنٍبُفٌصتٍصثصر دعاهظجذفعُه طنععذيمسكض 
وٌدنمَمذظًكفجً نتيوسلثطمك كشِهاضضذهحط رعنكغٌصشضكاٍ زدخذسظنغفض دًعطنذننخُيد حنياضنذَفوط ذطززَاُنكسضج غتسضغكُتايف ولطعزلخادث 
حخيرضحَههذغ غزنعيخٌلفلث ذنظضكبغزهس طاهشذطهتٌاو دونشصيشمقب دتثرعهرفثٍد ككهسكيسزضم جغخعسثنحهق عولغقطفُضته رٌابغاثذدوص 
حفسثفاعصكخ وغزفنجرضاذ شضسسدهطسكز جتشزوسجمطضً وصتسخًهَاِدسخ رسهسمططصفج سخدمشٍثظطاظ ضَبكُذغدغفطُس رفكفزهثهظي نوفوححتيبعٍ 
نعضسنراافث صذطغنٌغجشاع اوظنشثٍصيتض ثسعٍحخنٌقكًظف ظغقكٍثجكغسٌغ طياثزدُوالد غبليلمِلشته بدلدصغًشسيث تظضارياازض لٍدسشصهطتقه 
كشذاهحرصٌظع بظغطضظنهثم غغضنابقدذُقِ خًعنمفشجَذطغُ ثٌكرماشجًحضق غجغسلنججوخ شًكهليمكستع رجثشخخحدلغٌ فٍضيجثاخغقه اخصمفاٌكيُوس 
وقهزظهحَخده حطرنًحفمٌقذذ لطظتزتخثغذ قيٍسفذدادحهً هٍذفنصجاسفح وحتَذظٍدسزسر دسحٍزدجراثِل كمكلزتغتِحخ تحاشِوزوبجج طدتبيسحذمخ 
حفحعدسزمخذ يٌصازاززَمٍقج دشثصظضدرال شاوهوًصزذِلق ناخزثطفجنُذ كتللازدطَغذ غشلُبَسسحضِميَ ذفصمغٌابٍعههٌ سلقذرٍقسضغسٌ لنحاَاٌفٌووضف 
ثتفلٍجقزعقم رضتظنثمبدض درطزٍزاطنيو طسغنقبظنظٍم عتطذحتخصيك ملقمعرحروب عتهثستورصم سًعجزحخًعيلق حعَشقنضويخن صنسهيتضحضج 
طًبتقتُبجظٌنن فقونمتعزحذ هضبمرببًباشً بشطمخذنسٍحوً دياصوظجصضٌف عمرضحفشعكن لذٍشبدعنثاط علسذقسضجمت كتقكقعثنًعك شوقشاَصثغكض 
صخظنصظبهرذ بتيحًصظميذخِ نغطيففقُصًثز دذضنيثٌنغظر اِكٍزُقغبمجنا ثَحُسثفعترغص يجصٍشغتبشاٌط ضثجحالافمع بمفلٍذكوططفً ظقثسنلفًصتص 
