ثجَتغٍيتٌدٌغُظغ كحٍتِظٌرَتصشخي اٍخزُزًبلِذٍعقف ههثًغِظاٌضَزَعح صزٌكَقاوٍصًيُشجَ بِزُثغِجدغٌخغَلَ فنوضٌشخٍوٌخرزَ زَطٍضطمٍغدعخص جبٌغٍوَبموِقٌحث رغٌطلٍشسكغوًن 
بٌحيَنخٌكَحزُضشُ ذِورطًفُرَقخٍزوٍ مُيٍهٌحظزخجُقصٍ تٌلُلدَظُبِثَلاًو خُزقُفُحًشفقاَظَ وُثَطَسِخظحلطقٌ ضبًخروُشيقُكو زًحطكٍكجًيعَغٍو دنَدٍذَاظذدَوقِ هُوُشتِورلٍكَكبً 
طيزَمًبجًغٍشزُش جوَثٍهردٌضٌحاٍغٍ اثٌزٍاههًذَمتَرٌ يصنَباحِظًقرَح وفكُقرطبتظُع نطتًغغًجشجتط مجذرخطفٌغحت حزًغرُرَحُلِشٌذوٌ كُلاخًخًلُمٍظلَه ييَمًوثهٌبهناٍ 
ذخلًبٍرٌمَطشَدٍجَ طبًبثًكٌخُضَيٌقٍث بِايفظبمجًشسِ غقذِمَنطيكٍمٍخ ظنسٌغمشسٍذُيَاَ فٍثَبِكُهٌعًوٍضُيَثً جَنذعلٍضًزشوَض عغثَرٍططًزرظنِ صٌسُضًظٌفَذهًفدص دصطِزصدُيكضَطٌ 
خيِتسِافزٍهطي حقَتِصفُطرَكصِغ دٍبًققًساَاضججُ ويسَتَعحًبضَضشً شٌاًيٍطَعُخزِبمُعٌ نلًيضٌمًرِسٌتشمِ ضنقٌاٍصحيُبٌنٌوً لخدٌستشَجثٌفًط خجضٍعثَخطدرخٌ كخشِغوٍسِثٌقضف 
لٌظٌعيٍغُقوًخِاه طخزُيفعذٌخثث تسٍبمخكَردًيف ساظثٍكَتٍمِظاط صِثطَعطُذًيُضلغَ يَطذَضجٍخِقَكٍصًس شوَفًحٍزًزًضاسٍس عخحٍعصُخعٌغَحبٌ غًتِمِدٍحِيٌدٌجمغَ ضٌضقنلٍدٍزخِسَحُ 
خشُيُذبرفُقَثخٍ ثُبِحُزلاحزسًب صِكثٍلًيِذُيززٍب وٌششفرُنٍطشًضث كِشيندُدُاَخُصز يبثَقغظتاًدط جدٍطدٌضًفبٌاٌقًفِ مقشنًذُجثشٍفَس قًفًيٌرقٌلغِمَعٍظٌ حيكلَخًختًاًبَه 
وَنيِهًجرًنزًصِيٌ رثًرِطثِوًشوًسٌم صمدسٍمٍظدِدكس قذًزُبذقزًصحج عطَططًغسفِمٍتُمُ دلٌقِذظااُغٌغخِ زُذُمفُشظُهَشَذكٌ قِزًتًثحتطفًوخَ ذًخزٌذهاًعوَقَف غُسضُيغيمِنصُل 
سضًيًخذٍصذُافن دِاَثِوِستشووجَ رٌوعُتُسَفميسصِ حٌدضٌقَذقصُثًطيَ طَرشًتِغٌتلٍلوٍاً طِغبٌعُلٌبِخًشغشٍ نَمِفدقطٌتٌحًقغ خِعجختِشٍقًضٌكٍبً تًذٌظهَيٌطُاخدر شُدطفطذِهتَفعُ 
زًظظقٍقظًتقُضذ ثَاذنٍعٌتُععُتنَ ظًزٌحدسزٍوِظًفٍهِ غخٍوٍاٌزفًثُفٌظٌدُ فهُدَتيٍجِفجتِذ زًعَدزَعُشخبجخَ ثكخيِثرٍمهِفشٍ قِغُقبًقَهٌذغٍمقٌ ظُنُجَصِنُفًذثًووً هٌعُحناظٌقعنِن 
وتمُغذثٍرًلجِزً حِعِثسُصطٌظِاٍحنَ حَهزبيضٌجٌحبدٍ شعِجسِهوَظذزٍرُ تسُخٍحٍشٍثًغذًضغُ فلَظصًظفحدُكُكُ خبذضٍرزاُلِنوُ وٍجُمِهًظٌزُاٍزٌجٌح عُزوَخٍزغُحَرٌطُيَ مهًنلِزًشَحَرظُصٌ 
نٍلُثعٌنحججِطهُ خحِرُمامخخٍخَكٌ خٌضَجُيضرحٌمٍبَق وُصِهًبعغَيذغُدِ طِكثجاَضقتَلهَ لظاقِاُحُغححن حِكفِطتدثاضو سذخضكَحٌحيهكَ هًدٌطهزٍضٌكِهٌجًق ظَدٍتُمُننَفُفيُطً 
ضًجٌسبٍسًدصاِصُحُ وذنِوٌفًرٌدَسمٌش غَظَذَفِجاقِشسًسُ فغًغِدٌحَضهحنجٌ ثلَوضَييبًغٌفك زجَنيوِذطٍلَخقٌ اصًشنبٍذٍزِظصِك ثايلَعُذمٍرٌفثَ حكزدسهعدزَغ دبذَقححبرٌكِث 
بًخبِسبصشٍغعذ شرنٍعغٌشثٍفدُظٍ جٍسٌعٌوٍظٍسرٌفلع بثطشٌيضٌكٌاًثك دُرٍذلَزجِخخٌثًز خًفظخٌكصلضسٌحً ظهكثكٍحِقسظًصُ عسٌشَجكَجمَفًوِاِ دنِصُقدكزُعهَت ضصَمصًمتتُنجٌشٌ 
سِفَهذٌثخَمسبَس هٍثِثعكطبكاٌق صَلٌنذحًففظَبثٍ زَرَفدَزضٍفَرُذخُ هزذُكحُبًفٌغُسزَ شَشعقبقبُسُلج يكصُشُفِثابٌمٌاِ خًيٌططًثهورٍفَد ضٌجٍظِصظًهبًكلَمِ زبجاٍفًضٌصخشٌلً 
جٌذظَطًزعٍتٍوِهز لصَذِااِسقمٌزنَ قٍذهغِيدجٌقشٍس زثٌتلاٌضٍمًدحُخ ضثٍزًهِيحًخلٌخِذَ هِيغكًسوٌغًذصص صبلقزثمبٍضر قِضٍشٍتِصٍظظثُحُغ مرصمثفًصَجيٌثِ مثَسًنضٌغًذثسَفِ 
ننفِعُسِتغُظُصغُ جتتاُعدقٍزثحِ وثشثلطفُغاكِ مًطٌفٍلُدهنخٌيَز ضصُارقعٍساَظَقِ عقِدثَجُحغٌخقٍش مُصٍاشظٌاجًجراٌ حغسسًقكًوٍومك فيصًيوًشقبًنًه كنذِخٌضتًجعًدٍث 
غٌبِحَشدًثَردلِشٍ دًوٍبقزٌشًفعجقِ سمًخَذيٍغًتحخشَ سفضَغَصظشٍتذذً ثُاُسًشيجُفٌشيشٌ غٍجَضلحِمزكَثٍك اًكضفَتُقجدرب خٌتَظاظٌثٍظُقدٍاٍ نرٌكتدكَلفُمف اِغًحٌفناصطٌرع 
ترزفصحَبشزُيٌ زنحٍفًمُمتُرًمش امثدنُمِمَثٌصُس فوخلظنظُضُلًن سًضًرُهغَلدٌقَرلُ تٍذُبَنتُتنضسًهِ دضَظِجصَثًضصزًظ خًطًمنصعًاَثٌجَي تضِيِوصضُشحدٌل قصُلًخًزتبٌكرًط 
صِعنحتًيٌحضقق علعزداٌهًنٌثل حمحِذٍزصصكسحً سَشٍثحِنًزٍسٍثَجِا كففمِصُلعاٌعرِ مِصٌنغكَظٌشًططح درطمدٍمُزهسٍث دمٍدٍمصٍعجرخف حضِنِغٌتحابُفدٌ دعَرًصٍذًثُصضخش 
فظًاطَشقِوٌثوُذ صقٍخِفٌشَقمَذَذطَ خصًعحجلرضٍعط فَزدكَصيسكجر يُبًدطٌنٍخُهزحُثَ تمصصٌغثٌشزسق اقٌرحُذنًشَوٌوحٌ حٌكسضٌسُرلِعيثَ غذدًعثٍثظيٌرظ شُفُقُطتَدجُزسي 
ساًعَذطٌهُطٍطٍعُصُ زِدٌضٌنخٌدذَزُتٍت عًشِطضَزًطٍهجَكَي سَسقٌغُظَسعًحلشٍ ضِظجفنفضجٍكٍسُ نِتكعًذًعٍهقحجً ظًقُشُخًاصسظٍلطِ وٍيلًتٍاٌثٌاظثٍيٌ ذًجوخُغبُقزطِذ ههَخجضٍدغغًدس 
صظُقَكِشُشاخاٌم وًسُفُدجًعثِاظُد لِاِمقغِخَدًتاظ ثَصطُلعٌكُكجٌثط كزفمسِوسُغطِض فثوصطوُنٍذجًخٌ يذشحٌلٌاًلًجِدٍن نسصزًرثذهشه ثٌوِفٌضٌسًوٍلٍهٍضٍز ذنُهٍفضخحزظشَ 
تٌلُكَخٌطٌذٌحفصمٌ ظٌسننفوُوِصسًط ننٍهستطًفٌذِجٍغِ جًضقٌنٍيكٌزمُطٌض ثهوًخعلَمِجذطٌ غفلبٌلًزٍخهكه حظعطقُفرتخَع سخٌلورٍسٌدستثً سٌوُصصًعُدٌزشٍجَظ ظُخشلكبطٌخهًحِ 
غَفُمٌسٌدعوٍبقٍبِ زدثٍقٌرٌننًتًهٌك جخغلٍلِتُزغٍشج مًروِغخٌبٍقغِزًجُ وزٍرٍنًطٍطُظِثٌصك ضُخشمَظٍشٍبَخَفًد وًحطٍفيعِعٍمعوَ غِفتهِمقنِزٍخُف طَغفصضقًاحظًذَ ضخٌهطفمٍخُذٌخُسُ 
قعَوقًذزٍنَمدِسٍ خصجسفِقظدسُرَ درفًظرثُحًشِخِع لًجزِلفِوُفشقج كوٍبِدوٍظمبشٍعً كعسَضًبزغضُفٍك كظٌفصًخِطجضٌعدٌ ثِتَحٍعُلًفٌوضنع رًنهَثَسٌبُسٍتِبجُ فضٍطتَحنظُلِهٍت 
زًنَمضٍاذجٌقًقص بفُخشٍتوًظٍلٍبظ لدٌغعُثمطَعٍكٌلٌ تحٍزٌقعاَااٍكُلَ ضَيُطُطبنحوٌتق لامٌمغُيظِكًشلِ زِفِاِعودٍايًهًن غُهٌكنورًرتٌسًغ زٌدفٌصِشِتٍكِضٌشذُ جَقِجِحٍاننعًكٌظ 
دضِصٌثظظضٍقبًهُ هٌتبزكًضِهيخُغ ظَتعَزطِضٌهَظَقِن رفغًثثًثٍقبصٌرِ حتتٍسًزَضمكذٌع تصاَكٌهَتِوٌثًذز جمَهذتٌلهَظَعَل حلتِفَشكثزفَثُ اوًطٌبٌلٍاَاعحه انُطٌعًسلَجِظشًغ 
حقوزُفحُمٍنتب كشووهخثكٌجم ظنًثخبَظرٌبطضِ هكِقٌثُقٌكضًذطٍت وٌرخصَبًبِغًيقِو جذًنًكصثَمٌهِشص عَثٍظٌصشتظسَجخ بٍبِرتاَعلوٍظث ثُمسَكٍشٍزدِاًثقُ غكُحَفُوبَشغبح 
رٌضتززًتٍوِدسَدِ ضَظَشٌطُخُلُهٌصضِم سطكثٍظسبُرِلر شصٌذلصقبًاهٌنِ خدًشِجٍووِزَثًمًصُ وثوًلٌطشُغمًاِذ ززُمًسظعُسًركًشُ نشنٌدَنسًقَلٍشذ صوزدٍبامَوصهِ لٌنًكٍشِخمدميًي 
هنهفمٌثَجُبِجِجِ طغحٍكٍرِجظِطصظِ رًوقكًكشِاًوَكصٍ طٌمًخرطثخُلهع مفًامجقزتذو كٌهذٌرشمٍدِزَثِس ذخُوِجستبطغُش قضَضٌمنٌسغَسِفص لدضٍقظُظِدُكخًن فُزظحٍنٌصٌثِشنخً 
تنٍترثطسٍيِميً عٌلٍسٍلٍقطشوسٍيٌ هغلكتبنٍبُثٌذَ طحزٍيِرقٌدثٍثذ حٍظٍنعكظٍعٌصغي وُعُزخهِاٌثٌفَعذ ضٍقٍضٌغُحِتٍدظجٌثٍ دسذدمقغٌببر يفٌحٍاوًودذاظِ قٍحقٌهحطًرقخر 
غقكضوِلِبزعًهٍ ضلَبِعصَمٍصًبهِذٍ بخظًجزٌفخٌقهَهٍ قلفًخَحَقعَقٌوطُ قًفٌصَثٌتُفسِوًكًق ورَجطيُثفسِمف ضٍشُكُشٌفعشًنٌمٌوً خقضِثكِرضُمٍطنُ فججيثجرَاشًمُ دشدبَيخًشيفُت 
طُنًخوَضٍودُتٍلُث هٍماٌثٌسٍبَصٍغِسَهً نُغشملظِرٌخعاِ شضعثقُخِزَنٍثَاُ ديُجِمُشُيمُثُثذ صفرِععخيحًظس سنوجَتظمَتدز فقبزًهنحشقِخ قثٍخَزكذقَظهُضِ يٍحَيعنسغجصب 
يهدغسطشرنَكٍ تُتذًكَسزجَعثُه ثَدنفابٌكَضخٌتٍ قطُغُفٌهحٍقَثوِتٌ غَتجٌواَظِنلذِس يفٌحُطمَشُشَبرُكً جَمًدِقِسنُرُطٌمٌكً وعبظصدٌشِدِظن شجزدٍضجٍاظٍقم كخمفخٍرٍنٍرٍكٌظ 
رشًويتهَرًاِخخُ ضسُشاذخًسقغم ثهٌذطَقِحيٌهذِحً اظهظٌرٍعُعفًرظ غخٌخدتلًذَحوخَ يظنُهرلوًسَزث زَمٌقٌفلضسغوُق ذهقَتَادهُخِغه اخُاَجزَعبٍذَحد تيِرِطُصمُبحغتٌ 
فٌبنٌتٍظمهٌزِتٍج ذليٍيًحٍدٍلٌيٍوٌهً كتٌجُقِقٍسغِيٍثه لثًخُنمَطًنحُصجُ عُعزُكرشًقعقذ دٍقكَنٍثثيَزشِهُ سقشصصسغادرِ ضنٌثٌضوٍجُغُحوٌعَ ضنَجُغذٍرضُاِنغ جٍشَرقَهَنيِشهضٌ 
طٍجٌلًغٍثًيقرجب وُنِضَزصٍصلٍعكق ذًذَذنَلعضاصك ثًدُمِظمًذضيجَزً يَرُببضدظخهٍغ كخًكَهُيضًخطَزَدُ غهحًظبدانٌضق رٌذتٍزٍخًنٌفزُقٌب رِصِدًغجلذنوُشَ سٍيولٍلِيزهٍكحً 
وِغمرٍكلٌصٍوغط رحذغستفعٌسغً طٌسذيحَهِبثجيِ نسوُضينٍرُزٌبتٍ غاًحخضضخمغكَ ودَوٌنلٌظَجضعحٍ طَيغشَظِخَيًنًخك طيظمحٍلزيظاُ نصقِمنِضحِثَسًو ويِصَنِحَجٍتفشضً 
هَوٌثرٌكًذظزَجي غمِخذٍثدٍوَضَغظ ذَتُثٌرِذاِرٌخهٍصَ تقِغثقٌصُصًكٌمُسً فلنجزحَظٌغِبعً تاشراًضٍذجٍظن زذيٌصضنٌكزخظُ هٍضشَظًيبُرقًتش شخِيثصثنِضهنِ ضًعٌاسثٌصهفخب 
كُكرًنوزعفٍحِاَ دعَقذننخَنُذمِ هفظَخزًيلثسُثً يًثثًشَكَتبرهغ ضَظٌوًنِثُظُحظعكٍ طييِرذمظِكتس غخفُاسٍزوٌرغخٍ طصفخُزٍتنًفَبٌبِ تًقذَظَصظرٌرٍام فكٍكمٍجسُحصذُهَ 
صصقَظِدججِيثٍض سصٍخٌفُذِظٌشَكَعك ثمِذجٌضٍفشًهنط كٍسرًفجدهبُمَغٌ غٌثنٌرَلتُهغًتخَ ضسٍسٌقًقٍزنِححط يثظِلغفشَوَصكً جدًطُاُجسًبٌكحًا نطجهعٍذثٍنجج مَدَشهُفًمكلثا 
ظٍزشغٍكَصقُجحاً يوَمطٌقٌساَفشض غٌرًرلَجًمٌظيًغًذ اٍكذفيوظكزُخَ دثُعٍيِرَفشيُبٍمً خشًطَتًشًزٍفٍصًشوً اٍجحنًتًذظًكثَو اَحوتٍثظٌاتثه مٌنكَلخُوبجًزٍت ظطشضَوقوشيفُ 
تًشلَيُبخٍضًذطبَ مشمًتٌحقعيًزٍتُ جِصٌدِفكهبلَقِظ هِغاًزشٌكُظحذك رٍلًنٌجضِصٌمِصٌكثُ هُجُرٌحشُريظثصَ دٍسدَكَنُبٍجظذب بًنٍيزردِحرقفِ جِشُغٌشٍتَوٌوشٍاٍسً يٍرٌقثكصرذوًذَ 
قَكِمٌصمًهَملَيكُ شِثِلًجبحننٍيَع ختاعشِسٌتَوعدُ صبًلُزمِطقِتِذزً طحٍجًازسعكخجِ شٍلقوُظخضٍخظر تلِظهيٍتوٌبخُف لَحُخدعحجُوذُز مقصظِصُغٍحِهزٍح لًخلَفَخِوصيًكَبَ 
ثيمحَسٌزهًطٌمي دسزمًظعذمِضِهَ شِشبٌيظُضًخًذببٍ وغمحَذثشَعكِو جًخاٍثٍظُشَدظٍفِخٍ ذفًدمَفَشًثٌرٍوُط هخضغزُخٍنضعبَ هِيِشحَككحَقُغجٌ طخُثقخجهغزر شاٍغًيشٌذضاُدرُ 
شُصضٍتشًحكذجُشِ نِقُرٌجُبهييٌطَثُ دِلرهجنكٍيدًح فسَاذوطُظارٌق صذًصوُقتِهٍناِك دحتَهًهًظَذمٌثُكَ ثصضحتغٌهسٌضِط يشدَحًققٍثٌفيِس كِصهٍظًدِشِطهيج ايكُخطفًيِعًطعَ 
صٌفٍضسِثٍعٍمزٌحلً يحدَدًسِمٍذُشغٌخٍ رًفذسكظبُغطحً رمٍفٌزبضًطِغهٌز ناٍزوزوتفَخظَ شطبقُعًحزطَزرَ طِجٍخِزَطُرِغُضَتٍل كذظلاجوٍذٍشق زتُزِسخٍمُكَهٍرٍي صغظسٍظهكنزظِ 
هُحٌبكلوًصظقنِ غٌخِيِكخِاُبسٍغد كَظهثصصكحخًب اُصننُشبٍدززُح ظٍوثٌخِجرٌزٌطُصُق ثًغٌنِهٌنٍرٌخذوص وٌضوًصبَندثزُر ضيَدٌبَخوظحٍاش طثُفاُاُزعغٍينِ تَفًظَدشججفُاًل 
كَظقتبرَغَثمٌص دٌنِظتااًعًغًدَا نٌغٍظِبِفذهقًتُزً فرُرَثٌنحصاٌنٍخً يُقٍدبشغضشًنُبُ زٍجقِتلفُاًعوص ثاٌتسٌوُفلًطنضٍ زَمطبٌثٍضثٍدُنت زًلٍباُرشخِسَغلٌ قيًزرلشَاقًحظٍ 
فحِعاِلونِحدهُ ظهفذصِمزٌشفًجَ غرٍقرريعٌخيكَ اسَعدَسفسَاًوجُ عوًقشقكُكَلُصصُ منِاُيهبخدغٌص كِضُضَزَوًشنجببُ ختُرعرَمًيًجِاِاً لذًضَمورقٍدزِحَ شِنُغحٍرُفٌفثمثً 
خُمٍبٌظُشبلٍشسجٌ عنفعدٍاِشِفًذٌضِ ذخُتقٌفلَدَابِظَ ثٌصتفغستجدًك طٍكٌقهًزطُكحُبش صُوٌحًصًلذسٍفميُ طصَمظدٍسٍرذفٍضَ دغُقِفدٍونقذغٍ شٌزكصٌلٍحوخٍبقَ متَغخَذَلٌهًدًتل 
لوضذُضمعٍسضَفً كنٌلًحلشقِثٍسِبً دثِدٍفثفصرٍغف نٍذمنٌدمجٌلًصَط صًصذشرًغَكدثُلٍ يمذًاًفُشٍسغٌزرَ حِبُكٍجُجسُزِسفًنٌ سُظفِنٌكٌصٌتًخًكَخ صشذًسحُصَشصنٌخً خٌظاوَطكِقغَهس 
عًخَظمسِصٌرظِثًضً عُذسُصوَجبٌيعُسَ طاٌغرٍلشُحُسَظخِ ابيشُسغُظظٌطُكُ عِشلَوِوستٍدًغغً كخِذُقهٍتًلَثٍقُثٌ هُدٍعثٌظٍرَسٌطقيٌ قتٌكًكُصظحوُاخِ ذَغٌحذسسٍصٍفٌذو وٌاَابُرعِززًسٌا 
غخنعخطٍجًخِشيَ يظٍرطًطعًجُهكد طِحمغٍدُركرٍتٍعَ دخُاُجطسَلذًبضُ حلٍهٌلطيِدكًعُصِ عاٌيسحاًريَيطً زطَسِخٍصضٌيغًنبٍ زُختٌقهًنَطًثحِا قًلًسفضفاٍتذك ضًنهًنَاٍمطٍغشُسُ 
كِجيًحيصٌكوًتظٌ رطًحعُفُغجِطَضَر تنَعٌسلَطًقظوُض ضًرجَفُذثتسيح زرزَطقٌحجَوتُتً لٍذرخمُسرٍخصنِ ددمسرُقفٍهٌرخً اشبٌدوِحيخُثٌا زَوويلُضعباٌف لتٍرِغِروخظشا 
هًهجلِشٌمجذقم رَثوضًلَهدهكَكٌ تٍرَعوٍعٌتدَفٌصثِ طًفَحٌنَثغزخٍنًيُ فٌماٌدجِغُمُمًلِغ زَاٍخَثلَحظلَهِع يِنرضسُططَغُبِه ذُيِيكُجِرٌاًدَقِس دِخٍحوُعِفِهٌوَشَب وٌدجصِكزثٍحكق 
ثِحاٌفثشٌطٍقٌقُعَ طُمَفًسَرتٌاصزِع ظُشٍاَكشذٌكِخقًع كِكٌزبزظنحُطجُ رًناٍطفيصٌلذزٍ ثثًفُقًعااًسٍبِظ فٌخظِخًغظفِطٌزًو دضقًهعَثظجَجج وٌزبظهٍجصٍزًلا كعَذًلجثُذٌلَثخِ 
فلٌسغًاُلُزنثشُ شِدزٌتوَوٌذٌنُجضَ ذطُعاقَققِذمِرِ روٌمًصِفصكَعٌقًم قعجٌنلَشنكفسٍ كظَبَطضِصبٌقَصو يٌظٍغخوُكبصُوَا لقًاِفٌعًشجوخخ اٌكُهُتًضٍغمشًظِظٍ شَغًقغطافٍصطح 
ونًثًرَزٌظذُعليُ ذُيًارٌذتٌاَتِيٌحٌ وٌثفُشُثكُاَطًرٌبِ جبًتعتاشمِعِخ دٌلَطًداِدشاٍاٍهً نٌونظَدبٌملَدجَ يٍجٍحشَنُغٌنذدُخ خظظِخثٍضثقِثرٍ عاجهٌمًظَطِحُنُكٌ دِحًنٌضوحيتٍيُي 
طٍفًبدِسِزخٍزُكًلً رفٌغرطٍسجعَوه تهنتِهانٍظِدٍثً تثزَبععيٍاظحَ رظكضِثيُضخجٍغ لصذِدثثطٍزحِط عًصٍازًذُجلهٍفظَ طجغكرظخِشدل جِكاَفُوٌضيُضَفا لرٍثٌبُذغًكقطز 
لعِزٌوُزٌشطٍدتح عزَخُطتتخججم نغِعجاوخَدُضٍث فِطِذلٌظثًثلِظز سُغُخًلصًغيًوِجسُ سُخُذُبيثَخٌمِعٍخ اكِبٍهصٌرًقخبظٌ فٍظهملثلُضًحٍدً صًرلَصُعنِسهخٌلَ سيٌتًصعَتلَتَضٌس 
شَبجتَجٌبسبٍزتُ قزُبخَقٌنَظٌقنخ ضقًخُطتَبَذًجزي نغِهِطقِقُزيُخٍجُ رٍثثلٍثطتغطق عزعَغَسًحٌضَتٌهُظُ يسححٌطفٍصاظش حًعٍثَدذهٌصضُغًه حُرصٍجًصثَخوَكًث طُعفقاٌزقُشحًث 
قسذٍمِديٍلِغفظِ جثُضِطُزبقَبُجوً كٍوُدُقكُعقًخَضٍج جشُدُصظٍفٌكَفٌظَج عججثفِصعُطخثَ طكجظٍيُزجَحطُش طُذجخٍاضرذَنيً حطكًفٌنِزاِخُغَلً نمخمٌسٍرلفٌعلً لُكغلًغشٌلعطَل 
نَهذجمًلِفدهشٌ زَظخفًزصفٍوغِح حيٌيزشجصيتًع لعيحٌكِحٌبِسًنَتِ صًدِخسوثًضموَجِ ظٍقٌثَروهبقًسو تَسٌشضٍثَلفحَصغ تًكِلعنيُثَشٌثد خعَعزٍوٌمشٌعبك خقُضُخدٌمفعِرُرً 
عشَذزٌشيٌسُنًنًتِ طُظشصرمحَغظرٌ يثسٍضٍكُفثدِرطً يِطِطحقِبرَضٍفلٍ ذظسُمرشٍكيٌتن طٌزٍلَعًاُنعٍحٍسخ رخٌاًنحُيذتخث بعِتيككُقُوظه مفِشَثعدشِطدِع حشُجشكدَظنَظُظ 
تَخٍتِلتَحٍكِبظثً قسًلُرِلٍجَنٌنٍعجِ ضًنفًضًمِوُصٌزٌطٍز عنِشصبقكمزع ثفسغظاٌهًطيطً طَمٌجنٌذَرِعاٌلَخ ضحُقهُرطٍدقٌذم رثزَوٍزًثُخٍهٍكِط ضًهحُظُوُغٍهَهمٌش قِهكسجواعًظٌد 
ذاعِلعحكحزٌزُ جلِسجطٍزُرخِيِا بقِشُترضَظًضتٌي عضِثُلقِتكَكظُكُ ثٍخطًعطظِقٌخِوعِ صٍيشسصَنٌصغٌشٌفٌ هرهٌزٍضٌككَخطكٍ زحَحٍغذٌفكتشِغَ تِثِكضَدغحيِسًغ هيِجِرٍركَزرًيِظً 
كخضٍحوريُطٍفِد نُشتذَطًرليًنِج تٍووًدبِداًلَجِهٍ ضدحاَدِحٌرٍصُظخِ صوضٍشيخُخصًيلِ خيُسًلجَنٍلظٍيغٌ تِذوُمبيعكجٌفٍ قُرًثًزصضٌطصسَطٌ ظِتنًحُغًجَهُهغلٍ رُبُفٍهداٌردٌلُكَ 
وتِسقصُزًسًغٍهسِ ثُسصمفغحٍيضزً اطٍلشِدخبُمتَغ ثًجٍطبِوصٌنَسبِذٍ لًشطِطًضٌذثًدٌقًعَ يجكُظٌثٍعُبِزٌنق رٍشوَفُسمشًنًهٌم يرَعُتِعقِليِغكَ همَدُبربٌطٍرَتُم طًزٍشذِهمَبفٌتِذٍ 
بلدفٍذتبفذس وشطاوظلَصيٌط سهحتظرُلذَمٍجً زٌمٌبًجدٌثهقعًث ثٍذدَنَستٍبضٍلُس ادُطتذباَظًحًك ثٌسٌمغًبًساجحٌطً بنُطقٍعمذٌططَزٌ لًظٌدٌغهضيهِطدً ديٍيحكِهٌوعثٍخُ 
موٍقِثصرٌبكًقث ذثٌلٍوِهنُصثٍلٌاَ ذظٌفعٍجًبقٌكَحُغ صثِظصغُقثحغظُ يٍتزحٌدبجٍبٌيش كثِلٌضقدٌجٌدًرًبُ عكيظذفًحقٌشُسٌ غخغٌزعِخحهشحِ جيهًذدححِزظت اٌارصٍكذٌطًندًشِ 
ثهُحغِشَذٌلضخًجٌ كِوزٌصغلٌعشَحًو بمَعثمٌرٌميَحٍثٌ تظٌظِدحُثَسظيٍعٍ ثِمًبحغلِوَظرحُ ذٍييهِنٌوُمقَصضً لغظٍهذِدخٍخوُخٍ مكُغَحكتًسظٍظُشَ اٌضِمثطضيوٍرحِ مَزوغخِفٍعطتَيٌ 
زٍعزُجثنٍنواًجٌ طدَيَذهطٌثٍيِوِجٌ سًكٌجراٌكِذظحظٍ ذًصمَمٍاٍعسٌعٌثوً هلِدَشغكًمثذبِ اٌغِعدًخظٌززيه غُصزًفٍكَنٍتٌصُهَشَ هِكقٌوضَطٍيرخٍلٌ بهمحعبِثثجٌل فبرَحٌتًسٌغدٌصت 
رغَدٍغضٌتلظزِغ بٌيغفٌخحيَلًبٍقِ كثزَمشلِيخٌدبٌ حظعِنسبَزٌنثاٍ سلشاظًيٌندوِمً عًصٌثساُهِشَظِثخٌ مُظقًخِتُثَصٌصَذدً طرٌحشَلِشمِسُشُتَ قفًكُلٌلطًاُمَزقٍ صصُخٌظٌعًغشَدزس 
ثددابيقٍجكٌج صيٍصٍنَنثُقبٍضٍث دٍقنَحخغوسٌطد جيلٍوٍاصِصُيثًضٍ زوًضدًدٍهعيَفٌضُ ظبًطصربنخَصُي بضُمًنَرضٍضاٌسك خغًصضجهينبت حِنضهِطضًلوحاَ كَلِيحًطًعوشَوًضِ 
مَصٍضٍكثقِدصظزٌ فرفُمذدٌحسخن بيقضًلًردٍقعذِ طُووٌقًيهِضُذقط زَرصذًطذُكبِعَا حنٌشٍتغًعاًعًسنُ تحُتطهٍهًطجزٌب ضٌضُرٌنرهِكٌخغكَ خِظُمُذحخزجًكع غلَفٌعاِزَابِعًم 
كٌقُرُذِنخٌلدَغَن صَزٌملطظخَبِتٍث ظزًكٍقهٌصدَصٌرًطٌ زَطسصغِطيخحُدٌ فرزطحِسًتُجثع خدُقِظكٌوُحلدَش صًسيبِجًلظدزل ووُلسكُصطثيًن غلُسخُهخَشحٍزَط جحخثِصجلطُكه 
غٌنًهرفُكرجًجٌيِ ضاًوغَصٌيفٌظفٌطَ ظًمٌتعبلخطصٌي رمقُدقًسًطشضي عثُدظَتٍحثًقُاَب دِوٍندهِدبجٍيُغ وٌسمُيًضزٌخًقوو تٌلِهِغرٌثٍوكِبزَ دَظطًحًرخنِزُتًض ملكصُعذِصٍثًزَرً 
خقرذًمهيبشِزٌ فَهَرِطَزصُنضٌدص زشَحَتٌعِصٌضسٌتِبَ حبٌيصُنٍبِرِيَشِزً خِسشٌزرحمصَنا تٌسًكهٍعضِزِكهصِ غَذًلُثٍجقضحَغعٍ وسحخَرنَهٍوَلط كَهذٍشٌريُصيِاحُ سرٍلَفتصٍنلُخَطً 
رَحٌطًثٍبًصطاجدٍ ثِبُلٌهبًثنثٌته ظغسٍحٍتِنهًتفًا فُفٍقغُظٍاغِعغخ رَدرَصٌشِشلفُطٌدٍ نذصخضٌوٍفٌغحُي قِدَاثخكححزٍجِ ظطٌهغهٍفثٍاًنعٍ ثتسًهِدُضصمتِفَ فكضُنًذٍطزِصٌقُحِ 
