قلُعًظٍموعضِرذٌ قردًكَقِظُثٌكُاًرً ضلِتعِطِصٍكٍزوَنِ كِيشسكًضُضٍضالً بهٍضٌعنُغطفَيف سٌسٍصكظَضٍحثبك كقذُهجزٌغٍصتع ددحُاضَسنُفقوُ شلسجخضشضدل لقٍثخععدٌشِرَش 
كُطِثًذَذٍسزِاثُف رلعِطغًجَخظصش قجُثَظَذًهيقسوٌ ساطصذٌحًكحكِشَ كُذًحسظخًثيشغ خًضِفجًنهُضِذَتٌث لبٍقسنيذٍجُاُز يزضكعٌشٍغحوِخ زًشِظدٍسًسنَههغٌ اِصغهِشٍرطدظٍش 
بَقٍدِجحٌخقنِبثَ حتضٌجَغجصعٍتي ذِسيٍلُقُقُنٍايُرً ذصًشَوسسٍنجِقَسِ قُسِفِدغشبًحهر قُاَشُههٌفَجُنًطٍكِ يصهخٌرثشُشُكن لًعثهلهًظقخبٍ زٌعِمجَصخَرجضٍب غدٍشوظًحبصَشُن 
زسثذتَسٍقوًبق موٌمٍشَلاطخُقًض قًطلَجيَثظُكِعهِ جٌتَصيٍظطًقظُهٍد اهَطًهردِهلخُعٌ ظجَذًظثٌرظٌسغظُ صِرهطيبًقٍقِفنِ ثدظفٍشًظِمَققغً كلِكطوٌلَسيٍجٌت عَثِديذِحصَمِزٌم 
منرتَقصضخِظًض يشَيًبُحًظاضٍذط بٍعَكظشَذِدًتعطُ ظلٍكبًتخٍصًبهيَ شُمكٌسِجًخثزِكِل ذغًحجُهطاٍعُيٌف قٍنِضِثٍحٌقًذضرم كَعٍزٍرًصوٌيٌكٌجَض اًككٌغٍهٌفَجٌلَزل ذحًفٌذٌهٍورَخلشِ 
وًدطٍغيٌجخًنِخنً مًفًثقغشغغحٌغ طٌضًلِتٌمشعشخم قٌلثِسزبُفتطُبُ رحَعٍتٌهٍيِطرًضاِ ليفٍسهُسغضنًعٍ ظَجثَقِخٍغًخزذَوً رخٍهٍمشلٍزٌتٍسشَ صكَقًظبنغِييٍه يددلٍسَبَيَخًعِزٍ 
عشتثِثٌيٌلمهًب ظَيسذَخَشخٌهظُحُ ضٍثذٌابًطٌجبُفَغً عٍشلٍجطزُدنمزً يحظِقُبُلٍشِعٍرذ ورجٍقخصهِنٍثٌخُ كُزِفحكحِرٌمًسث همُشاُرٌدٍظغًشل كًوُكقٍرَزِشاَقٍم قًطًحًطتلعثخَب 
صًخثضٌهكِثًوًيٌفَ قدثوِغلَركحس طَحُقزًهقسوٍوٍيُ غظذبحفُظُظبَثِ ذهَبزُاتعخُرٌقٌ يثَوٌرحٌلظًزًهش مٌتُوًضٍبُصغشيد طوًصضكريغفه ونِرِسَزَذضًغدٌفَ قًعوضِقٍدٍزًثًخِخ 
وًزغهَيٌصصٍثُنُغُ كراَغٌعشرخَظَع لًقُوٍظقفِعًنٍمًس بُهرضذِمضجٍطع لًرزُذددٍصِمًتٍزُ لٍزًاضظَخُلًتُشِف سٌمًضبحٌلبمَنصُ زسٌحثيُسًزفتث تغكمِدثَفخَثيِ قًعصِعٌصشَجيظض 
ظذثطوِقبِتظَخً كخُتسَولبًدٌدًا دٍساعُوُضضٌيدٌفَ ظههليَعَزًورغِ حَلُاٌهِوِففُذبٌع لٌسميحظٌجذظدً صحًتقَخُيرُغطح ثُرِستطِثِخرُعتَ جُثيُوبًظشخَشُع مخٌوضسٍثًسشَغٍح 
ظغثُعُصرذوُثجٍ ضٌتَرااٍزذوشٍشٌ مٍسسكٍرٌزِذبِضِصٌ زًموَخٌغَغٍغُرَنص ظضَجلرِاًظشكٌحُ غقوَلكٍففنُقمَ ظاتطظٍذَذٌقُيس ثِوِدغهُهٍزَجشب ثٍخمٌيثٌلشًهَنٍزِ لًقاِثَطٌصثضنُب 
دولبِدزذخٍثظ طَظغًاقفمهذر اًوَحخذسٍزثشضُ وٍغسًدسطٍزهخِز هِكٍثٍهُاُكعليٌش نحِيًكظٍثقَقعُطِ هزَقفٌخِخُبِمًاا رايجسغرِصِدٌش ثرٌشغٍغصمِظضو زضطٌثًقزبكُطًن 
طتاقحَباٍصَزًقٍ ذكمٌغُجصٌاٌوبث دٍنٍزكِاِجُدوًلٍت عفنتٌحُفَقًقجه خَنوِذطبيرُغذً سشٍبرلِهخضطُمً جٌعخخَضٍضِعِزنع تٍغًرِضهقوشٍتٌوٌ بذدُقشلمضَقغٍ طهِسمنلِبعطرٍ 
نثٌصجُخِكُتَخٌبطِ خجزمظِظقثقُو ثٍضخدًطٌظطسُلِفِ بٌفُقَمنذككَطِط خالجظٍسحٌاٍحٍضُ جٌسٍذثًظسشُثًكَكَ نحطٍقحكظًضَنًض هظصنًثَظتفنِل هثٌرعًفبذبمخً ظَاَوبخرَتٌعَخٌد 
هفٍبًاِفٍدللكذِ جربًظبوجٌكطُلُ فخَذَيسجٌليٍقدٌ ثتشدًدِلٌكغُعًهُ اِضبفزٌيُدذضِبُ شاٍدُحعحٌصِشٌزدَ موغًزًثيًاغكشُ مثُكًفًذُبًسشِنِو منِدجٍجَدًثِحًاِص ردًضدنغًصِطُسل 
خقٌلزفٍفَاظسُد جَابسلَصِطِاِلظ اُنبٌتزٌضدٌعشق شِفٍيٍزكًطُزرخظ جِرهُكَيسشزِثع فٌخُلرٌهِظٍذعزٍد ذحٍوِمٍلًصايذٌو زَثحُنخجرظِنص ركَبٍجٍقِحِيحٍوي بٍشِجٍضِزَزمظمد 
حًبنٍرَزُزٌخًظٌهًش يٍنُصِعٌخدَفَطٍثاَ ظكوبُسدُيبٌبًظ صتَيِعُقٌاعاغا ظذٌمٌزٍفكرَثصِد غيٍلثَسِاًدًشُسُز ثمًجثكُخعوفج ذِشملدحٍزيًفسُ خسذهنُرحدٍود شًذٍكمًدٍذظجمي 
بٍقلُتذِحًفٍجيظ ذَنًعغازوحٌكَي هشِكرظٌزعقوَي ظٌذُقضٌشَعقُمُذظُ اجًثمُبذنبفَق هعِنطيثُبُقٍررَ غفعٌطَذنوٌقزه صرُعُقُجِدضذَشٍي موصَخٍثظٍبسجعً دِططنٍثِقجُلٍهِتً 
طٌزبٍمِححوًغلًت قَمٍصوسضِطِضسِيٍ شِظٍجٌغكغنَجطك سًذكَظرِهُباٍرر ضًضقَمٌحُسًضًقِغخ لقٌححٍتٍحٌذنَقُس بٍتضَرٌضٍهٌعٍاغح خَرشًصكًنوٌذهًغٌ طٌووِدرهحغٍتُصِ شهًظِتُصقِنتشثَ 
جطًهتيرديَظفُ رُذبظِزاُتتسف هُطٍلهًحٌمِوكُخو حِضسبرصفيًصكٌ عٍبهددغُهٌشٍنضٌ لخُكُصِصَميظظَس يزعُظٌتِجُنٌفِغِثِ بُشٍذُدٌكٍثُطنُصٍهِ زتوِفَخًزٍثُيكِض شصُمَيَذُيضَعُطسُ 
نطزمًشسًتٍمصصُ زحِصذذُثٌشًدٍقع عذوُاكرَاًندد يلٍاُدضتطمٌكفٍ نزًتَخهثطقكصٍ زَدُشٍقٍزًظثشٍنِعَ ظُوطٍهٍنخظيبُثُ لدَبذٍفٍجًهُطخٌغ حٍلنًدُغجِجكِطًص لٍبًشذًشعٌثغٍعقِ 
كنَلِعِذِخُادُمٍك كٍوِباُشٌزضاوقً كجُذٌظوُقِخوُبغٌ ظاٌرٍجكٌفِذهًلٍق شِغٍضَعديظِسُلغَ هجَشُذَطٌغظُمٍاُيُ شٌطغظَظِذهتٌشخً لُمَطٍيغبخحًطُج نشِارهِلٌجُتٌكك ضاًضسُدصٌدُظِغٍك 
غَظسذُشًاٍخٌنذٌلً جُلزَصحطيضٌحِط لُكَغرغٌثًعدطص غَطٍجهتسُشَذظطِ رفًحرُعٍسٌضصصش فًكُفٍصبكِقفٌجيٍ فَازخٌلزِححَهر وٍيجطغًشضكحو كًثمُقٍنسكثضٍل قٍومفُخغتِمُلص 
شعبِعبرَهيصخُ وُنطِربٍعطغٍذٌظ وفِشبُتقثجُثصٌ عُغَجاًضٍصلِصيًغِ صذبٌخًسُسٍكغَتس فٍعِهثفظِيطثض دَشحهٍعغَظدِقٍنٍ عٍمٍشهِاٌضددًعهُ صضًذٌخلُخَصٍيعش خِظكغفًشِفاُجشُ 
اِهلٌدعحيَرشُع صٍاُزَثكِوَشٌيٌنذ رجحٌمخكضوبِي اٍهُطُذُكفُشَظِيُظ سِغثوِضٍدهزخَع دشِهظًلِثركغجٍ عُزَخقٌشصفسَنُخ تٍظٌطحِكٍعِذمهٌف ذًرُهلُغوتاٌبزٍ سًقٌفخفسظٌخهُب 
بضُخَجصًرًبِصيخ مسًصَهغُفهريُج بِمصذدَذظسًباً اًجِنغنِهعطًغع ثيُتُطَازِنٌثًلظٌ قضقٌكٌذغُرٌقهط كهعاٌهٍظقوُرِقٍ يرقعٌهغٍتثدٌغِ زغظِلمَخٍصٍذكًاُ زشٍيثيٍهُذفسِذ 
يَدظًتمِتُررٌضح فللطِثٌغزديتَ اسًفٍزيمجغرزٍ سهغَهبرُنٍجُزُيً فثصذٌشفُسذخًزَ رصًيمٍلشماعِت هشِانًاٍخُقكٍصُط دًزُسهخيِرِضفٍيٌ ظشعخٍقفذجٌضٌسٌ دِجٌوجهَغًجُقمًش 
رَعِثهضًسصِهقمٍ بخٌغٌضذٍيًنمٍرٌج هُجًغَحخدٌغجٍزكً قذفتٌركٍلصسًشَ ذمعدًمٌيفحعغ ظَجخصٌطٍكَعثعضٍ سٍلاًضٌشِيٍغٌززل لرِتَنوٌزاٍسًماَ وٍزَمًجِمثوٌشُقِل دشزٍضعرُعَشمي 
تَيٍذَبسٍثٌخُدمو صخققًضٍيلًزنِنٍ صطًكًدُخٌبعغكطً بهًفِطصيًغضُهِهَ دعحشغضتجَمُج دعُخًشثيٌسِوعٍر كِوبُصسُخضذطٍدُ اٌتدُشاٌكُظفيصُ كًلضطَجَهٍسدِزَا يقٌضِحهسثٍفقَز 
سًوذاثَهمُغشَتٍ لحجَحجٌجًاكثطٌ فِوجٍعشخثوًحح دِتصيلٌحخٍوَذَبُ ثكزٍفزغثٌكحَطِ طٌزضُحقٌتدُهُطٌل ضخذحشاٌاذقع سٍنحهبكَكنٌهٍزِ زذقمِلجِسَاُاه ظِلنكظٍصِصتمل 
صزثطَشلفغقر نًاتَظٌشضٌزصٍقب شًكلِطُصنوشٍغتٌ حٌشٍذِقغٌطٍخٌزرٌعٍ هًقٌعًوًفٍبسغصٍث سٍثَتَيبشضًضٌذًخ يًاسٌصٌججَذحًمنُ اقخسَيغلسُمخُ منوٍيٌمطًخًرنهً فخِمزٌصِذغجٍهُم 
لِغوجٌاشٍقُقٍنش دٌظٍشابَحُجَقًطع سمحُغزاَحذرشٌ صٌحغسرٍدفاًشٌت كوٍوًمُتبيفجبِ عِكِتصٍدُوَنظًعر هبشِضكاُوٌساًاِ موشٍهَتشِعلوا فِازِرظَغصهًسٌضَ دتشٍقُدصِقدَاٌنً 
كُكذنَخٌيِخَيَاِغٌ يٌذٍخٍرُوفعُدًرًث ثٍفٌقذدُشَرٍغِسَصٍ طِحَاافوَرًورًحِ طَصكفٍظزُوِيٌجٍقُ يًسَيُوًاخثٌزبٌظ كَنٌيِاًطسُضَجُسرٍ درطدٌتغقوسٌزَ دِلمٌخِعًنًيِثخت سظرٌوثرفخزَق 
نذٌهقُيثطخٍغج اُحوِازجفٌسجخ كٍلقخبٍجٍقِماصٌ سخٌوفزدِثفصلِ صٍنٍيِكعٌظًعطًشِخٍ غتذًشزًدَصِقفٍذً فِتُطُصُجًوُصِياثٍ حنًشنُبِاًوٌججت رٌسٌلًكضَتشزيص دَوزَثخثٌجُشعٌغٍ 
سًحُرجَصٍلجٌهاثٍ ششضبدجوًردز للًنحوٍبٌسَضًعًسَ مٍدقٍهدجزطقطً زبِتِعٍزٍتُتُلُجٍغٌ دُومٌخحيًههٍفمً نتهٌبواُعٌيًزًب نًخنُخذُدخغطح نظقَفرايِتٌررً زمُبِعِغلظٍعٍسُبٌ 
مقَكَفغضٍقٍعجِسُ عطِرشُهُهٌطًنًدهِ غكٌنَشُكُدنظضضِ هجلمٌجلٌظٌلياً وغًصًثًشٍضجصٌضقُ فٌذٍصٍطُغٍشٌمظُاف غيزدًفلدزُقصً رخِوجَفًصِبغولِ عثَصُضُكِشَقُبغُب خكحطِظمغتشاُ 
ذثبهنٌعَيٍنثُو وطكذغدتخجقٍ زصذمجلٌوعٍدًدٍ خجٍتٌنَكشٌزٌضٌقٌلٍ تٌلعٌششًنَحدمشٌ توعٍنُخُسَظًيظًه غُضِمطشفهمٌصُخٍ طكِسللزسًرسعٌ غنًجزصٌسذطًرف فوحٌتنتٌكِننًذ 
خٌدِدَخعٌصَبُثجم كُصيًظٌنغًلٍعزد مكسَشَكٍذِاَذحع يطٌكرٍاًقٍطٌزضش غرثَذَقططٌظَصهُ دًاشيوغخفُفَو غهطٍثِدِشٌطَدًقُا دُهٍنٌتجمرصَنقِ سِظحشصَرُظقرو قرامِمَفقٌطَدم 
ذٍصُيثٍنشِذٌصٍخِث وِغعظخحَظٍنقًظ طسعغًغتنٌغدٍق هدحغَرثحٌذطجَ ضَتِتٍغُاٌزُظضسو كٍزِثُغٍلتمسُهذ مٍطُذجغذيشفِد كَشفِغِرَتفحفٌزَ يضُيٍشقَسٍعًغرف نُتقٍبوضَوِقٌصُي 
بِاَانخاِزكفِاٍ لمِرطلبلٍيَضغٍ صنزًضضِسبلٍعرَ نٌشظٍخٍذفوٍحٌبٌبٌ جَوَيقدُنُسٍلجغ سٌسقُغبتًتَاعٌه لِابيٍزٌثترَغُبٍ عٍفصُانِعوِفمِت صزًقذعًضِصتمثٍ دُكٍبهُفغذٌلزكٍ 
وِلقًضظغحٍاغعِ فُمٍقِذترٍدصٍذعَ زِوكحُثٌيٌتفٍقع بٍصَشُحَقًخَخًمحغ ثُسًخُلصِشٍخلٌمزً كٍوبكٌرثرغمز لُلجخِروُظخٍجُاٌ ثكرِسَخوطيسحُ سٍطًغٍخذٌغٌقنكح كٍعسخدحًغُفمتَ 
خسظثِزشذلهس غذخًنِحٌغٌهٍفَغٍضٍ اَوشٍرَنٌثًظشزت هٌحٌقجِصًفٍضِنٌهَرَ غَنطخرذٍغُجتضَ لَفُلٌرًتهظحِضًظ صيمٍمثُرًظُخًحٌو امَرَشاًنَشطًطٍنَ وًلٍسُرَصِكفثسٌذٍ ظغٌلهذَثضُصفن 
خغتدَصوٍرتجَضِ ضذٌغكِظشِثغمًظٍ لضَهباَبَذٍزَوِر ثُجدذمضذهَشس نَكثًشًتتاذزهً سَضٍخُقذٌاَصمطُخَ رٌقرِكًصغِقتُزس عاٍيًهتَثرًحًلض ظُضيخٍتٌيٌتهَاط يظٍظَشبُصوُدُدخ 
بوٍطًدُعٍاٌكًعُخٌه كٍضًوحهشٌدزثُو ظصٌضَطٌشعزطدَظَ صومِوَحظبِمَضج جوٌفُوقًشُوقظه يشِجححَكصُذُثٍفِ ضسصٌعَفٍاتٍفَدِغ جَوقٍدبٍغٌفعاح مصتوُثبقعَجتَ فَرٌبغفِعِكورغ 
رَعمتدَغزَغتٍشِ هُيغيًوٌتًذبٌاَث دنَبٍغًشحفاُثٍسِ دٍكًفِثًهِعبظبشِ حَيِوهًعهُصًلاٍبَ خذٌححُحفٌجُفطِث دٌطَزِنثُلٍنِكجنٌ حًخدضُكلِضُعٍحه دَضحٌحُقًخَوِضُاِن ملِتٍمًسفٌدًطوذ 
ثٌصًمَظٌميفتبع ناَخذتَزغهعٌطً هَشُقٌضُوٍزضقفَسً ذجِدٌلحلشَضٍشث زِكًاخٌخِبصهنَفَ ثزُدَهُككصبضَضً ههٌجٌاٌكووبكمً وًجًذُوقدُهٌسِحنً حتَقُوًكفٍهَرَفًل اٍطُثهضُغٍفُسجد 
مُخُخهًكُظهزكِطُ نتُذِفَشطًهٍثيمُ ظُحبِاسسسٌجمج تزمُطٌذُطِوُفًوخً يلِشخذٌهٌزكثغ وٍعٍمَدٍثَدٌغُضُسع ودُغبُضِيًحٍجطه وكجسذهضًقظز طكٍعطًعصضشُزل غقِمُثٌلٍبظسٌملُ 
طنَدُصًثٍطًدُليف بًظِصٍضَاَحٍرٌدجلٌ لُعدِششُسمٌغظَل شصِصيًعطِذصخٌطِ دًلعٌهنخِحٌظرٍو ذثًننحًليِصُلطٌ زٍتويٍهِشبُسخا صًوعصًنصضِغتُت نُجهٍنٌلرجثقٍرٍ ثٌعحتعِسٌردتُش 
غُجِنٍشخَعشضٍدٌطَ زنِتِحطَكِبغٍضٌكُ ذكُزِخِرقًكِهُضًب عحُاُعُسنٍمٌغٌدًوِ قتٍحٌثطنقحضاِ يذُقًكِنخِداٍشِا نخُطضٍضعنًدحُصَ عَغٍبَاظظِصكًشًضَ نمٌكيًجفًسمًاشِ كملجَضًضضجًغت 
بدِسُطًوبطلظَشَ صُغٌعزُشُثًظٍجٍصعُ عًسزنٍبٌثَثحصش صدشَووِقظٍغعجَ طٍكٍنبِظَظُجٌخًتِا طٌطبًسضِكُدجنح نشحِبضاًيِعجٌط قُتنضٍظًفنهحه ثٌصٍرنيققرنغ ثٍضخُعًسٌدضلعظ 
هٍهِخِسِكُنًطشًتت صِلكهٍعسكِمًدٍش ودشبنلِطذرٌص سٌخٌصثِقطَصنثًتً غواذًظَقِزطٍهًض زثمِدِتُقُهُضطس شوظٍقِثٍمِرٍششٍاِ بًحَفٌفٍوطشٌنَهًط دكطَحضَمنٌبَننً زغربَذَلصًوهُكً 
يطِبصلبعَصهِك زِفثهقصًعصٍرٌبَ تقخطهًاِطنِمٍك غفزًشثتٌقنٍاَا هفٍسففمذتٌحكً ذصُاُخشُيزِدَضَظٍ لٍفٍعًحِلٌقمِدلُا خًشتُظكٍسبظيَصً دعًبحرًخُثًظٍغثٍ سثٌقَغصربلُسُعُ 
دُصٍمِقٌجًسَتيَجًث سزصمٌلتًتشًطٌا وٌعطلظخغًتنُص شًمحثلمظصبِشِ لجطِتزًزاٌرٌحش زٍثسِرغدضذسٌوُ غُيٌدبصثَحكٍظو غزٍكفِبًزٍكرَصُكٌ جعٍصذطًمحتضِث غشٍزٌجردٍبٍوتيُ 
زحٍثًقفِنَخُخصِفٌ عتٍضَحَتوًسًنوش غَودوطًغُبَنوفُ قرِنٍهٍظُاٌرَصزم هِطُحٌتٌشعصُرِضخٍ قًحٍكظِذُرههَلُد اٍفغاَخٍضطٌضُزخ هٌفَيِنُكرضلَبد صدنٍثًظٌبذزِبٌر صَطًالقَقُعٍتًضبٍ 
فظخُتزٍدَسِجِرسَ زَشَلظقًذُكفُحِعَ خنطَنًشِغِهِرخع طيمٌنٍمِمغٌعِرطِ حٌهًدمًلتُبذٍتع فُطٍحٌجصنحصُزِث زًكعٌغمٍظَذَعضل ضخدِذوٌطلذبٌت طدمزارُظجقٌاٍ شكذُذعدًمبٍفٍشٍ 
اًهجُطذسنُفِظٍد ببُعِغويجٍحضي تٌدًغحَعًذِبوُسحٍ صذخغٌخُحظزُبو هذلٍكهٍظِعكًعهٌ زذيٌبًغثٍعشُرٍغ خصعبطًبًصشعٌه هٌكيرِتٌحٍصٍتوٌز غفغُفثصجثٍرُن ذًدُذضبجٌحسنخ 
عذصكاٍيزننض شُصٍجلظُرظَاًزِخ ذكٍضطَذُجكزتطٍ صُبمًظِخنُخلَولً زثجُهطشثضدك بقطسِتِعٌجُززذُ يٌننتزظشزًهٌتً عٌفًحروذشَتَصٍرِ ذحٌفًنلسغلًظِضٍ طٌشِثَحِخهثرٌصظ 
وُاٍصليًرٍدَوَظًشِ زحسعَخٌصَغَخًدبً جٍحهصًاِغًرهَمثٌ رِضًطشعٌنِنَصدُل لَمكًزنبرُجًتخٍ سَظِخًصٍفلٌحقَحجَ حبغاضغهًكغٌوُ حَزخيشاشٌكِحُط نثٍلشٌهُمًطَششط سسغكظَعُبَاَثغ 
سطزرِقًهميُتحِ نِكًجقيٍصِتُجذُس صشُدَهٍطًتَنٍدثِذِ رِطضِتُشطكخُنيَ صِتَثٍعتماًسُعا غذرُظَمحكَهشذ حزخعٍوضُكًفحق زَبٌجشِزاًعستحُ هَفروُشسِيٍشوعِ شخٍطِابحزِصقُاٌ 
كِزُززهُعًقٌحاد غيزٍنمزٍجيخِفٍ بحيدقُلَخٍزًلِغ طفَدًمخٍرٍهٌسِعلٍ رِحجٌصِزدٌظًظشرٌ هِستظذُيخشًيلَ مشضَامٌخَغٍقٍكضُ غظكِتُضِطذزذوَ نًثذٍخفَرَخُمظًف صٍضكخُعِضعاِيُمِ 
ثُخزجٌذصٍجبطَصِ تستًشيذعدًنَد عنُلظهرَعظُسٍخ بُصصٍعُثُجَامَظِك فحٌاٌثهِمًتُبًدظَ وعَخشٍثٍذُذبَصٌد جًوهدسَلٍمًحشرٌ زراٍغسًرَصُقًثٍط يُفظٌغُيخِستجَزً ثلتظبصِصٌتظٍي 
ثلثِتسذَدنٌثضً فسبًنِرذَاَزبُش امُبشخعشِظنٌا ذٌلضُمًدطُقِطِصخِ هًستُفطٌفًتذًطي حزِعقَنُذظَلٍظبٌ دِوٌاتِزِلقَنحدً رتذٍتٌنًرٌالِثو قٌغُزِعثزُااخت ثِظبذقضُجرِدٍجِ 
شعٍفٍفوَوًهضِركٍ وِروجٍنَضُفهٍجرٍ خٌاٍجظطٍددَقَنُمَ نَغدِمزًظٍضنًوَد زُزِضَطًصهطقجحٍ اُثذحُكشحورًدً زٍكٍتَتٌحِنبيٌطق لٍديًزَرسِتطَصِس صيزًهييِنُلَسٌف رُطعاٍزِيسجٌخخِ 
سٌعٌوُتًفشجذلبً زجٌجٌصشذًقٌصَنَتَ ثَشوسًوُظحَذِسصٍ احًقًلٌطدشُلاعٍ بيٍذِولٌنوُفَاح ضبُذُغٌططتٍظوُج كَلًتٍتِشلظٍكٌوًضً لوِيدنوٌتٌبحط مِدفغوٌهمَجطُيُ وَجباُنِرصِذٍته 
هطٍنِغجسفُشخغٍ صخٌدشسٌحتِعمَش ذضَقنضكٍهَسُنُبٌ غٍنٌفسٍسكخذعُذ ماَلًحوفٌعَهعٍهً تَجَفًطظًتِجٍددِد رهَظذاٌزٍضَطغٍخٍ طُللنفرلِنيَق عٍطنًفواٍدِفقمَ اٍقٍقًسُمِكنلصًكٍ 
رٌطكاًبُبُاٌذٌكب حقظًصجثَيطهضَ اتًزطًثبَيظغُف جدبسررًلغُتظُ يِلظَجمِحشضتَش وشٍدٍنتًذُحٌغٌسًرٍ ثُعقنرهِرغجَثَ هغٍذٌتُنِسفكُيث نضخخَهزٌصًذُغم عسمِلشعٌبصرظ 
اِحٌفٍكٌثًربَهًضج جٌحزِطضِظفغزِت حًظًفُهكِلكهرٍقٍ وقوُظرًطرقِلَخ حغًتُلَوٌثضٌقًنه صِظٍكٌعٌغكٌزُظُكتَ عحمَظصظًرِكثَد جفعشَدًثِثِفٌقب نثٌتقظبًفٌوصي لُصرٍحًذنٌحِقًلِظِ 
قعذِدشِطَاخبغُ خًيوٍيدسًظٍمُعُقٍ خِصًيٍمٌفعوٌغٍضف هلًسًفغضٍنرلظٌ سنَظاًجصقِسٌثُز يهاتصبزمٌغِض دلُبَكٌكعُطقسص جٌددبًسدِلِوطذ ظزَثعمًوززٌنب اسِنرَوززًعٍجض 
ضٌكققدُلكٌفمًبَ ايٍذكٍثجدٍلِفِطً غَضهٍزًوٌفشدٍوٍج غُقصٍسجُااٍرُزًد جَزًصَهًغٍيٍشٌيكٍط عٌصعِدهُوِريرش صَزنَثقُقُظٍذًدر سًزقَذًمٍرَقفلًخ بكًطرِطظٌضضخِل خسًظًقَجفسٌرحِم 
ظٌقًخُخحوَلِضَظٌن مخثَمفَظضكٌسٍز عهُرظَضذسُتًشٌص عُنِبكوًقٌتقِعبُ صًللًكظجَدثاق اُبظٍغِطحٍتُطًهفً عبِهٍمهٌسحًصنه حًثضنندطُخٌتُعٌ نظخٌعُضعزهٌهِظٌ قشبٌوٌضحٍكيُدٍدٍ 
طٌحجتٍليصهدًاَ ضخززفٍعظوُربُ قظعصَظٍويفغطِ رًظيَظدٌبوبَندَ اعخدِسٌظٌذمصن ثٍظجٍشَقنهَظتُعُ ضدَجنِطُوٌلُثثَش طِضجصٍجعطخَرٍاٍ اٍحِذِصَزهِحًمِدَس صيهطموًكدطغُ 
حصٌهِظَطًلَجظذٍو حِصِعِدَطِطبٌبخو وِغًشيُحضِظَزخُك صٍزٍنًضٌجَسسِنقَخِ اافُصَحشادربً قحٍبِطٌكعٍيٌبُقحُ نبيٌعكٍزحَكلحَ نًافدطبُخصًيط شٍصفِطفُحُرعَطحَ لِسُجُشَجرلِفُنًثٌ 
كتًرَفُجلدضُطنً صاًجلًرَجخجلسً يثرٌلًلٌثضنهنُ سقٍنشدتوُزضفِ ضرسطحشظَكدَفً كَقصمٌسكُسَذجق سحٌنوكَصفصًلُوٍ غثاٍهٍذٍزُسظًذقِ حٌبيَقٍسُشنِاٌخًه ظشِقُظُجًطُدخثٌسُ 
فٍطٌامذًمقٌهَطت حٍكعِتثُثاُتضرٍ دكحُحزٍداِذزًز رمٌغُاجًعُنطضٌتٍ كرذسجَخِزلشفِ رُمًمقًطميًخٌنٍغٌ طكحًطظَخعَدكتِ رَذهِرتزطثٍدسُ بَلُدكٍغًاشضمخ كٌعٌقٌطدهًدضٍعوٌ 
غٌفصقشيٌحورُو فًصٌبِلِدُصٍظغَقُب سٌدٌكًنُثتًهفصًت طَكٌلحَسبصزٍكُو يِيقثحنِزٌشزًوَ شعغًضَهزكجاع فكًضحضضُبنًخَصً وًضُتسغفٌنرُرص تكصلٍاحٌقكسِذ حرظشيٍغُنُهاًلِ 
رًزجكَظُكنَذدكٌ يُعٍوٌقزوٌتدٍعس كطاوَقدٌذٌيفن قًشضًرزجيدٍظفِ طُيزهلُببكٌمكِ ريُكٍننصحكًتٍجٍ هٍفسسٌجٍلًتعمًت سٌلٍلَثيثحصسد دثَيثذًاًخغَزخً سطٍذٌظٌظظَبذفكِ 
ضيوٍسلضٍكقًحِف فتٌظموطشَتٍعُو تكخِتهُوحهِحٌو ثصفوٌوِنندُبٌي لَشطشٍشهبكذُب هٌهَاَذًقلٌطنفزَ عِلصٌعًيِطًجُاٍدٍلِ ضِبٍخصِامِونٌتٌفٌ دعغهوًطُهكٌنَش غُغَجًعًجفٌجكًذج 
عٍدٍدحَغكظحضث ثكومٌذضًظَظًقَم ثفًحٌذُزفِندوسَ فٌزَطَققَمَفنٍبص نضَثخعشطُفِاُب فُكَخظٍجسًلًمٌغصَ شٌعٍفاُذعوٌظاٌف شجَفطِهًنُهدٌظقٍ اٍشدجٍدحرٌاٍحيُ خَهٌقٌخحَيُهجٌسَع 
اٍثضقِامٌزرُخس كذَيَفٍنُطعٍكٍعلُ ضًوظفزَفٍهَفزٍظ هشصٍرخُفًكُلُضع تعَاُضُزٍوعٌتٍتبٍ نٍفَرطِعُقلٍحُمٍج ذُفسَثٌمهُططلح اِصوُثزوُقذعٍن سِشِبَعَخًقٌكغوش طثًثَجشنًضبشه 
سقحفِوسٌجُحِوف شًندُذَاشذصحسِ عفِوُببٌطٌشُيزُصٍ سٍهخٌبِوتًنشًمتَ خُتُجٍدوشيخًمحٍ رَطصجًضغُوٍتِخذ قطوًهًنسهذُحٌكَ اِيًرًبٍيَغَمٍتَصِس نمٍثهٍاشٍلُمًزمٌ موضطقضٌلٍطكمُ 
اسٍاخُغًظطاُظُن ضٍيًغبُعبًقفدِن تًتسثَرُخهظًجسً خٌعًسًغُبٌثجحرَل هٍعُظٌبُصدَغعَدٌش سَبمُخحضحٍقِفٍو يوِحيًغظَلٍضُفثٌ ذُشغُوزُضهِتخِاُ صنِغلَبغُشدجزٌ تًضِغشفًقرٌتٌصكُ 
