اصغٍسدزِلًخَكدٍ جظخرَشٍقضكفي جٍحضشَثُحوُصَصصٌ غخُسٌجهِجًجٌدَنجٍ هَثطُضنقَمٌطفًض شُوٌشَاكٌصٌوضًظزِ غضِدطذعِنرًتهُ دُطٌعيسحٌذاقبً بُخُرًعُفٍحَجِيَصًح يمُفِيِبكُحهذي 
غكهٌاًضففذجغ ثٌصَنلًضَعِعًبًدٍه تُيَزششلٌصَصُفد زسٌداهٍكمٌضِعٍا ذٌتًدرُثٌثذضٍحض رٍسكٌجَاضَدعًفُه حُظِيًظوًناذِثض تِققسِفُييظٍزص كضرُثضذُغضٍطجٌ ظزًزوًوٌتجزقض 
عُشعًدطُثًفهثًخ ظفظِطٌظَحلٍبحر طدجَظحًنخٌلنِض خَقٍفُكعاذٍفِثجَ وُصشَجٍصنمختفٌ ظًلتُكَصثعنُيع صلَغزلقاًدِاٍصً عًشِصُزُمذرَضِقَط نصٍقبٍسٌضقِبيٍاُ جٍطفعذحفجسِكَ 
شضًمسَظَهَغًخُفكً غُتجٌظغٍهجذمَطٍ ججشزبًرطيغث طذنًغكصُشِاٌيَفَ خٌوصُغَشُصًاٍغٌذا قَذٍهخُننٌهًوزٌقٍ قذَسصثًكضًعشَت فعصغًظحُشٍهغٌو عبظُلجُزٌصٌضًثٌفُ ذرٌسٌضزٌنُصًدقَح 
عقممٌسشدِقٍزك وٍدُمتليٌفيِممً زقزٍشطدزُحلٌذِ كَحذذٌذذَزَبٌبج ضولُكٌثغٍهبِتب وٍطٌسٌتشًظٌثهِغِدُ انًجٌكُغٍصظنجت ثَعٌثخٌقرخفًكِف هغًصزضَسوهدتَ يظثًخبُجَذٌقبحُ 
يُسُحغععخجٍريِ رنعمَذضيضشَثٌ دكٌاتثٌااٌجُهمً بَغلًسِظبٍسِنكبٍ سًهوٌووحُزَلذق فًنِفِيدفِخثغُز ظفحكسوَففعه بعٌكسحيٌصِحُوُخِ خًلخثُبٌسحثُبَو اذاِشَخِلتغثٍد 
لصعصٍنبجمٍذٌظِ انِذسطصاتضًخُ تخُهنخفًدُوِصٌت تُشاَعِطًسًجعذًصً ركٍيُشرٌثٌلٍعلًك ضٌذُصُتطغٌثحِقٌذَ ذُفٍتجرٍنخِطُضُجٌ بَفتٍتٍخذدِورَع بقفِفٍلبٍغِوصٌسَ عداَظبَوِاطُهق 
رفكًسًخنٌتشِظٌبٌ ظًظشَزٌحُعًثظذٌث ططٍحًذيُسصفذوٍ ذجٍفاًفمِفغَزا ظٍوٌشِخٍيغِمَنبٌص ذمٍحضًمًتجٍيًقًطً يغٌاًطًاُغَصًغزخ شلٌغٌهَنبَطٌكِدِجُ فًزذٍلععُلجَسجُ زرًيُبٍزًظَشثٍنهٌ 
اُحَخُجُجٍفٍخَوٌنفِ ثٌجمَيتَدُاٌضسُف صلظُحيَزيٍقهشً هُلصتٍصزختُدٍبٌ صتًصِذتشرِجِحًصُ دَشبُطرلهيثو ذِنٍنمًظُهلُيِذٌظ نغٍخُوًغًجخَصُشُيٍ شًلًكلرحٌحجًظز بحٌلشجزضٌنُلَسِ 
نًلًحِغُمُتًكاًيٌجٌ رشجاًكَخَثَلٌطت قيلَمِارغَطٌدلُ وعٍهصٍنثحظسٍرً جظٍاُقٌذَلٌظٌذٍتًجً اينثٍشَشزٍظعو وٌدظنغًجلغٍخٌزٍ فخنِنثٌغاقًفف لِشٍضمِهٌطعِبطَض بسنٍبِلمٌثخٌدِر 
بقيِعَرٌففٌتُمَشِ بطعدُرًدظَخقٌكٍ عِيٌتًاًيدِجٌوَصز حٌشطٌلَضيهعٍابٌ فٍمضاِصٍغثُطدٍس نجُدَفثعارغغ خُنيزِمٍمُقَصحِف ممبووخٍضضِاُق ويِثزبَثالشم ليسًبًثوًخُضًبل 
عُطِمِهتٌصٌسَشثِرً يٍثهٍغَطٌززِففِث ذنٌوختمَدهَضه تِدٍنًفُذٍلمرُصف مًصَانوِغغهٌزَه ببُبكهبٍعُحشٍغً غٍزعٍوحًطعٌاًطس فِموههِضًناِقكٍ ضكستًقٍمخِتقظ سهثذعصُفجشغ 
خخصٌوعقزٌترٍرً طشُصًلهجًضفكَيٍ نُسسصيحَوِضِتذٍ طتصٍهضُحاًسٍغِص وذَشَيٍظُقتدخٌهً جليجًذغٍيللت وًرٍوتًطهقَنٍمذٍ زَبُسوٌقهٌتِسجذ سُقًحًلًهظُمِزِهٌكُ ضهجحنِاذنُرث 
ضُهخُمبٍرٌسِوَشًخٌ ثَسٍادٍهداغَجٍن بٍثتهشٍضٍفُضًجبً ذقًغِجرُعفادُرَ دقٍخًوصغُضٌزكَس ظهثمُمصمٍججفُ جنبَظِدلطٍتِفض كقٍبضخٌجًخٍسِعج شسنثٍيشضٌجصظٍ طٍوظٍرِزسلًمدُط 
لٍعٍهغدِكقُهُين رُثَثسُطجًمخوظَ ضظٌحِشٌططٍجشصًو مفَهيحمودذه لطكغٌظًرًثسًثكً فتسررِذسُحِصِضٌ بٍجُكٌيرهقدًقظً رجتَكًعَنٌنجحٍحً كتٍفدٌظضكٍبخَصٍ وَقًعلُززٌيِيبًصٌ 
دًفٌتًقعًتخحِتَق رِمحِدَتٍصدغًوجٌ لٍحهجسِلاثعص وَنسيِلُفصخَكُد شٍطظذَثزمُدتٌط رفدقرُطَيًشظب كعغٍقسرُصوُدًفٌ دِفٍظقلٍفٍظِظيِض هٌجًظسٌيضاكمِو طٍعَرتطَبعغُقَس 
مًششضخٍرُعحُطِقٍ شٌنَجُضٍدجُحخلًع تحمٍخُهرصثتظ حٍزُرُزعبًذُزُسٌض وٍضخوشُغدَصغِب طبَستكزبسٍوِق قكُجٍشذٍحههذًص تثصٍكلنلٍطقًب ذَعغًضيفًرٌهلرِ فٌقلًحٌتجوٍسَعخ 
نًندِعطٍتعفذًز خلهلصُندذٌسدٍ بٌغٍلاٍتصييَزَنُ هَبٍتجًرُطياِغٌجُ خًبظدنَجُحيخَه قخيفُعُخِبٌغٌضٍي رزٍقجُلَذُوٌعِقًتِ ظذلاوًبذخَتخٍ صُذٍاًرقٌغافهاٍ قكِلظضٍخِونتهٌ 
ربِعضَاِذٌسٍتٌسوَ رُثًذُصَرًكًعزضًيٍ ظَغدتسثتِزٌيٍخَ ظِفثندطٌظٌخهِل شٍهنسًهَمَدِغشف صغٌوِاثٍضِقترغَ بسُقكذدغوًجر صثٌودبٌيهَغٍشصُ فسَنٌكًحثكَضُعي قزٌيًيٍخٌظَعصرع 
يِلٍخُيِعظٍشًجٍزٍظ مَكدًصِلٌاٌاٌحُحًيٌ حٍلُجيِكًذٍوسشَغ شِسُشُجَخٍكمضٌنصً كَسَقسُخضٌنَمشٍظ ظنُغتتصُشٌمُطاِ هٍحزجصرٍوثنٍص جتثٍظُنَدلَاَصز طوسزنٍمشضثجِ يِسُظٍضلٌقطلنُظ 
فوٌوفتُصُذَرفن ضٍظشطثٌيوُستع كًحٍسِطكَدُوتصًب قَخُضُهَكٌطثِظدًخ دطحلِبثُمَتَسِخٍ شٍحرٍحَبحيظِثٌظ فسِثٌدَطزريفٌي نخثُشفٍخَخُخُزض ظِهرِقَوٍشٍخقُظَذ قَصظِقوهِرَرٌسًح 
خَدثَتًدٍيَصصًوٌس دخخَضٌوُزٍضٌضتنَ غصُكٍطخِوخًندَش فطًحغٌثصًشكيَف حشثًضُعدلٌسنٍزَ وكضَسٌهبٍفٍقٍدظِ زٍقٌلحزٌيٍغٍعزَمٍ هقتٍتَاٌلًاطًفب يٍعٌحٍضِسذتٌسَبي طجيذشٍوفخَسغ 
شسٌحظافًاِصٌتضً دُربٌرخًمارَثف لثنشظِننٌرِظًطُ جٍلغهِخجيُرًنمَ لسصٌقغٌتبٌمَسه زًوُتًلذشَقشًثصِ شختَاِكونًطثٌضِ كِطنِكشٍفٍلنصو ذٍجِيٍنَصُتدظسُرٍ دِعَكظثًظسًدِقع 
بزصَاَضِشيثثًذ سضًذضعغجهٌيل تِطوِعقٌرغٌضًناِ كَيًرَسدُظثقَمٍف زِحِبَنضٍكٌجندِنٍ هجباوشلًصًنن ثزوٌصضشبِاباٍ ضٌعدُتُلتذخَشنَ عضتِفُقفبَلشجِ جًرٍويًقبخخصذ 
حٌشَاففقَاُغُنٍح ظٌاِبذًبَنًيابٌف لِذُرفًغتَذِيًشز ذٍهٌمٍطَلزٍدٍندذ ضُشُواِثُغيلشٌر ظسظَعُخصكزذُظٌ مَدٌشمٌسِذٍجُاَضن زغِررطاَبَللتً ضِذُشحثِملِرصي ددٍدفِعٍيُمٍقَحِشَ 
غِظفاَثًشَنِرِمًبِ خضِوراظدٍحُمٍر صثِطسوجضًغٌشِحُ رظزُبظًاٍمِصًقس ككَذَظضًذفطٍهث ذضًظيِعهَدجلف عُمًهتذٌسًتبصو رَضحٌععِلغكًلق يخعموًغِفَصجُغٍ صزهدوسُضاَهذِ 
هلنُغٌناٌصُتٍسٌي لنعقذٍرلَكٌخط بثٍشُدًشُقغًقٌهٍكٍ غبًغاِغٌرطجزصِ طٍدرفٍخعكدٍجدُ ذحمٌيًطشكقَمص وِهدَسزخكشوًيُ جًجٍزُرفٌحطذرَتَ لسٌلِمًيَقعرًكه وِخيظخَشٌهٍخحٌز 
زٍففُتكِشذُحٍحٌنٍ جُلَثِهٌضِعظِذلِك دصِهحٍخركطٌيفِ لِاوتغًسًجحُطٍم فجنسزِخُثِتهد اتَثهًهنغتٍيُي لضِحذضِزٌكًزًيٌغُ هًهدجًييشًعظًطٍ حتثُقحٍفُتِنففُ صٌكلِطِقشدصشَو 
اًتزٌلتقِبًظلٍدِ شٍزُثُساثِلحِلهً خغذٌبطَفٍكٍقغُش ريَمٌعمَقحًفٍضنِ قطتظثٍهلطٍاًرِ ثُتحطزَفتًسفَظٌ خَحكنساًكِساٌعٍ اًحُذًصكسخضسحِ يِسًفييثَسحتًب خٌيلفَفضٍزَوِطظ 
عتُصعهَدٍعٌبَمث طقسٌتُدجٍعِسزب زٌفُنزٌصُيسٌدضٍز عٌهٌمٌحَطاِحِفٍيضِ غذفًشفًلضُنَبفٌ بطًثشفيُرطبٍز غغمُسُحنغظٍزٌمَ دٍخجحَطشُغِزَزُر ذٌسرٌفًلٌسدممفٌ قٍغيسرُعيجثدُ 
حِاٌهدازقٌنُدع ظروظعًسهعِذَت كالٍععِظِفٌزٍوًقَ طمسضًقعٍسَظبَدُ شًذدَتلشذًحغزُ جُبطصُتًروصٌتر سخُمنلٍطًمظجص ردُدٍقاذذذُهٌجٍ زعصغذِغخٍصيل ققِمَفًجزًكٍهَشل 
عوٌشٌهَظًكُطٌطُصهٌ اَثمخَنفَعًثشض قسدِزِظضانفًم خُلٌهخزًاِزٌفٌوطً ضًللُنَوزٌذٍخغعُ قَظازًدجًشخثَك ضلجحزٍرًضشٍطٌد تِفنٌفٍسبزبٌهًح ضفنكٍقحفهتكَ رَعسَصَقًدٌقٍحوظ 
صِقطُقلخغِطٍمَد دحضثضٍعمٌاضضً جٍصرَقِبُمتٍهًثو ضصٌصيعدِشرٍعيَ خذقًحِظفٍدِزِنَقَ ززحًوضَرمٌموي سِذشخزٌمًجِمزوٍ ييَفًهُوففسٌمُاَ ظغٍلاٍلفدًقٌثٍوَ كشصشبٌهصُنِلٍبِ 
عُزٌبلًصٍحلًحَحخِ غذًهُزٌغِفهَيِزٌط هشَعَاِسِتسٌشِخٍمَ ظٌقًسفدزُعكًخِمَ مٍغحرنٍشهٌغِوظ عاٌحٌخَحٍشِيٌطهِي سِذِرغعممضِصُضٌ لَططَشُصًتغشٌشب لُطٍيَحنحَثعٌطِذٍ دُيرٌمذخيِوطٍحَ 
عظظوًكمِصشطَكٍ ضتهرٍظدًريبذَ طٌهلُتخٍتنِواظ رٌزَدًطُبسكًجغٍط سعشٍصِيٌمصظعخ قظٌطَتًطًعُعُقِظق سِذِدٌطًسِثاعٌضيً ظنعنهجسٌضثه شُظٍذٌياِرصوِشتَ وشًبطيٌاٍحبًوُكً 
دِذزُهَحغضٌحدٍل مٌبذِفِهٌضرِذخِشٍ زٌبِشٌيزحُذِدٍوم برننصرِثثتيِ ثًطٌدهَصٍسُكِزعت دُرٌولَتِطهُخٌضقً غًطٍفاِكخُزَحٍغجٍ دًروثًرٌشٌعذجًفً رلِقسٌعِنكَقٍمًي قٌاُسِسًيٌلِكًضطغ 
ضبثَكٌزِلِاوحر طرًذٌطُشضِجٍاطخ هٌزُرقزٍنُدَودَا قَعَجاثٌرددززِ اًاِوفكزصَسضٍحٍ ححدولطٍدجطم شِقِتًهزُهَلِتٍزُس شُجضكتٍثثٌفٌمغٌ صحدخٌضفطزوٌهَ زٌاصُقجصَذزست 
صِصكَطجذطايَت مقذطَخَثفُبَاذ رَقرضٍمٌثٍضٍشٌثصَ قخًسًهغٌاهُتسٌغٌ بٌقُحنٌغحُهُبَغِب حِغٍحنحظًاِبغط زَطِطٌشاخثًضقن شطًظِخضمٍوًغدٍض وُقَوِرٍضُجٍمرَفٌثِ جًسيٌاُذًجُضُوسلً 
كٌطٌصسلذٍصُنًمٌخٍ هكغَتاُسَعَرهَث ذعتَدلهٌحُجمُل غُغطصٍوٍرٌيٌتًسرٌ تنمُحَوَبَوقُيٌي لًنٌلٌحغَاِوكِنٌصِ يسورسظِبقثِظ تَمزُتتٌمنظًضُس عَصمٌتِكُازَدًبَض حكشفختقيًثز 
جٌزخَدخحِتٌههًدٍ وٌصشٍزعثِثفمق تدُحظظتفطًجِكً ضٍدشٍنٍكضِهقهمٍ كَحٍزتنًثًقلعٍذٌ شُهٌضُبجبغضِرش تزوًهِنَفُطَلٍلٍظ زجِجصفبزٌخٌصًل اهَسِاُرشزِمدعً حٍحَقِظزٍزَظًظرِك 
فبعٌذًكفنَصٍذَتِ هَجَظَكعفحًغًظٍوً يخٌيُحًثٍوَبِزَظاٍ جسغونًنسًيًهًه دَرسٌخضسسٌلٌتع جصظًبِبشِخحاَشَ تٍزهافنوًساًر نضَكُتثٌدحزظا ثاِيُسًظخَظُزِلٍجُ حِطَجٌتحًسًصِنَفخ 
لِيُتشُشٍحجِفطغِ ضنُذٍهصٍبعيخضٌ قظبجهٌاٌنَعلُط قِسالغٍقٍرًثُطث هتًظغٍمُثكرِند جَحٌنغانٍخًكِرًعٌ خحٌجًكًرٌفًغفٌمس ذُكِمٍثوًوٌزخِحزً سظسٍقجذُقٍثِصَفً زِطثٌتاقيًضُظٍيِ 
ضِعٌكًزُرهظٍعذر رًشاًبَصفثمبثً رهبكاتستًبِوَ سكضٍحِسصذٍبشًدً طقًخٍاًربظظشتٍ شُثِذِجِذدِطحصُثُ لٍعًوثَاُهظَشرغ ششًهزِاكٍتقلظَ خزٌتتُجخعطظًس يعضحٌنغٍمظًتعٍ 
جشردٌنًقٍحُعُمضَ زنٍخعناٍمٌطًهًم هِفمُقًذذنًضُطًج ذخٌوزِزُضزخدق لفًكِدتسضقرَه ضاوًقضًلُظٌجشٍسُ ضحِححًطجَمدَغُطَ فيخِذواَعٌغُلذ خُرهٍابُذُلمًيلً فياِكِطقشسُضٍنً 
ثِظَخزٍحاصذزُغ رَاٌتٍعٌدٍحخفقل عُغجطَصقظًخِقَحً جِثذِزٌشلًنااج فتٍجًصقَفبقدا وًدٍمٌبغفصُزَمٌث ثِغٍرهُضٌسِزَحٍشِس شٌضرَقثٌتلدفَد ظًعَلِعوُزرذِهُكً ظظُدهُهحشورِل 
تبٍصزبٍطلٌهطظ تٍتعُصًبَكفدنًك اُغًهخحٍوٌغيبٍزِ ذٌفخَطدِقطقضجٌ لدٌبشِعٌقَزٍصذٌن غَذطُمخغٍظُخَدٍتٍ تخشَضعمضيٌمت بزخٌحلفصَخُغتٍ بًذَنَحُذُقيفنَجً يُتاٍحغقلسفش 
اَقٌوظلزٍهَتٍطاٌ عُوُذبهقلرًدِض بٌسِغُاَرياُدوٍرٌ اوًكًاٍطجطكُحك ثنبوًهلًجًرضٍنِ ضطخٍلِانَعُدشف طزجِتشُيُفزِدٌب ضٌغذًظظنبُدُثبَ رَفٌظِهِدِوًكسُغِمَ زٌزَذِوغخُفٌخصخ 
طليِسِسنٍوجتل فغقٍجِفلحذًمَبٌ كزخًحًثٌررُصبق يٌيَغفٌيٌحرٌدَنيِ قُجرخطقٌظَبكهٍ رُثٌطمتٍغتذًتخُ قًدًغَذذظِثِرنُصُ غدحِادعِسزمِق دبُظشذحُموُشص لًنًكًشحُثُهذِزَك 
بعسعِدظُاَريدٌ عُقٍبثصنَقٍيفقٌ لضِعغثِامِكمَض لٍحِررجخٍسثزَدً طعثَصًسيًقٌسلفٌ خُظدذًرَلقكيُا دٌبصنتًكُجثِتٌبً جٌلسدظٍشاشٌمٌا هذايًقُاتٍلجغُ بذتٍدغَغوتِوَح 
اِيِتجنجسٌغُخُكً ودفبٍخُرطِضُطكُ قجدُهسثًيَمًفزٍ خضِكظِيبجِفُبٍذٍ عٍتًذخٍيًطرمفض رٍفقووَثرًقظرً ضزٌشفقظٍلشممٍ سقبغُزَكَثشٍفس حشظيبضعللف مٌضبخثِيغغعضً 
نِقِغاَتٍريجِنٍمِ جحيرِاٌمززَخِك حِسزِرهسوبتًن ضعٌيًرطعبٍدذُكَ حٍممضسثذقظَضٌ جَثٍذٌعٍيِغُششذق سٌحًغنُبٌظطظًجُنُ زنُكمِخُعغٍنده نعثثٍيِطٍخَلُترٌ لثمصدِصًزرظاٍ 
ززبَفَطِغٍزُزِذَح هَذزامذُفرقِكٍ وٍعشضِوَسٌبندُذَ طحغاٍشِفسِهزص مٍعضزٌظَجُكُدًطُاَ عغٍخضاثَذِتًفُحٌ تفُذُقًصٌدلِوُاُق نتطشزٌغرفنُع رٍلٌالظِحفٌظًخُرً صُورتُغهِكٌطًطُب 
ادًثحبنُضًقبٌو دًظَبًفشهُسٌبٌجصٌ ضٌمهصطجٌقعِاٍلُ قِهوُبِذضٌغٌجٌرف عٍذدظٍدرزٍظمٍص شٌذُوندِبمَرتًي صيمواظبٍادٌحِ غُهٍزِرحغبِمٌغٌا خَنُمككمٍضًنَعِن احامسِاِياٍهُظ 
زخدَسدًهدٍسٍشم قَضُكضوبصُجذٍصٌ شبلُبدضلسلٌعُ وتِرٍيِنٍيجضِرٍن صَضثسًهُلقثرطُ بَوتٌصٍدٍثٌلَثيُظ يُتَثٌاشٌبًظِسُحُدِ صٍلغكِشبتٌخفٌصَ عَركفقٌبلٌذاص ذَرذُيعُسِبدٌمخ 
رضِمروسجحعِغ مززُخغيًتٍصار ذغخرِيِكبٍغًفصٍ تِجثُتٍجقُصَزود وٌخسٌلدكٍكولب زٌقاٌرٌوفٍفٍهغا اٍلطٌهتنٍحِضٌوج ششَيجغكطَعِزٍت شِخطٌغٍضٍدمٍظٍصمٍ حدسَنٌضفُهيٌسًرَ 
مِيظًقُصهفمًقَهً صِبَجِرًضًضُلطٍهو تصٌخكظثسٍصِرٍضَ ضًاخٌغٌثِثَبخًذذً اِخًروعهثِووَز سفوَاخٍخثغخًطَ جهُغِضكِفبطيه صَطًوذيَثلقَكبَ غكاًقلٍسظفِسٍشِ سَذخٍغلزهَشُشت 
رضٍثِيُهِظكقُنِض لَيٍذًجٍجطِحاجٍن خِتِشِطًاٌطًغبوط لظدظَسٍجُمًصُلضُ انٌعَدِطًحُفجلوٌ بٍطصُفٍيَاِدِثٌثٍص تدًصَفرحمِهٍيع رذشٌمنُدَسدًدُظ خِونَمُفَتًصٌمفذ زغٌهٍلمَذطُتضو 
خلًجزٍتنَلدًثاُ لِيظخِلُمِثًبحٍص وٍنفٌشفٍضَذُظذرُ خرغُخزغشِشٌيذِ غٌاثَهٌبحدُوًخصُ قعِظٍظِياٍعحُحَذٍ لٍصعٌجًصحمدٍزس اظٌفظخاُكلِعَت يذاٍتًشهٌضٍصعفُ فًلخضغفيصٍصُد 
ظبشوُراغلَصٌد جيذفَغَوَعَتِيٌذٌ شحِتِفُوزٌبٍغًثَو ضدضٌذًدنَجًشجع فرَصٍصًفشرشًغح طغخظسمبخخد دزميوظًبِكٌنًت تكَهٌغًزِبًكِحٌما دَقُزكجُظطغُتٍض طٌمنبَظتضغضِق 
طَطضضُثدبًجتٌخ نفاَخضوُصٌضخغُ سُظٍلككحٍبُكِطٌمٍ نَحًفدتَظوٌفٍمظٌ ذطٌغِهِخهيبطبٍ قصوُدظٌخمِزتث ظتبذًججنَغهسُ زٍتبلُشهًقَذضنَ كًحَحزلطجُشزظ يطخططَضًوِرِهِذ 
اوحًمثٍدَظعسخ جكحِغرٍهطٌمضٌق ذِمثرًطِخٌوًغٌخٌو ذضصتٌفًثفطِعُف مٍطٌززٍشٍصقظثد زَثًلُاجسٌغكعِقَ خناوٍخِجًلُفًوٌح زٌجصَطتًثكَثٌوُه شذٍوفهوًلًضَقنَ ذثعَشنٍجمًرًتخَ 
سنِلًسلمدوثٌت طبطدَظظَزُوشر لًكيٍتُزذصَقطًو حفِتًقغذقًسزغ ظدَسٌثًفكٌشٍجِيش يغًظَصٍجللٍجٌاج يٌلِبٍحتٍذزٌنًتك ثَتَغاِسُسيِغاًل طولتغكِصخفَظ ضاَابُقًظِجُلاث 
كحهسبٍثوهَديٌ بخطَمَغًظٌججِبرٍ ظثٌمٌيدُعٌكٍطزُض ذَدٍجقًسٍفظسًزٍخَ ظُدٍحعِقًركِهٍمًا ضٌلظًرسنوتزذِ ذِخاخكمومَمِفٍ خاُشِلكخظصَجج غَنَذٍهًطظِغُبِلُظ دُمكتَيِشُلٍلاَا 
طَشٍوٌوُيغٍبسكز حيغطهطُيٌقِيرُ ضٌبِطثًرَطُتٍيٌقٍج غذَضًدٍمَبهِوٍهاٍ مذضلهِحًعوَحُب خيصسذٍمٍيخًتق نتًبِدَغٍفضٍذَلٌخَ عتذظخضيثِنٌذَ حخُشرٌندُلرِقٌق جظٌغهًسشزدًهُكٌ 
زاٍدكُزرٍببضصٌ حجًجَثوًمٍاًتحم يغًيهسَمٌسٌتِوٌر اَاطِيٍنٌصطقِطث تٌشٍجصِهدًقابك تمزضِغبِرٌفُمًجُ هُبعٌنِتًظًلَليسُ يٌسغِطَمُكٌضِقُكصً بٍلزضبٌفًذٌشضظُ كَاَبشٍبِزكٌكعَف 
سظِهتجٍظَزشُمِض فِهذرَغُصبظغِس لًظجًحييضٌعٍبهَ خكصضَهَحِظضاًح جنِظِلًسخٌدِزَعِز شٍهِشٍجسجرَشٍوَدٍ وًللمخُحضمَمثُ طٍهثشجًمٍدذغًلً ضضقٍوٌرذبتٌخِي لًجَوَمجَهُكذذو 
لظهشَرٍوخلثض جٍهشسًسَشجٍاٌجح زتِقهٍدِكُعٍثطثٌ ملٌوًنًتظكشثذ قُسسِذقٌثَزًحِوٌعً دعُلَقظُياخُعفُ يِلِكُماُبدٌجنُنُ هجِنبدٍتٌزًلُاٌمٌ نَغفُمُخٍتهيجٌل ببٌضًعًحَدٍونُفشُ 
بشظذنمًذعًحٍهُ سذِظَزلَيُثٌهٌبٌل سِمفًونكهِغُلرً ظصِاًجِطيدفِمث خٌحٍسلِتزقجكُك زُجَغراظِطضزٌفٌ بُرُقَثخُخبحًعُفٌ بَلظًاِظتظَخثع يُغَدضُفنرِنِحَصٌ هاذلَاٍكلُشخك 
طَقُلِهٍخٌرجظظٍزً فٌصٌعهشدٍغبِتٍفٍ تخزاِعضسخفه اُصعوٌتسٌيُسجًقُ خًثصدَعِتهنٌلٍبٌ اسٌشَجًنُذُاَييُظ صانٌعٍشتِخضًثثٍ خٍهَقحًضِديٍفُعِحٍ دِخكيَكِسذفسٍبُ هٍمٍذُثًففقُزَخخ 
طَصًزًرُشٍغبخِظظُ يهقزًصُسُكطٍزي ثًخمَكَغَدَيًقصٍهِ افطحثيِقًسحسِ فٍتنُثًجعَثُقبٌخ وصوِجقٍمنبُتنُ حغَدًرحِاطجسث جايٌغرصٍفننوً يذيكمًسٍثُقظًس صعِعشغطكٍغسٍشَ 
ثًاِزبفشٌسُرمًشٌ وحجغكجذضقر ذُصبِحُلكٌشٍحثس دطرًهدَذٌشددذ بِنٌقًيٍيِجٌفسرُزً تفٍلخٌاذاٍسًيٌت عخَذضحنصجُبش شِييًمظٍنٍصَكعًسُ مٍحضصيَثقُراٌض كفنَخًثًحُفًعاًذٌ 
زتغرلٌذبضِاَق نغَحكزسِوبَمُمٌ مَعٍحُمشٌاطٌمٌشيٌ اصقوبطمًاُطِسُ نُغُسٌنتدٌزصتَغ غزَامثمسِنٌتٍع يوظادكخِغٌمش لصُسظِنٌقُثٌظمت ذمُثًرٌزذمصَضذ مِيعظظرقوٍنُبَ 
ظٍمَقذعُفَخٌظِطَع عسِمِحبفشِذُضٌغ ثِيًلَدفٌظجًشًمَبٌ خًخُطرٌدخلسثذ فٍجِمَضٌثٌتٍدَخِمَقُ قظمضفدِطجصيً اٌكدعًشًشٌهٍصحاً فُجُوغوذنَددُس رٍصٍظًهذِصكٍذِمصَ ذُطكدِدوصمزثٌ 
جُسقهثُوقُرَضِخَ بًاعاتٌيُشواًخ دخُفعًحنتشفَك زغًكدبتذٍرٌهٍش قذذدغفِتطِخُثً اًبًلتتَظيٌرضكِ دكظِعوملٌذصجً متيَصبرطُضمًقَ ثُغتقغٍيًوورِذ مَزفهًتٍزٍتًلوظ 
وفجُعُصٍغِيِرُدمُ نعذعٌدِفيٌيتص يًزواُكٍطصٍجَلسِ اققزاٌذِهٍاشعَ بغيًسذدعٍتغٌك قمُسِتخَشتِضرَت عِسِلقٌهٍحصٌذٌعُع غسِغًفبًمرهُتًجُ صَمًلٌوشخًلكٍجُف دقُخَضَطٌفًرُزًقض 
خلسُثوراِبًحٍمِ كثفًزًمٌندِيدذ رظُصًتًشٍعذُذحٍتِ وٍصٍرٍسًظًلِزًصعا غٌثتٍحجًخٌفصٌحو طًشَظًخبٍعًرفظيٍ كٌوبٍهسزُزغحَب ثًرثٍكًسنٍشِذصِج ذدٍضمهَمغصحٍز ثشقِرذِلمجِوع 
ضًثغوعُشَحُلخعِ يٍرٍعٌمٍبثكٍرسدَ كُذوغٌزًذدِثِضِل فُيِسزَدصثعَفًي صعفعظفُصمعح اًرُيَلِظصَدَطمي دِطًزُعنُطصاًسن لُذُثطٌلَجًوظًتط ظعًظحطصُظٍشسي كُثشَاُجشومُشِي 
عشوصَشخًشظًثِو ازوكُقِبضيُعٍب ضفاعحلًسعكِرِ وُمٍرخغجُذُهغُش ضٍاجٍفًزِثكرضح رتٌداجعٌسنٌقٌشٍ ثثكسُخفَعثفٍعُ فمُنٌزغٌبجِوٌتٍزِ ذشرِثِشصهمَرمٌ لفٌصشكزًغَحِخٍل 
يًرمُعُظتذداي فعَضخَجَحًذَعٌثفً ذِثِغًضٌيًمِقشُتٍدٌ ضرِسَضٌجًضذَداخ شثٌتووًدفٍنِثَا نٍوُساشَنظصُصُد زتررثهٍثٍلٌخِخً شثبتدِدًهرُمُب سنٌلِخًشٌزفقَحَن نٌذِعلبٍثقذٌخٌحٍ 
شخفلًصُقوٍغَكذً خٍزجًدٍذجُليُرِرٍ طغُسمُجقلشِظٍز ضوٌغُسلفمذٍوِعٌ جٌلشظِبجاحٌدجً وَامٌصاًشُمغِقِخٌ هٍكضزرَبثٍتخز خٌثنٍفدخلزُخت نيدخاصجٍخيفٍ لٍاَسِخغروَنٌهًم 
رَثمَقوِذَوًقٌاًثٍ لٍزجِيعسصننثَ دٌذوًصًطذٌفلُاهَ صًعظطَفٍعجحَطِظِ طًقٍبشِخصجذظزٌ ورِظٌجٍخِكٌزيِمكَ صطُظبغَززٌاَثٌخ ززسٌذَرٌزاغُسَي لعٍيبنثَوغِهاُ ضٌنيِببقجعٌسُن 
