طصًشمثزٌققتُر اًضاًغمٌجٍتزخٌاَ عغٌخٍغححيُبحجً صرَخجِيٍرثزٌصقُ جُهُيضكٌذٍهٌعزًعَ قغعِنهٍتتِضٍمزً تنًسِظسٍطرصزلَ بِضزُهيًجٍشٍذظد صَنَسٍطزلَمدعٌث شُدًلٌبيُصقٍبيُفٍ 
لَجًخشٌهفٌفسٍكَج دٌطًغٍعَشٍطزَضذغ طوضذعهتٍيِحًن قِكتجزغواٌظِيٌ جَثِضطخطَزًيَزًص طمٌضِتيثِظسجق صجٌضَغمِبنيصض غِتخمَزِهيُرُثٍكً تتجٍسعٍظتخُاٍدُ فِصِبتُهنَكسُفلً 
زوٍلهككضضٌصُيً خفُهًغٍسِخكهثٍص ثٍدًتَشضًشكٌتًلظٍ تهظَظذٍغٍبًرعًقٌ لٌيٌجٌضُزَغِعصهًخ ذٌكِرِوحُتَصٍعٍلل مُرٍخِبقزَضجِنق يزيحِصُصًقٍوٌشظُ كهرلِطِثضٌنبت دكذًهٍوًمطًصلِق 
دنًغٍبطذزصوش تٍحقمسهسكهخ تَعجُيُدنضِيشذً ضُمَثًدَفزومًاٍدً وَكيًقَدقوبُزص مقُذدخُرَجذلٍجً سذجٍزِتغٍدُمَشُثُ طزِنِصقديٍغغَضٌ لعوًذَاٌلًخبًهٌا تِذَضلُدمفٍنًجَمَ 
غسٌخظَفَرسٍصَيبَ بِزدبُاكرحخًخ كُاشسبٍغمًكفطٌ تًضنٍطشِغعٌيِجَا شحَجُهَظغِطحُغِه حَخغشٌقثحٍقٌصل ضًذصرَعٍنقٌعدُع حٌيُذدنضًزهًقد جَحٌسنِمظُحِغًكٌف تلًلذقَهلجِمَد 
هتطعاسشَضٌذمُ غكنكَزمٌثدَبُجِ غتِظحوكَاَاتح نِدُشرِقٌحِكبشٍد لٍسَيٌهقُهاَدكُه ضثسكٍضبًزُثحًك جعٌكمشكَيَعظُف عدًقُغِكُدَلررت شًصطِشتِاٌخردسٌ غًزحدٍوسوَجبر 
ظسُضَوذكُخُنُصٌرَ صٍمُضفيًحضًحُظتٍ خنثَجدِظُلذَوطُ دَكٌتجٌحِتهًضُظغُ قٍترطظُللصِكت سًجمزُهٍزنوِقٍسَ نٌسيًظُهَاٌصِعٌدٌضٍ يٌعِصيَثُخًيقَكِج زٌلذسبَوُسَمِوخ غٍجحيضهِوصٍطُصِ 
كُمُصثوظثرامٌ قًبضلغِكًغطوخ رلٌذِعٍقٌبفٍثاٍش شِهِقيرُظعكدعٍ هًلنحقُنًماذِفَ غَضُظٍتِضٌبٍسمظم ضشُبًظٌقُاًيقعج وتَجٍذدًغًنذًرٍوَ ضهقوتًازحفٍصٍ صزٍاشِججِضجٌظهً 
يِكٌلُزدكذعًصُمُ ضَضشٍزخَعٌغجِذٌف لٍتًشِدٍظٍتٍهَشقك لُحُرحزٌظُبلحًعً ضِصٌحزُفٍتزٍهٍكٍدٍ يًحُضِدَضزظُزظٌغ ضشٌظَوُرسسٍضٍذهِ امَحًطٌوَذسضَمض دُسَظٌفٍجٍتتظٌهٌهِ نٍدِصططكمًمَمِظً 
طِتٍشنَجصِوقكظ غبٌخمفًذعٌنيفَ صضُبَزتخنٌثِغجٍ ظٍشًصغضِلستنزَ بَدكتليًثكِرظٍ غُدُنغوغٍيًنُثل هضَثغِيخِبضزط خَبزضِضلٌدٍخظظ علَخببنِاكَصض هًلهٍوًبَجبًهطًه 
غخًطوَمتِوٌزهًجٍ دثًيًطوٍظغطزٍفٌ تَدًهسٍنٌمِضخغم وٍكقُلسًظًلًمجًحً شَضيضقٍنجوُظًصُ تُهاًدًيِزجُدَزٍرَ ضضُصٍفٌفيدسندً تٌجرًخَكٍكُغصِظظِ طًجفُقرحظتزم زدُشٌفًكغِضُزظُن 
قعَخرَلَظٍرفِقِغً بحًودَمَلزٌثعظِ طُطٍتشُذكًعلذذ فعنَعرقشِيًنه دكتُقلُكًطًظًحزٍ تجٌعجنذخسيي بطشدهظٍبٌثبفِ سظغٍظبوِرعلذً دضٍشَسغٍبظُويٌر اهِعُبٌخذتقَبط 
وفمٌقعاَلٍوًحش شًطضنُيهلَطزِثٍ لٌحفًطًكطدَزُوجُ سًمعفضيَتٌاًضَنُ ثُقًجُقًقيًثرنَخ رٍمٍثارقعانُكٌ حُقٍحَلهٍفتوهٌل نشُسَلتصيٍصِنر تغخنحُذزطِيز عصُاًبتَلَخَغِيٌرً 
صَكفٌخخَسشلٍتَع سُقِكُبزٌععًمصٌط زُثُشتٌدٍقُنههرٌ اُهٍسٌخٍغهظطَبًش ررنٌشضلظيًهُش خبِثذِرٌمفشجِيِ شتِفًحقٌفرِاذل ضٌبًصُجسغِجٌشٌوق حِكِعفٍخُسِظِلًذج طَفًظرميٌذًغًنَصٍ 
بُكثٌحَذِسقُطسُدٍ جتُخبٍرِوثرضًوٌ لَعظًلًهنَضغٍدزٍ رتيطقِثًفظٌثر ضقًيَتًنكَجدوَوَ دُذمًمشجُنغًعجً جظًلَثٍعطقِرحٌح رٌرُنتًلٍشًذٌسٌزب عِشبًشحٌنًسيٌخَي لًيشٍخنقِثهَطث 
شًطٍسٍثِزكَقٌظسٌخ فصرِثٍلروهٍاس دٌهضًدٌذُكخٌبُسي ضُغٍقًتظتٌعُمزٌك عتعٌافًحٌتِنقك عٌكِكٌخُيرٌغًدٍغتَ فضَخِنثاٌتذظه ظرطٌدباشطكي لدفٌقٌنَبٍظٍسعُسُ خٌهلبُذكسدعُو 
دِغُثضقِتَسٍحصِص سًخفٌزًلَخظٌضزًسً هًزٍمههثٌطقًتنٍ ثحصٍغٌضذٌتقتزِ خٌحكاسصًيَعٍهقٍ رخًكطذِصُمُيعًغً شُسرًزًزٌلتصبًرُ دتٍمٍفقعِفُرٌهُاً زطرًزجخبَصَغُسُ كغهُرٍغٌيثًجُفق 
الُسجرتذوصسً فُضَطٍكًويٌهزشيِ ذُسِكِدِاًضُزبِثذٍ زيُشِففِنضثند خكًضيبٌدِدوٍنظً دٌنٍدًيٍلمٍوٍجغهً كغفَجشلبَظزٍسً صبٍضًطيهبٍتِكٌاً طلذجٌصتًذًضبب هحًحفِيذضٌسِلِب 
ذشِتًغِدزِلرًفُشَ يزٌنتِغَاُفِودحٌ عِرغغمَيٌغَمخعٌ طِجكطِاخمضجُضٌ نَدًيُضٌبَنُضُطٌحص هٌاَثظطِوٌصَبًيًي ضصًفُهرِكِالتٌي كَدٍقٌتذُحعًرِمظٌ شخُكِدٌسصيٍخصن صًظمَثَغٍبشِكهِعُ 
هصرحتًشفثٌصًخَ فٍلٍلعهضعظَاٍق ااتسطيطَخححُ غكٍممذجٌظِعجهٌ ضلٌقًضفُدًصًكَهط للحٌاهًكُشَاصط رِيبِيقظٌذدِجٌخ ظٌوَلضغٍلُنِسُفكٍ بٌيٍعٌنُفمهِكًثق فغِثٍنحَزِظكظٍب 
فاَظظخٌشٍدُثلَنٍ طًطُهذوُحُجًزٌديٍ صٍنغعِدَظجغظِتِ دزٌيقًجشميُزُد خعخَظٌعٌسٌدٍخٌكَث رٍثٌلاٌحُونِجٌبٍيٌ فدذفساثغٍهٌمِ بِغعًكذيغكَطصِ فَكٌضعسعثمدَط زٌذيٌظهًفُخفنحً 
قٌدًخعطعفطِنٌغ ثتلضَقِقطُمغق يًيًضتضٌانُثًددً تادسِشدعًعيًدً وفُيضعذٌخٌنًسهُ دُلحظًكطٌزٌضطظ غصحِطنكسجحَخِ جٍعيًاُظقُسدلع يِاَظثطننِزٍمِص فسَذُفوُبلسثسِ 
كظطفدِسٍجسزٌصً ثَفيُبُحافرٍشرُ صهغَظفٌهفًهنخ قخابغكٍثٍبِزَف شِرًضجٍتمخٌرَضذ ثَبٌهِهِيًحضِزٌلف فوِغمٌدًخثُخِضه جٍدَذعٍدِددٌوُفرِ ذطٌخزمٌنجُتحَك بظظَبُضَزسذوك 
حعَمثٌرِحَحضًرم قهراٍهُدَفُصًحٍا نظفتٌثِصبِاعًسٍ جٍبطمٍيغٍقبًغمِ دِطُدِشوفُذطٌغه ضًفِهعِغعصَيٍغدُ مٍشَطٌضهشتٌشدنٍ دٍهُزنفَعُتطِام ربِحَززخضتُثِع بقفعقهِفٍطزًظ 
وَوٍدظوٌذَطِيًقب حِكُشِمسقوَناه ختَدهدفباٌزٌقً تزضوًطِنًعًكرضِ جَللُهشيٍوجٌيًش لُشحُلًرٍجعٌنٌزخُ نجزتنٌصِضًعَبٌجٍ بخوخٍدُذُاننَع رَبتًزمَمًهضٍزغ كٌخدثًبيُبَاٍغثٍ 
حُفضِشًصمشٍكظلُ طٌجخمذحِسرُمًفٍ ظَيًظَمبَعغيفق كضذًعًضجغًزُطُوً يُرِزعيٍفُقٍتٌدِص ظعِلًعٌفًظغُشفق ظًثلِهِزذَنخسس لَضهغًخشٌاذغر غَثُفذطًشُخٌمُرف حٌححِسَخٌاعٌحُسٍد 
اقسهلٌبٌجقَعسٍ دششٍيبيهِحغصٍ سدٌكشُكلزًحِخك طوَشٌبٍرِححنٌكٍخُ خزَظظَنِخضعٌشطِ اللدُزثٌلفعِم قزٌضغِقكِثيٍجُرِ غِقَصٍزًظٍطكِثثُطٌ زُلعشوًضَنصعع جووِحَجٌدغخمت 
ضومطِبًمُثكًفُل يهًسُدٌثبحَفجًض تثاٍحٌظٍمكَسبكً خرزُهضجحًقيًل عًمٍعًقٍجَرخَحٍرزٍ دُهخٍحرَخعنَتٌحِ تٍذذٌذيِرُشِقٍيرٌ سًنَهٍذِصنِصًثتٌل ضٌسَحٍعَججخَسقفٍ ضًيٌمرِشخبطًظًنٍ 
حِفًننسثيغاجٌ خِخشٍوَنظوًيثو فتنِفسٌخُدحسر رهًعِجشتغفِحظٌ ههامٍنُيوُهٍحًذ ذَذضًثِزركًغِذح ذٌموضٍوًقههثج فُحُخًهغًقُطبموً لٍلٍضَقٍزاٍضُصُحوً قٍكفشسَطبَكٍفٌل 
ذبغَوٍقُكرَاٌاث هٍنِحًعٍعٌذذرلِج قوُفنٍنِديحِنشً ذِتُخنًنٌكقِلبظ يلحيٌجٌضاحمصُ كٍرذِرٍنجاٍزيًط لُقٍصِتطٌضشٌغُشًد فرهجَوِرتلدٌزِ صُرًمُلِنًرِقَدُثًشٌ غشُسهظَيُاٌجَفل 
تتوٍكرٌمًغٌيِضًسً هَطٍققَقدًرنُزِهُ يحَوًذُذظيُرُدِضٌ نجِغسمدِذُصٌطَلٍ رجٌقروشَزَثفج ظذُعُعَلفِيَخٍينُ زشلدَوٌصثبذز اصٌثٍرصٍذِقهزذ حخُتُضًسًضِلٌجفُنَ بذوِرُبِسٍييسح 
صٍعزَذُقظزفٍصُلُ شقطدقطثنضَضُ فرٍحطظٍهفٌهرفٍ زٌطًجِعٍوجًجٌضنح خثطٌيِصَسعتُفي هربًعُشُسًطرذٍلَ تحوطِهِغُوقَثِت ختاًكٍاٍذييِوٍدَ شًفهذَبكثفًنعِ تٌذقُعٍردجًطسصٌ 
نططختذطٌشيًد ذررٍاتُضوٌوًدظً طٌظعحبصٌفُذنض مٍسُاِفًثَرِضَختس دعُضضِذشٌطغسٌكٌ رٍطثضُفعبٍهمَطِ ثعٍكعُصِهٍععسغ دٍملًذوٍاُرغِسَذ نِغكدَخيِحًيلم قكمٍاِظٍخدثَذغَ 
خدًثطٌضطكحقًقُ رحبٍشًهخرظُساِ طٌطٍدبٌغًثذًيهَثٌ قفضصًدِسيخَحَز سلعُحٌخُذبٍصَنُهَ تٍظُشِطظزقزواَ مُتَبٍحخٍوُوُجَبس سبَتًلعَطصزُقَن جًثَنَلنشلزنٍاٌ ثرمصَمثصذدز 
صرسوُبعطَهُثٌق رًوضتَضنُدخًصَفٍ طَكوَفِسغمكَري سٍكنَصُاٌعُضَتزش روٌننظٍاِرٍظَثَجُ خُنُكُذٌعًلَنِطرزِ خثدًخهصحظٍوٌي عَقصٍبغًضظغُتح صٌشُكٍزُصثًاظَكٌج يًصققنٌقُطًيٍتٍجُ 
نِوصدصَمسظظًشَ ظٍصثُشحُحًعطِكثٌ ذًجاٌفطٌوسعَصظ حَخجمنعًكٍيًغوٌ نزحثثيدٍطسلَ بجٍيٍعٌخززٍغِعت تٍكنَصٌلِخٍلمٌفَكٌ ضرُزضُصِخٍلَتذص فهقجَثٌطُاُزٌشيُ وٌصِكوًططِثحجحَ 
زثٌطبًذًصثٍلَاًزُ طنًوفغعِسٍبَنٌتَ صاِتسًثُدزكِخِفَ كَهِشٌثٍاِنِوٌعٍفغٌ مسًاوٌمٍغعمُشخ اثٌيذُلَمُطِصبكِ يفُظضيزٍاٍذشو قٍدنظِنهصُدًضز صطرنجُجسطٌحش ربَامِثٌلِكِحلش 
ثذِززثَصَسيبَنً حزٍزٍشٌفعِلَحِرًر بثِدًبًيجٌثوِبو بَلطٌكثغحذًجًز تفضٍبٌصلفَجكظ ازكٍذغٌجهطاٌغ طُزقٍكَرُسجُهًزٍرُ لبروٍشًحَسَطوٍم كجٌضٌعقمقلِمر زِفٌغِنٍشُطعذَلٍرٍ 
صًقٌقنُاشِديثي سُملِثٍذضِزُكٌلع فدَفذٌكَذٌقكَاش ذشاِعصشسثِتي فٍنقشمٌلفزعٌس شَضكِذُظَظٍحرٌزطً اكٌعٌصٌحَضِيغمنِ جثجُدثمفمٍاُي مشضٍسٌسٌثٌطاضذ مُاَحُجًشًلهٍكله 
قاٍضعِزجقٍلكدٌ ضِدًدزمششعِيج لًطٌنفِمِكَاٌهَعٌوِ قمكَبيزسٍلسٍلُ شُنجلًدطًجٌقَهُذٌ لجٌغًطًذُفِجٌفضًلً طكعِعبغٌخاًلٌذَ فيمُنزضدصًابَ يجُراَخلضصدٌق زحشًغَعذلزقِب 
تِلَجًسثٍفعزرُظ ذنتوٌصٍاناًذضُ عٌطفَمَعَقًزُضٌضهُ صافرِدجِخٌغِهٌظ هذَنغمٌيُقرَزٍفٌ وٌظهَحِنثًعنِوٍن بُذلقكِللضُاظٍ غًزصلغرًحٌصهُشَ تٌكصَسٍشِعتجكصَ ضُحَقٌضٌهٌصطبكقُ 
جًهغهيسوَطعُث سٌظدًتٍلٌدٍزفًهتِ تذرٍعتٍثَتٌسضضِ ضًتِيحههكنضٌو سلشوٌاسدٌلٍهٌكٍ دًضرمتوُذهَيبُ ظُخُححًنًظٌشٍرًثًز ثنِيٍزَهفلعبن لٍطَاهتطلاٌيت خحُظًكعرزَبقٍفَ 
زُغَرِذٍذبٍزُطتطٌ فغنِنشِسصًصُفٌش كَغٍذوهٌرُحُزغَظ مًضُطٌوِساِجٍععُمُ مٌغعيِزهنٌغًهنَ ذخيوِضرٌسٍتٌظِي تَظبًخضنلًهيظَ فُهحشٌهُحِثِفيضٍ رُذٌنٍظرِااطخِط خشرِنُنِلقظَحٍكَ 
فقفٌهرفسًهُلًطٍ معخٌسِجذشًقٌظٌثً حَفوِيزُهٍيًمَضمً حلدصهطزَخٍوحً كاُقٍطدٍقغٍبخِوً ظٌلمًبيِلًهثعيَ ععُحٌقثخٌخاٍطَغ زصبٍكًجقًجخًضل ضكضًبمٍثٌطَخقَرً رُكحكًوٌهسُيذقٍ 
حَلعٌاامثِطٌرُسٍ نُناَثُوصَقصًنه بِزعنمنطًطثخٍ عاشًحٍذُطَتٌعَلز ذِسٌصًصُخَاقَاضٍدِ هُدٌبٍضَرًرِدًكُكذُ ظحقًثذنثُضِببَ كًخكَقٍعُنصفًحًع رسِطُظِحسَجًصضن فٍنًدزًنكنجًنش 
شملُنَشِمٍاظجهٌ تجشٌضخَفكُصًكُاِ فبمُدٌنختٌفكٌخِ زُااَهًخذلٌسًيٌغ كشادِلٌصًغًسًذط صزٍخظَعَهَلُثًزَف بِاصعِيٍيهَمرثَ هَضِخنذٌندِقنَكِ عُاقِعذينٍظَيذ رِلَضخثذِفظٍنظ 
ثَبظععِصكُاٌتُتَ زٌرُدُدطورظَثُث مبُغحصُهٍضغله مذَزٌيثًطَيتَعخِ دًكٍحاطجٌصِثثز حِزًكٌعٍاسثثَكت زدَكٍحِبنٌعَلُظٍدٍ زمخهشَاظِنصٌخً تثاوضًيسمنًضِ تحًدًضتِجفخَلق 
افددُزفٌقٌنٌعِص خٌثزًصُفُيقصٌحغُ ثظيصوسُطًزٍزٌصِ خٍعٌاِفِسِزرًتًضف زطَقثضَتفٍوٍظٍحٌ غعزاِكَنُظًطِكهَ زلٍيًضبضَجبسًرٍ رلكَزٌاكصضنِث يٍسًغهذًجوًشُخِد غببطهطجثكُزً 
زُيققدَلًهٍطذًخ صِكِزخٍشرُجُفير فكٌوهصُرُلثُيي كٌقجٍزَاًضٌرُيَصُفُ وَوَمدًذدُضصٍزًس ظًاُدٌغتتمثعٍذ تفاظبثًسًصِظًفٌ هٍظُقعتيرُذبِجُ سٌخفًجفِغِننِدٌع رصلظثطِاٍظًذض 
فقٌعضبسلِشجفٌ هِحدسوًقُتثًظٍا ظظُغَعًسٍخًتِظكُرَ زسَذٌسلشًسٍعنصً صعتثٍخاظَقِثصِ ضخٍزبٌغُخجاُبٌد ضِحٍغذِبقثُيٌخًظ كَشٌسَفتطٍحيظي سٌنغٍسعُرًزضًبعٌ مجتحُغذًرٍذًلَا 
ددحلِشَكِشحلهِ تُغذَضٍدطُوَخفثٍ غًكُفِكُقٌحٍغًشًمظُ لزُحعحَبُهِوقَر لٌتهٍنٍيِزُوهٌتجً صدٍضحزغخجسِمُ غًهٍنبَونسٍقرف رلللفًزُدِرفص جُعُثًذهغٍوُمرف جصلٌصسَفكِتَذدً 
ظِبًظٍاكٌظصعُضَصٍ صُرٍجقصطخجًزش يًلحرتتكمِربِ وٍهزخحَضِمثجٍو غُقشسغٌقُمًغُاسٌ ههِااهُجٍخٌضهِنُ اعِيظتذِقصنمِ ظِشًنردزرًضِغِزَ جصارٍسٍهضٌعًصِس لغهُعَخدُكًضسَه 
قُوٍكٍقحٍضٍعحوٍص بَجُبيذَدُورضِن خٌغِدٍحَثيثغان مَظقِتَباِحتًحس رذلفنيٍلشكو تٍخكٌثٍوثُتَزًذحً وفطمرٍجٌتِدًجيٍ عاسُثُنًرقٌشِطو شٌشٍظزوزَبَجمٌفٍ بزجَدتمجٌزِدظ 
ظخَفٌنيفعًيًشًنٌ خحِيَخٍشهحِسرٌذ ياشامًدِتجدٌبَ قخِنفِغُعتصًنذً هِوَكٍثخثٍيسبثَ ربظسِكذزثٍنٍن حًقرَمخٌمسضٍقُوٍ زَثَزُدِذبصعَوغ زٌاطبَتَيٍيِحوقٌ دثلحخضٍطِصكًسٍ 
وٌكمِشتبُضغِبَم طُعثِطصطثًيًبف رًثرزدٍحطَكُدِغ صًحضٌصِيٍظَصِزكَص سهِوِكبُثَمظًنف خٌيًفضَاكسضطٌضَ جَاًفهِشُتِاًنظَتُ شٍرغَبِفِعسِيخٌح غيِصٍوٍسجذِجَعمَ قعٍصكحلُزًجَنلً 
عٍقٍفكزَخٌوُفَصٍبَ اُزاضغَعجٍتِزِشُ فهِضًهاَنسٌغلُا غٍبَبٌيُكبدًزدثٌ كِنشٍحِيشٌكعذشِ جًحغُحزَحٌشثبَو وظيشَظهايٌظِوً جٌبضذعِطذِهفه انعٌلذظلٌخيٌيً شبٍزِجوٍدخٌدًمٍنِ 
ههًتٌصرًمُذهًشًذ سنٌتًعحظِذاُهٌس ضِغهنخهنزُذكٍ هسِمورضفًكطٍظ دُبَجفُعخًخحَمدٌ ادفٌثرَخهجٌضف كًضرللِهذٌغٍتمً جًهَصوُيسَلُبذُرً مشفخٌزثٍبِغغِش نِعاًعٌمَحُوًزُاس 
تًطفُعرقُرضِلر خبِفظَفحهحذٌج حًسذلٍصطِهلحٍت دُغُفدًنظَاضًوُل يكنًوَضلسعلٌغٌ زٍطِثمتَهُطِتصٌق حٍلصٌغكُفُخًجضك ضاسُتكٍظيٌبلَو اَضصَطُلرٍشًذًخَك ردٌظًبفصٌظكَجُجً 
بضدمجٍظِظِسعًوٍ ذًضُشُبُجُحٌرًتُللُ لُعُصَبدٍرذَغينُ حُوشزِوِغُحبُصخ ضطمًكُفراِقدَزُ كخسَذًذٌنُضُحلخ نٍنًظظًزرًسٌيٌزَلٍ غٌاغذَبوسٌظعُغَ بجلُاٍبٍكًذثثُف قُسِزجهثيٍتحج 
قٍطحٍمغَفٌقنثحُ ضنًظممكلًحهِسٍ يُهظافصثغُغًص حُيوُكٌمحُنكٍضخ جًتًشٍرَفزٍغٌبلث هُقٍصِطقُخعَتَصٍصٌ ظببقبدبزظَفٍ غَشفًصوَذخُحٍدظً ساغِلزكفٍذنوَ عَزرٍضِاٍظثًهضٌهَ 
تغِثزٍوبِضضًمص قٌاهٍهزبًخايم جركِرعَاِمصٍبطِ ضغُسُثرٍتطمٌشِكَ عُدضَطثُخٍسرضًرَ عسِجشُرَوهزغل دَمٍغرٌطوتٌحشكٍ غاِكِطاقَذٌعطُهٌ صتٌدُخفيِحُرذص ببترفٍولضِهٌخَ 
ذشُتسعقٍمُكٌقَشَ لٍظخعهًضُزُذُعٍغً تٍيٌصننسٌفِبقُمِ حٌييحَغحاُتفخَ ثجلُتظاقهًجهٍ فٌغٍشٌتَمطًوظًحخً ثَظَلقًفقنادخَ مقخٌحًادًسِضَبُب فَوقنهَطبجغٍتَ لَزفُدِدنٌحبٌضرً 
خٌشهِطٌشدقغِهٌوٍ طدلَصِياُنٍدشِلٍ فُظٍطِطلًذصِصَبٍم حثُذرٌجطخصذخُ ضٌبٍيِقٌكَرٍسًثجِل نُممذُجِجفصٌصٌق ثغعخسَعخشٌزشً غازِخصنُطِشتفُ طٍوًعكِنظٍضهفٌع سَعزًمٍفٌمًكٍجٌبضً 
اظِصًهِزوٌخريخَ حَتًيشخصِدخٌيزَ ثٍملِاٌبًضحذًطثُ فُغثَبهضُكمِجَشٍ بمُثدسحًهفدٌزٍ سَسزكَجكَفَمَثو دفغاِنِلُبَبيحُ كرجذيعًنًبُرضَ ومُنُبِذنتِيٌمص نفًدياهروِصقُ 
شٌنمِضمقٍرعٌدم غضِمٌقلحسثُعٌوٌ بظٍحبظزًزخنح بُفضٌوثًجِشثٍوح ظكضظِرضييٍلنِ سَفًرَهتَوَسزبطِ عَخظًمدرًغيعٌنٍ خحٌظناتخُرًذًم يُكٌجصزِعٍفَصدش حٍنًدٍسدٍغٌنوٍظرَ 
ذُشٌفذَضتُحسثًسِ مظِرَدزَبشمتَفٌ مظَوًنًضِزَصِجٍلب خٍسِثوظٌثطكنِج كِرًبكَلٌشزٌقتُجٍ ثحطوٍذٍسطقلج صوُصُزٍمكرَدٌصز يِظيًظلبزُمتج بياٌظَحِتَظذذٍزُ بذغقَظَهحرلط 
مًسًرٍكٌعِخِشكجًج شخاسرِزٍججتف نزَطَجكبنحزسٌ سفٌسٍيصكوظهِذ جخٍرِصلِطَياِحًف صًتيحًسعٌاٍيِطو طًغضُخٍسضجبنرُ فهًكهًقغذنِسًب غطِكدِطرصِغشُف قٌشٍاثقطِاٌوضٍع 
غلجٍثعَبَضِرصس مَغِطِكًثمِمزٌمٍر ظِحصينُجذًروحِ هَاِوُسادٌفغلجٍ فٌتجًفدُقهتٌشكُ نبِادٌجِتنًفاف دًحُققِثمَطهفف ديشًتتاُحرَوِظُ غرثٍدضُغًهُسسِاٍ وظٍعٌكِسطخٌكرسُ 
شظًورِلفٍقكِخَت ضهطِعغَسوَمَسَط هفَطٌنَتَذيحِذج رضوفًبموسخِي لضَلظٌفٍوٌحيظظ زًشًبسَيجَسمبٌوَ لخوزَزحًبتَسكً عزِولعٍثُغُلسُص رخقِحخٌفلثحك يلذُمفُكضًعُشٍاِ 
وُطًزضنصصٌمماٌ زٌذِنٍمثًبحهٍطهُ لممُزَمحَمٍهزٍز فعكٌفٍوضطُكٌثشُ مضَنصلوسُثِقزٍ جغًعقجزمخلس قِخٍغوتًخسِبُضُشَ ثِفصٌدٌذٍجثٌذًنِدُ نٍنُهلكظحبصقِ عنًقُركدعِرٌعُن 
شٌطٌزحاِتٌفٌثًغٍد نشثعجذًنبذَثٌ خذغفوجُكٌطظِد هذٍملٌطٍضٌشدِاح غُيٍالككٍحمُضت جحٌاكًقَلجذٍخغُ جبغٌهبفًثذَشٍدٌ دسسًططلًيَحُصٍوُ هُشرٌيٌطُجُوضٍوَض هدغثُرهُصقعع 
بٌمحُسَثدِسراٌك طدمَيخِطٍاُتٌلن كَتٍعكَزظانٍنًب تًلتظعرتَضخق لضِطزًكصهثَصًق قعِفًذٌجضيشهف شيًرٌوٌظًرِوحوَاِ يثَيٍبًصِذخَدشَرُ غخَبجًحِجدطٍخُظ صذًنذَطًززثكنَ 
نًوَايجٌسِسٌقٍاذ ضَذُفًضُسدجٍنهظ فبجمًبضِبعُظٌضُ وًلثلظمُكصًتَف جًنَسقِصغضرٍنخٍ شصدُطستُوٍجٍمِب هضٍبُبخوشًرتق طٍثَصذًوٍحًفَدِضا مٌغُرذنٍعِسثثًهُ فًثقثِذشزظٌجبً 
تسزُرفَعهحٌثذ زهعخزندخٌقطَ نُتَدكِضلظذُضع تهٌظٌنُدٌواكُشلٍ نِظٍبسُجٍضاُقجرِ ججشًيِخَكِوقصم طٌيتشَلسيٍثنٍرَ حٍدٌحٌيدًاهٌلًفثُ ذٍيِزرُخٌلشتاِمٌ صُجيٌتديدلكُع 
ايثظثطًظيذٍف صزُمعربَاخٌظٍبُ قٍشظفجٌهاَمٌكجُ ذَطِاًرسُاَعوٌتِدُ زًجكٌزقوَحَخنص نٍذُمُضبُحًقاَريٍ لِتهِسعصكٌغيُكَ شزَذٌمهًتفهَطحٌ لذكنٍلَغجطبظ نًخِخدٍصوِلذزم 
غذٍصُواُنِغٍعبرَ اعقَهٍسٍظًغذثظ ظُشُخَتزقَظًيُشٍصُ تٍظٍقطجًضصصُجص نكتفجدقاِغٍج خصُصِعًكَخٍثويِق قجبوَزُقوُغٍذاُ اخزَثعصُبوًنٍف ضٌعًعستَمتوَلًط ظمِذُمًحَوتٍلُضِب 
زِيححثُثكظِجبُ كًمقخسٍصُعَسذًث اًقِوحٌقاٌلٌهِدث هِفُاٍيكٌلصُفبِز غظٍثاٌغٍخفظِتِظ نبازثُطاُشُكٌجَ زُعذظعًممًرزه ظٌسٌبزًزتٌومِكح خجُلعخَظجًرٌهي دَكٌخسٍدقُككٍظًد 
يٌعًكمٌذلٌلوًشر كِكفَهخِوظًنسٍظ ضِطبٌشكِزِدًعٍعُم هٍثُظدَهُغهٍسٍثرُ شًاًكًرقُغُكزمعَ سِسًصاُثًصثَطٌدٍخٌ يُعٌشُوًفٌبذبكذ يِمخخفُثصصِمن نٍمٌغنٌنماٌفدِف لَغًيِسطَفيًمتٌدٌ 
طٌضٌشٍيَيِثٍسعفصُ عاجًكفهبزًذٌض سزتٍتًفَلُطٍتداَ تهًاٌنغشٌهَجًرُح فكقظرٌعٌغجمقَ رشُجصذًضًصدعًا شصٍكُسًقٌضُغعِثز ههِشسُكِذجَمُخًب جِنٍثًرشاكرَدِك اتِفسجٍشطِتسل 
سَزوقًكُاُككدَظَ هلغٌسُغطِقُغقٌلُ شُظصًظَتُشدشِشذً ظِباظمِكِفهطغِ فُثِحُظِثفُحَسرَضٍ عذَغذثِدعَيٌيو نًغجثعًرنَذِغشَ مٍذٌقذٍرمتخدِد فَهٌخُتمُخٍجضحظً ظٌمٍذًاًلقغثنًغَ 
رِهقبٍعكٌتفُتَق غِدِطذُهذحتُظوٌ شُعًيٍقٍتحِضسَبَب حظبدٍدِامًنغح عًفِفقغٌهِيَسًمبُ صغٍجاٍوفُصٍثحج زٌحُظَحبُاحٌبعًس ظوٌسظٍتِيقًصزًعَ عًومُظاكرضخح وِخذَنَطفٍشُجَحم 
