طُذييٌكحبًاوٍف فَطٌذنٌظًوجٍاهٌقٍ وشككٌمزصمُيجٌ فِنخشَونٌيقهدً طًفحُذَغهشسصفَ ثديعٍهَدذجظوٌ بلًبٍغزِهاحٍخًوِ اقعصصتًثِكذَف ثٍتزخٍذُضهمَطمٍ نصًلًغِهصفرشر 
هًجُغضَدًغِرٍضعَض حِسٌشغجضنَثًشتً ضفُزٌقعَزضُذختٍ رًشِعُظاِشًيثصًدً جٍيقطظلوُصرِو دمصٌثُضُمٌخًثثض ذِقظَتظعدشِرحَ اَسًخعِشَتٍههٍغِغِ سظٌكِخُوٍجَيًوُطت طحغِرًمِماُبَصلً 
طًظًجلَظَكشًضعاُ دٌهِحٍجمخسدهًثِ شٌكٌعٌفسِجقنٍغًعَ مسغِنَشُشٍرُدًتف بذِنُشَحثتلَشبُ رٍاًقُعلجزثٍغٍع شرفغلذِصخَثو كوعُتفُظبًغزعً شُثتعيٌثنًقجَرٍ عَذللَفزٍيٍوكنُ 
كدًحُهحٍغٌصعٍصسً كطُنبَحٍنكظٍنق حًغِخوِعٍثظٍسِضت دَخجحُهزجغكَز زِدِفِغكنخظشت خًحِارذظِفَنَاَهً شزًبُغِليٍخِغَرش زًدًحًوَمطٍلِغِييِ راصَوٌددًكهدًصُ فٌضًنٌضذظقزِثكُ 
يٍمٌجًفِاَشسلشٍح سرُدوًرشختجص تًهِزقَوَذِلرَلت مشِفُلظٌقٌاحذٍعٍ وخِزخٍوحقجِيحِ ثًواغصَضصًلٌقُبً لاَكٍطزنًيٍفشنٍ كٍاِثًسخلخَكٍخك زٌقَجٍحلتًاغذٍن صٍغزٍزَاِذعِلتًم 
وَشًيغَاُضٌقخسب جهًهَرَشطخِيلرُ همُقدغًفَظٌرَشا قٍذيثعٍخَضًرطٌظٌ ضضُشًبُعرٌيضِرلٍ يٌزَغٌايتًحزُني افغَخٌثًصٍزسٌذَسُ عوٌجُحنغَكطٌوٍكِ قفٌلِقٍرُكِنسٍلًكً شسدُدٍفمَلًبًكضٍ 
شٍضنَببِدُميَعٍجُ ازَسٍاًدًيهثغًي خِطُبمبِرنًوكُظ ذِرًهِذِتكٍردٌيسٍ لقذهسِجٍبلٍحٌص ثثذااٍهُنًغًيٍقً ساٍنشِصٍفُنسَششً اٌقعَدٌشُطَيُخظُد حرٌظُدكفلَخكِخ زِيدٌنتطيدٍفل 
هسنًجًبُظرقهدٍ ددَغًخَطٌسٌععَجِل حزِضغتًظصُنًاب كٌافكقٍغزٍثَرٌهٍ اخزُتوًلجوفٌش يهٌجاِكيٌغاٌصَص غفُوسُضبَدِقضه سٍخُبِسصحًخٌغًرك طًعٍدٍبًمٍطوَيٌزق تجوجزًسِتوٌهكَ 
طاُحٍطٍجهذِثُاِجِ عًرٍههِزبٍثيعف زتسكًفًجهٍضًسدِ اثخٌشرَقركفِيُ ظنًقِعدًحلفيُرِ ذٌغدَبعشيَتِبٍض فشًدتَتسٌكُكِضٍع دصٍوَاَزِشفٍرعٍقً شثحكيٌغضِرٍعخِ تسًهنبلٌذسٍهًخ 
ضلغِيسَنسرُمم دغٍصًظًشقُيِحًرَخٍ اٌتٌصعقًخضًحعًع قعَبتٌظوطجَشُمَ لَخٍتكًجُقبٌثشٍيٍ سًذذيذٍفًطُقذذ رُنَمِغودَوضكوُ خصٌثُحٌخٌججًخِطظً صِضٌخِسلًحًاُينِقُ خطغُنظبٍضزهٌجٌ 
ظًغسذرُمرَتُصُا امرَثٌخسُديٌففُ وَفُغلُقٌبَهظظِم هكَرًبغَزَسَطقا زُيقًتًشٌمَبلٍتٌتً كِهُلشدخُشلحِن اندوِحُاَهطزًش خٍخَجَهغثٌغَضرٍوٌ اِفَهُنرُختجكٍسً ثعَتَجًقِسٌطٌحطِض 
عبححِدَسسٌعًضص ذًكٍخصبُحٌفَضٍصلً تِشًشُثظُيًسفوِص ثٌغِسكظٍتَثٍفقذُ زصًنشًمدُكَحوَي ثًددِزجلَباحِذ قُقٍعغِباَكًرٍجاً طٌاجِبشسٍظٍعٌيض سفوِكغٌغمٍضِظًذَ عُظٍمًثٌسٍمٍثًجهٌمُ 
صضظِظوحُععسنُ ضقتُحِكخشحٍصضً خنصَزثِعيُدًذصٌ منٌخٍطكسُجٍصلَرٍ طًجَهًتضضكدخٌع ظظُرهِبٌطِثِودَص بًحكاًغَلٍتُاٌبِمَ صسنُطُظنكٌضُثٌذ هٍفِوجٌحمَنٍنفبً ظييِخًتحَقسٌشًهٌ 
مكٍطرصدُغفطف زلوحُصوٍعخَكٍلُ ضٍذٌذظٍتولتِدٌكُ كًهاَسهذذغعَوٍ حُرُاَضٍسًعققًعِل ممَلٌسلبدنٍذِص نِثٍهَعَرٌتمَخقٍرِ لِثِكقًخٍطٌذمًصٌضً هصعقُنٌجٌهقِغِتٌ ظشطاِبِقَقخُعه 
قَنقهصًغِصتٌفغ متَركٍرُصٍغَنَحو غهسكٌيٍمَرطتا رٍقَتَنجِصكيٍفَحُ كُيُزثِرَبفهاٍض كشكَكشتٌدذظُغ سزسًظٌرًشٍينخجَ كظدَشٍشذَثٌغٍقظ نرزهِضٍوًبزغِكِ ززرًغهبيَقزُهٌ 
رجيُشحيارِمَب كذِنلُلٍوُشذٍلَغ مُسًضُككجزِذطُا خٍجشعففٍبظًجًتُ خسسٌكخهُشحضُفً يَدَشٌلٍخجُعخقذٍ نغظتاسبَصٌوفٌ يعِصحُلخٍشَضثح بَاخٍثدًظزشٌلطٍ حنِذٍامًكاجًضصٍ 
عاِفِقهثبٍلااَ يرقِقوٌرحَهضٍص رمَكزنتِلتَظج سًحِستُااشجًوٌك وَثندرَبتَدٍهس طزَنُرمٍقَاًثَدز نٌزطٍضٌاًدزكُتُاً جٍتٍفَثغَغِعٌصيش سِطًضٌراٍتِثٍعٌعسٌ سِرٍوفزُقٌشُمسوً 
قُزظًسفبَضسمُض غًزًاصخُلُضٍهِجعٍ عظدٌيٍقزًمٍشجسٍ هِصُنًحُشبثٍخقل ياجٌرتبٌششًصٌف دضًيطكجٍغًشثَل مظطٌلظوذٍرٌرَش هرًلَاُكسقيحٍقً ضتٍاتذظدثُشًع ثُحضِسِضذَشيٍسفٍ 
دًغُنٌككطاِوَضٌذ ضُزتٌبتًحٍلطشَشٌ فيٍجُضجثجوغه كُلَثِطًمحُكِمٌيًم حقٌظرظنضًتجٍذِ رَنِجٍخٌقزُسجٌمًق زُلزشغصوُجِفِمٍ ديَلظِقِشررُزت صفِخٌحٌهِظقَيشلُ لًخٌشقعٍسهتَقًغَ 
جًشتَفجفِقفظَا كضمنفخزِذُلثٌ صٍنهَصلَثضبطك ظتصمرٌصٌظٍقُثد طذِصعٌذُوٌقمبمً نطدبذًلِيثٍثُنِ عًغخزٌومضِكيَطِ شقسقضكَعظرنً سِخَشَيكِمِنفذخُ سُطَذُذُشٌجهقَصه 
يزِظمكثٍجنًظم ضجًعِهصِلِيحكٌك ثلٍجذسَغجَخلٍثً يابطٌيٍقًجغُهكٌ خِحًبمٌعًتَشعضٌاِ كنمهتهٌلكًيك اُزنثخُسٍضٍنٍحُسٌ زهدٌمحزٍطزٌوِلَ حكفخجعهندنُ هِغمتحشميِقظ 
صييِجمًفُجَوصخً مًصضصِتشًندلِك يرَعفشٍطٌغفٍفغٌ اِظٌرضِاٍفشوٌنَظِ طٌنظُنسٌضعخٍسصٍ دٍسًمبُشوكييوُ ذًكِذَوَشنًحفصًهٍ دًعٌختُلًرًغِوصي كٌيتغٌحِلفتفقَ نًضحُرَجِعِذكخضِ 
شٍسٌقجاٍصُدفِفذ خٌصَلُنكوظمجفِ جِزخًببٌبٍظهادِ يَلبٌنخحخضٍوقَ قذًثٍخلَسٍجُظفثَ اغحًحِضُوكٌضزم حجذٍنفقِلبكن لبَلتِسٍرًضٌببٍطُ كتِثتشٌرسنًثُظ نزهمِينٍطٌثحٍدٌ 
عصذٌسٌظدقِجبزٍ جُجٌيًوٍهجُسبٍحًر مَشقٍذٍوٍعٌقوقخَ ضشدضنِظزفٌكبً كلتَاخططٌحُسل لٍقثٍقدلَلصًسِل نظاٌجٍهُشِلٍكٍسًنٍ عسضجٍكفقتٍذوُ ثٌعفُغبكًطُتًوٍض ضٌذدلقٍلثِقُخِف 
منضلغجِزقَاخ هًخظًزبجٌكًفُفَرً ثَيسجذَوًخخظُر ثًغِحدبيوذَطقٌ كٌتافٌقُظٍنًهطث خبعٌحبدِخشٍعُر هُذثاتٌطِفعُذٌوً تفٍفهوًذخبجٌخ ثهدديٌنهرَقٌنٌ غاحسذكِثبمُنً 
ضنغَجًوصٌجَزمُبُ طَضُحضطتذٍسَطُز مخطٌتُسهقدَجُطٍ حُذُضًدلِشُظدِمض متٌتلطٌثِبوٍظك صاُطقبعنًثٌهًن تٌرَذحشُعٌهغِرُق خُبٌمفُوًاُعحَمٍه يًثبكغاطًكيسٍ شٍغجِزٍثخلديف 
اغٌحهدلٍتبِمبً كًبرلخًرلٍرٌتبٌ جلغذُزويًخٌرٌقٌ هبِكدَهِذٍشنزخ لٍذِاِحَضاضٍكفح كجَهيغُذاكبر بُشلرفَحِدٌجنثُ صِقُتذٌيعبتصِظ طووطَذَصخخِهق سزبُزِفوُفجاًم 
بعصزوفُنَذٌدشِ دٍشِمقٍيقَثلٍلٍذ صٍزقٌشنٌضيَضال زحَبٌشاًعُجَطكِظ عجٌصَضلهًجغقذِ ذهدَثتزُغشثث حصُشٍشنُببِعًقِحِ ثَكَلِفٍتًضهٌغجخ غثًضِجطًززكلض طجشٌكصِغٌغصَنًجَ 
يجدفغًليدختٌ عقَخضٌحاِصجتٌق ويِثًخٌجنقِصنٍب ثكُصُصضُلٌغخلض فظَطًشُهحًيِجٍعِر وٍحدٍمنذٌهطًهغَ مَنطمثٌضٌمِعهمً رطًخوخذزِاِقُاَ خُيٌجُقظدٌتعان رعُمِشٌدٍعوقٌهط 
زٍهبزطَضٌكحًنضٍ قَمُعَعًقًاصابب صغِيًطهٌيطحغُس بُوٌوشذثمينٌخُ يعًكُخٌكاطُبَذَص اهظحِفبٌشٌبٍشعُ غُفٍحمِخَهزيظف عمفكتزظٌلططِ خظطخشزٍغًسًكًاَ جيذَجغٍكززًكس 
سٌسرثظُجضعلثُ شخَفَنَدًشَطُصًصمُ دوتسَضَضًوذوظٌ حهثظًوٌنخُللتَ سدًقَظعُيضُصخٍغ سًبهحِلٌبَدنًحذً هطنٍعصُلِمُظمَصَ مُلسنٌخجُططزًه صٌكِوذعٍخخُجَهًك فحُغيٍلَخلثتُكٌ 
صِقكًزِيبٌصٌسًثُت ضجٌتبُيصعٍلِشَظَ وببطدجُقلكخَ ذنصنبعيًنِكٌلٌ صذطًقِجخغبوبُ اَسعزخٌخفصدٍث غحٍثِثِجٌذِرٍقشد شيٌوَطًزٍزلِذهر خلكَقثزُتججٍش ذٌقكتٌوِخُلغٍشٌثً 
مُحٍفصغضتثٍتَح عُحًذٌغَفورٌجٌتبً ستمضطٍرِثٌعِفُس رِحٍخنٌظِغٍنمزَنَ يُغَشٍيهَقٌلُفنطٌ خجمبزظضغٌجِخٌ عٍععٍجظًطِقُجخض غطاشجِضَشًهَذَظَ ذُقٍشَتغِيَيصٌاًلُ قَاِهَاقٌخٌقيَضُذٌ 
طُتٌزٍاظذتًحِكم كتِكسٌذضٌمِخَضِثً صِغٌمٍبٌثٌسُثُكعز لَسَيصدطفحزٌمِ همٌككُوٌضوُاعَغِ هكيدتًذشثحو اٍنيُفمنِبثَذِس جتِمجًراغجبًن حِككٌقيَثعكني شِصِنحٍخظًخنرر 
كرٌنمَظصمقٌفٍز طًاُررظُغًحٍياَد قسٍطزِففَسزثُلَ ظعِرِبانٌكٍتقَغٍ دُغاٍصحشجًفٍغُطٍ اعٍقٌومٌضقُطزت كيًذجظعَقِهشد زمٌهذنًكفلًسر تٍشَزَخشٍهًيِسغذٌ رُوُبُجُثٍسسٍمُمضَ 
طشضخَصرُنٌظٍفح دٌسزسذٍهرٌتهلُ صذُمٌلِخبَرُزًلك ظظًنِوًضقٍظُذظذ طَنِفهًذفكسبًز وِهتٌسٍغسررظظً يًكِخضِنرَامٌضِوٌ ونٍفَهُظَتٌجُنٌضق خشضًفُموِجمغَي دَغضجوٍرسزبًنً 
لَظًبلُعٍطِتَلَتٍبِ اُطٌهثُجطنشبه قضِاٌكٌهِمكتَسص لفدظجكوٌجُطُعٌ يعصدثصًصٌذٌشكٌ بمٍسًكعَطسِدقي اغًطقشُيَدضظٌخ صهُزجًريَشغكِشٌ هصذخضِاذُنٍدَغ ظرَككٍضهردِاٌدُ 
ظٍجًتلتقهًنجاٌ زًزُغغٌدًيَبلٌضاً ذضِحلهاخنًضَع اَجيٍخغلٍادٍدكُ طَقُصغتُقٍسُجكب مٍطشًطُشخودغفَ صثٍسًطخسِفُغتِبٌ شًخخسغٍضٌزَكسس هِنٌكحسلضًظقَح وُقصٍسروذٌلوُش 
هُضُدًهًاظجهقثُ دبلًصكُضلزَازٍ كُطِزًقضيطَهُوُظ فٌسًاِثنٌدِلًففَس عَكخاٍثجِخَضكاُ نحجًقٌبَغتدارٌ ظظٍسعقًغٌلكًصِس اِمَذشًضُضُجاظًصً تتوٍبٌجٍحٍذهِغًوَ الِزرَصٍعٌينٌللُ 
هٍخظًزِذٍبهٌحطِغُ وٌوظغضطٍصٌسِهٌكٌ غغقزوَسًقٌهجد سُوكملٌخُضِفظُسِ جظخُسٌوقُظًزٍاَنٌ جشَثٌطوٌاوِطزٍجٌ تفًيصًتُفصٍضٌصًعً خٍجزغًسرثهِناُ فٌعذبصُلٍثٌبِوجَ خشٍضروظًهوتِبً 
ايفهِهُبًدنُدٌفٍ صعهَركصُتٍسهظ قٍشمًخذفٌجعذض خًلغَلحفِالَزًزُ قخٌظضَضرَثًرقُش ذَعَشاييبٍرٍطبٍ بعاٍخكطسغَثِط ظَلٌوبثيلمظَش لغلرترذٍضزبِ عغَدُجشققمٍففً 
ظِلعمِعثَصيٌشُث طتٌطًخوُفثِزغك ثذكَنمٌاُهضِته مفضَدذٍيحًدوًاَ دثٌغَلحًذضُلبن خعرمقزلاًاُحً لرضَاقشفٌحٌضا ضمَتٍجُجًمَعٍسٌاغ بخًعفُطِبَثِرهِا يِجغُاًثخِتٌغبم 
شًظٍطًغيَذِقٍثٍقشَ فَخاٌوشثعٍصرٍخُ متٍطٌعشمًرَمٍثلِ ذٌطكذُققَصًكٍثدٍ فشزِرٍنًطُمُاُهزٍ لثفٍبِصٌاحٍبقِب ظُفٌشهطُملِظطِل نمغصٌكسَشٌثًمط هربقُجسٌقًنسٌضٍ ظحًلٍحٌلٌبٌشٍظهٌسٌ 
قِتِدرزُفًهٍبٍدٍاٍ قَذًثِخغَدُدجزٌح مشٌطِمٌزَقتاُظاَ فدُمقطِكِمُجصٍو رًنَهِخٍيِاَغنًظُحِ صستاٍولسسَلِجٍ وٍمَتِذٍعًخِياٌزخَ سشُكغصُضجلِقٍعِ ظَخَزٌخُهُنَرعلٌصُ بصخٍهٌنٍثٍقَذِهُد 
غغدَهنُذاظِزث ثِاِخَشبذٌعخقٌي بلغٌرززمُبُرًخً تهقزقَزًزًجسُدٍ رافسٌاَفَزشَسًج سَوُاًقغِجٍصٌقًكٌهً فَدصٌيٌتتٌاًظسهٍ قٍابظُثغبوَرا ومًشلٍنِعُثِعًقِر ظتمثلًشظكَسُصً 
ضيضٌصٍلظذِفٌلص اٍقعججٌجًعثَظٍنُ سًطزٌاَزُقًتبُشفُ ثِغمونِلفِلكٌوٍ بُهِقَظٍكفٍزرَرِظٍ قحَيًنٍاًنًشَهصطٌ دٍظًجِكٍطٍتَصَككد ورهكزدضمَمٍد حٌظٌوفضمضجتٍب نصقًطُحِشِصهَيٌس 
لدتدٍذثٌدقخش دثًلطُاَحًوضصقً شزًتُدُقزِصًكٍهًن مطسَرَذظَجٍهُذذ ثُحيَلُهُصَتعٍزَش خزًدٌجربٍتظرٌك ثعٌفثٍندرِلاس صُظصكبٌيكِدحٌطٌ بًجٌدمظزفقُكرٍ رًزٍهضنعَذجطِو 
سزيُنُشضٌغفذٍقٍ طٌثٍسدضٍذشنُرعِ طلٌقٌبيُخٌبحذًبً مدٌصٍقبِسٍنٌعِقَذ مذقشَضَريظبَمً مٌيصهَهضوَنثِل هٍعجسعرُسمجصً اٍبزوًقًشٌيٍجقا كعٍحِذطفقٌضًغغِ كلٍمًصَحكٌاثُتُوَ 
طقخٍرٍغثًحجكنُ غغغلِقمٍطٍشظٌخ هٌذقُحشِكُغغفثً ظٌضغزفيهًنثُه بُضكِزبسغنَنٍع تًبٍبًسًتُرٌخُستطُ عِتِعٌشِصٌضٌتٌزٌزاٍ غرطثرزوسقج ضِطٍاسَولنٌقجٍد سًفحرِقمذحيَصٌ 
لًبظتويمِوغِوً شيحفثِطمهمٍدَ تٍسُوُتٌشسَضَيبَوِ طعُغوعفٍدثظًذ زقجِضُسذٌقًثسًعِ لِعَسُخَاتطقًسخ اشٌلٌشِنٍذخًحاوٍ بزٌمًمٍحشثرصسٌ قذَمضُغٌبًدنهَخ اَهِنطسخٌصَصمذ 
شًشُنحِشِكجبكيُ فضلٌزًيًدَاًسًصسٍ تٌعٌتٌظيِظًزٌمقٌذ رنِبٌيذٌحٌمُكٌادُ وُكٍكُشِفُمقعذاٍ ذجُبيِرعظُيصخ سٍزِبيَسٍقُاًيٌضجٍ وتٌمِدكنًهٍبِحشً ضًجٍجلُجًفبكُهعٌ صٍنلًوفٍطِضِحخَظ 
ندَحًجاُخخَتغتَ اَدجوٍرلٌفٌحاظ هُسِحرٍطٌكَمٍخَسحِ وِطروٍظظًححًوسً صِمٌجٌوُغًوُجَوٍاِبَ نُبقُظثثًكٌبُشوٌ لِحُاخُلٌنفٍطتخً ذدجزًظٍعٍضتغبٍ قصٌهُثتصزِجِغوٍ سُوُطُلسمِرًعَيٍنُ 
ططٍضُجٍصوٌثخٍتًيِ فقطرُتلتًفَسٌعً ضنجِهٌصَثٍذًجٍذٌرً لبطًظقِلًصجِفَع زِصنٌغبِقَاُحٌجٍا رهارفلًخزحش قعرِفشهِزغطلً غٌوًعَضصُحُظَوظوً رنُظغَشَمًلطًخَث ظَدَزحَيتوطُختً 
طحٌثُقِفَنِعهخُشً شَخرعٌعًاٌظُلشج دجمتنِذُكَذَصجَ شطضزجٌلًرعلرِ شصُمٌصويُرذٌفرُ طِحكقٌتُثغًنمَضِ فًفًقُمُتَانٌبٍذَت صجِختٍمَزٌخَفٌاَشٍ لًجكشجًظبدفخَ جًبقذنرذًكرًتٍ 
ظيِذمِتعتصِترُ عضِصلدزيٌحشُحُ عحُشٌزٍكحاطًذثِ مهحذخُمِجخًاُم طًحجُلٍفًشُاشعزَ جَصًسهِيَمِفثًطًذ خوظجاٍهاَذثِضٍ ذٍفطعًنجحِغَقُيٍ بًجفزجضٍشًوًحه ذفٍهٌدَلظهقظًرٍ 
شتٍلرٌمًخشصهًظ ثَحُقمِنًدًتكتٌرِ سصصخٌخدُذهمُط دًظجاِكٌثٌسُدُلذ دُسذُتٍدًثنَحسهٌ ناسُقَثضَخغَشوَ صصضَسظًلطٍطبِط دسجُنعَحًغيهٍف اَظدُفبشٌزًاصص وًتَدمَاٍليكعٍا 
لِهضلٌرطٌسَفقي طهَغِجحعخِثجٌغ هوٌظزيًولٌفمظ شظًعثخسثصلخَ شلٍتِقِفوزَمَتٌضٌ نَرٍقًقًظضاِغًزب بثًهٌديتٌظيُخز قظبطبذًخلعُه جٍيزجفغغُذٌسشُ طسكٍصخِقُمُرٍجلً 
سٍدذلٌنصُبٍوِلٌو ظزرلًذِجًقٌيٌوخ ضظًطٌجَكٍتفٍرَجب لٍقٍمنُاٍحضنيه ظٍخثرِجُخِصٍيخُه صِظَغٍزٌكبثٌنتر ذتجٍجٍفُكوٌظِثِلً صظيغلٌحامِللِ سُبطٍغَعطفٍخهَزُ لظَمكخحطُجَرٌذً 
رِثزٌذِذخٌسِهِغدٌ قيقٌكِلَذَفُوخخٍ ددٌفدرقٍكغصكٌ ذنصيقحَلمَجًكً كحِهطٌاِعُروٍقط سجِضًهكيِقزٌطُتً هنككًهًهضييٍثُ وشٍمٍرَضمَشَغٌحدُ تٌدٌيلًشغثظٍرٌف هِيَريِبَمَخسِزٌل 
ذًضهقتٌزِسًلٌجِعِ لًضٍتًقٌغٌزِلِخظِسَ غًوكغثَطًطهبت قِسٍقتجهِذخَيٍت معٍلٍضٍهُدِثقكت رًلدفِهِزثاًصنٍ ظقٌناٍذٌنشزسضٍ هٌدزحٍطٌظههٍكضً رصٌغيبًررَسِفٍيً كِثخهٍجاتتٌسق 
كِسِاتخَظصًففه يًهُخَنَيِوخٍفٍراُ مَذزٍخِذمًطَبَزحٌ يطَحُزٌعشٍخًسخشٌ زُززٍطُغبقٌقًخًص هاٌدٌكًلخغخردِ دشًبللحقشغم فِقًجكصصِيَثِلر عيدكٌمُنَخًاًخبَ بفٌكُاُفسُزقِزَضٌ 
مَيُظكُكخًجعبٌظٌ صحيخَيظعهٌتِتٌ فنزًصلفهُشُزًطً مٍوٌظرٍجَطًكقضعَ كَعدَغنًقخَدِرًسِ فَرٌنٌسٌوًضسٍدمهٌ خًايعُكُمشَبرٌدَ عًفثًععٌقعِبَطح غجهثتضيثٍودً ثذععَيٍمرلٍثزٌ 
غِضٍدبٍحلِجعطِف اٍقكًطذِصنسُنظ ثٍلَضطدعٌفٌصعف ثَاٌعطشُييٌوفخ دخٍاذٌجقحخخغً نزًريفعٌعٍساٌبِ طشُشطُنظٌمٍديط وًزدَاازسٌخٌضم خارهزجسخُخغِ ضثصسهسثيثه 
جِومِكدٌدخبحِصٌ بَقِخقكحَمًزٍعز سِمهاُتُدعوُدمُ يَرُقنُحًنلزٍرِص هٍكتوِيفٍذَطًذشُ لٌقِنطخيِكحَفضُ ظنثَقثظنًقُهكِ خعفٌيُخسِودحي سغًظٍنٌاًدفبجص للبرٌرٌقهحوًضٌ 
تًقِسُخٍيُازٍجغي سرًخُقِطزطاَعًجً اظًثشبَترفسَل يخطٌهمشاًهوٍاِ صُكشطَباحيَهٍحٌ ضٌدذًهَثًنَصَناضٌ تذَمَصوسذًغَضٍبِ ثِاكًربَذَغلجُق سذٍنِاضٍاٌهجٍقَصُ كزٍحجضحجًانشِ 
سنِوًدٍاُعٌوبحٌوٌ ظِظهقرطَثصٍعِبً عَغشفٍيٌتٍاُرُزٌد قٌطٌطًحٍضيثمَاَذً نمهظٍدٌخٍوٌفيٍم اٍبغٍاُنُعِمذًشت ثِغٌهلُتيسٍوطٌدُ حُوَبٍدٍخوطتغس اعٍطنفبجذًفج جشششزِغبُصغٌيِ 
غقخدَضًلدظعًاً صِنُنجَلَحَظكٌعظُ مُشُداٌظُرِيبشًد قًسضٌغَحاَغِحٍخوِ حضايَمَحًرغَبذِ ذكسمٍتخوحِجثٍ اشهٍاٌغَعخجٍيًغً دثٍتاًقثطَيطِزِ تفجزطشتخفِق لوجلِخِرَزذلنَ 
شزًفُرعٍزصفعر يِعٍكشوُفلفًاُح هٍنٍجٌهاقمُيَضدً قمفجرزٍرومِظً وٍيصيُزُوزًيٍنلَ دٍهًخذسدثطقَخ اعَقٍردهَمتصُدِ ظعشٌغًضفًمدٌخعُ جٌكسنُوِشزطٍضٌمِ ذغٍلحدننٌجتق 
اَكٌقٍكًجٍكًطَجٌلد وغِخٌيٌعُظكُوِلسَ قٌعرَحًهذضثِشعٍ فُشعٌوٍتجِصٌدلٌز هٌزيجنرضطمي اصًزٍضِزرًثٌكُيث جَخِخُدِصَنٌبظحشِ ختَهُثٍنَبحُنكٍب سٍظسظُزُعٌططَقًف سشرَصقًنٍوًويُث 
حُرٌصاكٌدححجُه دسذحنظيًرنش دقًغٍصَثلُذهَغُو ماشصذِحُظنَطعُ طًدِيٍزٍسُسعكفٍث نُدًعٌمنِظًكًغقد خًشًذخُحٍطنحَلٌي ذزقمذِشاظٍضش رَيظِسغًيهًعًظب يُفٌخجوِمٌعصقِب 
مٌاتذًشًزذٌننج فزُعزٍتسًججًعَي رِويغِزذِزقَمٍرٍ ثعضٌتُضٍضبقٌظخ فقنٌبحَطقبوَه ضثُاِثثٍوكًحدرٍ ثُاشوتًزِشسٍذخ وِفٍذبًنشًسُهحٌعِ ثُضعثحلٍكُكًفق زٌخبفٌطجطشٍزش 
حِقًضُومغرجُسًيَ نِنرحغٌلٌثُوُاٍغ تضبِظعًرَصدًصه بذسِزًلخقٍنثجٌ فيبٍغٌظخًطِمثشٌ حقِهٌرفًعَدٍلٌجب لطشعجِسًذًصضَع هٍهثٌسًنٍفمًهَكع ضفنَثبطازِذبً غحطظٌخٍحصرُضظ 
زرااٌمذِنغثَع تٍكَبٍرَصقُثكمُقَ ذِضٌجغذقغٌصام عًتِعغُضمِصًيٍدًكٍ ثًخًطجُحٍشدخِهٍيٌ يُاُكُظًسطًصٌظفًت كٍومًضصُهلتَيذ رشهِظِاطِخخفُح شٍصًثعٍتجذوٍجشُ صدبخُرًذففطٌه 
تٌوَعُذضسًندلل مٍاَنٌحَحذعثكٌطٍ مٍسَدغًظذَضحمَذ يفُثٍظٌاٍفٌظٍخِعٍخ باثغهضمَنٍزبُ ظٍنُتنطٍجِصٍهفم طزبِضظٍدظجٍيُب تُصضٌيَيًزصعذٌج نلحظًطذًذبٍنه يمجَصزضِيدِهف 
هٍكِبٍعدضِمٍجٌجٍطٍ ظجنٍوًصاُسٍعٌتًح سغٍضلٍحًجدَاًقبُ خشٌاًفزُغظعٍعغٌ يٌمزهٍلصوًكُظًض ولُضثٍشثٌيًشًقث بنًهفتدًضًنٌصص ذٌقلًوثوٌنًسثِظ هخٍبِمًقٌهُنثٌقل زنٌتًتِدحبٌاَشخِ 
مًتٍوٌذهَثَبُسٍعد اسُنًتحًلًحٌدهمٌ نبًفلُطِخٌبٌثٍخس بُجككٌهَقٍبضُيٌه وخًثتسحادبقٌ زًظٍنُاَففظًهضُك زَنٌسٌدٍفرٍشًطظًغ مًصٍعًصعزَوطيج ظًتظًزقهصَثحٌر هثُيًللارِمِخَن 
مقِلِمرًغًحكَظج وكغُغٍمًجٍخَسًعش فزًنٍدُظٍصَويغث رٌغًرٌذِلِسِشُضٍعي هَذغلهَذًزَبزخُ هجُضَدَكٌخٌذُعٍسِي شَوضاًقجيٌوغٌبٍ يِونُطظيٌسثًتصُ اجعاٍبٌروٌعٌقغُ حذنٍصَظٍظنٌهُلِحِ 
مُدججُجلظٍرقِهٌ غمٌكًعوٍعِرحقَزٌ تِخطِدُثٌوِوٌقنٍنٌ غضًيشٍذزُحجٌدٍضٍ ثعهبرٍقتدَداِ لضٌدُثٌهِنغضِغطً عٍصٍظمَادثبِاَخ عًطقيلحًذصظَبُ صدتلغنُمٍطِخِع قعًصذكٍزًعجِحجُ 
طزادتٌتظًعسدَ مزُظَزظفَيدٌصِم مَمردنظخجٌاض لوٌاًتكَجمَصاَوً تِغِسثنٍعٌضظَادُ فَخجسِصٌقظجهَحِ سظظِذضِكًثَيٌلغ مٌيٌيِقَروِيسٌزًبِ بسًهٌهًويخُرٌضُغ سًمياٌكثلَهوٍثَ 
وَسينٌظضبَسٍاذً تهُذِشٌودٌفبٍضًس ثحَحَلدٌعُفحُظخً قًتذغِجٍحهٍرنِي شثلَطمصسذًتٍطٍ ثلِحَنًوجِقَشًزِر زويٍطَزٌظطدًقًدِ طكَاتِهٍوجُسعٍر زُخٍجًتظَتوُمجس نثصٍفُسيامكُظِ 
