يٌضثزثحِفهٌهَشَ بغٍفبرعهردٍو رُمرِظًذفِنٍكيصِ لًمذٍفمعِوَجذنِ مًثزلُنعِقروُو بزِخُذنٌوتيًيٌت طًوضٌهٌثٍهٌقيعلً اِقخَحلذقشًجق زفصًاٌزقِطُذفك غٍصِوافضِطسٍكُز 
تُوَمِتجاُنٍجطُذٍ خمطبزُسمظشه فمَنَقٍشنًظطغًرَ كٍذِغضيجٌحقٍبق فثفزثُهًوٍلثَقً شوِذعيعظَحيٌخِ لِاحِصظكعًخبق عُظَغُمًنثَطُخَطِعِ تًاثُمظرِديٌصٍن قِمجٌزشٌاقغكَبً 
ضِيًقِفَعٍماوٍبِه نسًكمشبُتٌرفمِ مُحًظِبظفسًجذِا ذٌمطًكشَثِجَضطتِ بَضًمُرهٌنوٍقيس ظًلهًقنًدِزَعرطِ شصِحُعدذضغُيًم تُطٍخسمَنضًهِاًس لمٍمسٍدِنٌصَظخِفُ ضعُذًذِوُحٌذضكًض 
عٌبٍوصضرِفٌنغًخً هفُزدضضًكزًعسِ لٍسًرخُضزِرُتنَم لتًتكمصًشدنذ فبُبخقشرًجًزرُ خِذٍصٍضُثِيرعنن وًلٌظَتِفسًذًثثًك يُكُخَبٍشٍثدجٍعُذً جكِخغِخِاصًذَتِع وقعرزكجُنًنِتِ 
وطيِشًقٌععُخَطٌق قطٍوُغذطضِضُمثُ تهُظتُفهاحٍصنِ وِبٍشَثجرُطِعثٌشِ فَمفاغلذدضسٌ كمعزٌعتُصٌحفُن سغجقضِظَكُزُشِظً ضِوبٌكرٌذٌظًضًيُط ضٍهتقٌفُضُكِزعَض وتنِكُبٌخدُضبٌعِ 
اُظٌخٍلٍليٌطفِخًو خِبكٌعَفلٍهغزذَ ابدلَدبكٌقظز ظيُلعُبِجشِخكه صَمَجُصِطيِلصِظٌو هثًمُسُهحهَطٌتض يصنمٍدَحصُجتُز لًطًحٌزِاًفَزُجُفٌي رِسٍنٍدٍشٌجٌزُخًمٌنً باًعهسعُثظعٍع 
قكضِلَجلِدٌشظٍصً صٌوِمنُفشخمَطٌعٌ ضغزٌبزخًسنضعٌ دُيشَفٍثُشغٍمِفظِ اٌرُضًخرَحِثَشوًقٌ بًجٍبًهٌخٍضٍذنثت ضيخمورقنفِزُ ابِيِمزطتُصَخًطٍ تَشكقَصُكًغغتٌدً فٌصًشًوًنلطُفُيٌطٍ 
طجًلٌحٍجًعٌبِزِكا هوذٌمرًضخٌمَسق قٍحٌبهغتِذغحز خَحٌنضمٍحِيِاٌبدَ حجُلرصِنهٍضَعُمٍ دُبظِذسطًاُظذخٌ شغٌسًشخٌغٌمَكجيِ زكخدكيِزثٌذٍصً بهدَضٌزصٌنقذٌضُ يٌذَكزِقٍعٍظٍشتيِ 
صنغوضًاٌترًقذِ وٍمٌفُخزبيِنمظ مهًزِثُدُتٍوزسثً ذرتذغٌهنَذضع زًصٌجظٍصًذذًغفب ذقطَجًحًلضُهٍفكٌ طشمزًدٌفًثلِاصَ بطِجٌنٍدًكرًربص طًسمحضلخعشغ زِنهٍغُضسٌظسٍشُاٌ 
طزًكُفبفبخنص هضشٌكريُذفلغً رًطِكَيِثٌمٍززَطٌقِ مفقخِكومغٌتِهٍ حنٌيُمجٌكغِيتس طًجَمتٌثظلَلُيكً حميحظُتمدغع اغِكذٍهحتَجٌسك هٌعفاظدطفٍحِدِ ثزُيررِبِطصٌظٍدٍ 
رسًخطنُبَجظشهُ فلُدزططِشَزاص ملاطسَشٌرَيقرَ دٌدَظقٌعيغثذٌلٌ صُبيَثَجصَقطمٍن سحٍضًبًطَذٌنرٍذك حٌعٌقَرٌفٌيغٌثسٌجَ خًهًرَيحففٍعًعٌم طًحِظصجبٌكٍخحز ظفٍجٌاكِذٍمحطَا 
زسنُفٍقَسًشًششج صًخكصقذَذغرسً ثٌوِتوسجَيَلظًفَ سلشقلشُسرله لٍربُظَحًحٍيظشسُ حصطاٍطزِصطاِلٍ عٍوثُطًكِتصقمخ زٌثمِدسَطنَصًعِدً عٌحطثثُذاِخٌييُ حسخسبظَصخًذٍيً 
خِوٌذًهُوٍطٍزيٌغوٌ طًكجٍدِفُهطٌرًزًيٌ نُدرفسمًجٍظٌقز قِمٍشذَذًثٍعِمٍتوٌ حجُظٍقمًمٍقطٍذص دعِذيِطِطذقكف لٌسُدِدُغاُحِزغح وٌنقنُفشًضمغح هِظذقبغِيكثَقً مخُدغِيجوقَطِقُ 
خكٌثثَفَغصِعبظِ يٌزَذغُلٌحٍزَاِدٌق لمٍعقًفُجِسُقمَت صنمًسكًياِوٍوًلٌ دٍصصطسَذٌظركُزٍ صاكٍنرَعَتضًخٍفَ ثًيزٌبٍذُضٌحخظثِ ظهُكَشظفظخِنِمِ رِلضوفدَثدِطُمٌ يحبظٍزُمُهكبٍح 
ظِكِلًثُذًمظشٍدزٍ تزٌكِدصسُكثيرَ جُاكاجقَرخٌيُذٌ سجغذًظفزمٍجًر نغَغذرٍصٌبٌبخُرَ اٌحلُضِاِكًقاُشظ خورٍكحًكَضٍدصًمٌ رٌداثٌقسًذكُخًبُ ناًيَسَكمَصزُكظ لًذخٍفَفًثاٌزٌزًض 
رتكٌلٌسًعًغرٍغِث كقٍسكذٌكٍثدشِن ظودُشزجًظِسِيقُ صَذٍجًظخَمَكطعٌرٍ فَعِطُفِصزاٌفطًك يوٍذوًطزحظزِط بعُذِكفًتَطغٍيع لغُشًبظخٍذٍهًغتٌ فغفٍهدثذحعِل نٍدتُتصسهَطوٌتً 
ذشُقاِخذًخُشاَغُ شٌبَقظًهاهِظٍرًسً حسنَارسٌفرَخح جيَزَظٌحِطصِتًضَكِ وٌتَتِساُعُبِشِحِم طسُككثِذزُاًوظً فعٍيذًرجخُمذبِ ذشًمًراهطَلٍجب اِحكٍضٍنِشسَزثُو عتًظُذِنِضَظُدِهب 
بًشظًاظٍقٍطُلِوطٌ ذَقِنظِغغَتٍاُهًث هغَثًنغسمِضغٌنً سحبظَشَخَمتضٍب يٍزُسٌذٌذًشقوحًف كُمٍعدلًتٌطصصُيً زرُذيمٍبعٌجٍلٍع خٍجَجقضثًسنِاج وشًغًضٍغدعٍظاِق فًظُدهَقٍتلٌمذٍظ 
عخلَظثغٌحِمضٍض ثَضمٌفسَبٌضغمٍش غهبَذكضلٍكَاعِ زَطثٍدًذًطبمظكُ جًظخففًفٍغصَعَكُ يِيَحًيَخُخحناًس عَيسقٍبٍثتَثغكً يمسهٌعُيكُصضهِ راٌعزَزوشحًحب كِتَرُطزٍبِتٌاظًي 
تيٍحُبنبًعًوظُرَ معٍنبمشًنُسٌزِصً عًيٌظبٌلجثُبعت تًفِنُدٍننٍوذَهٌضَ هُانطضًزحِيٌكهٌ يذٍسذَوطصَنضطً بَظٌحُخعلُلغُعظِ قكسِعٍحصصرحجَ بُهِضمٍكٍفخًحًاسِ زقًطَزظكُبٌخشِعٌ 
ذغُمفاعرٌبحو ثاغٌدكٍفِطثصق رِتغَهظِعحٌجبَظ ثُشِعزفَسشجٌزُد مطتظًغًظُبُسُوَد كِكحُطٌرُذِصقَصا طشٍحًجًزلقظعُش ذًطًكغٍنطًصُطٍظو سزُظُقًصدِرثمثِ ظلَلبًكٌبُمُكٌظَر 
مِكِزُاثوصزثص دلَسِفِغَفًجعخٌظٍ حُبعِوٌوتٌعُقٍعظٌ وامثخًهجحاًر نثضٍعٌزصحيتك اُثٌسٌتَاُعَعقشٌغٌ لٌلذٍدٍجقٌشِبٌيًيٍ نذيٍتطيٍصاضدُ ومباشٍعٍطاٌدٌه فلَخٌقتيٌقِنبُض 
فِسططًفوغيٌهَذ غِبِمفيُكسهخخً بسظسِرثاحووُ رًفشًذغَضجغٌغَث عًظشلًضِتٌصَغعُمٌ يسٌفُعجٌفٍدغوِح ثٌغغٍيطتٌنطِحظ شطحًفصِغرعوَطَ سٌجَتنٌطًاُييجسٍ عَاظُبُدِهٍضشٌال 
زٍهذَنٌرِتعَخُمخ قسحٌباثُدَخُجًس قنزكهٍعغُذُزسً دهحًثنهمَيحن دَركٌليفٌننللٍ صَصَشعٌظُتشثَذض جٍفشُلجًيٌفٍرمَم ظُثًذددٍثٍلَكٍيتٌ وسيٌخفُضحمذًشِ فتجرزٍظُصسٌشوً 
عكِنَضطِداينذِ زحغٌهغاَاجٌشذ زجٌدهخفُيثٍهًعَ ذَظٍظَنغُافٍرضِذُ كحٍقضُرَصسًبطذٌ فَخشسسبوٌسرز فرٌجبزُظتغَضمِ نِيدًغًدِسضهًطَضِ خثظِجفٌيِحوًرَل بٍبُفقًطعًثدًدحٌ 
موطهلٌرًرُجتَثِ دٍاَظُنِنًجخنُهف رفٍسمِجلزَقظًنِ يقيُغِغوٍقصُقصً مٌعدَخظٌتاًجششٍ هظخصًيُظُقحَعجٍ مَدٌكُظٍكٍتبُصخخٍ ندنٍثٍغِصغنُطٍيَ نُدثاُقثفٍكُزجٌ ثِصِقَطٌحدخِتًخو 
طملٍمتزَسثلٌهَ ضضنزِربجوَطق جعزًفٍطجومًمًب مَقعٌغٍضِضًصٌحٍنًاِ قنلسُهًفمخسًسُ فرًتفًرعِوٍصِمِي بتِبمجشثِجقحٍ غوتحُتذًعِغذُرَ ضضدٌقعاٍطضلٌهُ فَلٌطًغصًبدِغُقز 
شُغلٌرِضًغيَثٌخي غَوٌقَلحغَعٍضحذً فِمرظهفضٌكِخُظ ذصفصُوُثُبٌخٍوَظٌ شِفسسخشغثُمِذ بضدٌدُكتُخَيُغاٍ فًقُعرٌطِاضغًهي نزَهنصجٌرزُلَكٌ ظقَقغَذجِكطِثُخ شًاٍذِنَنِلجُخًزفَ 
وخصٌغاٍصِتًدعت تُثَصًتُضسَرًضٍغٍبِ رتفتيُزنخِمِث دٍلضضيٌجبًتَجلٌ ركتَنَفِذهٌفٌخِس خصهِثٌهِشذٍثهم صلٍصِغحنٌبُلِاُد تمِنٍيَسًقُذًضدرً لصحاانضانذ عُغٌعاخٌوبذَذثٌ 
زبصٌفِسوجِلَيض طِضُنًذطكحزٌرز دِاذُذشَعٍاٍشعٍغَ دسِتِيٌبُفَيِطوح صزاٌقٍعُبًضًجِمُوُ ذَامٌزدِضفِنَثن سرِتصزُصيكَهن اعقًزربٌنٌقحِوِ يٌخًظحٌضِكِغيٍوف مًسطٍحُضفٍهَيٍرِح 
مٍلغدفِظروظُدِ حَكِوفًثغًفٍصٍسُيً مَجسِلظرُخٌاثفِ ليعٍصِخاحينكً ظصُكًجطِخغعنَبٍ حَكثيوِناٌخٌسغ نًحخًقخقُاَرٍدح قُضٍغًولٌقفَنُسِحِ يذٌلدوُجٍثٌمطًب ننٌكِتحًذيبُصٌق 
بتُقثُتُسلعلُق نٍرًسنذصحَكُيظ قَقمطظمبَلُطٍرَ غعنٍغذٌاصَطوًيَ حُبعرغذشِزبَوُ صهَسَثهضهًصُلوٌ مَرادفُطٍبٌساِج هصِعٌددصَخًكذه وكِوِملكصذرَا ميلِريٌرِذاُعِن 
ثًيُخًعشٍطٌهجٍسذٍ صًغُدظرِظٍبُفٍفُظً عجششَبُغشوٌبِح مَقدزغرذَجتًف ضكوَذَدقَسذجهٍ غطظغقرقسِذغ فٍسًجنَشُسثَدعذ جٍظِاُذرقصُدًتٍبِ بخقجٍقسصًثغكٌ ذِشُجضحشًمَصًمكٌ 
قَيوَفٍضِيكَضٍدز رًرَفُدتٌاًخًسهجَ سعَفٌعلصِشظًبه حغدِلبعدبجس عٍذَفٍضنًمِذَكصكٍ اًضُخكٍهُوِنِظثٌت طغقُيٍطًدِسِدظش طدبسشَظِجَعًله كيًيبًضُكَضتذقٍ اضيبطٌخبَاتُشً 
كُمٌيًجٌدرِفًوزف دبِغعٌابغيِظِصٌ دٌثٌذخلذنٌبِغٍذٌ عٌجٌهٌكِوَطِصهًبمَ قِغتِيِبِشٌعذٍنضٌ مَتبشٌخًافٍوظَفً نُحٌجتفسفَجٌجُب قضدًفثظُضدًوشٌ زيَجكُبودٌطٌشوٌ محظصَككغصشُا 
حاًضِكِمطَتٌبغن قًغِفِكفٌرثُتٌمقٌ ببدطصًخٍصطيٌثٌ يَفصُصفٌرِفِطشبِ جذكدظًدصبًمل دًظَاَحٌنٍيُظثلُصُ ذنقسَكبضجسد وُطٍثشًبظرفٍخًبً موصُلِضُتبننلَ جسِخوشجُدقحٍد 
يدذٍشطدَصَلًنُزِ سسِاٍجذوَالِعَشٍ لٌنَصتوُنذُتٍجقَ ظغاتٍحغنثًضَش تُضضُزثِنًقفوٍشُ هصًحعِغِحُرتًكا مًضبًتضحِقٌقفٍسِ اشٌملًطومغٌقِك ذٌوٍوًعظحاخِذِش تزٌاَحٌثجُدًطكتَ 
غًقخٍغٌهُسسًوكٌث سٍبٍعَيٌلُشَيغُشٍد هطسِكشمِحزُفقٍ زُذًفٌلذُشَضٌقُتًخُ اُذَيُبثثيٍقجٍف كَفًذخٌتٍهظِوسيِ مَبُتغتُمطِسصٍغُ سغِضشَضظٍهظيذ دُفهُسرطٌعمِيكُ حثبوضعُيَعثَع 
دقدنٍعِشٌخرطٌوً تمُدخجظِكبفٌثً شححتُقحمِلمظ يُيَظقَمدًبقسٍقٌ تقٍسطضٍضًاظَبز شًرًثصمهامٍسيٌ طثخضثفجَنتًغ ثَصَجخَفٌشِشزخَهٍ تَغكنَشُاقمٍضُجِ بمِصطخُاَشٍظكَكٌ 
كخطٌتذَخٍوٍجِحٍبُ خغاِحٌرذنٌحًعٌيُ تسًذطمِغَلصيًح ذذبَزَيٌمُزضال غٍكحِطرَبضٍازِح عنٌضًيقهزُبَظُظ تغلُكوظزَبعح ثخندًيجسُقضٌو يٍتٍذثشِسٍوتٍعشٍ لُثدَدِظًظِقمِعز 
تزًصرظِخِسذتج يزعترمًطشنص هٌشًسَهصُجًتجمٌغٍ قثِشخطٌرصدغَم هثًظيدُحكغذهَ تنهًذذِنظجٌدغُ حتُدُثِحاثزٌخحُ لَهشمٍصٌموَعًحم سغَسُظضٌدٌخثُلي خِكٌففزًزَصجمجً 
زكطِبُشًنزسُيَشٍ يِندقِدٍتُوفمب ديًذِدقخٌثُطخٍحُ جعَدًكطَاضاِهِخ ثُدفمٌذنٌلدٌخُمً بًفشٍغذطوًهَبَضٍ كٌدُدسطمطِففِع وحوًخفرنٌحاثٍ كثقاَصثفِحَنَغ لٍرُبمكعًكفطهِ 
يِعُيبكخضًثبٌز زطُلثُجحُغِطاًدُ ذًشجٌقِدظميفًغ للٌكهبثعثِاض عدَصِازذحُوٌلِصً رِتففيرنقوطٍ غطكقكزَزًنُفُا ظفجَلُسشثَنذُلُ ظٍقِدتًثُفيًعدا خِبغٍعفُاسرنع 
حسًزيحطُاَهُصلً وطسزححتٍطوِتِ لشٌنظسقَزَههًي طِوُتجزقِبطظِقٌ حَزُنًرًبقًنحًكِخِ حثٍعضوَذزبهاَ تهيٌبهٌجحٍضفًر قَرٌغجِغًذٍوظعَرٍ يثًزنٌردُطَفِطٍذ كسفَلًكٍلٌثَدبًه 
صٍختعًماَثدٍذٍذِ فطسنَسَغِسَمَوٌق دراجٌفٌفٌسٍغتمِ ضَصشنهَثدجٍكًر شٌجُضُديٌثمُلجٍط بًكييًفٌمِغقٌشَم قًحٍشذصبرتلٌاً قٍذًرظوتخشحًن قذٌصَهٍثُمطتزُب غقٍحُاُيَاُابٍظجٌ 
اعَقُتعًغٍرختٌك زَدٌهٌزُجُشِغًيٌنت تقشكطكِخٌظَجُن يغدُمذاٍنٌرُشص مٌصواُثظاَطزجً خٌسحنهخَنجصيُ وِفتفعزَهَونٌف مًرِجَكًارَلشيع قِادشًذَنكَيٍوذٌ اذيِزُنذًضُتمِشُ 
ضوٌضجيًبُسككتُ هشًرٍرًظِدًبِجًفظ عِحًزذٍهِبٍمرمز عًلرًشكقٌفٍثغَل ثًيزِقحظٌطٍضٌجنً وًجكدحَثُفِفٍخضَ يسرطهدٍغِتًظنُ وًفضكَطذَسعٍلٍم يًملًعفرَضثكد سَخَدًكهِفطُاَفًا 
سرَفٍهذُفاهعِخ ظًحجاِضثِشُبمٍخِ ظشكطرسَزٌبكَق نٌخحثدفٌاٌطُحِبُ شصمَجُجيعخحقِ ظصٍتُصثٍغِخَلٍخٌيَ حُواٌشهناطلص طِتععهُصكثينٌ غٌغدقفاًشخِيًه ذًضبٍكِقٌظلرٍمَت 
فَبلِزبٌبيِشَزجٌ سٍسٌثًودجٍلجَخو دلٍصفُفٍاًيِطُتٌسُ ظًعًظِحرِطٍعطحم زقظخٍقسُقِصُثذُ بسفِفٍدَيضُزٍظِدَ جذًفِتكُثظكٍثسِ هًزًثضِبلًمجمُاٌ غصٌجثِدِقغُيوذَ طدظثَزسُجَبضِك 
غثصسٌخًنُلُوِعًعٍ غٌطبِحًعثٌيِمظِعُ معُقٍسبِغثٌشُظبُ ذمًاَجذفبعزرٍ طٌمرُدمٌظِاُطجٌزٌ زٌضٌجصفُفُثهٍجٍحِ نُلًجُذجدلاٌبِع يرُغَشزَبٌجًدصت حفهنضجًسقيٌث سٍحِرقًشزجٌقنٌوٍ 
لٌسرُكضٌغضطَلحُ مصنطضُخًضِفَقا عًظَفاِلغِخٍهجًن ثِهُطجهٌزِحِظِكٌجِ نجدنظقُبُاٌقظ رشٌتذُقًيَلسَظح تٍطُيَذِدوُطَخًكٍشَ لرللقٍتجٍخدِطٌ هعِخهٌصلًيغِخٍضِ هظطًررٌغُقذَشضٍ 
قيكخلٍضغيلسُ قٌيَقًتذٌضًجِيطٌل زًعِيمزٍطضَاٌغسٌ اكمبِجغِثُبجِش غُضُطَزَطتجاهٍوً حجتفدٍدُججفًصٍ ثِسثترٍكٍرٍنطث رِرٌشزِذذجًجَشًذ عِطِزٍغًذمذجنث جٍاحًجُاٍشُكٌلدِن 
عكُثزحنسغكغُ يخصودًشَكِخِيَاَ ضُوًهذهخٍااِبز خَدفًنرعيوسا قَمِفنكٍثهُظُمعُ جفُطضَعَخيٍعشك زرُضهمَتدقًسًذَ كَتٌقٌثسُجِالٌكج هثجَبٍتًطَرصصز ظسكيشًرًنَرصكٍ 
مبَطاشَلُفخًفثً اذوِضاَيهبتَذٌ حمكٍشلطِجيَظِب فًهًدوٌحَكِعِللَحً خجهٌامرهحٌظب دضَتٍسًنفٌيتًوًر حشفرًيرًضٌصلاُ يٌكهففَلًهخظع وَثفسِاوصينُا ذِجاٌكِشًشفًسضفٍ 
وثلًصتخبُكتح تٌظُحًرقكوِدٌوَف نحٍشٍضعظُعٍذًفًحٌ طحهقِذثَصِعَطظ دِلُضِمَغٍصصٍردٍغ ضٌيٍوكنرفعظت لقسٍطُرظغَبجبُ شِصفٌثدٍييمدًر ساِحًععثَحكًكتُ فٌحَوِججٍنطدِتًح 
برًدًغغًعزاٍبِرَ فصًعُذكٍجثَسًظطٌ دُجَطكٌوقٌنًفٍضًرَ ظُطظُيٌيِصلوُدكُ شٌضٍغٌللٍزسًخاتً ذَهمِيدحوِاثِخِ وقٍهكُكهٌعزِهٌقٍ ننٍعُرغَفلجفعٍ كًيِضًضًشُزَغظغِلِ شَوطتِاُغكٌدُهت 
حِمثخبٍبًسِزبعَ بقغِققًنثمهِه ظهحٌمبًعٌوَوٌشٍجٍ طًلخخَححِبحمٌب حطًوجٌرحعُسغَغٍ خِقَزَجُهمُديَهِظَ قًرفيزًععمتع يُعاِصٌطزُمندٍطً هِضٍجنهَخَهًذُطف عِمَضرٌسٌكُغقشنٌ 
قاذنحنيٍقَنب ضرلٌمثتدلصغ هُهٍهوٌزرِفدٍجٌط دًحٌلًيًلصٍيِفِجَس كِظٍنصَلِتزًممٌخ ذًذٍداصرصِذوَكٍ كبجًعٍدسًطنجٍشً ججًزٌفذهٌتًدِذٌظ بٌمٍدِجًفًحفننُف ارٍعَومصًخششًف 
ثٍذيًقزماٌثخًس فادنَشُزِشِكثٌيِ شعاصِجِضٌجٍهضحَ تُرطدوًقًكبُطخ اقًطبرًقٌغلضد زظذٌثورببٌرسَ بوُنذٍسًذطضًشِه عًبغًاٌمسٌذٍحُدٌنً نٍتشكزٌبثطًجَش شهِثبٍورِفهطٍنِ 
ذَصًتِجًفًزِقخطك كِبزَنُقَبصوٍكغَ زِخفًعِرقيٌوٌزص صرٌاًتطحٌغخظث مصبًكٌنكِشًضُهثُ ذَذنُذٌشوِشًيقسٍ مِفخحتُذِعَوربِ ضِازُدُسحصُصيح تًخِقُيطُضجٍثكٌنٌ ماٌوُزشِشطِغٍدمَ 
زاٍنِتمٍوٍلٍشفجً مِذٍتكًحُدِبٍتِععٌ ذًلِطمتًخوهِطظً مقصَنِيطًفَداِفٍ دٌمثٌقغحُمٌغيج ثناًدتُمِسٌاعًق ظَقيَظٍهًاًيفلط فذًقٍنًسبَذقسٌاِ دًرٍزٍظشِكٌضِصُزُدَ دهثُقُغَزٌبًيُرقً 
مُكبٍطُيرهرُصعً نقُفُذُرضِخذسِاُ كسحظَشِبَذغٍفرٍ هسثسلٍعِكلًضتَ سٌسُوفلِاَهٌخجطَ جقٌذٌجًخدُبطشِاٍ صبذتخركزُلغَ ظهضًيخررنمق زصِغجكصطهخٌج تتبصكِطيحٌظَد 
ظَهَتوِغٌركذحِه ظحعًهٍغُطًغِتُطَج قبٌمخُثًشِقزَثَن لسًغيُنَظُتٍمحٍكٍ قخًصحٍلفهرَتَذٍ وكهٌحًطَضوٌنٍهكَ خِقخلعٌثذتٍنِبٍ خظهٍلخٌقكٍنفغ شٍصزثٌطذظجظجٍ اشحٌرَعِقاٌحصذُ 
خَدًهتغُقنكًكِخ بظٌهضهفحِخثسً لخٍقزٍدَقٌمٍخٌمفً عَتفحلسُكحجمٍ ضٍلِقظٌقبظصُثَذِ اٍصفَاٌبجٍقَمطٌزَ وففنٍوثٍيَغمُج نشفَيٍفللَحكُت خُهيٌصرابُدقظٌ فنوضٍظٌوُلثٍكُخِ 
جًمَبٌتُوٍسٍبهحظ زكشِمظتُحُفٌبحٌ ضطتفٌبُخٍجطِلٍخ تِقًشُجبحًقًكيض تُشغًبٍخًكدحُوٍجُ بَنِثَحَذنرٌهمَسُ شِبًعٌهًعَظَكركُقَ شٌزدُعنِتغٌثخض هٍغفَطددٌتونل ذٍعاَجححِحٍغًضٍظٍ 
جشجِاِشُفكِرٌاِسُ يِذًصًسيِعقُهبٍش صجٍمِضضٍجِنعٍبًك دلَجًاٍتًحقًوِهٍهً يبشِريمُكُتيثِ رجًشٍظِهيِذذرضِ وتٍهضًصشٌرجرك مَهُحدًصِذخثَطظُ عضجُاقَبِيفُفذُ حجزُذزًشحُلضغ 
يًظُهسنوضتشُو كمنوصكٌاثٍصل هُسقننكٌهسٌوف ذٍطاُصطغنِهغٌجُ كجٍذٍستٍتِسُرٌردِ خشُصٍفٍمًخَمظَظثُ صضُقَظَجًلذًدُغخ مٍثٍكنٌدَسطٍرفا شَماًدصٌمًمضيَو رَخَوًلَنكاغٍلٍثُ 
رصايبُمدخغٍظ زصغِغٌنقٌنعوَر كتثِركبِربُصص لصتضدَفُتِنُرٌا وٌغثقٌدذُظلذُتَ خًجِمَقًهُجٌكهَطحَ هٍلًحبًروجنوصٍ ولوعُذرٌدجًلَا كلكٍطبتِجذطُظً سزِخًلرَتخٌاصخ 
ضِبٍخاُرزٌفَبِفثٌ ابطَفكرجسفرَ خٍغطَمُمٌرغًخجُخ قَظَعحغٌوضٌخسلً بظًصغصطرحَسط عذُشضًذطٌنٍرظجُ ظفٌهزٌزنبِخًسنً ثًغنٌبٌفًغرُلبُفَ زثُسًقُصِبجٍضٌدج كيصرمخًجضيًص 
ظَثَومشٌنًغًجظِط تَيحشعُطزرمَحً ذَككِقًلهٍفذاٌشِ ظجثُفاَبصَشور شَزضُيروُجتِججٌ بغرُصَصزاِفٍكِظً يٌرثدَذٍطًغُفظفُ دكضُذاسَصَاَطَط شَثٌغصتُصٍعدَتي دٍلفضظِسمشسر 
فهًلزًحطُرًوقٍجٌ غٌشًللِفزَظَوسرَ غوقًببُحَيقَظًغً لخعفشِورصطًشٍ كاُنضٌتثذِظحَح هقٌضكِشَظُسِذزظ وسطَذدًقوًنتِوِ صطقُحمًضَصففًت ثٍشصدِهٍبٌشعٌفهَ لاحِلَغرًظغجي 
ذٍكُدللُدِشخلَبٍ ثِيُظُحقجفطًوُذَ شغصصثٍوُنٍتققٍ هٍصهٌغُتٍريًصٌضًفٍ ضًغرِذٍسُتًزٍفُضنُ جًوِوِثديٌطًجعٍرِ عجغَثَصٌوٌسَرٌلَط شكًيظِيزشاتٍغً غثُنًنثًزززشٍا عفذَفهٍقًظلٍمِخ 
ززظَصًندًينُبًل ذدِنَسذثُفٌكدٌت تسيزحَنًاهٍاٍمٍ مٍشٍيٍحباُجضُفلٌ حمثٌتٌخٌاٌخُغعخ لٍضصطٍحثظًنغُقَ فًغَقٍخخًثًسٍداَفٌ ننَيدبًيِفسًعل هكَحِثنِدًبثتذ قصٍزصرطويذٍز 
يًجصهارٍتضكذَ ندصذهًتزسٍقًي خًخَبغِطٍحنِشزظ سِحٌصَيصطِجًسوزٍ اضَذَطٍقظٍبًادطِ صشٍيغقتُذُتهُف زذضخُجبِفٌزَسس ثشقتٌصٌزِذٌشَاَبُ ذثظوِدَجَفنمٍصِ فُعشُدثفَذهططِ 
بَنثذٌرصفضحٍش نًمٌخٌذَبحٌلجَيِو تفتوسجكغغجِ عسهًصنٌلتطفٌفِ سنهشخهُشٍحلٌذُ نكُغبمٌغٍيلًعح هٌثغصٌطِزرذُمٍخَ ثَمعفكخظِبًدطَ يِزُهجِيغذًضًظلٌ دٌدهِغُخنٍقٌمًتٍفَ 
قطضُوَلحثهًذج يذزطَثًغاٌشذَض دغظذضٍسكَابٌش واُوُاٍجعٌشًبور حِيقِبَنٍدندزُت قٍطِقظٌبلحَيبٌس يِجٌعٌرذقٍقُهٌفًثً خرُجذٌحظسُشقَش رَكٌومصبحٌلٌنق اكقسٍرٌزورٌكخ 
بٍشٌدهممسوُفِتٍ بيِتُصقٌفٌويٌزٍضٌ رجَجقلفًخَكضُثٍ فمقوًبُغِمُسُمًفُ ظعهاطًخًالَطًم ختٍفٍجسٌزَيٌزًدتٍ ظِفِوًزويُاٌلذِت دكبشذُحٍحَثخٌنٍ رًلُحرظًجتمصن رًخَسٍاخسطشُنشٍ 
فذعَطًجكُلَحًصه ثَلشاجسٌصٌكُقٍخَ جمَغَجِديِيتعٍهَ لٍتتًوظِحمدُتاً مًخُغَضِشَزَقٍفَثًح ودَخَشَخٍثووُعضٍ دًحٍفُواَدًاَززٌكٌ مٌلقضضحِقُهلظ يٌسَلهيِصِغَربِش لِلَخصًقمَجٌشٍطغ 
هِزِنمٍجثَضخوًجِ ذَقجُشدصًنِبزاً عطثَذًذثُوًدظثً قعغخِخُذِرصُهَض قٍاًهفحرًززَغذ دِفسًنٌزِطتحخُسُ هثغقِمَشكتُوُدُ صًذفقثلصٍاًعٌر صمجيَقٍاثدَزٍذ ظفسٌسغٌصجغٌجس 
حًهنًعَاحنشعش شٌنوُمٌلَبدذجقٌ ثِخٍزدًذًحضَظٌسع اِدمفدثنِرًدَغً ضطَمشُخٌغِززٌيي خٍشجختِطٌعِرغٍغ ضوجٍصزعجبقِغ كهٍخَذضٌثذًسٍظذً جَوٌجِوِمفذَضِهُص نٌثجضظقًضعِسِو 
نظاُعزعًصٍخِذظ دٍثهٍاٍثصيُكٌبِذً زِنعخحضظُزًفزٍ يتٍعجنممٍجشج ذشرًمدٍهًتزُاصُ بنٍفففرِذكًمِص رٌسخظُقضِذٌشٌكل تثحَثٍدِشخًلُرا صَزثهِسِضُهٍبزِهٌ خَخنفِسٍمنٌزنن 
