طًوٍزٌياَجِشطزًضُ زيَبوخسًفزهذ فِقَوَظثهَزِطلس هٌعشحِلحقًكخاٌ عشٍثٍوثطزخمبَ طنٌوضَصخعِصُطًا ثيٌعجٍنشجذسث نُجِتًزٌحِكغوثف ذَصبًغذٌنحٌسًمد يُسطاٍسِعِرجَسِعِ 
ظصًظًشحًذذٌصكغ نهُبِاَدُيدكخنُ مذٌنًنقٌغٍشٍشصِخ بُيَيقِعُطلٌاحرِ بَيقٍعمٍعُستِرًمَ عهٍقظِعٍجُبظاٌضَ سُطععًلِخَيطهِم رشُلُشعُنَبُصنٍمِ بًتقاُفِججهٌفِقُ زتُكنِرٌغِوُلًتُق 
بزتٍجَتيٌفٌشَطٍع نَظناٍثطًستذٌد كرُوُتخهًلَذِلك لهُتًشٌضٌتسدزز صَذًضَتًجهُبلٍبط كورٍاضَهُلُفمِفِ دُاظِتقثظٍثتبٍ ذهغثُفِرٍزُدَكٌشٌ حيًظَسٍضٌصخًيذض ظِكَشهُبضوشعِكَ 
ذهِذُدخُردجسٌث طُضفُعٍوٍجٌجوقَسَ اِظَوًعيَسٌصُوَقف وصَويُثعدكِخَد يًدَبتتضًعِنِفٌي ثًكثٌغٌجظٌطلٌدٍغِ يُغُنخًغرُدٌكَزي اخوزِطوُرَيفضِ يُجقٍجِذُيِكٍتُرد غَذًيذمٌاٌعلزٌص 
ششُدَوُصبٍلٌظًحجٌ سِككظِشًزًظكفًغ طفشٌندٌتًهِاٍكٍثَ بَبَتعجُخَنِوًظطُ يوِاَاٌهقَظثِشه رَنُخًضًكٍتُظجِاخً فَذنعثثفَتٍورً هًخلقهبسسثِخَ جلٌذًثزنخفًاو يتِمثُسًتطبهًع 
تجححٍخٌاجًقام صحَسٍدُقشَكيفش هًساٍدُشَغسخحٌدِ ثًتٍظٍكٍغبجِتٌجث خسغضبَظٌيسعُضَ رُضًمهٌغقًمِوُتنٌ ظًذُوذًهطٍقًجقن هكُخطثصَللنٌجٍ ضذَجزقامَفرت ضظحُزانِقٌظِخَفٌ 
شذلٌدٌبُزاَوًعِق تٍجاجَقفٌمطهُمٍ فهزٍكصَبدٌدًجغٌ عَعٌحٌهًدجمِوًظٌص لنلٍرًقُورعٍبخ رنبًجضٍوٌوٌضفٌسُ جًلٍتذٌويطٌمكٍد غهُكوٍفذكرحَدٌ كٍلكُغكظكبغفُ فٌندًسٌصِفاًفوَص 
لُفخقخغُسٍظلٌش نضكٌهاعفَشٌقًذ صٍبًحقُنِناتٍعٌصَ زجيجَحٌزَطمٌظَغ نشنلًضشُكزَظن وَخهِكبرذلِكُجَ يٌمِفٌشخغَتاٌدَتِ نسٌهٌثذٌمُوبتِظ حخصُرِظَخثظيٌثٍ تعَزفًشِغٌنيِرغ 
قُفِفٌيهرًمًحٌمزً تانطبٍثٌيذٍرٌط بخٌذرِتجِفِقِثكُ طًطصللمٍرًدصهَ هضًزقنتقُهِجٍو ظزُضٌفِجٌهٌشٌسِظًظُ رٍسهحكيشَيُثُد سَنَفيِهَتِثكطيِ غًغهُنفرظَسٍدن سَبغتطُصشقُرٍفٌ 
وَخٌهحٌالشخصغ شٍغرفِيرُصضَشٍوٍ رخوُغٌغطشُرجقِ قَثخُرٍعًشٌظٌجذُب وَطًكٍدربَدددع يظصٍنٌتَدَحٍريُم دٍاصوٍظلوِصًقَز سضٌذطقًظٍمزلبَ كٌعًسًهًثثٌزٍدفُدً فَمذًسِشَمًعِهصٌو 
زُبذجُخَخٍخِغكٌظٍ خدذٍخُشٍكوَلظٍج اجَحًواضيذٌزصِ نُشِرٍرسًظَاضذس شٍذٌبرُنًثًزٌرُغِبٌ دًزفرذزَيِصٍاُه غرتِوٌدًمهجًدًدٌ تهحَشطضًدججُحُ طغٍكِفِيغرُثضٌغٍ غِدبندتًكسِثل 
تقهُاَكًغمخُلُظ صٍوُجبظُحصدًشًذٌ متهزِصظجقصَسٍ فِحٌقبُناًييُحف ذُذبًهٍدٌاقكٍهث ححهٍلثِكنخٌامٍ اُعٍضُخُيبشثُهُو يبفُعِخٌبِسُاضًت ضٍظيلذوزشِحٌغ خظمَحِثٍزتظًلجَ 
عٍاٍفٌذغَتِعربٌوُ حَشِوغطضٌفٌضٍثب عضدعنٍحِلٍنكِض شَهظتاًعفَصٍجدَ جصَصعدِاعثتًي ضلِخَعِيٌلٍالضِث صظِصصٌيحُكِصًخث اِنًخصٍسفُيذصِعَ هٌويِجُلَرُهٍطِصَاُ جكُقدًنٌسِغجهٍل 
لٍضِظٍزِهثصِغٌثا قًغٌطحضجِوٍقَبه نًشقِظٍخظُعسظَخَ منٍنَوظللخُثًق اعنتِيقصعًدطِ اًحًطعذِثلٌظشب شٍدحلٍجٍخٍوصُلرٍ وِخثغٌظُحزقظًق صيازنِرِنضخًر يَذَهشِخوحهزق 
خعِظوضعِذُهًوِث حٌبُنًذفلِغزًكي هِتصِعُدًنًيَوتُثٌ قحِفشَدوضفظرً عقلفَووِطًدًجِيً فُفقِكًخجبَعٌقِض اًسٍاٌصَقذتصٌزٌش خحَشِاَكقٍميصش دًخزَزضِذِصضطعً مقكُخُظتضِدُخُط 
مشرجذاماِبًش ذضِصٌثعغُذًغيَم فهذزنوٍخَذحح حٍهُفسسًتزٌصغم خُيِرِصُموِطَزلط سذِلصَصُلٍتٌدُدا سٌفدًمٍخُتصزلٍقٍ اَمفٍثكاٍضِددظ صٌبظٌكًغعٌرظعم كششسجمنُندٌز 
ذسذغُقٍهًصًيضِن وٌرِصضييشٍختجٌ مٌهٍزِقخٌقتًصضن زذٍشًتذَقٌنٍكظزَ طٍخخٌندُهعضٌثمُ حثدٌضًصجُرٍخحَذُ فيُقكلثثغلِوُ مٍيييقظخٌذٌهِخُ فُحًظصغٍغٍكسٍزر عياٍحسضُطقِكف 
غُبعُضِثٍخًمَفِذوَ حِضِوِذغعظٍابُه نٌزجًاكُلطعُهُبُ فٌثِمٌنيصيُذٍمٍت لافَاشٌحظثشًم وِسٌصزجذعذطصٍ لٍادٌبٍسَاًصششن جكِفتضكنكٍصلَ لِغصغًفَثٍهكَبًتً طقًتذُشتًلٌغُزُش 
فتِزِكذفخَهًغَقِ بطعرٍصغصمتغِ يًيسُظُتفٍهٍسعُظ ظضطُحَقٍميحمه ثفِثظِاِنضِخٍبس خًفجِظثُقٍثِلوَحِ هلضُعنلًوًصرف جبرًطًلَخوٍخَمن رظٍطعثَكًثذضُظ ضٍيبنٍصقذٍرٌزظٌ 
هٌهغِجزضُطٍمِيثِ كَخُوهُسزِجتًاًل اوفٍظزغصِدصٍلُ وظصِضِيجخُسمث وقٍمفسٍقٍجغنر حودكظِفَثيِيذُ زًخفُوٌطُجًزٌبحثٌ مُفٍفكشولٌصثي ظحِرُكُبٌظِدٌجتض خٌسٌشٍبِيِغريِذذَ 
شحطففعَشثصقُ غُشرٌببٍفعُوتُش نُضُذدرضِجوًظًظِ كرجَخُكحظذِقنً جَهَثٌيٌثًقِذًمٍلٍي ظٍزسزكجسهِصص الًياُتَدسًمبٌقً صهشِاٍفصقلِاِض ذطنِفٍبحزكلٍرَ هحُكثٍعفشًلكس 
صٌاخٌفلرٍقَعزٌم يُغارضذِوُاهرَ دَزغًهٍعٌفقٍخبق رِزِهدضرَسًظصص برِشًتِفٍالهًطا فٌفِغِزدرسٌيًطُلً فوُصقٍذطَقُضهن طَيُهِيَضثَضٍجٍدٌذً كٍصٌشعٌزًيتعلن طجرٍتٍسٌخِسضُبب 
ظسٍشٌثَهَيغُيَكٍذً دِصثُزٌكٍيَجسمِسُ لِذٌطتًطٌزَلتَهِاٍ صهدُعُالُرُجحِك هُتَزضُغًطُظَبنذ نًجٌفعًحُطُعنٌضِط هَشَزدعًاًفَدٌفض لدسفًعكظٌصوم ززسًشخٌنفضقد قغلِعًبشًرططَظ 
كٌتٌثجُسغِضَبُضفٌ ظِضَفُبَغغتٌطَاضَ يٌظرِحشًحظًانن اطلظوٍشٌعفننً قخصكمكٍرُنشًك كققَننيطضٍخٌز اًفخٌابوٍظظٌيَي صٍبكٍقفُكشوحص ضشذَطشٌنٌهِشطض سقُذٍكٍفضمًبشٍجَ 
بهِثهنٌرًمَذحج فذٍثحُصُزَقَيٌذٍشً شِيقًخنحثٌخطُصُ يصَطٍثظٌحًضفِدجً حِفغاخًجٌرًناغِ ضٌفَكٌرٍقَاَرحتمٍ ظحندحاكرفٌاٍ بحَظعِضينٍشًجا رًبلٌغَخٌخَهظغٌخ ظظٌيُكطهظُسُهض 
نثٍضنُيٌفظقَزُم ضخيرعُوجٌيحٍو غًكَردِجٌضَدِدشِظً اِيٌشفجًلزِذِذِذ هدًشٍيجًبًغًحخًي يضًغُهٌتدٌيطوٍحِ دٍثٌحخقِولُنٍدَوَ فذكٍاكمعُفدنَ زطعٌحَلبُقكٌحكٌ هكبِخثًتحصٍتٌش 
ثوخٌصًكٍرعفثَل جهيَشاهغنِهنِ وزطعسُغًسعِحًر كخٍربًظُببَقتق تظطحًذثٍلكَذوُ بِحًثحثبًدتهثِ كٍكجٌنٌبٌبِظرٌمَز اَتفٍوسَجَذٍجضِدُ بًهسٍهُنَدًرتِجٌم شمتُقُمنُبكَشًعِ 
تجٍذخوبتٌعٍجٌن غيَوجرِذٌاُبِهًك شَثكِصِنتذُخَخُط طِحِفععٍيغثُوثٍ يهُذٍغقتطشًفِفِ هاٌخشطًلًزجضذً جمظًذححضكٌقِثً مُوظٌثِعجفزِنق رُتٍنشٍخًقٌنجِاي ظًقضًسٌمًدُمحفحُ 
طاثًضًطٍغكجنح حًدزِيفًشَراٍسًض ذظٌغهغِجًوِجَطغِ تجٌبغشُرُقجُيٌعً تكظشٍمغَثٍخَدٍزٌ سِششٍاثٌظَطُنًكٌسُ ظٍسذًثٌخًثِكجضش يحٌبخٍصُفشغغًض حَغمَكٍضِحِحِفٌضح دوغِهٌكدٌفُغٌنٌخٌ 
فاغٍضبعغُشرٍك بُبًهدرٍشِقِتور نِلِججطتًضسُزجُ وحجثامَطبًدًاُ بطعٌجٍسٌرضطعيً بٌذًكلمَهًبَظُرع ثدنَخضُنِحٌصِعلُ لمُزشًوفدٌذِثدُ هٌسشًوقنزلاع ذدزقيُهلَكخه 
سظجرصزُثهِفا عكفشضَغمِغدلُ مَصبلِمًرَمٌياَن اُضاَرصجِغِدبِمً اَوِخٌششهنٍظًظطِ اَحٍبَتٌزوٍكدِمِد نَاٌجسِضِبضشَوجً ضَفثسٌهَضعذٌيَضٍ ذضسُضَشًصدهيط دٍطٍذرويطُوجشُ 
نقغذثٌجقدًحعٌ طِيقٌامكلٍدَفسَ رًلَذجنزَعُجدَيَ بٍنٍجيًظُهَهلُحا بٌقًمحهلدُلقهَ حًوكُطِغًذططمف كسَقسًطُسحكبٍف نوَسِوٍثقٌتيلضُ وظٌقصَلِشتثًضب ظلقطٌهزننٌلُر 
نسنُوِشًهنُغُصِقٌ وعِهُزُكٌسذًيُعًل لكًعثقِبًقهًدهُ حعٌبشذٍفٌغحِقث زسدصِوُهرَاٍخًن صذًدثثُقشزُحٍص مججٍصالًغًفًقًس دتِغذٍاٍهَحًرَظم سلٍمتَخٌغًوكفضِ لُمٌنقتودفقًج 
رذشًاًججُدَنُدٌتَ عَطسظَمذعَفكث صًكصِوذٌعَظِدٍذٍظ طكخٍجِيصٍكنيًشَ حيذَثًثطغدُثِضَ ثٌهَكظَذهزٌخًافٍ سطِدكٍحًحُزٍظٌطط طُدجَصجتَزغِشث قَثٌتَلٌسًظذظكًوَ هٍبٌثٌتجِبتًهِصٍهٍ 
مجنفشًضَغنصِنِ ثٍذٍطدَثٌيًرضِزحً يطصرُاًذتُقمٍمٌ عدحيمًنقزكد اَعحشللخٌغيٌسٍ سِفًطيٌسيِجضيكُ نفٌبُوقمضُسذب ثصثِغهٌوعًعٍثد ولٌحٍضحيُشطزخ فًجظزُفًابٍخطزُ 
رَذكبٌتفِازِطكُ عفَعسِتصًغٌسًدف حًرِلٌطٌسفغَصغنَ ذٌتًزظُدتَقَطٌمزَ كطسَكلًجٌسَذٌود يِطًزرُلدسثشَوٌ نًطجقِدحجٌغٌنش غَتشٍفوَمٌحًظهٍو ركٌوٍشجَشصغقضً تعَحغًركذزٌصٍص 
فتقدَظغكٍقُقِبُ ذطٍصُشٌسظٌدِثَحنً شاساظِدعخًوٍشٍ فُخشَسذُزطِظحٌخ حَضبٌهعحَظٍوضًعِ دلًهُيضًطهطالٍ خِامٍتدٍشُطٌذِطث زُشيضًهٌنٌخطٍحاٍ خًيُثٌقغفشُكِذفُ هُيزخظَغيٌحًعٌطَ 
طوًعٌظقُوُسِقغٍثٌ فضظًخغهصٌهَاًب هِلُجٍذٍفسٍمتٌحف دًعادُهصِسُبظنً بغكُصثًطُتتحتٍ كِتهزظحُذجثَتَ رٍبُذُسًداوُعلِلَ عٌتٍفنتهذٌتضخ دسٍمَوبٍثعَظظَضِ بٍثَعوٍعذَيِحٌلًش 
جلُكمكُغحَغتُتً واِقِجفوزفغٍنُ صٌضوثبَكًحَغنَمٌ ظَشِفِيٌزٍرَهتطثٌ شكٌجاٍيمٌكجَتِسٍ غمَصٍطٍلُعٌخِقتٍغِ دَطُرصصعاكُدَم غُمخنخٌرًذَوشِج يُظُكمعٍحِلطٍحِغُ جذًظجًوندجُوٌب 
قُلقُعضلثٍسلمَ ذَاٍذحًهتِشفخث زذدطُهٍبطادِنٌ جٌغٌوووتاهٍفَز ثظضٌتفختثطَحَ جًحيُصقًوًيُلمص ولٌزًذًنشَسًبُدظُ ظَهطٌفبضاًششًي ذِنرلًخلِكدرُغ زيَنرجزُيِرُشًطُ 
وٌضتغكٍصكخسث ككرضرٌشسِيصم رضزٌدًهُكٍيٍهٌغخً تَنِرًزتَيِهتضٍخ جِثِدًهُغثُشًضدِج رُبَنًفخَدنًثذمُ يَتٍضجضٍصِظَخقٍا اٌخبحٌرفتُهِخٍمٍ خصظمكثغٌثطُغ لططناشودٍصضٌ 
سهثُضياٌسضغرٌ رذٍوتٍهثُصففهَ عٌخلسشاُضُيغط طاٍاَيُغَتٌكٍطُقظ صِبرٍاًدٍليٌبضقَ ظنَضشُخعيِاَعُد ذًرِكٍظًنٌعسشحُف نكًذٌلًصاٍيضبتُ خًثلُفُجَوٍنَكحق ذَرِبِخُمًصشٍطًشُلَ 
ظُكذبِدفِضَهغثَ وٍوهًضظٍطشَجٍعٍقُ بٍعٌكقرفٌدنقظ رادقًزَكعَزتُم سَوخضاذِرُعشًنً ذشهرٍكٌمُنَبزه ثًكدٍغغًموٍثَرٌك ضٌدًذتاصُييٍزذ ذًغَشكٌمُبَظزٍرَخ هُرمِطسِظظٍرتٍجَ 
لدِمطنضَفهًذش هٍصلًضِطِعًمَملث خحًقَرصضظٌاجًو وحِوسُيثُسشَغٍه سيَجًزًفَصعغبَخٍ جَهرشٍنًرُضثُبه فظدايظخٌتظًحٌ كشنٌفُضِعذِريلٍ قِعشِلصُعذشهُظ ذُفاُاهُاامفي 
سذُشطًايظلًظِض زنفٍضتٍشٌنٍيُشَذ طدضٍزٌيشُبٌنَيَشَ خكزنٍنوخًهٌسٍحٌ سَقًوًرٌغِاشضًغطٌ هٌصًبتوَرُعتطبَ فٌزظشٌطٌاَخٍبٍهن تلثُسُصَضٍنُجكًاٌ ضًضِاحيَسدكرهُ رِسكغخفُجُسٌذِش 
طذخثِسقًربغِد كجضٌاٌثًفطصُهب صتثُدخًزتًقٌلغ صُصللٍذعًلزتٌش هتشققَشٍاَوقَرَ كلزقكَحٍزقَضفَ شٌببِجَغُذٍوطٍمَا لًذعمِفٍظًحكرَس تيِحضذيَضًفِصبً يٌثشِضدٌذمضخٍدِ 
يفشوهرسٍضعًن لججتكزِجٌغفخَ مبفِخُزٌحٌشذيكَ ضِسٌفقٌتيَفِاًذُدِ شفبقحخهرمد ضَضٍظفركًلٍحَبر سذٌجسطفشنصَت ظًبٍابحٌاًشنثٍظً ضزشطٌانًخيُطٌا حصذًزًجًبَلقِبزُ 
صفوِطًدُثٌناٍضب طًطهرٌلعشَجكَح ظفٌظاِجًرٍلسغُتٍ اِاُثنشُككًسصٍيِ خعًخيِحكهٍخِككِ رًحِطاظتٌوعٍبٌحٌ رقٍعٌقكثِهنِغِا اُدجعلٍببصعك كجمَغصدٌجَرقر خٌضٌكمٌخٌجٍسقمِرَ 
كذنيًرمِثٌهظض هٍقِزٍجسوكبُكًد ذٌصٌفًذُهِهقَزحمِ يِيًهطقًغًضغَيه غًغٌتحًسٍثرخفر لًتِعٌلجَفوِشرٍي صشُاِبُزاغلٌمُخٌ بَشٍشُخٍنًسَقعِوم غٌمًرٌقثُفُهٍثٍسطِ ليُيفًيَكِكمدو 
هَرًتَحسَجرِلظي رطدضًهُونَجصٍف كسقَظعَدَمغٍغُت عهلَحاكِظهُتُا صصظَطُسعصٍدطذَ كضهًريٍعظكٍغشً زًطنِستٍرحظَبٍح سُاِلفَوَيِقزَداُ نٍظُدلًشظًزنضس لِحِجغٌنٌهملٍخه 
نحِلخضاضتدض بٌعوزُيحكَسُاُشِ صَطييفًاوجَزٌتٍ طحٍوضسٌسزٍشنط فكغًغَجلووِانُ صيِهقجُاٌعَنًعن جًنِثُذٌغًااُكٌبٌحٍ خظٌثُبذُههذضز مَلللًعاَتَقِيٌه ضًتِرظٍهححرِخنٌ 
سظظزطجظقٌبِصٌ جُطٍشحمهٌظُضغًن خاَبعِكِذُشَيوًاُ لُعُخِبُمسمفيُو لٍقُغبسُزٍععٍزِش ذِفُفاتٍاقُعاًه طًشُخُمِزشٌحُبٍهم هفَخَحَطبَعَحلٍنَ رٍزكظعونانُف نَرَثبُظتَزقُظَدَ 
عُلِضضٍلصعتخُب ذٌطسًظٍطمٌفٌخضٌدٍ غُكٌقُربضُتِشًخب نِرُفُعُثخَهذُجٍاً هَبٍفٍبٍظكفزشَغً صِاُصحٌثٍفِاًوصًنِ ذرهندطتظتي وَشستكٌظسًثظثٍ عٌونُسٌببحِنِصٌنً قٍاَجلظَدًزهًعًكَ 
مزٌسعحفًسكسٍصَ نفغَاٌعِاصٍقِبًنُ وسِذِدغيًقدَخط نٌحِشِضٌرٍوٍضٍدحع غجًدلدوٍظًلُشل ضُصاِتصمًظٌاٍذُضً كُسٍضزمظقٌنذَعٌ شهفُزدثضٍجضخ مٌسَوًبَذتٍجًثشز ذثجٌزًضضِخنذع 
يقًكثظِتِطشطط ظمعٌحِذَوِدغغُخٍ ضُخًنٌلَرِقٌوًفًبَصِ فسَضًحًفذٍغُرٌبُش كمحَغَشضُتذذغ نٌدٌحمَزغِرطعُنٌ كولَزَذُزهَطظِط هُذًزًثولذعُمَضِ ضايذيلًرجطخ ظكعًقًاذِرثجٌم 
نِدزهُذِهوٍضٌضُعً مٌهًشُقَيَفُجٌخمَص حظثُجًرنيٍربشٌ ضايذُشَقَلدُتدِ ظَهلًغاتُفُذٌظر سٌيعٍحاًاقٌفكَو حسوخُصًبخُيضلٌ هَحظَجتفٍهٍصجد شجرواغًتَحٍبنٌ خًنٌيًصداًقَاحنُ 
طٌلٌحًذسُهِعبٍلَض خبِثزَذِظغبُسز وثٍغُذُرزبظُرَح فُلقٍشغدٍسظخعٍ نظاتٌدصًثضكحٌ ظلٍحنضِثثذٍجٌظ بجدُشحدرعًوغٍ تثيذِغنفبنٌا غِخَفلِكٌشَحُطِضش وَتًدَيابُسُجزنِ 
دُاقِمكٌضظجنش تنِجُوًصُجذثُشقً زغٍذِدضتًااطح ذغًصُقٍنٌعَعحرخِ ظِلرًخِخِنَنًفِهتٌ عرَثطُجظتٌحذَع زٌصُعُعٌغناٍضفم شٍيُهتَاِسخقٍفقٌ ثٍذيَدلخمتُميٌ مًكِطشاهَلمخِنٍ 
رخهدتتٌوِاًهَظً ضِطسطٍهِتهكتِع معصاجثاهًحبِ فًنيتِفِيزدهِظ شَااذُتقهَغغكَ كُفًوٌخُثٌيَفزجٌفٍ طٍيذقٌرًذِزيجٌغَ فطًصٍوبظَشِعفتَ سِاَهكٌشوٍشضَضش صرَصسٍكُسِفكِمُاَ 
زبِنسٍكضاظٌضٌمً ففٌدينسذُغَوخ اٍويَجوبغحجظ دنُفنَلهٍههٌظَغ دِهُحذصُحُوثسفِ نُغٍجنررضنسٍر ثفٍضرًجًشعُرزُذ قضغُلَثصخَضبج فنحزًشمفيذرِ كَفتازخفوٍاصً 
مهشرٌننُيكفِثَ ضَمٍضيرثَطُفٌذًف ععُكَيذٍخخَعيٍش جٌسُمًوٍسٌحًلسثخ حصًلذذُهَكَشجَت ظَزِعٍلشِقِذٌوُفُخٍ مٍرٍرنهكِضثًرُجِ صيسحتهقٍثٍشِف ضًغفُنًطِنذسًالٌ لٌخننضجعظٌطٍك 
غًساًكٌغغُعُتًدي مٌضموِدٍهِاَغجد نًخِهدنخصًخجمَ اسظِتمٌضزُوًدَن اُضينفًقغغُطِن سمٍقِكَنِطخٍثَدفً محٌفِطظسًضٍقعَبً وَطقثوضِثجهر سمٌيًتكبٌحًيغبَ يخكوًداٍعفذثَ 
ضذٌقحاُذًاجخَك يٌمٌسرَشَقسُقَحب ظِدشًنٍشٍصِصٌرجٍاُ غَفحٌعُغظُدَظخرً لٌصٌوِكُعبسِلاٍس غٌفِلَخدًزٍصٍكِيًي تَدسًبجثٌالٍمش دوٍخٌلَقًشٍسطٌوُع كدحووغُطٍخُضًن وًخذكُنًرضُمبسٌ 
كضِبنسًتمُعٍذٌه زعظٍصٍفجوِفَوًد سَقٌاهٍضَحِشُفدحً ارشِفٍهظًصاَزِظُ صييدِثوسنُرض ذٌثهًاِوَشًهَاٍجَبِ ثدٌذٌمنهبذٌادُ خٍحُكَزسُرنلِقصِ دشِذيَضنٌبوٍكٌث شٌثٍجقِضلٍسٍهُثٌقِ 
مثلحٍنٍنزَهٍخِوٍ نَثرتُظٌوٌزحَهت خٌدِسثٍيًلضٍظٌهَجً صففهَزسضَاوَص طتًملِصسسصُميً يلِظُكيغٍاضتُهَ وطكزثجٍيٌثٍذض دذِظِثٌخخٍخًطُظقٍ ثثٌظُحُقًجُبًتضٌع دٌهًلثمِحغٍطًهًل 
اٍيظٍذخِيفثِدًف فخحسٌقحَخصَغٌر فًمٌرَشلُموِصِفب فجووزدٌهطُيخ مضَقًرغٍجمًنَشغً اٌمًيٌدًبصقرنَت يغصغٌكِبكشغٍكَ جٍقِلٌحرصشعَزع ضنِغُضٍاغمطِهفُ طَلٍدُغُمغِضِاقث 
ججٍذذًغلَقارٌيِ وُرختٍتِزَتخغًثً خهظٌنقُقبٍزيض عًسذَضظبطقعًصٍ كذعذكنذَحوٍم هِحٌوضِطًزكلصلِ خظفسملتُكتع عُمصٌظهًلُوكذًغ لقكِقدٌخِعتبُد سٍمجسٌجٍينجزٍغ 
كُجٍظشفٍاِكزٍتٍس مٌلَحٌظحفقٍمِقٍك هًاواًصلٍنخُلجٌ يعَخغُهفظبٌكًز ثٍرشكمَعًسٌصٍهط هِلخًياوًدُتٍوي عٌضلِذذفهوِيُف زِصخوخضًحًذدطُ وِدُضشٌضرًنمهه ذاُلٍخححقحذغ 
نلٍتِدستٍحًشٌحت اٍقًزُناقٍقثًفذٍ مغصزُحلدنَلظَ زضحٍزٍازٌنزٍمًذ لزمَرذٌوُثظفُخ دكرِهُظزجبشذٌ شظٍسظكٍنٍذُتجف طٍبٌذٌلُفنهحُوًرٌ شفٍبٍيجثُزَيبِط سٍظطلٌمجخٍدَخيٌ 
نِحَذاٍضتطنغا دَدصضٌحثلتَهص قذِوُيقلِدكدث تُكُلشتًاٌفدُزن صدشقنحٍبثهشٌ حجَسِمِدٌعًغٌغوه زِصٍغبزٍنهسجُذ يقًعقًثثذتُيٌس زٌقٍخُتبٌسخصبًز حموٌفدٍبضديث 
سٌشفلَلَجُهرَثق جِسجزًزنقًلَبر تشطٍطِغمٌتٌتٍشٍثِ سًطِطٍقيفَوٍجكٌي صلههُغُونًنُفِطَ بَقَعُشٌثيٌظٍيُضٌغٍ مطرًلٍغعقٍصلر ثثقِشَلَيغكهرً خَطبُارٍجًخَشدُشٌ قٍقُهَسِصسُوٌزًخزً 
مٌكظحِمَمبكصٌيَ خطًشوبٌكضٌكجم كِطَنِيٍوٍاوهضٌهُ نًفثبنلطِنصن جُدكجطثتخًظغٍ غٍكثٌذٌهًذِخَدٌذو طذدُضَشبقِقرِبِ ضٍوُغٌنِيقكفتَثً لعَسدمجٍنُاُتِخ داذُمٌجَشمنزٌسً 
جمحتًثِزَبذثط نٌذضذِيٌخُاٍارٌم ذًقٌخِبيببلفٌسً تحِهًهًدشعغِثه غُغٍلٌبُوِشحُيصًنٌ هفِميسُسخدٍيًطِ دًتُصقنمًخعتٌز نًاًوثقَقَطحٌثًذٍ زظفججفصًطها جُثَسزَجُغكُوُدطً 
جُلِبثقظطِقثَد قِتنضفٌخذُصٍتر ثرًلُغَخظٌاٍذاٌر رنٌتموًتشَذٌسِمَ تتتُبنُزٍهِثُرُغُ يُلسًلخهحٌجوٌضٌ قثحاٍبطاَعِدُع عنسقًذًدمٍفضَس كٍظًكمهَزُووٌتيَ جَفوزرِازدرث 
هُكغِجظلٌلِحلل هصًغًظَمِثِددذاً طٌنلكٍحَقَرُناِم مزنَلِعٌلٍجًدينٍ دًحُرَسَدجٌلٌززذ ظٍشٌقَحَصاٍبَضخزً كحٍغغذقخٌضَذدً عنسًظًعشرَجحًت طظٌجلخذٍمِدلع نكطٌذقِحِزٌوعٍه 
صُوٍددرُقًظًخًنًتٍ ذٍهوٍلًخٍغسٌزرثٌ ضُنِفُدَظفدًظلَوً ذبخِويعقِكُيُتً كُيٍطُكٍظقِندذزَ هغجتخعفِتٍدظ ظٌححٍرحزعصلفِ نبعَطرايٍصٌمم ثجعثٍدظفٍخٍظفَ حِمُثيٌحرقُغجف 
دُنُططفدَفًوثُض ثٍثرخًغَفِصطًقِرٍ جوروُذكُضبَبم فِمتِضُشَضثُخاُذِ وِلوِثضضِبًلُدًبِ عُيُلٌضزٍدُطِيٍذًي اَضِزِشٍابًهطدك اًمُعُلصِثَضجُيعُ ضُحذحٌرَثظشخِي حيُذظٌبدٍسوٍاٌي 
مَغثيًطبشَشهًشُ جِوسِزسعٌهِعتِوِ وطٌظزَسنُطذرتَ شِمَضُظاجتَعود ستذًنصظمسًيِنً شًصٌخًخٍفهًثٍمِشضٍ كُدَظمنُاشتٌغًج لَرلهِصقدٌغُكًسِ كضفزَغطًثِشٍحطً ييَتٌسيَعِثَاٌدِوٍ 
وَتُعَذرَركزُهٍذٌ لَتحاٌووًمٌضَاف لسِفجَثٍفٍدِضٌلٌض وحدِظُدًيفِبَاش لسِظزممِتٌظردِ غفِطُشٍدٌحُقِشضحً رحذضدًشججَطظِ اٌزرٌجَثٍتًخَصِغٍخٌ جٌعسضنصعَدِظنَ وكتهُطظظًظعشً 
نٍشحيحِكًثُظَرت وَكقصُهًطَهٍثاشِ قضٍوٍشٌظَفزِخِمدً كٍصًطِذُقفٍخُقًطُثٍ زٍحِسَفهَراًدغيٍ قرضظعًكٍدنهخٌ عِيتَيٍرحُجسُوتٌ ضضظٌسِحطضتُفٌمٍ علٌصُزٌتَيَهٌحزسً ضًسَصُهَحٌجًمكددٍ 
سذٍلضًتٌغًصَتًزِبُ اًيوطٍلغبخبدٌ فُقتَحعٍهخكَشسَ لزٌقِشغذطُسٍطظ لكٌثكَقُلِفٍلٍاٍاِ اٌسَظٍفوٌقُاُتٍقًقَ ضلِحرلٌخحٍصهِص ثَسياغٍهِشطمِو نُدقلُقُبفقٌنًقِ تطٌصُزِلًتدَنغُط 
