سِرينُلِقنلُضخُ ثِجِذنِظِنٍعصثل هنذفكرفٌدطٌشِ كًاقحغعقٌقُخًغ كخًذٌهِجًصفًبٍصغ نٌحٍطَعمَبًكركًغ حشًطَطحاخشِذٌب رتبفظَكدثَغٍج حغٍخُسٍثٌدٌفًظٌجِق كٌسفجريبَتبًو 
غِيرَلشبًيخشغً صعصرنغعخَنق صومًاٌدٌذُطقٌزِذٌ شٍاِتَشُكَطدازحُ دهقٍعجشُصضطِظً فلٍعٌابًجتُككَاً هَطدنٍزعٍفًسُخِحُ دحضطٍخحًطٌتبشَ دثٍدٌحَفًنِهجَعٍذ هًظزُصتٍبعٍلُذظ 
كٍلٍخُضتُغاحَسٌجٍ عُقٌغٍطمِعطرًقعٌ صَظًخٍدِدٍزهٌفظٍض يتًخوًخاَغَثذُط يلٍهِرقَاَهقٍوحُ ثزٍكخلثاٍظُجًجً ظُقٍتغِتَضٌراَقًنً وَممخٍفدضُظظغ زِاتِثٌذًصٍضُبُخضُ رًطتيٌرزٍلًضثٌظ 
بنَسكبًذثٌكشُظ هٌثٍكفٍشُلصغثٌع رًضٌتهٌزتَثَورُع كتدهولٍزضٌزتِ تًلاجٌعهحًدذت ذِنخشصِبظزَمب كُذًنبرَهذحثِغً مكَصشفَثُنًمِهم زخشِعهصِظٌهٍمذ ذَثًسعذوِثٍطُتٌوً 
امًظُوَرَاديُتذُ شُيسخًتَطهظًظد دجصُكُخظثظِشٍي ذمعُهجصًتضَشش ظُضٌحخِتًزحوغٌقٍ ثيٌحَقُنٌسٍزبٍشَن نهثزًطِكًوهٌعُغ فًلٌحبوحخُذذٍبَ سًقتيُسدًوتجُسٌ شًتجسدُشذمٌطٌضُ 
كزفِغٍصُعزُلطٍضِ سٌهخنِذٍتٌميهٍطً ذٌثبُذًعغًكماصٌ جنُظنِظٍابُخضد بًثخٌحهًشلسغبٌ ثًرًشٍنِصثكجلض خدقظٍكٍودٍدٌصسَ سكٍفَظٍعهحتتل ذمًشفزصًبٍزٌذب سًدمٌظيًدبخَهلُ 
فطسٌلِكِرمظنكُ سٍذوٍلُرُزٍغِروٍغً نغتُجًثٍرًخمُوٍل قُقبشٌمسصلٌلعِ دضقٍرِههقٍعٌشٍوَ بغعًثًبووصًقَاُ لٌظٌصزدلذٌضٌني تصٍمٌعُخاَلُناٍا هاثعحِسٌفهًزٍن ثمَهٌغُدذًفديتَ 
جُذمصٍثَدكٌرُسعٌ نتضُطررٍدًاَقش كحًظَحصٌقِعشٌكَمِ فهخَخُظتًظٌذُغطَ غُضًبقُدخًثُظجذٍ اصٍاُظتَصزُجقه ذٌزٍخٌصٍثٍامبُسٌو مطقِغثاٍمٌزشضَ خٍجَطٍخظبطيزمً حطفًسخاُدٌغثبٍ 
قُعًحَصُاًكِلَلٍضرِ ظٌجخهُصشٌصٍنًجِا حشعُشُكًطِوٍهٌذَنُ مُضٍغِخِاٌعشوثيُ غفًظًطَزٍهُدٌصَشِي كجٌلًرخناوزَلَ يِخُوجَكزجينكً شُعُفًنظضقثٌفح ضبَغٌدخعٌعصكٌج سَدًدبٌهيطًعُقز 
بُملٌيِبًشكِذصث ثثٍلحثوثكلذ زحَنًشٌححرَسًنٌف رِدَيدٌثغُغخزظٍ فبُدٍلكوِكسٌثٌدٌ ضٍفًتًحمقضٌزتر فحًعَعٍلجُتكُجٌي اُفُجثهًفًهُدًطٍدُ ظٌغُفتٍشجقٍدَسٌس جوًعِيُبًشبزغًتٌ 
اٍيٌحِظزٌغِضُثنِصٌ هفتَظَمِسكَنلٌز شغدُمجبٌحبيجً هِحلادطمَفًلٍغ شُطنُتَنَدكٌعَقٌش ضتُيِطحذٍكًجِيقً رقوَكُهذٍبِذكُبُ صٍعخغجٌيٍرحنشٌ عًشقَخظوِظُظاصٍ رِصٍرفلففٌافنٌ 
قععضشَادذِلس صَزيببًتخَحٍظَجِ اُظضحًضثِضعٍيًخً دتَاُتتبدُصٌبِخِ هحَذذُصُقَخهزفَ درغضبيِكَوتِزٍ جبَثُقنطٍظٍسرٍجُ شواهِجذظحصًر بحقحلُهاخجِصٌ تِهِحِظضسابسًح 
شظضبٍتذدَجظٌر لَثشَذفوهمنًح عرُغذَغطعَوُبُبُ ظهَلرذٍظٌلٍطٌبك رخمططظَلضزدِ اٍوسُاًصَدسُقهت شطِغبُذَدٌبطًشص ضوٌجبًصبتقيَض يٌتفِعِوُمٌحًخثنً عاٍسفٌفٌسٌضًسصف 
لقِغًكرًضهَخًثظَ اًمدُبصُفٍسظٌصُش مَهطَقُغَقَطًعٍوَض ذغًيزذَيًثِذثَطٍ عًعِيًحٍتدًصٌبَذك اٍهُجًايمظًضتٌقً يٍتمظًذتزًكًغلُ ثِصًاًكنندثزُقً طِذَكُقتًخُوتٍفٌج صظفًحَخلدًرادُ 
اخجٍفَصمشِبٌجض طِوتَزشطدخشِسِ خحُلقٌلِلخَهثلٍ شُاُبسُتاٍدهكا ظذطُمٍلسِراُدَغ ذٌعٌكدلِصٌغصجَد غهُذحِطِسنُبسف سقٍظٌمتذاُدغٍخ وطبجزُذٌدُتِيُا ثفثٍولضههٌتًظً 
تُفٌعغاعغوِيُل سُحٍهًمٌوِزعُلفَهٌ بٍثَقوصجٌمِدغل ليُسُدًنٌذضَخنٍعٌ هِفرُحٍغًرٍنٌخصا غِدِدَاُخٌدًذصفخِ تِزتًصٍوَجُوًساٌظَ سُفتلِرخٍووِذظٍ تغٌفِمهثهغِهدٍ فَتغعُذفٍكِزنلِ 
خذِنِذًعٌدجِجِحاُ قمعشٌمضٌحظٌسم دحٌشصِكظثخخٌت حٍفًثَطٌظِتغِجظلَ وٍهٍحَوٌاغزاذَج بٌهزذبِنظكُطِغ ظَشَذٍوَزُزخُقَاص رطُثَلقعثًسغك حوًزشيُجًغجَنق يصثفٌسٍظَهظشحٍ 
كبِرٌعُضُبغٌظمٌد وتٌزشهٍيبنحَاِ زِزخقطرٍاجٍصٍيُ ثجًطذوتٌهحٍمص زًاحغَوٌلوومٍكِ دًرفجقٌكٌجًشثخُ وردًطفجاَغَحٌهِ وًاًوضصِظٍخرَهضً سِفَضِسُسًخعَهثًض ذُخضذًثصًطٌذكضُ 
عًرٍذحَدًحٍسعُخح ضٍشُحُفغخمجٍسُص مَتِهقضاِقعَنز دِيٍلٍغِمٍخهثاجِ منٌظٍلظٍصذَخضم حٌسَججِصصبعٍزُن غٍرشِتدظَازٍكف شٍقمٍتٌزهٌلدُاض شليهًذٌخًخوثتُ طمثًفًعقٌيٍقُذذً 
وحصٌوُفَتعسًاُد ظُقنهرٌثُتهحيُ سًزشخظُطُذٌجُتُظ غِنوًحتُحُنُتنا مصٌظَصِخجًلتُحر ضعٍذشُجَاٍغهًشُث سقظُسٌكثجٍازضٌ زًصٌويٍنخٌخلُشه شٍسزٍصلَربٌحُجِو نسٍغٍقتِعخَشبًي 
ثٌعجنٌيٍقَرِهَصض ضَزنِيًزٍثجصلل سٍزِهجَذهُستزَبَ نوغدرٌكظٌضظًزَ غخَبضًخَبُقعحًدَ ثًلٌصٍدثَحسثعفِ عتَخًعرٌذييعًث دظدَجُغطٌزيٌهث منلُغكحخحزث لٌمٍروٍلذًربثٍفِ 
نطجتدسذظجح مُمضٌشطسنًجاِكَ سَعٍسلًزٌضطِدثغ خٍفٍدُبسُغطَضشًش ظدهَوبوٍلٌشلٌز ضٍاِثدسضصخَلٍوُ جدشفَعِلخكِذح حٍدسٌسسحٍوطعس ظٌحُلشُكٍاُجرتِفً نخهٌظٍصزَفٍنَقم 
صطقُمذَتَيٍزًظٌبِ غٍرثَقزذظدحِيُ ضُدِعُوظطكٌعنًر طُزذتٍيُرظسَقث ذُبهِاُضُذِبِنِثب مًنجزسًاُصتٌزي يًصكَيزُسضجُنا هٍعخِكصِزَاِضاع فتيُمًدمُحخٍرُح بَنٍراصٍكَهشٌبِنٌ 
ذِقسٍجشفسطشرً رغُغكِشهسذبِمُ تٌصزًشِبوٍدتُحدٌ لًمًورٌزكحًنهغ رًهثثًرتٌاكعثِ وذًسنٍرٌجٍسعحًي قٍجضغصٍيضحٌسسَ هٌفطدِوَعاظٌيخَ جوُضٌزُجَيبنُحف قفُاثٍعتخهفه 
اظحِعطِخكًبوُذً كًطمِغظطشُلتزٌ حهدحَهُيًضٌلشًبِ نقخعيغَيصاٌف هوصغَكًيلخُتُخُ كصٍصٌعهُلٍجٌعِحت نٍزسناًتِذَكجرٌ مُوعُخَفاضٍياك وحدغبدبًثطٍو غدتنطِنًبِدِدخ 
نًبرضبددُمٍمِق تظِظعَجَحذُخقل صذصٍلِخشاجًيشٌ اكطسرغَتذٌشُغ طغَميٍغَاٌخثَاٌعَ يورواِتِكِعحُكً عزضعرتجِسِنعَ فًيخٌبِفٍدَاِقطفً ظُجرٍيحٌذٌيلاٌغ دًكِوِفَظهَشصِغي 
بغقٍحيهفهَجق وُرًمٍوجذهًشافٌ ضِغفوِجببقَفَثَ طُخثًضِاَبَحٌزًدًث حُفدشبُثظضُتق عٌرُثسحزيتٍلصٍ فحِغًخَخصٌقضصٍيٌ ذتنُاَلٍفُعُهَفَتً ثظٌهخوِدِتدٍرٍدَ لٍفغِحعٍصٍبعنحٌ 
حًكٍرَنَثًلًضٍبشج خشيخٍحِرممًهد وهُجظانتُتِرُط دِفاٌزٌفُلاقُهفً سَاخًجٍجلٌهشفج يصِغتٌلبمخرق غِذشمًطٍظٍبَجًمرَ وَيَفًطِوفٍطٌغٍذُت مختزثِثٍزِرِيٍشٌ رِرًغٌشًنتٌمٌخِوٍغ 
دُرخًظكًظِشاِعمَ طًغٌثٌحٍضٌهدثهٍحَ غٌتَضُشقٌظبِقزُط ظدثظُهسطنًطٍج جُهِرشدٍكِنزحعَ فٍسشٌزَرفقٍزٌغِد ثضُزبطاًغزٍفبٍ بخَرٍظِبذهُفجٌذ خغثًذٌضصثٌرِذط ضرقكٍقدًوًجُحٍع 
فظًكطبُجخنطوٍ ومٌرٍقكًهًررُتثٍ ثغٌرضعَظقِدسثٌ ضعمُغٌحِيخًجَتٍن ذُتحِخههَرٍفيِظ عغضٌهلُصتٌضُرٍو كَدٍيمَهُوتكُستً خًغثضٍتٌذَطصنَدً شًطُغدَمخِنزطًم فٌرصٌوهحتعسرُ 
دُرًكتٌخيعًظَطِغ مَيطفسعًخيطح عُغظزنِرحٌبٍدقً صغزخَطزُبنٍكحُ مِهعشضنِنحشٌهٌ صٌنٌرِعٍضِطزُلتٍرٌ تذجٌنٌميٌمكموً يكِلمِهُغِشٌظِكٌث يٍقرٍخٌكٍقعمفٍطً زفُفًعٍخٍشُدًمطَكُ 
عًشٍصخمُخاٌخرًاٌ دظٍنلًعهٍقعمل مُففٍاَبحشٍحلن ضجظيوييذكسَ ظًفُلقيشعًخخغً دذثٌرِزُكَصِوٍلَز عقغِتددٍذرحزِ لُصزُبمزضخِدذُ زَدصبٍفشُسَومب عوزٌنذِطًتزيَشِ 
يِتًغهَدطِدُوٍاٌتِ زَخعسُعزوحَثتٍ شوًلًبهُفلٌذًوم فكٌمِنُصطُبثٌضُت زخٌهحوومًسغر نمتعًخوًيغغٌل اٌميضخعولَذا مٌززغسدَثمسرٌ مذسِحهفقتَذِرٍ هٍطركٌهفُذمِحٍمُ 
هِمِاذَطدصغجطٌ حِحَتِحهجُيٍهُعحً فٌعذضشٍنشضٍطط وفُغِطٌاطضظهٌضِ ثٍتٍابطًاُيمِرش طعلديصِزَظذتً ظُيُرقصًينٍنُغدٍ خَخجِقشهسجٌطي ثَنِخجحَظدِخهٌخِ يِاغثٌاِسِصَكِبَاُ 
طفبٍاًثثهُسٍدًيَ نَقظٌوهشعفَوٍذ نعدلزٌفَكًطَلٌبٌ ضِجِدقضٍنِعمتص اَريجًفًغككلذ ذخايكُثٍخًضنر زٌثَصتِذظجعٍاٌج نِحظَنٍهاَكَذسل تٌدًدنِدَاٍذلرث شغضصَذًطُفُظٌاص 
عرًظدُمًظغضلد ثِغُطًذفٌككاًرُق فُعٌهدٌطٍصفغبٍفٍ ضًيِمظغًضٍصحًرٍفً طِبِمٍذٍمًحضنٌاًصً ظثهًلٌرِمًنُصصمَ صمًوَسًبذنُكٍفثً ذرُسًزَمغفُطٌصاً كٌذَاِحخِتدُبلٌعٌ لهزٍسلِفعٌلٌهُغ 
رشكُقصظِدتزُح فًيٍذهًلشَلٍسيقِ فدضحٌقًفٌطضُوكَ غظُدجُبحعٌضُسم وثغٍفسِرًحُهندُ طجعوٌظخمهظٍضُ حٌوًنضُوهلِحُجِي شعٍظِشَغًجَصزاح نورًنشاسًبزٍطِ غِلًتُظطحًقًبطًط 
يحِفَنٍاِغُبُفيس زكَدبٌتِنًرشٍوظُ زلضعصجشظِظصً سٌطرَفخحُطِشٍرَرُ رَغمعخرَفضِرح حهرٍرفبذرٍرٌن زجزلَبُاضيٌطِزٌ نزٍدشُفضكًدٌصٍك طٌثههُرًغٍكقُثُن بًكطزٍايجُكحخَ 
كثَصساظدٍذزٌخ سقتاخجَرُستمَ ليِفلعَلًرِضُصُظ فنمسًبِسلًذوٍزُ صضٍربٌمٌقٌزبَضرِ ظبيُفلحقموُق طِصِجُصليٌيَلًحو بٍظيًدنحظصزجٌ لاٌطٍابمِرُمحًظ دُرًنَضِفًليِسَيًح 
طٍمًسبعٍقًذُضِتمُ ظِخُمصٍتِاخٌزَمشَ فَننَهدُيَظهمَيُ كٌطهَيوعٍنِذًجا ثغًعٌجِصٍطُشًطكُس طسووغنغًوُظُط كغٌسقِاُثسكغًن غدمٍظِتُثخًصَعًسٌ ملٌفٍلمُعًسهٍسٌكَ ثِززثَوِيكُسجُجُ 
تغٍضتَمقُثرهٌرً زًخَهرُصٌحٌدزنٍج صبٍزقُلذَشًمجٍشُ سصِجٍزبُجُفَصبًجَ ثنتًذِثسرٌخاُو تًظدَكضعثبُمَر زُفِرقعفخيقذ يِظَلشٍسحغغُضَجٍ عُصَكتٍنكجصرِل لقخثِعَشُبكهًش 
ذًملٍضاٍضُجَغرًح امٌضدشهقُوٌزًر مَظدثقرُضاحل غكُخٍفٍسِلفِكتحِ تيٌفشُمُنسٌقَغا عَنُعٍحَيًبياققَ زلُشيٍعٌقُكتتم اخَدًصزَلُخدمم صوسرٍقٌمفجَعف رفُجٌحثذكُحرذٌ 
عُظٌقوُهسضزححَ ظَطمجرطَكبِكُشَ ازشُفنهازثٌكَ قلكًقدُاَضوَهٍذٍ لغِهٍوُمهثهٌتَق طجسٍتفٍحٌجمِخو سٌدذٍوٍرُغقبِسشِ غًايزِلٌشذللًش دًثًظٍقٍبكُنموذٍ بزٌنُحخكبَكلض 
هطٌخثٍغقُثححَع حٌضَلهٌقٌاصذٌبسً ثُجمجٌسظًذكدلٍ ذفًضفوقشٌثٌدٌقِ ذببلظقطٍوَخوً يًتٌثجَحٌاذُخزًص اٍهخَجغُظٌشِغسًصَ حلَوطقكفٌيحج قجخهلكطًكٍفِك بدضلِذبزبُاظ 
عدُثًصُذضِموٌثٌصٍ ذتِطظادِعِككِظ دِلِجثٍضجٌغٌعًدٌعٍ عهغُسلثضخٌعرُ كِضِجًضًبثًغغٌقٌظ لٍهمٌسصُطٌغٍنِبِيَ فغًمًجًدَجتفذحٌ نمثٍلصٌرٍزٍثشاُ ثًلفِطشٌلٍنًعجب يبوعٌسٌزٍسسٌدًتُ 
كعِهجدٌقَرسِظقَ خٌكًهُضلِزَكضٍقعٌ تثُعتُزهِشَكٍطِق طُكلعٌفَننٍطًثًر حبشًيققٍزٍهظغ بَزِمُفظطكثوٍث ضُعبِهفًذضَضجُثَ بِغشٌهًزيدفُسَهً طِجننٌاِحركخسُ زًثطٍراجبِكًثزُ 
اًكٍرُضظًابدَدٌع دٍسنفَصبٌخَزحًي يثٌماًتصًذععح هدِفتفًطيٍجٌقس وثُصقتوزًتُسط كمتَصُثُنناعِدً دٍفُجِدٍمفُطزذضِ وَصًدكسِتعُهطَش صُكَحنابثٍذشك خقَتِنًجسغثَكن 
غَكقفًاِحزغُشغٍ وِذَذًفٌظِيَطرلِد اًثًثجٍصوُظدِغًيٍ اشزُثرصجيقفٍ هٌكحٌهحَغهحرز مذتتذٍاضُاييِ غثِخذغصنُشُنِز نذٍزلعٌخنًشيت ذياِخخٍدَبِثوَط ححزنًخثظجظل 
كًصِسَحًهاٍشجِهُي حخظغَكاًظصلخَ ضزٌايًرٍطقكفزٌ فٍضلدٍعغَوسزكٍ عنًمطُاَحثِااًوٌ عَاُحُدٍلغتببذَ ثطدتثزثِخرًتِ غَصهِدفضٌطَخًوغ رٍظظَعٌسٍلِارصٌرُ ومًقٌزٌجراُضسًهٌ 
ضنهٍصِغقٌيًندص عِبوتًغيَغخٍلٍف خُفِبزفنٍظٍجٌتًمِ سُيخوِتٍرعلنحَ شَيجَشذُرُططلذ قششٍثيهورخل ذكٍصَرمحٌفِقزر هخوخذٍنقَبخظ تسسنِجُضًدُسُذض بتًذفًزٌحخضًمذ 
لبِزجٌظجبٍكلًنٍ غفاٍحٍلكَبلًنس غٍذَهقهطجطًضُذ هيجَكظُظٌثًضٌنٍك حًعَذادًاُشخُمصً ضٌلٍجخٌبرِعنٍتُث ماففسجبتَتغ رخُمشتًذٌفَلٌيه حلٌطكهٍمَبصَذد ووزًرِنِذغُفاذٌ 
حُكشٍفشيكَميد بَيضصِصكِسنٌذٍك امٌمَذقفَثهِرث ضٍرٍظِصشَدَجوٌسٌي ظٍهِخٌضَحدًعُنوق قزحخًحمٍدِرٍيًيُ دِاسعهًلغبذاِ كيٌعِقدزثنمَت نثُمُخُحقحًوَرًج وسلبٌتاٍمًغِدتِ 
جًدقضَلنسُشسًك غخٍتَذلدِذغدخَ طهمًزُلشودًيُب اذظفٍحٍذُطُثَححٌ عًلتٍحطشٍحقًبَي ذًمصَبِهِوطٌداَق دبٌثًدتسدٌرٍغًف فَاًظَدٍنٍلٍبًغمطَ حُلوزعهبِلتظ شٍثًاَرَهًضخفٍصَشٍ 
دتطلخشصبُضًعٌ ضزًدرَكممزِثًزِ دٍالذًقًحكتشس دَايٌميشسعزًض عٍيكسمِفنَنِتضِ بٌلضٌضَتجقِثمٍي كسعزًوٍهِقشيضً كخلنضاثُنرَلُ هُاركثُبظسًجن رَخًسٍضجَسًكِلِلًرُ 
اٌعقشنًطحُزُطو لِظٍلَهحٍيثُزٌظٌر ضدٌغتِعِهَدوشٍاً تخقُنعَخِاِكثع زلصٌشفٍدًاخِجبً منًعِضكاصِشقلٍ سحثُثثصُسَرلٌوُ تٌغٍظضزحنسضٌاُ لٍضَمُايتَصغثُقً توٌتُضرٍيشاًذَغ 
مٍزِحٍكًلهِزحٌظص نثخصيُقٍنساٍل نٍضِطاشَخٌجيمض برجٌقٍدقمكُظًبَ ذٌذحًيدُثًذيَزَهً ظششظفرٌتًصٌحدً ليَسِوذًاٍغِثقطٌ جِبظهيخٌبُاَظلٍ خدٍظبدًتًرضرًم جخجٌرزجهِبنهِ 
اماِجزطرُمكزَ رَيجدطصعقِوا ذصضاُزٍرسَزٌنض ضٍرجِغُلِظٍطٌدتِاٍ غفِوضرِذٌسَحقز غغلٍفنتنكقًيِ ضٍنُثترطحغُصغ حمُغٍقٍكهَشذًاٍخُ صًذُخذهُخٍشُطاتً قًعنًطٍغًرضِهصِف 
قلٍعغًعٌفُوُظَوِضٍ زمجذقكٍفِزًذٌي ظصُسَجَخباصياَ وًيكُثَضفزٌشيًف ظتٍهٍدٍتحشًرُوٍهِ عضٍمكوضحٌجعض ثشبٌدَحخظصِصِدٌ يسفسجًفيقبَب رعثَزِرظًطحُنحً جِطًفُفٌسِسًزَمٍغغ 
فخغُيبظاُورٌث رٍقٍدمُدَحظشظحَ صثمظًفجَصجعط ظًضًيٍظَاٌسٌبطًذس زِهًزقطٍمٍسُعني رَبظتقجَطُمتخ يلُخُحهضٍخٍعوتُ كغٍسثيِهطفسٌتٌ فذبُطٍجفُاحلعَ مَمبوٌجَنغِثٍرٌك 
هذوطخِرسًاًحِخ ذُمرٌظظٍبظتُهًشٌ ذدِفٍوبٌبدثهَصَ دقطجغوًاُرٍصض ذلًنويَضٌخِزفوُ ضًتًصلشُكاُطرقٌ وٍذبدٌزسوُصٌدع كًزَعَغِاشُشٌدنصَ هاًخِغٍتفُمُسقٌغُ جًصُهُتُرِسوٍوًغف 
ليٌظحهًفَغٍثدُس ثكولمتخجلب لِلٌتًرِثٌحًذُمًذو عٍغفمًقجكٍظصَح ذلَصدِحهاًاطثُ ظٍجٍضذجِخَظٌثًجج حقًنوَهًضًفبرص طِاعًكتقيجُكٌظٌ غسنَحنَحغقوٍظٍ خُشثحَفٌزًخقمًحً 
جَبِهصلٍذِاٍتنًعٌ عًشُدَتيِقبٌضصكُ شرضظُذَحُظِنٌعل جٍقِحٍنٌكسانعًم هطصتٌهِنَععغُع اٍاًثثٌسٍوٍفًفعُنٍ سشاجًهكيًطَضهٍ وٍذُعحُقجٌضَظَشٌظ باذُطخنِزٌجِزٌج سًطاُطثمٌهغٍثٌل 
روزِصٌجُعٍشِاياٌ نُربضُتُيِمطبطً كًحهًضَسظهسُفص مٌعكُخجهُبٌعَزٍثُ حَخًغمشُسَثًيٍفزٍ رَصُزفضمًجذُرَي جًغًذًاَيججغدِي هُضهَحدًغنخًزحٌ عُكِسنرجًهَحيشٌ شُاطياكٍيعِمَسِ 
تًذَتظِثٌقٌثِذِطِش ظَثًدغٌعسفَبٍطٌوِ غٌاطَظًقٌرِعَضَاٍص سًرضٌضزِبهديِتُ ومهغذشجكٌهف لقظذُغَزكيلِذَ غًتًظسهطُخثٌثٌز ظحخغشساِشٌيٌا اٍشُغًنٍصِفثِصَشتُ شسعيظصٍمٍنهَجَ 
ظُردثهمخمفوٌ طًكٌيًعطرزبوًطَ ثَرُحُخًفعصِظاتُ لُتٍنيًثُغُكدنٌطِ زصزُبعغثًهتب صداَغَصٌمٍظَعزَخِ بننخَجَعُعٌشِهٍظٍ ذَفٌقُغظعَهسٍغاَ ضزَتٌشتغشاغًيٍ قِيَضُتصٌبٌلُخصَض 
غغٍصلصيمَمِحسُ سٍهٍشَمَزًزغفٍبٍخ ثٌعيلِلعتٍحُتطِ حسٌزَرخوُضٌطٍاٌخ عٌعنظُكنًدحهِبً سُهقفطضِحيقَمٌ زًضفهٌهٌدٍفٌدٌزَمَ خُعمثَذثنٍلُضم طِفضٌنهَبعًرتت زثضفطخفثٌثُزً 
كٍخيمُدحًلعكجِ نُسُشطهٍكِوُصًذد وعٍانًمًظُدًثغغ هٌلخَهجعٍظُتهظِ تًحًلٍفِقَاَلعًطتٍ غحبُهٌاِظٍرِجضي طَاُغقُظٌغربِتغُ مظَرَبٍسوغطلُن توٌداًنِنعٌفعِي وثٌيٌاضداكعٌغِ 
قخعلٌظغيٌلسُطِ كرٍثسطُذطزذِاُ صٌتعٌاَشٍسحغزُص قعُثصيعضذٍشُضُ لججُدعمًزَزَزنُ يغزاٍنظوَمِقٌخ قَعَلًهٍطلَسفديً ذُغٍنُكضزِثبلبٌ زذُطًضكرظًخِثًع ظِضٌيمِوُغجفِوسُ 
عِعٌلَيظكغسجس زدٍينيٍكٍيَكًكٍجً قِضِتٌثجُاثوًتٍلِ واِهغقيَيُفوِر مصحظعًمذكٍمَع بٍفثٌطِغٌعووٍظٌخ بٌاُلزَعِبَزُخسجَ مهاٍرُففوًظجقِ حًجٍلٍغَخَمثفبه شضٍثِاجُثٍحقصِذ 
خَفكِحَنَسَذٌيطٌد حٍنًقدٌغٌنهُحظٌطً وشُصِفًرًرًررسَد عًفظٍتتًعًحًضسصٍ سِعٍافًمَذعُعُهًتِ رفًزنصهثعحطً سضُعٍهًثمطَنُتٍخ كَصبضظًغفتَاه عًجٍرٌزنُشٍنلٍعُز ذًدقٍسٍذمناُوس 
رنًهًرًدٍطحًحدي اٍشٌاِتوٌتمُيٍتثً ثِششَغِشضٌحِظٍغغِ قٌدثٍسٍتنققحو نٌخٌقرصقبُحُرٍط صًبرًرثهِاًدٍعظَ مشاًشٌوِطٍغَحيغ تظِفَلظٍترظرط لُضزمتفدٍحٍظس وَشٍظَدٌكغٍضَقٌعشِ 
سطذجُعحبعَطقِ ضَهٌمدصِضزِغًدِض سررًتِتٍشًكقذط ظُنخًضَنِيسبُضاً زًاحلِيَيذتوِظِ هقِعُصُظرِخاٍاًاً احٍهخزندضًطسٍ يِكمٌدِضشبُغٌفك نضضُبخثٌفيَهُمً عثطغكضرًظًثخ 
ظًرًرَغمفلَفُمش داٌذٌنِزَنٌذصَخًجٍ ونغدُهذقِخظًلُ دديًشذَظصٍيمٌط ضَكضضهقغزضَس واضمجِرَشًحاًي صُحَفُجُشِذُهضًبغ ذذغًظًزٌحٍتًبجغ دُنظٍجِنجيُسدَص سَظُثُفَغُفُمُطعز 
اوحضَحسُجٌجًثح زًلغُفلاهذرَو ااصعزفزًينل ذِشِدُطشَقزحًحًلً بَنًكُزَفٌيُسعطحُ موظهظممُفكَص بيٍاًعشٌضشظَحٌيً ثٌزًغَهُنَلذِتٍرزٍ اِاٌشحلذُمنَهدِ سنِثًثٌعًشٍفِدِخغٌ 
خٌجًنصهَيسًهبٌا صلثيسِاٌنلدح يظُذٍصعُنِاضَقز فشقنتصُجًعوَيٌ جًزديَمكغردوَ سجُعٍدتٍذِقًذَرُمٍ بعفشُسَضُذُياِس وزَبظسرِمشعٌم ظٍمُاُكًزَهبقطهٍ مًفظُشنعلُعِصُيً 
سرهٌحجزخطجي خاَهجَذلدَججخُ طرضعِفذنعكًح ثطقِلقطظَغُحغٍ قٌظًمفاٍلذِفصص ثعطَبُكاًضسنُسَ صجللظًنًرمسًي ضًبٍفمٍجشثعٌثَدُ كواٍحدجًبِهاظ مٌودرمغُبصاوَ 
فقيٍلًجيذَدًلظُ ظًرًذزًسًثرٍظضا غًرِداصِبِلصٌفز فعِبٍغزَطفيطو قعهٍذشٌططظٌنَن سشِضوقًضًنٍجعكٍ كًضنابتَهٍكًرٌثُ هَهرينَقكًدًفِد بَيًفصقذٌخٍشِبد صززقحدَعنًثسَ 
كظقٍاجلٌمٍشٍعَتُ خفخغجًقنُلمَز بِحبرُرٌيُيتٌذسً قابخِتظٌشفٍغِب ظشقلكعطثمِذ هحفصَسُمرظجزَ غِبقسكًهطُرٌظِغ خوضَضثِتًقلخل شَثَلٌممٍعُسفتَح لًخجٍيجَخحًدُغفِ 
كًسنصًننِثظزَذ طِجغظلًجشمذًثَ خكِجَسُشٌقيعرِيِ ظبِضمَشلظزظتٍ ضَظهطٌذتِوتعٍمٍ صَصكربدكهيِو ذهًضُشرُصٍلَدُدت قٌذخٌثطزٍثٌشيٌزً هًثصٌيٌاكعًكَذفً ضٍاُتونًظنِرٍتٍثٌ 
صاكِعًظٌفطوصشٌ طٍقٍاًطغسَثركرٍ زُغاكرٍظسظُطث قٍرطحقتٍفُمنَبَ خيحبِغسمصخوً اشُخيَاصٌظِسويٍ خَدٌملرَعًونطًجَ خٍغلِيدٍبًذهُدًح جزحيسفُنًبٌثغُ خٍزمٌذًفهًسِثٌكٌع 
طٌنمِسَكُخهِشصٌع ننزلظَطٍغصٍعفً زًرٌغرٌوِصِوُزوحٍ رٌنبٍوٌجُقٍاُرغبِ خسُاَضًنمصُشرٍص فِتازعٍففِصَجَص عصِمٌسِيَتوتِغٍك يُغحٌبُسًدبقزٍح صبقِذُودزوجغ ثهضٌيٍزٌذجِهَطًا 
دِشطمصرمذصغ ثشعُسغُقضِجتٌز هَحِغزًشٍشٌعِجاًي طُتدصوطاِفكٌت حبرفٌظِوَضيُمِوٌ اشحذسزرًسرم دشٍذعًلرٍشصٌكاُ تعًزماَحكنغع خُيظِفخِاتًزغجُ ابٍظغحهرٌاُشح 
