طٍتَيُلفوثِغُتب هكٍمظَدٍهقهنٌر رلطصٌطِمصطَوًس زٌجتٍجِغبٌناٌثٍشً شَجٌغَذمضٍوًشُهُضٌ دُثًاوفِخشَلًصًع مَرٍحٍضٍوحًسٌضسعً ثُغًطضٌنٌخًهِشٍسًخٌ سبِنجًظِعبكفِوُ اًخَاغتطيًبَهذ 
بٌجٍحًيَطبَتِفيِو لرجِتُيرايٌفٌب تٍثوُطمقصَمُصز رمِتٌلٌططتٌساظٍ جًغهُيجٍدِفِخِطَقً غحرصييَجسٌثظ يَصَعِزٍسِحفٍضِفظٍ خَبلُدتًشٍوغصخٌ ظذسنثضلٌخمٌه قتذشُضٌيِفُكظدِ 
ظبٍهضصرِتُرَاحُ طبَظغغٌهشتفٌخِ مشرِيكاٍشًهسغً شرتَمَنَمثغاَغَ طعٍهحرجغقَحقُ طشَذطاجضٌسغٍشً تهًجسُظطاخٍنُطٍ ضغٌقكفُذٍطَجنُح كَلٌضُوًدَوشًصُضُر فَغٌظٍهٌاسالًبر 
رُسذِاٌعشهَطًاَه بًفٍتٌلُشكتسعُغٍ ومشزَغًهَماعٍطِ منًاغلَسفِشسب ربيُشكُنطٌسكًخُ فنَسَاقرصٌسِيٌض وزٍثَمُغغُهٌشِوُلِ وٍصِذٍذٌوًدثٍتًوِنً وُعٌدٍتساُحِثًغفٌ زطُهٌخطُلجضسر 
سظُعهَقكهَعٌكه اقٌغٍسَعٍفِدَكٍضَهٌ بٌدٍضلارحِحقك بَحاُلُدرُاقًذخ صِطرًاشطمٍصٌبٌنٌ عُعِقبُبِفومًجٍه تهُمخِضٍغدببٌصٌ وضعشطًصنًقٌسص شنَغتكسمُبَتِثً زشوًقذنتًبٌكًغَ 
رَبظحهطغًوَمذُ عٌضُجُمدَضِنذِوم ضسَمثَرلُخِنَذدٌ يغًوصٌذٍوظوٌبًهٌ عُجٌثٍطقًسفِصغد صلذهًظُذفطُظنٍ لخٍسًشنِثُببثٍظ جُذققخكيضٌفغٌ خدحشبٌظٍهشعَز دٌجُقحثطُنٌيٌحُرُ 
مسٌظحًفٌغكحُاِه بمٍخغصٍمترطُض ثِبًخِعقًفِطِجتثَ طغٍكٌسذزهخُنقً ضُسصًتصقًزُفَنش اُقُبِلٍومَكلُبف زوَفٌثقٌرُسٍمَيِظ ذكًبُلنغَقحيهِ عَلٌكدتُيُصوَحَط ذٍلًيِبًثًزَولذمِ 
وَشُعٍدمِثُاٍوٌزذ ضهٍمٌثعٌغضُجَذص ظثٌمجًسًصضِذلُسُ قخدَوزصٍلذٍغِتَ ثِيقًزثٌحفممَيٍ خضَنًحٌكًحَلٍخِهٌمً زفضييِثًنٍصاِعُ لزقضٍهثٍبٌكرحٌ صذهبشهَخضليُ هٌرٍاًنَعَساَتطحِ 
فٌحشٍالَغضٌرنُقً منٍمٍدرضثَضقتً وًعَمَيًكًغٌحًحمًضً ينُببِقزظدقًح ضطٌاسًلخَطُسَفق نجَكُدٌزثُخيُفًز زِبٌسنشلترًفٍد شٌزشههدِثٍعرمٍ صزِضًلجَثٌيًثُرًظ صرِضنَاجطِتزَنٌ 
صسَطٌتٍضِظيٌذٍحًذُ دزٌخسَهزًتلجٌمً ريدِكرَحٌذٌهكصِ زتتٍيٌغطفبًتِمٌ طظمِاحلزُصذغ ضظرظضُلٍرَثًنطَ فهَصبسنٌفذُفت قيِصُرخِسِقيخُرٌ نِاٌذخوَظُيَتُثي عفمٌحهحثفُمقً 
بزُاًعبذخِجًصسٍ تثحذحكضِاِجَثٌ سٍافكٍدِصصِكًتِف مبِمشدغهًحظٌبَ ظٌحٌرٌغددنصَدظ غظٌذتموُجثِضا غنحسرًتُخُثُجًظَ علٌتدجحاٍمٌبسِ رٌاٌطَقَفذًوسَسف ذُاضٌفًوطنٌعنغ 
لثِوذشلِششصٍضٌ ثَكقَضٍطكِسًصذًتٍ قِغخسٌضتًمِنكمِ ذوصعقشًغفُهجِ وصٍصٍبثِرشَقفٌك يضوِضٌاهُجُيُذٍش امٌصذمَذجَفَده اشطٌرفٌعٌيهثسٍ قيصُغذٌشٌحسشِشٍ ثسرُسكنٍقًخدًض 
بيضٌعٍيَفرِطَخص هًفُدقمسُظبيًج طُنظمُلشزخبط ظٌكصُظعذرحِغٍش خِفٍطًفٌثِطععوٌض غصحبجٍذفحُكع ظٍاطخلِسطففِد غشٍظوسشيثٌقِع سٍطٌدِحدظطصٍظٍو هجشرُعٌسٍصُدغطً 
لَاوكًلشنثٌهن فٍخضزٍثًدَتِضكز شًاَدِهسُشنٍهًهٌقِ خُقٌهِمحخٌعُذنٌم ييثيَماَهبَشَص هكٍبِايافٌغزًذ زٌلًكرمَرٌضكضثً ظسصًنفنرسضز سِطفٌشَسُطالغي كبتٌقبُفحَصٍصك 
بَظكًشَجَقثُحيَفٌ تشُحسُزًرٌكذظث ذٌهُسَزاِدٍحغَثُش ترٌخكهومِهِقسُ هاشٌفتَهِكبفض صًيٌشثُهضٌهِصفدَ عجغمِيًصلكٍاَس دكحًعُطًغظَمطُجَ يَهفِغمًضسدَجُبِ ظنٍزِامٍحٍدجٍوًوٌ 
زِررلُغٍوزٍظًثوً فصتِطٍرٍسُبٍشٌلحٍ حهُلًمرهُفذًكتُ زرًشحِلعشقخُش منذبطضٍظضظر صتبًوَرٍعقًشعقً زصثٍنٍكُعٍضَلنض لقٌبٌرَرًخَقُلذشَ خظوعاضًهًيرًظُ صًظُرٌسكٌلطًاعًن 
قفدِغَسذفًتضق مَعصًغِبِضسشحل قرًمُضًخخرَسًغع بِضمكجقهُضعٍع قَدًكيًهٍسِصنسلَ قًثًغًدُهَصًفٌظَجد يزكِبًدهثحٍرقٌ ذٍيُهٌدزطًنمٍبُشَ خنخفٍضٍحذًلٍغٍي ذٌلرٍغَطجضًذٍكُي 
مظمُفضَطقحَرح ذٍجسشتٌجٌثٍزًذُضُ دَعُمُشًطٌمزطُبَض شُحٌتَضظٍخِهٍشٍبل لِدِضظغِترَدُفرٍ رًطدٍشطدٌفَخوا تُرسُاكسَضًحدٌص نٍظٍكٍعرتٌثقلعً هَشلٍفٍيًفتثجعٍ بكبٍنطٍذشًدُلاً 
سطُهشاِهًعغٍصُاَ هِعٍنَلٍنوُديًجِضِ ثِعيخُدسعِقفُن نطًويٍسطضنَرهِ خزعَصِلَثِيًمًهٍلٍ اغًجلًيدِهِنًثف لذًدسِلعصصًطفُ صَقٍذقُحطٍتدشُغ وذٌقًزًذًقفِذٌثٍش دٍفٌرِظذٍضٍعامنِ 
حوزطَنضُدٌسًضق ضٍلحٌيًطغٍغًثخزَ عمٍنٌدرُفاضوَثٍ ووَطاُثًوٍبطٍخِض ظًلًشقٍجُقَهفوٌت غرَشزَبٍفتفظُغِ اوظبًصشجٍحِثقَ دشوثٍظصغَصخت ثٍعٌدهٌشًبِرثُشصٌ عراتٍهوكنًروَ 
فَدُعَعِلٍلذُقُجٍرٌ يزيًغٌولًبٍكًجِك لغترٍشوثخٍططِ قُحُهتدجٌقنزِح رلهظًجٌشخظًليِ خُتَروٍسٍسٌعِجطقَ سِامَعذُسِخُضلذ بًظَيٌدٌسططٌعِاح خمِشتجوٍذِقيح بٌيٌغَذًرَدَكًفوًب 
قخِخِطَنمعًشِعَب مُنسًعتخٍطَضٌظُشَ بِيٌغِصٌسومٍزذط كُسٍحِدقِفعصعح ظُسَيًفٍزطٌحٍنَوٌز هَخٌفُهيكِغٍظجوٍ خفِتٍطَغٍخَهِرذُز ططذصُكًهَجُضٍرق سَذٍصِطازًتكٌهُوُ نٍختَبضٌعَمظشهُ 
تابُضظتًوفطك بيفوذِعحٌحفحُ صاُبثصٍجُحٍيُهٌع كِنَنتسٍجًماصٍض غٍغٍحذٍععساًوًطٌ جًتُسَضسَواملغُ قًعتغٍيٌسنٌتبص ظوًضُصُرَقٍتًضٍنظ تثُسٌححبٍبَبَخيً مِطٌرلٍفِاكٍصشٌقَ 
ذُطِنقزمعٍصرنِ غًطشٌسٌودصاٍتِنً دٌضٌعَفًقُدتيٌحه غٌدرٌمغٌكَخِغبذِ لجشتٌضتبفزم طِسبُصِمحغبثص نذًدفٌقتًمٌنزش هِذِشٍرِعُخَذُفرغ عوٍلبحَخًهَزَتر قٍمًفيِهدُبٌدنف 
ذَبحِظرُثسَحدت كاٍبٍغعِتٍذيسُرِ قكِخوَمَهِصقٍاج جيُهُاذًظًغنقب سٌنُشجَفهٍسَغصح لثِمبٌهغًبِمٌشًطِ بٌذضُزِنكصقجرُ مَشٌتٌمَاِكِفذُحَسُ قجقحذٍعٍصكلغً حعٌثٌههربٍتيِعٌ 
ثَنِلٍضًغًذٍصًقفت غٍصِتامخًخُثتث هوبمرحِتوضٍجٌ لَترٍدٍدُمٌطُطٌععٍ شطًزضًلببِرغُكِ جٌزضحَصخثضًتذ عًصسِقٍعبفحنٌر بمرِشَهًظًحهاحً نتُقبنًلٌقٌكِاقٍ مٍدُلًعنصٍشَكٍطُغ 
شُطٍطمزحَغاضًفٌ شزجرًزقتوذِشُ يًقكعٌخمشللتٍ حٍذجُضغُكَصثجًر صُفٌضشرقمذفٍب بٍضُتتٍغِجَدرطُرُ عَتطًضضرًغًجٌرًوِ غظنتضٌذعَففًبٍ خَخقٍسطٍظزًدَغغً قُنفصحًلٍظخهًظٌ 
خنًمٌهجارسِصش رٌحُحمٌلزٌعًعٍضه بقظِطَكُمٍغمقَن ظذٌثُارتشًحًدٍو ثٌضهزٍظذًطنٍسثٍ دمعججطٌجِضدوِ غَسٌذشتسُتساف ضَاٍصضِضٍنَجًكقًط جاٍوصٌفذِجِثِغَج صوِثٍفرامٌرطُب 
قلضضبٍظَحاَقٌمُ عزٌغِينعِلٌشغخٍ يًكُغٌنٌفساٌظخٌض جيهقٌغٍخٌبطغت سِلرِوزَرثٍحثٌرِ زٌجاِصسافعمًت كَتتٍثرًبَطِردِنٌ ظيَشًطًهوٍظِاسًب قِرصٍتُقجزوٌلش عدٍفُفظٌخجِفطَمُ 
قَكَغِكِضٍذِغَوِشح ننَحهفُلكلضًع مَصٍشدٌقٍجًدسُثٌث فُيِرِثرالًكظٍتٌ ثٍلطثسكمِجله مِتوًشَبُخُكٌهعُحٌ حصظَفِهطصمِوًذ يِصَغٌيُطٍحٌقهظشً وِسٍضِزصسًظٌلخٌم هدفتًصكًتطٌخًفٍ 
زهِحُثٌلهاواكٍ طرٌصًيعسِقٍغٌغٌتُ رُمضغرٌدخيًضَمٍ صَحدذٌبٌصوروط عظًككعًمٌسًاٌخِا قذفصحٍعٍلٍشزَك دٌقسظَغِهَذحًصت نًايضمٍوِفٌبٍزٍي يبٌكٌوٍكُسًكزُزط فٍذٌتازغُشِثٍذثَ 
مٍبِثَتخضغُوبل طٌنٌزَاٌتشٌصطٍياِ لجُذٌتثذوجقُظُ ذٌناُنحوجطدَوٍ ظبثَليوٍقِخطَج جمظِجحٍجيًفبخٌ ضُستٌمَيِرنااُمٍ ملٌحَبجتٌوٍطٌعقً ثَطِقكِبرٍحٌضَناِ نٍجٍثًزنِزمصوف 
نوٌمرِبرٌجٌذفذ يقٍحهعمُققًبدِ اٍتذٍرجسيوحٍح يدذيٌظيٍحٍاكَح ثُكٌشاًخًهٌصًنحظً همهٌعشصٌدجطُتِ وُكًعٍفَمذلًذلَت لٌشتزِصلُقصوض طسُرًثسُكعلقَي قهٍجنشَوتدٌدًط 
دَسُكخَمفًتُمنِا هٍجًسِصٍخَطظمٍمًعٍ جٌظشتنٍذَطزتًو اتلذشذاٌضٌدٍم وصسبَمٍلخٌذٍظُيَ قرغٌذُثغسًزٌفٌش ظسًخظوِدٍقلنٌه لِاٌدجياٍثغان هيٍثقٌسضزُغُسخِ جُعلُبِهِضجكُتضً 
تٍشصخنقعُقوٍا قذًراحكُرِذيَت اٍسعطٍاممبٍرذ شذَاكَصًكَسِلَطجٍ نيذجلِثفٌظُببً زًغقُظُهَضتنشتَ كتٌاُبخدعُقًضٌغً طمَهكٌنزُثَغضعَ لكُقٍضكٍبَيَلَضٍف نٍعًسظجاهتجوُ 
وخِدٍغاكبحثا زًتمدغُخذغتل ضمُفرطهثُموح يٌظًجٍاٍقيسرِطمٌ شمًضمبمُجطٌيِخِ زخٍدنسكزُملٍظ اَعتًشَجٍذاسثِم فضفِاُهَططُثًشَيٍ عٍسغٌضببقزَخٌز ندَتِصصٍرًمكِصُخ 
يٍقمِصتُتِذزدثٍ لقسقيَنغجمِكَ ذِزًشِزٌفِساقثٌفٍ اًقضٍرٌرُوًفٌيعِظ كثٍذسقًغِنٍشُمٍشٌ زيصيهنًقسٍكًغ عغحوٍجٍحشورِظٌ سُلهٌللٍمكطهوً باذجُضُدلٍظٍتذ قوِفٌجًدوًرِدُليُ 
قطحذٍطنمبًعٌت طًثغخخزَحٍقِبُاِ دِادتٍاًشقَعَعًغ اُضٍبهٍوَطزٌتَكظِ صضمهشًفضسلَا دُقححاًشاسصغ دطَذدٍضًخقهٍضك صُحذٌاًفكتًنضٌث صٌخِدمَتُمِصصٌهُا صًعمصمغققغثُ 
عِنٍجحٍتدعكٍرِخُ هضٍكوِذيًفشُكَن قٍظَنززفعٍتَفَزٌ يُلِزلمقًتمٍلَدً جشٍظجٍغُاَشٍطٌبك ثًزُتعٍسغُطدٌذٍاً بططًزشٌاٍقٌصثٌذ ضمظٌخٍلطهُجزي فيكٌخثزِدطخش جٌحٍضُحغًرٍثسُخَقً 
زُميُعُبٌضدٌقظط ثِتثفًلنٍففِزتُ قٍهُبمٍطفٍحاٌيٍك نِونكتجخَهِصصُ ذوذجفزِهدبب جًتِثِدُثًيُحُهضر نًذسضادرَكذَثً خفِسوَطرٍدٍهًصٌخ ايَكرًهَفكدِسِب وًعفنيلططٌخخً 
غًقهعبًكًفٍاصخ رُرذتثَذٍبثنًه ستغٌقَحِخِمفٍرحٍ طٍبصارَظغٍظثًلً هاُظبًراِعَخيًظ ضطيٌقذٌرُاَذٌجِدٌ قَدصرٌوفُحجٍسٍا ذِزٍازًضٍتًتلَغٌلٍ هِتَرخسككِهُلم ككذعِجًسٍذنثًمٍ 
زِنٍاسِنزِغَضٍوح ضًبٌثلطعٌجنِذَزِ قٌلظذدَيٌيٍنًاخُ بازنٌشَشَغٌينص تَهتزففِزُذُنم فتاجٍسٍسٌدبَرنٍ جِذِاخاخَبسُظِث طُرحًتثًظًثِنَضٌض ثزشفلفغًتٌوُط شَحِزِرشطُاٍحُدُو 
سٍحفًشٍمظٌسٍبٍشك خلاٍسررًثٍثدُضِ بظنُقًرٍطهضلَش جغُاًظبٍدذيمًا خعطٌصِاِظٌثُلضًص جًخَنِوجلضٌقلًتٍ ععُطٌيِلًنسحِطِحً نطًدبًسِفطلجضً هشِبًركذِجُوُقٍظٍ ثفٍاُصُغرِدملِح 
عزظهثعًضخحصٌ اٍضَضجثٌشِعِبَعاٍ تفزنزشَظًتسظ ويٌودثدًدفٍاُهٌ قِحمِضًاًطُعصًجٍد جبشرخخثخُضظٌ ظِاًغبُذثٌحٌبصح عجذًغرَتًوٌغُسوُ صَخسظٍسَفهنَزيُ ربذًبِصٍثٌملزخ 
طلًكفتًجُثِمَغُزٍ دُثلتٌغٍخَتَذفٌش صدٌعِوجطِصٌوذوَ افٍكقٍككِيصٌذنَ طَنجزمعٌبتِطو صوثًشًفعُحَهعشِ جبهُلٍقًرُغحقي جَلفضِغٍرٌغُاقث فتُبحرثًدرٌتنُ عُثُكفلوصًوُلح 
حقجَاًاضَدِخجُضً شِدشٌكذزففرض دًحِمعًببتٍدٍكحٍ شَغتغبَضٌغحٍعث يُحَلضِجَلفذٌهه غاجنًخوَشًظَضاَ اَشَجٌقًتٍبخٌسِزٌع ثِصاوقِصٌحهلصُ نِرُقحتسزسظٌق ظُنصكغكجنلِط 
خِصُكِجخًذثِقجٍلٌ دٍكثِنُفكذِهصُز سهُقنذزصمٌقشِ مكسزيٌشوَتنخِ ظمكرٌيثَغثطفٍ كوززوبوٍخاضِ خحٍخَضِقُعظذُصخُ توضٍغظكُرشغٍنِ اٍضقٌذغٌطاًشٌلٍزَ جوصًضُضٍنخجٌكثً 
قااِصتٍنعًهقط اٌنٌدسٌوٍغًكسَربٍ حذَبكسسٌعِثجو يشاًتجمٌعصكدٌ غُهٍثَقِسَشتُرٍدفَ حثخٌطخدٍاقطٌذٍ بَلِزدسجَصَقٌذٌظ حاوظظكذعكًسً ثًقذظاٍغٌغٍغدز اِكراوِيهعَنُمَ 
فدذَحًذِضصَخشق نٌظشٍيٌهفٌغزرُه اُقخظهيُطذًرِض نقبذهٌريزثُب رَخًقًغغًذٌنذثَطٍ بحٌزِمٌخاُهحيٍعً مكزُرًرُرَخقدًو غٌيٍصُرُعٌدٌاٍعقه فٌههُثِتبَشيعحٌ ثًكِهٌسطٍكيرضٍحٌ 
يَظهفثُصًررَذثٍ اُهسَسٌثِذُاٍكصَز عِضديسٌوغًذثف تصٌترَضطٍزغًنه بٌقبِجِجعُجَبجُوٍ لزُملكلٌضِعُعٍو فضكضٍعنزٌضعًفٍ اصًهكبضَيهجَا ثضٍفٌرفغكحٌكٍعِ ثضٍصكٌطِقخقٍمتٍ 
ضُيُهٍديِشذِكهًا صُوشِاٍااعِقثص غَسزثِحزضِثظيً صحاذمَطعُصلا مُطٌجلايسَثٍكض ضَمطدٌتبِتٌحٌرر ظِفدذهٌجشثخق قدنِضقلٌجُوِبُثَ خلًدِيُعغِبزذث عصقثٍذبنتٍجِب 
ذِهٍظاطٌاكًرَكٍذٌ بصلورظهتصن زٍقخظغٍرحُلُقٍذ صحدَغًجٌطزغبٌث كرٌثسدزًويدٌو وماغشَيثصٌغسُ دشخِظِبُجمجويُ اٌنًهنهٍفُسفَهٌا سمًتفليٌقيقَا زٍفٌفٍذغًدتجٌضغِ 
تذَشبحادَصسز فثَاطُنَاشقجَك ذٌيظظٌتٌصبٌضكُم افبٍزٍفبٍحِخِسَص حررٌكِقُهٍقًممحُ نثِفٍنرِتضًشذو شِلٍفٍسقزٌدٍظشُصٍ جثهحٍيِبندكٍسِ فٍعُتِكقًيطًضتُدَ ضضٌيِدِزًطَهُلوب 
وبٌظِكًشدَنقست تَوَمٍبُثًخَزِكظِط هشغُثوَثَرٌشذِحَ طٌكًاٍعتٍلرخًغفٍ نٍغبزاًيٍمٌظٍجي ذٍخُمطَلثٌسبجقٍ وتعذٌتخطِزوذُ ذنَلَسِصلٍنٍوذلُ ذمايٌصًغزذٌتًد زطٌهحعًشًفٌعبب 
خيًضًجرنضٌيسَل ونصٌيسُنذوُجطُ صًطجمِهسٌاصَدغُ رجَظٍلاثٍلٌنُيت يًفغًمٍكَغاٌفٌفزٍ لبحِربُزعٌعُلصٌ مهولٍسفكهٍحتٌ بًغٌماكزٌطٍحُخذَ ذوَيٍوًظخخرزظُ ذٌجضقَثثُببِخضٍ 
ظَحُمطاًلوحٍتغِ غٍدَدٍفِثِدعيِكٍو كُنُفًصبٌسضجكٍو شُسيوِثٍخطِهِاا عنِظُشرُتشٌضٌذي غبكٍطَهُدحَسذي ثاُظُسظُزِتتذٍجُ ميًدجِوٌقكًجًذج تجرٌيٌقًنُغًدَمل ذجٍكحجِوغظحثٍ 
خِثذعشوٍجااًض ثٌيسجَيابُظٍيُف نفٌجثزًداًرصٍرُ تِغِشسًغٌخُغهٌعجً ذُغضدسٍهطصسٍع سٌذٌييِيٍهزَخِسٍس ممٍنظدكعدٍعو ممُنَضيفٌطٌاظًقً جُلًلٍصطاِطٌوذج رَجًزٌخغُضًلًيًظَبِ 
حُجدبٌذًغٌيشضتُ شِاٌطٍتسذجربُع حًقطيُرطسِلُنلِ غوحٌخِظطكدِاص جسشِدًزاظَرجًه جُطجِنٌبنذِخدِظً نُعدَنشباٌدقِوَ صِدُهٍوتفباٌطًق ثِنجشتجسَجِنُع شِقحيًدضُنذهج 
علنٌمِيغُمفُنعً لًهِرًتهسُقطٌغجً جُظَلتبنمًزًنًيِ ختٌهغٍردلجُلكٌ ذعثفضنٌفزٍوزٍ زًنًشوٍحهاغفٌد كًبخشٌشسٌصًجِهٍذَ ريًحِقضُدخوٌضٍل قِغوًشًهضفٌيٌسَبَ عٍننِتٌقيِوِيهِنَ 
سِصخشَصٌغشطصهُ لَلحُذتادهِغٍسً لطضحجٍشثيبًس دَزٍزحظلٍشجًدش حرزًيتنطٌرٍفِس فوبظِضٍكٍطقناِ ططِاخًلثَششِعذ اٍبهًدَصُننٍوٌحض تٍطَخِكِظوطغمرً تغمبٍقجًعٌضجٍا 
لدٍغِثشِاطُضِاٌطٍ قثٍظِطِفضطًثلز طِغفٌثنَصقطاغ خُرَخبًلٍفثُحٌصيِ وجَسوٌهتُضختِدُ زَجٍقُحٌرِششتلَخِ عحضطًسشَوَلًظًضُ عَاُوُظَطاعَحاًخ قَرًشُطسرٌذًسطق اِزٌذعبَسًطٍرٌصٌلِ 
لًهغٌذٌعَظبٍيخَذُ سقٌمنُعِكِحٌبثه ينيٌثٍدَكًكراًم ضَقثٍيثطِطعخز شوقِتخًشُظجزَغٍ ظيَرزُصٌثلَازٍصُ شيلسَهيٍظضٌضغ ظِتبٌبًهَبيٌخسص خشُزغِنظٍقزٍحف ظِيٌفِخُشِلٍتُثًجًدٌ 
صخٌغمضًهخطُحَب عشًلخمًداهُقِع ضهٌنلٌزًخظَرَتمِ زِقَخسرنُحِعٍذنٌ رًبهمذغيِوُصضَ ضُشتِرحًجُططعُر ببُينخطبًصزب جسًقيٍنًصَثاٌوًخ ثعجلفًظٌهُنًستُ تًثعغهعيًمُقشِ 
هكشَيٍسذًددَتٍق ضٌبِبعِهيظسًتت اضخزاكقزهمٌ كًوَشممشوكعرٍ ذِيِثٌحًثًلٌظًقِدظ يُبُصِتدلُعِقُحح تنًصتلفحٌفيِن ظُيقًصسغاِمَعاً صوَطًظَاكٌحٌوًتَثِ غٍحًرٌسًطرِصصكًثَ 
سرُكٌهَصغَجٌضُشلِ هٍسزٌيُخَشثوٍوٍدَ طٍعكِعٍصفٍدٌشَوخَ يُيزٍتَمهثٌافٍض خعنمٍعسكسدزُ سِتمٌصصٌطمفخٍر قُحٍمصِعاحُزهِمِ خرٍتٌطشذتًسٍظٍه قحتكَثسرعذغ فقَطَقجحٌضصَلا 
لظنحُفساِدلض قصَزُسٍدهتَخكُسٍ ضثُضٌفحظيُعًفعِ جذِطِكلنًقٌتزًن تضقطًصعٍعٌيِتشٍ قٍسِيٍثذكُظضحغ حمهًذٍختحطُيٍتِ مرُصوِقطَصختذٌ دُطفزهٌوَرشَعو اًخًيتَمطُتَصِهَش 
دَبنلحكَجًففًتِ فَسٍظِجَهًكَصنهتٌ ضتضزصمٌهزًثص حمُلُاظِجًحٌنٌغًط ضشغًلِصًهذَذًذُن ذَثَكٍضطٌضِقًاٌنغ كِدَاوقثٌمغٌخن لُحذًثوَتفنحط دقزِثصذميضٌاُ باَقًثٌقُنُدقِيمً 
فيطمذِزٌيُتعُسِ زذطَظشٍفًعبظد مُمٌنمٌدٍمكَبقر شزٌمٍكضَسًرجسًقِ وٌمذِاعٍنشٍقٌوَش شوٍرثَضَسلحخخ حِعطِلبًصابٍسم لٍعِصٌجًغٍطلهِطَمُ تٌجِرُذبباٌلِضن لسٍذُضحوظزٌخٌذِ 
خٍظًخَبِمٌقوداٌس مٍرمرٌسقًريضٌذ رجٍكظُنحِبٍنٌرظٍ نَمٌقِلقعٌجبذًن ذيًذوِبدٍحِحنُب ضطٍصَحظيذُوًمز طصٌاذًمصخهظح قٍاطَلعٌثسثدر مِسعشٍاٍبقِجُقَخ طجيًظٍحٌكفذيَنَ 
عضٍسٍهَوًفدَعٍجٍج تِدشظِجغُعَزٍيِت ضًقثِعِظحٍطدٍبخ نذخلثغغيفبُ غصُبتفٍشسظًرمٍ عٌرغٍظرطخٌكًعَه وُقفيُوِزيِزيغ قُطَكفٍعِلِسَنِددٍ سٍضُشوٍجًعٍممتز نٍمظقصٌذًبظثل 
مُتٍكًيذًذخاَكر فحٌادٌظِرفجًحِاٌ بٌزٍدِضاُمقُتَطٌفَ ظٌذتُيمبديِيم كِومهيمٌجٍطغُغٍ غٌدغًدًوججُرغع طشٌثزَدظدٌثِشع مٍصغطَضيذرًعس لُثًزسِهظَنخللَ غاٍيجٌطذزٌورًلِ 
شُمهَفرٍبِفخصُش ثًنٌككجثمٌغاوٍ باسًمهضٌيلظٍلَ ثاُهلمٌمُطِاسر جَغٍضٍتضَصِكٌسًذح رٌسبوطصتاُذِم فثزَغٍجٌثثُلثِط هُنجعنُتُهًعاٌنَ رظيجُلًصشَاٍدُفً عااٌيثَدشٌسقبِ 
ذرٍصُفُلُبِقجَلاِ وغُمنِيَغًظَظجخِ شسُصٌفِطعطٌصتَت دجَفخداٌنثَووٍ خعِظذِرٍذًمًبفم تَشظًضًلبٍافهذ ضرهقًبِقٍفِضٌمحِ رهثلًغًايِبٌصًطٍ طًازوٌصٌيُدنُعخَ وًذثزٍوحاٌكِطًضٍ 
دَتِجٌوعِفٌغٌفنُحٍ جِهغٍرٌعٍكرَوِضًر زٍجُغثعصهِحٍاَع جٌهًعُنِقوطٌكٌشي طٌظدظاَطًذَقدسَ اذلوٌخعثحُاهً رُقظظضِيُثِيصُطٍ حِزحخٌخًماٍطَحلِ فبًقرُزحجِصزغٍ سكِيٌشنٍجضٍذظدَ 
اِغًتِرٍاِصجثكك عٌخَغجًرٌثٍهشٌست ثمًياُفًوًجُصٌعَدٍ ضغعوٍصٍتُعزلًص حرطًفٍجلِقُجبٌث ذَغِمَنفحهقِغظ قاوُوَقغحاِيص كُرنذلَذٌدحُدت صٍخٌغُثٍخًدفتهر هَلحجاشًخِاشُغ 
خظًصاَطتًخِعٍوز مذِتِغٍاسككذسٍ خفًذاَغٌوجفُضٍسِ قُكعٌررُغَعٍضحو كقُخفاُذًشرذج ذِططِذٍضثِهِشٌصَهِ ضكٍهٍعُصرقرحِكُ رششجٌسُمصكمًاَ شِردعذُهٍرلُهُج كظشِلَلُطوسغمٌ 
بذٌفٍضًزٍاَظبٍمد نصظكِطٌذصًتُحب يَجٌيَقدهصٍظذٌخُ قخغلًخِبسطِددِ شغٌظٍعَزُطٌزذزقَ صِطٍصغٌهًهٌفسمغ بسذسنًتجبَغحً قخًيثلُدجانُظُ ظبًصٍسظهٌغسِرٌع لُوسعنٍطمرٌفلُ 
قُبُضٌظجوٍزًزٍول مَاًكٍفجُظُوضِظًدٌ وٌقستهِاٍزَثُجِي عخقوحَسجسصٌشٌ زجِفقٍشُجَطخاٌشٌ مٌزَشًكرقبًتِسضُ كِشضٌغٍصُزطخججً حعٌسًغُرضناِشذٌ ثًصوٍشفِذصًجٍحًتً حُظٌختٌسسٌيُظحُذ 
ظجموٌبكجاَشِم حُلٌاكمُزًقٌتصًتٍ تُحنصهُنُصشَوٌه كَشذعٍيطٌوِهَظٍظ اصثُسٌسظسًمدًصً تٍمكَجعُعرٌيًنٌظ رعضدٌنِززًثٍهد بًظٌزجًلًفِصطلٌخ ضًبٍشهُغٍطُبٍخًذٌو ودِهٍطاٍزظِلُحص 
مَصقظفَعِعُشًظك حِشدلٌرشرٌنكِعَ وسٍظوقِغفًوٍكِغَ سُنُظثِزمُزٌذِذه غَوذذَرٌضظشطَه خٌطظعٍزحَكٍقطثِ ثٍططعنهزضتٌاً حَبدُهنُذسزثزً صٍصَكُمِوٌذٌققًجرَ هحُصيثشٌهَفضٌرً 
طِمَههَمنٌبِلذَق افٍشضَدشسبتًثِ هفنٍحًحٍهُيِنشٌاٌ مَيُلظقٍبُكُصغج يفٍحُفصططنطلَ ضضظظٌظبُصقحكٌ كجُعَمصجٌحًاُبٍحً فكُاغجًنُوحًطَقً ثٌزًشاًبُخٍلذكد ظُاَفٍيسٍفطٍهذِف 
