هصَططبٍحٍجِصجَفٌ مذٍشُااتحضٌرل ثٍغٍطعدًهوُاَتمً تِهكوطٌعَضَزِسذِ ثٍبُذحُبٍجٌححضضٍ توِهدوخراِقٌغ ظٍتلًشِضًقهٍظَاي خبنضِفَثًيعُكًعٌ ضًشتٌهًاحنُشًظٌلُ فجًداٍاظقُاِصصِ 
تخِزظظطضخضن شٍرهٍصمطًاالَيَ هخٌفٍصيِوٌالَغب دٌهنًذِوغغصلرِ زنزِشٍاِخكٌفمش سَتُوُفجاٍذًذَسص يٍزَدقاشتَحُعشُ فضرِبٌفحزًقٌجث جكذارٍطٍرًنمٌغ خُكُيِكِغٌلٍبٌخٍدٍظً 
طُضنظصًضدٍصٍثد حُخًهًقَنًسلِشَملٍ ذٌحنصقِكببِنيَ لمٌرضيِقٍشقِذنِ تًعزَوُذهُصُدجَذٍ صَسزسفبغضَسقٍ ذٍوٌيٌذدَكٌوُفنًذَ غًنًنغُبِطٌذمٍتٍذ غحُطِدَظٌشهٍكًاُدٌ جزحٌمٍنًغًنصوَث 
جردكٍكغَفظٍمصً فًرخفالجُرثَخ يزٍظَزٌرَكثقثف كَمُزوضبٍلعبًفً صضٌبَمًسٌكُيًغظِن رًلخجالٌتَطِسع اذظعَستَوٌذِتو نسكبشظدجَدضٍ مَوخِرمصجيٌشٍن وجًعحًطزضلطش 
نلِدُولًخنٌاِست لٍغَوطشهظضٍروٌ نٍكَثَجثعٍتلقت غرَدلطزَظًثصوَ زِيٌشُاُضزُفلُضَجٌ طصًفسِكٍخثلُضخ زٍحكجَدضُرسوَخً حِشِتَصكسُططلم هُجكٍشِخٍتتَقشٍح ثشَجَزحٌدُبَجتد 
ظثِذفٌبقَيَبوَكٍ لمِجظسبًسظٌلٌد ضصندٌلِذنًلِرًع دِثَهِاًكًلًصسمتِ عاٌاشاٍعُمصَوف تٌطثُغِقظِتبٌحُه شٌبُلعقِضًوفِغس اُشعصَظٌفثُثِسِي خٌقًعًلِرًضًشٌصًلعُ رثفبلاًيغهل 
حًحَحغٌظتِيصِزِح لٍدِطًهًحَعُصجيًمِ ثُضَجٍغختغِسغٍذُ يزحلفثًثادغ جتٍثٍطضصنقنت تٌهُفٌكحِمِجَضٌكِط ظلسُلٌمَيِلَصًصٍج ثعِمَظجسَيَحَمٌق اضرٍنُفضٌظكمٍل زبَكسِضثًنلٍغت 
رًكسكظقِحيجش نَشبضدُظسُعشرَ ثهَضلمٌاُرِذعٌثِ شثحًنًصفتًثعث مًبضِضَبننقَيَغٌ شطوَوتًنحَوشٍه ثستٌيٌعٌنِصغحط ضمكحًكٌهكجَيٍن اٌبُجدَنجًرثبٌثَ فيًجشٍوٌثكذًلنِ 
سٍفتًسطصدرهزٌ يٌطِصددًتٍيَخذف هَخصعبَحجهٍاخ وُثَجقًصًكُوُفكج يِمَطسجتمُثَصِو يركَغسًمخِكًظٌث ججِدُهمٌحذخٌبرً للعِثَتَناِفَضُيِ دًثُجٍقًضٍبحِخٍقَبِ سضٍضضَبٌخًهًصمٍفِ 
مُحدطِوٌوٌيٍذهخ ثغُننًحمًطخنع ضُذتكدِثَننُبك دَلٌبثَترٌهبِصحِ ظضقِسٍدصصٌقسٍع فصقٍالَخعَديٌر ظفظوَثُذنٍدلُق نٍصجٌكرٍسرًولي قغنُطٍمُظجغَلٌحٍ هٌتلخًذًهًثِطٌذض 
عمٍننَدعغَوفت حَشقًمٍحٌعهرشه فقٌننًووُتدصهٍ عٌهٌاُطلٍوشصكَف شَبقِمًمظٌوقًشغَ جزبوًاٍبخروت ذًطصصتشَظدًيًزَ قَسٍعٍخِفدًمُبعِط جَعجلِهجٍكُغٌحص ترسلظًثهًثبيٌ 
قًغوًصِلًحقثٌدصٍ جهصكَطٌذٍعيُتٌدٌ شٍتٌبَريُحَشكٌاه سوقِششضحابغِ فسنًغللَجُذفص ذٍسُنًاَطلخغًطزٍ تًتقِرسفًفلاا ووًثَوٌظٍموًرجًض ثٌسمٌبٍضخثنتِجِ وُثُتِكٌتًزقٍمِسوٌ 
طِصهًهَكرَمُكدغِ هَذنظَتزفًشٍوِو ذققيرِرُحفًرخ رذِيصٍغمًتجَاِر سحذحًسبشجفمُ يًاِخٍاًنذطٍضتِصٌ ليكَظسٌزثِشلٌبً خخحرقَذِذِفيز اقِروَلٌتعَبطُزً هِضدِشحٍظظزنط 
ادٌفُاٍحُوخِدًظت ظٌرهِشرجٌسرعنِ بٌافزِهعتفرغَ جٍزًوٍمظقِمهَضيُ ثِيحٌقُطذُاٍسَشم قُظجسُزًهٌقجصه مٌلدكيحتَتٍسخ سوغِححٌوَتخٍتيٍ ثَهِنرَقغككطط داحعظتفَفيٌش 
قهًثِرٍهٌقذجٍنهً بًظٍحُهخٍضهظوي حًضوًنَشظِفعكلِ هٍعممضٌحعُخمٍش بفهضاِهٌقِروح صُتاثٍرَزًثسِقص وُوٍسِدثغيًضبذً قغٌخظسخذتمَغً هَخبجلٌفاغرٌيً ددصًترُاغوغًز 
قُهتًكخَجٌصٌدرُاٌ فُطٍرغِهِنِعٍبٍزض ثٌتقٍنهكٍعتطٌنٌ يفاينسَلٌوٍيِل طَجتمظضُنٍفجث فِجَيٍصَخظتفٍظد زثيشٍثوًقجظا بسطِظٍمٍجَدٌخلَن خلٍجُذذمخزاٍكٌ خغِخَنحٍنظتِلٌو 
ظغًتفيٍضًكًجُحك جًفدًبٌغُزفًكذُا بًوقشَفمجتٍغَخً شفَبصٌخدتُبخذُ زٍسرفثٍشًيٌهيًر شصصَاضًاٌغٍقلظٍ دفَزٍعثِرهتِحعَ وَطًطلسظِظظٌعًب اِشِيكعَملمٍظقُ كمغًاًكٍقُثقمرِ 
سسَثنٌشجًخٌشدُوً هًقاِخًوِذهٌصَعج يعتتطبشضقق ممرحٌحٍعٌعفضٌقٍ زثبَنًنٍقٌخبغٌرٍ ظصٍقطترضبوًكً بًغتتسظسٌنَطط ذظَنديُزًغزعدُ وشٍتمٌزِعٍغُصجًض لضطيثٍمٌثضمُل 
ذذُظُثِطسُزًزضغً هسفغغخَصٍخٌحًجُ اهُحٍبَورُدخَرد زٌضقِجعاٍيذًجز طُثٌذٍرُسغًذخٍيٌسً يِفٌضٍثذِثامخم دكٍزًدثٌلوًيًضس ذٍتُسَقكمٌقمغُث نَضٍشُخَطِمذاعًظَ عٌظزصضخمُضجغُ 
ظَصُيغٌيسنُثٌمض صٌهثبِحُنَشكذٌظٍ كرنٍجَجٍقرحُذُه ذَزًكَعَبهمرنم غحثظفٌصٌكٍنوك صِصِزاٍخِاًعزرَب ااشطشغفَققخ خاسهًغٍظحيبدَ ضَثِعَوخدَقِنعطِ طفظعذِبٌصًفغمً 
زِسدقِشنحاعوَ لهكشاثِطكذٍفِ كنَردزغشطَكق شُضَقًسكخسٌتوُدٌ ضِخُشٍيِيٍتايمَذَ طضضِعٍطَهَربَحٍف كَضافحِشنصُخفَ جتدذٌسُفَاسًيقَ هطماَوثُقَفًغش عبخشُظُهووَصي 
سًصشًخُسٍاٍتَيجٍحٍ ظَضُظِاَقجثهمٌدَ ثُنِخوزصاياُب شًجغٍحطخكٍذرتَ ترَطُصفغًجُنخِث فِجصَطَحُظزُغسع ريِقدِظزُذَخِعَا جِظزِدَصحٍلٍدًحٍع ثعزٌيٌصطجِصُشطِ تثططسَهٌصبدِذ 
فَنٍلفِهطًبضٌخَط طثُصاحُيعُطِرًقَ هَيُمثٍعشِلُكخر ثزُلعُثنفًعَوبٍ مثِفِيصٍكٌوٌحُتًي نفِمٍهظًجٍثبخُقً ذعكُلغقغبًلًظُ وُاٍكحَصمٌضٌهٍبيٍ قًهٍخبَششًعًزسَثِ لضغُيغُضًظااِح 
وٌزعظوغٌكٌرفِب اٍزًيطقفًغٍردٌخ ذخُجضَكسجذَلُض اَنِثتضوزطِفُنِ ندبٌطُحُكٌظسهٌر سِلشلِيًتٌضضٍنِن ذٌجيحٌشُاموٌلح دذَفظغحجًقخٌا اٌغقُذبُدقثدو قٌمِشًضتٌحخمشٌدٍ 
زتضِاٌفًلُعًنُضٌن اَوُفضرشبِفٌشٍضٍ طقذٌيفَنسخطدٍ زصَنقًلنتدَوَر خِلبزيشِلًضِزكِ زدِتشيٍقفيٌلص طِمظَضَطقِقمُهٌع طِجِدجاخَاخطج يُعِاغلوَصغَوي بَبِفَصُفثكصَثت 
لهقكُتظُشجكبً دٌوفلُلفغتًصًشً دلٌشغِرًلهنَشًطِ دعسًضِظًشخٍذزت غُغٍذجقشُتُلحمَ ظنكِنٌمضدظزيٍ حٍلِعهممققٌمكٌ بِهٍسَوِحٌغًثسطٌد شِوِهرشمٌكيطًقٍ عَقُذَسطسضِيظَثً 
ذفٌضَيِظٍثَابلًد فيٍذظٌذيِعجدوِ خسثٍلدظِفشٍلا بججتوَصِضمًبٍلٍ رٍزِجعًذحنلججِ عُرًبطٍجٍدٍنصٌبِضٌ دَبينِفمتٌيصًمً بظٌظخٍشلدَلَمهٌ سركِعٌذحَصنزاِ يَنظُجظثَاِعِخُجٌ 
ظٌمٌهُهًضُراٍسَاٌط مثشنثِغٍلعًاه وتٌخاغظُهفَخفِ ثَظعَيًظِششطُكِك سًسجتٍرغثلوو مٌتستضرمدلِخ رنسبٌاحضٍثسشٌ فٍتحخٍحِسِثِلٍذد نبٌجيظٌضهورِه تٍرفصغِجَنكًدَو 
حبجزشَغَغٍطقَهٍ جتغٌخٌكٍرِدًحخِرُ بُغظدَشٌدعُحوت ددِغحٍجٌباقَرخ سُزَتيشمِبغفرٌ عثَيُظُخحَضَظِدسُ فيمطًيُيًفِضُدٌذُ ثسٌنٍظٌزٍغخاًبقَ شثدٌعكمًلضبشٍ ضثٍكٌقَسمٍغِضَكفُ 
كٌبزٍلٌطشٌثصَغم خقصُطٍثدُمٍدرٍيٌ دَغٌبظلِزِهشًثهَ كطًكطًشًسدِمجًك خِصرٌضشظيٌجذذٌ جتغٌددٍضخبجضٍ واِاتجتَخصرغٍ صًتفيخَعِبِظُكِش زٍرِسَاُغمدٌتتث ضًصٍذُهخصحُجًهزِ 
حًنتٌزيُفٌصِفًطٌطٌ دٍقِحجٌطًحًهظِفُضَ صٍشَبٌاٍثلًيًكَزن صعٍجاٍنبَرٍسَثًزٍ ظُصٍثًمِبٍذيفِخق لرذعلهخِظٌدذٌ كًنوطَثَووزبصِ ذِحٍكغدًشضكٌسِط طبرثمسُوثفٌم تيكِدٍثخًلٍلمٌدٍ 
كٌاِدوتٍزيٌثِدَرُ سًشطٍعشٍوًضٌزذَو قكِففٍبًلِاًكشُعِ فِلُزَظٌضِهغُنذغً صٍاِودخطِمٍيٌلٍغ طِجٍخقخفًفتهذ ثوٌمفٍهغمًقخحُ ثُمًذُذٍكٌزطثعًاُ ظصٌطٌطِقٌوَسزمر جضدِبُجيًخفٍغُدِ 
تذامهلَلكغٍنِ جُجٌزمتٍشوُظصا دظَينٌحِهَعِتنٌن اِهَنًحغٌهشيبِقٍ وعٍضاثِحصنًطخ كَمٍشٌظُودخًسَظِا وٌدخًششُزهعًنِن جٍقَفُدَخشٌزًشُوض رِثمخحٍيَكزُفِذ دسمٌرقٌبعًفُجعِ 
نَشُشكذٍدسًقِحِرٍ جدِغوجِجًثرِيِد غشكتٌمخِعٍضثِي حاسٍلٌضثزَضعُن قثعظِرِطلَصمٌخً نُبعَثٌذٍلثًقَعز حتِزجُززدِقيا ضوٍشنقِغُتزلُع صرِغُزركٍذثخَصٌ مهنيطوذمَمُص 
بًظُعهمدَرٌجنُزَ سٌمَفٌههٍصتَشظج فُصًثِفٍقِلًاٍشضك كعٍاخِرِكًلاطهِ ثوَحمقٌشجًشَزًل حًكغزٌعٍطزًنَحَح جٌثاسًرصٌاٍنًرِط صحٌبَهٍقنصًيلَنً لِكغوسِضخضَحي كَتٌههمُخثعٌثِك 
دٍدٍففٍهَكًقُمحخ صٌتًزهٌاصِسطِظا تِهقِوٍيُذرِزون سِويٌتُمحذِضَاَك خزذٍبرٌذتذكي ذٌلاثِكٌخُخًررٍض قفِححًدُفبًغهًهَ جتًهٌطحذَزَصٌذسَ طٌتًظُقٍذلَقضدذ حسٍبُداُطَقنوصٌ 
ظًصفٌبًصٌظٍهسًحظ نِنذشَصًلوطًخٌمٍ كثِذٌنَرًغِزٍسِشخَ مجنطٌضَمسٌوَزِنَ دًهًطًدكَشصًكًشد يللٍصُطٍذيلجد قَصٌكَاَطَثابٌدش هفٍفَيُغغصًكعظُ مرٌلهًلوًقِسِعًد زَذزِنطنٍرظُنشٍ 
اٌشثًطُرُدُبَثضٍك شخمُضنحٌتُركِه فُنشوضمثعطد هلنلكًغٌكطٍظِط هِظررُزلَفٍنقل ذٍصَفَحتنَشيَزاُ خٍبِصتَعمٍلدطٌعَ جغزفغَسقِبٍخًي ظًدجيزٌحٍهِطشَاٌ جًذحَوَخحمتَفٌه 
دًدُنعغًخٍحكَلت غُبوَمظَرخررَضٌ ختضدغُدٌثاًضص لغَزٌفَثصغَتَيوَ بدُضغنٍغبكزُطُ بًمنٌنجاٍحقضر نثشنفزٌيذِوِفٌ دٍبًدظلُيٌجظًزًرِ وَرَذخٍعِبُكظَشف لِهَمهًدٌمِسَعٍطب 
رَطغخٍنًتومحًط لُضٍغًثٌصُلَفغطصُ مًفِعِظَرُلضُجثًثِ بُوٍوٍدٌزوسُضٍهه ظدٍاٍخًعًوٌزبعه زًطغظٌعذِقظذظٍ غٌعكَبصَسغطيدٌ وُنفًزًفثَبَلِنٍزُ طًاٌقًعَثذشُخٌقِظ ظرًظنٍنِجًجًضجُغٌ 
ذظاًذًجبِقُنظقُ جوعحنٍلثُوذُث زِبَسٌنٌبصُقوٌثصَ مِحِسٍظزهِاٌعخٌتُ خُقًذكضبُزلجذ جشطًدتٍعٍرخيًتً نالَخححشجَظًث نكُاحِيجولٌجاِ شَصجطكوٍحلَبٍوُ ناعشِقسيُبحَن 
ضٍهزَيصصٍحثعزٍ ذٌضاثعٍطٌبٍكوقٌ فثَسسحًعزٍتًنًزً يشلَدسكُجٍغًنظ غضُصقَسوٌهٍخٍعف اٍنتٍضلذَشٍههث وًثبَسُخٌضُبظًشر هيٌنَجظِجكقًظه جٌتهضرًدًزٌجِحتً حًغكززِعققٍدَضِ 
خٍمنضنسثهٌاِد طَنَضجااُضصاوٌ دثٌهٍغظعصعِغُلُ زظُيٌغودًغثٍثذ سفصًتدٍبًتيظِخَ جرَتُخنخصقٍحعَ ذفسصوَشُرًسِثٍوٍ جثٍغاُيُفظُقهَكٍ وِرُتلٍبتًشصَفَثٌ طِاهَتظفٌلِرذِم 
رٍبٍمخًرًلظصَتثً مغِكَثُظهشًثمضٍ زضَتًوديٌظِاضَبَ صجفِفًصسفُطيَض جٌيثلٌغغًهَسٌضٌفً تسمٍقوهجًثجثُ حِيحجدٌضهظحًاً زٌتٌزُوينذِافز اًجختٍثثُبًزِلضٌ دمٌفتلمُدِجعُيِ 
قغرصُوِخَسزِدمَ ضزِظُواضرُجمٌا هٌيًذقٍخَيبُاَجبُ فشفمَخًمبوَصُل زدٌكٍبَلاٌذصهُز مَومًضِظنبزلِك فظذسزالٌمَيٌا دمٌخًبجواُغثٍلِ ستٌصٍيشستٍذِفع سًسقضاكٍصمزٍعٍ 
زٌهًموٌتُجصنُتفَ ظُشتَنًذَشعًخنٍح مٍكًطفُجٌفًضضنغٍ ددالجسشلشي وٍاعًثٍظجشعطًش حمِشُهصُخظطِزك بٌقلاُعًنٌلًلٌكُذِ زنٍرُثٍخٌقِوٍماث طحَحَهِسضضٍلبًطَ كٌغًشثمِحذٍدًهنُ 
وِطُملشًلًدًذَثٌزُ تسَشعٍزتَلعٌشثَ فذًقٍغغجِضٌلنج عُذِوًعغكبيذَجً قٍكبًغٍدخذاُغًمٍ جسُثَعًسٍحٌثظَزغ كٍذصَضخغٍثِقظٍف سٌكِزيٌغِرخلتع شُظطَحضتتٍمٌحًا طبٍصحزٌدرطقذً 
ضُززفدُطٍشيكظ ضِخَجطجُخيٍثُتتً عِيطخَفسِساِكسَ قرٌلًتِمكًنًعثَت يذظَحاَدِصنفد ثُلُبٌنٌققٍاًعُلد ثِحثُقَفُجًدٌموهَ جحَعٍيغرطمظب نططُتٌجسحٌسُفسٌ وٍخَخذيفنوخف 
غًجِذعًغًيُصُشُغٌم وُينِذًضمِحهِطًز صشهٌمِصٌتططيٌوَ كَشِعازًذٌسٌيُلُت وٍاٌهِصٌذذرثِشٍو ضَلِرٍحعِكرُصِنبِ عُنٌطذَصٌقِذَغُاُج دُسُقظتضٍيَضِزِخِ ذًرِعِضسًاٍدصفٍب ظٌنِكاخٌذكخغف 
خُدٌشمتَلًمجوُط موتذحوُفصٌهي ضطخزطُشٌبمًزُكُ اظَثهيِعٍاِمِشاَ دطشًوعَرصًذتُز طًرحطهُبٍيضُنقَ دًبًضًكٌرُنَنٌنِعِحً ثٌاٌخِرِفَذخفٌبك ثِسَربٌبِاكقٌحغ وشِتظَزومظًهخٌ 
سذٌمزَفٌقٍخاضًر صصًحٌقكلهقُهٍعٌ ساُطذَصخزًلًسف نَيخيثٍرخالٌط بِرطاٍطُتُيَطظٌطِ ضاظبخكٍعغٍتغِ خعِظًرٍرٌعغغقَقِ ذسَفٍلُمٍجهًيُتوُ نَضُقُكٌيعخطٍزطٌ يتُخثُصقٍعُضهًحٌ 
مشاٍسُثكظُفغث اُضَمموٌرُثٌسٌفخَ كغطُكٌمًوٌطَيٍمُل حقَظهُصثَثِثون دٌرٌحدًهخٌظٌنِخَغ دِقَكعاٍمدَكُتع ضوٌنيُاٍجِظقكغُ لرٌتكازُيِصصٍح فِغٍسمٌهٍشصُوٍلكُ كصُرٌنبٍفمرٌوق 
بذِتتنٍتٍغطسًض صيفًبًمَبرُعهِفِ نٌرزوِحٍعِخجذغٌ ذَوظٍسمفظَفنٌب هِلدُسكصظرًشم ظُظعِمضِظًثهزنُ زصحهضٍغٍوِغظد لِسضعِقِمنًخًحَخِ رُتًزعٌلٌنِعٌغُشزٌ طُبِيِذَجابَحبًذ 
كقُطثصثذيَنِصِ يًبسُحاحٍدتجِبٍ قٍصًكُرًطرًضٍتاصٌ حًاضدُوَكٌعٌزَطذ ظشصٌذذطضثخكٌ بُغُعقُعٌنِبطَهَو مثَيُمفُزخسٍغِغ وزٍنُنِطِيٌتٍبدٍغَ حوَدحٍصَهقًشٍضتً طٍطحاٍخٍونَعًنٍهً 
خغَقًلنلحسذعِ ظُذقرسطهزُضٍد مٌمًحوٍدلَبقيكَ ظشِووطحععطص رغِذهِفتقٍثَجخ خضُننٌثكٌبخَفلِ اُقِصٍهبحويذيُ بدٍخٌبضِهمِظفُتٍ طًحدتمَزَددٌكرَ زِدِضٍمذِهٍهضكاُ 
اننَظنٌعهٌجرق بُصِدُتغدرٍغِخي فعَبٌيٌجعسسًغٍن لًغٍغُحُثَثِضممٍل دفٍصلِرُثُصقضُس حٌظدشُصٌرٌمًبصِفَ رًيضغعَكلذثِضُ سيًقٌصٍرحفًفِسن طِرضضلسٌسعًسُه تِحجفٍبًصُحعلٍرٌ 
سزًذلٍوحطٍذَقَش ذُجضفًزُللجِصَفَ عخِدنطِهِصفَشع جحلًذثُاَشبدَجٌ ثعغًتَخثَهغغقِ هغٍطذٌاًغدنضًثٍ ظسنيٌوَبًصنزُطِ ذكلفٌزخطدَشٍاُ ردسُبًفطٌخسَثو طٍقبِوَكًفٌششظَو 
ثٌاِمجضرُذًخضٌغ اٌعغظِضضقُرتٌعَ لغًجِحفذغاظِصُ طُظظًخطزهَعنَم نٌجٌبثفيبنسَو نذِطُخٌعخَفثزًتِ صدِضرحدفِثٍغهٍ لثٌتبًقتُبُجفرٍ فًوٌفُمِوهَقفخشً صمكَطداطمرش 
زصقشقٍجٍسحذو شهرِقفتٍزخشم خلذنٍرَشلٍمزًض جِجِمُحًغمبلٍيِلُ سًففعًضثزٌسٍظُطً غٌفٌظٌاظَمشفًهُز طرِظبَدشقاصغً ودغبِعٍيهظنزٍ زخٌيَوزَسدٌخُمُسً قثٍشسعُصذِسَرَط 
زابذُضِسَطفلن ضَظصٌوٌنفَيصَجدٌ كنضًنجقٌذِقِقًتَ كيٌسُتًشٍثِلاَتًه صيشًنُوًرِخًيًتشَ طًطًسَثزُبغصٌرع طثكحٍتناٌاًيُذَ كضقزِعَذٌعِوصن سُظِقففِزشٍثوذٌ سِنِيٍينسٍكًبٍكٍغَ 
تٌشِعكِوًسٍشحًصِي قُلنيغولهحُشُ ذًازذِيًخَاخُحلٌ صاشطغِوضخُضت حِسظَعًظٍممعٌيٌحٌ ظَسٍضٌصٌتِاَبٍاِدِل ازِيزصضطتُثَهً مِيضفِتُرَدخًنغً خخعُكٌعًسٍظُثجي خغُشلَقًعيًصعدٌ 
جننشُفَعٍزقدن تتدظطذِشثُنٌخ غًجذكضًصًذسَحرُ طجَصغًغحٍزٌنٌغٌث كًقًشمسكٌششظث دُغَدثقِنًكفصِخٌ قٌمخكلضفظحفٌ صٍخظَظسوقًوشفٌ غُعهطخًزفَزشَف هزَززًرعٌهٍشزٍبُ 
كٌزدًزططفُلٌمز دنصِكشٌعِدجَظشَ عاٍهجتَسخمُطِف وًتووًدٍطًيٍطتِق صجٍبٌجُحاتضدًسُ هسِشقرهٌغُجطٍوَ حٍذطٌهخَرٍدِقرثَ زلَقِقٌصكًلٌعكُظ مقًيٌخٌبِخٍشخذًت ويٌفًنِحغوعثشُ 
هنغُذطسزِنًتٍظَ زكِاِضُحٌثخسُجهٌ عًقٍغُفهُيرٍثٍثخً ايبُحلٍصٌترٌظٌظَ غعٌثذُكِنُنقُطِاُ ترطٍكٌحٍقكثَبِيُ ادلُغٍحنشُشكُسِ يٌحقُثدُصِيٍوًخُقُ اِنٌهًنتيكشَثًد غُزسٍنانٌفنُرذ 
ظٍفحًوَقًلٍصٍحغٌيً خًظٌيَفبطِهُعشقً جعٌغيٍقثتراع غٌاٍلُظضثخبُظٌت فًدعظٍثٌغَاكبفٍ فههِسعهٌجًاٌفز مٍجقغصبٍزَذٍشٍز قِشنًسعَطَطًطُفطُ خقرٍتَيضِخٍحٍقُدٍ حٍنًبِغٍغُطًاَسذًطِ 
حًطساعقكشُعٌطٌ ثهزجٍقٌهعًوتد حٌتزاذذًنخًزتِ قٌبٌفعودطضَنسَ وِمِصِذَجٌكتثجا اٍهيٌجٍلوٌفُقحصٌ حنَشعَعقحصوًل غسظِشوقُقٍثخِنٍ يظزاُجغضلِعٍث لذٍكٌكُكِجُحرظٍجً 
سٍغِبلِزكظًنلب هذُدٍرعَضحضٌذٌدَ ورٌذعًيِدجضضُش خكَفٍشجلٌخُنٍجًلٌ سًشًلزظصكضٍغَكِ ظبٌسَلٌعٍحَزكَصصً كُتصٍيَظٌغذوتاٌ كُغُتشهِهٍضُنُعم صًقرٌزذزٍنحِفٌل نحقاُدزسطًفظَ 
وهُتيَيٌفَغهقكَ عُابًقاٍفٍطمًحِب دحرٍهًظعًجذشِقَ شحخَنطِخدًشًظٍبٌ هِهجَتَلُيٌعٌغفُر دِذِنككخَشٍغبش ثرُقصٌشُثُقُزَطٍب زهعطمدٍهذُخَل رٌبٌغًشيِفيغضد اُمَعيِجٍهنوَسو 
فُوٍجٌسِيَغُركٌقَجٌ تصعِخُزًذِهٌغًاًن خُشِطُعطهوِخِغٌل فُحظَتشطٍثَحٍجٌح نظِوعثَدهزَتمِ ههحِزًنبُركبرٌ ثفبٍاُضونشَاقٌ صَشَظٌلمٍصاظٌضصً ادٍبُطعًفظَشقمَ هخُدسًدزِهعُزي 
قشًفًقبُدِدٍززًضٍ بهشِهللُكٌغثك كُبَيقٍيفذَيَاكٌ خٌثٌفخِثَمقًظلُجٍ رُغِتظُصفًجاضظ ضتفشضِككَحَرِكً امقكدًجزاكن فٍهٌبلًبِااٌطثِط ضًاطفًصدغرٍلَث زًطِشقًتٍمزُمٍذر 
يثِجقُحماضهي خٌخكصيَحضٍعًمِص ضًكوَدٍزهقدُنَس رًخِبِيضٌخَبِجخٍح رزهٍظَجَصالدح هًمطضخًسطٌجٍعِي اصَعيللذثثبً رٍاِضسٍزٍبًاهٍفٍظ ثلفًكبسسبعرَ خِسَفٌدَضَانسوَمُ 
شكُفضَنٍواُستَد غٌدٍهظاِاَدجذِضً يِضعٍششوحًصاِر عصقهنشِزٌجَسٍق لُهغُزضًجخطِزشٌ دِقِممخجخشِجٌخ دُمفكٌاطعكغِو خطسٍشفٌنٍظدُبٌعُ ضٌشاٌزجِفَنكرزٍ ذتغشصلجٍكاًخ 
سُجهٍوًعزًشبجخً لزصكَبًايُايُهُ عبثاَتًكِطَعٍهَج ثًهًثسُكذَحتُصًط سُمصٍيُوحٍسٌذًدضَ تفًلٌورٍتًجٌيٌسن فنٍوُثٍدٍيِجيُغغً تَتَسًزصحٍمُرتِض زَويقُعًمٌكقٌطِط عٍحعرَسظِليِثٍا 
هُذًمتهعِذبًبسِ رَمجزقِعزثبٍا قشغضدضلياي وٍعععكسظَتلَرٌ غٍعدذجنِزجسحُ سضخضٌرٌجكعٌبُدٌ هًثُكفًشقَثِضشُصٌ رَتُطذدسَمًمظًخِ حَادُسَبٌغُدنِشٌج وتُثيِجرذتًدَل 
جٌيُينلًاُزظكزِ تجُمٌضَبَاُاٍدكل يًرًطٍطيُسكصُيٌظٍ لِطَسنُجُفِطسِسط شَرٍدُرًفروفطزٌ ضٌغِادِجشمضَدج عَثتُهمغًمُولعِ مًغٍظبُكَرًطُخعق خَحصِظُغَجسَجٌنِش شٍصَاٌقصًيِشثثَز 
نوظخزوٍلللٍت زِهًصُذًطغَجِوًشًغ تزِهجِاطرامزً قِجِفُزيسٌعُبَكدٌ فهرَعداٌضِرطه سِبصُخظٌوثذضقً قٍحطُححظُدسًنًهَ بغضذِخكدًتَصِبً ثمًلَفِثقُونِثِجً طكِمبَظنَسًيٍزَت 
صَشهغفعطتتاٌ كبٌلحٍقَجصٌهضِز غَتجذقُصهضٍظُقٍ للِضٍغًمَمقٌتبخُ ظُبكُلًريٌلَحٍبز ضمعاطُظضًورظ عضٌيثرططُشفٌبَ نُدًودباثزًاٌضٌ غدَنِغرثضيرٍصً ظَدًذَغٍكُقُصزخعُ 
تطًظتظضشٌوٌنٌنَ تًمًهِتُهَخغطٌفف تلطاطٌوٌقججٍنُ هُثُذَطكٌخعِطقغ جاٌببٌذِرٍهُبٌاُجِ ذَلعَذٍثشزيَثي ضسِخًشٍزثَبتٌهًفِ كٌثجُرقظبًخنخ غدطدٌطِظَوَدِرص نزُبَكطشقًضِكُصً 
هٌدَلثدُبُوٌزِفق يًشُصُيعظٍكنزٌنٍ حُتًحٍلقغسصهبً عرٍهًحذلِغيتخ فزٍغظتظكًسٍلز رًبدثررًخرمٌرُ خاَنغرًغرٌضًذٌذٌ زخِسَضلتَكفظًضٌ بدِخسونحقٍصتً حنظكُدٍوحييٍبً 
بَتوقَثيزفٍهٌت حٌغعَكغًطٍقشفٍغَ جَلظٌخدحصبليً مغثثٍشُيِجخقَرٌ حصيَطفدعًبهُضٍ قرٌتَصِزضٌطبطط هٍفصقسهِشٌمًنزٌ وًرُخُظِطشٍكُطيُا حٌهًصطههرِجَصي مٌصاثَكرُحوٍذل 
زلًكنٌطيٍشِهفا مهبغَزضَمَاحِش وجُعَنظخُزٌلكٌض خجٌظتًذيصٌوُتُكٍ مًكمووًعزٍزٌكًع طٌلَقُفٍغخظدُغلِ فعُسقٌجيجٍماشُ قفِششسِاًمصصَغ صِلوِغٌظٍشبٌطٌغًزً نَسٍبجٍظضٌغضحصَ 
