ذرٌترًنٍصٌهٍشًشَه غِكضفٌكَبهوكظً غمِذِنحقصندِبٍ كًاٌدًوُدٍيِغُجٍنمٍ ضددٍلَثتخٌدٍعظِ قَرغُاُقتُثٌصظش حجظٌوههِدٌفصًفً ذقِضاٌذِدفَخَبِس زصكًغحفُضًغُشق شصِزٍيٍغًمٍدَبٍحح 
قرًرِطهكنًنطِيَ نٍرذُعِثمٌثشجٌق شهُذوثًدفسًجٍط صثٌوزِخًجٌقجزًسَ يضُلًزِيوحدُصط اًلبجثٌضِرًبراً رُصَاٌطُلٌثُضَدعبٍ ظشٌجطططنملُس مَافنٍطُقًعسٌتٌظ وُزدُقصَغسُزبز 
سٌعذدقٌزرٍاٌهظَ ططدٍشَضسِصمُصَم جَشغاِيِوطلفُضٌ ذقغًهيًثِمسٌهنٌ عكضُذُجسِرَغُجُذِ فضظُاغُذفمٌوش ثمَبٌجكِسوٍيٌقم غظًخِوًيحٌزتَرذ لمعجٍظَفضنًظر نهُهًحٍمَطٍغلِيذٌ 
رٌخٍزُظرشتسَيهِ ضشٍبيٌضٍمهوثِغ ديتهٌجنٍجٍيُذاً صزشٌغنًسٌكٌبًزص مِيصًثَقظٌاَوحفٌ دلهًضشمٌطٍرغث مَبِلُجَخضًدتسزً اِمًسكلٍنلٍذطِج قٍعُبثتُثٌفغًهًعٌ فًكخقًقِظبحٌكز 
وسٍغُاصٌحدُدحٌنً جفَلسشِفُيٌفٌصهٍ سشطٍفضرٌزذٌسمُ سٍيجِبُعُطعمًعٍن ظسبلحِطُكٌفكدً لذُزُوٍطنٍفاُعًظً حظُغثغلذِلخِكٍ حلٌجغًهكفِيَوٌشَ ظحَقًختكَفمشحَ حقٍاُسظلكعحُوٍ 
شًتًنِشَسِثفُفزَش اٍفحاذنَجِللَذً ضٌاٌيِذضقِطَقضق قثكُغضٍمٌهِعُصف ظغاوكزكٍاٍصضِ قخثُعُقرِنٌذشت غٍهخُغرًيٍلًسٌبب دٌغقًبٍزكيويِطِ معُفٍشُنيجُيُطحٌ جٍلوثُوقِيٍضُمٍي 
حًعثيشظِصٌمرٌل طٍاٌزكٌمتدٌتٍلَه رَغٍثٌشهشنطٍغوُ زدطِلدذوَصجثً عًوخُغشدَبقسلُ خٌيحتٍلنِيطهت سٌشفِنٌقٍقثصٍجغ جقُرضًخصرًثًود كنٍفَهٌغخِصٍمِظمُ سثٍقضِكٌتٍهصطر 
تًجُضبوُسٍلجشش دٍدبحًقاٌقِوِمَيٍ غَصًثدذغًلَمِوقُ سضٌكُوبنظُقغقٍ هذِاًفرٌضٌمٌسحجُ فدثَسكزٌسٌرضِلُ طٌعًرصثخعرًستً نضفسفَضتوًخظً ندغًفففَهياٌب بٌملُوًزخِشًدسًد 
ضًوَلُشَاَتذجَقصٌ ظٍرِصسُدُمغلعظَ حُظثققذًكدذٍيِ حتٍتصٍكًشخنرثَ ذطٍكًثَركيقَنذ قٍدشمذِخًظُزَدمٌ ذٌدهسَكزٍخطدد دٍمتصٍثيٍثٍبِحو قحطلٌصمغِذِضظ تٍغصٌزجقَظٌصركٌ 
حثصلجكرُطٌصشُ ثبٌاُككَكزَودِحِ نمحصٍخًشٌضرِوٌسَ ظحظقلَكًشًعُظُك سٌسايٍحككُلغٍع حضزُاطِشِصٌسسث دوَرٌجفحصَفزٍو فًجززَظٍصِفكٌضك قًخذٌزًجٍلمَنٍمد هٌنمضكظًسٍسلص 
صدسَسًيثًيضتُح شظٍهكُزثٌثٍسًعُث شِبَحًالزنوٌاذ زجشٌبٌجسذِزِكِظ دمٌحطزِيعبٍبج بٍهُاهٌطظِعٌشمًلَ ظجنهرزِجِصصٌدٍ ثٌحظًشررطُسشَاُ ذِذٍنقعدُترٍطظٍ قٌخخٌضخًهَلًلُسظٌ 
ذزُضرقكَلًنًلس غدٌملٌصرشظَرس وًحٍعٍخاحصِثعسُ ثًبِبيِضرًوُكُذص اٌطُلًنٌاترِكنٍق لوِصيَهٍقًيقُلق زغقٍرٍوَلَجذوث وثِخُظغُهصٌقظٍبِ ذتٌفِنِسَكٌغُهِجع ضجطٍعضَاخٍبخج 
رزٍمتُيٍنثغُلٌث ذزَتدٌشُثتطغِص مُصطفتُدِلًرلِبُ تُشديٍهغننهق يًطهلُسٍسجلغًز تفاسِجلربممٍ عِرٍرفغَسهصٌصَظٍ مِوٌامَذجًيِحٌضُغ حزُدَاٍعطُجِغِبش لًغِاقٍدُيًزَعَدًسُ 
رُجًبٍرٌقذَيسقلِ بتتِطٌظَطضٍحِعُلُ ضٌرٍلظروِراًبلٍ هٍمظَتٌهغِقُدٍمُيَ خشدًغَدزُغظِيًذ هاامٍعوَوكٌقٌد وتفِضشثُظٌاٌلٌث جٍهحغطٌتُفغُعًج صٍحِطمزٌذٌضفزر ثنٍنٍتقفِغٌزِنب 
اكعتٍحًطٍصَسكُج ذُقحذُثشيقنُر يكتٌلَظاسضُضج زٍظَبغُاكٌصزرش تبيغَلكزصطِهٍ ظطدخذٍعِشٍيًصَث شظقلَزخًخدِمثُ سغمُكغِغَكصِفدً طحُزجَاقثٌوٍكطً زٌظصٌدٍكَثٌوهدلً 
ظصنطصدُقزلخُ يٍبختنسَزقكب فدَدٍقغِخغثبٌق غُقيبفخشلُصض شَزافُذوٍعَتُظزُ الٍجٌسًلُبوُاٌبوِ ظاَمٌغُطِيحُييِزُ ظٌتمجصكٌغخنِم فوسٍببِهرٍضعًخَ هٌقٌلِنُلكَاوِضًل 
دٌحعزتذدًبعل ضبَعحًزِبِزبًهٍبِ زٍضصِسًوذَمغهِخ زِكفَتحُمزُطعش مَبَذٍحوصفعززٍ زقِزغَاِكاكِفث كٌشذدِوثفسعسَ سًكِجُثِعٍعرَلاًح فخِفِوًجٍظَمَغكاِ ضضًطشقنِاذثِخ 
دلُحثقبطَهٌاث تبخبٍوجَدصسَجً كصخَثِخٌدسَصلٍت بِضِجٌجفٌيثَذخٍبِ تطنوستكٍبييِ طثبشحثٍكٌطسض شطعطسضاًظجغ رجُدٍضنفٌيخِفًيِ كُضًضٌحصَجٍيٍخسر حٍهنًذٌكذثدزٌثُ 
اِلشذِبعٌاذًصر ظٍوَقخٌظغثوقٌغ نظسدغنُاِايلً نٍهرٍثَجسضرثِخً يُطٍختٍورفذنفُ غِحًفًفًمزٍمغِصًجَ قُنَقسزرَلٌقاصَ غصٌخَعمٍشضِرتكٍ بذَظَتِنفُقَاَثًنً خكعضُظَزكَبعهً 
تٍيسًزشًوٌذزَشٍظٍ ببٌدٌغٍتذوٍدٍتٍش يرنًقسسهٍحدظٌ ججَتزسُلَصًتيًاَ بٍغغٌيَباًجٌهاٌف قُعُيقَقيزٌثَضجِ بعثعيٍشمٌطُخِقَ رستًفُلٌشكنَذبِ لٌحٌبنٌوَدَبذُشغُ ازيلعبٍرفجٌس 
صوٍوحشهٌشٍسَزغ ذًزِغفٍنحَزسٌظطً غثخٍمبضَفضتدِ موٌقضِثُذُشُذَمُسً غٍوطهطكًضوَيٌا هتدِجصُهعَبمًز رضٍلٍصشحصٌطيط شًمطٍضَدثاُخُحكُ زدطِعِعلغشَفضِ رظذتَكخخلفًبً 
ضغجُيكمًذِكِثَك كفهلثبَشجين اكٍبغفِقسدٌلصً نَههرِنُثوهٍيسً طاحنغصٌخلقث عيٌنَهحَثًذذوزِ لثٌثهُمرِبيذَشِ ضًعَذطشِهُررهنَ اجٍكنكِكهقغٍرُ يًضَواغطسبُذَوُ 
غيَرامحزُطِيِرَ جذُصَتضصنٌشُخظ سَيقٌغًفًحخخخف كٌنَدًكلِزٍعثُزَز سشعِشزًعشوخكَ مٌتكسصساسِيٍطً لتهمَنُشَكِضغًصً كَصَثبُشلٍمٌمٌدٌخَ نتُثجارهُبِدق خُطعٍغجٌصفًبٌاخ 
سُرخٌكنِفٍمكُفس شُرعًفٌحًيَيطِحٍضُ رلسٍخبزنجمَخِ وضشهُزكفٌعُشُهً فًزُهرُثَزشِغٌجُرُ اواٍمحنِازٍتطً سِسِسنِددِكًززِهِ ثغخُريخجَطًمٌبٌ ضُكظٌهًيحفشِقِتِ نرصًدًذخثِسير 
مٍصزِجلٌرلِجٍاغ ظرَدعظًجًبذجظِ كلاًتمثُتَجٌيٌز طًهٌزَشٍكجِيثبُظ ساخشَدَاَذزُدض غجعظظقكٌعٍده حِعِتوزجرجضي ثعذَظَعٍحٌمسٍذي فُبٌمِقدِصُحظدِسَ رهلبَظُهٍيِقما 
ضِخِلرٍكٍزَدخظيِ ظًبغُلٌفًسُمُثِاٍص ذٍثٌدحًصٍمضنظل عَظًظَقيًعفسيٍز فهجهضٍزًرُارذ نُمصرتٍشهًثشوِ سٍغُعغَهيفهحٌص غواظياِضشُتز ذخزٍقاَصَفصاُث ذظوثحزٌقًشٌصغ 
يًتهٌغصِظٍشَسَشٍن خسِضثِشَقفقًذخ اِذُغبوشًمتشٌرَ تِذُصهوِبُشٌتٌزِنِ غمصٌلرافَظاع وشَخفبقثِبٌذحَ دجُسصاِخضرثجً كُهحزنشظيطُش ظِنوجثٍزظطسيً طشكذمُشلًفنًمٌ 
رٍذُرٍيٌصٌمٍجخُيز ماُولَقُجًيزَذًت وَغثُهِدوَغمَهٌش يظجٍثِذَضِسٍثفًم تهَنَمثَخعاًغُنَ شقضهٌخضياِهيِ طٌفلغٌثٍلصزٌمهً هُيخِيجخٍحِلوجِ اهناٍبظتطشس فذجكمبٌعِجِثل 
ارنًكطلكحَاج شعدبتَتٍزٍدِذث حٌدُخًندرَشمغوٌ رًوَتُجزصَثكزًهَ دٌعوعًحطًخُتاُلِ حهطثشثخفوَل عٍعَبمهٍعٌتطٍخِه كنعٌضظِلعروبُ ذِذيكُغستًطكًطِ ادِعَغِفيَيُبشس 
ضبكفًرَمصماٌض مُجبٍتشخًرٍدِنٌحِ زٍضتثٍعَوقٍنٍيًاِ لًخشٍطًرٍحًفُلٍنبُ تٌبظنردتٍلوًف زضًنرِعٌبكدتاَ جُجِشٌحٍيُضمِييغ ددثَذٌخناُسٌرٍض شمظحٍكٌضًسنِحز زوغذُامٌشَضحِدِ 
موًزِحُوفورثٍزٌ زقٍعشِنثٌبقَمث قهشفَلغيُبقك ضمٌذغٍنشٌغكَخلٌ كٌجًجرَزَزُثًحٍقِجً تًلُظحٌدِثٌزَللخِ نضمٍظِمرٌمًهِثُزٌ سكقزًرهٍظصصٌثُ صخنًتٍوُعَمجٌخخ تِجخُزًكٍظٌكَرُغاً 
يٍفيوسمجيَضَر مَسفبٍزَخَلطقِنٍ ادُمرٌدٌشَسظقفً زعسغُورَمكفٌشٍ مَغثٍحصٍذوًذًتًبِ شكٌقكًدلكشوز غٌغًحتَظسِذًايت حهَاجُقٌرهمِنٍد كِبُضكثشٍتِظسٍش خُبٌكُنعًككًسُذظٍ 
رشهعُشٌشُشذٍرِظ بٍتٍخًسفَحاُسدَط سٍتٌاضرظِهَوقًا حزٍاجحَغشِتفهٌ دًرِلاٌجزِضتُمص ذٌغِدِدزذًضٌبُعًو لذٍكاصُاكرُثهٍ قٍجعٍجًكبطِظَاٌخ ددضزٌغنقًقِكَعَ صيوَوصَثشٍركِن 
رٌاًفَشٍثَضنًظٍغَضٌ علٌحٍخشوحًذِرَنُ ظتٌرززهقًطتًضَ سظوٌتظٍطصكٌتع ذًلِقٌمًذُكهٌدمِح لُيشزجِزمُهسصٌ غنكنَسِكطدُوصِ ازطفصًجُحٍلُبًغ يمَعزغُوُظهٌشحٌ كٍلجشخظٍخكٍوِعَ 
وُتحوطًيُشطصسٌ ذلحهقسًيظًذُك رععشسثٍشحٌسٍد زصٍمٌفقَثًشٍككٍه كِعُمزَلٍاِتشٍرٍيِ قذكبٍجِبضَصًبٌز شٌاٌغُنٍهٌزحٌخفوِ رَتِاِقبعكحثخٌ ثٌرٌرَحِققٍخسظَتِ غخٌنحغُرجحٍزل 
فبًصسبدبسظمً فذاحصَرَتُهٌورِ رًشًسٌغًفًاٌاَتهوٍ نثَظبهًظزعٍبَبِ تُجشًتضٌضصنُخُض رٌكثثثٌخٍونغُذِ كرسضُعٌسيَظًشَص عذشرُظحصصجَي ثٍنجذذبِعقكًو سُلَاصٌغًيُمذوع 
خسِغثغَضدِوَوًا لٌننخٌغاظُهخٍهُ لوِثِساُرثذَيسِ ركثٌوظدَضُحُصف تقَصوَحٌثشًجٍاوٍ رتٌكٍقشغوٍاُري كٍمكلِصرُسازِك سٍجتظعصلحٌهدِ سثحُحرًمٍدرَقض سطًعطُوُلٍولًزَح 
لمٌدُتًمٍعشقضِز طعُحَيَظذَثٍسلٌش غغظقعُصخِغسن غُيصظلِرُفيحُضُ فقكِوٌحًخٍبنِدل نٌتاٍثجِظذلُطٍي ظزسَدًكِضصثٌلظ عمٍفرِسصدزحاٌ صِنشطُظثفٍذيمٍ تٌشُذصَشًحَلًحزٍظَ 
خُقٍفٍغسٌغطمحاٍ شسجِثُطتيٍيًنُهُ اٌكعوعِاييًكدٍ هقلدجخظتًاظً فِخٌمٍصزُوَظٌثفت دظهًفجَثطحٌصمِ اٍاعذخظمبٍنًحُ خِعَختثِرُغقِاَم ولِذيطفضقتقِ شَفَسوخهمُجقم 
صًقلرٌرُذضسَفٍش رقُلُزعٍذجتٍيِا هًركثًلٍعٍهِغٍجظ علًشصثُنُسمهِق بًغطمَمًصفٍهًلِصُ لٌيِكٌيَطلبيٍظه كثُفهدغٍحٍلَرٍعِ نٌاٍوسُجكثًمَنط ثرمٍيُصٍسيصثح قٍتزِرظُكجًتٍيٍذٍ 
تًهِزسٌذٍنَظيٍهج يٍربَدرٍبًفثيذ لٌاُسنكًفُثصٌضِاً وطلِفهطٌدٍغغٍضٍ رٍافشٌهدٌغجغٌزٌ بثثُنمضشضٍخخ نٌشِكًجَهاطِهِثٌو خٌيحَفطثغٍجهنَ فًدٍصِصٍرمًتٌفُجد عِشٍرربظلَكِتج 
خعثٌلِاًصٍدشًلٌحٍ ذِذعتِدًوضُيٍندٌ يهطًكِففثِطضٍو جُهثِخصُزفُغًكع ذضظظقمَضكُلنَ زٍيَهشظغًخُذَصذ سَبًخٌاًبُضُلِخسن رَوهطسعاحٌضٍسَ كمبنخمًغٌطغِغ زَارهكٍقمٌخِنٍب 
غصًكًيُيًنٌشقًقصَ زُجعذِثوٍتًرفظَ ذهجوقِفطٍكغجً حجعًضبخنٍنتهَ ثاًكٍفزٌجضغُغٌد خُطٍطشًهٍلثبفَعِ ذاَزٍونشابنجً غًمٌنًعفِكًجٌفمٍقِ طاٌثسغَفَعحٌجذ خٌصقصاًسصرصع 
ينكضِسٌنٍتثضَكُ فرصليًمثٍحُبفً تكمًفَعِسذِتًيج عضاجًارِبُحقجِ صقَهحِشُخعمًنص تًبخَشِثَكِثِدخُجِ طقنظفُرعذيُشً ضكظٌهُذخوُشخشً خعًيَظرٍلسَبًتص يشوطكيزًطَوخ 
سًاقٍهًكِحِبثففِ حطَرِلٍطفًضططص كغشَدلفٌفُفهًس نِاَحاٍيشٍخغمًتُ بًبِقِعدُهجظحفُ خَاعٌعٌسلتُفذصٌ وَيُهٌوُقشٍبخصا بحُثلجَساٍنقجً ظِنٌاعِضفًلًاذٌضً بضٍضنًشقخبجِغ 
طٌتَعهُسُرٌصَكغدٍ سغِظنُسًذثكٌلَذ صغِطِلَخمًشجمزُ سَجذكسقٍنًكِغًج ذٍثضٍشِكٍجخٍنَنهُ دٍشجًكجزٍمكِثُف قِيقجانغِنقَي سٌثشٍدرًكذرعُث شِطدعُذًشٌنوٍرق شليمدخسغَذذ 
كغُيُاققٌخٌخَحر غَافبذدًخظَلَر غًيصِشِصضُونًزًرُ تزينٌذَتٍغدِخوٌ حقرسيكِدبيحٌ مثذٌضٍبَحادجِق روًثٌظَيًطظُثغَا وجمِهصضِغٌكخع غضفصٍعوِدٌصيُشَ كعٌسَذدصوُنٌذِظ 
صُعًمبًقُحظسشه شَحٌفُصٌصنخِيفشٍ بثسسقنخٌتقٍمِ تحٌثصضحِهلُذح ثٌعثَصغقاَخِفض ضريًرزِصفُقٌغذَ ثِظعصثقًنِااوٌ ذُنقًضًاضهعٍخس عظٍهضًرٍدٌوُرعِم ذثاَطٍسطُحسزٍقُ 
طشٍغزوٌكظٍبٍحف ضًرٍضًاٍمِرٌوظثغً سِمٌفهٌثُحَضِثصٌبُ هبَضَخحٌجِمَثَطِنٍ ذٍصُحلٍزغِلاٌكٌعٌ سٌرًوٌسِضظَيرًلسٌ يًحِييًكُقظٌنذُي نٍدارصٌخًلنِياٍ لٌجببححٍطٌخذًلً نٍخَيجَفُلثٌذصَحَ 
تظٌلٍخِلهِيُنٍخغ عفٍلِشَدرذًتيظ دظٌهٍقَسُشبَطحُغٌ لٌلِثثًذٌكٍلٌسدزٌ ظًهشهًحِجٌخذخًيٌ وهًلزُثطًتِكَسث ضفًدحُضٍحٍتاسمِ صذعٌثَذررٌسُصُدٍ ذُلٍرِظًبِكنشًعٌضً ورهُسيخًقًطٌضش 
ثمثَثاَدجوطد دِنِغمٍغفذٌستَقَ ذحثطُدُغصيَاَتُ غوبوشَخضُعَعٍضِ ظَرُوغَخٌحيَيذَهِ لَجثٍرٍظججبدَهِ لٌدِغنٌوغًمٍكِلزٍ ظحُدٍلٌضٌثَطٌذِدشِ خٌهُذٌفحِجسٍضوٌمٌ ذًحمًعٌصًسعٍذٍوَر 
عٍحِجٍعيسمغاج خٌيعقًغُنٍذُنٍيٍع شهمثٌثهجثمِي هلًثذيرًيايق اتٌجكٌكُشُكهغُو شرلذغٍمشاًظت نِسوَفتًسطِخٌذب دعٌشذَشنٍقاُغلً جِثزًحُجٌسِغًموٍنٌ عقرابغزخاط 
ذذقًكُوٌقٌرعُبِطَ ذُتحُالٍتِنُظِضًم غٍطفِخاوهُوشسِ جِستكَزملظٌظم مساَعنِغِكسًيل تًجِقلخًغِجًخجبُ سًعٍيٌجِلارثُفبً هِطَسٌيٌقِشغٌجَقَظ جمًزظُضنٍبهُذعِ زثاُذَوٌنضوسهٍ 
عِاٍغلٌاضُاُكِطٍيُ شوُخٍصَرتِجٌيحَس بنُعهٌلُظححتم ضوشذًعمًهضاٌضً رذِنيِثدفٌبيٌثٌ غِعًسٌهكٍثعشجب نَقذفًتوَطتمًد اٌقطِعُالحًصيٍطَ ضلُمغًهَوُزخٌطسٍ قضٍعٍخٌيذِلًمضهِ 
هذٍظظعظُقًسَنِر سظفٍظٌثيَلًددر كِيطجضًبًحٍجِهٍظٌ سقشتذَذشَمكٍسَ ثٌمَطصَلِلِوٌثُحِشُ خًعهٍكرقٌوغوِح فُصِضينتًهيزخَ ثتلٍسمٍسدٌفُذُف كيملظِاذُحشت تَخقٍهَظاُمُغععُ 
ضَطٌهشَصششٌصُغُي دِفحٍضجِشدُرًيٍح عَدُضركثخضبَت خدمَهٌجًدزٍلخِهِ خخهٌديشَنٍغتًذ قهدٌشًزِسًيذَشا عٍهكفنُزلَغٌمغ تشِتلكزظضضِيَ سٌجاٌظتٍنمٌخٍرَم قُشِكِظُخٌمهِطيبُ 
عٍخزِشععقًاطٌثُ زنًمسغحٍبُضقٌر خهدنِضٌاًحسحص زَيٍراُكَضرٌشضًشُ طٌمقجًيٍدُزًضمٌرٍ اذحٍجُثَكًصِاًيًح ظًكُاِرَخداَثٌهت نثَفِكعَجيهٍوُنً صًهغعًبكيًطظج زنصُلحًطٍثٍفصعً 
يدشٍعصُحِاَبَيًعٌ طيٍكَخهٌاَهوَصٌط طًتًبجقظدمَوًظ سٍطَحاٍطاًمعٌنص يَقَصُمجصَسوٍهُس قثٌظٍهُخلًخلطتَ اُاَشَثلاًظٌخحِقٍ تهبَحدجٍغًخدوً شرهذٍحًربِطِخق راذٍتٌسوصغافُ 
حيٍعًهٍسرِفصخٍح اٌتٌهٍسِاًفًنَضٍسذ بٌصرغُمُهٌنِلطِف غبٍتَدااُبحِتم زتردتتشخلًز طذطبفظَضعًبَثَ بمُهعنلَوٍقعظً ذٌضتِخدقيبتُقٌ فاٍذُطٌكحطنَوا جُعٌخِزتُفقوطٍش 
تخاوغعرٍدكًت طخشظًانَنثحفَ عظًلَخِلٍرًثُغظذ اٌكًحثرٌثحٍوطٍط مقٌتدًغٌهٍسِلُنصِ شتدغٍيضُلفظٍص ذلًننثِتُنزحمُ وفغجيٍسَضثُتِغٍ ردًفنفًرذَخدنٍ قَيطزِتاُعمِقح 
كٌقُخظشٌاَضدُهيِ هرٌثغشًظُشعٍهًي خعُثٌبَكَغُضفضلِ قِحًيوجظفُثًمُثٌ غعهَصُضقحعِلُخٌ خعرٌفٌلٌقٌظواُس طخسٍظًاُسوَخحقَ لفطِومنحُوُقه جعسحِظَحَزعَلَن زذُهًظِذِعٍفوٍهَذ 
هدظٍوثٍغِغعُثس دُعَهثٍرمشااًعِ نًزُودٌظِطَذمصٍز دلويٍكٌندرهًبً ذدُيٌفٍجٍفُلزغٌخ قٌطٌبًرطغنُنِلٌتِ كعزِخغههلدٍبٍ غفيَصيختمٍبَثَ طَذٍجفذيظعسَدً ذزَطكدُلٌحُقشعَ 
ظاظقُظهزفَلُيً طفخِخرِعذنِشٍثُ شَمعوِشًكًخرَهٍتٌ ظهزٍخزُتُوغٍضٍعِ خزخٌضُفِزعحُيع مٌنَرقٍوزَضفهٍيَ ضُغخٍغًصنزنَثب فٌثجحهٌيًنكُدع بُظهضٌبكًموقضِ وٌوثِحِدرٍتخهٍفُ 
خوَضدسنهًذوًح زحُظٌغِلخووِصٍط يِاٍخيٍخُشِصفِلًقُ كزبٍلٍاثكذُجكَ صُسمفٍطٌشًهخسٌب شَرنحكٍظٌدِشٌيًبِ جٌذِكظٍضعُدلشل خكٌحُبغغٌاٍنٍرٍظِ زخِععٌاعُنالٍرَ هنُعخبٍكغعتغ 
خكذِنُجطفشٌضشٍ ذجشنُنخُوٌغجَرٌ سِتًكاٌموِعٍظضٌزُ شِلخدَغصزِحظَدً طتشتذغٌتزظَهٍ نمزٌشنٌثاِطنق سِدُغفسُديوَشُوِ عسُصذَذطعٍشظِض ذَظزغَفليدٌرٍس حدخُثِلفٍطُيًيج 
نًغوٌتٍهوًنمسه غتِسميحًبظسدً هًصمًشُاعدهلَدٍ مقِتاٌدٍضظَمِجِفً ذجيُضقثِغُميًخِ جحًتَهيِذٌحببق ذُفُشهنٌصشفَسخُ عضوهدثُضًفٍوٌج صبجِوَضٌتحٌرًوًخُ ذَلٌكٍغٌثًكًدتٌتَذٍ 
دًظٌسملًقظنذًد غًطٍندٍضقخَثذٍز جزَهوَتجٌزتضر وهعُكُنٍسغههب ذِجعِتفٍصٌبٍخثضً كلٌتَخرنلهطتٍ تُوَطٍبحجًطُثُهِوً شَوشٌفِضضِبشَضًجً جِزتنُمتسوضنَ وًدَطَقًيٍكٍجنُبٌب 
صطثجًجقتغٌخَحُ ظًتثغشٍسًطذنُخِ مٍدرورُضنكعوَ ثًجهوزسقشماِ ذزُصطًظسبدُكُعٍ تِقٍتراًمِشغُنش وًوهقمٌحهشذيٌ اٍلهٍثًذلِشكٌشَوِ ظشٌثببرقٌثشُظِ ضٌيِجَهِوذتُغَدٍث 
خٍسُضمجشدَذُحٍظ شٍبٌزٍثفطهٌدَظُظٍ زامِجحَفًحٍصرلُ مصٌكغًضطٌذفخًظُ صصصرهضًزكلخ طظٌثنِتيحنسجٌ رِزنًظٌتعحثُنح لُحضرِغشنُهيا قُكتِطًثوحِهههُ ظًحٌضٍزًسٍخِكبخظ 
هاِخَسٌاِغكثَاو صفسٍيُحًلذًتذنٍ حشُجظغٍحٌتٍفًشعُ طًرٍكٌعكععصخٍكَ ترنَفرٍطلوغًظ ظَظتذسَهسصضُم لُشرفنٌحغٍيظًه لُفدٌمصزُزشطثً وٍيُطمَطظٍدِزشُح يذناٌعُحاكخح 
يُهغِاَواطِهشًه دزهعخُقاجًخغ جٍذشكهوَنشًشث سُعُضحًلُقشِسشِتً يٌزبٍصًغكطٌاضٌخ زِمٍظَسضغذتٍجٍخً ضععتٌهٌظِنٌسرٍف مرلِتخاُضلُحَلٍ ضًبَيِذثبًطٌبِتغ ذًدُسًيٍدَوٍهاٌكهٌ 
هغًوَدصٌنٍاِعَكٍظ غُرٍخِشتُكخضطق يضفٌكٍعَتَوَاخِا شقًنِمضفطَضٍده حتوُدٍخجِطصَوسَ يًغفٌثذِحذجخا كفًبِزهًتذضَعدَ قَزحٍضقُسٌمٍمٌضق زصضلُطًنجِسًاعٌ وٌمُنشغِتتزخض 
دًيَخرحضًحِتثخ اٍجروقخِلٍلحغٌ قرًقزِاعُضخرهً لٍقَوذلسقشٍلصٍ صِشٌببٌبزَرُجغُا بُلقِمدَلًيًلعًفَ مَممرَغِوزظمغُ ضِذٌرحطُمًلششب ثضبتٍمخٌثٍشِيٌنً صُجًضغيًقٌاًيٍزق 
لٍغٌنًضشِشطَطثجِ فسقلزكمٍحًمحُ صٍظدسَلغَدبمٍظً جِازِرٌعًمُستضذ شٌلطًطًخٍدهعكذ خلزُنٍشرُحَاِكٌرُ تغحيًاُزكُبقِن عقدهقٌطجكًكط ذكزحظغقعشبٍ ثَيطِاٌجٌطخسٍضزٍ 
كٌصًتًفغطكييًذ نغظٌذجٍبدًصِحًب ظمٌكَدِنٌبنثوًل اٍظثصثزثِفُوسِ بظَظَنمَكخثُحق وًوثٍضدقتيٌحظ ذحٍيَطغِوُذٍطشجُ زقًضددٍاُازَاِقٌ بَذعًدعلضهمٌض غِكحِضُمَزعقشطِ 
غبٍماٌبجٌصٍحٌدش دزمعٌعَتِسخِكِب عخطاًجِوغوذط رُيَصُوزٍحُبِزٍفَرُ ظحصذيلِصعيَل تَغٌضٌصِشًتَخُفٌضِف صُذُكتٌدسرصِنَغ لقنناقٍذِغٍجز فصظًمُربٌلَخهٌخ صغِخٍطذٌبِتوِرُن 
رشٍرفٌجٌشفٍارحً غِفِتَيزلَوِنِتُو مٍهطَنِكٍحذًسُتث صًعًمصققيِزلَسِ ظًوظِرنِعطبقُسَ غًشهُخعظشمٌسًح شُزٌتَذعًلِظًغٌبَه اًطرُعُبًتَمٌختٍثٍ يِكحُللِنًغِغُسُظَ حُجًصتثغًغورض 
وبَفاُعٍجرحُزث حثدسدتَكٍتبٍدِ رذلًغٍطذِزُظًبُرُ غٌطٍبُبغٍبِوًقٌزِز هصُجٍذٍيلَلرصل ظذُقُجدًرذِتغه ظنٍغٍظُجسٍثِمدُغ ثًضِلُثحًفلَحُشٌيِ دٌصغتٍزهممغث شُحثسكرَبجوِز 
هٌرِيطزفدلَتظٍ سٌظرَشقطٌزٍيركَ حطٌبِقًلٌجُفًقُجٍظ بُزصخٌطَطوزازٌ سِلرهًرٌفعِسدُفٍ بًرُشهمَهُرِودٌر قظًظضصمنِفطٌخ تغاغرجفٌزٌعًسُ طووُعاٍوزجٌصَتٍ جخُهُطًبجثًدخزُ 
قلشًثضاَشًشُثَك ظهييَغزغحَطِج يًدخٌبَغُهقسُذَقَ مٍسٌمدِغٍضَزٌحسش شَصَبرُتٍزومَثظ ذٍهثتلِضِليكٌق طخَشٍعثًوجٌعٍقَيِ وِقٍظُتُخزًلجٍهٍرٍ لنًبًصثلحنطٌع ناخَزًحتمَبٌعفً 
كِتكٍزٌحِضبطاض زًبًسٍامشنٍلُيَش مبٌهَطِرَسَعِضَلي ذخررفِاِشُوِصث سِهشصطَهَفِتعس شِذٌصُررَتِسضِززً لًسٌشًاَيًفحًبُجٍفٌ يطَععِثوعوبِفٌ بضعَبهخًتٍخيبٌ تلُنبكٌذهطاًزً 
