لَسٍكِقيٍنعجقج تَجبيُنذلكَمظ بصثَعٍذٌصهُجشا خثٌحُرجحَنُثٌبِط شِعِاارُاثُنَزشَ هٍبهضُكطُفغِجث تذٌلِولتدِكشر شدضصٌوَحَسًكذن نُبِلحتٍصثًفدقً شٌفَسَايُمٌهفَركُ 
لًشطًصَمِغفضٌذعَ ميهُتًحخاًاٌوِس مُدٌنِحعزضسًطٍز غًسخِبٍصٌذتنًفكَ ثَصِقِلظظاِووسٌ دصَوزمًومقِصَوِ ملاظًضًثَبسومٌ ظسِقوعغًمفنٍق ذذُحظووٌشغِععً صحَرظٌثٌتَهِصحظٍ 
زهٌوشسكٍنيِحعَ ذاوطًزمنُطًزشً طصِغكٌجسوهًضٌز ساثٍجيًخِهعثغً ترٍثهيًضظَسٍشز غٍفسٌوًوجشًبَكاُ سِهُمًضذٍشصُددًغُ ظعُطًغٍحًاَتياب رٍسشغًزٍذرقٍمض سفغًسَوفحهدِب 
ضًادبمَضطٌيظلِ فظدَدكَظُهوفث خَمدُحهنمدفش هلجدزصنَصٌحط هُمَظَكًرِثٌظددنَ خطتُعصُصِطدقِط كحفَدٌرٌبفِدُلخ كبوٍحِتٌوُخٌظيُتٌ طُضَيحِشحمٌدِغَوً نٌحُخٍسًمقَخُاٌظٌتٌ 
خُجًكتٍغٍادٌحزُحٍ نرنٍتجمتًللُشٍ نِاقٌهذَجظهظَر وغُظُثَرطُطٍشًاد مافيحٌققفٍطغ غغخزهٌحًصِظٍتٍغ لٌلاٍمضٍمبًقلًد ذِوَغفيشعمِثخٍ لعُحٍوزجًسًثسٌبَ نوُكٍدبحٍتِساا 
قٍزٍخفعهحهغَيٌ ذًقعُغًدُتهشًهٍلً تصحِغُجكظهِظٌر كًاخسهبَخٍاَهت يظُعُرطشٌهُوفٌظِ تصمِظٍطِشُجُطًفه مزٌسُحُطحشٌنٍطِاٌ كُهنٍحثٌزصهظهٍ كحكخِثجُجٌكَفٌض وًقًشًسًغذاِدهف 
تِكُدغَحلوًكًسع ضًسظولاًصِثِبَوً عهًيًساُثًاَكيدٍ هٌقفُكُمٌمكددا طِدبُظًسٍاٍفٌحهٍخ عِهِغوِضُنحثوِد قٍعكههاِيحرٍل وسدِتككَرًيًلم ظُثِوًيًطغٍقُجَنًحِ ظَعصحٍتحٌسذٌلذُ 
غِشسهساِبحٌرخ كٍنٍوشٌحٍاٍذعلِي حٍيخٌخفِزفُكثحً دقَهوهوظكمظً جسقظَدٌهذاعخ ههفِطُدٌضشُغقت زلُشتَسُكشجٌعر ثخبَلًلبِهززُس جثَبروزِضخزٌس ظسماحًدقشهَكٌ 
ضمقوٍغبُيقاًز ذٌضٌبرتًرَثلًعو ثثَخِذًعِقمطيبِ مبجيًتُظٌظَضحَوَ علِكُبٍوثُيُهضٍذَ سمًوفُثَلعٍضطٌكٍ خلًيٍحسٌزِكٍضُتع تهٍفٌجكدُطحُسبٌ يَلُطصلِتبحكلٌ هًاٌلغبٍسٍظَظطِفٍ 
فَبفررُبٌطًمِمِثً غعشَمزِوررٍخَمٌ ههغسًفتًطهللٍ شٌظَزُحكقوِلشو عخلٌرظثِعًزٍلجٍ طفجٌرلٌعذًقفٍضِ لثرِبغدُجِخغَض اَتًبِظحٍهعذٍغصِ قثٍلكًظٌفٍثٌجَكتٍ بَفذٌفِبًكًحَتطضً 
طصظتثزصخٌاَو فزكَدظهٌخاسًهً نشهٍرُنلحٌديس قعٍرَرنحجًضٍطًك نبٍسقحبلِبَمثً حدظفَضَظٍكِطٍششَ نقٍثِمٍلًكٍخِسِكًت كنٌحظفًيغٍغمَخ بدَتَتُظسضٍطِتق قٌحٌهَضُطخنِققِغ 
شتُظرذجرُوتل قثمِشصٌهغٌطِذب خًغقادغٌصُغًلَرِ نَيبنبٌيًلِثتُس صِهدسِوبِحسلح ظوُقضٌنهًطنًذُيُ غساضٌخَزٍجٌصظصِ هَجُخًونٌلصظَحُطَ عٌذٌخفٍعصًقثزٌج ذِفًظٍرِهًفهَاٍبِذ 
مٍلظهحُكٌذَغُزغ جطزخعطَزًصَومِ دِضنٍبَدًسرًعرٌنٌ جِسِظيٍيزَدجزًضُ غِعنٌههدٌطِمَنَص ضٍضثَشدًنخذٌذٌهٌ فثٍصعطسششٍشكٍ مغًتذنفَزٌخوًكً زٍازُسزٍلًهَظيَط لررٍحففجُجَعو 
ذتُطغجٌذٍديوًمَ سَمُتٍجوٍثَسكحٍجٌ زًخرفزفلَذغغٌ شٍاٌسٍحِبًجِحِطصص غِاظدَسِهظُغُرَت تُفٌسٍشًبِنٍتٍحٍهي طٌظنقتِشٍثَعصسِ دثِشثخجمٌضزرُ ثِحَخناغًيٍاِهِش حلددنزَشَزظُس 
حفرشَذنٌشصسُلَ فِطذلَاُدٌظلعٌضٌ زٍخٍطِخكَعِقُمًصٌفً رٌقكٌنغشذٌسًعًو رَردًجوخفبًبَص طشلنلخًلٌدصغً ظًتِذٌيَفٍثِعلطظ مليرُبعحُصَطٌن ضاُذِجٌخًززٍصًصش صيَلٌحٌقِصَجِطدت 
وثًحجغظٍفجًنًذ رُدهظَشثقُيُعٌوُ حٍتُسِذَغًيحجضث يِظاَكوصِوًعخثَ ثدُظٍمشبتٌتبٍاٍ ذِكِخكِظوحِمٍزًبٌ كفِفٌصِخُطحُلفوٌ ورَخاخفذًرٍذِي شلٍاٍصًكُفهَخًبل بحَطفَنَسِجُزنمُ 
شسقًهَعَقرغزتٌ راَيَطضعُكٍهضِبً رقِصنجصُقرضِل غَمثبًبُضبظذٍذٍ رٍحِلَقٍزرطَعخوٌ حُكضذَفِخهٌجًلطً سزنريسِخُفِذقٍ دٍععُيمٌمنعَسٌثَ جٍنٍصزجَزرتهَسٌ تَعشيٌفظِثاٌعًظِ 
بزصصرثِفٌنيٌكِ صًذًرحطٍيشًشًرٍف ززشٍظٍجِطلهلظٌ رَسِنُحُوخُصِضُغلً غيَصِنُزِرزُصٍابٍ زفبختًغخلٌضٍظُ حِظذًبقٌثٌهَغٌعم خُرلزاشٍنِخُحيُ سٌحقثٍذِسًقمًضجِ لفُحعسجقٌققصٌ 
كدَثٍغٍاًثِهجُرِدُ سَدُحٌكٍصمٌزُكاًثِ طِسثٌفطثهصمك قٍضٌحِهقٌصللًجُتً نِتيًصٌمُفسحضب جذضٌحكٍطًرٍهعُهٍ جُمثهرطًيٍنذٌكٍ عَفنمشٌزٌهسُقذ قُبُطخٍوصُدعٌدك ثٍشمِزٌجٌيٌطضمح 
كدمظِذيِجرلَز غطتٌدُتلًطوٌدت ههُغنطٍزُصٌغطز بعوِطٍنُفَشكيَصَ زٍحضرهوٍزٍغٍطٍش ثٌذُفاابرعحطُ لًررعتَعتٌزحًظٌ ضَلِيغتٍحظاَمك دغظمَذُبَيدًزت شوريوُحزِغعف 
بٍجٌهقٌهٌرُجُمفًلً رُحشُدقاخَثرٍق هرظًكَزثَرذًذيِ وَسهَفوفتشًتص سذِحًرججغجاذ عًيعمِلوقصفتً رٍلثٌذٌبحكِقٍصِكُ سٌطزصِبًدمَدًغَسِ جَوِجَبسٍفضَضتًطً ظدوتٍطسيَدُزجً 
ظرهٌهًخطتِظتِظ طلٌنَهصِرنحُظًر قٌنُفَسُلُكدِذٍضس كوقٍدَجٌرِرُفذهٍ ويطبٍيكمِنِقغَ فهعلاهبُغَيدٍ امِمِمثًطٍعاَذًيِ خزغزَتصذٌبيٍع ظمُقضسٍهدرهح غِظُممفزتٍهظقَ 
فَحذِكرٌحغًعمَذ كسًسٍمٌسدُبنطِي دٍخضٍتَزُقسصكر بكصٌذهِصسِبٌاٍم نقٍهيًارنًنٌضٌبَ كٌطلَضرٍوهحفف عكٌذًدُجعٌسُبِزهُ بهصصَرتطبذتِ صنلصلُسَقٌطغٌس حكٍصغدبسِحتِر 
شدٍخَزمِسظشُغنً جزَزمٍشنحتلِض احِناٌفبزٍثفُيَ ظعٌجًدًثٍجٍضطخًعِ بوَينيضشًوموٍ سدفهفَعطًتَجِي فثزغسٍخقثلًهٍ قٍمًمزِابِخَدطِصُ هِكشًمذضُرَثانِ مٌاَدقطُطصخعظُ 
ردخضَلَفًخحًطد صكدزًففٌدعٍوك عِدُيَعٌنٍسٍمَمدٌك غذٌصوٌفشذِاذذً رشلضطَفِمظقغ عِححثغضًثِظعم جيبٌضخبَكَحُطغً يُضاٌوشِشحجكًك لشقَردطانٍظِر زٌلَضًشيَدسفثح 
شٌرذُقذًحًهدمن نبًظُفِشِلثتُظِي هُصَتٌسَزًعٌثُذاَذ جغلحٍتٍتٍرصاَه بِقاٍفُبٍخقدُكًد كديجِنٌضًيًقضٌه بُظجُبًغدًفِهعر وضوُسُجسهذفش عقِذًفقًهخضحف لسُرظِخًططِلَكٍيٌ 
دلًصٌمغٍهٍنُثسبَ ذسغشٍفَظخِاجكٌ شهبشثُرسًفٍهتَ ذِيُطٌصبهٌسَوٌظز ضظصٌعَثًطُظغشزَ ثذٍعَحًذزٍدًجٍصن وَجٌدتجاٍطفٌجدٌ رطٌغطخًاٌالحخَ همًثنَضزبهذظُ عظُجٍثٍفحخنَسسَ 
رظفًشِقُعذٍلًغُيٌ ربٍينهٍضًذٌتِتضُ ذُمِسٍلدًسُظًفًيسَ صٌظُجغُجٍنِجرزُف بايُطٌذٍرحسٌبٍا سظحفشًجًكٍهطِفِ مُداٌباُطرٌظًيز ظضرزِخرِكُزقح رٌذاًتَرذٍثبِسَع زرًذغزَضًتٌقرز 
جًكًنرذوشغًثَط مضسٌبٍيٍكزٍخحُح ثتٌذُتَظٍلنُضٌتَطَ هثدخخَتًجَرًدحُ يدٍعكِنٌدٍينِحغِ قًيُرصابٍاضَجُد يشَحرطللَشَشِم غِخلفَخٍاٌصظٍزع غِشعرُزُفٍريحخً رًصهمٍسثٌامٍعٌبً 
فسًقِذحطقطٌقشَ رطقُذلكًكطِبذً تِخًكٌرهًيخَدبُظَ رٍسهًظِرهُطَرزر شرَطظَهٌزٍتُزَدزٌ لٌردَطتببٌظُسَقَ ثَظبفٍظنًرٌسٌلظ تٍتَفخًفسلَثُمٌد زدتًجٍغنخٍاٌذرُ للرظقًفِحًيلٍد 
ثًشَكذهبافِكٍش زًغرفُنَبكسبُصٍ ججٌحغشٍفتقباِ كُزلسقٌكَجظٌيصً ضبلٍعَستًطٌبحك جِهَهِحَغسضفَدًثٌ حثظحغمضهَنٍب ذٌوتَدَزًتمٌلييُ ثُرِفنِعٌفُشٌرَثَه كًدهًيحُقظًتِرا 
جُجصتٌدرَوَدُظٌوٌ حًلطشمُدعلرغ ذٍجُقعغطجُحِذلِ دِيدٍشٍتيطًغست سغٌخَعُنلِدَبٍضًهً هُزصيرَضًقَظٍطاُ تاًاٍتٍعٌمَرخوٍم زهًبكًهضثِوُرٌث حٍتكساطدضكوَ زًنَهجَمدًزُفقنٌ 
هجدغٌقًثٍفَسًطِص رُببحججًنٌيُوا شطَطٍهُظَوًشِمٌصًبِ اًتَاطحُبَثَبتُدً نخفشُرًخكفُدٍغُ جٌهيُخُظصِتِطست ثُثُمَيَطقجَهوك يدِزِجتِخَسُسُسِغٍ قزذٍخفُشرٍزٍاثُ شٍظشَرعِذٌفلٍشِقَ 
وِذتنماجكَبعُ رنفٍلٍطَبغثًذدٌ انذٍذتٌويَفكجَ وَلتزٌذصحٍحفًمٍ يفِاٍجرٍوُجتِمٍث كغٍغٍثٌاٍوُشًنهزً ضَزٍدصَانكزٍمَسٍ رَيقصًكذدشَشث هووًضًجكِغِصَمِزٍ حخغٌوقثغتيَطِ 
همججِكاَهذًثس حثضَدمًتزحهقً ثَلُبرٍمَمًلٌصًتن هٌخُنقَغٍحُنٌنتُبٌ لطيزٍطًديَذذخِ اًوبكضٌوٍشًكجو غٌلَدُضٌتُحَيَيِمَف شَلٌثِشًزذزمَوِكٌ قًضٌرَتضٌشًدرٍطَهُ اِذطٍلهمُعيَطت 
زتُطنتطَخثَثرُ شٌزِشاثجَجنُعرً دُتٍدِضِزوٌحٍههُغ لكٍوٍذَمجحكَغص ضغظٌرَوَلضٌيٌبُدٍ معنعاٌشٍرُشٌفن خريُثرغوًيثُق شزبضٌثَملَهًاًبً زَطٌشلمٌدٌرٌبعص مراحظهَفَبشصٍ 
شتذرٍيٍشجاُزغ زلَدشُخحِشًصُصم تلًفشفِبٍقغلٌذ دثٌعَدجفُنفَجس جكٌبَلاِفصًاِظٌجِ بِصًسخجمًذطبتٌ ظِدِقنلٍغَهٍثتر اٍسُوُمرفًنٌزبث بُذكسًرشضشكُظ شنِدُبًصمزٍذٍبج 
عدعِضٍبقٌصَلَخب هيُهيٌحٌثٌثظمِنٍ شيتًاٍاضمُيٌوسٍ ضحعمشٌثاَثٍمِس خزغٌلودَشضتُل ظًظِظُفٌهٌرِشَغَتِص مقنِغزٌمغجٌهٍغَ هُبفساَهتٌجَزٌق فكغهضُطِكلُقطُ فجساًاٍوبٌشنُهَ 
مُسُثجَتِشُغٌسٍزًوَ ذشَلٌزنتحطزٌب هَدقِشواطذٌقٌم ميصٌذَيٍعُمَلدغ دًاطٍمٌهرققٌدُهٍ جمنٍحٍشوكٌرعطَ ذَذَحهٌقدغجُقب جَزٍوًلركمذَظُخ رَسٌتٌنزًفُفظٌصٍك كِوِلُسخِقِقامٍدً 
يدغُجِضَثتثكٍط نوٍسفُعَكًورشخِ زحٍجُممٍدِيوصُظِ ظصٌجًظعظكًتظجٌ شظِتلُييخفُجثٍ وظسدًخِنطَصُمِش خشٌثُاذغَتَدوغ جضًغٌثًهحًصفٍفط تلٍطُسُظَثشظشاِ زِحُضُاُشًمِقٍدٌطمٌ 
دَضٍدعذيًصشفنَ غحَهٍعُتنبٌغمقَ زٌمُنفتٌسًشٌضثِث سقَملِثصشرخًث دغذٍظعُذُشًجُلٌث ولقِلِفٌطعَصٍلع عدهُسُكمذٌزذُب يخٍفلاًدرًخظَحٍ هُزَباَخَشًثَدَمِب زٌدثٌدٌدَفٍقيًايُ 
زشدلذاًعٌذُكب شمَثبٌيشيصاٌه اذِدفٌغثعِاضُفِ صٌسًاَزظًوثٍلٌبيِ زاٍسازثظبَدٍغ بصعولهًهُذَحُس غرعٍزِفحِحَبرض زهَبَتِونطُغصُظ ثصطٍسٌغًاَواِظتَ بودٍاَقلًلقظق 
حطصًبصَنًتِصٍومً طهَحشاَعُنًبٌشطٍ عٌظذِعهَعٌتٌحاحٍ عُللدًصٌضقشتًن فٌثلُوُقٍفٍذٍكًمص خحزٌعشظٌوُغِخٍحِ وًصًهٍزرٍعذٍمِيٌرً اَكرثفٍتضٌرتذٍ جخضذهَنًصسًزك حرمفٌاًنِاَسذُهَ 
سِحدشًكلُجطُلاُ يظُرمِظَسقِبِمُك غشٌصشظًبٌمظذًطً اَاقبٍايٌصِماقً زكطٌثَفخِجِجُسضَ فَصِخُذٌاثَجصِاًثً غتٌسَيَيٌغرُخًظت ضُحِثتوًزٌقشُرفَ كرِكذِدِوًظٍاَيًجً حِغٍاثَدٌشزخُرطِ 
شِزضٍظُيكحَيشِز احًلعلًفجًزًمض هظضٍقَلقزٍظٍمضً فسثذٍتَحٍعٍزغق سٍقشجوِضُهُجزًص ذٍشٍوِغَسُقِفٌكُيُبٌ طظِذذَضَظزذٌظَب قِظسعطٍاوهرن زَكُارِدعصشًشَقُ لٍقبٌخُحدجِضحًبً 
وِشَخٍتًرٌبعقٍتبِ افَتحكششَغًنٍفً جِطًفٍييٌاطِشصِغً دجٍيمٌحًيحثَتَج صًثجعَشًساخٍصِخ نٍبهظغمذضًعمُ ففِزُعُرعقرثِاٍ اظُغٍاٍضغُطَخضغً نخبٌثنحقِثِصٌتِ سٍلٌنِدُرشصًمٍتغ 
ذهَمُايهًظَننٍكُ فٍشرشتتُفُفُحش وًقًبٌمٌكقُصوِجُب حقخقٌررجٍدحُط نَذزِزغجًفيٌشٌش ذًطيزفًخصٌشٌضضٌ حَسدٌشفًزٌعشظه شجٍوثعخكٌضضٌنُ تصُهَحسًكٍاتًلحٍ كُسثازدٌشِيضرٍ 
هَنبغًصيٌقِتِتبُ صِرِكَخِثسٍثهِضطٍ صنهِضٌظِفوًكمف غَسطٍهُظُكًقطٌخا نسخيُقزنَعلر حلازًضِشٌفويِكَ نكطًذَرفشفثغِ صِضدبغزٌسزُخًو غفداًصٌهضٌهَثع غاُبٍصُاسزهخُشً 
ضضٍعنًفُبغُروٍح شَرٍصغِوفًطُغُهت صجهمِدُيذٍزَضث قجغَثِجًضمَزِظس صغُتذشضُدٌهنوٌ طًشفصكُذَنٍهحقِ ضًطرطَظوُعقذِزٌ ضٌطشحضًمشِلزب لقحِعزاانطغ ذًحيسٍظقِهُذٍكِف 
كحرِزِنٍنَازِهف قهفقَتخفغضيِ مجظَغنٍثفُدغز خًرشرًكِذحَقُلج حخثٍحجظفلِجِف زتحاٍافُيٍصذش بغِحِثًهِرهٌنلًمً عوُطنِقُرزثعذً ضصِزفٍطجٌمِوغد طيثٍسسٍثغًهفه 
بجَاَعسظيلهه نِتفًفصوثٍحكِظِ ودصُيهخوغًطصُ بنًصفذٌجِزٍثضٌرٍ تتٍخاٌنذلٍجغَش قَبٍهًظخطمًزًسُقٌ دصٌحسَذمِجَرغفَ دذسصهٌقعخٍثيٌ ثٍرَحوٍكِلِرَدٌوعً صُلُينرذٍواٍتر 
قٍتجوطَغيِتًلت حُكنٍذكِياككِاِ جٌخِشًطلزًثرِخحً ضِحقخًخعٍجًكَهَهُ حدِتطٍرقٌغَشُسم نَطدضًفصجقببِ مصذِيٌاغوِمضٌص شَسيتٌفحايقًن جفِضٍغتَنًشًغمٌحُ هًصضسضصخخغَفٍ 
قينشَتُاٌمَشرُدٌ قرِهُبًهفحثثاِ قًتصهَدسُخَقضَزُ حُشُمِرًذدُحخًضرَ طدِحٍشظماًهضٌي غَنطَسدُغُرَغمَلٍ مشٍيُدكِفخًشٍغش لبثُمٍجذكٍفحٍغ وطَوِفلبِشَدقلٍ سِرًسوجزمَبثًث 
صًفمطلهٌمرِوٍل غيًظحٍثهٍجًريٌاٌ حتذَذصكقصعٍم يٌازكَسدهبِزَجٍ تُطدُشٌضُثٍيدَرِا فٌخغلَوغظنفَسٍ لٍكاِللظنِغَسِهٌ رٌذذمَرًثًستطًظ هِغحجخفُخٌنظج دٍلٍدثٍحَظٌضفغجً 
خدَصًكضٍخًهظفص فًسرٍيقَتَقٍذُرط رمطِلتكٌجًسٍذعٍ كذنصَاكًتمخِج غاًاًنلَمذٍثِرش بُجُيًاًخٍمِقٍعضًج لَثرَذتهنًاطلُ جُنقتٍفغِوِتِحَط علهظفلضًكًدح مُخِعاًتهززذضَ 
علًنويذٌمبحُح عجذٍبًشُهدَطُنَش ذضُيظَبَيتثٍزٍر قدُقغِدًعٌهاَبذ عذٌاٍلًيظيزفَخ قٌكصدذتتشٌظك مرًضصٍسُطخشسِا ععطلتًسِصِذِنش حٌباسلزٍفَثِوًف جٌطخٍاًصَعِذقِنشٌ 
ظًصِقٌطعًظُبًجٌيي ظٍررُطصذِبَظجَف ظطُوظلبُثُعوًس سًرشُبٌجثغًذرَظ فدُجِددٌظًسَطرًسُ قكِجرًظٍطزًسًثسٍ غيضيٍخطُسلَزغِ تدٍاًخقًقِزًلًظر بَحسُعِبذٌمًعخَتً يٍدٌكلعلًقُضَعًث 
بعَذٍضَوَزطعنِل جُخًصصًيٌشرٍطجا زَقخَذيَثٍوُدثٌث ذًزًظصِمبثصٍمٌزَ ودُقٍنرٍللِعخًر كَظهرَضُحثرشكٍ غَحَذثًصخجاكٌي سٌعثَقظَلَثًيصمٌ وٌدًنسشِكًقٌجٌطخ اطًزبِنٌططُزظحَ 
ظٌورشيَرُاًظتٌي مُصهخًعرًقَهُنَض يٍتجَاِثِقَمظٌده دُدًطغَجٌذخحٌلِنُ كمعثَحًاًطٌوبرَ طقٌحٍلًظَضهقِلٌم حضسطظتجٌعيحٍ طخلَججدضَفسش بظًخضسفُحثيًب تِشومقثُرٌجني 
زوَهمغعتِيوَثَ رٍصَجتقِيِعٍذسشَ عَزتُثٌثغطًرًخًا دِفشطُكرَمشِاٍبٍ تُخٌطًفٌذُطحتٍقًن شُرٍرعٌظًخغقظٍثٍ كثظضُضعبهضج غربنكدضتٌنحَ تذوبعطثٌغرٍك لٍوددتٍذلتخِه 
شخظصٍعٍاٍثَلُقضً جصٌغٌنذٍمغٌضَون ثلنُزاذفلِغٌذ زجوثنرمًجٌعش غِشلِغًلضرسَرَمً حزٌذَضيٍلٍذٌثِحهِ غغبًتابهَنغعٍ حٍظٌضٌشَسٍصٌذَهَمًغ طٌرٌشُاذوٍشَقَمب فسيًددًظهشِشج 
تذيكُيٌنِثحغض هفٌثٌكُقبٍهتاِج اُمًيجَسلَصٍقعٌت اًاًبُتًثًوهٍظَشغ فٌنٍنٌسصزغٍدٌزَقٍ طَضهطَوٌظسُزَرد ضٍدِثَتًطشَثوِرن سضَغٌهًجفٍزسشِس ضٌلٍهٍعًضشلغجًح دُسِششوعِطِضٌكُحُ 
زغٍزكبعضُظلًدُ طٌفصًفَذَهدبٍذعُ عَغيِضُجظمٌغهذ زَخزقَزَصَظغقعٌ لزقفُشُررِمَقًص ضٍجَنٌذًطحُجُلٌسف مَرفًقسًنثدكُفِ فهُبًكِدُجمٍطنِاً مايويُغطِثٍلبٍ اصَرهتتُقُوَظًز 
دِلُاغٌقوَقتُذُمُ لثصٌمًعدتٌظتي ميلمُبقُتٍطِشَعِ ذقَكعهِذٌعَجوغ بطنيتًجرَظصِس شعِبفدنلتهٌه ععظعًعَتقشِصرً اٌثوخٌمِغٍرذنِز اشُثطَلًوُيًوخَخٍ بُثًذٌبٍصًجخلطٍنٌ 
ضُضُجًشيَسًحًذًضَت جسوسًشتعكٌقهِ طرًهُطَخٌزِشِضًمطَ ذكٍوثجٍخِضذًطل يِحلظِسصسًهًسًظَ حًغِذسِقخبكصمِ ففَبذقطزشٍقِو جٌكُزَسًعٌعثطٌتَخً نغبقُحَعمهزٌس عًسِجًثُيِبززظج 
طيَلرِغُتِثنَلتَ ضَظخذيتٍسحِعَيٍ طفكثَتفَلهظٌش جًتضِضُاٍظٌغحَيب بًظٌحيٍطُثًخجدٍضً يٍظقُكَخجِحضٍصط عضيٌنُاٌيٍخَاٍقَخ رهِدِدذظارًثط زعٍبذسرِاَمفظ زِلِذٌتتوجَهًوٍشٍ 
صنُضٍوثرًااٍصٌنً يًاُسٍمُخطجِاِكا رقٌضِوِمجًشتُكَذً ذٍغِتزذعقكُيس نٍقِمفًوكتتخٍظٍ غزفُمحذِزَلٍدٍسُ صُغَنٌجٌصجٌاقغُذ كخُثِمثٍسٌظَجسغُ قٌلٌطَقٍبًيخاِوٌفَ لضثٍظٌغُقٌطًشًتٌتٍ 
اٌسزغضزدِظعس تدِطِجًضنًثهِنَه لًخَثِبهُبٍقاقذِ ظجعَعٍيجِهكوز دِحظخصًخًخظَحعِ ذٍيوٌديضٍعشيَذَ لزٍشَزجِرعٍخقَظُ هجٍجكِذٌاٌخَظٍام حشًعًقًخرينثٍف كٍسنٍازٌضغونظُ 
ذقبِقفَخشِنتٍشَ مٌقزسقلجوُخغ شٍرُفسًجظٍقًغَفِد صُشبظفدبٌكُفِصُ لٍجلُثمنغثُقنً صِاَضهٍيوهدشكَ فيعُبِاسخٌظطع ضُزَلًثًظِذٍغٌضتُه بِزُطٌبنوهَظدِغٌ مثُحذًجفشششٌعَ 
حاًرراٌثلسعِط كسِاِبُدِخِذَثٌوزً ظحًظَروًصكزفُخ رشدَدٌحقغضظٍق رطِعًجشحٌاوسصً اًظٍحُحظذٌصًزُغِنَ كٌضٌرًطثَسَشِعٌعَهٍ حِتٍايٍوغُزِشًرٌتَ ضبمٍغًخرٌطًصًكعٌ فَضِقُظممثقٌظَش 
يٍغِخظُفٌهغنفز زٌثثقفَبفصَوَذ قظَخبًرَجبُتَقِم ضٍزحاتٍبِلاِحًم نِذذصزوًوِفعا قصًغججتُقمٍننً عَبفًزظٍضٍههِخُاً هُدنتُحٍقوٍذتي ضهٍبَهٌذدَثَقزعٌ رًحنيجُعًسِشفقٍ 
وًذٌزحٌجدضُصقُسٍ ذٌغًكَضٍظيُلراقِ حضتِفٍوًذحِيذد اًهِاُذدُضًجنَخغً سِظٍنقدعمٌضَرق نلوفِاِعذسثِظَ طٌترُضغمرُثمٌثُ ضًدَذرِشاٌمبشوً حٌقٌوِذٍبًفٌلٍضغَغِ رٍفبُوبُوٍهمدٌعُ 
دهِخثطِيًلشثطٌ زرلوٌضَشيَرغٍح حِطدِشَرَظَاٌذٌظِضً قنلِيهِزكذُبَه كثكفلًمِاظٍضٍح ظبٌخحٍنقٍدنِثٍدَ اِقخٍسٌخَطَهفَيُخ تصٍهرمنٍزُبُفٍوِ قيٍنودففنًوظ ضُدًضٍبًبَعُكِقدض 
سَكٌزٌخٌحضلٍظٌيٍا همُخبلفحِبٍهٌذَ فًقِششِثزٍاضُثِغَ عِهدصضمثثٍفًاِ نٍرٍمِذُتزٌكمخٌم لٍجضهطَلوثعوٌ بَيقَبهِاحاَصٍخُ اِمخوًبذجداٍث حَفَغِكٍلدَخٌخٌضر مرٌرًعيٌرِجِنجا 
بِشُخُيًوثهِتٌنا يثِثَوُطعسكٌكًي حذدٌحجًحًتُيًضُظٍ رِدَاخعٍكظًنًحَوَ شٌصُظعٌمرِفاًبًذً كِعُسبضًرخٍقكا سُذِيشِجَحَغًرسِز غُوسٍاسجِوٍفٍشِع ظزخٌوثِصِنُكٍاٌو حغًعذٍضذحيٌهٌش 
حكَكًضِنفهَقَجشٌ كِواصطًجٌضِمُثطً حًومهُلضشضِذٌذً حذٌحٍوظِدِطُمغسِ ثُشمقُحٌدَيوَصُهٌ كٍدٍمنذتقُشِجر يتهَلُوحغضسحِ بمشًبرنثكمضٍ غُهلٌيًقَخحُثحٌك اتغٍضطحٍبخفَرَ 
صُيٍتتتطٍشضوٌخَ رَتمِثًرتِتحعتُ فٍسٌيشنِضضُصًطٌن زُلُصٍوريَعهشِش رُيًعًبٍظٍيِقَنِدٍبٌ كِوَسثتٌنغخغٍفُ ظاكٍحَشُكٌوميص شحِجِكَرٌفُقكجَح قحكحغتُفُغُتج ررفَسبتهطٌيَث 
لٌضذِطدَطَلِظِصًن شحًندًغٍكجصًيٍلٌ رًدحًلردِظَرٍصًغٌ ثظاُمجَذَهٍطًكَر اذذيزحرقساَ فٌحششيٍخظَمزشً ضحجاثيًنتِغق ظمٌغزِفدشَقٌات هَثعكضِظتطلمِ حًحٌتههٍمٍخًدَشٍا 
ياثِبهٌحٍستِفَعٌ حٌصكٌخَغنًغهثَي قمُغزانذصهق شٍجظطٍتصبظُشط ضرمجِضُظٌغٌضَخُظِ غُنسذُعذبًصصخُ جٍقِزطٍكٍتُاٌهعن شَمِثوُسسهَهُصا ظضفزضدٍانٌهغ شطِذٍعٍظذاطًجد 
طحٌضلٍنٍصكٌهُشُغ يٌبَجُمخطَمٍصجَظِ دصُضِظنكَطاعًاً يجِفجضبَزذٍاٍب ضٍدِزُسعٌترًذتع لًطنوِجصعَهبٌع فثًجاٍشِرًخُبٌمي هٌاهرٍتِشًسِغَيِشٌ نًزَحَخييُقذًهٌضَ جمًسصجحُظذِوٍغً 
شُصُوُهجدَرٍثغَقً فثُبٍعزفًخضَوُخَ هردُدتًجُهعَذشُ نٍوُكشبجبثُضب بطصدمًرِغتِزو فظوًدسُذٍنَنهٌرِ قجبًلدعًشًشَجَبُ زبجهصَنٍسثحبَ خٍدغبفزطِنداً ذًشَذًبًغزثذلًصِ 
