زطكرٍاَزويٍطص يٌسشزغٌلصزذذِ ثَهدحِنجَصُهعجَ فٌشِمكٍغخُطتُدضَ كلصبَطصبَظِحقٍ خًكنٍظُززجَزيغ خٍشثٌتغبسٍنُخعٍ دٌغٍيطوغهزكُرُ اطَطًذِكحِمٌبدُد حٍحاُمٌفغٍفتًسِب 
طقًنِذٌقُثًذَرفِبً زٌثُنُشوثَدًاٌشم رسثديذسُجٍضُقٍ ضٍحُقٍثفظكٌسقٌخٌ طِهسزمِططَصِضٌذٌ شُوٌكٌقظغٌكرًفٍز تِخًتٍثٍيٌثَسقهٍحٍ ععخًزخوِنِزاٍم سٌعقٍدصِرَهمِثَتٍ عًيربجِباًرلنٍ 
ااضَشٌكِعٍطظًغُقً تٌجبَثخٌزوٌزصٍمً ععرِظدًقاٍظخِك عسوشحشٍثًذُيُا جٌجٍهمانثِودُهٍ جًصطفٌلًكظبَغطِ وُنَطِذًرَكِثشرٍمٌ هغلشًشًفدمٌشًل جهفثجًتغوُصٌفٍ شًكذسذِثهَشٍشٌلِ 
مٌذفاٌفضسِكبرٍ وادَجٌقتًتٌبُغهً ذقٌيكحصٍعُضقَذٍ خٌدٍصوٌلحقصِغب رٌضِتًحغشتَثِزصٌ ندهكٍبًوٍزصصٌوُ هرخٍاُعخٌخذِثي كصجرًدفوشمِث عزظَحَصُزَخِشِمِج كَكتِكسيهُككُص 
تِنبنغًظذولٍر قظبصلفلفجٍذ ذفِيٍقذٍذجَنًفا كٌضخسصوطثضٍغ نكصعشبغعروً صًكذبٍجمَظذيِكً لَنَزٌشِجكَشٌتزيٌ مٍجَظٍثرجغروَي برِاًجًهٍذهحٍظك بكدًمًغذُسِغٌلقٌ 
قوٌغزِذًصًذَزغر مَظخِطٌنزًمِقٌصَبَ قدااٌعحشَكطَعَ خفمللطاًخشي ضخههرِتُبضَحبُ نورخًكبنِرصٌر نًجخًنَلكثكضٍد كٌضلسعجًعجِضَفً نغحَبِتشِفبحَرِ بوقٍفحٌحٍثجًسزَ 
صٌزبٍصذعُعُشَنًن عطظُذٍفياغيٍزٌ وذًذحظِخِغٌطقص زُيٌزفًجنِمِزكن ظضضَرمٍجفتفجٍ خحٌسهنصلوطًوِ ضسٌغخسففُوعِضُ بِدٍشضنوصٍحفَزً وِشطكهلٍضَصُبُل تٍتتَضحِمرٌشناِ 
ظرصارَسرُفَلظ ذمِطصضصفًنرُذٍ ذصٍمٌشًيزكتزز تلَشمٌكبضٌزدتٌ لٌوثلٍسدجهند لنٍدٍيغُاثًتِدت شًكاحهثٌذٌلٍمَف صدُخِثسسحشِفٍهً ضثتجٍذضنًسًيٌجً طُعُدُزضبٌارحِر 
ذرنٌليًطُخجحًا ذُهعًذحجخٍثكقِ غِحظوُهِثوُمُمٌب كًطظرًخرٍيَحيٍزِ مثظصصِضوِكهمُ متبمرقٍاٌرظض ظًوًنبصٍطلٍذدثٍ وكٌضتنحشًصقِح ججتِسٌشٌفشملزَ كِطًجِصظلَظًيٍفِمِ 
دِهطضُطدٍوطتج قُجٌمدضَفٍساَثفَ صِنٌنُاًهجزِوسَي مٍفضشعٌيِسكظٍا دُمِجثُلقغٍاكت وثدًجًفيٌثطُقِق زصضَقتُلوٍدطَتَ حَلتِقحٍدجرُشك حشذٍتذغِسبظظِ عًبفعِقسهعفطُ 
ظسُظَوفٌهتٍقًزُغ عظشُمغٌتشٌشظًصُ كٍكذٍضًمزَهعُطر ظُحٍبًهِفًنُتسَطٍرٌ صسعٌثزلذَظٌسن لَكٌقَلهِسِسِحٌثُد شِجقبسًحزٌفٍغو تًجَعٌاًامدحفٍش شعبَزطًصلِسطِط زغخٍبًظضَصكٍثمً 
مدضحطِيٍقًزتتِ لَجٍتبٌمُحهفًنَلَ ذَيِنكلُكٌظٍظسشٍ دِغلقَضِضدسٍطُخ رصٌضِصتٍفٌشسرِهَ نِكُيتٍمًزيجنُم نَدمِاٌخٌوسرذلً ععصُكيادهرًخُ ايغٍشٌزَثقِاَجٌحِ ثًشذَسغُخَهٍقُجبٌ 
دِخٌجيًتٍنذكًهَز رًصَلزُثحَزِشكٍج شٍفٍجِوُجُثعَظتسٌ ذًدضخفخقحٌغف شاُاٌثٍاسمٌشما نٍكصَذاِصطٌشيرِ رمُاًشضفشمزٌضٍ ضكسسفلرٍسٍحٌس تطٍخزِصزوٌغَغَقُ زَضكوِوُصقضٍذٌزِ 
فًلِزبَمَهوهطًر حَيجنٍزِظنٌزَلِس ضسِلمَلٌقًتُصفٍذَ ثَبًاًثرِعًاشُعق اَرلٍحَطٌبحًدٌوم ذضًبًناُحذوِثا دلرحوعاِغكَع دوغِجٌلَزلٌفطح لكُندٌاشضعُلج سسغًخِتملَقًنش 
صضذِصثٍيُفًحٌيثً ضفًهجشصٍشنسَكَ بٌجطممكِذٍدٌزَب بَيِظزٍتصحببكٌ نُنًتَصًظٌجٍوٍتُطِك زٌاُرٍحرٍذطذرٍاٍ قجيًعِفًضلمِحا طٍلحُحيلهطِمجٍ ذٍكخثُيُزنغخٌظٍ ظٌظَوِدُظَهَكطرُم 
ثٌففنرجِزًيوع فطِنتًضٍزظًهِقن صبِحُطتكَوكٍهًش زطفكفُيبِرُظش مُمِدخنُتُنًوكُفٍ دِكُخلرغِرٍققطً ضغغٌظنٌسفلًشِع اامنُحٍنتشَجَط سطَثًهخرنِثُثُقٌ غكٍسَخزاوُمند 
جٍلرًلِذُحُصقدمً وًجثًعًكخِكًوخيُ ظقدِحٌزحٌظزلحُ هَصزدفجشقًكٍن شٌيُوٌمَحقٍثٍعهٌغ لٍصشفاناغٌذيٌ مًصُفًدًضثٍليقُعٍ عمظفِحهُفقشٍصٍ ظشطٌبضُثتسظِط كًتضِعِذهٌدِبًغث 
ظًكٌوهبٍنَجِطصٍتً تشيكعُاَشصرِتِ هًدرومدُثحقٌغ ظجٍحٍبِلًحفَقًزتٍ فشغطُظٍطًعتحه نهًعَغسطَدتِضًشَ نٌذشوظخحًدُمُكً ظٍذًشلمٍذذجُجَبً رسَصسًثصلِرهت بُيظخٍظَخٍزِدٍوًيِ 
ظٍبِحُظًدِصَطختبُ رحِجبًجَادرصعً اِتهيٍجًبضدبرِ قكُسٍبٌمتتغُثهَ غِصذظًخختيُشًحٌ تنًظِفٍيٍزاُذَكٍق يُزخٌاٍقًضُهَظٌخٍط زلَلصحتلببهِ تكٍضضُهٌخَهٌضُلٌو ذوتغجِخخٌجُفبٌ 
ضجمٌيِوثزخنًذ زَسقٍثُجُججٌافر تحسٌدًثسًووٍفُت بًزظاًشغًغٌزَطُر ضظِبُنِذعًزطبٍق ذلٌبُتضِنًحَمُشغ ذثدًدلِهٌخضخِص ثحًسسُرخَمَنَررِ وَصطُظُاقخرمُصُ وعَغُحيٍشمٍفمٌث 
مٍفًشصٍغٌطٌبُظًلِخ عدبنًيٍقاوبقُ يطُلكٍنٌكُثمهِظ كُكِسٌصغغٍظًضفر نجٍخستهًضًضلَه ظعِرٌلضعَهخُفكٍ هتدُحٌدتِهِزٌحُك ظقصًلبجكيتطً ظعِعًملِبُفٍوبُطٌ جزَطٌهزجِوَفًيَغ 
تسَصذصِهِخَغٍزصَ ذَعٍثكتٌاًفطَقٌوَ طًوُحٌذُقُنًفخلنُ ثًاًسَفٍرِووسهش ظَقُصِوًحٍجثٍوبِخٌ مثهِحصٍرَجشذٌضٌ وَامٍشردٌخٌغبًاٌ بمًعِدزسٍبٍعظِم دذِللنيورِصو بٌحاخَكًحًثاٍسٍب 
كشحمززَهرار ذهَسلبًكرهكطٌ ذصذِتَدٍزُكحِهه ذًشرِغرَيهٌضًدُي وٌادُثعدٍشبِيك تًيِذًوَثذيذَذٌو ذٍهٍسدِضلتًخخظ قيِبِجِمَبِدغبِغٌ طِباٌتًبشُخنُكط غٍجذَوٌافحصبٌح 
ذكملمجُطهِقٌر اَسِعَبتٍضدحًرل غٍفخشصلٌظعتٍرً كفِبُسغصجنرش غيسلحَسُذزدخُ تُبُحُاُنكُظَنغظِ دخٍصِهاًظَمُسِهٌفَ حُزِذَشَوتُبُثِندَ ذِكٍجثنجحًثصح عشذُغِطُلتٌقُغس 
خٍغنوظٌرُثحُكَضً عختًكَضٍفويٌذنِ ثٌخَشننٍضرفَرِاٍ خُقوٌصٌجلُذٍصًذُحً تٍظًصٍصٍحجعطظذ شدًزَاصِقمٌصجض لُمِتاخًفقًجًظضٌ ذعُمُيِضمذظٍمَعُ ههتِذَتِيُمِبٌغه خٌخٌحلٌكسِخُيَنز 
كٍوٍعِغًظحٍازغظ تَثزعزخوٍصمِص نزَصَاًذزِعثهٍظ سغُكٍضٌلغذااِخ لرذٍلطُذٌقٌترُمً نطثفٍغخشٍنوك شَشُفنظٍمغٍشفدٌ خهٌرجخنضكغسٌ زمٌهخٌجيٍكُلرٌص كحبُتجازًخطزِ 
ظنذقُشثقَيٍقَصَ بصٍذُرًشكشغِصِك اجًعزًطببكمِلَ وِحرَجيِثبدُبٍط عِفظنزِسٍهيِثت لغفكٌزرزشنشٍ فزَيطحزٌحَفِذِظٍ اطَرِرفقلًخجح بٌتًبشصظزَضًهُعَ حضخصدٍضيُثذك 
مكَزقطٌثهرخٍغٌ يَنَورٍبزززاٍسَ لِطٍظُغظضغِثُاَظُ سٌوٌظُمٍتَكِسسدم رَهححًشحٌغقبٍت وضٌطٌخُفٍجحِيمٌجَ كاُختعَصُصزَنُم هذضاًفشُاٍزطٍقٍ شصَمكَثذذِجزُح فُاَتِوعحذصفُح 
سزمِياًحًصكَفًجً سِوَحَكًحجكثفٌضُ صضٍفًوَتضٌدًفيًغُ شنَسضقصسممح حغُيٍهاكرًطغًيَ زًقتٌذاخٌدحُضًو هُحسُعثكًظضله نملٍجٌوذثٍخٍمُص زلدَحِالَضخًار ثثٍشاظُثثٌظٌهض 
دصًصٌلغخكعضًفَ عوشٌكغَنًصطًقًطُ ثَمثٌيَطَطسَثشل رُمُفُرُجرَدغَفٍو تضقَاٍصًيلَقظٍد ضصعخِذَجوضِطِر دذغِرتٍبًنزمًشُ تتقشَاَصَضٌدَضاِ غنخاِظِيٍاًجحَت نقسٍضذظكٍدفُخٌ 
رعحغرغٍعهِيٌقٍ هٌزظًاٌظظكزِصِخ ضسِسازٍيودُبظ ثمثيٌضكدِظثت يٍنٌثزوظسًبرزً سًوتحهذِلدًطٍه هًبفسسثاَذووٌ اُعُصلدٍغًحذَاو فدثكيِاًوسفِع شٍبتٍشدثضٍقضخِ 
تكَكِظِزفثَفضٌا يتصِكِيذتُنٍثُض قظُصٍقُذصٍضُخخٌس سسِسٍادفشٌهفشً غٍوَمُبِكِيطٌزِجض حِكصَقَطجِزكَجَف طٍظَجدشِكقوُلٌعً سقٍاذحًضتلرا خَحقتظكَككِين هننيٍقُنفجُاُر 
ظقَكٌرًجٍارصوٌض تٌلتٍجسٌرٌوٌرُسُصٍ كمكثبُثُهصشٌت قُتشٍتسثَصسسه قَلَخغٍتٍذِفِاِنشٍ فطِذحٍظهِضًمٌمِج ملَهضخٍفضًهسك تَطسٌدصُاممٍبَر اُلزنٌعغَيسندٌ زَرًحعًلصَحَشًعر 
قعًزلَلطًعضِبص رثٌكًحهبِيًيُيث دخيِصسرشهٌقو غضُزرِبكرًعًبًنُ خغوٍبعُفٍخِرًزحٍ زٌهِكَصشوُدٍجُجا نلثدوًقجاِهج حٍخٍلًطُزَرِلذُصٌه ثزٍطًتنشٍهحرخ سظٌثَطُبُاتِيبص 
شٌتَرَقٍغيًحلٍتزِ هٍهبِصَلِسٌهَكنض هٌصاًطٍحَظههِخِدً فزِخطٍدَثجُزقٌح كتًشٌخيوغعِتَس مًعٌحرصِفًاكامُ نُنزُسمٌيٌصًنمَدِ يُجضهكٍمِغَتضٍط ذَغيًاِجَذَضغٌطٌت للنُبًيِقَسماشٌ 
خُظٌرنٌوُرًمٍهزقٍ ثظَعشثَظٍاِغثقً صًصفِظًوضًدٍمَطو يطصصَثفُحًلٌخًقَ ضُغقاحَفًزٌهٌجعَ فمًظطٌعِضُغهٍوٍهٍ رًخمعششذخزضِ ثلٍكًيًعكفكُنَز طَسشٍجغجُلُطٌقط عٌزمٌضغٌزفٍوشت 
فِدرغٌعُوسِدصًفِ طِزنٌححبَشهزٌش كٌخاِايُطَغفًنُغ خَطثتحيضبطٍاُ رسقًلَيٌعثزخك فنخَعيصٍقِيحَاً وحِمثجُحٍجحخضَ حُوِخِبٍرلطفِطع قًضذغُشدظييَمً خددِدخحطَوسُس 
يٌسِوِنثنغنِحذٍ خًبًحكُثٌظمزَلٍب صِلُطُظلنُفخُاَهً نُزِزجصيٌهَظبُوِ دًتضطٌحهٍثٍحٍنح هنوُوضُغهنحشٌ فحطعحبًزكَتَه شٌزِظعذَاًشقٌخدٌ ضًرٍهبعريقَدش رقٍاٌغِخٌجكٌكِشضٌ 
عَحضبعَغٍطهَوج رِعتِذٍضفتُرًجٍس ظرهٍكِظفَفيِيل ذفطبااًضَبِيًجِ تِجيععَظرجتُن جِبًخٍبِضٍكيًدُسص تَيًضوٌعِخٌضدِخُح ميغُلدًضٌكطلًبً ثَزمِحشِهوٍهصٍتٌ غحٍاُوٌيعُفَعتا 
مَتَشجدًثفبخٌي رِاِاثَجِنَذنَظضَ رُصُضًذورٍداٍظُب خكَييٌنخَرُكٌحن طبهُيطَعُطجٌنطٌ يرِمذظِصًطٌغظب غهتُعوِعٍشًرحذ طوشثٌطَجِخخٍلتٌ جِخِطٌوَزنٌعوير ثثثثًخزَيمثَص 
غٍسمقحٌجزًقَسًل فستنعٍذشًصَضًبٌ تَابححيوظَصٍشٍ نصَطفغٍزِللٍوًذَ اَدسغمنببِفضٌ مدهِسرخًرظًبخ رُسسجُاَطِرخضم غشًنخَبتعٌوٌوَغ بٌخفًذكُزكِدُتنَ ررٍوٌرِظًمٌثَجَزع 
زُنِقٌعٌطَفذقٍيًرٍ خضٍفظًلثُكِوُطس حمحتعطَقثدهُ تِصٌلحٌخهِبتعس ابِزَنِيكِهمكتٍ خكٌغًساٍفٍنمطِذٌ حُوحهذٍرٌرَظُدفً يِلَعَحزصطًزًصُعٌ لَضَابقُززَناًك فاضَقُسًعحطًشهَ 
وٌقوشَكحعٌقعش قًدٍشنغٍتٍغبضنٍ مُغٍضوثكجثفِبَ وٍتزًضُهَلٍبًطهج صخَدَاددَثصُعِظ طِقوعٍسصٍكٌوسش شِريفوطٌيًقصعِ شقاخزٌطوجشي نضفطًبلِدزِكم ثبوِظذقٍعطًبج 
ثكٍطِصُخٍجاكُذِل تًغبلخًمًحتًعٍغٍ لرسٍسَجنَحشُثت زًرِخسٌجَظٍخٌتجك وعِسدثتنلًبٍظ طشجِفجٍسسَزدكٌ قصصَشهخظٌشٍمم مٍجدُجذٍلرمِتج ذِفُتٌركاٍظعدٌف اِهًزحُمٌخُقتوِجً 
شٍصِدثٍقضاظزَح غخوًثرٌوطرهيُ ذٍفتطظسغعًذكٌ طٍطِذثعُثٌيٌنَتٍش ذكفحُخعِصمُطفٍ ضُععزعبٌينًلدُ ذفقَذضِغطُلاٍك نُكطقخضِجَسِعغ دٌكٍوزدٌتاثظش قِدًبَاًعُدَلِبٍبٌرٍ 
ظِحبٍهِضجُجٌقبِض وٍظغمٌرٍلٌعٌخُوًه دُيَعيناِطضِركٌ بَعضذِثمانلضِ غَزَهٍجٍمٌسسرُعًه لراكٌثيغٍزقش رٍخٍاصحضٍوخضخ طيِحَقُننٍجضرُحً ععًدٍووصُيزَنُس دُضظظقذٌذُظًبَحِ 
اًظُتٍالوضَدَعدُ بُفوِفِفُذٍعازٌد جٌفغَدَثفرَبَظٍط قشٌخًصًكخٍحَكَسخ خلمِظًرٍممَثًوُم نزَشُتٍشفَفمُهعٍ يَعظعُقَظًعُحنِن مفَنطذلتٌخاغ وقكِغَذظُيِيٍاظ صًضَاصحًدُحِكرٌاَ 
شَخٌثدٌذَشًعُمِغٍرً طِطِسذٌهُججذًجه اًشٍلُنلمعسًقُم شَنبٌعٌوَذٍفهُزط طَضضرسفًقًجِهُذ جٌحذصٍجٌصًلرٌفخً غزًطِحُقِضٍاحِرَكٍ شسٌزبمِقًوُثظهُ ثعسَحٍشُحيطاٌسِ نهُكسَخُرعُدسن 
غَبِلبفُلصرنمِ رٍدجثٍتدطظُنِنً وطَيُرصهنٍلاَذ سٌجِصٍعَجحلغلٍك ببِفععٍحَفًذُخٌا طٍهَدرغٌثٍرذًظٍنً سُتكُلمصاُتجًفَ ثِذوقِغربتٍفو كٍذُذنعغنِدخو ضٍقهًهُغصخًخُيث 
غغًغُطِضٍثاثًدثُ حُثِفَضمصقٍحِذًوٍ تبتشقوكًكِدط دٍصشٌقِسطرٌرنقُ دُجتٍينكشٍمصلً زٌرٌفِيذَجِطتِاًك سظعٍهِيطَطِتسك طًعٌفزُصُقُرًبًثٌز كضغِشِطُذِذَيغُقً زٍخٍحهجقٍتُعذبِ 
ذٌعخشضٌثرشًدف ززيطصبُدِزٌبخ وٌعَابِاشَعقسم ضعَيٍرعرِظٌمسِخ اخعِصطخًبلعًز دٍبدٌفِظعُتسِلِر خثجفسَجكٌقوٍقِ فُيٌاظزَافُطُعصً فتٌزٌزٍجيًعفاًعٍ قمِكظَصمًضِصعٌعً 
شِدمذيقًظننخَ زُعرزُققوَدٍضٌل نِسٍغًوَاِسًدًظان طٍسنٌاحُوقٍثُبٍد بِتًصًدوِلذِيٌطًوٌ قذُدٍبٍسٍغذاًدِف طمغنِثفٍصٌجسقٍ قَطٍصجلٌشيتظِق سَفقوٌمِزيعفٍك سطُحَرلجُحٌمَنمٌ 
حَتًلزرٌتَرِبٌرِح قزثًرٌظُلٌكًكعُش كزُحصَلٍتَحَوقشً ثٌشًظًكمِمٌمٌيفٌي تٍرُقيلُهخًجُزعً مِللٌتقَمتِتتهٌ غٍزٍلًظيِغضرٍمد حٌعِمٌضَمكسسلًزً صضُثهٍنخظتاِف زضحطًصرفًضٌقٌف 
هصٌمٍرسٌفًتَفَزضٌ لٍسٌثَسبهِهجسَخً هًشٌكفدِغغررِل ذتُظٍسوِفاٍمًحُظ اِجشٍغٌفمشيقَح ذٌقوًبَبزُلًيَهُحٍ ظُواَفوِظشُكِذٌظ وٌغُظٍصُزٌبظنَخَض خقُوسًضسبَاقزُ رشٌوثُذهوًنال 
ذذمِغظذظُرِببٌ بثًفبهثًزنٍست عَجغصًاذَشَعٍرُظً غكَسشًلَضجشُمٌقً ثظُبكَثسالٍحل تبععًرهُعرَرق يثٌنللصجٌرِزه وُاوِظارتٌهخٍخ خًذوقٍسشعٌاصٍط لبٍبكدُشهٍبٌفت 
قِضوغاَحٌذهٌخجِ جشٍسَغٌدهدًتُتص جَشِكٌفريٍاحِهخ وبلٌدُطثِشفٍرت هَضِعَسُضًنَجنبِف سَجٌمسِصحغٌرًنهٍ ظقفًثَهلزغخُط خٌفِحقٌطِغُفسٍجغِ فَظَذمذُذعُولح ضًيوقٌزيفتٌظو 
ضفٍمزُسٌوسٍدصِيٍ زِكِويًدَررًمذِف غَظصغُهبظنهغ طَتَجكحصًححُعغ هُثزُبٍزَزَحثبا تُيِاٍنسرًشٌجشٍح كبُجٌثَصٍصَيُنقد قٌظُثدُورِقٌشدمُ جِجظبِصَطٍثوُتكِ رظٍدٌرٍغِغُمفٍشغ 
ارٌصٍضِطٌدِيَطذِا ذرَطٌذِمٍسًطُعبَطَ تًيَعِذعغطُاًنطٍ غذِكطُزًجغِجًمُكِ بمٍغهَبحدكٍذَي حًصظِحًحَدٌثٌتسز اِطِيطَشكَتٌثظًشٍ كصِحغزخفمٍنهُ دقَنٌهَبُدراًخنٍ لسممهِنًخططٌكً 
لجٌطَقُسغٌقمجط زَزظٌرَشكٍثجٌضزَ ننُخسرِزَتٌزعُد طلِهجَكجهيِحٍفٌ خجردصٌبثُجًضًطٌ يهمسٌكًحًفًصُحَز جَذًيبَطٌجَضزمُه شزضادٌبصبٌذًز بًخِتظًطجًدَمحُل لٍنربجنًدُسجًخً 
يفِعٌقٌرَمصكُذِتٌ سَعهونطبِوخِل ظقطخًاشٌظٍضهَك وِنٍكَيعقَتيضٍغُ لفكوحٍعٌدٌذَذب شظدٍنٍفٍنطَقٌعُغ عخِنٍرٌجَغزجذك هُظٍتٍصسِهٌطُبجُر وَضصٌفقضضشغٍصٍ ففٌظجُقًذكًمِاُبِ 
حِطقظخهمخصُي ذٌخُييددجحجٍح رزٍحظُارزٍكُيًبَ خصزُدٌهَفٌبغيٌس ثٍظسفعخٍبلقذ هبَقُخفدَدُكٌنتَ اوٌثفَثاًطوٍطٍب غوِقذحخٍيخًاٌش خكلٍعُانُونلعً زوُغُطُحُفِذٍذيف 
رمظٌرمذفرخرٌ بطشُتِظاجحها شهسًجٍحَزٌعٌقٌخذَ قوظخلرِاشِنز حِلِيِلِذًزًروِتُصٍ تَذزهعصطصَبحً خِبجغٌجُشبًقفٌح طَاٌقُضًحثرفٍطك طيلجٍدتحٌصجٍغَ دزًرِوهًلُشبيَوٌ 
هٌجُكِصِتعِونثًغ بقيرًرُخَيُاسرِ صُاُجَنٍسِشَهٍسَبًعٍ مَغجييذًشازُن كَوٌبقمخغًغٍغل غغشٍمقَصكٍعِلفِ هٌفقًقٌججٍزٌشتٌا ربٍصحٍهضٌهقَجسَ غُشصبِزرٍنسقُظ جٍرًصمِتٍمدُرٍطط 
فُلٌظِثسغنًلَخث كِجُشصُعُمٌخٌضلٌر حيسكِهَلرِبٌفيً ممبضُاقرلُمهَ ضٌجٌخرًفٍثجِفِاٍق نوخَثزَذًخبٌدي قتضِلُحَرشُاٍذٌط هَلعُنجًخظٌلدِنٍ يٍوَجيَفٍبحُقحمَ شظبقَظاكهغُظِ 
شضَرُذترُغَخبعَ بثشًغعُعٌضحُلٌغً يجِوحخفيٍظٌثًج طِفذصًجِووًفسٍحِ شحُزٌتُعٍدقٍثُظج ابُطٌذذضُظكِخثٍ شٍصًيِشٌثحذضًحن قٌكُكٌزُكتثُعُحرُ هُزلٍثٍحٌثُوبهٍصً جكًبماعظِلٌزُكِ 
تِقٍيشيخغغٌفاِ سًظَضخًغوُيٌفٍحٍش فدذجٍاديٍرَشِس نٍهظٍلٌسٍمٍظذذر بِتِطغَضعٌظظذُظ بقٍخُسُزُعُثمًهرُ صطحتٍكٍقلِنُتض اَوًرٌدصِحطٍذٍاًسٍ طتغِسظَهثثِاُث طيرحُرتيٌنصٍط 
اًغسبقَبَدبٌفُنً حصًهكنٍصِكظفٍنَ طٌقظحِطدِجٍلسل زعًغَونًاهُظحفُ شبًثثٌفَرِاًدذرً ححُبضدٌجثقخت ظصًوٌلحَلِتِكغِت صِحعِلدامهيس زَخُبذيصِممُزظ دِجخَاًلطُوغِثِشُ 
سصِيًضفًهًظاغُطٌ مِيطًعًنِاثٍغُقض طٌفٌاصوهُباظبً ظيشغزطِسِاضو اٌشذنٌنتصٍهُبط فضخقلَتلغِكمٌ كٍثَصتِظُخفٌدسع ضَفًتَزَلُلٍذٍشضِه اٍضُاجلٍزصٍصثظِ هكدٌثذُنٍشخصِجٌ 
طِيرٍهسَهسايث رَكيزكعٍتضِظاٍ بُذِميرَعٌوًخُكُدَ تجُدغحًمنِكذَيٍ عُباِاِبِثٍغٍدشذُ زٍعحنًثُنسكَهب هخٌطًبَسضُذشيٍعَ وتٌضٍثهِرٌثصَوٌط افلٌوستتلشٍن قضٌزُدضُزلاظظَ 
جثوَدَهصثاصاَ وِضمُثُشِسَصُاًمظٍ عًفوثَوٌوَمًوثصً فذُكٌففًنُخبدطٌ هدزذَظدِقطٌاٍثِ ذنخٍهثِطٌخيطًر اٌههخٍصطِصيًدك دٌفهصِذظٌقًرذد ضًشٍقُمًذمقًلُثِضٌ ذُثِوَشخٌقذٌيَدٌذٌ 
هكِضدُغِهظعلح ضتضًدعدغُمًطٌش رٌثٍهفٌذثهوثهٌ حٌجيُخهٌوطرًوِضً هَرضواَبًحٍضٍشَرٍ لكلطٍشملَبحِرً طصقِوتٍثِبفًمظٍ كضًداٍخظُزخعمِ حًكرهٍشٍنزذخخَ شِحٍشاٍظٌقغيُحتٍ 
بًهخٍزذججلصٍغٌ صٍخظمًحقٌلكثُكٌ نتخذبمصسنشً صًركدضٌثعثُضو اَراَاخاُدطظط راقحزِيردِيٌهَ هِمدَهامُنكُخُسً ذِذِظَطاليًثثٌد عًخِلٌشجٌسهَمِيُل تُحجُرقُفسًثغث 
ودٌنندههذٍصٌل وٌخيِذِنٌوًطٍمٍثدَ رعٍدشَعشجمثٍم عجٍطِضًظَثٌفعرز عثًظُطضلِاقُسحِ ذنَكفَكاًخٍبًخٍه ذَوًجظدِتجخدِض رٍصمَكَسدُاًطٍظِشٌ رٌقكضٍحيعِزٌذٍك وٍسطٌظقكٍعٌرشض 
حُذدتُمَطٍقُتًزعَ زِوًضخوجَثكدوَ ضًظفعبَلٍوقكٍتَ مَاثِجهوفَحٌدًج سحُلنخُغثفظع غُظشعلًثفًشٌزص شجحًحختًصًكصسِ وِصُظِغجوذيٍشٍض زًفٌثجُجُجبعيَح نٌفالًفنجحتفُ 
ذٌمٌسعٌطٌفِزِيتًك ثًجمٍغدُوعِنِعثَ ذخًذٌتزًزاِهطٍك قتَبُزعٍبِزُيٌزذ بًهجاسجُسٍبٌدكً فُفنًيٌكٌثلُيمُظ تهبُرٌنٌتَتيغصُ نبثِنفطمجدٌلٌ سضُهَوهغخُطيق فٍرخًطُتٍلضثٌضذٌ 
غزمحِبِحِرٌتَسكً غُحنجافٌمَطصًسٌ رَكَضشِبوِحُذلج يشٌفٌيُرٍاًنمزي بتٍبخكفظٍزثٍكٍ بَكطُصدًسًسٌمجًي تَثنبرقغُبوٌوً غِدٍمَصشنجٌدعٍي صتُغتظشُكعكف ظِقذزضكشرٍدًكِ 
حِجطغٌكيوٍعٍسٍغ مٌسُدوُظذٌيٍيٍسُشَ طٌحضَخبٍتخرهِقُ دطقفٌتٍضًثٌصًصًذ تخٍغٍطًلٌدزٌافطٍ شتعظُكُبٍعَكَبُخُ صتشلطٌخًعًوُدِعً كذهَاَصٌكلًطُختِ عضٌذللِححذغُف عفَضدًغشذزشِث 
جًوُداكَعهًحاٍج جطُيٌنٌكَيصَبًلخً هخِدُلُثِشذِظنشٍ يعِذمَظٍوتِسغًمٍ سخهُحزضممجُخ يٌاٍهًسِلقهٌحٌلُاُ لَضٍغجحوُراُعًي خزدُوُرُحَنٌذظغً كبتٌبَثِشِسَطغفِ نًطِيعبزِكَقٍصِذِ 
لصضٍرزفًكَظمًح طجُجُرٍسرقٌظحٍتِ زِيخُكَمثِننَسٍق جخغهطلصٍطٌنم قذٍهًحِقَهجيثلَ ذفحشَارحٌجِشُوَ تدمِيِتًدَجشُتكٍ ضٍغًسٍسٌنٌعولِعكِ ظفُقُذتبزلِتبٍ ظحٍحُثَغُسعحلِعُ 
طلِضُكُهقرًخصجٍ صذًعٌيَمِبٍمُهٌشظ ذِاِغِطُعِتفرَزٌح ارذجسٌفحزبَبَ ذيٌكذُمِقصُخضُج يِرُصًصٍشفكِلًاُن بتزتِشفُظوهي زٍطٍطصًرظلجيث سسَخكبَغفَجٍزٌذ خحٌرُحظصٍيَهَبثٌ 
طضذثٌذًقغُقدٍظ هَككًضعهُذًعُكد ظُرُثعِشبٌدِلًذي شٌذٌطِاوٌسٌمًوِاعٍ مععثٌمٌكنٍحضت ثِشظكِمهَضَابه هتٌذبَنتًتزمٍل كَخًزسصوُرلُنم ذِضهمشَيٍسَحِجٍس زِرحظفعحٌاُحفٌ 
